"id","code","description"
"product_code_030600_goods","030600","Krustase bercangkang maupun tidak, hidup, segar, dingin, beku, dikeringkan, diasinkan atau dalam air garam krustasea diasapi, dimasak maupun tidak sebelum atau selama proses pengasapan krustase bercangkang, dikukus atau direbus, dingin, beku., dilr:eringkan, diasinkan atau dalam air garam maupun tidak"
"product_code_030700_goods","030700","Molusk bercangkang maupun tidak, hidup, segar, dingin, beku, dikeringkan, diasinkan atau dalam air garam moluska diasapi, bercangkang maupun tidak, dimasak maupun tidak sebelum atau selama proses pengasapan"
"product_code_030800_goods","030800","Invertebrata air selain krustasea dan molusk hidup, segar, dingin, beku, dikeringkan, diasinkan atau dalam air garam Invertebrata air selain krustasea dan moluska diasapi, dimasak maupun tidak sebelum atau selama proses pengasapan"
"product_code_030900_goods","030900","Tepung, tepung kasar dan pellet dari ikan atau krustase moluska atau invertebrata air lainny layak untuk dikonsumsi manusia"
"product_code_040000_goods","040000","Produk susu telur unggas madu alam produk hewani yang dapat dimakan, tidak dirinci atau termasuk dalam pos lain"
"product_code_040100_goods","040100","Susu dan kepala susu, tidak dipekatkan maupun tidak mengandung tambahan gula atau bahan pemanis lainnya"
"product_code_040200_goods","040200","Susu dan kepala susu, dipekatkan atau mengandung tambahan gula atau bahan pemanis lainnya"
"product_code_040300_goods","040300","Yoghurt susu menteg susu dan kepala susu dikentalkan, kefir dan susu dan krim difermentasi atau diasamkan lainny dipekatkan atau mengandung tambahan gula atau bahan pemanis lainnya atau diberi rasa atau mengandung tambahan buah-buahan, kacang-kacangan atau kakao maupun tidak"
"product_code_040400_goods","040400","Whey, dipekatkan atau mengandung tambahan gula atau bahan pemanis lainnya maupun tidak produk terdiri dari susu alam sebagai unsur utam mengandung tambahan gul bahan pemanis lainnya maupun tidak, tidak dirinci atau termasuk dalam pos lainnya"
"product_code_040500_goods","040500","Mentega dan lemak serta minyak lainnya yang diperoleh dari susu dairy spreads"
"product_code_040600_goods","040600","Keju dan dadih susu"
"product_code_040700_goods","040700","Telur unggas bercangkang, segar, diawetkan atau dimasak"
"product_code_040800_goods","040800","Telur unggas, tanpa cangkang, dan kuning telur, segar, dikeringkan, dikukus atau direbus, dibentuk, beku atau diawetkan secara lain, mengandung tambahan gula atau bahan pemanis lainnya maupun tidak"
"product_code_040900_goods","040900","Madu alam"
"product_code_041000_goods","041000","Serangga dan produk lainnya yang dapat dimakan berasal dari hewan, tidak dirinci atau termasuk dalam pos lainnya"
"product_code_050000_goods","050000","Produk hewani, tidak dirinci atau termasuk dalam pos lain"
"product_code_050100_goods","050100","Rambut manusi tidak dikerjakan, dicuci atau digosok maupun tidak sisa rambut manusia."
"product_code_050200_goods","050200","Bulu dan bulu kasar dari babi, babi ternak atau babi hutan bulu berang-berang dan bulu binatang lainnya yang dapat dibuat sikat sisa dari bulu atau bulu kasar semacam itu."
"product_code_050400_goods","050400","Usus, kandung kemih dan lambung binatang (selain ikan), utuh dan potonganny segar, dingin, beku, diasinkan, dalam air garam, kering atau diasapi."
"product_code_050500_goods","050500","Kulit dan bagian lainnya dari unggas, masih berbulu atau berbulu halus, bulu unggas dan bagiannya (pinggirannya dipangkas maupun tidak) dan bulu halus, tidak dikerjakan lebih lanjut selain dibersihkan, disucihamakan atau dikerjakan untuk pengawetan bubuk dan sisa dari bulu atau bagiannya."
"product_code_050600_goods","050600","Tulang dan teras tanduk, tidak dikerjakan, dihilangkan lemakny dikerjakan secara sederhana (tetapi tidak dipotong menjadi berbentuk), dikerjakan dengan asam atau dihilangkan gelatinnya bubuk dan sisa dari produk tersebut."
"product_code_050700_goods","050700","Gading, tempurung kura-kur whalebone dan whalebone hair, tanduk, ranggah, kuku (binatang sejenis kuda atau sapi), kuku burung, cakar burung dan paruh burung, tidak dikerjakan atau dikerjakan secara sederhana tetapi tidak dipotong menjadi berbentuk bubuk dan sisa dari produk tersebut."
"product_code_050800_goods","050800","Koral dan barang serupa itu, tidak dikerjakan atau dikerjakan secara sederhana tetapi tidak dikerjakan lebih lanjut cangkang molusk krustasea atau echinodermata dan cuttle-bone, tidak dikerjakan atau dikerjakan secara sederhana tetapi tidak dipotong menjadi berbentuk, bubuk dan sisanya."
"product_code_050900_goods","050900","Ambar, kastor, jebat dan kesturi kantaridi empedu, kering maupun tidak kelenjar dan produk binatang lainnya yang digunakan dalam olahan produk farmasi, segar, dingin, beku atau diawetkan sementara secara lain"
"product_code_051000_goods","051000","Ambar, kastor, jebat dan kesturi kantaridi empedu, kering maupun tidak kelenjar dan produk binatang lainnya yang digunakan dalam olahan produk farmasi, segar, dingin, beku atau diawetkan sementara secara lain."
"product_code_051100_goods","051100","Produk hewani tidak dirinci atau termasuk dalam pos lain binatang mati dari Bab 1 atau 3, tidak layak untuk dikonsumsi manusia."
"product_code_060000_goods","060000","Pohon hidup dan tanaman lainnya umbi, akar dan sejenisnya bunga potong dan daun ornamen"
"product_code_060100_goods","060100","Umbi, bonggol, akar berbonggol, batang dibawah tanah, tajuk dan akar tongkat, dorman, sedang tumbuh atau berbunga tanaman dan akar chicory selain akar dari pos 12.12"
"product_code_060200_goods","060200","Tanaman hidup lainnya (termasuk akarnya), potongan dan cangkokan sulur jamur"
"product_code_060300_goods","060300","Bunga dan kuncup bunga potong dari jenis yang cocok untuk karangan bunga atau untuk keperluan pajangan, segar, dikeringkan, dicelup, dikelantang, diresapi, atau dikerjakan secara lain"
"product_code_060400_goods","060400","Daun, dahan dan bagian lainnya dari tanaman, tanpa bunga atau kuncup bung dan rumput, lumut mosse dan lumut lichen, dari jenis yang cocok untuk karangan bunga atau keperluan pajangan, segar, dikeringkan, dicelup, dikelantang, diresapi atau diolah secara lain"
"product_code_070000_goods","070000","Sayuran dan akar serta bonggol tertentu yang dapat dimakan"
"product_code_070100_goods","070100","Kentang, segar atau dingin"
"product_code_070200_goods","070200","Tomat, segar atau dingin"
"product_code_070300_goods","070300","Bawang bombay, bawang merah, bawang putih, bawang bakung/perai dan sayuran sejenis lainny segar atau dingin"
"product_code_070400_goods","070400","Kubis, bunga kol, kohlrabi, kale dan brassica sejenis yang dapat dimakan, segar atau dingin"
"product_code_070500_goods","070500","Selada {Lactuca sativa) dan chicory (Cichorium spp.), segar atau dingin"
"product_code_070600_goods","070600","Wortel, lobak cin akar bit untuk salad, salsify, celeriac, lobak dan akar sejenis yang dapat dimakan, segar atau dingin"
"product_code_070700_goods","070700","Ketimun dan ketimun acar, segar atau dingin"
"product_code_070800_goods","070800","Sayuran polongan, dikupas atau tidak, segar atau dingin"
"product_code_070900_goods","070900","Sayuran lainny segar atau dingin"
"product_code_071000_goods","071000","Sayuran (tidak dimasak atau dimasak dengan dikukus atau direbus), beku"
"product_code_071100_goods","071100","Sayuran yang diawetkan sementar tetapi tidak cocok untuk konsumsi langsung"
"product_code_071200_goods","071200","Sayuran dikeringkan, utuh, potongan, irisan, patahan atau dalam bentuk bubuk, tetapi tidak diolah lebih lanjut"
"product_code_071300_goods","071300","Sayuran polongan dikeringkan, dikupas, dikuliti atau dibelah maupun tidak"
"product_code_071400_goods","071400","Ubi kayu, arrowroot, salep, Jerusalem artichokes, ubi jalar serta akar-akaran dan bonggol-bonggolan semacam itu yang mengandung banyak pati atau inulin, segar, dingin, beku atau dikeringkan, dalam bentuk irisan maupun tidak atau dalam bentuk pelet empulur sagu"
"product_code_080000_goods","080000","Buah dan buah bertempurung yang dapat dimakan kulit dari buah jeruk atau melon"
"product_code_080100_goods","080100","Kelap kacang Brasil dan kacang mede, segar atau dikeringkan, dihilangkan tempurungnya atau dikupas maupun tidak"
"product_code_080200_goods","080200","Buah bertempurung lainny segar atau dikeringkan, dihilangkan tempurungnya atau dikupas maupun tidak"
"product_code_080300_goods","080300","Pisang, termasuk pisang yang tidak cocok dikonsumsi langsung sebagai buah, segar atau dikeringkan"
"product_code_080400_goods","080400","Korm buah ar nanas, alpokat, jambu, mangg dan manggis, segar atau dikeringkan"
"product_code_080500_goods","080500","Buah jeruk, segar atau dikeringkan"
"product_code_080600_goods","080600","Anggur, segar atau dikeringkan"
"product_code_080700_goods","080700","Melon (termasuk semangka) dan papaw (pepaya), segar"
"product_code_080800_goods","080800","Apel, pir dan quince, segar"
"product_code_080900_goods","080900","Aprikot, ceri, persik (termasuk nektarln), plum dan sloe, segar"
"product_code_081000_goods","081000","Buah lainny segar"
"product_code_081100_goods","081100","Buah dan buah bertempurung, tidak dimasak atau dimasak dengan cara dikukus atau direbus, beku, mengandung tambahan gula atau bahan pemanis lainnya maupun tidak"
"product_code_081200_goods","081200","Buah dan buah bertempurung diawetkan sementar tetapi tidak cocok untuk konsumsi langsung"
"product_code_081300_goods","081300","Buah, kering, selain yang disebut dalam pos 08.01 sampai dengan 08.06 campuran dari buah bertempurung atau buah kering dari Bab ini"
"product_code_081400_goods","081400","Kulit buah jeruk atau melon (termasuk semangka), segar, beku, dikeringkan atau diawetkan sementara dalam air garam, air belerang atau dalam larutan pengawet lainnya"
"product_code_090000_goods","090000","Kopi, teh, mate dan rempah-rempah"
"product_code_090100_goods","090100","Kopi, digongseng atau dihilangkan kafeinnya maupun tidak sekam dan kulit kopi pengganti kopi mengandung kopi dengan perbandingan berapapun"
"product_code_090200_goods","090200","Teh, diberl rasa maupun tidak"
"product_code_090300_goods","090300","Mate"
"product_code_090400_goods","090400","Lada dari genus Piper buah dari genus Capsicum atau dari genus Pimenta yang dikeringkan atau dihancurkan atau ditumbuk"
"product_code_090500_goods","090500","Vanila"
"product_code_090600_goods","090600","Kayu manis dan bunga kayu manis"
"product_code_090700_goods","090700","Cengkeh (utuh, bunga dan tangkai)."
"product_code_090800_goods","090800","Biji pale, bunga pala dan kapulaga"
"product_code_090900_goods","090900","Biji adas manis, badian, adas pedas, ketumbar, jintan hitam atau jintan buah juniper"
"product_code_091000_goods","091000","Jahe, saffron, turmeric (curcuma), thyme, daun salam, kari dan rempah-rempah lainnya"
"product_code_100000_goods","100000","Serealia"
"product_code_100100_goods","100100","Gandum dan meslin"
"product_code_100200_goods","100200","Gandum hitam"
"product_code_100300_goods","100300","Barli"
"product_code_100400_goods","100400","Oat"
"product_code_100500_goods","100500","Jagung"
"product_code_100600_goods","100600","Beras"
"product_code_100700_goods","100700","Butiran sorghum"
"product_code_100800_goods","100800","Buckwheat, millet dan biji canary serealia lainnya."
"product_code_110000_goods","110000","Produk industri penggilingan malt pati inulin gluten gandum"
"product_code_110100_goods","110100","Tepung gandum atau tepung meslin"
"product_code_110200_goods","110200","Tepung serelia selain gandum atau meslin"
"product_code_110300_goods","110300","Menir, tepung kasar dan pelet serelia"
"product_code_110400_goods","110400","Butir serealia dikerjakan secara lain (misalny dikuliti, digiling, dipipihkan, dikikis, diiris atau dipecah), kecuali beras dari pos 10.06 lembaga sereali utuh, digiling, dipipihkan atau ditumbuk"
"product_code_110500_goods","110500","Tepung, tepung kasar, bubuk, serpih, butir dan pelet kentang"
"product_code_110600_goods","110600","Tepung, tepung kasar dan bubuk dari sayuran polongan dikeringkan dari pos 07.13, dari sagu atau dari akar atau bonggol dari pos 07.14 atau dari produk Bab 8."
"product_code_110700_goods","110700","Malt, digongseng maupun tidak"
"product_code_110800_goods","110800","Pati inulin"
"product_code_110900_goods","110900","Gluten gandum, dikeringkan maupun tidak"
"product_code_120000_goods","120000","Biji dan buah mengandung minyak bermacam macam butir, biji dan buah tanaman industri atau tanaman obat jerami dan makanan ternak"
"product_code_120100_goods","120100","Kacang kedelai, pecah maupun tidak"
"product_code_120200_goods","120200","Kacang tanah, tidak digongseng atau dimasak secara lain, dihilangkan tempurungnya atau pecah maupun tidak"
"product_code_120300_goods","120300","Kopra"
"product_code_120400_goods","120400","Biji rami, pecah maupun tidak"
"product_code_120500_goods","120500","Biji lobak atau colz pecah maupun tidak"
"product_code_120600_goods","120600","Biji bunga matahari, pecah maupun tidak"
"product_code_120700_goods","120700","Biji dan buah lainnya yang mengandung minyak, pecah maupun tidak"
"product_code_120800_goods","120800","Tepung halus dan tepung kasar dari biji atau buah yang mengandung minyak, selain mustar"
"product_code_120900_goods","120900","Biji, buah dan spor dari jenis yang digunakan untuk disemai"
"product_code_121000_goods","121000","Kerucut buah hop, segar atau dikeringkan, ditumbuk, dijadikan bubuk atau dalam bentuk pelet maupun tidak lupulin"
"product_code_121100_goods","121100","Tanaman dan bagiannya (termasuk biji dan buah), yang terutama dipakai dalam pembuatan wewangian, dalam farmasi atau untuk insektisid fungisida atau untuk tujuan yang semacam itu, segar, didinginkan, beku atau dikeringkan, baik dipotong, dihancurkan atau dijadikan bubuk maupun tidak"
"product_code_121200_goods","121200","Kacang karob, rumput laut dan ganggang lainny bit gula dan tebu, segar, dingin, beku atau dikeringkan, ditumbuk maupun tldak kulit keras buah dan kernel serta produk nabati lainnya (termasuk akar chicory yang tidak digongseng dari varietas Cichorium intybus sativum) dari jenis yang terutama digunakan untuk konsumsi manusi tidak dirinci atau termasuk dalam pos lainnya"
"product_code_121300_goods","121300","Jerami dan sekam sereali tidak diolah, balk dicacah, ditumbuk, ditekan atau dalam bentuk pelet maupun tidak"
"product_code_121400_goods","121400","Swedes (sejenis lobak), mangold (sejenis bit), akar makanan ternak, rumput kering, lucerne (alfalfa), semanggi, sainfoin, Kale makanan ternak, lupine, Vetch dan produk makanan ternak sejenis lainny dalam bentuk pelet maupun tidak"
"product_code_130000_goods","130000","Lak getah, damar dan sap serta ekstrak nabati lainnya"
"product_code_130100_goods","130100","Lak getah alam, damar, getah-damar dan oleoresins (misalny getah balsem)"
"product_code_130200_goods","130200","Sap dan ekstrak nabati zat pektik, pektinat dan pektat Agar-agar dan lendir serta bahan pengental lainny dimodifikasi maupun tidak, berasal dari produk nabati"
"product_code_140000_goods","140000","Bahan anyaman nabati produk nabati tidak dirinci atau termasuk dalam pos lain"
"product_code_140100_goods","140100","Bahan nabati dari jenis yang terutama dipakai untuk anyam-anyaman (misalny bambu, rotan, buluh, kumbuh, osier, rafi jerami serealia dibersibkan, dikelantang atau dicelup, dan kulit pohon limau)"
"product_code_140400_goods","140400","Produk nabati tidak dirinci atau termasuk pos lainnya"
"product_code_150000_goods","150000","Lemak dan minyak hewani atau nabati serta produk disosiasinya lemak olahan yang dapat dimakan malam hewani atau malam nabati"
"product_code_150100_goods","150100","Lemak babi (termasuk lard) dan lemak unggas, selain dari pos 02.09 atau 15.03"
"product_code_150200_goods","150200","Lemak dari binatang jenis lembu, biri-biri atau kambing, selain pos 15.03"
"product_code_150300_goods","150300","Lard stearin, minyak lard, oleostearin, minyak oleo dan minyak tallow, tidak diemulsi atau dicampur atau diolah dengan cara lain"
"product_code_150400_goods","150400","Lemak dan minyak serta fraksiny dari ikan atau binatang laut menyusui, dimurnikan maupun tidak, tetapi tidak dimodifikasi secara kimia"
"product_code_150500_goods","150500","Wool grease dan zat lemak turunannya (termasuk lanolin)."
"product_code_150600_goods","150600","Lemak dan minyak binatang lainnya serta fraksiny dimurnikan maupun tidak, tetapi tidak dimodifikasi secara kimia"
"product_code_150700_goods","150700","Minyak kacang kedelai dan fraksiny dimurnikan maupun tidak, tetapi tidak dimodifikasi secara kimia"
"product_code_150800_goods","150800","Minyak kacang tanah dan fraksiny dimurnikan maupun tidak, tetapi tidak dimodifikasi secara kimia"
"product_code_150900_goods","150900","Minyak zaitun dan fraksiny dimurnikan maupun tidak, tetapi tidak dimodifikasi secara kimia"
"product_code_151000_goods","151000","Minyak lain dan fraksiny diperoleh semata-mata dari zaitun, dimurnikan maupun tidak, tetapi tidak dimodifikasi secara kimi termasuk campuran dari beberapa minyak atau fraksinya dengan minyak atau fraksi dari pos 15.09"
"product_code_151100_goods","151100","Minyak kelapa sawit dan fraksiny dimurnikan maupun tidak, tetapi tidak dimodifikasi secara kimia"
"product_code_151200_goods","151200","Minyak biji bunga matahari, safflower atau biji kapas dan fraksiny dimurnikan maupun tidak, tetapi tidak dimodifikasi secara kimia"
"product_code_151300_goods","151300","Minyak kelapa (kopra), kernel kelapa sawit atau babassu dan fraksiny dimurnikan maupun tidak, tetapi tidak dimodifikaid secara kimia"
"product_code_151400_goods","151400","Minyak lobak, colza atau mustar dan fraksiny dimurnikan maupun tidak, tetapi tidak dimodifikasi secara kimia"
"product_code_151500_goods","151500","Lemak dan minyak nabati atau mikroba tertentu lainnya (termasuk minyak jojoba) dan fraksiny dimurnikan maupun tidak, tetapi tidak dimodifikasi secara kimia"
"product_code_151600_goods","151600","Lemak dan minyak hewani, nabati atau mikroba dan fraksiny sebagian atau seluruhnya dihidrogenasi, diinter-esterifikasi, dire-esterifikasi atau dielaidinisasi, dimurnikan maupun tidak, tetapi tidak diolah lebih lanjut"
"product_code_151700_goods","151700","Margarin campuran atau olahan yang dapat dimakan dari lemak atau minyak hewani, nabati atau mikroba atau dari fraksi lemak atau minyak yang berbeda dalam bab ini, selain lemak dan minyak yang dapat dimakan atau fraksinya dari pos 15.16"
"product_code_151800_goods","151800","Lemak dan minyak hewani, nabati atau mikroba serta fraksiny dipanaskan, dioksidasi, didehidrasi, disulfurisasi, ditiup, dipolimerisasi dengan panas dalam hampa udara atau dalam gas inert atau dimodifikasi secara kimia lainny tidak termasuk dari pos 15.16 olahan atau campuran yang tidak dapat dimakan dari lemak atau minyak hewani, nabati atau mlkroba atau dari fraksi lemak atau minyak yang berbeda dalam Bab ini, tidak dirinci atau termasuk dalam pos lainnya"
"product_code_152000_goods","152000","Gliserol, mentah air gliserol dan larutan alkali gliserol"
"product_code_152100_goods","152100","Malam nabati (selain trigliserida), malam lebah, malam serangga lainnya dan spermaceti, dimurnikan atau diwarnai maupun tidak"
"product_code_152200_goods","152200","Degra residu yang diperoleh dari pengolahan zat berlemak atau malam hewani atau nabati"
"product_code_160000_goods","160000","Olahan dari daging, dari ikan, dari krustase moluska atau invertebrata air lainnya"
"product_code_160100_goods","160100","Sosis dan produk semacamny dari daging, sisa daging, darah atau serangga olahan makanan berasal dari produk ini"
"product_code_160200_goods","160200","Daging, sisa daging, darah atau serangga lainnya yang diolah atau diawetkan"
"product_code_160300_goods","160300","Ekstrak dan jus dari daging, ikan atau krustase moluska atau invertebrata air lainnya"
"product_code_160400_goods","160400","Ikan diolah atau diawetkan kaviar dan pengganti kaviar yang diolah dari telur ikan"
"product_code_160500_goods","160500","Krustase moluska dan invertebrata air lainny diolah atau diawetkan"
"product_code_170000_goods","170000","Gula dan kembang gula"
"product_code_170100_goods","170100","Gula tebu atau gula bit dan sukrosa murni Jdmiawi, dalam bentuk padat"
"product_code_170200_goods","170200","Gula lainny termasuk laktos maltos glukosa dan fruktosa murni kimiawi, dalam bentuk padat sirop gula tidak mengandung tambahan bahan perasa atau pewarna madu artifisial, dicampur dengan madu alam maupun tidak karamel"
"product_code_170300_goods","170300","Tetes hasil dari ekstraksi atau pemurnian gula"
"product_code_170400_goods","170400","Kembang gula (termasuk coklat putih), tidak mengandung kakao"
"product_code_180000_goods","180000","Kakao dan olahan kakao"
"product_code_180100_goods","180100","Biji kakao, utuh atau pecah, mentah atau digongseng"
"product_code_180200_goods","180200","Kulit, sekam, selaput dan sisa kakao lainnya"
"product_code_180300_goods","180300","Pasta kakao, dihilangkan lemaknya maupun tidak"
"product_code_180400_goods","180400","Menteg lemak dan minyak kakao"
"product_code_180500_goods","180500","Bubuk kakao, tidak mengandung tambahan gula a.tau bahan pemanis lainnya"
"product_code_180600_goods","180600","Coklat dan olahan makanan lainnya mengandung kakao."
"product_code_190000_goods","190000","Olahan dari sereali tepung, pati atau susu produk industri kue"
"product_code_190100_goods","190100","Ekstrak malt olahan makanan dari tepung, menir, tepung kasar, pati atau ekstrak malt, tidak mengandung kakao atau mengandung kakao kurang dari 40 % menurut beratnya yang dihitung atas dasar kakao yang dihilangkan seluruh lemakny tidak dirinci atau termasuk pos lainnya olahan makanan dari pos 04.01 sampai dengan 04.04, tidak mengandung kakao atau mengandung kakao kurang dari 5 % menurut beratnya yang dihitung atas dasar kakao yang dihilangkan seluruh lemakny tidak dirinci atau termasuk pos lainnya"
"product_code_190200_goods","190200","Past dimasak atau diisi maupun tidak (dengan daging atau bahan lainnya) atau diolah secara lain, seperti spagheti, makaroni, mie, lasagn gnocchi, ravioli, cannelloni couscous, diolah maupun tidak"
"product_code_190300_goods","190300","Tapioka dan penggantinya diolah dari pati, dalam bentuk serpih, butir, pearls, hasll ayakan atau bentuk semacam itu"
"product_code_190400_goods","190400","Makanan olahan diperoleh dengan cara menggembungkan atau menggongseng serealia atau produk serealia (misalny keripik jagung) serealia (selain jagung), dalam bentuk butir atau serpih atau butir yang dikerjakan secara lain (kecuali tepung, menir dan tepung kasar), belum dimasak atau diolah secara lain, tidak dirinci atau termasuk pos lainnya"
"product_code_190500_goods","190500","Roti, kue kering, kue, biskuit dan produk roti lainny mengandung kakao maupun tidak wafer komuni, selongsong kosong dari jenis yang cocok untuk keperluan farmasi, sealing wafers, rice paper dan produk yang semacam itu."
"product_code_200000_goods","200000","Olahan dari sayufan, buah, biji/kacang atau bagian lain dari tanaman"
"product_code_200100_goods","200100","Sayuran, buah, kacang dan bagian tanaman lainnya yang dapat dimakan, diolah atau diawetkan dengan cuka atau asam asetat"
"product_code_200200_goods","200200","Tomat diolah atau diawetkan selain dengan cuka atau asam asetat"
"product_code_200300_goods","200300","Jamur dan cendawan tanah, diolah atau diawetkan selain dengan cuka atau asam asetat"
"product_code_200400_goods","200400","Sayuran lainnya yang diolah atau diawetkan selain dengan cuka atau asam asetat, beku, selain produk dari pos 20.06"
"product_code_200500_goods","200500","Sayuran lainnya yang diolah atau diawetkan selain dengan cuka atau asam asetat, tidak beku, selain produk dari pos 20.06."
"product_code_200600_goods","200600","Sayuran, buah, kacang, kulit buah dan bagian lain dari tanaman, diawetkan dengan gula (dikeringkan, dilapisi atau dikristalisasi)"
"product_code_200700_goods","200700","Selai, jell buah, marmelade, pure dan pasta dari buah atau kacang, diperoleh dari pemasakan, mengandung tambahan gula atau bahan pemanis lainnya maupun tidak"
"product_code_200800_goods","200800","Buah, kacang dan bagian tanaman lainnya yang dapat dimakan, diolah atau diawetkan secara lain, mengandung tambahan gula atau bahan pemanis lainnya atau alkohol maupun tidak, tidak dirinci atau termasuk pos lainnya"
"product_code_200900_goods","200900","Jus buah atau buah bertempurung (termasuk grape must dan air kelapa) dan jus sayuran, tidak difermentasi dan tidak mengandung tambahan alkohol, mengandung tambahan gula atau pemanis lainnya maupun tidak"
"product_code_210000_goods","210000","Bermacam-macam olahan yang dapat dimakan"
"product_code_210100_goods","210100","Ekstrak, esens dan konsentrat, dari kopi, teh atau mate dan olahan dengan dasar produk ini atau dengan dasar kopi, teh atau mate chicory digongseng dan pengganti kopi yang digongseng lainny dan ekstrak, esens dan konsentratnya"
"product_code_210200_goods","210200","Ragi (aktif atau tidak aktif) mikro-organisme bersel tunggal lainny mati (tetapi tidak termasuk vaksin dari pos 30.02) bubuk pengembang roti"
"product_code_210300_goods","210300","Saus dan olahannya campuran bahan penyedap dan campuran bumbu tepung mustar dan tepung kasar mustar serta mustar olahan"
"product_code_210400_goods","210400","Sop dan kaldu serta olahannya olahan makanan campuran homogen"
"product_code_210500_goods","210500","Es krim dan es lainnya yang dapat dimakan, mengandung kakao maupun tidak"
"product_code_210600_goods","210600","Olahan makanan yang tidak dirinci atau termasuk dalam pos lainnya"
"product_code_220000_goods","220000","Minuman, alkohol dan cuka"
"product_code_220100_goods","220100","Air, termasuk air mineral alam atau artiflsial dan air sod tidak mengandung tambahan gula atau bahan pemanis lainnya maupun pemberi rasa es dan salju"
"product_code_220200_goods","220200","Air, termasuk air mineral dan air sod mengandung tambahan gula atau bahan pemanis lainnya atau pemberi ras dan minuman yang tidak mengandung alkohol lainny tidak termasuk jus buah, buah bertempurung atau sayuran dari pos 20.09"
"product_code_220300_goods","220300","Bir terbuat dari malt"
"product_code_220400_goods","220400","Minuman fermentasi (wine) dari buah anggur segar, termasuk minuman fermentasi (wine) yang diperkuat grape must selain dari pos 20.09."
"product_code_220500_goods","220500","Vermouth dan minuman fermentasi lainnya dari buah anggur segar yang diberi rasa dengan zat nabati atau zat beraroma"
"product_code_220600_goods","220600","Minuman fermentasi lainnya (misalny fermentasi buah apel, buah pir, larutan madu dalam air, sake) campuran minuman fermentasi dan campuran minuman fermentasi dengan minuman yang tidak mengandung alkohol, tidak dirinci atau termasuk dalam pos lainnya"
"product_code_220700_goods","220700","Etil alkohol yang tidak didenaturasi dengan kadar alkohol 80 % atau lebih menurut volumenya etil alkohol dan alkohol lainny didenaturasi berapapun kadarnya"
"product_code_220800_goods","220800","Etil alkohol yang tidak didenaturasi dengan kadar alkohol kurang dari 80 % menurut volumenya alkohol, sopi manis dan minuman beralkohol lainnya"
"product_code_220900_goods","220900","Cuka dan pengganti cuka diperoleh dari asam asetat"
"product_code_230000_goods","230000","Residu dan sisa dari industri makanan olahan makanan hewan"
"product_code_230100_goods","230100","Tepung, tepung kasar dan pelet, dari daging atau sisany dari ikan atau krustase moluska atau invertebrata air lainny tidak layak untuk dikonkumsi manusia greaves"
"product_code_230200_goods","230200","Sekam, dedak dan residu lainny berbentuk pelet maupun tidak, berasal dari pengayakan, penggilingan atau pengerjaan lainnya dari serealia atau dari tanaman polongan"
"product_code_230300_goods","230300","Residu dari pembuatan pati dan residu semacam itu, pulp bit, ampas tebu dan sisa lainnya dari pembuatan gul endapan dan sisa pembuatan bir atau penyulingan, berbentuk pelet maupun tidak"
