"id","sequence","name","description","invoice_label","amount","amount_type","type_tax_use","active","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","description@da_DK","invoice_label@da_dk","fiscal_position_ids","original_tax_ids","invoice_legal_notes","invoice_legal_notes@da_DK"
"tax_smfeu","20","S_EU_Momsfritaget","VAT-exempt sales (EU)","0 %","0.0","percent","sale","True","base","invoice","","","","Momsfritaget salg (EU)","0 %","fiscal_position_template_eu_taxid","","",""
"","","","","","","","","","tax","invoice","","","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","","","","","","","","",""
"tax_s4","21","S_ejEU_Varer_MomsNulPct","Sales of goods B2B (% EU), 0% VAT","0 %","0.0","percent","sale","True","base","invoice","","R-C-UR","","Varesalg B2B (% EU), 0% moms","0 %","fiscal_position_template_3lande","","",""
"","","","","","","","","","tax","invoice","dk_coa_7740","","","","","","","",""
"","","","","","","","","","tax","invoice","dk_coa_7700","","-100","","","","","",""
"","","","","","","","","","base","refund","","R-C-UR","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7740","","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7700","","-100","","","","","",""
"tax_s5","22","S_ejEU_Ydelser_MomsNulPct","Service sales B2B (% EU), 0% VAT","0 %","0.0","percent","sale","True","base","invoice","","R-C-UR","","Ydelsessalg B2B (% EU), 0% moms","0 %","fiscal_position_template_3lande","","",""
"","","","","","","","","","tax","invoice","dk_coa_7740","","","","","","","",""
"","","","","","","","","","tax","invoice","dk_coa_7700","","-100","","","","","",""
"","","","","","","","","","base","refund","","R-C-UR","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7740","","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7700","","-100","","","","","",""
"tax_s6","23","S_ejEU_Momsfritaget","VAT-exempt sales (outside the EU) § 13","0 %","0.0","percent","sale","True","base","invoice","","","","Momsfritaget salg (udenfor EU) § 13","0 %","fiscal_position_template_3lande","tax_s1y,tax_s1","",""
"","","","","","","","","","tax","invoice","","","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","","","","","","","","",""
"tax_k1","29","K_DK_FuldFradrag","Purchase VAT (DK), full deduction (100%)","25 %","25.0","percent","purchase","True","base","invoice","","","","Indgående moms (DK), fuld fradrag (100%)","25 %","fiscal_position_template_eu,fiscal_position_template_dk_vat","","",""
"","","","","","","","","","tax","invoice","dk_coa_7740","KM","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7740","KM","","","","","","",""
"tax_k1y","29","K_DK_Y_FuldFradrag","Purchase VAT (DK), full deduction (100%) (Services)","25 %","25.0","percent","purchase","True","base","invoice","","","","Indgående moms (DK), fuld fradrag (100%) (Ydelser)","25 %","fiscal_position_template_eu,fiscal_position_template_dk_vat","","",""
"","","","","","","","","","tax","invoice","dk_coa_7740","KM","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7740","KM","","","","","","",""
"tax_k3","30","K_DK_SkoennetFradrag","Purchase VAT (DK), discretionary deduction","25 %","25.0","percent","purchase","True","base","invoice","","","","","","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","dk_coa_7740","KM","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7740","KM","","","","","","",""
"tax_k0","31","K_DK_IngenFradrag","VAT exempt purchase, No deduction, no VAT on purchase","0 %","0.0","percent","purchase","True","base","invoice","","","","Momsfritaget køb, Ingen fradrag, ingen moms på køb ","0 %","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","","","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"tax_k7","32","K_DK_VejFradrag","Purchase VAT (DK), statutory partial deduction (2/3 deduction)","25 %","25.0","percent","purchase","False","base","invoice","","","","Indgående moms (DK), lovbestemt delvist fradrag (2/3 fradrag)","25 %","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","dk_coa_7740","KM","66.67","","","","","",""
"","","","","","","","","","tax","invoice","","","33.33","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7740","KM","66.67","","","","","",""
"","","","","","","","","","tax","refund","","","33.33","","","","","",""
"tax_k5a","33","K_DK_FastnettelefonFuld","Purchase VAT (DK), statutory partial deduction (50%)","25 %","25.0","percent","purchase","True","base","invoice","","","","Indgående moms (DK), lovbestemt delvist fradrag (50%)","25 %","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","dk_coa_7740","KM","50","","","","","",""
"","","","","","","","","","tax","invoice","","","50","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7740","KM","50","","","","","",""
"","","","","","","","","","tax","refund","","","50","","","","","",""
"tax_k5b","34","K_DK_FastnettelefonProRata","Purchase VAT (DK), statutory partial deduction (50% x pro rata)","25 %","25.0","percent","purchase","True","base","invoice","","","","Indgående moms (DK), lovbestemt delvist fradrag (50% x pro rata)","25 %","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","dk_coa_7740","KM","50","","","","","",""
"","","","","","","","","","tax","invoice","","","50","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7740","KM","50","","","","","",""
"","","","","","","","","","tax","refund","","","50","","","","","",""
"tax_kl1","35","K_DK_GulpladebilFradragPrivat","Leasing and operation of a yellow plate car, (private and mixed purposes as well as businesses)","25 %","25.0","percent","purchase","True","base","invoice","","","","Leasing og drift af gulpladebil, (private og blandede formål samt erhverv)","25 %","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","dk_coa_7740","KM","33.33","","","","","",""
"","","","","","","","","","tax","invoice","","","66.67","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7740","KM","33.33","","","","","",""
"","","","","","","","","","tax","refund","","","66.67","","","","","",""
"tax_k25a","36","K_DK_ReprFradragFuld","Representation VAT, partly deductible (25%)","25 %","25.0","percent","purchase","True","base","invoice","","","","Repræsentationsmoms, delvist fradragsberettiget (25%)","25 %","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","dk_coa_7740","KM","25","","","","","",""
"","","","","","","","","","tax","invoice","","","75","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7740","KM","25","","","","","",""
"","","","","","","","","","tax","refund","","","75","","","","","",""
"tax_k25b","37","K_DK_ReprFradragProRata","Representation VAT, partly deductible (25% x pro rata)","25 %","25.0","percent","purchase","True","base","invoice","","","","Repræsentationsmoms, delvist fradragsberettiget (25% x pro rata)","25 %","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","dk_coa_7740","KM","25","","","","","",""
"","","","","","","","","","tax","invoice","","","75","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7740","KM","25","","","","","",""
"","","","","","","","","","tax","refund","","","75","","","","","",""
"tax_kl2","38","K_DK_LeasinghvidpladebilFradrag","Leasing of white plate car in min. 6 months (invoice)","25 %","25.0","percent","purchase","True","base","invoice","","","","Leasing af hvidpladebil i min. 6 mdr.  (faktura)","25 %","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","dk_coa_7740","KM","25","","","","","",""
"","","","","","","","","","tax","invoice","","","75","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7740","KM","25","","","","","",""
"","","","","","","","","","tax","refund","","","75","","","","","",""
"tax_kl3","38","K_DK_LeasinghvidpladebilFradragProrata","Leasing of white plate car in min. 6 months (invoice x pro rata)","25 %","25.0","percent","purchase","True","base","invoice","","","","Leasing af hvidpladebil i min. 6 mdr.  (faktura x pro rata)","25 %","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","dk_coa_7740","KM","25","","","","","",""
"","","","","","","","","","tax","invoice","","","75","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7740","KM","25","","","","","",""
"","","","","","","","","","tax","refund","","","75","","","","","",""
"tax_k2","39","K_DK_DelvisFradrag","Purchase VAT (DK), Partial deduction (pro rata)","25 %","25.0","percent","purchase","True","base","invoice","","","","Indgående moms (DK), Delvis fradrag (pro rata)","25 %","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","dk_coa_7740","KM","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7740","KM","","","","","","",""
"tax_k6","40","K_DK_SektorFradrag","Purchase VAT (DK), sector-based right of deduction","25 %","25.0","percent","purchase","True","base","invoice","","","","Indgående moms (DK), sektorbaseret fradragsret","25 %","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","dk_coa_7740","KM","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7740","KM","","","","","","",""
"tax_k4","41","K_DK_ArealFradrag","Area-based deductibility real estate","25 %","25.0","percent","purchase","True","base","invoice","","","","Arealbaseret fradragsret fast ejendom","25 %","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","dk_coa_7740","KM","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7740","KM","","","","","","",""
"tax_kbrugtmoms","42","K_DK_Brugtmoms","Used VAT","0 %","0.0","percent","purchase","False","base","invoice","","","","Brugtmoms","25 %","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","","","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","","","","","","","","",""
"tax_kmarginmoms","43","K_DK_Marginmoms","Margin VAT","0 %","0.0","percent","purchase","False","base","invoice","","","","Marginmoms","25 %","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","","","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","","","","","","","","",""
"tax_k_brugtbil","44","K_DK_brugtbil","Used passenger motor vehicles","0 %","0.0","percent","purchase","False","base","invoice","","","","Brugte personmotorkøretøjer","25 %","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","","","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","","","","","","","","",""
"tax_kleasingbil","45","K_DK_leasingbiler_mm","Rental companies, driving schools and tow trucks","0 %","0.0","percent","purchase","False","base","invoice","","","","Udlejningsvirksomheder, køreskoler og demobiler","20 %","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","","","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","","","","","","","","",""
"tax_kdk01","46","K_DK_OmvBetPl_FuldFradrag","DK reverse obligation to pay, Purchase VAT, fully deductible (100%)","","25.0","percent","purchase","False","base","invoice","","","","DK omvendt betalingspligt, Indgående moms, fuldt fradragsberettiget (100%)","","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","dk_coa_7740","KM","","","","","","",""
"","","","","","","","","","tax","invoice","dk_coa_7680","UM","-100","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7740","KM","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7680","UM","-100","","","","","",""
"tax_kdko2","47","K_DK_OmvBetPl_DelvisFradrag","DK reverse obligation to pay, Purchase VAT, Partial deduction (pro rata)","","25.0","percent","purchase","False","base","invoice","","","","DK omvendt betalingspligt, Indgående moms, Delvis fradrag (pro rata)","","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","dk_coa_7740","KM","","","","","","",""
"","","","","","","","","","tax","invoice","dk_coa_7680","UM","-100","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7740","KM","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7680","UM","-100","","","","","",""
"tax_kdko3","48","K_DK_OmvBetPl_SkoennetFradrag","DK reverse payment obligation, Purchase VAT, discretionary deduction","","25.0","percent","purchase","False","base","invoice","","","","DK omvendt betalingspligt, Indgående moms, skønsmæssigt fradrag","","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","dk_coa_7740","KM","","","","","","",""
"","","","","","","","","","tax","invoice","dk_coa_7680","UM","-100","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7740","KM","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7680","UM","-100","","","","","",""
"tax_kdko0","49","K_DK_OmvBetPl_IngenFradrag","DK reverse payment obligation, No deduction","","25.0","percent","purchase","False","base","invoice","","","","DK omvendt betalingspligt, Ingen fradrag","","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","dk_coa_7740","KM","","","","","","",""
"","","","","","","","","","tax","invoice","dk_coa_7680","UM","-100","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7740","KM","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7680","UM","-100","","","","","",""
"tax_kdko4","50","K_DK_OmvBetPl_ArealFradrag","DK reverse payment obligation, Area-based right to deduct real estate","","25.0","percent","purchase","False","base","invoice","","","","DK omvendt betalingspligt, Arealbaseret fradragsret fast ejendom","","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","dk_coa_7740","KM","","","","","","",""
"","","","","","","","","","tax","invoice","dk_coa_7680","UM","-100","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7740","KM","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7680","UM","-100","","","","","",""
"tax_klokalmoms","14","K_LokalMoms","Purchases with local VAT","0 %","0","percent","purchase","True","base","invoice","","","","Køb med lokal moms","","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","","","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","","","","","","","","",""
"tax_kdkoi","52","K_DK_refusion","Purchases covered by the public refund scheme","25 %","25.0","percent","purchase","False","base","invoice","","","","Køb omfattet af det offentliges refusionsordning","","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","","","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","","","","","","","","",""
"tax_keuv1","53","K_EU_Varer_Fradrag","Purchase of goods, acquisition VAT (EU), fully deductible (100%)","","25.0","percent","purchase","True","base","invoice","","R-A-V","","Varekøb, erhvervelsesmoms (EU), fuldt fradragsberettiget (100%)","","fiscal_position_template_eu_taxid","tax_k1","",""
"","","","","","","","","","tax","invoice","dk_coa_7740","KM","","","","","","",""
"","","","","","","","","","tax","invoice","dk_coa_7700","MVU","-100","","","","","",""
"","","","","","","","","","base","refund","","R-A-V","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7740","KM","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7700","MVU","-100","","","","","",""
"tax_keuv3","54","K_EU_Varer_SkoennetFradrag","Purchase of goods, acquisition VAT (EU), discretionary deduction","","25.0","percent","purchase","True","base","invoice","","R-A-V","","Varekøb, erhvervelsesmoms (EU), skønsmæssigt fradrag","","fiscal_position_template_eu_taxid","","",""
"","","","","","","","","","tax","invoice","dk_coa_7740","KM","","","","","","",""
"","","","","","","","","","tax","invoice","dk_coa_7700","MVU","-100","","","","","",""
"","","","","","","","","","base","refund","","R-A-V","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7740","KM","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7700","MVU","-100","","","","","",""
"tax_keuv0","55","K_EU_Varer_IngenFradrag","Purchase of goods, acquisition VAT (EU), discretionary deduction","","25.0","percent","purchase","True","base","invoice","","R-A-V","","Varekøb, erhvervelsesmoms (EU), skønsmæssigt fradrag","","fiscal_position_template_eu_taxid","","",""
"","","","","","","","","","tax","invoice","dk_coa_7740","KM","","","","","","",""
"","","","","","","","","","tax","invoice","dk_coa_7700","MVU","-100","","","","","",""
"","","","","","","","","","base","refund","","R-A-V","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7740","KM","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7700","MVU","-100","","","","","",""
"tax_keuv2","56","K_EU_Varer_DelvisFradrag","Purchase of goods, acquisition VAT (EU), Partial deduction (pro rata)","","25.0","percent","purchase","True","base","invoice","","R-A-V","","Varekøb, erhvervelsesmoms (EU), Delvis fradrag (pro rata)","","fiscal_position_template_eu_taxid","","",""
"","","","","","","","","","tax","invoice","dk_coa_7740","KM","","","","","","",""
"","","","","","","","","","tax","invoice","dk_coa_7700","MVU","-100","","","","","",""
"","","","","","","","","","base","refund","","R-A-V","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7740","KM","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7700","MVU","-100","","","","","",""
"tax_keuv4","57","K_EU_Varer_ArealFradrag","Purchase of goods, acquisition VAT (EU), area-based real estate deductibility","","25.0","percent","purchase","True","base","invoice","","R-A-V","","Varekøb, erhvervelsesmoms (EU), Arealbaseret fradragsret fast ejendom","","fiscal_position_template_eu_taxid","","",""
"","","","","","","","","","tax","invoice","dk_coa_7740","KM","","","","","","",""
"","","","","","","","","","tax","invoice","dk_coa_7700","MVU","-100","","","","","",""
"","","","","","","","","","base","refund","","R-A-V","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7740","KM","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7700","MVU","-100","","","","","",""
"tax_keuy1","58","K_EU_Ydelser_FuldFradrag","Purchase of services, reverse obligation to pay (EU), fully deductible (100%)","","25.0","percent","purchase","True","base","invoice","","R-A-Y","","Ydelseskøb, omvendt betalingspligt (EU), fuldt fradragsberettiget (100%)","","fiscal_position_template_eu_taxid","tax_k1y","",""
"","","","","","","","","","tax","invoice","dk_coa_7740","KM","","","","","","",""
"","","","","","","","","","tax","invoice","dk_coa_7720","MYUOB","-100","","","","","",""
"","","","","","","","","","base","refund","","R-A-Y","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7740","KM","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7720","MYUOB","-100","","","","","",""
"tax_keuy3","59","K_EU_Ydelser_SkoennetFradrag","Purchase of services, reverse obligation to pay (EU), discretionary deduction","","25.0","percent","purchase","True","base","invoice","","R-A-Y","","Ydelseskøb, omvendt betalingspligt (EU), skønsmæssigt fradrag","","fiscal_position_template_eu_taxid","","",""
"","","","","","","","","","tax","invoice","dk_coa_7740","KM","","","","","","",""
"","","","","","","","","","tax","invoice","dk_coa_7720","MYUOB","-100","","","","","",""
"","","","","","","","","","base","refund","","R-A-Y","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7740","KM","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7720","MYUOB","-100","","","","","",""
"tax_keuy0","60","K_EU_Ydelser_IngenFradrag","Purchase of services, reverse obligation to pay (EU), no deduction","","25.0","percent","purchase","True","base","invoice","","R-A-Y","","Ydelseskøb, omvendt betalingspligt (EU), ingen fradrag","","fiscal_position_template_eu_taxid","","",""
"","","","","","","","","","tax","invoice","dk_coa_7740","KM","","","","","","",""
"","","","","","","","","","tax","invoice","dk_coa_7720","MYUOB","-100","","","","","",""
"","","","","","","","","","base","refund","","R-A-Y","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7740","KM","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7720","MYUOB","-100","","","","","",""
"tax_keuy2","61","K_EU_Ydelser_DelvisFradrag","Purchase of services, reverse obligation to pay (EU), Partial deduction","","25.0","percent","purchase","True","base","invoice","","R-A-Y","","Ydelseskøb, omvendt betalingspligt (EU), Delvis fradrag","","fiscal_position_template_eu_taxid","","",""
