"id","name","description","invoice_label","sequence","amount_type","amount","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","l10n_ar_state_id","name@es","description@es","invoice_label@es","fiscal_position_ids","original_tax_ids"
"ri_tax_percepcion_iibb_co_sufrida","P. IIBB CBA","Perception IIBB Córdoba","Perc IIBB Córdoba","4","fixed","1","purchase","tax_group_percepcion_iibb_co","base","invoice","","base.state_ar_x","","Percepción IIBB Córdoba","Perc IIBB Córdoba","",""
"","","","","","","","","","tax","invoice","base_percepcion_iibb_co_sufrida","","","","","",""
"","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","tax","refund","base_percepcion_iibb_co_sufrida","","","","","",""
"ri_tax_percepcion_iibb_rr_sufrida","P. IIBB CTS","Perception IIBB Corrientes","Perc IIBB Corrientes","4","fixed","1","purchase","tax_group_percepcion_iibb_rr","base","invoice","","base.state_ar_w","","Percepción IIBB Corrientes","Perc IIBB Corrientes","",""
"","","","","","","","","","tax","invoice","base_percepcion_iibb_rr_sufrida","","","","","",""
"","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","tax","refund","base_percepcion_iibb_rr_sufrida","","","","","",""
"ri_tax_percepcion_iibb_er_sufrida","P. IIBB ER","Perception IIBB Entre Ríos","Perc IIBB Entre Ríos","4","fixed","1","purchase","tax_group_percepcion_iibb_er","base","invoice","","base.state_ar_e","","Percepción IIBB Entre Ríos","Perc IIBB Entre Ríos","",""
"","","","","","","","","","tax","invoice","base_percepcion_iibb_er_sufrida","","","","","",""
"","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","tax","refund","base_percepcion_iibb_er_sufrida","","","","","",""
"ri_tax_percepcion_iibb_ju_sufrida","P. IIBB J","Perception IIBB Jujuy","Perc IIBB Jujuy","4","fixed","1","purchase","tax_group_percepcion_iibb_ju","base","invoice","","base.state_ar_y","","Percepción IIBB Jujuy","Perc IIBB Jujuy","",""
"","","","","","","","","","tax","invoice","base_percepcion_iibb_ju_sufrida","","","","","",""
"","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","tax","refund","base_percepcion_iibb_ju_sufrida","","","","","",""
"ri_tax_percepcion_iibb_za_sufrida","P. IIBB MZA","Perception IIBB Mendoza","Perc IIBB Mendoza","4","fixed","1","purchase","tax_group_percepcion_iibb_za","base","invoice","","base.state_ar_m","","Percepción IIBB Mendoza","Perc IIBB Mendoza","",""
"","","","","","","","","","tax","invoice","base_percepcion_iibb_za_sufrida","","","","","",""
"","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","tax","refund","base_percepcion_iibb_za_sufrida","","","","","",""
"ri_tax_percepcion_iibb_lr_sufrida","P. IIBB LR","Perception IIBB La Rioja","Perc IIBB La Rioja","4","fixed","1","purchase","tax_group_percepcion_iibb_lr","base","invoice","","base.state_ar_f","","Percepción IIBB La Rioja","Perc IIBB La Rioja","",""
"","","","","","","","","","tax","invoice","base_percepcion_iibb_lr_sufrida","","","","","",""
"","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","tax","refund","base_percepcion_iibb_lr_sufrida","","","","","",""
"ri_tax_percepcion_iibb_sa_sufrida","P. IIBB S","Perception IIBB Salta","Perc IIBB Salta","4","fixed","1","purchase","tax_group_percepcion_iibb_sa","base","invoice","","base.state_ar_a","","Percepción IIBB Salta","Perc IIBB Salta","",""
"","","","","","","","","","tax","invoice","base_percepcion_iibb_sa_sufrida","","","","","",""
"","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","tax","refund","base_percepcion_iibb_sa_sufrida","","","","","",""
"ri_tax_percepcion_iibb_nn_sufrida","P. IIBB SJ","Perception IIBB San Juan","Perc IIBB San Juan","4","fixed","1","purchase","tax_group_percepcion_iibb_nn","base","invoice","","base.state_ar_j","","Percepción IIBB San Juan","Perc IIBB San Juan","",""
"","","","","","","","","","tax","invoice","base_percepcion_iibb_nn_sufrida","","","","","",""
"","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","tax","refund","base_percepcion_iibb_nn_sufrida","","","","","",""
"ri_tax_percepcion_iibb_sl_sufrida","P. IIBB SL","Perception IIBB San Luis","Perc IIBB San Luis","4","fixed","1","purchase","tax_group_percepcion_iibb_sl","base","invoice","","base.state_ar_d","","Percepción IIBB San Luis","Perc IIBB San Luis","",""
"","","","","","","","","","tax","invoice","base_percepcion_iibb_sl_sufrida","","","","","",""
"","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","tax","refund","base_percepcion_iibb_sl_sufrida","","","","","",""
"ri_tax_percepcion_iibb_sf_sufrida","P. IIBB SF","Perception IIBB Santa Fe","Perc IIBB Santa Fe","4","fixed","1","purchase","tax_group_percepcion_iibb_sf","base","invoice","","base.state_ar_s","","Percepción IIBB Santa Fe","Perc IIBB Santa Fe","",""
"","","","","","","","","","tax","invoice","base_percepcion_iibb_sf_sufrida","","","","","",""
"","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","tax","refund","base_percepcion_iibb_sf_sufrida","","","","","",""
"ri_tax_percepcion_iibb_se_sufrida","P. IIBB SE","Perception IIBB Santiago del Estero","Perc IIBB Santiago del Estero","4","fixed","1","purchase","tax_group_percepcion_iibb_se","base","invoice","","base.state_ar_g","","Percepción IIBB Santiago del Estero","Perc IIBB Santiago del Estero","",""
"","","","","","","","","","tax","invoice","base_percepcion_iibb_se_sufrida","","","","","",""
"","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","tax","refund","base_percepcion_iibb_se_sufrida","","","","","",""
"ri_tax_percepcion_iibb_tn_sufrida","P. IIBB T","Perception IIBB Tucumán","Perc IIBB Tucumán","4","fixed","1","purchase","tax_group_percepcion_iibb_tn","base","invoice","","base.state_ar_t","","Percepción IIBB Tucumán","Perc IIBB Tucumán","",""
"","","","","","","","","","tax","invoice","base_percepcion_iibb_tn_sufrida","","","","","",""
"","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","tax","refund","base_percepcion_iibb_tn_sufrida","","","","","",""
"ri_tax_percepcion_iibb_ha_sufrida","P. IIBB CHO","Perception IIBB Chaco","Perc IIBB Chaco","4","fixed","1","purchase","tax_group_percepcion_iibb_ha","base","invoice","","base.state_ar_h","","Percepción IIBB Chaco","Perc IIBB Chaco","",""
"","","","","","","","","","tax","invoice","base_percepcion_iibb_ha_sufrida","","","","","",""
"","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","tax","refund","base_percepcion_iibb_ha_sufrida","","","","","",""
"ri_tax_percepcion_iibb_ct_sufrida","P. IIBB CHT","Perception IIBB Chubut","Perc IIBB Chubut","4","fixed","1","purchase","tax_group_percepcion_iibb_ct","base","invoice","","base.state_ar_u","","Percepción IIBB Chubut","Perc IIBB Chubut","",""
"","","","","","","","","","tax","invoice","base_percepcion_iibb_ct_sufrida","","","","","",""
"","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","tax","refund","base_percepcion_iibb_ct_sufrida","","","","","",""
"ri_tax_percepcion_iibb_fo_sufrida","P. IIBB F","Perception IIBB Formosa","Perc IIBB Formosa","4","fixed","1","purchase","tax_group_percepcion_iibb_fo","base","invoice","","base.state_ar_p","","Percepción IIBB Formosa","Perc IIBB Formosa","",""
"","","","","","","","","","tax","invoice","base_percepcion_iibb_fo_sufrida","","","","","",""
"","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","tax","refund","base_percepcion_iibb_fo_sufrida","","","","","",""
"ri_tax_percepcion_iibb_mi_sufrida","P. IIBB MS","Perception IIBB Misiones","Perc IIBB Misiones","4","fixed","1","purchase","tax_group_percepcion_iibb_mi","base","invoice","","base.state_ar_n","","Percepción IIBB Misiones","Perc IIBB Misiones","",""
"","","","","","","","","","tax","invoice","base_percepcion_iibb_mi_sufrida","","","","","",""
"","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","tax","refund","base_percepcion_iibb_mi_sufrida","","","","","",""
"ri_tax_percepcion_iibb_ne_sufrida","P. IIBB N","Perception IIBB Neuquén","Perc IIBB Neuquén","4","fixed","1","purchase","tax_group_percepcion_iibb_ne","base","invoice","","base.state_ar_q","","Percepción IIBB Neuquén","Perc IIBB Neuquén","",""
"","","","","","","","","","tax","invoice","base_percepcion_iibb_ne_sufrida","","","","","",""
"","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","tax","refund","base_percepcion_iibb_ne_sufrida","","","","","",""
"ri_tax_percepcion_iibb_lp_sufrida","P. IIBB LP","Perception IIBB La Pampa","Perc IIBB La Pampa","4","fixed","1","purchase","tax_group_percepcion_iibb_lp","base","invoice","","base.state_ar_l","","Percepción IIBB La Pampa","Perc IIBB La Pampa","",""
"","","","","","","","","","tax","invoice","base_percepcion_iibb_lp_sufrida","","","","","",""
"","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","tax","refund","base_percepcion_iibb_lp_sufrida","","","","","",""
"ri_tax_percepcion_iibb_rn_sufrida","P. IIBB RN","Perception IIBB Río Negro","Perc IIBB Río Negro","4","fixed","1","purchase","tax_group_percepcion_iibb_rn","base","invoice","","base.state_ar_r","","Percepción IIBB Río Negro","Perc IIBB Río Negro","",""
"","","","","","","","","","tax","invoice","base_percepcion_iibb_rn_sufrida","","","","","",""
"","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","tax","refund","base_percepcion_iibb_rn_sufrida","","","","","",""
"ri_tax_percepcion_iibb_az_sufrida","P. IIBB SC","Perception IIBB Santa Cruz","Perc IIBB Santa Cruz","4","fixed","1","purchase","tax_group_percepcion_iibb_az","base","invoice","","base.state_ar_z","","Percepción IIBB Santa Cruz","Perc IIBB Santa Cruz","",""
"","","","","","","","","","tax","invoice","base_percepcion_iibb_az_sufrida","","","","","",""
"","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","tax","refund","base_percepcion_iibb_az_sufrida","","","","","",""
"ri_tax_percepcion_iibb_tf_sufrida","P. IIBB TAIS","Perception IIBB Tierra del Fuego","Perc IIBB Tierra del Fuego","4","fixed","1","purchase","tax_group_percepcion_iibb_tf","base","invoice","","base.state_ar_v","","Percepción IIBB Tierra del Fuego","Perc IIBB Tierra del Fuego","",""
"","","","","","","","","","tax","invoice","base_percepcion_iibb_tf_sufrida","","","","","",""
"","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","tax","refund","base_percepcion_iibb_tf_sufrida","","","","","",""
