"id","name","l10n_ar_vat_afip_code","country_id","sequence","l10n_ar_tribute_afip_code","tax_payable_account_id","tax_receivable_account_id","name@es"
"tax_group_percepcion_iibb_nn","Perc IIBB San Juan","","base.ar","","07","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","Perc IIBB San Juan"
"tax_group_percepcion_iibb_sl","Perc IIBB San Luis","","base.ar","","07","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","Perc IIBB San Luis"
"tax_group_percepcion_iibb_sf","Perc IIBB Santa Fe","","base.ar","","07","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","Perc IIBB Santa Fe"
"tax_group_percepcion_iibb_se","Perc IIBB Santiago del Estero","","base.ar","","07","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","Perc IIBB Santiago del Estero"
"tax_group_percepcion_iibb_tn","Perc IIBB Tucumán","","base.ar","","07","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","Perc IIBB Tucumán"
"tax_group_percepcion_iibb_ha","Perc IIBB Chaco","","base.ar","","07","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","Perc IIBB Chaco"
"tax_group_percepcion_iibb_ct","Perc IIBB Chubut","","base.ar","","07","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","Perc IIBB Chubut"
"tax_group_percepcion_iibb_fo","Perc IIBB Formosa","","base.ar","","07","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","Perc IIBB Formosa"
"tax_group_percepcion_iibb_mi","Perc IIBB Misiones","","base.ar","","07","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","Perc IIBB Misiones"
"tax_group_percepcion_iibb_ne","Perc IIBB Neuquén","","base.ar","","07","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","Perc IIBB Neuquén"
"tax_group_percepcion_iibb_lp","Perc IIBB La Pampa","","base.ar","","07","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","Perc IIBB La Pampa"
"tax_group_percepcion_iibb_rn","Perc IIBB Río Negro","","base.ar","","07","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","Perc IIBB Río Negro"
"tax_group_percepcion_iibb_az","Perc IIBB Santa Cruz","","base.ar","","07","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","Perc IIBB Santa Cruz"
"tax_group_percepcion_iibb_tf","Perc IIBB Tierra del Fuego","","base.ar","","07","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","Perc IIBB Tierra del Fuego"
"tax_group_percepcion_iibb","IIBB Perceptions","","base.ar","25","07","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","IIBB Percepciones"
"tax_group_percepcion_municipal","Municipal Taxes Perceptions","","base.ar","","08","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","Percepción de los impuestos municipales"
"tax_group_percepcion_ganancias","Profit Perceptions","","base.ar","","09","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","Percepción de los beneficios"
"tax_group_otras_percepciones","Other Perceptions","","base.ar","","09","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","Otras percepciones"
