"id","code","name","tag_ids","account_type","description","reconcile","active","depreciation_model_id","non_trade","parent_id","name@ko_KR","description@ko_KR"
"l10n_kr_115110","115110","Merchandise","account.account_tag_operating","asset_current","Merchandise goods purchased from vendors for direct resale.","False","True","","False","l10n_kr_115100","상품","추가 가공 없이 판매할 목적으로 외부에서 매입한 상품입니다."
"l10n_kr_115200","115200","Finished Goods","","asset_current","Parent account for manufactured finished goods.","False","False","","False","l10n_kr_115000","제품","자가 제조한 제품의 통합 집계 계정입니다."
"l10n_kr_115210","115210","Finished Goods","account.account_tag_operating","asset_current","Finished products manufactured in-house ready for sale.","False","True","","False","l10n_kr_115200","제품","회사에서 제조 과정을 완료하여 판매 대기 중인 제품입니다."
"l10n_kr_115300","115300","Semi-finished Goods","","asset_current","Parent account for semi-finished goods.","False","False","","False","l10n_kr_115000","반제품","제조 과정 중인 반제품의 통합 집계 계정입니다."
"l10n_kr_115310","115310","Semi-finished Goods","account.account_tag_operating","asset_current","Semi-finished manufactured items that can be sold or processed further.","False","True","","False","l10n_kr_115300","반제품","일부 가공이 완료되어 그대로 판매하거나 추가 가공할 수 있는 반제품입니다."
"l10n_kr_115400","115400","Work in Process","","asset_current","Parent account for work in process items.","False","False","","False","l10n_kr_115000","재공품","제조 공정 중에 있는 재공품의 통합 집계 계정입니다."
"l10n_kr_115410","115410","Work in Process","account.account_tag_operating","asset_current","Work in process items currently on production lines.","False","True","","False","l10n_kr_115400","재공품","제품 제조를 위해 공정 중에 투입되어 가공 중인 미완성품(재공품)입니다."
"l10n_kr_115500","115500","Raw Materials","","asset_current","Parent account for raw materials.","False","False","","False","l10n_kr_115000","원재료","제품 제조를 위해 투입할 원재료의 통합 집계 계정입니다."
"l10n_kr_115510","115510","Raw Materials","account.account_tag_operating","asset_current","Raw materials purchased to be consumed directly in the production process.","False","True","","False","l10n_kr_115500","원재료","제품 생산을 위해 소비할 목적으로 매입한 원재료입니다."
"l10n_kr_115600","115600","Supplies (Inventory)","","asset_current","Parent account for inventory supplies.","False","False","","False","l10n_kr_115000","저장품","소모성 자재 및 저장품의 통합 집계 계정입니다."
"l10n_kr_115610","115610","Supplies (Inventory)","account.account_tag_operating","asset_current","Factory tools, maintenance supplies, and office stationery stored in warehouses.","False","True","","False","l10n_kr_115600","저장품","공장 소모품, 수선용 부품 및 기말 재고로 남아 있는 저장품입니다."
"l10n_kr_115900","115900","Other Inventories","","asset_current","Parent account for miscellaneous inventories.","False","False","","False","l10n_kr_115000","기타재고자산","기타 재고자산의 통합 집계 계정입니다."
"l10n_kr_115910","115910","Other Inventories","account.account_tag_operating","asset_current","Miscellaneous inventory items not classified elsewhere.","False","True","","False","l10n_kr_115900","기타재고자산","미착품, 적송품 등 다른 항목으로 분류되지 않는 기타 재고자산입니다."
"l10n_kr_121000","121000","Investments","","asset_non_current","Parent account for long-term investments held for control or returns.","False","False","","False","","투자자산","장기 투자수익이나 타사 지배 목적으로 보유하는 투자자산의 통합 집계 계정입니다."
"l10n_kr_121100","121100","Investment Property","","asset_non_current","Parent account for investment properties.","False","False","","False","l10n_kr_121000","투자부동산","투자부동산의 통합 집계 계정입니다."
"l10n_kr_121110","121110","Investment Property","account.account_tag_investing","asset_non_current","Properties held to earn rentals or for capital appreciation.","False","True","","False","l10n_kr_121100","투자부동산","시세 차익이나 임대 수익을 얻을 목적으로 보유하는 투자부동산입니다."
"l10n_kr_121200","121200","Long-term Investment Securities","","asset_non_current","Parent account for long-term marketable and debt securities.","False","False","","False","l10n_kr_121000","장기투자증권","장기 투자 목적의 유가증권(장기투자증권) 통합 집계 계정입니다."
"l10n_kr_121210","121210","Available-for-Sale Securities","account.account_tag_investing","asset_non_current","Long-term marketable securities classified as available-for-sale.","False","True","","False","l10n_kr_121200","매도가능증권","장기 투자 목적으로 보유하며 매도가능증권으로 분류되는 지분증권 및 채무증권입니다."
"l10n_kr_121220","121220","Held-to-Maturity Securities","account.account_tag_investing","asset_non_current","Long-term debt securities held until their maturity date.","False","True","","False","l10n_kr_121200","만기보유증권","만기까지 보유할 적극적인 의도와 능력이 있는 채무증권(만기보유증권)입니다."
"l10n_kr_121300","121300","Equity Method Investments","","asset_non_current","Parent account for equity method investments.","False","False","","False","l10n_kr_121000","지분법적용투자주식","지분법적용투자주식의 통합 집계 계정입니다."
"l10n_kr_121310","121310","Equity Method Investments","account.account_tag_investing","asset_non_current","Strategic investments in associates where significant operational influence is held.","False","True","","False","l10n_kr_121300","지분법적용투자주식","피투자회사에 유의적인 영향력을 행사할 수 있는 지분법적용투자주식입니다."
"l10n_kr_121400","121400","Long-term Loans","","asset_non_current","Parent account for long-term loans.","False","False","","False","l10n_kr_121000","장기대여금","장기대여금의 통합 집계 계정입니다."
"l10n_kr_121410","121410","Long-term Loans","account.account_tag_investing","asset_non_current","Loans provided to third parties with maturities exceeding one year.","False","True","","False","l10n_kr_121400","장기대여금","회수 기한이 보고기간종료일로부터 1년을 초과하여 도래하는 장기대여금입니다."
"l10n_kr_121900","121900","Other Investments","","asset_non_current","Parent account for miscellaneous long-term investments.","False","False","","False","l10n_kr_121000","기타투자자산","기타 투자자산의 통합 집계 계정입니다."
"l10n_kr_121910","121910","Other Investments","account.account_tag_investing","asset_non_current","Miscellaneous long-term investments.","False","True","","False","l10n_kr_121900","기타투자자산","다른 항목으로 분류되지 않는 기타 투자자산입니다."
"l10n_kr_122000","122000","Tangible Assets","","asset_fixed","Parent account for physical fixed assets used in operations.","False","False","","False","","유형자산","영업활동에 사용할 목적으로 보유하는 물리적 형체가 있는 유형자산의 통합 집계 계정입니다."
"l10n_kr_122100","122100","Land","","asset_fixed","Parent account for land assets.","False","False","","False","l10n_kr_122000","토지","토지의 통합 집계 계정입니다."
"l10n_kr_122110","122110","Land","account.account_tag_investing","asset_fixed","Land held for business operations, not subject to depreciation.","False","True","l10n_kr_asset_no_depreciation","False","l10n_kr_122100","토지","영업활동에 사용되며 감가상각 대상이 아닌 토지입니다."
"l10n_kr_122200","122200","Equipment Assets","","asset_fixed","Parent account for building and equipment fixed assets.","False","False","","False","l10n_kr_122000","설비자산","건물, 구축물, 기계장치 등 설비자산의 통합 집계 계정입니다."
"l10n_kr_122210","122210","Buildings","account.account_tag_investing","asset_fixed","Buildings used for office or manufacturing operations.","False","True","l10n_kr_asset_40_year_linear","False","l10n_kr_122200","건물","영업 및 생산활동에 사용되는 건물입니다."
"l10n_kr_122211","122211","Accumulated Depreciation - Buildings","account.account_tag_investing","asset_fixed","Contra-asset capturing historical cumulative depreciation for buildings.","False","True","","False","l10n_kr_122200","감가상각누계액(건물)","건물의 취득원가에서 차감하는 역사적 누적 감가상각액입니다."
"l10n_kr_122220","122220","Structures","account.account_tag_investing","asset_fixed","Physical structures like roads, parking lots, and bridges.","False","True","l10n_kr_asset_20_year_linear","False","l10n_kr_122200","구축물","교량, 궤도, 포장도로, 주차장 등 영업활동에 사용되는 구축물입니다."
"l10n_kr_122221","122221","Accumulated Depreciation - Structures","account.account_tag_investing","asset_fixed","Contra-asset capturing historical cumulative depreciation for structures.","False","True","","False","l10n_kr_122200","감가상각누계액(구축물)","구축물의 취득원가에서 차감하는 역사적 누적 감가상각액입니다."
"l10n_kr_122230","122230","Machinery","account.account_tag_investing","asset_fixed","Production machinery and automated lines.","False","True","l10n_kr_asset_5_year_linear","False","l10n_kr_122200","기계장치","제품 생산활동에 사용되는 기계장치 및 부속 설비입니다."
"l10n_kr_122231","122231","Accumulated Depreciation - Machinery","account.account_tag_investing","asset_fixed","Contra-asset capturing historical cumulative depreciation for machinery.","False","True","","False","l10n_kr_122200","감가상각누계액(기계장치)","기계장치의 취득원가에서 차감하는 역사적 누적 감가상각액입니다."
"l10n_kr_122240","122240","Vehicles","account.account_tag_investing","asset_fixed","Operational logistics vehicles and corporate cars.","False","True","l10n_kr_asset_5_year_linear","False","l10n_kr_122200","차량운반구","영업활동에 사용되는 승용차, 화물차, 지게차 등 차량운반구입니다."
"l10n_kr_122241","122241","Accumulated Depreciation - Vehicles","account.account_tag_investing","asset_fixed","Contra-asset capturing historical cumulative depreciation for vehicles.","False","True","","False","l10n_kr_122200","감가상각누계액(차량운반구)","차량운반구의 취득원가에서 차감하는 역사적 누적 감가상각액입니다."
"l10n_kr_122250","122250","Fixtures","account.account_tag_investing","asset_fixed","Office furniture, computers, and general fixtures.","False","True","l10n_kr_asset_5_year_linear","False","l10n_kr_122200","비품","영업활동에 사용되는 사무용 가구, 컴퓨터, 복사기 등 비품입니다."
"l10n_kr_122251","122251","Accumulated Depreciation - Fixtures","account.account_tag_investing","asset_fixed","Contra-asset capturing historical cumulative depreciation for fixtures.","False","True","","False","l10n_kr_122200","감가상각누계액(비품)","비품의 취득원가에서 차감하는 역사적 누적 감가상각액입니다."
"l10n_kr_122260","122260","Other Equipment","account.account_tag_investing","asset_fixed","Miscellaneous equipment and utility assets.","False","True","l10n_kr_asset_5_year_linear","False","l10n_kr_122200","기타설비자산","다른 항목으로 분류되지 않는 기타 설비자산입니다."
"l10n_kr_122261","122261","Accumulated Depreciation - Equipment","account.account_tag_investing","asset_fixed","Contra-asset capturing historical cumulative depreciation for other equipment.","False","True","","False","l10n_kr_122200","감가상각누계액(기타설비자산)","기타 설비자산의 취득원가에서 차감하는 역사적 누적 감가상각액입니다."
"l10n_kr_122300","122300","Construction in Progress","","asset_fixed","Parent account for construction in progress.","False","False","","False","l10n_kr_122000","건설중인자산","건설중인자산의 통합 집계 계정입니다."
"l10n_kr_122310","122310","Construction in Progress","account.account_tag_investing","asset_fixed","Accumulated costs for ongoing construction or asset development before completion.","False","True","l10n_kr_asset_no_depreciation","False","l10n_kr_122300","건설중인자산","유형자산의 건설 또는 제작을 위해 투입된 미완성 상태의 지출액(건설중인자산)입니다."
"l10n_kr_122900","122900","Other Tangible Assets","","asset_fixed","Parent account for miscellaneous tangible assets.","False","False","","False","l10n_kr_122000","기타유형자산","기타 유형자산의 통합 집계 계정입니다."
"l10n_kr_122910","122910","Other Tangible Assets","account.account_tag_investing","asset_fixed","Miscellaneous tangible assets not classified elsewhere.","False","True","","False","l10n_kr_122900","기타유형자산","다른 항목으로 분류되지 않는 기타 유형자산입니다."
"l10n_kr_124000","124000","Intangible Assets","","asset_non_current","Parent account for non-physical assets like intellectual property and software.","False","False","","False","","무형자산","물리적 형체는 없으나 식별 가능한 비화폐성자산인 무형자산의 통합 집계 계정입니다."
"l10n_kr_124100","124100","Goodwill","","asset_non_current","Parent account for goodwill.","False","False","","False","l10n_kr_124000","영업권","영업권의 통합 집계 계정입니다."
"l10n_kr_124110","124110","Goodwill","account.account_tag_investing","asset_non_current","Premium paid over the fair value of net assets during an acquisition.","False","True","","False","l10n_kr_124100","영업권","사업결합 시 취득자가 피취득자의 순자산 공정가치를 초과하여 지급한 프리미엄(영업권)입니다."
"l10n_kr_124111","124111","Accumulated Amortization - Goodwill","account.account_tag_investing","asset_non_current","Contra-asset capturing cumulative amortization for goodwill.","False","True","","False","l10n_kr_124100","영업권상각누계액","영업권의 취득원가에서 차감하는 역사적 누적 무형자산상각액입니다."
"l10n_kr_124200","124200","Patents","","asset_non_current","Parent account for patents.","False","False","","False","l10n_kr_124000","산업재산권","산업재산권의 통합 집계 계정입니다."
"l10n_kr_124210","124210","Patents","account.account_tag_investing","asset_non_current","Capitalized costs for acquired or internally developed patents.","False","True","","False","l10n_kr_124200","산업재산권","특허권, 실용신안권 등 일정 기간 독점적 권리를 갖는 산업재산권입니다."
"l10n_kr_124211","124211","Accumulated Amortization - Patents","account.account_tag_investing","asset_non_current","Contra-asset capturing cumulative amortization for patents.","False","True","","False","l10n_kr_124200","산업재산권상각누계액","산업재산권의 취득원가에서 차감하는 역사적 누적 무형자산상각액입니다."
"l10n_kr_124300","124300","Development Costs","","asset_non_current","Parent account for development costs.","False","False","","False","l10n_kr_124000","개발비","개발비의 통합 집계 계정입니다."
"l10n_kr_124310","124310","Development Costs","account.account_tag_investing","asset_non_current","Capitalized development phase costs that meet specific recognition criteria.","False","True","","False","l10n_kr_124300","개발비","신제품 개발 단계에서 발생한 지출 중 자산 인식 요건을 충족하여 자본화된 개발비입니다."
"l10n_kr_124311","124311","Accumulated Amortization - Development Costs","account.account_tag_investing","asset_non_current","Contra-asset capturing cumulative amortization for development costs.","False","True","","False","l10n_kr_124300","개발비상각누계액","개발비의 취득원가에서 차감하는 역사적 누적 무형자산상각액입니다."
"l10n_kr_124900","124900","Other Intangible Assets","","asset_non_current","Parent account for miscellaneous intangible assets.","False","False","","False","l10n_kr_124000","기타무형자산","소프트웨어 등 기타 무형자산의 통합 집계 계정입니다."
"l10n_kr_124910","124910","Software","account.account_tag_investing","asset_non_current","Capitalized software licenses and development costs.","False","True","l10n_kr_asset_5_year_linear","False","l10n_kr_124900","소프트웨어","외부에서 구입하거나 내부적으로 개발하여 자본화한 소프트웨어입니다."
"l10n_kr_124911","124911","Accumulated Amortization - Software","account.account_tag_investing","asset_non_current","Contra-asset capturing cumulative amortization for software.","False","True","","False","l10n_kr_124900","소프트웨어상각누계액","소프트웨어의 취득원가에서 차감하는 역사적 누적 무형자산상각액입니다."
"l10n_kr_125000","125000","Other Non-current Assets","","asset_non_current","Parent account for long-term assets not classified as investments, tangible, or intangible.","False","False","","False","","기타비유동자산","투자자산, 유형자산, 무형자산에 속하지 않는 기타비유동자산의 통합 집계 계정입니다."
"l10n_kr_125100","125100","Deferred Tax Assets (Non-current)","","asset_non_current","Parent account for long-term deferred tax assets.","False","False","","False","l10n_kr_125000","이연법인세자산","비유동 이연법인세자산의 통합 집계 계정입니다."
"l10n_kr_125110","125110","Deferred Tax Assets (Non-current)","account.account_tag_operating","asset_non_current","Long-term deferred tax assets.","False","True","","False","l10n_kr_125100","이연법인세자산","차감할 일시적차이 등으로 인하여 미래(1년 초과)에 경감될 법인세 부담액인 비유동 이연법인세자산입니다."
"l10n_kr_125900","125900","Other Non-current Assets (Others)","","asset_non_current","Parent account for miscellaneous long-term prepayments and deposits.","False","False","","False","l10n_kr_125000","기타비유동자산(기타)","임차보증금 등 기타비유동자산(기타)의 통합 집계 계정입니다."
"l10n_kr_125910","125910","Long-term Guarantee Deposits","account.account_tag_investing","asset_non_current","Long-term deposits paid for leasing office or factory spaces.","False","True","","False","l10n_kr_125900","임차보증금","사무실, 공장 등을 임차하며 지급한 반환 대상 임차보증금입니다."
"l10n_kr_125920","125920","Long-term Prepaid Expenses","account.account_tag_operating","asset_non_current","Prepaid expenses whose benefits extend beyond one year.","False","True","","False","l10n_kr_125900","장기선급비용","선지급된 비용 중 1년을 초과하여 효익이 귀속되는 장기선급비용입니다."
"l10n_kr_210000","210000","Current Liabilities","","liability_current","Parent account for corporate liabilities maturing within one fiscal year.","False","False","","False","","유동부채","보고기간종료일로부터 1년 이내에 상환되어야 하는 유동부채의 통합 집계 계정입니다."
"l10n_kr_210100","210100","Short-term Borrowings","","liability_current","Parent account for short-term borrowings.","False","False","","False","l10n_kr_210000","단기차입금","단기차입금의 통합 집계 계정입니다."
"l10n_kr_210110","210110","Short-term Borrowings","account.account_tag_financing","liability_current","Short-term bank borrowings with maturities within one year.","True","True","","False","l10n_kr_210100","단기차입금","금융기관 등으로부터 차입한 자금 중 1년 이내에 상환 기일이 도래하는 단기차입금입니다."
"l10n_kr_210200","210200","Trade Payables","","liability_payable","Parent account for core trade payables.","True","False","","False","l10n_kr_210000","매입채무","주된 영업활동에서 발생한 매입채무(외상매입금 및 지급어음)의 통합 집계 계정입니다."
"l10n_kr_210210","210210","Trade Accounts Payable","account.account_tag_operating","liability_payable","Payables arising from purchases of raw materials or merchandise.","True","True","","False","l10n_kr_210200","외상매입금","원재료나 상품의 매입 등 주된 상거래에서 발생한 외상 채무(외상매입금)입니다."
"l10n_kr_210220","210220","Notes Payable","account.account_tag_operating","liability_payable","Promissory notes issued to vendors to settle trade transactions.","True","True","","False","l10n_kr_210200","지급어음","주된 상거래 대금 결제를 위해 거래처에 발행한 약속어음 및 전자어음(지급어음)입니다."
"l10n_kr_210300","210300","Income Taxes Payable","","liability_current","Parent account for income taxes payable.","False","False","","False","l10n_kr_210000","당기법인세부채","당기법인세부채의 통합 집계 계정입니다."
"l10n_kr_210310","210310","Income Taxes Payable","account.account_tag_operating","liability_current","Estimated corporate income taxes payable for the current fiscal year.","False","True","","False","l10n_kr_210300","당기법인세부채","당기 과세소득에 대하여 기말에 납부해야 할 예상 법인세 부담액(당기법인세부채)입니다."
"l10n_kr_210400","210400","Accrued Expenses","","liability_payable","Parent account for accrued expenses.","True","False","","False","l10n_kr_210000","미지급비용","미지급비용의 통합 집계 계정입니다."
"l10n_kr_210410","210410","Accrued Expenses","account.account_tag_operating","liability_payable","Accrued operational expenses incurred during the period but not yet paid.","True","True","","True","l10n_kr_210400","미지급비용","당기에 발생한 비용이나 아직 지급 기일이 도래하지 않아 미지급된 비용입니다."
"l10n_kr_210500","210500","Deferred Tax Liabilities (Current)","","liability_current","Parent account for short-term deferred tax liabilities.","False","False","","False","l10n_kr_210000","이연법인세부채(유동)","1년 이내에 실현될 유동 이연법인세부채의 통합 집계 계정입니다."
"l10n_kr_210510","210510","Deferred Tax Liabilities (Current)","account.account_tag_operating","liability_current","Deferred tax liabilities expected to settle within one year.","False","True","","False","l10n_kr_210500","이연법인세부채(유동)","가산할 일시적차이로 인하여 1년 이내에 추가로 부담하게 될 법인세액(유동 이연법인세부채)입니다."
"l10n_kr_210900","210900","Other Current Liabilities","","liability_current","Parent account for miscellaneous current liabilities.","False","False","","False","l10n_kr_210000","기타유동부채","기타 유동부채의 통합 집계 계정입니다."
"l10n_kr_210910","210910","Non-trade Payables","account.account_tag_operating","liability_payable","Payables arising from non-operating transactions.","True","True","","True","l10n_kr_210900","미지급금","유형자산 구입 등 주된 영업활동 외의 거래에서 발생한 미지급금입니다."
"l10n_kr_210920","210920","Corporate Credit Card Payable","account.account_tag_operating","liability_credit_card","Payables for corporate credit card usage awaiting settlement.","True","True","","True","l10n_kr_210900","미지급금(신용카드)","법인카드 결제 및 사용에 따라 결제일에 출금될 예정인 미지급금(신용카드)입니다."
"l10n_kr_210930","210930","Advances from Customers","account.account_tag_operating","liability_current","Advance deposits received from customers before delivery of goods.","False","True","","False","l10n_kr_210900","선수금","상품 인도 또는 용역 제공 전에 계약금 명목으로 거래처로부터 수취한 선수금입니다."
"l10n_kr_210940","210940","Withholdings (Payroll, Taxes)","account.account_tag_operating","liability_current","Payroll withholdings including income taxes and insurance contributions.","False","True","","False","l10n_kr_210900","예수금","임직원 급여 지급 시 원천징수한 소득세 및 4대보험 본인 부담금 등의 예수금입니다."
"l10n_kr_210950","210950","VAT Payable","account.account_tag_operating","liability_current","Output VAT collected from clients during sales transactions.","True","True","","False","l10n_kr_210900","부가세예수금","매출 시 고객으로부터 거래징수하여 향후 세무서에 납부해야 할 부가세예수금입니다."
"l10n_kr_210960","210960","Unearned Revenue","account.account_tag_operating","liability_current","Revenue received in advance, deferred to future periods.","False","True","","False","l10n_kr_210900","선수수익","당기에 수취한 수익 중 차기 이후의 기간에 속하는 이연 수익(선수수익)입니다."
"l10n_kr_210970","210970","Unpaid Taxes (VAT Settlement)","account.account_tag_operating","liability_payable","Finalized VAT payable computed at tax closing.","True","True","","True","l10n_kr_210900","미지급세금","부가가치세 정산 결과 매출세액이 매입세액을 초과하여 확정된 납부 대상 미지급세금입니다."
"l10n_kr_220000","220000","Non-current Liabilities","","liability_non_current","Parent account for corporate liabilities maturing beyond one fiscal year.","False","False","","False","","비유동부채","보고기간종료일로부터 1년을 초과하여 상환 기일이 도래하는 비유동부채의 통합 집계 계정입니다."
"l10n_kr_220100","220100","Bonds Payable","","liability_non_current","Parent account for bonds payable.","False","False","","False","l10n_kr_220000","사채","사채의 통합 집계 계정입니다."
