"id","name","description","invoice_label","tax_group_id","type_tax_use","amount_type","amount","active","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","repartition_line_ids/account_id","repartition_line_ids/use_in_tax_closing","name@ko_KR","description@ko_KR","invoice_label@ko_KR","fiscal_position_ids","original_tax_ids","price_include_override","children_tax_ids"
"l10n_kr_Purchase_10_fa","10% FA","For fixed asset purchases (machinery, vehicles). Tracked separately for VAT refund claims.","10%","tax_group_vat","purchase","percent","10","1","base","invoice","[매입] 공급가액 - 고정자산 10%","100","","","부가세 10% (고정자산)","기계, 차량, 건물 등 자산 매입 전용. 일반 경비와 분리 집계되어 조기환급 대상이 됩니다.","부가세 10%(고정자산)","l10n_kr_domestic","","",""
"","","","","","","","","","tax","invoice","[매입] 세액 - 고정자산 10%","100","l10n_kr_104950","","","","","","","",""
"","","","","","","","","","base","refund","[매입] 공급가액 - 고정자산 10%","100","","","","","","","","",""
"","","","","","","","","","tax","refund","[매입] 세액 - 고정자산 10%","100","l10n_kr_104950","","","","","","","",""
"l10n_kr_Purchase_10_nd","10% ND","For non-deductible expenses. Adds VAT directly to the expense/asset cost instead of receivable.","10%","tax_group_vat","purchase","percent","10","1","base","invoice","[매입] 공급가액 - 불공제 10%","100","","","부가세 10% (불공제)","접대비, 비영업용 승용차 등 공제 불가 매입용. 부가세를 공제받지 않고 비용/자산 원가에 합산합니다.","부가세 10%(불공제)","l10n_kr_domestic","","",""
"","","","","","","","","","tax","invoice","[매입] 세액 - 불공제 10%","100","","False","","","","","","",""
"","","","","","","","","","base","refund","[매입] 공급가액 - 불공제 10%","100","","","","","","","","",""
"","","","","","","","","","tax","refund","[매입] 세액 - 불공제 10%","100","","False","","","","","","",""
"l10n_kr_Purchase_0","0%","For zero-rated purchases. Tracks base amount under tax invoice purchases with 0% VAT.","0%","tax_group_zero_rate","purchase","percent","0","1","base","invoice","[매입] 공급가액 - 영세","100","","","영세율 0%","수출 원자재 등의 영세율 세금계산서 수취용. 세액은 0원이며, 매입 실적으로 집계됩니다.","영세율 0%","l10n_kr_domestic_zr","l10n_kr_Purchase_10","",""
"","","","","","","","","","tax","invoice","","100","l10n_kr_104950","","","","","","","",""
"","","","","","","","","","base","refund","[매입] 공급가액 - 영세","100","","","","","","","","",""
"","","","","","","","","","tax","refund","","100","l10n_kr_104950","","","","","","","",""
"l10n_kr_Purchase_10_im","10% IM (Tax Only)","Tax code for customs-issued import tax invoices. Automatically deducts the tax base from the total document amount so that only the 10% VAT payable is recorded as Accounts Payable (AP).","10%","","purchase","group","","","","","","","","","수입세금계산서 10%","세관에서 발급한 수입세금계산서를 입력할 때 사용하는 전용 세금 코드입니다. 일반 매입과 달리, 서류에 기재된 총액을 입력하면 시스템이 자동으로 공급가액을 차감(제외)하여 세관에 실제 납부할 '부가세액(10%)'만 미지급금(AP)으로 회계 처리합니다.","","l10n_kr_overseas","","","l10n_kr_Purchase_sub_base,l10n_kr_Purchase_10_im_c"
"l10n_kr_Purchase_tf","Exempt","For purchasing tax-exempt goods with exempt invoices. Tracks base amount with zero tax impact.","Exempt","tax_group_exempt","purchase","percent","0","1","base","invoice","[매입] 공급가액 - 면세","100","","","면세","면세 재화 매입 및 계산서 수취용. 부가세 계산 영향 없이 면세 매입실적으로 보고됩니다.","면세","l10n_kr_overseas,l10n_kr_domestic_exempt","l10n_kr_Purchase_10","",""
"","","","","","","","","","tax","invoice","","100","l10n_kr_104950","","","","","","","",""
"","","","","","","","","","base","refund","[매입] 공급가액 - 면세","100","","","","","","","","",""
"","","","","","","","","","tax","refund","","100","l10n_kr_104950","","","","","","","",""
"l10n_kr_Purchase_4_dp","4% DP","For processing exempt agricultural products. Automatically extracts a statutory rate as deductible input VAT.","4%","tax_group_vat_dp","purchase","percent","4","1","base","invoice","[매입] 공급가액 - 의제","100","","","의제매입 4/104","면세 농산물 가공/제조용. 매입가에서 법정 비중만큼 세액을 역산 추출하여 공제받습니다.","의제매입 4/104","l10n_kr_domestic","","tax_included",""
"","","","","","","","","","tax","invoice","[매입] 세액 - 의제","100","l10n_kr_104950","","","","","","","",""
"","","","","","","","","","base","refund","[매입] 공급가액 - 의제","100","","","","","","","","",""
"","","","","","","","","","tax","refund","[매입] 세액 - 의제","100","l10n_kr_104950","","","","","","","",""
"l10n_kr_Purchase_3_dp","3% RP","For buying recycled waste from non-businesses. Calculates a statutory percentage as deductible input VAT.","3%","tax_group_vat_rp","purchase","percent","3","1","base","invoice","[매입] 공급가액 - 재활용","100","","","재활용 3/103","비사업자 대상 폐자원 매입용. 매입액의 법정 비율을 계산해 매입세액으로 공제합니다.","재활용 3/103","l10n_kr_domestic","","tax_included",""
"","","","","","","","","","tax","invoice","[매입] 세액 - 재활용","100","l10n_kr_104950","","","","","","","",""
"","","","","","","","","","base","refund","[매입] 공급가액 - 재활용","100","","","","","","","","",""
"","","","","","","","","","tax","refund","[매입] 세액 - 재활용","100","l10n_kr_104950","","","","","","","",""
"l10n_kr_Sale_simp_15","10% RETAIL","For simplified taxpayers. Applies industry-specific rates to calculate effective VAT","10%","tax_group_vat","sale","percent","10","0","base","invoice","[간이매출] 공급가액 - 15%","100","","","10% (소매업, 음식점업 등)","간이과세자 전용. 업종별 부가가치율(15%~40%)을 곱해 최종 실효 부가세율을 계산합니다.","부가세 10%","","","",""
"","","","","","","","","","tax","invoice","[간이매출] 세액 - 15%","16.5","l10n_kr_210950","","","","","","","",""
"","","","","","","","","","tax","invoice","[간이매출] 공급가액 - 15%","83.5","","","","","","","","",""
"","","","","","","","","","base","refund","[간이매출] 공급가액 - 15%","100","","","","","","","","",""
"","","","","","","","","","tax","refund","[간이매출] 세액 - 15%","16.5","l10n_kr_210950","","","","","","","",""
"","","","","","","","","","tax","refund","[간이매출] 공급가액 - 15%","83.5","","","","","","","","",""
"l10n_kr_Sale_simp_20","10% MFG","For simplified taxpayers. Applies industry-specific rates to calculate effective VAT","10%","tax_group_vat","sale","percent","10","0","base","invoice","[간이매출] 공급가액 - 20%","100","","","10% (제조업, 농ᆞ임ᆞ어업 등)","간이과세자 전용. 업종별 부가가치율(15%~40%)을 곱해 최종 실효 부가세율을 계산합니다.","부가세 10%","","","",""
"","","","","","","","","","tax","invoice","[간이매출] 세액 - 20%","22","l10n_kr_210950","","","","","","","",""
"","","","","","","","","","tax","invoice","[간이매출] 공급가액 - 20%","78","","","","","","","","",""
"","","","","","","","","","base","refund","[간이매출] 공급가액 - 20%","100","","","","","","","","",""
"","","","","","","","","","tax","refund","[간이매출] 세액 - 20%","22","l10n_kr_210950","","","","","","","",""
"","","","","","","","","","tax","refund","[간이매출] 공급가액 - 20%","78","","","","","","","","",""
"l10n_kr_Sale_simp_25","10% STAY","For simplified taxpayers. Applies industry-specific rates to calculate effective VAT","10%","tax_group_vat","sale","percent","10","0","base","invoice","[간이매출] 공급가액 - 25%","100","","","10% (숙박업)","간이과세자 전용. 업종별 부가가치율(15%~40%)을 곱해 최종 실효 부가세율을 계산합니다.","부가세 10%","","","",""
"","","","","","","","","","tax","invoice","[간이매출] 세액 - 25%","27.5","l10n_kr_210950","","","","","","","",""
"","","","","","","","","","tax","invoice","[간이매출] 공급가액 - 25%","72.5","","","","","","","","",""
"","","","","","","","","","base","refund","[간이매출] 공급가액 - 25%","100","","","","","","","","",""
"","","","","","","","","","tax","refund","[간이매출] 세액 - 25%","27.5","l10n_kr_210950","","","","","","","",""
"","","","","","","","","","tax","refund","[간이매출] 공급가액 - 25%","72.5","","","","","","","","",""
"l10n_kr_Sale_simp_30","10% CONST","For simplified taxpayers. Applies industry-specific rates to calculate effective VAT","10%","tax_group_vat","sale","percent","10","0","base","invoice","[간이매출] 공급가액 - 30%","100","","","10% (건설업, 정보통신업 등)","간이과세자 전용. 업종별 부가가치율(15%~40%)을 곱해 최종 실효 부가세율을 계산합니다.","부가세 10%","","","",""
"","","","","","","","","","tax","invoice","[간이매출] 세액 - 30%","33","l10n_kr_210950","","","","","","","",""
"","","","","","","","","","tax","invoice","[간이매출] 공급가액 - 30%","67","","","","","","","","",""
"","","","","","","","","","base","refund","[간이매출] 공급가액 - 30%","100","","","","","","","","",""
"","","","","","","","","","tax","refund","[간이매출] 세액 - 30%","33","l10n_kr_210950","","","","","","","",""
"","","","","","","","","","tax","refund","[간이매출] 공급가액 - 30%","67","","","","","","","","",""
"l10n_kr_Sale_simp_40","10% PPT","For simplified taxpayers. Applies industry-specific rates to calculate effective VAT","10%","tax_group_vat","sale","percent","10","0","base","invoice","[간이매출] 공급가액 - 40%","100","","","10% (부동산임대업, 금융업 등)","간이과세자 전용. 업종별 부가가치율(15%~40%)을 곱해 최종 실효 부가세율을 계산합니다.","부가세 10%","","","",""
"","","","","","","","","","tax","invoice","[간이매출] 세액 - 40%","44","l10n_kr_210950","","","","","","","",""
"","","","","","","","","","tax","invoice","[간이매출] 공급가액 - 40%","56","","","","","","","","",""
"","","","","","","","","","base","refund","[간이매출] 공급가액 - 40%","100","","","","","","","","",""
"","","","","","","","","","tax","refund","[간이매출] 세액 - 40%","44","l10n_kr_210950","","","","","","","",""
"","","","","","","","","","tax","refund","[간이매출] 공급가액 - 40%","56","","","","","","","","",""
"l10n_kr_Purchase_sub_base","Subtract Base","Base Deduction for Import Tax Invoice","","tax_group_sub_base","none","percent","-100","1","base","invoice","","100","","","공급가액 차감","수입세금계산서 공급가액 차감","","","","",""
"","","","","","","","","","tax","invoice","[수입] 공급가액 - 10%","100","","False","","","","","","",""
"","","","","","","","","","base","refund","","100","","","","","","","","",""
"","","","","","","","","","tax","refund","[수입] 공급가액 - 10%","100","","False","","","","","","",""
"l10n_kr_Purchase_10_im_c","10%","Standard taxable domestic purchases. Generates 10% input VAT (VAT Receivable) for tax deduction.","10%","tax_group_vat","none","percent","10","1","base","invoice","","100","","","부가세 10%","국내 과세 매입용. 10% 부가세 대급금을 발생시켜 공제대상 매입세액으로 잡습니다.","","","","",""
"","","","","","","","","","tax","invoice","[매입] 세액 - 10%","100","l10n_kr_104950","","","","","","","",""
"","","","","","","","","","base","refund","","100","","","","","","","","",""
"","","","","","","","","","tax","refund","[매입] 세액 - 10%","100","l10n_kr_104950","","","","","","","",""
