id,code_prefix_start,code_prefix_end,name,name@es
l10n_bo_group_1251200,1251200,1251299,Airplanes,Aviones
l10n_bo_group_1251300,1251300,1251399,Boats,Barcos
l10n_bo_group_1251400,1251400,1251499,Construction Machinery,Maquinaria para Construcción
l10n_bo_group_1251500,1251500,1251599,Agricultural Machinery,Maquinaria Agrícola
l10n_bo_group_1251600,1251600,1251699,Working Animals,Animales de Trabajo
l10n_bo_group_1251700,1251700,1251799,Tools,Herramientas
l10n_bo_group_1251800,1251800,1251899,Breeding Animals,Animales Reproductores
l10n_bo_group_1251900,1251900,1251999,Irrigation Channels and Wells,Canales de Regadío y Pozos
l10n_bo_group_1252000,1252000,1252099,"Ponds, Bathing Places and Watering Holes","Estanques, Bañaderos y Abrevaderos"
l10n_bo_group_1252100,1252100,1252199,"Fences, Gates, and Barriers","Alambrados, Tranqueras y Vallas"
l10n_bo_group_1252200,1252200,1252299,Housing for Staff,Viviendas para el Personal
l10n_bo_group_1252300,1252300,1252399,Wooden Sheds and Covers,Tinglados y Cobertizos de Madera
l10n_bo_group_1252400,1252400,1252499,Metal Sheds and Covers,Tinglados y Cobertizos de Metal
l10n_bo_group_1252500,1252500,1252599,You see,Vides
l10n_bo_group_1252600,1252600,1252699,Fruit Trees,Arboles Frutales
l10n_bo_group_1252700,1252700,1252799,Deferred Assets,Activos Diferidos
l10n_bo_group_1260100,1260100,1260199,Construction Works,Obras en Construcción
l10n_bo_group_1270100,1270100,1270199,Patents,Patentes
l10n_bo_group_1270200,1270200,1270299,Brands,Marcas
l10n_bo_group_1270300,1270300,1270399,Concessions and Franchises,Conseciones y Franquicias
l10n_bo_group_1270400,1270400,1270499,Goodwill,Crédito Mercantil
l10n_bo_group_1280100,1280100,1280199,Depreciation of Fixed Assets,Desvalorización de Activo Inmovilizado
l10n_bo_group_1290100,1290100,1290199,Art and Culture Goods,Bienes de Arte y Cultura
l10n_bo_group_1310100,1310100,1310199,Land for Future Constructions,Terrenos para Futuras Construcciones
l10n_bo_group_1310200,1310200,1310299,Prepaid Expenses,Gastos Pagados por Adelantado
l10n_bo_group_1320100,1320100,1320199,Pending Operations,Operaciones Pendientes
l10n_bo_group_1350100,1350100,1350199,Order Accounts,Cuentas de Orden
l10n_bo_group_2110100,2110100,2110199,Accounts Payable,Cuentas Comerciales por Pagar
l10n_bo_group_2110200,2110200,2110299,Payable Documents,Documentos por Pagar
l10n_bo_group_2110300,2110300,2110399,Accounts Payable to Related Companies,Cuentas por Pagar a Empresas Relacionadas
l10n_bo_group_2110400,2110400,2110499,Customer Advances,Anticipo de Clientes
l10n_bo_group_2110500,2110500,2110599,Other Trade Accounts Payable,Otras Cuentas Comerciales por Pagar
l10n_bo_group_2120100,2120100,2120199,Wages and Salaries Payable,Sueldos y Salarios por Pagar
l10n_bo_group_2120200,2120200,2120299,Bonus to Pay,Aguinaldo por Pagar
l10n_bo_group_2120300,2120300,2120399,Social Charges to Pay,Cargas Sociales por Pagar
l10n_bo_group_2120400,2120400,2120499,Outstanding Compensation,Indemnizaciones por Pagar
l10n_bo_group_2130100,2130100,2130199,Contributions and Withholdings Payable,Aportes y Retenciones por Pagar
l10n_bo_group_2130200,2130200,2130299,National Health Box,Caja Nacional de Salud
l10n_bo_group_2130300,2130300,2130399,Paid Vacations,Vacaciones por Pagar
l10n_bo_group_2130400,2130400,2130499,Eviction for Nonpayment,Desahucio por Pagar
l10n_bo_group_2130500,2130500,2130599,Employer Contribution Payable,Aporte Patronal por Pagar
l10n_bo_group_2130600,2130600,2130699,Training and Education Institutes,Institutos de Formación y Capacitación
l10n_bo_group_2140100,2140100,2140199,National Tax Service,Servicio de Impuestos Nacionales
l10n_bo_group_2140200,2140200,2140299,Municipal Taxes,Impuestos Municipales
l10n_bo_group_2140300,2140300,2140399,Other Taxes Payable,Otros Impuestos por Pagar
l10n_bo_group_2150100,2150100,2150199,Basic Services to Pay,Servicios Básicos por Pagar
l10n_bo_group_2160100,2160100,2160199,Bank Debts,Deudas Bancarias
l10n_bo_group_2160200,2160200,2160299,Credit Cards,Tarjetas de Crédito
l10n_bo_group_2170100,2170100,2170199,Deferred Revenues,Ingresos Diferidos
l10n_bo_group_2180100,2180100,2180199,Payable Loans,Préstamos por Pagar
l10n_bo_group_2190100,2190100,2190199,Other Current Liabilities,Otros Pasivos Corrientes
l10n_bo_group_2210100,2210100,2210199,Bank Loans,Préstamos Bancarios
l10n_bo_group_2210200,2210200,2210299,Mortgage Loans,Préstamos Hipotecarios
l10n_bo_group_2210300,2210300,2210399,Documentary Loans,Préstamos Documentarios
l10n_bo_group_2210400,2210400,2210499,Nation's General Treasury,Tesoro General de la Nación
l10n_bo_group_2210500,2210500,2210599,Other Long-Term Financial Liabilities,Otros Pasivos Financieros a Largo Plazo
l10n_bo_group_2220100,2220100,2220199,Long-Term Accounts Payable,Cuentas por Pagar a Largo Plazo
l10n_bo_group_2230100,2230100,2230199,Forecasts and Provisions,Previsiones y Provisiones
l10n_bo_group_2240100,2240100,2240199,Pending Operations,Operaciones Pendientes
l10n_bo_group_2250100,2250100,2250199,Complementary Asset Accounts,Cuentas Complementarias del Activo
l10n_bo_group_2260100,2260100,2260199,Provision for Uncollectibles,Provisión para Incobrables
l10n_bo_group_3110100,3110100,3110199,Paid-in Capital,Capital Social Pagado
l10n_bo_group_3110200,3110200,3110299,Contributions for Capitalization,Aportes por Capitalizar
l10n_bo_group_3110300,3110300,3110399,Capital Adjustment,Ajuste de Capital
l10n_bo_group_3110400,3110400,3110499,Reserve for Technical Revaluations,Reserva por Revalúos Técnicos
l10n_bo_group_3110500,3110500,3110599,Reservations,Reservas
l10n_bo_group_3110600,3110600,3110699,Capital Adjustments,Ajustes de Capital
l10n_bo_group_3110700,3110700,3110799,Unrealized Results,Resultados no Realizados
l10n_bo_group_3110800,3110800,3110899,Revaluation Surplus,Excedente de Revaluación
l10n_bo_group_3110900,3110900,3110999,Accumulated Results,Resultados Acumulados
l10n_bo_group_3111000,3111000,3111099,Management Results,Resultados de la Gestión
l10n_bo_group_3150100,3150100,3150199,Order Accounts,Cuentas de Orden
l10n_bo_group_4110100,4110100,4110199,Merchandise Sale,Venta de Mercadería
l10n_bo_group_4110200,4110200,4110299,Sale of Containers and Packaging,Venta de Envases y Embalajes
l10n_bo_group_4110300,4110300,4110399,Sales Surcharge,Recargo en Ventas
l10n_bo_group_4110400,4110400,4110499,Sales Returns,Devoluciones en Ventas
l10n_bo_group_4110500,4110500,4110599,Sales and Discounts,Rebajas y Descuentos
l10n_bo_group_4120100,4120100,4120199,Variation of Stored Production,Variación de la Producción Almacenada
l10n_bo_group_4120200,4120200,4120299,Variation of Stored Packaging and Containers,Variación de Envases y Embalajes Almacenados
l10n_bo_group_4130100,4130100,4130199,Fixed Asset Production,Producción de Activo Inmovilizado
l10n_bo_group_4140100,4140100,4140199,"Discounts, Sales and Bonuses Obtained","Descuentos, Rebajas y Bonificaciones Obtenidos"
l10n_bo_group_4150100,4150100,4150199,"Discounts, Sales and Bonuses Granted","Descuentos, Rebajas y Bonificaciones Concedidos"
l10n_bo_group_4160100,4160100,4160199,Other Income,Otros Ingresos
l10n_bo_group_4170100,4170100,4170199,Realizable Asset,Activo Realizable
l10n_bo_group_4170200,4170200,4170299,Fixed Assets,Activo Inmovilizado
l10n_bo_group_4170300,4170300,4170399,Real Estate Investments,Inversiones Inmobiliarias
l10n_bo_group_4170400,4170400,4170499,Biological Assets,Activos Biológicos
l10n_bo_group_4170500,4170500,4170599,Participation in Subsidiaries and Associates Results Under the Equity Method,Participación en los Resultados de Subsidiarias y Asociadas Bajo el Método del Valor Patrimonial
l10n_bo_group_4170600,4170600,4170699,Income from Joint Ventures,Ingresos por Participaciones en Negocios Conjuntos
l10n_bo_group_4180100,4180100,4180199,Financial Income,Ingresos Financieros
l10n_bo_group_4180200,4180200,4180299,Early Payment Discounts on Financial Obligations,Descuentos por Pronto Pago en Obligaciones Financieras
l10n_bo_group_4180300,4180300,4180399,Early Payment Discounts on Purchases,Descuentos por Pronto Pago en Compras
l10n_bo_group_4180400,4180400,4180499,Value Maintenance,Mantenimiento del Valor
l10n_bo_group_4180500,4180500,4180599,Profit from Sale of Stocks,Ganancia por Venta de Acciones
l10n_bo_group_4180600,4180600,4180699,Other Financial Income,Otros Ingresos Financieros
l10n_bo_group_5110100,5110100,5110199,Cost of Sale of Products,Costo de Venta de Productos
l10n_bo_group_5110200,5110200,5110299,Cost of Sale of Containers and Packaging,Costo de Venta de Envases y Embalajes
l10n_bo_group_5210100,5210100,5210199,Purchase of Goods for Sale,Compra de Mercaderías para la Venta
l10n_bo_group_5310100,5310100,5310199,Freight and Product Transportation,Fletes y Transporte de Productos
l10n_bo_group_5410100,5410100,5410199,Other Sales Costs,Otros Costos de Venta
l10n_bo_group_5510100,5510100,5510199,Inventory Variation,Variacion de Inventarios
l10n_bo_group_5510200,5510200,5510299,Variation of Packaging and Wrapping Stock,Variación de Existencias de Envases y Embalajes
l10n_bo_group_6110100,6110100,6110199,Salaries and Social Charges,Remuneraciones y Cargas Sociales
l10n_bo_group_6110200,6110200,6110299,Legal Expenses and Procedures,Gastos Legales y Trámites
l10n_bo_group_6110300,6110300,6110399,Basic Services,Servicios Básicos
l10n_bo_group_6110400,6110400,6110499,"Travel, Lodging and Per Diem","Viajes, Hospedajes y Viáticos"
l10n_bo_group_6110500,6110500,6110599,Insurance,Seguros
l10n_bo_group_6110600,6110600,6110699,Rentals,Alquileres
l10n_bo_group_6110700,6110700,6110799,Maintenance and Repairs,Mantenimiento y Reparaciones
l10n_bo_group_6110800,6110800,6110899,Professional and Commercial Services,Servicios Profesionales y Comerciales
l10n_bo_group_6110900,6110900,6110999,Depreciation of Assets for Use,Depreciación de Bienes de Uso
l10n_bo_group_6111000,6111000,6111099,Tributes,Tributos
l10n_bo_group_6111100,6111100,6111199,Other Operating Expenses,Otros Gastos de Operación
l10n_bo_group_6111200,6111200,6111299,Other Expenses,Otros Gastos
l10n_bo_group_6120100,6120100,6120199,Expenditure on Borrowing Operations and Others,Gasto en Operaciones de Endeudamiento y Otros
l10n_bo_group_6120200,6120200,6120299,Loss on Derivative Financial Instruments,Pérdida por Instrumentos Financieros Derivados
l10n_bo_group_6120300,6120300,6120399,Interest on Loans and Other Obligations,Intereses por Préstamos y Otras Obligaciones
l10n_bo_group_6130100,6130100,6130199,Non-Monetary Expenses,Gastos no Monetarios
l10n_bo_group_6130200,6130200,6130299,Non-Deductible Expenses,Gastos no Deducibles
l10n_bo_group_6210100,6210100,6210199,Realizable Asset,Activo Realizable
l10n_bo_group_6220100,6220100,6220199,Fixed Assets,Activo Inmovilizado
l10n_bo_group_6230100,6230100,6230199,Various Due to Inflation Exposure,Varias por Exposición a la Inflación
l10n_bo_group_6240100,6240100,6240199,Loss on Measurement of Financial Assets and Liabilities at Fair Value,Pérdida por Medición de Activos y Pasivos Financieros al Valor Razonable
l10n_bo_group_6250100,6250100,6250199,Other Financial Expenses,Otros Gastos Financieros
l10n_bo_group_6310100,6310100,6310199,Amortization of Acquired Intangibles - Cost,Amortización de Intangibles Adquiridos - Costo
l10n_bo_group_6320100,6320100,6320199,Amortization of Acquired Intangibles - Revaluation,Amortización de Intangibles Adquiridos - Revaluación
l10n_bo_group_6330100,6330100,6330199,Asset Valuation,Valuación de Activos
l10n_bo_group_6340100,6340100,6340199,Depreciation of Real Estate Investments,Desvalorización de Inversiones Inmobiliarias
l10n_bo_group_6350100,6350100,6350199,Provision for Litigation,Provisión para Litigios
l10n_bo_group_6360200,6360200,6360299,"Provision for Dismantling, Removal or Rehabilitation of Fixed Assets","Provisión por Desmantelamiento, Retiro o Rehabilitación del Inmovilizado"
l10n_bo_group_8100000,8100000,8100099,Profits and Losses,Ganancias y Pérdidas
l10n_bo_group_8200000,8200000,8200099,Actual and Estimated Expenses to Apply,Gastos Reales y Estimados por Aplicar
l10n_bo_group_9999990,9999990,9999999,Opening Transients,Transitorios de Apertura
