"id","name","code","account_type","tag_ids","reconcile","non_trade","name@es"
"l10n_bo_3202","Other Reserves","3202","equity","account.account_tag_financing","False","","Otras Reservas"
"l10n_bo_3203","Adjustment of Equity Reserves","3203","equity","account.account_tag_financing","False","","Ajuste de Reservas Patrimoniales"
"l10n_bo_331","Retained Earnings","331","equity","account.account_tag_financing","False","","Resultados Acumulados"
"l10n_bo_332","Current Year Earnings","332","equity_unaffected","account.account_tag_financing","False","","Resultados de la Gestión"
"l10n_bo_4101","Sales","4101","income","account.account_tag_operating","False","","Ventas"
"l10n_bo_4102","Returns, Rebates and Discounts of Goods and/or Services","4102","income","account.account_tag_operating","False","","Devoluciones, Rebajas y Descuetos de Bienes y/o Servicios"
"l10n_bo_4201","Interest on Bank Deposits","4201","income","account.account_tag_investing","False","","Intereses Sobre Depósitos Bancarios"
"l10n_bo_4202","Interest on Temporary Investments","4202","income","account.account_tag_investing","False","","Intereses de Inversiones Temporales"
"l10n_bo_4203","Other Financial Income","4203","income","account.account_tag_investing","False","","Otros Ingresos Financieros"
"l10n_bo_4301","Adjustment for Inflation and Property Ownership","4301","income","account.account_tag_operating","False","","Ajuste por Inflación y Tenencie de Bienes"
"l10n_bo_4302","Income from Sale of Securities","4302","income","account.account_tag_operating","False","","Ingresos por Venta de Valores"
"l10n_bo_4303","Exchange Gain","4303","income","account.account_tag_operating","False","","Ganancia Cambiaria"
"l10n_bo_4304","Other Income","4304","income_other","account.account_tag_operating","False","","Otros Ingresos"
"l10n_bo_5101","Product Costs","5101","expense","account.account_tag_operating","False","","Costos de Productos"
"l10n_bo_5102","Freight and Transportation of Products","5102","expense","account.account_tag_operating","False","","Fletes y Transportes de Productos"
"l10n_bo_5103","Returns on Purchases","5103","expense","account.account_tag_operating","False","","Devolución en Compras"
"l10n_bo_5104","Discounts on Purchases","5104","expense","account.account_tag_operating","False","","Descuentos Sobre Compras"
"l10n_bo_5105","Cost of Damaged Products","5105","expense","account.account_tag_operating","False","","Costo de Productos Dañados"
"l10n_bo_5106","Inventory Variation","5106","expense","account.account_tag_operating","False","","Variación de Inventarios"
"l10n_bo_5201","Costs of Sale - Wages and Salaries","5201","expense","account.account_tag_operating","False","","Gastos de Comercialización - Sueldos y Salarios"
"l10n_bo_5202","Costs of Sale - Social Benefits","5202","expense","account.account_tag_operating","False","","Gastos de Comercialización - Beneficios Sociales"
"l10n_bo_5203","Costs of Sale - Sales Commissions","5203","expense","account.account_tag_operating","False","","Gastos de Comercialización - Comisiones Sobre Ventas"
"l10n_bo_5204","Costs of Sale - Per diems","5204","expense","account.account_tag_operating","False","","Gastos de Comercialización - Víaticos"
"l10n_bo_5205","Costs of Sale - Tickets","5205","expense","account.account_tag_operating","False","","Gastos de Comercialización - Pasajes"
"l10n_bo_5206","Costs of Sale - Advertising","5206","expense","account.account_tag_operating","False","","Gastos de Comercialización - Publicidad"
"l10n_bo_5207","Costs of Sale - Depreciation of Fixed Assets","5207","expense","account.account_tag_operating","False","","Gastos de Comercialización - Depreciación de Bienes de Uso"
"l10n_bo_5208","Costs of Sale - Loss on Bad Accounts","5208","expense","account.account_tag_operating","False","","Gastos de Comercialización - Pérdida en Cuentas Incobrabres"
"l10n_bo_5209","Other Costs of Sale","5209","expense","account.account_tag_operating","False","","Otros Gastos de Comercialización"
"l10n_bo_52091","Transaction Tax","52091","expense","account.account_tag_operating","False","","Impuesto a las Transacciones"
"l10n_bo_52092","IT Withholdings","52092","expense","account.account_tag_operating","False","","Retenciones IT"
"l10n_bo_52093","IUE Withholdings","52093","expense","account.account_tag_operating","False","","Retenciones IUE"
"l10n_bo_53001","Administration Expenses - Wages and Salaries","53001","expense","account.account_tag_operating","False","","Gastos de Administración - Sueldos y Salarios"
"l10n_bo_53002","Administration Expenses - Social Benefits","53002","expense","account.account_tag_operating","False","","Gastos de Administración - Beneficios Sociales"
"l10n_bo_53003","Administrative Expenses - Provision for Christmas Bonuses","53003","expense","account.account_tag_operating","False","","Gastos de Administración - Provisión Aguinaldos"
"l10n_bo_53004","Administration Expenses - Provision for Compensations","53004","expense","account.account_tag_operating","False","","Gastos de Administración - Provisión Indemnizaciones"
"l10n_bo_53005","Administration Expenses - Per diem","53005","expense","account.account_tag_operating","False","","Gastos de Administración - Víaticos"
"l10n_bo_53006","Administration Expenses - Tickets","53006","expense","account.account_tag_operating","False","","Gastos de Administración - Pasajes"
"l10n_bo_53007","Administration Expenses - Basic Services","53007","expense","account.account_tag_operating","False","","Gastos de Administración - Servicios Básicos"
"l10n_bo_53008","Administration Expenses - Materials and Supplies","53008","expense","account.account_tag_operating","False","","Gastos de Administración - Materiales y Suministros"
"l10n_bo_53009","Administration Expenses - Freight and Transportation","53009","expense","account.account_tag_operating","False","","Gastos de Administración - Fletes y Transporte"
"l10n_bo_53010","Administration Expenses - Maintenance and Repair","53010","expense","account.account_tag_operating","False","","Gastos de Administración - Mantenimento y Reparación"
"l10n_bo_53011","Administration Expenses - Depreciation of Fixed Assets","53011","expense","account.account_tag_operating","False","","Gastos de Administración - Depreciación de Bienes de Uso"
"l10n_bo_53012","Administration Expenses - Rentals","53012","expense","account.account_tag_operating","False","","Gastos de Administración - Alquileres"
"l10n_bo_53013","Administration Expenses - Insurance","53013","expense","account.account_tag_operating","False","","Gastos de Administración - Seguros"
"l10n_bo_53014","Administration Expenses - Security Service","53014","expense","account.account_tag_operating","False","","Gastos de Administración - Servicio de Seguridad"
"l10n_bo_53015","Administration Expenses - General Expenses","53015","expense","account.account_tag_operating","False","","Gastos de Administración - Gastos Generales"
"l10n_bo_53016","Other Administrative Expenses","53016","expense","account.account_tag_operating","False","","Otros Gastos de Administración"
"l10n_bo_5401","Interest on Bank Loans","5401","expense","account.account_tag_operating","False","","Intereses Sobre Préstamos Bancarios"
"l10n_bo_5402","Interest on Other Financial Obligations","5402","expense","account.account_tag_operating","False","","Intereses Sobre Otras Obligaciones Financieras"
"l10n_bo_5403","Other Interests","5403","expense","account.account_tag_operating","False","","Otros Intereses"
"l10n_bo_5404","Bank Fees","5404","expense","account.account_tag_operating","False","","Comisiones Bancarias"
"l10n_bo_5405","Other Financial Expenses","5405","expense","account.account_tag_operating","False","","Otros Gastos Financieros"
"l10n_bo_550","Other Operational Expenses","550","expense","account.account_tag_operating","False","","Otros Gastos de Operación"
"l10n_bo_5601","Adjustment for Inflation and Property Ownership","5601","expense_depreciation","account.account_tag_operating","False","","Ajuste por Inflación y Tenencie de Bienes"
"l10n_bo_5602","Exchange Loss","5602","expense","account.account_tag_operating","False","","Pérdida Cambiaria"
"l10n_bo_5603","Other Expenses","5603","expense","account.account_tag_operating","False","","Otros Gastos"
"l10n_bo_570","Corporate Income Tax","570","expense","account.account_tag_operating","False","","Impuesto Sobre las Utilidades de las Empresas"
