"id","sequence","description","invoice_label","type_tax_use","tax_scope","name","amount_type","amount","tax_group_id","active","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","fiscal_position_ids","original_tax_ids"
"PT_20_S","102","","20%","purchase","service","20% S","percent","20.0","tax_group_20","True","base","invoice","7","","","account_fiscal_position_domestic",""
"","","","","","","","","","","","tax","invoice","4","220100","","",""
"","","","","","","","","","","","base","refund","7","","","",""
"","","","","","","","","","","","tax","refund","4","220100","","",""
"PT2","103","","Exempt","purchase","","Exempt","percent","0.0","tax_group_0","True","base","invoice","7","","","account_fiscal_position_domestic",""
"","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","base","refund","7","","","",""
"","","","","","","","","","","","tax","refund","","","","",""
"PT5","104","","5%","purchase","","5%","percent","5.0","tax_group_5","True","base","invoice","7","","","account_fiscal_position_domestic",""
"","","","","","","","","","","","tax","invoice","4","220100","","",""
"","","","","","","","","","","","base","refund","7","","","",""
"","","","","","","","","","","","tax","refund","4","220100","","",""
"PT_20_RCD","105","Reverse Charge (Domestic)","20% Reverse Charge","purchase","","20% RC","percent","20.0","tax_group_20","True","base","invoice","7","","","account_fiscal_position_domestic",""
"","","","","","","","","","","","tax","invoice","4","220100","100","",""
"","","","","","","","","","","","tax","invoice","1","220000","-100","",""
"","","","","","","","","","","","base","refund","7","","100","",""
"","","","","","","","","","","","tax","refund","4","220100","100","",""
"","","","","","","","","","","","tax","refund","1","220000","-100","",""
"PT8","106","","20%","purchase","","20% EU (NIR)","percent","20.0","tax_group_0","False","base","invoice","9||7","","","account_fiscal_position_ni_to_eu_b2b","PT_20_G,PT_20_PVA"
"","","","","","","","","","","","tax","invoice","4","220100","","",""
"","","","","","","","","","","","tax","invoice","2","220100","-100","",""
"","","","","","","","","","","","base","refund","9||7","","","",""
"","","","","","","","","","","","tax","refund","4","220100","","",""
"","","","","","","","","","","","tax","refund","2","220100","-100","",""
"PT7","107","","0%","purchase","","0% EU (NIR)","percent","0.0","tax_group_0","False","base","invoice","9||7","","","account_fiscal_position_ni_to_eu_b2b","PT2,PT_0_EX"
"","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","base","refund","9||7","","","",""
"","","","","","","","","","","","tax","refund","","","","",""
"PT_20_RCI","108","Reverse Charge (International)","20% Reverse Charge","purchase","service","20% RC EX","percent","20.0","tax_group_20","True","base","invoice","6rc||7","","","account_fiscal_position_ni_to_eu_b2b,account_fiscal_position_rest_of_world_b2b","PT_20_S"
"","","","","","","","","","","","tax","invoice","4","220100","100","",""
"","","","","","","","","","","","tax","invoice","1","220000","-100","",""
"","","","","","","","","","","","base","refund","6rc||7","","100","",""
"","","","","","","","","","","","tax","refund","4","220100","100","",""
"","","","","","","","","","","","tax","refund","1","220000","-100","",""
"PT_20_PVA","109","20% Postponed Import VAT","20% PVA","purchase","consu","20% PVA","percent","20.0","tax_group_20","True","base","invoice","7","","","account_fiscal_position_rest_of_world_b2b","PT_20_G"
"","","","","","","","","","","","tax","invoice","4","220100","","",""
"","","","","","","","","","","","tax","invoice","1","220000","-100","",""
"","","","","","","","","","","","base","refund","7","","","",""
"","","","","","","","","","","","tax","refund","4","220100","","",""
"","","","","","","","","","","","tax","refund","1","220000","-100","",""
"PT_0_EX","110","","0%","purchase","","0% EX","percent","0.0","tax_group_0","True","base","invoice","7","","","account_fiscal_position_rest_of_world_b2b","PT2,PT8,PT7"
"","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","base","refund","7","","","",""
"","","","","","","","","","","","tax","refund","","","","",""
