"id","phrase_type","phrase_description","scenario_code","scenario_description","pdf_message"
"l10n_gt_edi_phrase_type_4_code_8",4,"Frases de exento o no afecto al IVA",8,"Servicios exentos centros educativos privados en lo que respecta a la matrícula de inscripción, colegiaturas y derechos de examen, de los cursos que tengan autorizados por la autoridad competente.","Exenta del IVA (art. 8 num. 1 Ley del IVA)"
"l10n_gt_edi_phrase_type_4_code_9",4,"Frases de exento o no afecto al IVA",9,"Medicamentos. Cuando una compañía farmacéutica le vende medicamentos genéricos o antirretrovirales a determinados pacientes.","Exenta del IVA (art. 7 num. 15 Ley del IVA)"
"l10n_gt_edi_phrase_type_4_code_10",4,"Frases de exento o no afecto al IVA",10,"Vehículos. Cuando se vende un vehículo terrestre del modelo de dos o más años anteriores al del año en curso.","Esta factura no incluye IVA (art. 55 Ley del IVA)"
"l10n_gt_edi_phrase_type_4_code_11",4,"Frases de exento o no afecto al IVA",11,"Ventas maquilas. Cuando el vendedor vende bienes o servicios de producción local a empresas calificadas bajo el decreto 29-89.","No afecta al IVA (Decreto 29-89 Ley de Maquila)"
"l10n_gt_edi_phrase_type_4_code_12",4,"Frases de exento o no afecto al IVA",12,"Ventas zonas francas. Cuando el vendedor vende bienes o servicios de producción local a empresas calificadas bajo el decreto 65-89 Ley de Zonas Francas.","No afecta al IVA (Decreto 65-89 Ley de Zonas Francas)"
"l10n_gt_edi_phrase_type_4_code_13",4,"Frases de exento o no afecto al IVA",13,"Venta de vivienda. Cuando la vivienda no exceda los límites de medición y valor que contempla la ley del Impuesto al Valor Agregado.","Exenta del IVA (art. 7 num. 12, Ley del IVA)"
"l10n_gt_edi_phrase_type_4_code_14",4,"Frases de exento o no afecto al IVA",14,"Venta de títulos y acciones: La creación, emisión, circulación y transferencia de títulos de crédito, títulos valores y acciones de cualquier clase, exceptuando la factura cambiaria.","Exenta del IVA (art. 7 num. 6 Ley del IVA)"
"l10n_gt_edi_phrase_type_4_code_15",4,"Frases de exento o no afecto al IVA",15,"Venta al menudeo en mercados. La venta al menudeo de carnes, pescado, mariscos, frutas y verduras frescas, cereales, legumbres y granos básicos a consumidores finales en mercados cantonales y municipales.","Exenta del IVA (art. 7 num. 11 Ley del IVA)"
"l10n_gt_edi_phrase_type_4_code_16",4,"Frases de exento o no afecto al IVA",16,"Ventas y servicios universidades. Las universidades autorizadas para funcionar en el país.","Exenta del IVA (art. 8 num. 2 Ley del IVA)"
"l10n_gt_edi_phrase_type_4_code_17",4,"Frases de exento o no afecto al IVA",17,"Ventas Usuarios Zolic. Los usuarios que se instalen y operen dentro de la Zona Libre gozarán de exención al impuesto al Valor Agregado por los hechos y actos gravados realizados dentro de la Zona Libre.","Exenta del IVA (art. 32 literal c, Ley Orgánica Zolic)"
"l10n_gt_edi_phrase_type_4_code_18",4,"Frases de exento o no afecto al IVA",18,"Ventas exentas del IVA por disposición específica. Cuando se efectúe una venta que corresponde a una operación exenta, o una venta a contribuyentes que cuenten con disposiciones específicas de exención al IVA.","Contribuyentes con disposiciones específicas de exención al IVA"
"l10n_gt_edi_phrase_type_4_code_19",4,"Frases de exento o no afecto al IVA",19,"Faltante de inventario de bienes perecederos, casos fortuitos, de fuerza mayor o delitos. Cuando se facture faltante de inventario que no corresponden al hecho generador del IVA, es decir cuando ocurra por bienes perecederos, casos fortuitos, de fuerza mayor o delitos contra el patrimonio.","Exenta del IVA (art. 3 num. 7 Ley del IVA)"
"l10n_gt_edi_phrase_type_4_code_20",4,"Frases de exento o no afecto al IVA",20,"Aportes sociedades de emprendimiento. Cuando una persona individual o jurídica realice aportes a las sociedades de emprendimiento.","Aportes (art. 35 Ley de Fortalecimiento al Emprendimiento)"
"l10n_gt_edi_phrase_type_4_code_21",4,"Frases de exento o no afecto al IVA",21,"Otros cargos, impuestos y/o tasas a otros países, no sujetos a IVA. Cuando se incluyan en el boleto aéreo cargos, o impuestos y/o tasas para otros países, no sujetos a IVA.","Cargos e impuestos no sujetos a IVA (Aerolíneas)"
"l10n_gt_edi_phrase_type_4_code_22",4,"Frases de exento o no afecto al IVA",22,"Las notas de débito y crédito no deben incluir IVA cuando el documento origen al que hacen referencia tampoco lo incluye.","NCRE NDEB Factura origen no incluye IVA"
"l10n_gt_edi_phrase_type_4_code_23",4,"Frases de exento o no afecto al IVA",23,"La transferencia de dominio de bienes muebles, cuando el emisor del documento efectúe la aportación de bienes muebles a sociedades mercantiles.","Exenta del IVA (art. 7, numeral 3, literal c, Ley del IVA)"
"l10n_gt_edi_phrase_type_4_code_24",4,"Frases de exento o no afecto al IVA",24,"Servicios no afectos, cuando el servicio es prestado fuera del territorio nacional y no se enmarca en el hecho generador del impuesto establecido en el artículo 3 y las exenciones según los artículos 7 y 8 del Decreto número 27-92 de la Ley del IVA.","No afecta al IVA (Fuera del hecho generador art. 3, 7 y 8, Ley del IVA)"
"l10n_gt_edi_phrase_type_4_code_25",4,"Frases de exento o no afecto al IVA",25,"Ventas Zolic. Para el cumplimiento de sus fines, la institución gozará de la exención de impuestos, derechos y arbitrios fiscales o municipales, establecidos o que se establezcan.","Exenta del IVA (art. 31 Dec. 22-73 Ley Orgánica Zolic)"
"l10n_gt_edi_phrase_type_4_code_26",4,"Frases de exento o no afecto al IVA",26,"Boletos aéreos para beneficiarios del Dec. 31-2022. Está exenta de IVA la compra de boletos aéreos que sean adquiridos exclusivamente para las personas que trabajen fuera del territorio de Guatemala contratados por empleadores extranjeros con el apoyo del Ministerio de Trabajo y Previsión Social.","Exenta del IVA (art. 4 Dec. 31-2022 Ley de Fom. del Trab. Temp. en el Extranjero)"
"l10n_gt_edi_phrase_type_4_code_27",4,"Frases de exento o no afecto al IVA",27,"Primera venta vehículo eléctrico, motocicleta eléctrica o impulsado por hidrógeno.","Exenta del IVA (art. 7 literal “a” Dec. 40-2022 Ley Inc. Mov. Eléctrica)"
"l10n_gt_edi_phrase_type_4_code_28",4,"Frases de exento o no afecto al IVA",28,"Primera venta vehículo eléctrico, motocicleta eléctrica, vehículo híbrido o impulsado por hidrógeno pesado o especial.","Exenta del IVA (art. 7 literal “c” Dec. 40-2022 Ley Inc. Mov. Eléctrica)"
"l10n_gt_edi_phrase_type_4_code_29",4,"Frases de exento o no afecto al IVA",29,"Primera venta teleférico, funicular, tren eléctrico, tren ligero, tranvía o trolebús.","Exenta del IVA (art. 7 literal “d” Dec. 40-2022 Ley Inc. Mov. Eléctrica)"
"l10n_gt_edi_phrase_type_4_code_30",4,"Frases de exento o no afecto al IVA",30,"Servicio de transporte público y transporte colectivo a través de vehículo eléctrico, vehículo híbrido, vehículo impulsado por hidrógeno y sistema de transporte eléctrico.","Exenta del IVA (art. 7 literal “g” Dec. 40-2022 Ley Inc. Mov. Eléctrica)"
"l10n_gt_edi_phrase_type_4_code_31",4,"Frases de exento o no afecto al IVA",31,"Primera venta de componentes específicos del vehículo eléctrico, motocicleta eléctrica, sistema de transporte eléctrico o vehículo impulsado por hidrógeno, de cargador para vehículo o motocicleta eléctricos.","Exenta del IVA (art. 7 literal “h” o “i” Dec. 40-2022 Ley Inc. Mov. Eléctrica)"
"l10n_gt_edi_phrase_type_4_code_32",4,"Frases de exento o no afecto al IVA",32,"Contratos Leasing Dec. 2-2021 por Arrendadoras relacionadas a vehículos eléctricos, vehículo de hidrógeno, sistemas de transporte eléctrico teleférico, funicular, tren eléctrico, tren ligero, tranvía o trolebús, cargador para vehículo eléctrico y de hidrógeno, motor eléctrico para vehículo eléctrico y de hidrógeno, batería para motor eléctrico y de hidrógeno.","Exenta del IVA (art. 8 Dec. 40-2022 Ley Inc. Mov. Eléctrica)"
"l10n_gt_edi_phrase_type_4_code_33",4,"Frases de exento o no afecto al IVA",33,"Ingresos no afectos, obtenidos en concepto de cuotas cuyo destino específicamente para cubrir gastos comunes de administración, mantenimiento, reparaciones, de servicios generales y primas de seguros de edificios, efectuados por los condominios.","No afecta al IVA (Fuera del hecho generador art. 3, Ley del IVA)"
"l10n_gt_edi_phrase_type_5_code_1",5,"Frases Factura Especial",1,"Se incluirá la frase al DTE de tipo Factura Especial en las compras en las que el vendedor o prestador del servicio se niegue a emitir la factura correspondiente.","El vendedor o prestador del servicio se niega a emitir la factura correspondiente (art. 52 Ley del IVA)"
"l10n_gt_edi_phrase_type_6_code_1",6,"Frases de Régimen Especial de Contribuyente Agropecuario",1,"El contribuyente está afiliado al IVA en el Régimen Especial de Contribuyente Agropecuario y su forma de pago del impuesto es el 5% sobre las ventas brutas.","Con forma de pago sobre las ventas brutas"
"l10n_gt_edi_phrase_type_6_code_2",6,"Frases de Régimen Especial de Contribuyente Agropecuario",2,"El contribuyente está afiliado al IVA en el Régimen Especial de Contribuyente Agropecuario y su forma de pago del impuesto es el 5% sobre las utilidades.","Con forma de pago sobre las utilidades, no retener"
"l10n_gt_edi_phrase_type_7_code_1",7,"Frases de Regímenes Electrónicos",1,"El contribuyente está afiliado al IVA en el Régimen electrónico de pequeño contribuyente.","No retener, XXXX"
"l10n_gt_edi_phrase_type_7_code_2",7,"Frases de Regímenes Electrónicos",2,"El contribuyente está afiliado al IVA en el Régimen electrónico especial de contribuyente agropecuario.","No retener, XXXX"
"l10n_gt_edi_phrase_type_8_code_1",8,"Frases de Exento de ISR",1,"Exenciones generales universidades. Las universidades legalmente autorizadas para funcionar en el país.","Exenta del ISR (art. 8 núm. 2 Ley de Actualización Tributaria)"
"l10n_gt_edi_phrase_type_8_code_2",8,"Frases de Exento de ISR",2,"Exenciones generales centros educativos privados. Los centros educativos privados, como centros de cultura, exclusivamente en las rentas derivadas de matrícula de inscripción, colegiaturas y derechos de examen, por los cursos que tengan autorizados por la autoridad competente.","Exenta del ISR (art. 8 núm. 3 Ley de Actualización Tributaria)"
"l10n_gt_edi_phrase_type_8_code_3",8,"Frases de Exento de ISR",3,"Exenciones generales iglesias. Exclusivamente por razón de culto.","Exenta del ISR (art. 8 núm. 5 Ley de Actualización Tributaria)"
"l10n_gt_edi_phrase_type_8_code_4",8,"Frases de Exento de ISR",4,"Exenciones Rentas de Actividades Lucrativas entes no lucrativos. Las rentas que obtengan los entes que destinen exclusivamente a los fines no lucrativos de su creación y en ningún caso distribuyan, directa o indirectamente, utilidades o bienes entre sus integrantes.","Exenta del ISR (art. 11 núm. 1 Ley de Actualización Tributaria)"
"l10n_gt_edi_phrase_type_8_code_5",8,"Frases de Exento de ISR",5,"Exenciones Rentas de Actividades Lucrativas cooperativas. Las rentas de las cooperativas legalmente constituidas en el país, provenientes de las transacciones con sus asociados y con otras cooperativas, federaciones y confederaciones de cooperativas.","Exenta del ISR (art. 11 núm. 2 Ley de Actualización Tributaria)"
"l10n_gt_edi_phrase_type_8_code_6",8,"Frases de Exento de ISR",6,"Exenta ISR Zolic. Para el cumplimiento de sus fines, la institución gozará de la exención de impuestos, derechos y arbitrios fiscales o municipales, establecidos o que se establezcan.","Exenta del ISR (art. 31 Ley Orgánica Zolic)"
"l10n_gt_edi_phrase_type_8_code_7",8,"Frases de Exento de ISR",7,"Exenta ISR Usuarios Zolic. Los usuarios que se instalen y operen dentro de la Zona Libre gozarán de exención del ISR por 10 años a partir de la fecha en que la empresa inicie sus operaciones dentro de la Zona Libre.","Exenta del ISR (art. 32 literal a, Ley Orgánica Zolic)"
"l10n_gt_edi_phrase_type_8_code_8",8,"Frases de Exento de ISR",8,"Exenciones generales entidades del Estado. Los organismos del Estado y sus entidades descentralizadas, autónomas, las municipalidades y sus empresas.","Exenta del ISR (art. 8 núm. 1 Ley de Actualización Tributaria)"
"l10n_gt_edi_phrase_type_8_code_9",8,"Frases de Exento de ISR",9,"Exención por servicio de carga eléctrica a otros tipos de vehículos y transporte. Servicio de carga para vehículos eléctricos, hidrógeno y sistema de transporte eléctrico.","Exenta del ISR (art. 4, literal b), numeral ii, Dec. 40-2022, Ley Inc. Mov. Eléctrica)"
"l10n_gt_edi_phrase_type_8_code_10",8,"Frases de Exento de ISR",10,"Exención por servicios de ensamblaje y/o producción a otros vehículos y transporte. Renta generada por ensamblaje y/o producción de vehículos híbridos, motocicleta eléctrica, vehículo impulsado por hidrógeno y sistema de transporte eléctrico.","Exenta del ISR (Art. 7, literal f, Dec. 40-2022, Ley Inc. Mov. Eléctrica)"
"l10n_gt_edi_phrase_type_8_code_11",8,"Frases de Exento de ISR",11,"Exención a servicios de transporte público y colectivo. Prestación de servicios de transporte público y transporte colectivo a través de vehículos eléctricos, híbridos, impulsados por hidrógeno y sistema de transporte eléctrico.","Exenta del ISR (Art. 7, literal g, Dec. 40-2022, Ley Inc. Mov. Eléctrica)"
"l10n_gt_edi_phrase_type_8_code_12",8,"Frases de Exento de ISR",12,"Rentas no afectas, obtenidos en conceptos de cuotas cuyo destino específicamente para cubrir gastos comunes de administración, mantenimiento, reparaciones, de servicios generales y primas de seguros de edificios, efectuados por los condominios.","No afecta al ISR (Fuera del hecho generador, art. 10, Ley de Actualización Tributaria)"
"l10n_gt_edi_phrase_type_9_code_1",9,"Frases Especiales",1,"Decreto XX-2022. Las empresas envasadoras de Gas Propano deberán incluir la frase correspondiente al subsidio.","Esta factura incluye apoyo social temporal al precio del gas licuado envasado en cilindros portátiles (Dec. XX-2022) por un valor XXXXX"
"l10n_gt_edi_phrase_type_9_code_2",9,"Frases Especiales",2,"Decreto 42-2022. Las empresas importadoras de derivados de petróleo al vender Diésel deberán incluir dicha frase.","Esta factura incluye apoyo social temporal Decreto 42-2022 por un valor de GTQ – XXXX"
"l10n_gt_edi_phrase_type_9_code_3",9,"Frases Especiales",3,"Decreto 42-2022. Las empresas importadoras de derivados de petróleo al vender Diésel deberán incluir dicha frase. Observación dicha frase es obligatoria para los importadores de combustibles cuando utilicen el código de producto del apoyo social y para las distribuidoras (Gasolineras) cuando vendan el referido producto.","Monto total a pagar sin apoyo social GTQ - XXX"
"l10n_gt_edi_phrase_type_9_code_4",9,"Frases Especiales",4,"Impuesto de Salida Vía Aérea, cuando corresponda a personas guatemaltecas que laboren para empleadores en el extranjero con registro de contratos en el Ministerio de Trabajo y Previsión Social.","Exenta Impuesto Salida Vía Aérea (art. 4 Dec. 31-2022 Ley de Fom. del Trab. Temp. en el Extranjero)"
"l10n_gt_edi_phrase_type_9_code_5",9,"Frases Especiales",5,"Decreto 45-2022. Las empresas envasadoras de Gas Propano deberán incluir la frase correspondiente al subsidio.","Esta factura incluye apoyo social temporal al precio del gas licuado envasado en cilindros portátiles (Dec. 45-2022)"
"l10n_gt_edi_phrase_type_9_code_6",9,"Frases Especiales",6,"Decreto 45-2022. Las empresas envasadoras de Gas Propano deberán incluir la frase correspondiente al subsidio.","Esta factura incluye apoyo social temporal al precio del gas licuado envasado en cilindros portátiles (Dec. 45-2022 y sus Reformas)"
"l10n_gt_edi_phrase_type_9_code_7",9,"Frases Especiales",7,"Decreto 05-2023. Las empresas envasadoras de Gas Propano deberán incluir la frase correspondiente al subsidio.","Esta factura incluye apoyo social temporal al precio del gas licuado envasado en cilindros portátiles (Dec. 05-2023)"
"l10n_gt_edi_phrase_type_9_code_8",9,"Frases Especiales",8,"DTE (otros documentos): Cuando el contribuyente emite un documento que respalda el traslado de mercancías de un lugar a otro.","La emisión de este documento no sustituye una factura."
"l10n_gt_edi_phrase_type_9_code_9",9,"Frases Especiales",9,"DTE (otros documentos): Cuando el contribuyente emite un documento que respalda un pago como anticipo en una operación comercial.","Este documento no constituye factura contable ni genera derecho a crédito fiscal del IVA."
"l10n_gt_edi_phrase_type_9_code_10",9,"Frases Especiales",10,"DTE (otros documentos): Cuando el contribuyente emite un documento que respalda un pago como anticipo en una operación comercial.","Concluido el servicio, debe emitirse la factura, conforme la liquidación correspondiente."
"l10n_gt_edi_phrase_type_9_code_11",9,F"rases Especiales",11,"DTE (otros documentos): Cuando el contribuyente emite un documento que respalda una exportación el cual es provisional.","La emisión de esta factura provisional no sustituye la emisión de la factura definitiva"
