id,sequence,name,auto_apply,vat_required,country_id,country_group_id,tax_ids/tax_src_id,tax_ids/tax_dest_id,name@fr
fiscal_position_template_national,"1",National Regime,"1","1","base.dz",,,,"Régime National"
fiscal_position_template_exo,,Exemption,"1",,,,,,"Exonération"
,,,,,,,l10n_dz_vat_sale_19_liberal_professions,l10n_dz_vat_sale_0_liberal_professions
,,,,,,,l10n_dz_vat_sale_19_bank_insurance,l10n_dz_vat_sale_0_bank_insurance
,,,,,,,l10n_dz_vat_sale_19_telephone,l10n_dz_vat_sale_0_telephone
,,,,,,,l10n_dz_vat_sale_19_other_services,l10n_dz_vat_sale_0_other_services
,,,,,,,l10n_dz_vat_sale_19_drink,l10n_dz_vat_sale_0_drink
,,,,,,,l10n_dz_vat_sale_19_tobacco_matches,l10n_dz_vat_sale_0_tobacco_matches
,,,,,,,l10n_dz_vat_sale_19_shows_games,l10n_dz_vat_sale_0_shows_games
,,,,,,,l10n_dz_vat_sale_19_on_site_consumption,l10n_dz_vat_sale_0_on_site_consumption
,,,,,,,l10n_dz_vat_purchase_19,l10n_dz_vat_purchase_0
,,,,,,,l10n_dz_vat_purchase_9,l10n_dz_vat_purchase_0
,,,,,,,l10n_dz_vat_purchase_19_depr,l10n_dz_vat_purchase_0_depr
,,,,,,,l10n_dz_vat_purchase_9_depr,l10n_dz_vat_purchase_0_depr
fiscal_position_template_eu_free_trade,,"EU Free Trade","1",,,"base.europe",,,"Accord de libre échange avec l'Union Européenne"
,,,,,,,l10n_dz_vat_sale_19_resale,l10n_dz_vat_sale_0_resale
,,,,,,,l10n_dz_vat_sale_9_g,l10n_dz_vat_sale_0_g
,,,,,,,l10n_dz_vat_sale_9_s,l10n_dz_vat_sale_0_s
,,,,,,,l10n_dz_vat_sale_9_immo,l10n_dz_vat_sale_0_immo_from_9
,,,,,,,l10n_dz_vat_sale_9_med,l10n_dz_vat_sale_0_med
,,,,,,,l10n_dz_vat_sale_9_cb,l10n_dz_vat_sale_0_cb
,,,,,,,l10n_dz_vat_sale_9_energy,l10n_dz_vat_sale_0_energy
,,,,,,,l10n_dz_vat_sale_19_prod,l10n_dz_vat_sale_0_prod
,,,,,,,l10n_dz_vat_sale_19_immo,l10n_dz_vat_sale_0_immo_from_19
,,,,,,,l10n_dz_vat_sale_19_liberal_professions,l10n_dz_vat_sale_0_liberal_professions
,,,,,,,l10n_dz_vat_sale_19_bank_insurance,l10n_dz_vat_sale_0_bank_insurance
,,,,,,,l10n_dz_vat_sale_19_telephone,l10n_dz_vat_sale_0_telephone
,,,,,,,l10n_dz_vat_sale_19_other_services,l10n_dz_vat_sale_0_other_services
,,,,,,,l10n_dz_vat_sale_19_drink,l10n_dz_vat_sale_0_drink
,,,,,,,l10n_dz_vat_sale_19_tobacco_matches,l10n_dz_vat_sale_0_tobacco_matches
,,,,,,,l10n_dz_vat_sale_19_shows_games,l10n_dz_vat_sale_0_shows_games
,,,,,,,l10n_dz_vat_sale_19_on_site_consumption,l10n_dz_vat_sale_0_on_site_consumption
,,,,,,,l10n_dz_vat_purchase_19,l10n_dz_vat_purchase_0
,,,,,,,l10n_dz_vat_purchase_9,l10n_dz_vat_purchase_0
,,,,,,,l10n_dz_vat_purchase_19_depr,l10n_dz_vat_purchase_0_depr
,,,,,,,l10n_dz_vat_purchase_9_depr,l10n_dz_vat_purchase_0_depr
