"id","code","name","tag_ids","account_type","description","reconcile","non_trade","active","parent_id","depreciation_model_id","name@zh_HK","description@zh_HK"
"l10n_hk_126100","126100","Prepaid Tax","","asset_current","Tax paid in advance","False","False","True","l10n_hk_126000","","預繳稅款","預先繳付的稅款"
"l10n_hk_130000","130000","Inventories","","asset_current","Parent account for inventories","False","False","False","","","存貨","存貨的母賬戶"
"l10n_hk_130100","130100","Stock Valuation Account","account.account_tag_operating","asset_current","Inventory on hand","False","False","True","l10n_hk_130000","","存貨估值賬戶","手上現有存貨"
"l10n_hk_140000","140000","Financial assets","","asset_non_current","Parent account for financial assets","False","False","False","","","金融資產","金融資產的母賬戶"
"l10n_hk_140100","140100","Unlisted Equity Investments","account.account_tag_investing","asset_non_current","Investments in unlisted shares (not subsidiaries or JVs)","False","False","True","l10n_hk_140000","","非上市股本投資","非上市股份的投資 (不包括附屬公司或合資聯營企業)"
"l10n_hk_140200","140200","Long-Term Debt Securities","","asset_non_current","Investments in bonds or debentures","False","False","True","l10n_hk_140000","","長期債務證券","債券或債權證投資"
"l10n_hk_150000","150000","Property Plant and Equipment","","asset_fixed","Parent account for PPE","False","False","False","","","物業、廠房及設備","物業、廠房及設備的母賬戶"
"l10n_hk_150100","150100","Buildings","account.account_tag_investing","asset_fixed","Owned commercial or residential buildings","False","False","True","l10n_hk_150000","asset_50_year_linear","樓宇","名下擁有的商業或住宅樓宇"
"l10n_hk_150110","150110","Accumulated Depreciation - Buildings","account.account_tag_investing","asset_fixed","Contra-account for Buildings","False","False","True","l10n_hk_150000","","累計折舊 - 樓宇","樓宇資產的對銷賬戶"
"l10n_hk_150200","150200","Leasehold Improvements","account.account_tag_investing","asset_fixed","Office fit-outs and leasehold improvements","False","False","True","l10n_hk_150000","asset_3_year_linear","租賃物業修繕","辦公室或租賃物業裝修及改善"
"l10n_hk_150210","150210","Accumulated Depreciation - Leasehold Improvements","account.account_tag_investing","asset_fixed","Contra-account for Installations","False","False","True","l10n_hk_150000","","累計折舊 - 租賃物業修繕","租賃物業裝修及改善的對銷賬戶"
"l10n_hk_150300","150300","Plant and Machinery","account.account_tag_investing","asset_fixed","Heavy machinery and specialized tools","False","False","True","l10n_hk_150000","asset_10_year_linear","廠房及機器","重型機器及專用工具"
"l10n_hk_150310","150310","Accumulated Depreciation - Plant and Machinery","account.account_tag_investing","asset_fixed","Contra-account for Machines","False","False","True","l10n_hk_150000","","累計折舊 - 廠房及機器","重型機器的對銷賬戶"
"l10n_hk_150400","150400","Furniture and Fixtures","account.account_tag_investing","asset_fixed","Office furniture and material","False","False","True","l10n_hk_150000","asset_5_year_linear","傢俬及裝置","辦公室傢俬及裝置物料"
"l10n_hk_150410","150410","Accumulated Depreciation - Furniture and Fixtures","account.account_tag_investing","asset_fixed","Contra-account for Furniture","False","False","True","l10n_hk_150000","","累計折舊 - 傢俬及裝置","辦公室傢俬的對銷賬戶"
"l10n_hk_150500","150500","Office & Computer Equipment","account.account_tag_investing","asset_fixed","IT equipment and servers","False","False","True","l10n_hk_150000","asset_3_year_linear","辦公室及電腦設備","資訊科技設備及伺服器"
"l10n_hk_150510","150510","Accumulated Depreciation - Office & Computer Equipment","account.account_tag_investing","asset_fixed","Contra-account for Technology","False","False","True","l10n_hk_150000","","累計折舊 - 辦公室及電腦設備","資訊科技設備的對銷賬戶"
"l10n_hk_150600","150600","Motor Vehicles","account.account_tag_investing","asset_fixed","Company fleet and accessories","False","False","True","l10n_hk_150000","asset_4_year_linear","車輛","公司車隊及車輛配件"
"l10n_hk_150610","150610","Accumulated Depreciation - Motor Vehicles","account.account_tag_investing","asset_fixed","Contra-account for Vehicles","False","False","True","l10n_hk_150000","","累計折舊 - 車輛","車輛資產的對銷賬戶"
"l10n_hk_155000","155000","Right-of-Use Assets (Leases)","","asset_fixed","Parent account for Capitalized Leases","False","False","False","","","使用權資產 (出租租賃)","資本化出租物業的母賬戶"
"l10n_hk_155100","155100","ROU Assets - Premises","account.account_tag_investing","asset_fixed","Capitalized office/warehouse leases","False","False","True","l10n_hk_155000","asset_3_year_linear","使用權資產 - 物業","資本化的辦公室/倉庫出租租賃"
"l10n_hk_155110","155110","Accumulated Depreciation - ROU Premises","account.account_tag_investing","asset_fixed","Contra-account for ROU Premises","False","False","True","l10n_hk_155000","","累計折舊 - 使用權物業","使用權物業的對銷賬戶"
"l10n_hk_155200","155200","ROU Assets - Equipment","account.account_tag_investing","asset_fixed","Capitalized equipment leases","False","False","True","l10n_hk_155000","asset_5_year_linear","使用權資產 - 設備","資本化設備出租租賃"
"l10n_hk_155210","155210","Accumulated Depreciation - ROU Equipment","account.account_tag_investing","asset_fixed","Contra-account for ROU Equipment","False","False","True","l10n_hk_155000","","累計折舊 - 使用權設備","使用權設備的對銷賬戶"
"l10n_hk_155300","155300","ROU Assets - Vehicles","account.account_tag_investing","asset_fixed","Capitalized vehicle leases","False","False","True","l10n_hk_155000","asset_4_year_linear","使用權資產 - 車輛","資本化車輛出租租賃"
"l10n_hk_155310","155310","Accumulated Depreciation - ROU Vehicles","account.account_tag_investing","asset_fixed","Contra-account for ROU Vehicles","False","False","True","l10n_hk_155000","","累計折舊 - 使用權車輛","使用權車輛的對銷賬戶"
"l10n_hk_158000","158000","Investment property carried at cost","","asset_fixed","Investment property at cost","False","False","False","","","投資物業 - 按成本列賬","以成本列賬的投資物業"
"l10n_hk_158100","158100","Investment Property - Commercial","account.account_tag_investing","asset_fixed","Properties held for rental/capital yield","False","False","True","l10n_hk_158000","asset_no_depreciation","投資物業 - 商業","為收租/資本增值而持有的物業"
"l10n_hk_159000","159000","Investment property carried at fair value","","asset_fixed","Parent account for fair value investment properties","False","False","False","","","投資物業 - 按公允價值列賬","以公允價值列賬的投資物業的母賬戶"
"l10n_hk_159100","159100","Investment Property (Fair Value)","","asset_fixed","Investment properties measured at fair value","False","False","True","l10n_hk_159000","","投資物業 (公允價值)","以公允價值計量的投資物業"
"l10n_hk_160000","160000","Intangible Assets","","asset_non_current","Parent account for intangible assets","False","False","False","","","無形資產","無形資產的母賬戶"
"l10n_hk_160100","160100","Computer Software","account.account_tag_investing","asset_non_current","Standalone software or IP","False","False","True","l10n_hk_160000","asset_3_year_linear","電腦軟件","獨立軟件或知識產權資產"
"l10n_hk_160110","160110","Accumulated Amortization - Computer Software","account.account_tag_investing","asset_non_current","Contra-account for Software","False","False","True","l10n_hk_160000","","累計攤銷 - 電腦軟件","電腦軟件的對銷賬戶"
"l10n_hk_160200","160200","Patents & Copyrights","account.account_tag_investing","asset_non_current","Registered IP rights","False","False","True","l10n_hk_160000","asset_10_year_linear","專利及版權","已註冊的知識產權"
"l10n_hk_160210","160210","Accumulated Amortization - Patents & Copyrights","account.account_tag_investing","asset_non_current","Contra-account for Patents","False","False","True","l10n_hk_160000","","累計攤銷 - 專利及版權","專利及版權的對銷賬戶"
"l10n_hk_160300","160300","Trademarks & Brand Names","account.account_tag_investing","asset_non_current","Registered trademarks","False","False","True","l10n_hk_160000","asset_10_year_linear","商標及品牌名稱","註冊商標"
"l10n_hk_160310","160310","Accumulated Amortization - Trademarks & Brand Names","account.account_tag_investing","asset_non_current","Contra-account for Trademarks","False","False","True","l10n_hk_160000","","累計攤銷 - 商標及品牌名稱","商標的對銷賬戶"
"l10n_hk_160400","160400","Franchise Rights & Licenses","account.account_tag_investing","asset_non_current","Operating licenses","False","False","True","l10n_hk_160000","asset_10_year_linear","特許經營權及牌照","營運業務的牌照及許可"
"l10n_hk_160410","160410","Accumulated Amortization - Franchise Rights & Licenses","account.account_tag_investing","asset_non_current","Contra-account for Franchises","False","False","True","l10n_hk_160000","","累計攤銷 - 特許經營權及牌照","特許經營權的對銷賬戶"
"l10n_hk_165000","165000","Other Non-Current Assets","","asset_non_current","Parent account for other non-current assets","False","False","False","","","其他非流動資產","其他非流動資產的母賬戶"
"l10n_hk_165100","165100","Other Non-Current Assets","","asset_non_current","Miscellaneous long-term assets","False","False","True","l10n_hk_165000","","其他非流動資產","雜項長期資產"
"l10n_hk_166000","166000","Investments in associates","","asset_non_current","Parent account for associate investments","False","False","False","","","關聯公司投資","關聯公司投資的母賬戶"
"l10n_hk_166100","166100","Investment in Associates","account.account_tag_investing","asset_non_current","Investments in associates","False","False","True","l10n_hk_166000","","關聯公司投資","關聯公司投資"
"l10n_hk_167000","167000","Investments in jointly controlled entities","","asset_non_current","Parent account for JV investments","False","False","False","","","共同控制實體投資","合資聯營企業/共同控制實體投資的母賬戶"
"l10n_hk_167100","167100","Investment in Joint Ventures","account.account_tag_investing","asset_non_current","Investments in Joint Ventures","False","False","True","l10n_hk_167000","","合資企業投資","合資企業投資"
"l10n_hk_168000","168000","Biological assets","","asset_non_current","Parent account for biological assets","False","False","False","","","生物資產","生物資產的母賬戶"
"l10n_hk_168100","168100","Biological Assets","","asset_non_current","Living animals or plants","False","False","True","l10n_hk_168000","","生物資產","活體動物或植物"
"l10n_hk_169000","169000","Deferred tax assets","","asset_non_current","Parent account for deferred tax assets","False","False","False","","","遞延稅項資產","遞延稅項資產的母賬戶"
"l10n_hk_169100","169100","Deferred Tax Assets","account.account_tag_operating","asset_non_current","Deferred tax assets","False","False","True","l10n_hk_169000","","遞延稅項資產","遞延稅項資產"
"l10n_hk_210000","210000","Financial liabilities (Non-current)","","liability_non_current","Parent account for non-current financial liabilities","False","False","False","","","非流動金融負債","非流動金融負債的母賬戶"
"l10n_hk_210100","210100","Long-Term Bank Loans","account.account_tag_financing","liability_non_current","Bank loans due after 12 months","False","False","True","l10n_hk_210000","","長期銀行貸款","不在 12 個月內到期的銀行貸款"
"l10n_hk_210200","210200","Unearned Income from System","account.account_tag_operating","liability_non_current","Long-term deferred revenue","False","False","True","l10n_hk_210000","","未賺取的系統性預期收入","長期遞延收入"
"l10n_hk_213000","213000","Deferred tax liabilities","","liability_non_current","Parent account for deferred tax liabilities","False","False","False","","","遞延稅項負債","遞延稅項負債的母賬戶"
"l10n_hk_213100","213100","Deferred Tax Liabilities","account.account_tag_operating","liability_non_current","Deferred tax liabilities","False","False","True","l10n_hk_213000","","遞延稅項負債","遞延稅項負債"
"l10n_hk_214000","214000","Provisions (Non-current)","","liability_non_current","Parent account for non-current provisions","False","False","False","","","撥備 (非流動)","非流動撥備的母賬戶"
"l10n_hk_214100","214100","Long-Term Provisions","","liability_non_current","Long-term provisions","False","False","True","l10n_hk_214000","","長期撥備","長期撥備"
"l10n_hk_220000","220000","Trade and other payables","","liability_current","Parent account for payables","False","False","False","","","貿易及其他應付款項","應付款項的母賬戶"
"l10n_hk_220100","220100","Account Payable","account.account_tag_operating","liability_payable","Trade payables to suppliers","True","False","True","l10n_hk_220000","","應付款項","應付供應商的貿易賬款"
"l10n_hk_220200","220200","Other Payable","account.account_tag_operating","liability_payable","Non-trade payables","True","True","True","l10n_hk_220000","","其他應付款項","非貿易應付款項"
"l10n_hk_220300","220300","Receipt in Advance (Customer Prepayments)","account.account_tag_operating","liability_current","Deposits received from customers","False","False","True","l10n_hk_220000","","預收款項 (客戶預繳款項)","客戶預繳的訂金"
"l10n_hk_220400","220400","Amount Due to Directors","account.account_tag_operating","liability_current","Advances or loans from directors","False","False","True","l10n_hk_220000","","應付董事款項","董事墊支款項或貸款"
"l10n_hk_221100","221100","Accruals","account.account_tag_operating","liability_current","Accrued expenses","False","False","True","l10n_hk_220000","","應計費用","應計的未付開支或費用"
"l10n_hk_221200","221200","Salaries and Wages Payable","account.account_tag_operating","liability_current","Salaries and wages owed to employees","False","False","True","l10n_hk_220000","","應付薪金及工資","未付給員工的薪金及工資"
"l10n_hk_221300","221300","MPF Accrued (Employer)","account.account_tag_operating","liability_current","Employer MPF contributions payable","False","False","True","l10n_hk_220000","","應付強積金供款 (僱主)","應付的僱主強積金供款"
"l10n_hk_221400","221400","MPF Withheld (Employee)","account.account_tag_operating","liability_current","Employee MPF withheld to be paid to provider","True","False","True","l10n_hk_220000","","代扣強積金供款 (僱員)","代扣以支付給受託人的僱員強積金供款"
"l10n_hk_221500","221500","Tax Withheld","account.account_tag_operating","liability_current","Taxes withheld payable to IRD","False","False","True","l10n_hk_220000","","代扣稅款","應付稅務局的代扣稅項"
"l10n_hk_221600","221600","Staff Housing Accrued","account.account_tag_operating","liability_current","Accrued expenses for staff housing allowance","True","False","True","l10n_hk_220000","","應計員工房屋津貼","員工房屋津貼的應計費用"
"l10n_hk_221800","221800","Proposed Dividend","account.account_tag_financing","liability_current","Dividends declared but not yet paid","False","False","True","l10n_hk_220000","","擬派股息","已宣派但尚未支付的股息"
"l10n_hk_224000","224000","Financial liabilities (Current)","","liability_current","Parent account for current financial liabilities","False","False","False","","","流動金融負債","流動金融負債的母賬戶"
"l10n_hk_224100","224100","Short-term Borrowing","account.account_tag_financing","liability_current","Short-term borrowing","False","False","True","l10n_hk_224000","","短期借貸","短期借貸款項"
"l10n_hk_225000","225000","Liabilities for current tax","","liability_current","Parent account for current tax liabilities","False","False","False","","","當期稅項負債","當期稅項負債的母賬戶"
"l10n_hk_225100","225100","Provision for Taxation","account.account_tag_operating","liability_current","Provision for current tax","False","False","True","l10n_hk_225000","","稅務撥備","為當期稅項作出的撥備"
"l10n_hk_230000","230000","Provisions","","liability_current","Parent account for Provisions","False","False","False","","","撥備","撥備的母賬戶"
"l10n_hk_230100","230100","General Provisions","account.account_tag_operating","liability_current","Provisions for warranties, legal claims, etc.","True","False","True","l10n_hk_230000","","一般撥備","為保用保證、法律索償等作出的撥備"
"l10n_hk_310000","310000","Share Capital & Premium","","equity","Parent account for share capital and premium","False","False","False","","","股本及股份溢價","股本及股份溢價的母賬戶"
"l10n_hk_310100","310100","Issued Capital","account.account_tag_financing","equity","Ordinary shares issued to shareholders","False","False","True","l10n_hk_310000","","已發行股本","已向股東發行的普通股股份"
"l10n_hk_310200","310200","Share Premium","account.account_tag_financing","equity","Amount received for shares in excess of their par value","False","False","True","l10n_hk_310000","","股份溢價","發行股份時所收取高於股份面值的金額"
"l10n_hk_320000","320000","Retained Earnings","","equity","Accumulated net income retained in the corporation","False","False","False","","","保留收益","公司保留的累計淨收入"
"l10n_hk_320100","320100","Retained Earnings","account.account_tag_financing","equity","Accumulated net income retained in the corporation","False","False","True","l10n_hk_320000","","保留收益","公司保留的累計淨收入"
"l10n_hk_320200","320200","Dividends","account.account_tag_financing","equity","Dividends paid to shareholders","False","False","True","l10n_hk_320000","","股息","支付給股東的股息"
"l10n_hk_330000","330000","Revaluation Surplus on Property, Plant and Equipment","","equity","Surplus arising from the revaluation of PPE","False","False","False","","","物業、廠房及設備重估盈餘","因物業、廠房或設備重新估值而產生的盈餘"
"l10n_hk_330100","330100","Revaluation Surplus on Property, Plant and Equipment","l10n_hk.account_tag_other_comprehensive_income","equity","Surplus arising from the revaluation of PPE","False","False","True","l10n_hk_330000","","物業、廠房及設備重估盈餘","因物業、廠房或設備重新估值而產生的盈餘"
"l10n_hk_340000","340000","Hedging Reserve","","equity","Effective portion of changes in fair value of cash flow hedges","False","False","False","","","對沖儲備","現金流對沖的公允價值變動之有效部分"
"l10n_hk_340100","340100","Hedging Reserve","l10n_hk.account_tag_other_comprehensive_income","equity","Effective portion of changes in fair value of cash flow hedges","False","False","True","l10n_hk_340000","","對沖儲備","現金流對沖的公允價值變動之有效部分"
"l10n_hk_350000","350000","Actuarial Gains/Losses Reserve","","equity","Cumulative actuarial gains and losses on defined benefit plans","False","False","False","","","精算收益/損失儲備","指定福利計劃的累計精算收益及損失"
"l10n_hk_350100","350100","Actuarial Gains/Losses Reserve","l10n_hk.account_tag_other_comprehensive_income","equity","Cumulative actuarial gains and losses on defined benefit plans","False","False","True","l10n_hk_350000","","精算收益/損失儲備","指定福利計劃的累計精算收益及損失"
"l10n_hk_390000","390000","Non-Controlling Interests","","equity","Portion of equity not attributable to the parent company","False","False","False","","","非控股權益","不屬於母公司的股權/權益部份"
"l10n_hk_390100","390100","Non-Controlling Interests (NCI)","account.account_tag_financing","equity","Portion of equity not attributable to the parent company","False","False","True","l10n_hk_390000","","非控股權益 (NCI)","不屬於母公司的股權/權益部份"
"l10n_hk_410100","410100","Trade Income","account.account_tag_operating","income","Primary revenue from operations","False","False","True","","","營業收入","營運的主要收入"
"l10n_hk_420100","420100","Sundry Income","account.account_tag_operating","income_other","Miscellaneous income","False","False","True","","","雜項收入","雜項收入"
"l10n_hk_420200","420200","Bank Interest Income","account.account_tag_operating","income_other","Interest earned on bank deposits","False","False","True","","","銀行利息收入","銀行存款賺取的利息"
"l10n_hk_420300","420300","Foreign Exchange Gain","account.account_tag_operating","income_other","Realized/Unrealized FX Gains","False","False","True","","","匯兌收益","已實現/未實現的外幣匯兌收益"
"l10n_hk_420400","420400","Cash Discount Gain","account.account_tag_operating","income_other","Discounts received from suppliers","False","False","True","","","現金折扣收益","獲供應商提供的折扣"
"l10n_hk_510100","510100","Trade Costs","account.account_tag_operating","expense_direct_cost","Direct cost of goods or services sold","False","False","True","","","營業成本","已售出商品或服務的直接成本 (銷貨成本)"
"l10n_hk_510200","510200","Raw materials","account.account_tag_operating","expense_direct_cost","Raw materials consumed","False","False","True","","","原材料","消耗的原材料"
"l10n_hk_510300","510300","Goods for resale","account.account_tag_operating","expense_direct_cost","Purchases of finished goods for resale","False","False","True","","","轉售商品","購入作轉售的製成品"
"l10n_hk_510400","510400","General subcontracting","account.account_tag_operating","expense_direct_cost","Direct costs paid to subcontractors","False","False","True","","","一般分判承包","支付給分判商/承包商的直接成本"
"l10n_hk_510500","510500","Costs of Transportation","account.account_tag_operating","expense_direct_cost","Freight-in and direct shipping costs","False","False","True","","","運輸成本","採購運費及直接運輸成本"
"l10n_hk_510600","510600","Declaration Fees","account.account_tag_operating","expense_direct_cost","Customs and trade declaration fees","False","False","True","","","報關費用","海關及貿易報關費用"
"l10n_hk_510700","510700","Import fees","account.account_tag_operating","expense_direct_cost","Duties and import charges","False","False","True","","","進口費用","關稅及進口收費"
"l10n_hk_510800","510800","Packing Fees","account.account_tag_operating","expense_direct_cost","Direct packaging materials","False","False","True","","","包裝費用","直接包裝材料成本"
"l10n_hk_510900","510900","Misc. Costs","account.account_tag_operating","expense_direct_cost","Other direct operational costs","False","False","True","","","雜項成本","其他直接營運成本"
"l10n_hk_511000","511000","Stock Variation","account.account_tag_operating","expense_direct_cost","Changes in inventory valuation","False","False","True","","","庫存變動","存貨估值變動"
"l10n_hk_521000","521000","Employee Benefits","","expense","Parent account for staff costs","False","False","False","","","員工福利","員工福利的母賬戶"
"l10n_hk_521100","521100","Wages & Salaries","account.account_tag_operating","expense","Basic payroll for employees","False","False","True","l10n_hk_521000","","工資及薪金","員工基本薪酬"
"l10n_hk_521150","521150","Directors' Remuneration","account.account_tag_operating","expense","Directors' pay for statutory disclosure","False","False","True","l10n_hk_521000","","董事酬金","法定須予披露的董事酬金"
"l10n_hk_521200","521200","Bonus Payment","account.account_tag_operating","expense","Performance bonuses paid","False","False","True","l10n_hk_521000","","花紅/獎金","按表現支付的花紅/獎金"
"l10n_hk_521300","521300","MPF Contribution (Employer)","account.account_tag_operating","expense","Mandatory Provident Fund expense","False","False","True","l10n_hk_521000","","強積金供款 (僱主)","強制性公積金供款開支"
"l10n_hk_521400","521400","Employee Benefits / Staff Costs","account.account_tag_operating","expense","General staff welfare and benefits","False","False","True","l10n_hk_521000","","員工福利/員工成本","一般員工福利開支"
"l10n_hk_521500","521500","Employees compensation","account.account_tag_operating","expense","Workers compensation insurance/claims","False","False","True","l10n_hk_521000","","僱員補償","勞工補償保險/索償"
"l10n_hk_521600","521600","Other personnel costs","account.account_tag_operating","expense","Miscellaneous HR costs","False","False","True","l10n_hk_521000","","其他人事成本","雜項人力資源成本"
"l10n_hk_521700","521700","Training and documentation","account.account_tag_operating","expense","Staff training and development","False","False","True","l10n_hk_521000","","培訓及指引文件","員工培訓及發展開支"
"l10n_hk_521800","521800","Social Security","account.account_tag_operating","expense","Overseas social security equivalents","False","False","True","l10n_hk_521000","","社會保障","社會保障海外等同項目"
"l10n_hk_522000","522000","Administrative Expenses","","expense","Parent account for office and administrative expenses","False","False","False","","","行政開支","辦公室及行政開支的母賬戶"
"l10n_hk_522100","522100","Rent & Rates","account.account_tag_operating","expense","General rent and government rates","False","False","True","l10n_hk_522000","","租金及差餉","一般租金及政府差餉"
"l10n_hk_522110","522110","Office Rent","account.account_tag_operating","expense","Specific office rental expense","False","False","True","l10n_hk_522000","","辦公室租金","特定辦公室租賃開支"
"l10n_hk_522200","522200","Utilities","account.account_tag_operating","expense","General utilities","False","False","True","l10n_hk_522000","","公用事業開支","一般公用事業開支"
"l10n_hk_522210","522210","Electricity Gas and Water Fees","account.account_tag_operating","expense","Specific utility bills","False","False","True","l10n_hk_522000","","水電及煤氣費","指定公用事業費用"
"l10n_hk_522300","522300","Telecommunication Expenses","account.account_tag_operating","expense","General telecom costs","False","False","True","l10n_hk_522000","","電訊服務費用","一般電訊服務成本"
"l10n_hk_522310","522310","Phone & internet","account.account_tag_operating","expense","Specific phone and broadband bills","False","False","True","l10n_hk_522000","","電話及互聯網費用","指定電話及寬頻服務費用"
"l10n_hk_522400","522400","Printing & Stationery","account.account_tag_operating","expense","Paper and printing supplies","False","False","True","l10n_hk_522000","","印刷及文具","紙張及印刷用品"
"l10n_hk_522500","522500","Postage & Stamps","account.account_tag_operating","expense","Courier and postal services","False","False","True","l10n_hk_522000","","郵費及郵票","快遞及郵政服務費用"
"l10n_hk_522600","522600","Office supplies","account.account_tag_operating","expense","General office consumables","False","False","True","l10n_hk_522000","","辦公室用品","一般辦公室消耗品"
"l10n_hk_522700","522700","Consumables","account.account_tag_operating","expense","Non-inventory consumable items","False","False","True","l10n_hk_522000","","消耗品","非存貨消耗品"
"l10n_hk_522800","522800","Office services","account.account_tag_operating","expense","Outsourced office services","False","False","True","l10n_hk_522000","","辦公室服務開支","外判辦公室服務開支"
"l10n_hk_522900","522900","IT Expenses","account.account_tag_operating","expense","Software subscriptions and IT support","False","False","True","l10n_hk_522000","","資訊科技開支","軟件訂閱及資訊科技支援服務費用"
"l10n_hk_523000","523000","Professional & Legal Fees","","expense","Parent account for professional fees","False","False","False","","","專業及法律服務費用","專業及法律費用的母賬戶"
"l10n_hk_523100","523100","Accounting","account.account_tag_operating","expense","Bookkeeping and accounting services","False","False","True","l10n_hk_523000","","會計費用","簿記及會計服務費用"
"l10n_hk_523200","523200","Audit Fees","account.account_tag_operating","expense","Statutory audit fees","False","False","True","l10n_hk_523000","","審計費用","法定審計工作的費用"
"l10n_hk_523300","523300","Legal & Professional Fees","account.account_tag_operating","expense","Lawyers and professional consultants","False","False","True","l10n_hk_523000","","法律及專業服務費用","律師及專業顧問費用"
"l10n_hk_523400","523400","Management & Administration Fees","account.account_tag_operating","expense","External management fees","False","False","True","l10n_hk_523000","","管理及行政費用","外間管理服務費用"
"l10n_hk_523500","523500","Bank Charges","account.account_tag_operating","expense","Bank transaction and service fees","False","False","True","l10n_hk_523000","","銀行費用","銀行交易及服務費用"
"l10n_hk_523600","523600","Taxation","account.account_tag_operating","expense","General non-profits taxes","False","False","True","l10n_hk_523000","","稅項","一般非利得稅稅項"
"l10n_hk_523610","523610","Property tax","account.account_tag_operating","expense","Hong Kong Property Tax","False","False","True","l10n_hk_523000","","物業稅","香港物業稅"
"l10n_hk_523700","523700","Bad Debts","account.account_tag_operating","expense","Written off uncollectible receivables","False","False","True","l10n_hk_523000","","壞賬","已撇賬的無法收回應收款項"
"l10n_hk_524000","524000","Insurance","","expense","Parent account for insurance","False","False","False","","","保險費用","保險費用的母賬戶"
"l10n_hk_524100","524100","Insurance","account.account_tag_operating","expense","General insurance policies","False","False","True","l10n_hk_524000","","保險費用","一般保險保單的保費"
"l10n_hk_524110","524110","Fire insurance","account.account_tag_operating","expense","Specific fire policy","False","False","True","l10n_hk_524000","","火險/火災保險","指定火險保單的保費"
"l10n_hk_524120","524120","Professional insurance","account.account_tag_operating","expense","General professional policies","False","False","True","l10n_hk_524000","","專業保險","一般專業保險保單的保費"
"l10n_hk_524130","524130","Legal protection insurance","account.account_tag_operating","expense","Specific legal coverage","False","False","True","l10n_hk_524000","","法律保障保險","特定法律保障保險的費用"
"l10n_hk_524140","524140","Professional Liability Insurance","account.account_tag_operating","expense","Specific liability coverage","False","False","True","l10n_hk_524000","","專業責任保險","特定責任保障保險的費用"
"l10n_hk_525000","525000","Selling & Distribution Costs","","expense","Parent account for selling costs","False","False","False","","","銷售及分銷成本","銷售及分銷成本的母賬戶"
