"id","code","name","account_type","reconcile","name@id","non_trade","depreciation_model_id","tax_ids","description","description@id"
"l10n_id_12210600","12210600","Building Installations (Movable)","asset_fixed","False","Instalasi Gedung","","asset_8_year_linear","tax_PT4","AC units, movable power systems (Group 2).","AC, sistem listrik bergerak (Golongan 2)."
"l10n_id_12210610","12210610","Light Machinery","asset_fixed","False","Mesin Ringan","","asset_8_year_linear","tax_PT4","Small generators, pumps, tools (Group 2).","Genset kecil, pompa, perkakas (Golongan 2)."
"l10n_id_12210620","12210620","Heavy Machinery","asset_fixed","False","Mesin Berat","","asset_16_year_linear","tax_PT4","Factory production lines (Group 3).","Lini produksi pabrik (Golongan 3)."
"l10n_id_12210630","12210630","Heavy Construction Equipment","asset_fixed","False","Alat Berat Konstruksi","","asset_20_year_linear","tax_PT4","Excavators, cranes, bulldozers (Group 4).","Ekskavator, crane, buldoser (Golongan 4)."
"l10n_id_12210700","12210700","Software Licenses","asset_fixed","False","Lisensi Software","","asset_4_year_linear","tax_PT4","Intangible software assets (Group 1).","Aset tak berwujud perangkat lunak (Golongan 1)."
"l10n_id_12281200","12281200","Accum. Depr. - Buildings Permanent","asset_fixed","False","Akum. Peny. Bangunan Permanen","","","","Contra account for Permanent Building depreciation.","Akun kontra untuk penyusutan Bangunan Permanen."
"l10n_id_12281210","12281210","Accum. Depr. - Buildings Non-Permanent","asset_fixed","False","Akum. Peny. Bangunan Non-Permanen","","","","Contra account for Non-Permanent Building depreciation.","Akun kontra untuk penyusutan Bangunan Non-Permanen."
"l10n_id_12281300","12281300","Accum. Depr. - Motorcycles","asset_fixed","False","Akum. Peny. Sepeda Motor","","","","Contra account for Motorcycles depreciation.","Akun kontra untuk penyusutan Sepeda Motor."
"l10n_id_12281310","12281310","Accum. Depr. - Operational Vehicles","asset_fixed","False","Akum. Peny. Kendaraan Operasional","","","","Contra account for Operational Vehicles depreciation.","Akun kontra untuk penyusutan Kendaraan Operasional."
"l10n_id_12281320","12281320","Accum. Depr. - Heavy Vehicles","asset_fixed","False","Akum. Peny. Kendaraan Berat","","","","Contra account for Heavy Vehicles depreciation.","Akun kontra untuk penyusutan Kendaraan Berat."
"l10n_id_12281400","12281400","Accum. Depr. - IT Equipment","asset_fixed","False","Akum. Peny. Perlengkapan IT","","","","Contra account for IT Equipment depreciation.","Akun kontra untuk penyusutan Perlengkapan IT."
"l10n_id_12281410","12281410","Accum. Depr. - Communication Devices","asset_fixed","False","Akum. Peny. Alat Komunikasi","","","","Contra account for Communication Devices depreciation.","Akun kontra untuk penyusutan Alat Komunikasi."
"l10n_id_12281420","12281420","Accum. Depr. - Office Electronics","asset_fixed","False","Akum. Peny. Elektronik Kantor","","","","Contra account for Office Electronics depreciation.","Akun kontra untuk penyusutan Elektronik Kantor."
"l10n_id_12281430","12281430","Accum. Depr. - Appliances","asset_fixed","False","Akum. Peny. Peralatan Pantry","","","","Contra account for Appliances depreciation.","Akun kontra untuk penyusutan Peralatan Pantry."
"l10n_id_12281500","12281500","Accum. Depr. - Furniture (Wood/Rattan)","asset_fixed","False","Akum. Peny. Perabot (Kayu/Rotan)","","","","Contra account for Wood/Rattan Furniture depreciation.","Akun kontra untuk penyusutan Perabot Kayu/Rotan."
"l10n_id_12281510","12281510","Accum. Depr. - Furniture (Metal/Mixed)","asset_fixed","False","Akum. Peny. Perabot (Logam/Campuran)","","","","Contra account for Metal/Mixed Furniture depreciation.","Akun kontra untuk penyusutan Perabot Logam/Campuran."
"l10n_id_12281600","12281600","Accum. Depr. - Building Installations","asset_fixed","False","Akum. Peny. Instalasi Gedung","","","","Contra account for Building Installations depreciation.","Akun kontra untuk penyusutan Instalasi Gedung."
"l10n_id_12281610","12281610","Accum. Depr. - Light Machinery","asset_fixed","False","Akum. Peny. Mesin Ringan","","","","Contra account for Light Machinery depreciation.","Akun kontra untuk penyusutan Mesin Ringan."
"l10n_id_12281620","12281620","Accum. Depr. - Heavy Machinery","asset_fixed","False","Akum. Peny. Mesin Berat","","","","Contra account for Heavy Machinery depreciation.","Akun kontra untuk penyusutan Mesin Berat."
"l10n_id_12281630","12281630","Accum. Depr. - Heavy Construction Equip","asset_fixed","False","Akum. Peny. Alat Berat Konstruksi","","","","Contra account for Heavy Construction Equipment depreciation.","Akun kontra untuk penyusutan Alat Berat Konstruksi."
"l10n_id_12281700","12281700","Accum. Amortization - Software Licenses","asset_fixed","False","Akum. Amortisasi Lisensi Software","","","","Contra account for Software Licenses amortization.","Akun kontra untuk amortisasi Lisensi Software."
"l10n_id_19999991","19999991","Funds in Transit","asset_current","False","Dana Dalam Perjalanan","","","","Funds being transferred between accounts","Dana yang sedang dipindahkan antar rekening."
"l10n_id_21100011","21100011","VAT Payable","liability_payable","True","Hutang PPN","True","","","VAT Payable from the net of Input and Output VAT.","Hutang PPN dari selisih PPN masukan dan keluaran."
"l10n_id_21100012","21100012","STLG Payable","liability_payable","True","Hutang PPN Barang Mewah","True","","","VAT Payable - luxury goods from the net of Input and Output VAT.","Hutang PPN barang mewah dari selisih PPN masukan dan keluaran."
"l10n_id_21100014","21100014","PPh 29","liability_payable","True","PPh 29","True","","","Corporate tax payable for the year (PPh 29)","Pajak badan terutang untuk tahun berjalan (PPh 29)."
"l10n_id_21100010","21100010","Account Payable","liability_payable","True","Hutang Usaha","","","","Amounts owed to the company by customers","Jumlah yang terutang oleh pelanggan kepada perusahaan."
"l10n_id_21100020","21100020","Shareholder Deposit","liability_current","False","Setoran Pemegang Saham","","","","Deposits received from shareholders","Setoran yang diterima dari pemegang saham."
"l10n_id_21100030","21100030","Third-Party Deposit","liability_current","False","Setoran Pihak Ketiga","","","","Deposits received from third parties","Setoran yang diterima dari pihak ketiga."
"l10n_id_21100040","21100040","Salary Deposit","liability_current","False","Setoran Gaji","","","","Salary payable to employees","Gaji yang harus dibayarkan kepada karyawan."
"l10n_id_21210010","21210010","Tax Payable PPh 21","liability_current","True","Pajak Terutang PPh 21","","","","Tax payable for employee income (PPh 21)","Pajak terutang untuk penghasilan karyawan (PPh 21)."
"l10n_id_21210020","21210020","Tax Payable PPh 22","liability_current","True","Pajak Terutang PPh 22","","","","Tax payable for export/import (PPh 22)","Pajak terutang untuk ekspor/impor (PPh 22)."
"l10n_id_21210030","21210030","Tax Payable PPh 23","liability_current","True","Pajak Terutang PPh 23","","","","Tax payable on services (PPh 23)","Pajak terutang atas jasa (PPh 23)."
"l10n_id_21210040","21210040","Tax Payable PPh 25","liability_current","True","Pajak Terutang PPh 25","","","","Corporate tax payable (PPh 25)","Pajak badan terutang (PPh 25)."
"l10n_id_21210050","21210050","Tax Payable 4 (2)","liability_current","False","Pajak Terutang 4(2)","","","","Tax payable under Article 4(2)","Pajak terutang sesuai Pasal 4(2)."
"l10n_id_21210060","21210060","Tax Payable PPh 26","liability_current","True","Pajak Terutang PPh 26","","","","Tax payable on services and income for foreign taxpayers (PPh 26)","Utang pajak atas jasa dan penghasilan untuk wajib pajak luar negeri (PPh 26)."
"l10n_id_21221010","21221010","VAT Sales","liability_current","False","PPN Keluaran","","","","VAT collected on sales","PPN yang dipungut dari penjualan."
"l10n_id_22110010","22110010","Bank Loan","liability_current","False","Pinjaman Bank","","","","Loans obtained from banks","Pinjaman yang diterima dari bank."
"l10n_id_22110020","22110020","Leasing Deposit","liability_current","False","Uang Muka Leasing","","","","Deposit for leasing agreements","Uang muka untuk perjanjian leasing."
"l10n_id_25110010","25110010","Accrued Payable Electricity","liability_current","False","Hutang Listrik Terakru","","","","Electricity expenses accrued but not yet paid","Beban listrik yang terakru tetapi belum dibayar."
"l10n_id_25110020","25110020","Accrued Payable Jamsostek","liability_current","False","Hutang Jamsostek Terakru","","","","Social security contributions accrued","Iuran jaminan sosial yang terakru."
"l10n_id_25110030","25110030","Accrued Payable Water","liability_current","False","Hutang Air Terakru","","","","Water expenses accrued but not yet paid","Beban air yang terakru tetapi belum dibayar."
"l10n_id_25110040","25110040","Accrued Payable Telp & Internet","liability_current","False","Hutang Telp & Internet Terakru","","","","Telephone and internet expenses accrued","Beban telepon dan internet yang terakru."
"l10n_id_25110050","25110050","Accrued Payable Security Management","liability_current","False","Hutang Keamanan Terakru","","","","Security management fees accrued","Biaya keamanan yang terakru."
"l10n_id_25110060","25110060","Accrued Payable Bank","liability_current","False","Hutang Bank Terakru","","","","Bank-related fees accrued","Biaya terkait bank yang terakru."
"l10n_id_25110070","25110070","Accrued Payable PBB","liability_current","False","Hutang PBB Terakru","","","","Property tax accrued (PBB)","Pajak properti yang terakru (PBB)."
"l10n_id_25110080","25110080","Accrued Payable Business License","liability_current","False","Hutang Lisensi Usaha Terakru","","","","Business license fees accrued","Biaya lisensi usaha yang terakru."
"l10n_id_25110090","25110090","Accrued Payable Insurance","liability_current","False","Hutang Asuransi Terakru","","","","Insurance premiums accrued but unpaid","Premi asuransi yang terakru tetapi belum dibayar."
"l10n_id_25110100","25110100","Accrued Payable Education","liability_current","False","Hutang Pendidikan Terakru","","","","Education-related expenses accrued","Beban pendidikan yang terakru."
"l10n_id_25110110","25110110","Accrued Payable Health Insurance/BPJS","liability_current","False","Hutang Asuransi Kesehatan/BPJS Terakru","","","","Health insurance accrued expenses","Beban asuransi kesehatan yang terakru."
"l10n_id_28110010","28110010","Advance Sales","liability_current","False","Penjualan Dimuka","","","","Revenue received in advance from customers","Pendapatan yang diterima di muka dari pelanggan."
"l10n_id_28110020","28110020","Customer Deposit","liability_current","False","Deposit Pelanggan","","","","Deposits received from customers","Deposit yang diterima dari pelanggan."
"l10n_id_28110030","28110030","Deferred Revenue","liability_current","False","Pendapatan Diterima Dimuka","","","","Income received in advance for goods or services","Pendapatan diterima dimuka untuk suatu jasa atau barang."
"l10n_id_29000000","29000000","Interim Stock","liability_current","False","Stok Sementara","","","","Stock temporarily recorded during inventory processing","Stok yang dicatat sementara saat proses inventaris."
"l10n_id_31100010","31100010","Authorized Capital","equity","False","Modal Disahkan","","","","Companys authorized capital","Modal yang telah disahkan perusahaan."
"l10n_id_31100020","31100020","Paid Capital","equity","False","Modal Disetor","","","","Capital actually paid by shareholders","Modal yang benar-benar disetor oleh pemegang saham."
"l10n_id_31100030","31100030","Unpaid Capital","equity","False","Modal Belum Disetor","","","","Capital committed but not yet paid by shareholders","Modal yang dijanjikan tetapi belum disetor oleh pemegang saham."
"l10n_id_31100040","31100040","Prive (Personal Retrieval)","equity","False","Prive (Pengambilan Pribadi)","","","","Owner withdrawals from the company","Penarikan dana oleh pemilik dari perusahaan."
"l10n_id_31210010","31210010","Capital Reserves","equity","False","Cadangan Modal","","","","Reserves set aside from profits","Cadangan yang disisihkan dari laba."
"l10n_id_31510010","31510010","Past Profit & Loss","equity","False","Laba & Rugi Tahun Lalu","","","","Profit and loss carried over from previous periods","Laba dan rugi yang dibawa dari periode sebelumnya."
"l10n_id_31510020","31510020","Ongoing Profit & Loss","equity","False","Laba & Rugi Berjalan","","","","Profit and loss for the current period","Laba dan rugi untuk periode berjalan."
"l10n_id_39000000","39000000","Historical Balance","equity","True","Saldo Historis","","","","Historical balance from previous periods","Saldo historis dari periode sebelumnya."
"l10n_id_41000010","41000010","Sales","income","True","Penjualan","","","","Revenue from goods or services sold","Pendapatan dari barang atau jasa yang dijual."
"l10n_id_42000060","42000060","Sales Refund","income","True","Pengembalian Penjualan","","","","Refunds given to customers","Pengembalian yang diberikan kepada pelanggan."
"l10n_id_42000070","42000070","Sales Discount","income","True","Diskon Penjualan","","","","Discounts given to customers on sales","Diskon yang diberikan kepada pelanggan atas penjualan."
"l10n_id_51000010","51000010","Cost of Goods Sold","expense_direct_cost","False","Harga Pokok Penjualan","","","","Direct cost of goods sold","Biaya langsung dari barang yang dijual."
"l10n_id_61100000","61100000","Expenses","expense","False","Beban","","","","General company expenses","Beban perusahaan secara umum."
"l10n_id_61100010","61100010","Employee Salary","expense","False","Gaji Karyawan","","","","Salaries paid to employees","Gaji yang dibayarkan kepada karyawan."
"l10n_id_61100020","61100020","Employee Bonus / Benefits","expense","False","Bonus / Tunjangan Karyawan","","","","Bonuses and benefits for employees","Bonus dan tunjangan untuk karyawan."
"l10n_id_61100030","61100030","Employee Overtime Pay","expense","False","Lembur Karyawan","","","","Overtime pay for employees","Bayaran lembur untuk karyawan."
"l10n_id_61100040","61100040","Employees Compensation","expense","False","Kompensasi Karyawan","","","","Compensation expenses for employees","Beban kompensasi untuk karyawan."
"l10n_id_61100100","61100100","Pph 21 Benefit","expense","False","Manfaat PPh 21","","","","Employee tax-related benefits (PPh 21)","Manfaat terkait pajak karyawan (PPh 21)."
"l10n_id_61100110","61100110","PPh 22 Final","expense","False","PPh 22 Final","","","","Income tax for PPh22 withheld on trade or commercial activities","Pajak Penghasilan (PPh) Pasal 22 yang dipungut atas kegiatan perdagangan atau komersial"
"l10n_id_61100120","61100120","PPh 4(2) Final","expense","False","PPh 4(2) Final","","","","Income tax for PPh 4(2) withheld directly at the time of the transaction","Pajak Penghasilan (PPh) Pasal 4(2) yang dipotong langsung pada saat transaksi"
"l10n_id_63110010","63110010","Phone & Internet","expense","False","Telepon & Internet","","","","Telecommunication expenses","Beban telekomunikasi."
"l10n_id_63110020","63110020","Water, Electricity, Gas","expense","False","Air, Listrik, Gas","","","","Utility expenses for office","Beban utilitas untuk kantor."
"l10n_id_63110030","63110030","Research & Development","expense","False","Riset & Pengembangan","","","","Expenses related to R&D activities","Beban terkait aktivitas riset & pengembangan."
"l10n_id_63110040","63110040","Office Equipment","expense","False","Peralatan Kantor","","","","Expenses for office equipment","Beban untuk peralatan kantor."
"l10n_id_63110041","63110041","Other Necessities","expense","False","Keperluan Lain","","","","Miscellaneous office necessities","Keperluan kantor lainnya."
"l10n_id_64110050","64110050","Post Necessities","expense","False","Keperluan Pos","","","","Expenses for postal services","Beban untuk jasa pos."
"l10n_id_65110000","65110000","Fees","expense","False","Biaya","","","","General fees incurred by the company","Biaya umum yang ditanggung perusahaan."
"l10n_id_65110010","65110010","Licensing Fees","expense","False","Biaya Lisensi","","","","Fees for licenses","Biaya untuk lisensi."
"l10n_id_65110020","65110020","Bank Administration Fees","expense","False","Biaya Administrasi Bank","","","","Bank service and administration fees","Biaya layanan dan administrasi bank."
"l10n_id_65110030","65110030","Consultant Fees","expense","False","Biaya Konsultan","","","","Fees paid to consultants","Biaya yang dibayarkan kepada konsultan."
"l10n_id_65110040","65110040","Rental Costs","expense","False","Biaya Sewa","","","","Costs related to rentals","Beban terkait sewa."
"l10n_id_65110041","65110041","Vehicle Rent","expense","False","Sewa Kendaraan","","","","Rental costs for vehicles","Biaya sewa kendaraan."
"l10n_id_65110042","65110042","Office Rent","expense","False","Sewa Kantor","","","","Rental costs for office space","Beban sewa ruang kantor."
"l10n_id_65110050","65110050","Insurance Costs","expense","False","Biaya Asuransi","","","","General insurance expenses","Beban asuransi umum."
"l10n_id_65110051","65110051","Vehicle Insurance","expense","False","Asuransi Kendaraan","","","","Insurance for company vehicles","Asuransi untuk kendaraan perusahaan."
"l10n_id_65110052","65110052","Fire Insurance","expense","False","Asuransi Kebakaran","","","","Fire insurance premiums","Premi asuransi kebakaran."
"l10n_id_65110053","65110053","Professional Insurance","expense","False","Asuransi Profesional","","","","Insurance for professional risks","Asuransi untuk risiko profesional."
"l10n_id_65110054","65110054","Legal Protection Insurance","expense","False","Asuransi Perlindungan Hukum","","","","Insurance covering legal matters","Asuransi yang mencakup masalah hukum."
"l10n_id_65110055","65110055","Professional Liability Insurance","expense","False","Asuransi Tanggung Jawab Profesional","","","","Insurance covering professional liabilities","Asuransi untuk tanggung jawab profesional."
"l10n_id_65110070","65110070","Income Tax Expenses (CIT)","expense","False","Income Tax Expenses (CIT)","","","","General taxes paid by the company","Pajak umum yang dibayarkan perusahaan."
"l10n_id_65110071","65110071","Property Tax","expense","False","Pajak Properti","","","","Property tax expenses","Beban pajak properti."
"l10n_id_65110072","65110072","Vehicle Taxes","expense","False","Pajak Kendaraan","","","","Taxes for company vehicles","Pajak untuk kendaraan perusahaan."
"l10n_id_65110090","65110090","Shipping Costs","expense","False","Biaya Pengiriman","","","","Costs for shipping goods","Beban untuk pengiriman barang."
"l10n_id_65110150","65110150","Maintenance Costs","expense","False","Biaya Pemeliharaan","","","","General maintenance expenses","Beban pemeliharaan umum."
"l10n_id_65110151","65110151","Office Maintenance Services","expense","False","Jasa Pemeliharaan Kantor","","","","Maintenance services for office","Jasa pemeliharaan untuk kantor."
"l10n_id_65110152","65110152","Asset Maintenance Costs","expense","False","Biaya Pemeliharaan Aset","","","","Costs to maintain fixed assets","Beban untuk pemeliharaan aset tetap."
"l10n_id_65110153","65110153","Building Maintenance Costs","expense","False","Biaya Pemeliharaan Gedung","","","","Costs for maintaining buildings","Beban untuk pemeliharaan gedung."
"l10n_id_65110154","65110154","Vehicle Maintenance","expense","False","Pemeliharaan Kendaraan","","","","Vehicle maintenance expenses","Beban pemeliharaan kendaraan."
"l10n_id_66110000","66110000","Office Supplies","expense","False","Alat Tulis Kantor","","","","General office supply expenses","Beban perlengkapan kantor umum."
"l10n_id_66110010","66110010","Vehicle Fuel","expense","False","Bahan Bakar Kendaraan","","","","Fuel expenses for vehicles","Beban bahan bakar kendaraan."
"l10n_id_66110020","66110020","Office Services","expense","False","Layanan Kantor","","","","Services used in office operations","Layanan yang digunakan dalam operasional kantor."
"l10n_id_66110030","66110030","Vehicle Service","expense","False","Servis Kendaraan","","","","Maintenance and service costs for vehicles","Beban perawatan dan servis kendaraan."
"l10n_id_66110040","66110040","Vehicle Parking & Toll Fee","expense","False","Biaya Parkir & Tol Kendaraan","","","","Parking and toll fees for vehicles","Biaya parkir dan tol kendaraan."
"l10n_id_66110100","66110100","Raw Materials","expense","False","Bahan Baku","","","","Expenses for raw materials used in production","Beban untuk bahan baku yang digunakan dalam produksi."
"l10n_id_66110110","66110110","Accounting","expense","False","Akuntansi","","","","Accounting service expenses","Beban jasa akuntansi."
"l10n_id_66110120","66110120","Consumables","expense","False","Barang Habis Pakai","","","","Expenses for consumable items","Beban untuk barang habis pakai."
"l10n_id_66110130","66110130","Stock Variation","expense","False","Perubahan Persediaan","","","","Represents the difference in value between Opening Stock and Closing Stock for the period.","Mencerminkan selisih nilai antara Persediaan Awal dan Persediaan Akhir pada periode berjalan."
"l10n_id_66110140","66110140","Legal Expenses","expense","False","Beban Hukum","","","","Legal service expenses","Beban jasa hukum."
"l10n_id_66110150","66110150","Studies & Works","expense","False","Studi & Pekerjaan","","","","Expenses related to studies or projects","Beban terkait studi atau proyek."
"l10n_id_66110160","66110160","Software","expense","False","Perangkat Lunak","","","","Software-related expenses","Beban terkait perangkat lunak."
"l10n_id_66110170","66110170","General Subcontracting","expense","False","Subkontrak Umum","","","","Expenses paid to subcontractors","Beban yang dibayarkan ke subkontraktor."
"l10n_id_66110180","66110180","Administration Fees","expense","False","Biaya Administrasi","","","","Administrative fees","Biaya administrasi."
"l10n_id_66110190","66110190","Goods for Resale","expense","False","Barang untuk Dijual Kembali","","","","Purchases for resale","Pembelian untuk dijual kembali."
"l10n_id_66110200","66110200","Membership Fees","expense","False","Iuran Keanggotaan","","","","Membership and subscription fees","Iuran keanggotaan dan langganan."
"l10n_id_66110210","66110210","Flights","expense","False","Tiket Pesawat","","","","Airfare expenses","Beban tiket pesawat."
"l10n_id_66110220","66110220","Hotels","expense","False","Hotel","","","","Hotel accommodation expenses","Beban akomodasi hotel."
"l10n_id_66110230","66110230","Public Transportation","expense","False","Transportasi Umum","","","","Public transport expenses","Beban transportasi umum."
"l10n_id_66110240","66110240","Other Travel Costs","expense","False","Beban Perjalanan Lainnya","","","","Miscellaneous travel expenses","Beban perjalanan lainnya."
"l10n_id_66110250","66110250","Advertising","expense","False","Iklan","","","","Advertising and promotion expenses","Beban iklan dan promosi."
"l10n_id_66110260","66110260","Business Gift","expense","False","Hadiah Bisnis","","","","Gifts for business purposes","Hadiah untuk keperluan bisnis."
"l10n_id_66110270","66110270","Other Personnel Costs","expense","False","Beban Personil Lainnya","","","","Miscellaneous personnel-related costs","Beban personil lainnya."
"l10n_id_66110280","66110280","Bar & Restaurant","expense","False","Bar & Restoran","","","","Expenses for meals at bars and restaurants","Beban untuk makanan di bar dan restoran."
"l10n_id_66110290","66110290","Food: Reception & Delivery","expense","False","Makanan: Resepsi & Pengiriman","","","","Food expenses for receptions and deliveries","Beban makanan untuk resepsi dan pengiriman."
"l10n_id_66110300","66110300","Training and Documentation","expense","False","Pelatihan & Dokumentasi","","","","Expenses for employee training and documentation","Beban untuk pelatihan karyawan dan dokumentasi."
"l10n_id_66110310","66110310","Social Security","expense","False","Jaminan Sosial","","","","Social security contributions","Iuran jaminan sosial."
"l10n_id_66110320","66110320","Property Tax","expense","False","Pajak Properti","","","","Property tax expenses","Beban pajak properti."
"l10n_id_66110330","66110330","Import Fees","expense","False","Biaya Impor","","","","Fees related to importing goods","Biaya terkait impor barang."
"l10n_id_66110340","66110340","Bank Fees","expense","False","Biaya Bank","","","","Bank service charges","Beban biaya layanan bank."
