"id","active","description","description@id","is_base_affected","invoice_label","type_tax_use","tax_group_id","name","amount_type","amount","fiscal_position_ids","repartition_line_ids/repartition_type","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/use_in_tax_closing","original_tax_ids","children_tax_ids"
"","","","","","","","","","","","","base","spt_sale_dpp_nilai_lain||spt_sale_facility","","invoice","","","",""
"","","","","","","","","","","","","tax","spt_sale_ppn||spt_sale_facility","","invoice","l10n_id_21221010","True","",""
"","","","","","","","","","","","","tax","","-100","invoice","l10n_id_21221010","True","",""
"","","","","","","","","","","","","base","spt_sale_dpp_nilai_lain||spt_sale_facility","","refund","","","",""
"","","","","","","","","","","","","tax","spt_sale_ppn||spt_sale_facility","","refund","l10n_id_21221010","","",""
"","","","","","","","","","","","","tax","","-100","refund","l10n_id_21221010","","",""
"tax_PT4","","VAT on Other Value Tax Base","PPN atas DPP Nilai Lain","","12%","purchase","l10n_id_tax_group_non_luxury_goods","12% 11/12","percent","11.0","l10n_id_domestic_fiscal_position","","","","","","","",""
"","","","","","","","","","","","","base","spt_purchase_dpp_nilai_lain","","invoice","","","",""
"","","","","","","","","","","","","tax","spt_purchase_ppn","","invoice","l10n_id_11210030","True","",""
"","","","","","","","","","","","","base","spt_purchase_dpp_nilai_lain","","refund","","","",""
"","","","","","","","","","","","","tax","spt_purchase_ppn","","refund","l10n_id_11210030","True","",""
"tax_PT3","","Standard 12% VAT","Pajak Pertambahan Nilai","","12%","purchase","l10n_id_tax_group_luxury_goods","12%","percent","12.0","l10n_id_domestic_fiscal_position","","","","","","","",""
"","","","","","","","","","","","","base","spt_purchase_dpp","","invoice","","","",""
"","","","","","","","","","","","","tax","spt_purchase_ppn","","invoice","l10n_id_11210030","True","",""
"","","","","","","","","","","","","base","spt_purchase_dpp","","refund","","","",""
"","","","","","","","","","","","","tax","spt_purchase_ppn","","refund","l10n_id_11210030","True","",""
"tax_PT5","","Sales Tax on Luxury Goods (STLG)","Pajak Penjualan atas Barang Mewah","False","20%","purchase","l10n_id_tax_group_stlg","20%","percent","20.0","l10n_id_domestic_fiscal_position","","","","","","","",""
"","","","","","","","","","","","","base","","","invoice","","","",""
"","","","","","","","","","","","","tax","spt_purchase_ppnbm","","invoice","","","",""
"","","","","","","","","","","","","base","","","refund","","","",""
"","","","","","","","","","","","","tax","spt_purchase_ppnbm","","refund","","","",""
"tax_PT2","","Exempt","Dibebaskan","","0%","purchase","l10n_id_tax_group_exempt","0% Exempt","percent","11.0","l10n_id_domestic_fiscal_position","","","","","","","",""
"","","","","","","","","","","","","base","spt_purchase_dpp_nilai_lain","","invoice","","","",""
"","","","","","","","","","","","","tax","spt_purchase_ppn","","invoice","l10n_id_11210030","True","",""
"","","","","","","","","","","","","tax","","-100","invoice","l10n_id_11210030","True","",""
"","","","","","","","","","","","","base","spt_purchase_dpp_nilai_lain","","refund","","","",""
"","","","","","","","","","","","","tax","spt_purchase_ppn","","refund","l10n_id_11210030","","",""
"","","","","","","","","","","","","tax","","-100","refund","l10n_id_11210030","","",""
"tax_PT6","","Non-Creditable Other Tax Base Rate Input VAT","PPN Masukan dengan DPP Nilai Lain yang Tidak Dapat Dikreditkan","","12%","purchase","l10n_id_tax_group_non_luxury_goods","12% NCR 11/12","percent","11.0","l10n_id_domestic_fiscal_position","","","","","","","",""
"","","","","","","","","","","","","base","spt_purchase_ncr||spt_purchase_dpp_nilai_lain","","invoice","","","",""
"","","","","","","","","","","","","tax","spt_purchase_ncr_ppn","","invoice","","","",""
"","","","","","","","","","","","","base","spt_purchase_ncr||spt_purchase_dpp_nilai_lain","","refund","","","",""
"","","","","","","","","","","","","tax","spt_purchase_ncr_ppn","","refund","","","",""
"tax_PT9","","Non-Creditable Standard Rate Input VAT","PPN Masukan yang Tidak Dapat Dikreditkan","","12%","purchase","l10n_id_tax_group_luxury_goods","12% NCR","percent","12.0","l10n_id_domestic_fiscal_position","","","","","","","",""
"","","","","","","","","","","","","base","spt_purchase_ncr||spt_purchase_dpp","","invoice","","","",""
"","","","","","","","","","","","","tax","spt_purchase_ncr_ppn","","invoice","","","",""
"","","","","","","","","","","","","base","spt_purchase_ncr||spt_purchase_dpp","","refund","","","",""
"","","","","","","","","","","","","tax","spt_purchase_ncr_ppn","","refund","","","",""
"tax_PT7","","Creditable Input VAT from Imports and Foreign Sources","PPN Masukan yang Dapat Dikreditkan dari Impor dan Sumber Luar Negeri","","12%","purchase","l10n_id_tax_group_luxury_goods","12% IM","percent","12.0","l10n_id_foreign_trade_fiscal_position","","","","","","","tax_PT3",""
"","","","","","","","","","","","","base","spt_import","","invoice","","","",""
"","","","","","","","","","","","","tax","spt_import_ppn","","invoice","l10n_id_11210030","True","",""
"","","","","","","","","","","","","base","spt_import","","refund","","","",""
"","","","","","","","","","","","","tax","spt_import_ppn","","refund","l10n_id_11210030","True","",""
"tax_PT8","","Creditable Input VAT from Luxury Goods Imports and Foreign Sources","PPN Masukan yang Dapat Dikreditkan atas Impor Barang Mewah dan Sumber Luar Negeri","False","20%","purchase","l10n_id_tax_group_luxury_goods","20% IM","percent","20.0","l10n_id_foreign_trade_fiscal_position","","","","","","","tax_PT5",""
"","","","","","","","","","","","","base","","","invoice","","","",""
"","","","","","","","","","","","","tax","spt_import_ppnbm","","invoice","","","",""
"","","","","","","","","","","","","base","","","refund","","","",""
"","","","","","","","","","","","","tax","spt_import_ppnbm","","refund","","","",""
"tax_PT0","","VAT Not Collected","PPN Tidak Dipungut","","0%","purchase","l10n_id_tax_group_0","0% Not Collected","percent","11.0","","","","","","","","",""
"","","","","","","","","","","","","base","spt_purchase_dpp_nilai_lain","","invoice","","","",""
"","","","","","","","","","","","","tax","spt_purchase_ppn","","invoice","l10n_id_11210030","True","",""
"","","","","","","","","","","","","tax","","-100","invoice","l10n_id_11210030","True","",""
"","","","","","","","","","","","","base","spt_purchase_dpp_nilai_lain","","refund","","","",""
"","","","","","","","","","","","","tax","spt_purchase_ppn","","refund","l10n_id_11210030","","",""
"","","","","","","","","","","","","tax","","-100","refund","l10n_id_11210030","","",""
"tax_luxury_pemungut_ppn","","Standard VAT to WAPU","PPN Standar kepada WAPU","","12%","sale","l10n_id_tax_group_vat_collector","12% Pemungut PPN","group","100.0","l10n_id_pemungut_ppn","","","","","","","tax_ST3","tax_ST3,tax_luxury_wapu"
"tax_pemungut_ppn","","VAT on Other Value Tax Base to WAPU","PPN atas DPP Nilai Lain kepada WAPU","","12%","sale","l10n_id_tax_group_vat_collector","12% 11/12 Pemungut PPN","group","100.0","l10n_id_pemungut_ppn","","","","","","","tax_ST4","tax_ST4,tax_wapu"
"tax_stlg_pemungut_ppn","","Sales Tax on Luxury Goods (STLG) to WAPU","PPnBM kepada WAPU","","20%","sale","l10n_id_tax_group_vat_collector","20% STLG Pemungut PPN","group","100.0","l10n_id_pemungut_ppn","","","","","","","tax_luxury_sales","tax_luxury_sales,tax_sltg_wapu"
"tax_wapu","","12% WAPU","","","12%","none","l10n_id_tax_group_vat_collector","12% WAPU","percent","-11.0","l10n_id_domestic_fiscal_position","","","","","","","",""
"","","","","","","","","","","","","base","","","invoice","","","",""
"","","","","","","","","","","","","tax","","","invoice","l10n_id_21221010","","",""
"","","","","","","","","","","","","base","","","refund","","","",""
"","","","","","","","","","","","","tax","","","refund","l10n_id_21221010","","",""
"tax_luxury_wapu","","12% Luxury WAPU","","","12%","none","l10n_id_tax_group_vat_collector","12% Luxury WAPU","percent","-12.0","l10n_id_domestic_fiscal_position","","","","","","","",""
"","","","","","","","","","","","","base","","","invoice","","","",""
"","","","","","","","","","","","","tax","","","invoice","l10n_id_21221010","","",""
"","","","","","","","","","","","","base","","","refund","","","",""
"","","","","","","","","","","","","tax","","","refund","l10n_id_21221010","","",""
"tax_sltg_wapu","","20% SLTG WAPU","","False","20%","none","l10n_id_tax_group_vat_collector","20% STLG WAPU","percent","-20.0","l10n_id_domestic_fiscal_position","","","","","","","",""
"","","","","","","","","","","","","base","","","invoice","","","",""
"","","","","","","","","","","","","tax","","","invoice","l10n_id_21221010","","",""
"","","","","","","","","","","","","base","","","refund","","","",""
"","","","","","","","","","","","","tax","","","refund","l10n_id_21221010","","",""
