id,name,code,account_type,tag_ids,reconcile
31044,Marketing assets,31044,asset_fixed,,False
320111,Inventory for materials and supplies,320111,asset_prepayments,,False
320112,Inventory for work in progress,320112,asset_prepayments,,False
320113,Inventory for finished goods,320113,asset_prepayments,,False
320114,Inventory for goods for resale,320114,asset_prepayments,,False
320115,Military Inventories,320115,asset_prepayments,,False
320119,Other Inventories,320119,asset_prepayments,,False
340111,Land,340111,asset_fixed,,False
340211,Minerals,340211,asset_fixed,,False
340212,Oil & Natural Gas,340212,asset_fixed,,False
340213,Energy resources,340213,asset_fixed,,False
340219,Other Mineral and Energy Resources,340219,asset_fixed,,False
34031,Non-Cultivated Biological resources,34031,asset_fixed,,False
34032,Water resources,34032,asset_fixed,,False
34033,Airspace resources,34033,asset_fixed,,False
34034,Non-Cultivated Non Biological,34034,asset_fixed,,False
340401,"Marketable operating leases - Contracts, leases and Permits",340401,asset_non_current,,False
340402,"Permits to use natural resources - Contracts, leases and Permits",340402,asset_non_current,,False
340403,"Permits to undertake specific activities - Contracts, leases and Permits",340403,asset_non_current,,False
3510,Monetary Gold and SDRs,3510,asset_current,,False
3522,Debt Securities,3522,asset_current,,False
3523,Loans,3523,asset_current,,False
352401,Shares in public corporations,352401,asset_non_current,,False
352402,Shares in private entities,352402,asset_non_current,,False
352501,Petroleum Revenue Investment Reserve,352501,asset_non_current,,False
352599,Other Investment Fund Shares or Units,352599,asset_non_current,,False
352701,Forwards,352701,asset_prepayments,,False
352702,Futures,352702,asset_prepayments,,False
352703,Options,352703,asset_prepayments,,False
352704,Swaps,352704,asset_prepayments,,False
3528,Account Receivable,3528,asset_receivable,,True
352802,Staff Advances,352802,asset_receivable,,True
352804,Taxes Receivable,352804,asset_current,,True
352805,Revenue receivable,352805,asset_receivable,,True
352806,Trade debtors,352806,asset_receivable,,True
352807,Sundry Debtors,352807,asset_receivable,,True
352808,Pre-payments,352808,asset_receivable,,True
352809,Deferred Expenses,352809,asset_receivable,,True
3529,Taxes owed to state,3529,asset_current,,False
4111,Currency Deposits,4111,liability_payable,,True
4112,Dept Security,411201,liability_current,,False
4113,Loans,4113,liability_current,,False
4115,Investment Fund Shares or Units,4115,liability_non_current,,False
4117,Accounts Payable,4117,liability_payable,,True
411721,Trade creditors,411721,liability_payable,,True
411722,Taxes payable,411722,liability_current,,True
411723,Taxes due to state,411723,liability_current,,False
411724,Deposits received,411724,liability_payable,,True
411725,Advances from Other Government Units,411725,liability_payable,,True
411726,Deferred Income,411726,liability_payable,,True
411798,Other Payables,411798,liability_payable,,True
4131,Provisions,4131,liability_non_current,,False
511001,Revenue Reserves,511001,equity_unaffected,,False
512001,Fixed Assets Reserves,512001,equity,,False
512201,Inventory Reserves,512201,equity,,False
512301,Financial Assets Reserves,512301,equity,,False
513001,Accumulated Fund,513001,equity,,False
