"id","parent_id/id","code_prefix_start","code_prefix_end","name","chart_template_id/id"
"tr_group_60","tr_group_6","60","60","Gross Sales","l10n_tr.l10n_tr_chart_template"
"tr_group_61","tr_group_6","61","61","Sales Discount (-)","l10n_tr.l10n_tr_chart_template"
"tr_group_62","tr_group_6","62","62","Cost Of Sales (-)","l10n_tr.l10n_tr_chart_template"
"tr_group_63","tr_group_6","63","63","Operating Expenses (-)","l10n_tr.l10n_tr_chart_template"
"tr_group_64","tr_group_6","64","64","Income And Profit From Other Operations","l10n_tr.l10n_tr_chart_template"
"tr_group_65","tr_group_6","65","65","Expense And Loss From Other Operations (-)","l10n_tr.l10n_tr_chart_template"
"tr_group_66","tr_group_6","66","66","Financial Expenses (-)","l10n_tr.l10n_tr_chart_template"
"tr_group_67","tr_group_6","67","67","Extraordinary Income And Profit","l10n_tr.l10n_tr_chart_template"
"tr_group_68","tr_group_6","68","68","Extraordinary Expense And Loss (-)","l10n_tr.l10n_tr_chart_template"
"tr_group_69","tr_group_6","69","69","Net Profit (Loss) For The Period","l10n_tr.l10n_tr_chart_template"
"tr_group_7","","7","7","Cost Accounting (Alternative 7/A)","l10n_tr.l10n_tr_chart_template"
"tr_group_70","tr_group_7","70","70","Transitory Accounts For Cost Accounting","l10n_tr.l10n_tr_chart_template"
"tr_group_71","tr_group_7","71","71","Direct Raw Materials And Supplies","l10n_tr.l10n_tr_chart_template"
"tr_group_72","tr_group_7","72","72","Direct Labour Expenses","l10n_tr.l10n_tr_chart_template"
"tr_group_73","tr_group_7","73","73","General Production Expenses","l10n_tr.l10n_tr_chart_template"
"tr_group_74","tr_group_7","74","74","Cost Of Production Of Services","l10n_tr.l10n_tr_chart_template"
"tr_group_75","tr_group_7","75","75","Research And Development Expenses","l10n_tr.l10n_tr_chart_template"
"tr_group_76","tr_group_7","76","76","Marketing, Sales And Distribution Expenses","l10n_tr.l10n_tr_chart_template"
"tr_group_77","tr_group_7","77","77","General Administrative Expenses","l10n_tr.l10n_tr_chart_template"
"tr_group_78","tr_group_7","78","78","Financial Expenses","l10n_tr.l10n_tr_chart_template"
"tr_group_79","tr_group_7","79","79","Expense Types (Alternative 7/B)","l10n_tr.l10n_tr_chart_template"
"tr_group_9","","9","9","Contingencies And Commitments","l10n_tr.l10n_tr_chart_template"
