"id","tax_group_id","name","type_tax_use","amount","amount_type","tax_scope","sequence","description","invoice_label","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","description@lt"
"","","","","","","","","","","base","refund","-12_base","","",""
"","","","","","","","","","","tax","refund","","account_account_template_4492","",""
"account_tax_template_sales_0_vat28_private","tax_group_vat_0","0% Private Use VAT28","sale","0.0","percent","","100","Cases when goods/services are consumed for the private needs of the VAT payer.","","base","invoice","+14_base","","","Atvejai, kai prekės/paslaugos suvartojamos PVM mokėtojo privatiems poreikiams."
"","","","","","","","","","","tax","invoice","","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-14_base","","",""
"","","","","","","","","","","tax","refund","","account_account_template_4492","",""
"account_tax_template_sales_0_vat29_private","tax_group_vat_0","0% Private Use VAT29","sale","0.0","percent","","100","Cases when goods/services are consumed for the private needs of the VAT payer.(VAT29)","","base","invoice","+14_base","","","Atvejai, kai prekės/paslaugos suvartojamos PVM mokėtojo privatiems poreikiams.(PVM29)"
"","","","","","","","","","","tax","invoice","","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-14_base","","",""
"","","","","","","","","","","tax","refund","","account_account_template_4492","",""
"account_tax_template_sales_0_vat32_margin","tax_group_vat_0","0% Margin VAT32","sale","0.0","percent","","100","Cases where a special taxation scheme (margin) is applied. Travel & Tourism Services (VAT32)","","base","invoice","+16_base","","","Atvejai, kai taikoma speciali apmokestinimo schema (marža). Kelionių ir turizmo paslaugos (PVM32)"
"","","","","","","","","","","tax","invoice","","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-16_base","","",""
"","","","","","","","","","","tax","refund","","account_account_template_4492","",""
"account_tax_template_sales_0_vat33_margin","tax_group_vat_0","0% Margin VAT33","sale","0.0","percent","","100","Cases where a special taxation scheme (margin) is applied. Second-hand Goods & Art (VAT33)","","base","invoice","+16_base","","","Atvejai, kai taikoma speciali apmokestinimo schema (marža). Naudotos prekės ir menas (PVM33)"
"","","","","","","","","","","tax","invoice","","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-16_base","","",""
"","","","","","","","","","","tax","refund","","account_account_template_4492","",""
"account_tax_template_sales_0_vat34","tax_group_vat_0","0% EX S","sale","0.0","percent","","10","Goods and services supplied outside EU. Where VAT is not chargeable because the supply of goods and services is considered to have taken place outside Lithuania and VAT can't be deducted. (VAT34)","0% VAT","base","invoice","+20_base","","","Už ES ribų tiekiamos prekės ir teikiamos paslaugos. Kai PVM netaikomas, nes laikoma, kad prekių tiekimas ir paslaugų teikimas įvyko ne Lietuvoje, ir PVM negali būti atskaitytas. (PVM34)"
"","","","","","","","","","","tax","invoice","","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-20_base","","",""
"","","","","","","","","","","tax","refund","","account_account_template_4492","",""
"account_tax_template_sales_0_vat36","tax_group_vat_0","0% EU","sale","0.0","percent","","10","Cases when the acquisition of goods from other Member States is deemed to have taken place within the territory of the country (VAT36)","","base","invoice","+20_base","","","Atvejai, kai prekių įsigijimas iš kitų valstybių narių laikomas įvykusiu šalies teritorijoje (PVM36)"
"","","","","","","","","","","tax","invoice","","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-20_base","","",""
"","","","","","","","","","","tax","refund","","account_account_template_4492","",""
"account_tax_template_sales_0_vat38","tax_group_vat_0","0% Non-EU S","sale","0.0","percent","","100","Services sold outside EU for which the buyer does not calculate sales VAT.(VAT38)","","base","invoice","+20_base","","","Už ES ribų parduotos paslaugos, kurioms pirkėjas neskaičiuoja pardavimo PVM (PVM38)"
"","","","","","","","","","","tax","invoice","","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-20_base","","",""
"","","","","","","","","","","tax","refund","","account_account_template_4492","",""
"account_tax_template_sales_0_vat39","tax_group_vat_0","0% Non-EU S EXEMPT","sale","0.0","percent","","100","Services sold outside EU that are exempt from vat.(VAT39)","","base","invoice","+13_base","","","Už ES ribų parduotos paslaugos, kurioms netaikomas PVM (PVM39)"
"","","","","","","","","","","tax","invoice","","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-13_base","","",""
"","","","","","","","","","","tax","refund","","account_account_template_4492","",""
"account_tax_template_sales_0_vat50","tax_group_vat_0","0% G EU VAT50","sale","0.0","percent","consu","10","Goods supplied to EU VAT payers, which were delivered for supply on demand. (VAT50)","","base","invoice","+18_base","","","ES PVM mokėtojams tiekiamos prekės, kurios buvo pristatytos tiekimui pagal pareikalavimą. (PVM50)"
"","","","","","","","","","","tax","invoice","","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-18_base","","",""
"","","","","","","","","","","tax","refund","","account_account_template_4492","",""
"account_tax_template_sales_0_vat51","tax_group_vat_0","0% Art 19/5","sale","0.0","percent","","10","Transactions subject to tax under Article 19(5)(2) and (3) of the VAT Act...","","base","invoice","+19_base","","","Pagal PVM įstatymo 19(5)(2) ir (3) straipsnius apmokestinami sandoriai..."
"","","","","","","","","","","tax","invoice","","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-19_base","","",""
"","","","","","","","","","","tax","refund","","account_account_template_4492","",""
"account_tax_template_sales_0_vat55","tax_group_vat_0","0% Art 501 VAT55","sale","0.0","percent","","100","Transactions referred to in Article 501(1) and (4) of the VAT Act. (VAT55)","","base","invoice","+19_base","","","PVM įstatymo 501 straipsnio 1 ir 4 dalyse nurodyti sandoriai (PVM55)"
"","","","","","","","","","","tax","invoice","","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-19_base","","",""
"","","","","","","","","","","tax","refund","","account_account_template_4492","",""
"account_tax_template_sales_0_vat56","tax_group_vat_0","0% Art 501 VAT56","sale","0.0","percent","","100","Transactions referred to in Article 501(2) of the VAT Act. (VAT56)","","base","invoice","+19_base","","","PVM įstatymo 501(2) straipsnyje nurodyti sandoriai (PVM56)"
"","","","","","","","","","","tax","invoice","","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-19_base","","",""
"","","","","","","","","","","tax","refund","","account_account_template_4492","",""
"account_tax_template_sales_0_vat100","tax_group_vat_0","0% VAT100","sale","0.0","percent","","100","Other cases (VAT100)","","base","invoice","+19_base","","","Kiti atvejai (PVM100)"
"","","","","","","","","","","tax","invoice","","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-19_base","","",""
"","","","","","","","","","","tax","refund","","account_account_template_4492","",""
"account_tax_template_sales_5","tax_group_vat_5","5%","sale","5.0","percent","","10","Goods supplied rendered within the territory of the country (VAT3) Medicines, medical aids, books, accommodation, transport, and specific food products.","5% VAT","base","invoice","+11_base","","","Šalies teritorijoje tiekiamos prekės (PVM3) Vaistai, medicinos pagalbos priemonės, knygos, apgyvendinimas, transportas ir specialūs maisto produktai."
"","","","","","","","","","","tax","invoice","+31_tax","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-11_base","","",""
"","","","","","","","","","","tax","refund","-31_tax","account_account_template_4492","",""
"account_tax_template_sales_5_services","tax_group_vat_5","5% S","sale","5.0","percent","service","10","Services rendered within the territory of the country (VAT3) Medicines, medical aids, books, accommodation, transport, and specific food products.","5% VAT","base","invoice","+11_base","","","Šalies teritorijoje suteiktos paslaugos (PVM3) Vaistai, medicinos pagalbos priemonės, knygos, apgyvendinimas, transportas ir specialūs maisto produktai."
"","","","","","","","","","","tax","invoice","+31_tax","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-11_base","","",""
"","","","","","","","","","","tax","refund","-31_tax","account_account_template_4492","",""
"account_tax_template_sales_5_vat85_private","tax_group_vat_5","5% Private Use","sale","5.0","percent","","100","Cases when goods (services) are consumed for the private needs of the VAT payer.(VAT85)","","base","invoice","+14_base","","","Atvejai, kai prekės (paslaugos) suvartojamos PVM mokėtojo privatiems poreikiams (PVM85)"
"","","","","","","","","","","tax","invoice","+31_tax","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-14_base","","",""
"","","","","","","","","","","tax","refund","-31_tax","account_account_template_4492","",""
"account_tax_template_sales_5_vat31_self","tax_group_vat_5","5% Self-Supply","sale","5.0","percent","","100","The manufacture of tangible fixed assets by a VAT payer themself and the material improvement of the building (structure) owned or not owned by a VAT payer. (VAT31)","","base","invoice","+15_base","","","PVM mokėtojo paties ilgalaikio materialiojo turto pasigaminimas ir PVM mokėtojui priklausančio ar nepriklausančio pastato (statinio) esminis pagerinimas (PVM31)"
"","","","","","","","","","","tax","invoice","+31_tax","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-15_base","","",""
"","","","","","","","","","","tax","refund","-31_tax","account_account_template_4492","",""
"account_tax_template_sales_5_vat53_margin","tax_group_vat_5","5% Margin","sale","5.0","percent","","100","Cases where transactions are subject to a special taxation margin scheme. (VAT53)","","base","invoice","+16_base","","","Atvejai, kai sandoriams taikoma speciali maržos apmokestinimo schema (PVM53)."
"","","","","","","","","","","tax","invoice","+31_tax","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-16_base","","",""
"","","","","","","","","","","tax","refund","-31_tax","account_account_template_4492","",""
"account_tax_template_sales_9","tax_group_vat_9","9%","sale","9.0","percent","","10","Goods supplied and/or services rendered within the territory of the country. (VAT2) Construction, renovation, and insulation of residential housing.","9% VAT","base","invoice","+11_base","","","Šalies teritorijoje tiekiamos prekės ir (arba) teikiamos paslaugos. (PVM2) Gyvenamųjų namų statyba, renovacija ir apšiltinimas."
"","","","","","","","","","","tax","invoice","+30_tax","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-11_base","","",""
"","","","","","","","","","","tax","refund","-30_tax","account_account_template_4492","",""
"account_tax_template_sales_9_vat2","tax_group_vat_9","9% S","sale","9.0","percent","","10","Goods supplied and/or services rendered within the territory of the country. (VAT2) Construction, renovation, and insulation of residential housing.","9% VAT","base","invoice","+11_base","","","Šalies teritorijoje tiekiamos prekės ir (arba) teikiamos paslaugos. (PVM2) Gyvenamųjų namų statyba, renovacija ir apšiltinimas."
"","","","","","","","","","","tax","invoice","+30_tax","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-11_base","","",""
"","","","","","","","","","","tax","refund","-30_tax","account_account_template_4492","",""
"account_tax_template_sales_9_vat79_private","tax_group_vat_9","9% Private Use","sale","9.0","percent","","100","Cases when goods (services) are consumed for the private needs of the VAT payer. (VAT79)","","base","invoice","+14_base","","","Atvejai, kai prekės (paslaugos) suvartojamos PVM mokėtojo privatiems poreikiams. (PVM79)"
"","","","","","","","","","","tax","invoice","+30_tax","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-14_base","","",""
"","","","","","","","","","","tax","refund","-30_tax","account_account_template_4492","",""
"account_tax_template_sales_9_vat30_self","tax_group_vat_9","9% Self-Supply","sale","9.0","percent","","100","The manufacture of tangible fixed assets by a VAT payer themself and the material improvement of the building (structure) owned or not owned by a VAT payer (VAT30)","","base","invoice","+15_base","","","PVM mokėtojo paties pasigamintas ilgalaikis materialusis turtas ir PVM mokėtojui priklausančio arba nepriklausančio pastato (statinio) esminis pagerinimas (PVM30)"
"","","","","","","","","","","tax","invoice","+30_tax","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-15_base","","",""
"","","","","","","","","","","tax","refund","-30_tax","account_account_template_4492","",""
"account_tax_template_sales_9_vat52_margin","tax_group_vat_9","9% Margin","sale","9.0","percent","","100","Cases where transactions are subject to a special taxation margin scheme. (VAT52)","","base","invoice","+16_base","","","Atvejai, kai sandoriams taikoma speciali maržos apmokestinimo schema (PVM52)."
"","","","","","","","","","","tax","invoice","+30_tax","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-16_base","","",""
"","","","","","","","","","","tax","refund","-30_tax","account_account_template_4492","",""
"account_tax_template_sales_12","tax_group_vat_12","12%","sale","12.0","percent","","10","Goods supplied and/or services rendered within the territory of the country. (VAT2) Construction, renovation, and insulation of residential housing.","12% VAT","base","invoice","+11_base","","","Šalies teritorijoje tiekiamos prekės ir (arba) teikiamos paslaugos. (PVM2) Gyvenamųjų namų statyba, renovacija ir apšiltinimas."
"","","","","","","","","","","tax","invoice","+30_tax","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-11_base","","",""
"","","","","","","","","","","tax","refund","-30_tax","account_account_template_4492","",""
"account_tax_template_sales_12_vat2","tax_group_vat_12","12% S","sale","12.0","percent","","10","Goods supplied and/or services rendered within the territory of the country. (VAT2) Construction, renovation, and insulation of residential housing.","12% VAT","base","invoice","+11_base","","","Šalies teritorijoje tiekiamos prekės ir (arba) teikiamos paslaugos. (PVM2) Gyvenamųjų namų statyba, renovacija ir apšiltinimas."
"","","","","","","","","","","tax","invoice","+30_tax","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-11_base","","",""
"","","","","","","","","","","tax","refund","-30_tax","account_account_template_4492","",""
"account_tax_template_sales_12_vat79_private","tax_group_vat_12","12% Private Use","sale","12.0","percent","","100","Cases when goods (services) are consumed for the private needs of the VAT payer. (VAT79)","","base","invoice","+14_base","","","Atvejai, kai prekės (paslaugos) suvartojamos PVM mokėtojo privatiems poreikiams. (PVM79)"
"","","","","","","","","","","tax","invoice","+30_tax","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-14_base","","",""
"","","","","","","","","","","tax","refund","-30_tax","account_account_template_4492","",""
"account_tax_template_sales_12_vat30_self","tax_group_vat_12","12% Self-Supply","sale","12.0","percent","","100","The manufacture of tangible fixed assets by a VAT payer themself and the material improvement of the building (structure) owned or not owned by a VAT payer (VAT30)","","base","invoice","+15_base","","","PVM mokėtojo paties pasigamintas ilgalaikis materialusis turtas ir PVM mokėtojui priklausančio arba nepriklausančio pastato (statinio) esminis pagerinimas (PVM30)"
"","","","","","","","","","","tax","invoice","+30_tax","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-15_base","","",""
"","","","","","","","","","","tax","refund","-30_tax","account_account_template_4492","",""
"account_tax_template_sales_12_vat52_margin","tax_group_vat_12","12% Margin","sale","12.0","percent","","100","Cases where transactions are subject to a special taxation margin scheme. (VAT52)","","base","invoice","+16_base","","","Atvejai, kai sandoriams taikoma speciali maržos apmokestinimo schema (PVM52)."
"","","","","","","","","","","tax","invoice","+30_tax","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-16_base","","",""
"","","","","","","","","","","tax","refund","-30_tax","account_account_template_4492","",""
"account_tax_template_sales_21","tax_group_vat_21","21%","sale","21.0","percent","consu","1","Goods supplied within the territory of the country (VAT1)","21% VAT","base","invoice","+11_base","","","Šalies teritorijoje tiekiamos prekės (PVM1)"
"","","","","","","","","","","tax","invoice","+29_tax","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-11_base","","",""
"","","","","","","","","","","tax","refund","-29_tax","account_account_template_4492","",""
"account_tax_template_sales_21_services","tax_group_vat_21","21% S","sale","21.0","percent","service","1","Services provided within the territory of the country (VAT1)","21% VAT","base","invoice","","","","Šalies teritorijoje teikiamos paslaugos (PVM1)"
"","","","","","","","","","","tax","invoice","+29_tax","account_account_template_4492","",""
"","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","tax","refund","-29_tax","account_account_template_4492","",""
"account_tax_template_sales_reversed_21","tax_group_vat_21","21% R","sale","21.0","percent","","10","Reversed Sale 21% (VAT25)","21% VAT","base","invoice","+12_base","","","Atvirkštinis pardavimo 21% (PVM25)"
"","","","","","","","","","","tax","invoice","+33_tax","account_account_template_4492","",""
"","","","","","","","","","","tax","invoice","+25_tax","account_account_template_4492","-100",""
"","","","","","","","","","","base","refund","-12_base","","",""
"","","","","","","","","","","tax","refund","-33_tax","account_account_template_4492","",""
"","","","","","","","","","","tax","refund","-25_tax","account_account_template_4492","-100",""
"account_tax_template_sales_21_vat62_private","tax_group_vat_21","21% Private Use","sale","21.0","percent","","100","Cases when goods (services) are consumed for the private needs of the VAT payer. (VAT62)","","base","invoice","+14_base","","","Atvejai, kai prekės (paslaugos) suvartojamos PVM mokėtojo privatiems poreikiams. (PVM62)"
"","","","","","","","","","","tax","invoice","+29_tax","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-14_base","","",""
"","","","","","","","","","","tax","refund","-29_tax","account_account_template_4492","",""
"account_tax_template_sales_21_vat92_self","tax_group_vat_21","21% Self-Supply","sale","21.0","percent","","100","Production of fixed tangible assets by a VAT payer and substantial improvement of a building (VAT92)","","base","invoice","+15_base","","","PVM mokėtojo ilgalaikio materialiojo turto pasigaminimas ir esminis pastato pagerinimas (PVM92)"
"","","","","","","","","","","tax","invoice","+29_tax","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-15_base","","",""
"","","","","","","","","","","tax","refund","-29_tax","account_account_template_4492","",""
"account_tax_template_purchase_0_vat5","tax_group_vat_0","0% EXEMPT","purchase","0.0","percent","","10","Cases when the supply of goods and services is exempt from VAT (VAT5) Healthcare, education, social care, medical items, real estate.","","base","invoice","+13_base","","","Atvejai, kai prekių tiekimas ir paslaugų teikimas neapmokestinamas PVM (PVM5) Sveikatos priežiūra, švietimas, socialinė rūpyba, medicinos prekės, nekilnojamasis turtas."
"","","","","","","","","","","tax","invoice","","account_account_template_2441","",""
"","","","","","","","","","","base","refund","-13_base","","",""
"","","","","","","","","","","tax","refund","","account_account_template_2441","",""
"account_tax_template_purchase_0_vat35","tax_group_vat_0","0% EU EXEMPT","purchase","0.0","percent","","10","Cases when the acquisition of goods inside EU is deemed to have taken place within the territory of the country (VAT35)","","base","invoice","+21_base","","","Atvejai, kai prekių įsigijimas ES viduje laikomas įvykusiu šalies teritorijoje (PVM35)"
"","","","","","","","","","","tax","invoice","","account_account_template_2441","",""
"","","","","","","","","","","base","refund","-21_base","","",""
"","","","","","","","","","","tax","refund","","account_account_template_2441","",""
"account_tax_template_purchase_0_vat12","tax_group_vat_0","0% EX","purchase","0.0","percent","","10","Export of Goods and services outside EU (VAT12)","0% VAT","base","invoice","+17_base","","","Prekių ir paslaugų eksportas už ES ribų (PVM12)"
"","","","","","","","","","","tax","invoice","","account_account_template_2441","",""
"","","","","","","","","","","base","refund","-17_base","","",""
"","","","","","","","","","","tax","refund","","account_account_template_2441","",""
"account_tax_template_purchase_0","tax_group_vat_0","0% VAT15","purchase","0.0","percent","","10","Goods and/or services purchased outside Lithuania with VAT deduction possible.(VAT15)","0% VAT","base","invoice","+20_base","","","Prekės ir (arba) paslaugos, įsigytos ne Lietuvoje, su galimybe atskaityti PVM (PVM15)"
"","","","","","","","","","","tax","invoice","","account_account_template_2441","",""
"","","","","","","","","","","base","refund","-20_base","","",""
"","","","","","","","","","","tax","refund","","account_account_template_2441","",""
"account_tax_template_purchase_0_vat19_triangular","tax_group_vat_0","0% EU T","purchase","0.0","percent","consu","10","Goods supplied by a Lithuanian intermediary within an EU triangular trade (VAT19)","0% VAT","base","invoice","+22_base","","","Lietuvos tarpininko tiekiamos prekės ES trišalėje prekyboje (PVM19)"
"","","","","","","","","","","tax","invoice","","account_account_template_2441","",""
"","","","","","","","","","","base","refund","-22_base","","",""
"","","","","","","","","","","tax","refund","","account_account_template_2441","",""
"account_tax_template_purchase_0_vat32_margin","tax_group_vat_0","0% Margin VAT32","purchase","0.0","percent","service","100","Cases where a special taxation scheme (margin) is applied. Travel & Tourism Services (VAT32)","","base","invoice","+16_base","","","Atvejai, kai taikoma speciali apmokestinimo schema (marža). Kelionių ir turizmo paslaugos (PVM32)"
"","","","","","","","","","","tax","invoice","","account_account_template_63081","",""
"","","","","","","","","","","base","refund","-16_base","","",""
"","","","","","","","","","","tax","refund","","account_account_template_63081","",""
"account_tax_template_purchase_0_vat33_margin","tax_group_vat_0","0% Margin VAT33","purchase","0.0","percent","service","100","Cases where a special taxation scheme (margin) is applied. Second-hand Goods & Art (VAT33)","","base","invoice","+13_base","","","Atvejai, kai taikoma speciali apmokestinimo schema (marža). Naudotos prekės ir menas (PVM33)"
"","","","","","","","","","","tax","invoice","","account_account_template_63081","",""
"","","","","","","","","","","base","refund","-13_base","","",""
"","","","","","","","","","","tax","refund","","account_account_template_63081","",""
"account_tax_template_purchase_assumed_0_vat36","tax_group_vat_0","0% EU A","purchase","0.0","percent","consu","100","Cases when the acquisition of goods from other Member States is deemed to have taken place within the territory of the country (VAT36)","Assumed 0% VAT","base","invoice","+23_base","","","Atvejai, kai prekių įsigijimas iš kitų valstybių narių laikomas įvykusiu šalies teritorijoje (PVM36)"
"","","","","","","","","","","tax","invoice","+25_tax||+35_tax","account_account_template_2441","",""
"","","","","","","","","","","tax","invoice","+32_tax","account_account_template_4492","-100",""
"","","","","","","","","","","base","refund","-23_base","","",""
"","","","","","","","","","","tax","refund","-25_tax||-35_tax","account_account_template_2441","",""
"","","","","","","","","","","tax","refund","-32_tax","account_account_template_4492","-100",""
"account_tax_template_purchase_0_vat38","tax_group_vat_0","0% Non-EU S","purchase","0.0","percent","service","10","Services purchased outside EU for which the buyer does not calculate sales VAT.(VAT38)","","base","invoice","+13_base","","","Paslaugos, įsigytos už ES ribų, kurioms pirkėjas neskaičiuoja pardavimo PVM (PVM38)"
"","","","","","","","","","","tax","invoice","","account_account_template_2441","",""
"","","","","","","","","","","base","refund","-13_base","","",""
"","","","","","","","","","","tax","refund","","account_account_template_2441","",""
"account_tax_template_purchase_0_vat39","tax_group_vat_0","0% Non-EU S EXEMPT","purchase","0.0","percent","","10","Services purchased out of EU that are exempt from vat.(VAT39)","","base","invoice","+23_base||+24_base","","","Už ES ribų įsigytos paslaugos, kurioms netaikomas PVM (PVM39)"
"","","","","","","","","","","tax","invoice","+25_tax||+35_tax","account_account_template_2441","",""
"","","","","","","","","","","tax","invoice","+32_tax","account_account_template_2441","-100",""
"","","","","","","","","","","base","refund","-23_base||-24_base","","",""
"","","","","","","","","","","tax","refund","-25_tax||-35_tax","account_account_template_2441","",""
"","","","","","","","","","","tax","refund","-32_tax","account_account_template_2441","-100",""
"account_tax_template_purchase_0_vat41","tax_group_vat_0","0% EU S","purchase","0.0","percent","service","10","Services purchased inside EU for which the buyer does not calculate sales VAT. (VAT41)","","base","invoice","+20_base","","","ES viduje įsigytos paslaugos, kurioms pirkėjas neskaičiuoja pardavimo PVM (PVM41)."
"","","","","","","","","","","tax","invoice","","account_account_template_2441","",""
"","","","","","","","","","","base","refund","-20_base","","",""
"","","","","","","","","","","tax","refund","","account_account_template_2441","",""
"account_tax_template_purchase_0_vat42","tax_group_vat_0","0% VAT42","purchase","0.0","percent","","10","Services purchased from EU VAT payers for which the purchaser does not calculate sales VAT. (VAT42)","","base","invoice","","","","Iš ES PVM mokėtojų įsigytos paslaugos, už kurias pirkėjas neskaičiuoja pardavimo PVM. (PVM42)"
"","","","","","","","","","","tax","invoice","+25_tax||+35_tax","account_account_template_2441","",""
"","","","","","","","","","","tax","invoice","+33_tax","account_account_template_2441","-100",""
"","","","","","","","","","","base","refund","","","",""
