id,name,country:id
l10n_ae_bank_76,"Al Hamriyah Exchange- Dubai",base.ae
l10n_ae_bank_77,"Hadi Express Exchange- Dubai",base.ae
l10n_ae_bank_78,"Al Jarwan Money Exchange-Sharjah",base.ae
l10n_ae_bank_79,"Harib Sultan Exchange-Abu Dhabi",base.ae
l10n_ae_bank_80,"Al Masood Exchange-Abu Dhabi",base.ae
l10n_ae_bank_81,"Horizon Exchange - Dubai",base.ae
l10n_ae_bank_82,"Al Mazroui Exchange Est-Abu Dhabi",base.ae
l10n_ae_bank_83,"International Developmentn Exchange-Dubai",base.ae
l10n_ae_bank_84,"Al Modawallah Exchange- Dubai",base.ae
l10n_ae_bank_85,"Jumana Exchange Est. - Dubai",base.ae
l10n_ae_bank_86,"Al Mona Exchange Co. - LLC. - Dubai",base.ae
l10n_ae_bank_87,"Kanoo Exchange- Dubai",base.ae
l10n_ae_bank_88,"Al Mussabah Exchange- Dubai",base.ae
l10n_ae_bank_89,"Khalil Al Fardan Exchange- Dubai",base.ae
l10n_ae_bank_90,"Al Nafees Exchange LLC. - Dubai",base.ae
l10n_ae_bank_91,"Khalili Exchange Co. LLC. - Dubai",base.ae
l10n_ae_bank_92,"Al Ne'emah Exchange Co. LLC- Dubai",base.ae
l10n_ae_bank_93,"Lari Exchange Est-Abu Dhabi",base.ae
l10n_ae_bank_94,"Al Rajihi Exchange Company - LLC. - Dubai",base.ae
l10n_ae_bank_95,"Lee La Megh Exchange LLC- Dubai",base.ae
l10n_ae_bank_96,"Al Razouki Int'l Exchange Co. LLC. - Dub",base.ae
l10n_ae_bank_97,"Malik Exchange-Abu Dhabi",base.ae
l10n_ae_bank_98,"Al Zari & Al Fardan Exchange LLC. - Sharjah",base.ae
l10n_ae_bank_99,"Multinet Trust Exchange - LLC. - Dubai",base.ae
l10n_ae_bank_100,"Al Zarooni Exchange- Dubai",base.ae
l10n_ae_bank_101,"Nanikdas Nathoomal Exchange Co. LLC- Dub",base.ae
l10n_ae_bank_102,"Alukkass Exchange,base.ae
l10n_ae_bank_103,"Naser Khoory Exchange Est. - Abu Dhabi",base.ae
l10n_ae_bank_104,"Arabian Exchange Co-Abu Dhabi",base.ae
l10n_ae_bank_105,"National Exchange Co.-Abu Dhabi",base.ae
l10n_ae_bank_106,"ARY International Exchange- Dubai",base.ae
l10n_ae_bank_107,"Oasis Exchange,base.ae
l10n_ae_bank_108,"Asia Exchange Centre- Dubai",base.ae
l10n_ae_bank_109,"Orient Exchange Co.- LLC- Dubai",base.ae
l10n_ae_bank_110,"Aziz Exchange Co. LLC.- Dubai",base.ae
l10n_ae_bank_111,"Pacific Exchange- Dubai",base.ae
l10n_ae_bank_112,"Bhagwandas Jethanand and SonsSharjah",base.ae
l10n_ae_bank_113,"Redha Al Ansari Exchange Est. - Dubai",base.ae
l10n_ae_bank_114,"Bin Bakheet Exchange Est.- Ajman",base.ae
l10n_ae_bank_115,"Reems Exchange- Dubai",base.ae
l10n_ae_bank_116,"Bin Belaila Exchange Co.-LLC. - Dubai",base.ae
l10n_ae_bank_117,"Sa'ad Exchange-Fujairah",base.ae
l10n_ae_bank_118,"Cash Express Exchange Est. - Dubai",base.ae
l10n_ae_bank_119,"Sabah Exchange-Sharjah",base.ae
l10n_ae_bank_120,"Central Exchange LLC Dubai",base.ae
l10n_ae_bank_121,"Sajwani Exchange- Dubai",base.ae
l10n_ae_bank_122,"City Exchange - LLC. - Dubai",base.ae
l10n_ae_bank_123,"Salim Exchange-Sharjah",base.ae
l10n_ae_bank_124,"Daniba International Exchange- Dubai",base.ae
l10n_ae_bank_125,"Sana'a Exchange- Dubai",base.ae
l10n_ae_bank_126,"Day Exchange LLC.- Dubai",base.ae
l10n_ae_bank_127,"Sawan Exchange Co. - LLC. - Dubai",base.ae
l10n_ae_bank_128,"Dinar Exchange - Dubai",base.ae
l10n_ae_bank_129,"Shaheen Money Exchange LLC. - Dubai",base.ae
l10n_ae_bank_130,"Dubai Exchange Centre - LLC. - Dubai",base.ae
l10n_ae_bank_131,"Sharjah International ExchangeSharjah",base.ae
l10n_ae_bank_132,"Dubai Express Exchange,base.ae
l10n_ae_bank_133,"Tabra & Al Nebal Exchange - Dubai",base.ae
l10n_ae_bank_134,"Emirates & East India Exchange - Sharjah",base.ae
l10n_ae_bank_135,"Tahir Exchange Est. - Dubai",base.ae
l10n_ae_bank_136,"Emirates India International Exchange-Sharjah",base.ae
l10n_ae_bank_137,"Taymour & Abou Harb Exchange Co. LLC. -Sharjah",base.ae
l10n_ae_bank_138,"Federal Exchange- Dubai",base.ae
l10n_ae_bank_139,"Al Rostamani Exchange- Dubai",base.ae
l10n_ae_bank_140,"First Gulf Exchange Centre- Dubai",base.ae
l10n_ae_bank_141,"U.A.E. Exchange Centre - LLC.- Dubai",base.ae
l10n_ae_bank_142,"Gomti Exchange - LLC. - Dubai",base.ae
l10n_ae_bank_143,"Union Exchange-Abu Dhabi",base.ae
l10n_ae_bank_144,"Gulf Express Exchange- Dubai",base.ae
l10n_ae_bank_145,"Universal Exchange Centre - Dubai",base.ae
l10n_ae_bank_146,"Gulf Int'l Exchange Co.-LLC. - Dubai",base.ae
l10n_ae_bank_147,"Wall Street Exchange Centre - LLCDubai",base.ae
l10n_ae_bank_148,"Zahra Al Yousuf Exchange- Dubai",base.ae
l10n_ae_bank_149,"AL DINAR EXCHANGE COMPANY",base.ae
l10n_ae_bank_150,"Global Exchange",base.ae
l10n_ae_bank_151,"HSBC Financial Services",base.ae
l10n_ae_bank_152,"Economic Exchange",base.ae
l10n_ae_bank_153,"ALFA EXCHANGE",base.ae
l10n_ae_bank_154,"Royal Exchange Co. LLC",base.ae
l10n_ae_bank_155,"DELMA EXCHANGE",base.ae
l10n_ae_bank_156,"Bin Belaila Exchange Co. L.L.C",base.ae
l10n_ae_bank_157,"SHARAF EXCHANGE",base.ae
l10n_ae_bank_158,"Alfalah Exchange Company",base.ae
l10n_ae_bank_159,"LULU EXCHANGE",base.ae
l10n_ae_bank_160,"GCC EXCHANGE",base.ae
l10n_ae_bank_161,"C3",base.ae
l10n_ae_bank_162,"Economic Exchange Centre",base.ae
l10n_ae_bank_163,"Western Union",base.ae
l10n_ae_bank_164,"Global Exchange",base.ae
l10n_ae_bank_165,"Waseela Equity",base.ae
l10n_ae_bank_166,"Zareen Exchange",base.ae
l10n_ae_bank_167,"Workers Equity Holdings",base.ae
l10n_ae_bank_168,"Future Exchange",base.ae
l10n_ae_bank_169,"SEIDCO",base.ae
l10n_ae_bank_170,"Nasim Al Barari Exchange",base.ae
l10n_ae_bank_171,"Finance House",base.ae
l10n_ae_bank_172,"Al Dhahery Exchange",base.ae
l10n_ae_bank_173,"Dunia",base.ae
l10n_ae_bank_174,"Al Nibal International Exchange",base.ae
