"id","name","code","account_type","reconcile","name@fr"
"chart218501_en","Group Pension Plan to pay - Employees Contribution","218501","liability_current","False","Régime de pension collective à payer - Contribution des employés"
"chart218502_en","Group Pension Plan to pay - Employer Contribution","218502","liability_current","False","Régime de pension collective à payer - Contribution de l'employeur"
"chart218601_en","Employee Benefits Provision - Employees Contribution","218601","liability_current","False","Avantages sociaux - Contribution des employés"
"chart218602_en","Employee Benefits Provision - Employer Contribution","218602","liability_current","False","Avantages sociaux - Contribution de l'employeur"
"chart2521_en","Provision for pension plans","2521","liability_current","False","Provision pour les régimes de pension"
"chart254101_en","Vacations Accrued","254101","expense","False","Vacances courues"
"chart254102_en","Compensatory Days Accrued","254102","expense","False","Jours de compensation courus"
"chart254103_en","Sick Leaves Accrued","254103","expense","False","Congés de maladie courus"
"chart2542_en","Bonus Accrued","2542","liability_current","False","Boni courus"
"chart411_en","Inside Sales","411","income","False","Ventes"
"chart412_en","Harmonized Provinces Sales","412","income","False","Ventes dans des provinces harmonisées"
"chart413_en","Non-Harmonized Provinces Sales","413","income","False","Ventes dans des provinces non-harmonisées"
"chart414_en","International Sales","414","income","False","Export"
"chart42_en","NON-OPERATING INCOMES","42","income_other","False","Revenus hors-exploitation"
"chart420001_en","Cash Discount Gain","420001","income_other","False",""
"chart5111_en","Inside Purchases","5111","expense","False","Achats"
"chart5112_en","Purchases in harmonized provinces","5112","expense","False","Achats dans des provinces harmonisées"
"chart5113_en","Purchases in non-harmonized provinces","5113","expense","False","Achats dans des provinces non-harmonisées"
"chart5114_en","International Purchases","5114","expense","False","Import"
"chart512101_en","Regular Salaries","512101","expense","False","Salaires"
"chart512102_en","Bonus","512102","expense","False","Boni"
"chart512103_en","Retroactive Pay","512103","expense","False","Paie rétroactive"
"chart512201_en","Vacations Accrued","512201","expense","False","Vacances courues"
"chart512202_en","Compensatory Days Accrued","512202","expense","False","Jours de compensation courus"
"chart512203_en","Sick Leaves Accrued","512203","expense","False","Congés de maladie courus"
"chart512301_en","Canada Pension Plan","512301","expense","False","Régime de pensions du Canada"
"chart512302_en","Employment Insurance","512302","expense","False","Assurance Emploi"
"chart512303_en","Group Pension Plan","512303","expense","False","Régime de pension collective"
"chart512304_en","Employee benefits expense","512304","expense","False","Avantages sociaux"
"chart512310_en","Provincial Pension Plan","512310","expense","False","Régime provincial de pension"
"chart512311_en","Provincial Parental Insurance Plan","512311","expense","False","Régime provincial d'assurance parentale"
"chart512312_en","Labour Health and Safety","512312","expense","False","Commission de la santé et de la sécurité du travail"
"chart512313_en","Labour Standards","512313","expense","False","Commission des normes du travail"
"chart512314_en","Health Service Fund","512314","expense","False","Fond des services de santé"
"chart550001_en","Cash Discount Loss","550001","expense","False",""
"chart55_en","NON-OPERATING EXPENSES","55","expense","False","Dépenses hors-exploitation"
