"id","name","invoice_label","description","type_tax_use","amount","amount_type","sequence","include_base_amount","tax_group_id","children_tax_ids","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","description@fr","name@fr","fiscal_position_ids","original_tax_ids"
"gstpst_sale_tax_11","11% GST+PST SK","11%","5% GST + 6% PST SK","sale","100.0","group","","","tax_group_fix","gst_sale_tax_5,pst_sale_tax_6","","","","","5% TPS + 6% TVP SK","11% TPS+TVP SK","fiscal_position_template_sk","gstpst_sale_tax_12_bc,gstqst_sale_tax_14975,gst_sale_tax_5,hst_sale_tax_13,gstpst_sale_tax_12_mb,hst_sale_tax_15,hst_sale_tax_14"
"gstpst_sale_tax_12_bc","12% GST+PST BC","12%","5% GST + 7% PST BC","sale","100.0","group","","","tax_group_fix","gst_sale_tax_5,pst_sale_tax_7_bc","","","","","5% TPS + 7% TVP BC","12% TPS+TVP BC","fiscal_position_template_bc","gstpst_sale_tax_11,gstqst_sale_tax_14975,gst_sale_tax_5,hst_sale_tax_13,gstpst_sale_tax_12_mb,hst_sale_tax_15,hst_sale_tax_14"
"gstpst_sale_tax_12_mb","12% GST+PST MB","12%","5% GST + 7% PST MB","sale","100.0","group","","","tax_group_fix","gst_sale_tax_5,pst_sale_tax_7_mb","","","","","5% TPS + 7% TVP MB","12% TPS+TVP MB","fiscal_position_template_mb","gstpst_sale_tax_11,gstpst_sale_tax_12_bc,gstqst_sale_tax_14975,gst_sale_tax_5,hst_sale_tax_13,hst_sale_tax_15,hst_sale_tax_14"
"gstqst_sale_tax_14975","14.975% GST+QST","14.975%","5% GST + 9.975% QST","sale","100.0","group","","","tax_group_fix","gst_sale_tax_5,qst_sale_tax_9975","","","","","5% TPS + 9.975% TVQ","14.975% TPS+TVQ","fiscal_position_template_qc","gstpst_sale_tax_11,gstpst_sale_tax_12_bc,gst_sale_tax_5,hst_sale_tax_13,gstpst_sale_tax_12_mb,hst_sale_tax_15,hst_sale_tax_14"
"int_sale_tax_0","0% Int","0%","0% International","sale","0.0","percent","10","False","tax_group_fix","","base","invoice","Ca91","","0% International","0% Int","fiscal_position_template_intl","gstpst_sale_tax_11,gstpst_sale_tax_12_bc,gstqst_sale_tax_14975,gst_sale_tax_5,hst_sale_tax_13,gstpst_sale_tax_12_mb,hst_sale_tax_15,hst_sale_tax_14"
"","","","","","","","","","","","tax","invoice","","","","","",""
"","","","","","","","","","","","base","refund","Ca91","","","","",""
"","","","","","","","","","","","tax","refund","","","","","",""
"exempt_sale_tax_0","0% Exempt","0%","0% Exempt","sale","0.0","percent","10","False","tax_group_fix","","base","invoice","Ca91","","0% TPS","0% TPS","",""
"","","","","","","","","","","","tax","invoice","","","","","",""
"","","","","","","","","","","","base","refund","Ca91","","","","",""
"","","","","","","","","","","","tax","refund","","","","","",""
"gst_purchase_tax_5","5% GST","5%","5% GST","purchase","5.0","percent","10","False","tax_group_gst","","base","invoice","","","5% TPS","5% TPS","fiscal_position_template_nu,fiscal_position_template_yt,fiscal_position_template_nt,fiscal_position_template_ab",""
"","","","","","","","","","","","tax","invoice","Ca106||CaQc106","l10n_ca_118100","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","Ca106||CaQc106","l10n_ca_118100","","","",""
"gst_purchase_tax_0","0% GST","0%","0% GST","purchase","0.0","percent","10","False","tax_group_gst","","base","invoice","","","0% TPS","0% TPS","",""
"","","","","","","","","","","","tax","invoice","Ca106||CaQc106","l10n_ca_118100","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","Ca106||CaQc106","l10n_ca_118100","","","",""
"pst_purchase_tax_6","6% PST SK","6%","6% PST SK","purchase","6.0","percent","20","False","tax_group_pst_6","","base","invoice","","","6% TVP SK","6% TVP SK","fiscal_position_template_sk",""
"","","","","","","","","","","","tax","invoice","","l10n_ca_118200","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","","l10n_ca_118200","","","",""
"pst_purchase_tax_6_G_resale","6% PST SK R","6%","6% PST SK Goods for resale","purchase","6.0","percent","20","False","tax_group_pst_6","","base","invoice","","","6% TVP SK Biens destinés à la revente","6% TVP SK B R","fiscal_position_template_sk",""
"","","","","","","","","","","","tax","invoice","CaSk2","l10n_ca_118200","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","CaSk2","l10n_ca_118200","","","",""
"pst_purchase_tax_7_bc","7% PST BC","7%","7% PST BC","purchase","7.0","percent","20","False","tax_group_pst_7","","base","invoice","","","7% TVP BC","7% TVP BC","fiscal_position_template_bc",""
"","","","","","","","","","","","tax","invoice","CaBcF","l10n_ca_118200","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","CaBcF","l10n_ca_118200","","","",""
"pst_purchase_tax_7_mb","7% PST MB","7%","7% PST MB","purchase","7.0","percent","20","False","tax_group_pst_7","","base","invoice","","","7% TVP MB","7% TVP MB","fiscal_position_template_mb",""
"","","","","","","","","","","","tax","invoice","","l10n_ca_118200","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","","l10n_ca_118200","","","",""
"qst_purchase_tax_9975","9.975% QST","9.975%","9.975% QST","purchase","9.975","percent","20","False","tax_group_qst","","base","invoice","","","9.975% TVQ","9.975% TVQ","fiscal_position_template_qc",""
"","","","","","","","","","","","tax","invoice","CaQc206","l10n_ca_118200","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","CaQc206","l10n_ca_118200","","","",""
"hst_purchase_tax_13","13% HST","13%","13% HST","purchase","13.0","percent","20","False","tax_group_hst_13","","base","invoice","","","13% TVH","13% TVH","fiscal_position_template_on",""
"","","","","","","","","","","","tax","invoice","Ca106||CaQc106","l10n_ca_118300","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","Ca106||CaQc106","l10n_ca_118300","","","",""
"hst_purchase_tax_14","14% HST","14%","14% HST","purchase","14.0","percent","20","False","tax_group_hst_14","","base","invoice","","","14% TVH","14% TVH","fiscal_position_template_ns",""
"","","","","","","","","","","","tax","invoice","Ca106||CaQc106","l10n_ca_118400","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","Ca106||CaQc106","l10n_ca_118400","","","",""
"hst_purchase_tax_15","15% HST","15%","15% HST","purchase","15.0","percent","20","False","tax_group_hst_15","","base","invoice","","","15% TVH","15% TVH","fiscal_position_template_pe,fiscal_position_template_nl,fiscal_position_template_nb",""
"","","","","","","","","","","","tax","invoice","Ca106||CaQc106","l10n_ca_118500","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","Ca106||CaQc106","l10n_ca_118500","","","",""
"gstpst_purchase_tax_11","11% GST+PST SK","11%","5% GST + 6% PST SK","purchase","100.0","group","","","tax_group_fix","gst_purchase_tax_5,pst_purchase_tax_6","","","","","5% TPS + 6% TVP SK","11% TPS+TVP SK","fiscal_position_template_sk",""
"gstpst_purchase_tax_11_G_resale","11% GST+PST SK G R","11%","5% GST + 6% PST SK Goods for resale","purchase","100.0","group","","","tax_group_fix","gst_purchase_tax_5,pst_purchase_tax_6_G_resale","","","","","5% TPS + 6% TVP SK Biens destinés à la revente","11% TPS+TVP SK B R","fiscal_position_template_sk",""
"gstpst_purchase_tax_12_bc","12% GST+PST BC","12%","5% GST + 7% PST BC","purchase","100.0","group","","","tax_group_fix","gst_purchase_tax_5,pst_purchase_tax_7_bc","","","","","5% TPS + 7% TVP BC","12% TPS+TVP BC","fiscal_position_template_bc",""
"gstpst_purchase_tax_12_mb","12% GST+PST MB","12%","5% GST + 7% PST MB","purchase","100.0","group","","","tax_group_fix","gst_purchase_tax_5,pst_purchase_tax_7_mb","","","","","5% TPS + 7% TVP MB","12% TPS+TVP MB","fiscal_position_template_mb",""
"gstqst_purchase_tax_14975","14.975% GST+QST","14.975%","5% GST + 9.975% QST","purchase","100.0","group","","","tax_group_fix","gst_purchase_tax_5,qst_purchase_tax_9975","","","","","5% TPS + 9.975% TVQ","14.975% TPS+TVQ","fiscal_position_template_qc",""
"int_purchase_tax_0","0% Int","0%","0% International","purchase","0.0","percent","10","False","tax_group_fix","","base","invoice","","","0% International","0% Int","fiscal_position_template_intl",""
"","","","","","","","","","","","tax","invoice","","","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","","","","","",""
"exempt_purchase_tax_0","0% Exempt","0%","0% Exempt","purchase","0.0","percent","10","False","tax_group_fix","","base","invoice","","","0% TPS","0% TPS","",""
"","","","","","","","","","","","tax","invoice","","","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","","","","","",""
