"id","code_prefix_start","code_prefix_end","name","name@hu"
"l10n_hu_group_53","53","","Costs of other services","Egyéb szolgáltatások költségei"
"l10n_hu_group_54","54","","Wage cost","Bérköltség"
"l10n_hu_group_55","55","","Other personal payments","Egyéb személyes fizetések"
"l10n_hu_group_56","56","","Contributions","Hozzájárulások"
"l10n_hu_group_57","57","","Description of impairment","Az értékvesztés leírása"
"l10n_hu_group_58","58","","Own work capitalized value","Saját munka aktivált értéke"
"l10n_hu_group_59","59","","Non-cost transfer account","Nem költség átutalási számla"
"l10n_hu_group_6","6","","Costs, overall costs","Költségek, összköltségek"
"l10n_hu_group_61","61","","Costs of repair-maintenance plants","Javító-karbantartó üzemek költségei"
"l10n_hu_group_62","62","","Costs of establishments (units)","Az alapítás költségei (egység)"
"l10n_hu_group_63","63","","Machinery costs","A gépek költségei"
"l10n_hu_group_64-65","64","65","Overall costs of operating management","A működési menedzsment összköltsége"
"l10n_hu_group_66","66","","Overall costs of central management","A központi irányítás összköltsége"
"l10n_hu_group_67","67","","Sales and distribution costs","Értékesítési és forgalmazási költségek"
"l10n_hu_group_68","68","","Allocated other overall costs","Felosztott egyéb összköltség"
"l10n_hu_group_69","69","","Cost positions transfer of cost types","Költségpozíciók költségtípusok átvitele"
"l10n_hu_group_7","7","","Costs of activities","Tevékenységek költségei"
"l10n_hu_group_71-74","71","74","Costs of activities","Tevékenységek költségei"
"l10n_hu_group_75","75","","Costs of the service","A szolgáltatás költségei"
"l10n_hu_group_76","76","","Production costs of centers","A központok előállítási költségei"
"l10n_hu_group_77-78","77","78","Marketing costs","Marketing költségek"
"l10n_hu_group_79","79","","Transfer of costs of activities","Tevékenységek költségeinek áthárítása"
"l10n_hu_group_8","8","","Accounted costs of sales and expenses","Elszámolt értékesítési költségek és kiadások"
"l10n_hu_group_81","81","","Material expenses","Anyagi kiadások"
"l10n_hu_group_82","82","","Personnel expenses","Személyi jellegű ráfordítások"
"l10n_hu_group_83","83","","Description of impairment","Az értékvesztés leírása"
"l10n_hu_group_85","85","","Indirect costs of sale","Az értékesítés közvetett költségei"
"l10n_hu_group_86","86","","Other expenses","Más költségek"
"l10n_hu_group_87","87","","Expenditure on financial operations","Pénzügyi műveletek kiadásai"
"l10n_hu_group_89","89","","Taxes on profit","Nyereségadók"
"l10n_hu_group_9","9","","Sales revenue and revenue","Árbevétel és bevétel"
"l10n_hu_group_91-92","91","92","Turnover of domestic sales","Belföldi értékesítés forgalma"
"l10n_hu_group_93-94","93","94","Export sales revenue","Export árbevétel"
"l10n_hu_group_96","96","","Other revenues","Egyéb bevételek"
"l10n_hu_group_97","97","","Revenue from financial operations","Pénzügyi műveletekből származó bevétel"
"l10n_hu_group_0","0","","Registration accounts","Regisztrációs számlák"
