"id","code","name","account_type","reconcile","tag_ids","non_trade","description","name@th_TH","description@th_TH"
"l10n_th_account_114401","114401","WHT Receivable","asset_receivable","True","","True","Tax Closing Account: Consolidated WHT tax credits transferred from daily accounts. To be claimed against annual Corporate Income Tax (P.N.D. 50).","ภาษีหัก ณ ที่จ่ายรอเครดิต/ขอคืน","บัญชีรวบรวมเครดิตภาษีหัก ณ ที่จ่ายรายวัน เพื่อนำไปเครดิตภาษีเงินได้ประจำปี (ภ.ง.ด. 50)"
"l10n_th_account_114500","114500","Prepaid CIT (PND 51)","asset_current","True","","","Prepaid Tax: Corporate Income Tax paid mid-year (Form PND 51). Creditable against annual tax.","ภาษีเงินได้นิติบุคคลจ่ายล่วงหน้า (ภ.ง.ด. 51)","ภาษีเงินได้นิติบุคคลครึ่งปีที่ชำระแล้ว (ภ.ง.ด. 51) ใช้เครดิตภาษีประจำปีได้"
"l10n_th_account_115100","115100","Temporary Investments","asset_current","False","","","Investments held for trading or short-term gains (e.g., stocks, bonds).","เงินลงทุนชั่วคราว","เงินลงทุนที่ถือไว้เพื่อค้าหรือหากำไรระยะสั้น (เช่น หุ้น, พันธบัตร)"
"l10n_th_account_115200","115200","Biological Assets (Current)","asset_current","False","","","Living animals or plants held for sale or harvest within one accounting period.","สินทรัพย์ชีวภาพ (หมุนเวียน)","สัตว์หรือพืชที่มีชีวิตที่ถือไว้เพื่อขายหรือเก็บเกี่ยวภายในรอบบัญชีเดียว"
"l10n_th_account_121100","121100","Investments in Associates","asset_non_current","False","","","Long-term equity investments where the company has significant influence (20-50%).","เงินลงทุนในบริษัทร่วม","เงินลงทุนระยะยาวในหุ้นทุนที่บริษัทมีอิทธิพลอย่างมีนัยสำคัญ (ถือหุ้น 20-50%)"
"l10n_th_account_122100","122100","Investment Property","asset_non_current","False","","","Land or buildings held specifically to earn rentals or for capital appreciation.","อสังหาริมทรัพย์เพื่อการลงทุน","ที่ดินหรืออาคารที่ถือครองเพื่อหาประโยชน์จากค่าเช่า หรือหวังผลกำไรจากการเพิ่มขึ้นของราคา"
"l10n_th_account_123100","123100","Land","asset_fixed","False","","","Land owned for operations. Not depreciated.","ที่ดิน","ที่ดินที่ใช้ในการดำเนินงาน (ไม่มีการคิดค่าเสื่อมราคา)"
"l10n_th_account_123150","123150","Land Improvements","asset_fixed","False","","","Cost of paving, fencing, or drainage systems.","ส่วนปรับปรุงที่ดิน","ต้นทุนการปรับปรุงพื้นที่ เช่น การลาดยาง ทำรั้ว หรือระบบระบายน้ำ"
"l10n_th_account_123151","123151","Accum. Depr. - Land Improvements","asset_fixed","False","","","Accumulated depreciation for land improvements.","ค่าเสื่อมราคาสะสม - ส่วนปรับปรุงที่ดิน","ค่าเสื่อมราคาสะสมสำหรับส่วนปรับปรุงที่ดิน"
"l10n_th_account_123200","123200","Buildings (Structure)","asset_fixed","False","","","Cost of main building structures owned by the company.","อาคาร (โครงสร้าง)","ราคาทุนของโครงสร้างตัวอาคารหลักที่บริษัทเป็นเจ้าของ"
"l10n_th_account_123201","123201","Accum. Depr. - Buildings","asset_fixed","False","","","Accumulated depreciation for buildings.","ค่าเสื่อมราคาสะสม - อาคาร","ค่าเสื่อมราคาสะสมสำหรับอาคาร"
"l10n_th_account_123210","123210","Building Installations","asset_fixed","False","","","Integrated systems like HVAC, solar panels, or elevators with shorter lives.","งานระบบประกอบอาคาร","ระบบที่ติดตั้งในอาคาร เช่น HVAC, แผงโซลาร์เซลล์ หรือลิฟต์ (อายุการใช้งานสั้นกว่าตัวอาคาร)"
"l10n_th_account_123211","123211","Accum. Depr. - Installations","asset_fixed","False","","","Accumulated depreciation for building installations.","ค่าเสื่อมราคาสะสม - งานระบบ","ค่าเสื่อมราคาสะสมสำหรับงานระบบประกอบอาคาร"
"l10n_th_account_123220","123220","Construction in Progress","asset_fixed","False","","","Costs accumulated for assets currently being built. Not depreciated until ready for use.","งานระหว่างก่อสร้าง","ต้นทุนสะสมสำหรับสินทรัพย์ที่กำลังก่อสร้าง (ยังไม่คิดค่าเสื่อมจนกว่าจะพร้อมใช้งาน)"
"l10n_th_account_123230","123230","Machinery & Tools","asset_fixed","False","","","Machinery and equipment used in production or service delivery.","เครื่องจักรและเครื่องมือ","เครื่องจักรและอุปกรณ์ที่ใช้ในการผลิตหรือให้บริการ"
"l10n_th_account_123231","123231","Accum. Depr. - Machinery","asset_fixed","False","","","Accumulated depreciation for machinery.","ค่าเสื่อมราคาสะสม - เครื่องจักร","ค่าเสื่อมราคาสะสมสำหรับเครื่องจักร"
"l10n_th_account_123240","123240","Major Spare Parts (Stand-by)","asset_fixed","False","","","High-value spares expected to be used for >1 year (TFRS NPAEs).","อะไหล่หลัก (สำรองไว้ใช้งาน)","อะไหล่มูลค่าสูงที่คาดว่าจะใช้งานเกิน 1 ปี (ตามมาตรฐาน TFRS for NPAEs)"
"l10n_th_account_123241","123241","Accum. Depr. - Major Spares","asset_fixed","False","","","Accumulated depreciation for major spare parts.","ค่าเสื่อมราคาสะสม - อะไหล่หลัก","ค่าเสื่อมราคาสะสมสำหรับอะไหล่หลัก"
"l10n_th_account_123250","123250","Vehicles","asset_fixed","False","","","Cost of company cars, trucks, or motorcycles.","ยานพาหนะ","ราคาทุนของรถยนต์ รถบรรทุก หรือรถจักรยานยนต์ของบริษัท"
"l10n_th_account_123251","123251","Accum. Depr. - Vehicles","asset_fixed","False","","","Accumulated depreciation for vehicles.","ค่าเสื่อมราคาสะสม - ยานพาหนะ","ค่าเสื่อมราคาสะสมสำหรับยานพาหนะ"
"l10n_th_account_123260","123260","Vehicle Accessories","asset_fixed","False","","","Modifications or add-ons to vehicles.","อุปกรณ์ตกแต่งยานพาหนะ","การดัดแปลงหรืออุปกรณ์เสริมที่ติดตั้งเพิ่มในยานพาหนะ"
"l10n_th_account_123261","123261","Accum. Depr. - Vehicle Acc.","asset_fixed","False","","","Accumulated depreciation for vehicle accessories.","ค่าเสื่อมราคาสะสม - อุปกรณ์รถยนต์","ค่าเสื่อมราคาสะสมสำหรับอุปกรณ์ตกแต่งยานพาหนะ"
"l10n_th_account_123270","123270","Furniture & Fixtures","asset_fixed","False","","","Office furniture, desks, chairs, and fixtures.","เครื่องตกแต่งและติดตั้ง","เฟอร์นิเจอร์สำนักงาน โต๊ะ เก้าอี้ และเครื่องตกแต่งต่างๆ"
"l10n_th_account_123271","123271","Accum. Depr. - Furniture","asset_fixed","False","","","Accumulated depreciation for furniture.","ค่าเสื่อมราคาสะสม - เครื่องตกแต่ง","ค่าเสื่อมราคาสะสมสำหรับเครื่องตกแต่งและติดตั้ง"
"l10n_th_account_123280","123280","Technology & Computers","asset_fixed","False","","","Laptops, servers, and IT hardware.","คอมพิวเตอร์และอุปกรณ์ไอที","แล็ปท็อป เซิร์ฟเวอร์ และฮาร์ดแวร์ไอทีต่างๆ"
"l10n_th_account_123281","123281","Accum. Depr. - Technology","asset_fixed","False","","","Accumulated depreciation for technology.","ค่าเสื่อมราคาสะสม - คอมพิวเตอร์","ค่าเสื่อมราคาสะสมสำหรับคอมพิวเตอร์และอุปกรณ์ไอที"
"l10n_th_account_123290","123290","Other Fixed Assets","asset_fixed","False","","","Miscellaneous fixed assets not categorized above.","สินทรัพย์ถาวรอื่น","สินทรัพย์ถาวรเบ็ดเตล็ดที่ไม่ได้จัดเข้าหมวดหมู่ข้างต้น"
"l10n_th_account_123291","123291","Accum. Depr. - Other Assets","asset_fixed","False","","","Accumulated depreciation for other assets.","ค่าเสื่อมราคาสะสม - สินทรัพย์อื่น","ค่าเสื่อมราคาสะสมสำหรับสินทรัพย์ถาวรอื่น"
"l10n_th_account_124100","124100","Computer Software","asset_non_current","False","","","Intangible assets for purchased software licenses.","โปรแกรมคอมพิวเตอร์ (ซอฟต์แวร์)","สินทรัพย์ไม่มีตัวตนสำหรับค่าลิขสิทธิ์ซอฟต์แวร์ที่ซื้อมา"
"l10n_th_account_124101","124101","Accum. Amortization - Software","asset_non_current","False","","","Accumulated amortization for software.","ค่าตัดจำหน่ายสะสม - ซอฟต์แวร์","ค่าตัดจำหน่ายสะสมสำหรับซอฟต์แวร์"
"l10n_th_account_124200","124200","Goodwill","asset_non_current","False","","","Excess payment over net assets acquired in a business combination.","ค่าความนิยม","ส่วนเกินของเงินที่จ่ายซื้อกิจการที่สูงกว่ามูลค่าสินทรัพย์สุทธิที่ได้มา"
"l10n_th_account_124201","124201","Accum. Amortization - Goodwill","asset_non_current","False","","","Accumulated amortization for goodwill.","ค่าตัดจำหน่ายสะสม - ค่าความนิยม","ค่าตัดจำหน่ายสะสมสำหรับค่าความนิยม"
"l10n_th_account_211100","211100","Bank Overdrafts","liability_current","True","","","Negative bank balance repayable on demand.","เงินเบิกเกินบัญชีธนาคาร (O/D)","ยอดคงเหลือติดลบในธนาคารที่ต้องชำระคืนเมื่อทวงถาม"
"l10n_th_account_211200","211200","Short-term Loans","liability_current","True","","","Bank loans or borrowings due within one year.","เงินกู้ยืมระยะสั้น","เงินกู้ยืมธนาคารหรือหนี้สินที่มีกำหนดชำระคืนภายใน 1 ปี"
"l10n_th_account_212100","212100","Trade Payables","liability_payable","True","","","Amounts owed to suppliers for goods or services purchased on credit.","เจ้าหนี้การค้า","ยอดเงินที่ค้างชำระซัพพลายเออร์สำหรับสินค้าหรือบริการที่ซื้อเชื่อ (เครดิต)"
"l10n_th_account_212200","212200","Other Payables","liability_current","True","","","Non-trade obligations (e.g., payables to directors).","เจ้าหนี้อื่น","หนี้สินที่ไม่ใช่การค้า (เช่น เงินค้างจ่ายกรรมการ)"
"l10n_th_account_212300","212300","Accrued Expenses","liability_current","True","","","Estimated liabilities for services received but not yet billed.","ค่าใช้จ่ายค้างจ่าย","หนี้สินประมาณการสำหรับบริการที่ได้รับแล้วแต่ยังไม่ได้วางบิล"
"l10n_th_account_212400","212400","Advances from Customers","liability_current","True","","","Deposit/Downpayment received from customers. Reconcile against the final Customer Invoice.","เงินรับล่วงหน้าจากลูกค้า","เงินมัดจำหรือเงินดาวน์ที่ได้รับจากลูกค้า (กระทบยอดเมื่อออกใบแจ้งหนี้จริง)"
"l10n_th_account_213100","213100","Undue Output VAT","liability_current","True","","","Suspense VAT: Output tax on service invoices issued but not yet paid.","ภาษีขายยังไม่ถึงกำหนด","ภาษีพัก: ภาษีขายจากการวางบิลค่าบริการที่ยังไม่ได้รับชำระเงิน"
"l10n_th_account_213200","213200","Output VAT","liability_current","True","","","Net VAT liability (Output VAT - Input VAT) to be remitted to Revenue Dept (PP.30).","ภาษีขาย","ภาระภาษีมูลค่าเพิ่มสุทธิ (ภาษีขาย - ภาษีซื้อ) ที่ต้องนำส่งกรมสรรพากร (ภ.พ. 30)"
"l10n_th_account_213300","213300","Tax Withheld - PND 1","liability_current","True","","","Tax deducted from Employee Salaries. Remit monthly via form PND 1.","ภาษีหัก ณ ที่จ่าย - ภ.ง.ด. 1","ภาษีที่หักจากเงินเดือนพนักงาน นำส่งรายเดือนด้วยแบบ ภ.ง.ด. 1"
"l10n_th_account_213301","213301","Tax Withheld - PND 3","liability_current","True","","","Tax deducted from Individual Suppliers. Remit monthly via form PND 3.","ภาษีหัก ณ ที่จ่าย - ภ.ง.ด. 3","ภาษีที่หักจากบุคคลธรรมดา นำส่งรายเดือนด้วยแบบ ภ.ง.ด. 3"
"l10n_th_account_213302","213302","Tax Withheld - PND 53","liability_current","True","","","Tax deducted from Juristic (Company) Suppliers. Remit monthly via form PND 53.","ภาษีหัก ณ ที่จ่าย - ภ.ง.ด. 53","ภาษีที่หักจากนิติบุคคล นำส่งรายเดือนด้วยแบบ ภ.ง.ด. 53"
"l10n_th_account_213303","213303","Tax Withheld - PND 54","liability_current","True","","","Tax deducted from payments sent Overseas. Remit via form PND 54.","ภาษีหัก ณ ที่จ่าย - ภ.ง.ด. 54","ภาษีที่หักจากการจ่ายเงินไปต่างประเทศ นำส่งด้วยแบบ ภ.ง.ด. 54"
"l10n_th_account_213400","213400","VAT Payable","liability_payable","True","","","VAT Payable: Tax collected from sales. To be remitted to Revenue Dept (PP.30).","ภาษีมูลค่าเพิ่มค้างจ่าย","ภาษีมูลค่าเพิ่มที่เก็บจากการขาย เตรียมนำส่งกรมสรรพากร (ภ.พ. 30)"
"l10n_th_account_213500","213500","WHT Payable","liability_payable","True","","True","Net WHT liability moved here from PND specific accounts at month-end for lump-sum payment to Revenue Dept.","ภาษีหัก ณ ที่จ่ายค้างจ่าย","ยอดรวมภาษีหัก ณ ที่จ่ายที่โอนมาจากบัญชีย่อย เพื่อเตรียมจ่ายสรรพากร"
"l10n_th_account_213600","213600","Corporate Income Tax Payable","liability_current","True","","","Accrued corporate income tax liability for the year.","ภาษีเงินได้นิติบุคคลค้างจ่าย","ภาระภาษีเงินได้นิติบุคคลค้างจ่ายสำหรับปี"
"l10n_th_account_216100","216100","Provisions for Employee Benefits","liability_current","True","","","Short-term liabilities for employee benefits like severance.","ประมาณการหนี้สินผลประโยชน์พนักงาน","หนี้สินระยะสั้นสำหรับผลประโยชน์พนักงาน เช่น ค่าชดเชย"
"l10n_th_account_221100","221100","Long-Term Loans","liability_non_current","False","","","Bank loans or borrowings due after more than one year.","เงินกู้ยืมระยะยาว","เงินกู้ยืมธนาคารที่มีกำหนดชำระคืนเกินกว่า 1 ปี"
"l10n_th_account_222100","222100","Employee Benefit Obligations","liability_non_current","False","","","Long-term post-employment benefit obligations.","ภาระผูกพันผลประโยชน์พนักงาน","ภาระผูกพันผลประโยชน์พนักงานหลังออกจากงาน (ระยะยาว)"
"l10n_th_account_223100","223100","Deferred Income (Gov Grants)","liability_non_current","False","","","Grant income received but not yet recognized as revenue.","รายได้รับล่วงหน้า (เงินอุดหนุนรัฐ)","รายได้จากเงินอุดหนุนที่ได้รับแล้ว แต่ยังไม่ได้รับรู้เป็นรายได้"
"l10n_th_account_311100","311100","Share Capital","equity","False","","","Par value of shares issued and paid-up.","ทุนจดทะเบียน / ทุนเรือนหุ้น","มูลค่าพาร์ของหุ้นที่ออกและชำระแล้ว"
"l10n_th_account_321100","321100","Legal Reserve","equity","False","","","Profits set aside by law (10% of capital), cannot be distributed.","สำรองตามกฎหมาย","กำไรที่กันไว้ตามกฎหมาย (10% ของทุน) ไม่สามารถนำมาปันผลได้"
"l10n_th_account_321200","321200","Retained Earnings","equity","False","","","Accumulated profits available for dividend distribution.","กำไรสะสม","กำไรสะสมที่สามารถนำมาจ่ายเงินปันผลได้"
"l10n_th_account_411100","411100","Sales Revenue","income","False","","","Revenue from sale of goods (recognized upon delivery/transfer of risk).","รายได้จากการขาย","รายได้จากการขายสินค้า (รับรู้รายได้เมื่อส่งมอบ/โอนความเสี่ยง)"
"l10n_th_account_411200","411200","Service Revenue","income","False","","","Revenue from services (recognized by stage of completion).","รายได้ค่าบริการ","รายได้จากการให้บริการ (รับรู้รายได้ตามขั้นความสำเร็จของงาน)"
"l10n_th_account_411300","411300","Sales Returns and Allowances","income","False","","","Contra-revenue account for customer refunds or credits.","รับคืนสินค้าและส่วนลดจ่าย","บัญชีปรับลดรายได้จากการคืนเงินหรือรับคืนสินค้าจากลูกค้า"
"l10n_th_account_411400","411400","Sales Discounts","income","False","","","Contra-revenue account for discounts given.","ส่วนลดจ่าย (ส่วนลดเงินสด)","บัญชีปรับลดรายได้จากส่วนลดที่ให้ลูกค้า"
"l10n_th_account_421100","421100","Interest Income","income_other","False","","","Income earned from bank deposits or loans provided.","ดอกเบี้ยรับ","รายได้ดอกเบี้ยจากเงินฝากธนาคารหรือเงินให้กู้ยืม"
"l10n_th_account_421200","421200","Dividend Income","income_other","False","","","Income received from share investments.","เงินปันผลรับ","รายได้เงินปันผลจากการลงทุนในหุ้น"
"l10n_th_account_421300","421300","Gain on Exchange Rate","income_other","False","","","Profit from currency fluctuations on foreign transactions.","กำไรจากอัตราแลกเปลี่ยน","กำไรจากความผันผวนของค่าเงินในธุรกรรมต่างประเทศ"
"l10n_th_account_421400","421400","Government Grant Income","income_other","False","","","Income recognized from government subsidies/grants.","รายได้เงินอุดหนุนจากรัฐบาล","รายได้ที่รับรู้จากเงินอุดหนุนของรัฐบาล"
"l10n_th_account_421500","421500","Purchase Discounts","income_other","False","","","Early Pay Gain: Discounts received from suppliers for early payment.","ส่วนลดรับ","กำไรจากการจ่ายชำระเงินเร็ว: ส่วนลดที่ได้รับจากซัพพลายเออร์"
"l10n_th_account_421600","421600","Cash Difference Income","income_other","False","","","Cash Diff Income: Cash overages found during reconciliation.","รายได้จากเงินสดเกินบัญชี","รายได้จากเงินสดเกินที่พบระหว่างการกระทบยอด"
"l10n_th_account_511100","511100","Cost of Goods Sold","expense_direct_cost","False","","","Direct cost of inventory sold during the period.","ต้นทุนขาย","ต้นทุนทางตรงของสินค้าที่ขายไปในระหว่างงวด"
"l10n_th_account_511200","511200","Cost of Services","expense_direct_cost","False","","","Direct costs incurred to provide services (e.g., labor, materials).","ต้นทุนบริการ","ต้นทุนทางตรงที่เกิดขึ้นเพื่อให้บริการ (เช่น ค่าแรง, ค่าวัสดุ)"
"l10n_th_account_511300","511300","Inventory Write-down","expense_direct_cost","False","","","Loss from reducing inventory value to Net Realizable Value.","ขาดทุนจากการลดมูลค่าสินค้า","ผลขาดทุนจากการปรับลดมูลค่าสินค้าคงเหลือให้เท่ากับมูลค่าสุทธิที่จะได้รับ"
"l10n_th_account_511400","511400","Import fees","expense_direct_cost","False","","","Customs duties, freight, and clearance costs for imported goods.","อากรและค่าธรรมเนียมนำเข้","อากรขาเข้า ค่าระวาง และค่าดำเนินพิธีการศุลกากรสำหรับสินค้านำเข้า"
"l10n_th_account_511500","511500","Raw materials Used","expense_direct_cost","False","","","Cost of raw materials consumed in the production process.","วัตถุดิบใช้ไป","ต้นทุนวัตถุดิบที่ใช้ไปในกระบวนการผลิต"
"l10n_th_account_511600","511600","General subcontracting","expense_direct_cost","False","","","Fees paid to subcontractors for direct project work.","ค่าจ้างทำของ / ค่าจ้างเหมารายย่อย","ค่าธรรมเนียมที่จ่ายให้ผู้รับเหมาช่วงสำหรับงานโครงการโดยตรง"
"l10n_th_account_511700","511700","Freight & Transportation","expense_direct_cost","False","","","Direct cost for transporting raw materials or goods to the warehouse (Freight In).","ค่าขนส่งขาเข้า","ต้นทุนทางตรงในการขนส่งวัตถุดิบหรือสินค้าเข้ามายังคลังสินค้า"
"l10n_th_account_611100","611100","Employees compensation","expense","False","","","Salaries, wages, overtime, and bonuses for staff.","เงินเดือนและค่าตอบแทนพนักงาน","เงินเดือน ค่าจ้าง ค่าล่วงเวลา และโบนัสสำหรับพนักงาน"
"l10n_th_account_611200","611200","Commissions & Brokerage Fees","expense","False","","","Fees paid to agents, brokers, or intermediaries for facilitating sales or business deals.","ค่านายหน้าและค่าคอมมิชชั่น","ค่าธรรมเนียมที่จ่ายให้ตัวแทน นายหน้า หรือคนกลางในการขาย"
"l10n_th_account_611300","611300","Social Security","expense","False","","","Employer's contribution to the Social Security Fund.","เงินสมทบประกันสังคม","เงินสมทบกองทุนประกันสังคมส่วนของนายจ้าง"
"l10n_th_account_611400","611400","Other personnel costs","expense","False","","","Staff benefits, vouchers, and other non-salary costs.","ค่าใช้จ่ายเกี่ยวกับพนักงานอื่น","สวัสดิการพนักงาน คูปอง และค่าใช้จ่ายพนักงานอื่นๆ ที่ไม่ใช่เงินเดือน"
"l10n_th_account_611500","611500","Training and documentation","expense","False","","","Expenses for staff training courses and educational materials.","ค่าอบรมและสัมมนา","ค่าใช้จ่ายสำหรับหลักสูตรฝึกอบรมพนักงานและเอกสารประกอบ"
"l10n_th_account_611600","611600","Royalties & License Fees","expense","False","","","Payments for the use of intellectual property, copyrights, franchises, patents, or specialized licensing rights.","ค่าสิทธิและค่าใบอนุญาต","การจ่ายเงินเพื่อใช้ทรัพย์สินทางปัญญา ลิขสิทธิ์ แฟรนไชส์ หรือสิทธิบัตร"
"l10n_th_account_612100","612100","Land Improvements (Depr)","expense_depreciation","False","","","Periodic depreciation charge for land improvements.","ค่าเสื่อมราคา - ส่วนปรับปรุงที่ดิน","ค่าใช้จ่ายค่าเสื่อมราคาตามงวดบัญชีสำหรับส่วนปรับปรุงที่ดิน"
"l10n_th_account_612200","612200","Buildings (Depr)","expense_depreciation","False","","","Periodic depreciation charge for building structures.","ค่าเสื่อมราคา - อาคาร","ค่าใช้จ่ายค่าเสื่อมราคาตามงวดบัญชีสำหรับอาคาร"
"l10n_th_account_612300","612300","Building Installations (Depr)","expense_depreciation","False","","","Periodic depreciation charge for building systems.","ค่าเสื่อมราคา - งานระบบ","ค่าใช้จ่ายค่าเสื่อมราคาตามงวดบัญชีสำหรับงานระบบอาคาร"
"l10n_th_account_612400","612400","Machinery & Tools (Depr)","expense_depreciation","False","","","Periodic depreciation charge for machinery and tools.","ค่าเสื่อมราคา - เครื่องจักร","ค่าใช้จ่ายค่าเสื่อมราคาตามงวดบัญชีสำหรับเครื่องจักรและเครื่องมือ"
"l10n_th_account_612500","612500","Major Spare Parts (Depr)","expense_depreciation","False","","","Periodic depreciation charge for capitalized spare parts.","ค่าเสื่อมราคา - อะไหล่หลัก","ค่าใช้จ่ายค่าเสื่อมราคาตามงวดบัญชีสำหรับอะไหล่หลัก (Capitalized)"
"l10n_th_account_612600","612600","Vehicles (Depr)","expense_depreciation","False","","","Periodic depreciation charge for vehicles.","ค่าเสื่อมราคา - ยานพาหนะ","ค่าใช้จ่ายค่าเสื่อมราคาตามงวดบัญชีสำหรับยานพาหนะ"
"l10n_th_account_612650","612650","Vehicle Accessories (Depr)","expense_depreciation","False","","","Periodic depreciation charge for vehicle add-ons.","ค่าเสื่อมราคา - อุปกรณ์รถยนต์","ค่าใช้จ่ายค่าเสื่อมราคาตามงวดบัญชีสำหรับอุปกรณ์ตกแต่งรถยนต์"
"l10n_th_account_612700","612700","Furniture & Fixtures (Depr)","expense_depreciation","False","","","Periodic depreciation charge for furniture.","ค่าเสื่อมราคา - เครื่องตกแต่ง","ค่าใช้จ่ายค่าเสื่อมราคาตามงวดบัญชีสำหรับเฟอร์นิเจอร์"
"l10n_th_account_612800","612800","Technology & Computers (Depr)","expense_depreciation","False","","","Periodic depreciation charge for IT equipment.","ค่าเสื่อมราคา - คอมพิวเตอร์","ค่าใช้จ่ายค่าเสื่อมราคาตามงวดบัญชีสำหรับอุปกรณ์ไอที"
