"id","name","description","invoice_label",type_tax_use,l10n_in_tds_tax_type,"amount_type","amount","tax_scope","active","tax_group_id","is_base_affected","include_base_amount","children_tax_ids","python_compute","sequence","l10n_in_reverse_charge","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids"
"tds_sale_5_us_194g","5% 194G S","TDS @5% u/s 194G","TDS @5% u/s 194G","none","sale","percent","-5.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_20_us_194g","20% 194G S","TDS @20% u/s 194G","TDS @20% u/s 194G","none","sale","percent","-20.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_2_us_194h","2% 194H S","TDS @2% u/s 194H","TDS @2% u/s 194H","none","sale","percent","-2.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_5_us_194h","5% 194H S","TDS @5% u/s 194H","TDS @5% u/s 194H","none","sale","percent","-5.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_20_us_194h","20% 194H S","TDS @20% u/s 194H","TDS @20% u/s 194H","none","sale","percent","-20.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_2_us_194i","2% 194I S","TDS @2% u/s 194I","TDS @2% u/s 194I","none","sale","percent","-2.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_10_us_194i","10% 194I S","TDS @10% u/s 194I","TDS @10% u/s 194I","none","sale","percent","-10.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_20_us_194i","20% 194I S","TDS @20% u/s 194I","TDS @20% u/s 194I","none","sale","percent","-20.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_1_us_194ia","1% 194IA S","TDS @1% u/s 194IA","TDS @1% u/s 194IA","none","sale","percent","-1.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_20_us_194ia","20% 194IA S","TDS @20% u/s 194IA","TDS @20% u/s 194IA","none","sale","percent","-20.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_2_us_194ib","2% 194IB S","TDS @2% u/s 194IB","TDS @2% u/s 194IB","none","sale","percent","-2.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_5_us_194ib","5% 194IB S","TDS @5% u/s 194IB","TDS @5% u/s 194IB","none","sale","percent","-5.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_20_us_194ib","20% 194IB S","TDS @20% u/s 194IB","TDS @20% u/s 194IB","none","sale","percent","-20.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_10_us_194ic","10% 194IC S","TDS @10% u/s 194IC","TDS @10% u/s 194IC","none","sale","percent","-10.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_20_us_194ic","20% 194IC S","TDS @20% u/s 194IC","TDS @20% u/s 194IC","none","sale","percent","-20.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_2_us_194j","2% 194J S","TDS @2% u/s 194J","TDS @2% u/s 194J","none","sale","percent","-2.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_10_us_194j","10% 194J S","TDS @10% u/s 194J","TDS @10% u/s 194J","none","sale","percent","-10.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_20_us_194j","20% 194J S","TDS @20% u/s 194J","TDS @20% u/s 194J","none","sale","percent","-20.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_10_us_194k","10% 194K S","TDS @10% u/s 194K","TDS @10% u/s 194K","none","sale","percent","-10.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_20_us_194k","20% 194K S","TDS @20% u/s 194K","TDS @20% u/s 194K","none","sale","percent","-20.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_10_us_194la","10% 194LA S","TDS @10% u/s 194LA","TDS @10% u/s 194LA","none","sale","percent","-10.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_20_us_194la","20% 194LA S","TDS @20% u/s 194LA","TDS @20% u/s 194LA","none","sale","percent","-20.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_10_us_194lba","10% 194LBA(1) S","TDS @10% u/s 194LBA(1)","TDS @10% u/s 194LBA(1)","none","sale","percent","-10.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_20_us_194lba","20% 194LBA(1) S","TDS @20% u/s 194LBA(1)","TDS @20% u/s 194LBA(1)","none","sale","percent","-20.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_10_us_194lbb","10% 194LBB S","TDS @10% u/s 194LBB","TDS @10% u/s 194LBB","none","sale","percent","-10.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_20_us_194lbb","20% 194LBB S","TDS @20% u/s 194LBB","TDS @20% u/s 194LBB","none","sale","percent","-20.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_5_us_194lb","5% 194LB S","TDS @5% u/s 194LB","TDS @5% u/s 194LB","none","sale","percent","-5.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_20_us_194lb","20% 194LB S","TDS @20% u/s 194LB","TDS @20% u/s 194LB","none","sale","percent","-20.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_10_us_194lbc","10% 194LBC S","TDS @10% u/s 194LBC","TDS @10% u/s 194LBC","none","sale","percent","-10.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_25_us_194lbc","25% 194LBC S","TDS @25% u/s 194LBC","TDS @25% u/s 194LBC","none","sale","percent","-25.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_30_us_194lbc","30% 194LBC S","TDS @30% u/s 194LBC","TDS @30% u/s 194LBC","none","sale","percent","-30.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_2_us_194m","2% 194M S","TDS @2% u/s 194M","TDS @2% u/s 194M","none","sale","percent","-2.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_5_us_194m","5% 194M S","TDS @5% u/s 194M","TDS @5% u/s 194M","none","sale","percent","-5.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_20_us_194m","20% 194M S","TDS @20% u/s 194M","TDS @20% u/s 194M","none","sale","percent","-20.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_2_us_194n","2% 194N S","TDS @2% u/s 194N","TDS @2% u/s 194N","none","sale","percent","-2.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_5_us_194n","5% 194N S","TDS @5% u/s 194N","TDS @5% u/s 194N","none","sale","percent","-5.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_20_us_194n","20% 194N S","TDS @20% u/s 194N","TDS @20% u/s 194N","none","sale","percent","-20.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_01_us_194o","0.1% 194O S","TDS @0.1% u/s 194O","TDS @0.1% u/s 194O","none","sale","percent","-0.1","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_1_us_194o","1% 194O S","TDS @1% u/s 194O","TDS @1% u/s 194O","none","sale","percent","-1.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_20_us_194o","20% 194O S","TDS @20% u/s 194O","TDS @20% u/s 194O","none","sale","percent","-20.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_01_us_194q","0.1% 194Q S","TDS @0.1% u/s 194Q","TDS @0.1% u/s 194Q","none","sale","percent","-0.1","consu","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_10_4_us_195","10.4% 195 S","TDS @10.4% u/s 195","TDS @10.4% u/s 195","none","sale","percent","-10.4","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_15_6_us_195","15.6% 195 S","TDS @15.6% u/s 195","TDS @15.6% u/s 195","none","sale","percent","-15.6","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_20_8_us_195","20.8% 195 S","TDS @20.8% u/s 195","TDS @20.8% u/s 195","none","sale","percent","-20.8","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_31_2_us_195","31.2% 195 S","TDS @31.2% u/s 195","TDS @31.2% u/s 195","none","sale","percent","-31.2","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_10_us_192a","10% 192A","TDS @10% u/s 192A","TDS @10% u/s 192A","none","purchase","percent","-10.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p11244","-192A"
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p11244","+192A"
"tds_20_us_192a","20% 192A","TDS @20% u/s 192A","TDS @20% u/s 192A","none","purchase","percent","-20.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p11244","-192A"
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p11244","+192A"
"tds_10_us_193","10% 193","TDS @10% u/s 193","TDS @10% u/s 193","none","purchase","percent","-10.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p11244","-193"
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p11244","+193"
"tds_20_us_193","20% 193","TDS @20% u/s 193","TDS @20% u/s 193","none","purchase","percent","-20.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p11244","-193"
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p11244","+193"
"tds_10_us_194","10% 194","TDS @10% u/s 194","TDS @10% u/s 194","none","purchase","percent","-10.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p11244","-194"
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p11244","+194"
"tds_20_us_194","20% 194","TDS @20% u/s 194","TDS @20% u/s 194","none","purchase","percent","-20.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p11244","-194"
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p11244","+194"
"tds_10_us_194a","10% 194A","TDS @10% u/s 194A","TDS @10% u/s 194A","none","purchase","percent","-10.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p11244","-194A"
"","","","","","","","","","","","","","","","","","100","base","refund","",""
