id,code,name,account_type,reconcile,chart_template_id:id
lu_2011_account_10627,10627,Received child benefit,equity,FALSE,lu_2011_chart_1
lu_2011_account_106281,106281,Income tax,equity,FALSE,lu_2011_chart_1
lu_2011_account_106284,106284,Municipal business tax (MBT),equity,FALSE,lu_2011_chart_1
lu_2011_account_106288,106288,Other tax refunds,equity,FALSE,lu_2011_chart_1
lu_2011_account_10629,10629,Business share in private expenses,equity,FALSE,lu_2011_chart_1
lu_2011_account_111,111,Share premium,equity,FALSE,lu_2011_chart_1
lu_2011_account_112,112,Merger premium,equity,FALSE,lu_2011_chart_1
lu_2011_account_113,113,Contribution premium,equity,FALSE,lu_2011_chart_1
lu_2011_account_114,114,Premiums on conversion of bonds into shares,equity,FALSE,lu_2011_chart_1
lu_2011_account_115,115,Capital contribution without issue of shares,equity,FALSE,lu_2011_chart_1
lu_2011_account_122,122,Reserves in application of the equity method,equity,FALSE,lu_2011_chart_1
lu_2011_account_123,123,Temporarily not taxable currency translation adjustments,equity,FALSE,lu_2011_chart_1
lu_2011_account_128,128,Other revaluation reserves,equity,FALSE,lu_2011_chart_1
lu_2011_account_131,131,Legal reserve,equity,FALSE,lu_2011_chart_1
lu_2011_account_132,132,Reserves for own shares or own corporate units,equity,FALSE,lu_2011_chart_1
lu_2011_account_133,133,Reserves provided for by the articles of association,equity,FALSE,lu_2011_chart_1
lu_2011_account_1381,1381,Other reserves available for distribution,equity,FALSE,lu_2011_chart_1
lu_2020_account_13821,13821,Reserve for net wealth tax (NWT),equity,FALSE,lu_2011_chart_1
lu_2020_account_13822,13822,Reserves in application of fair value,equity,FALSE,lu_2011_chart_1
lu_2020_account_138231,138231,Temporarily not taxable capital gains to reinvest,equity,FALSE,lu_2011_chart_1
lu_2020_account_138232,138232,Temporarily not taxable capital gains reinvested,equity,FALSE,lu_2011_chart_1
lu_2020_account_13828,13828,Reserves not available for distribution not mentioned above,equity,FALSE,lu_2011_chart_1
lu_2020_account_1411,1411,Results brought forward in the process of assignment,equity,FALSE,lu_2011_chart_1
lu_2020_account_1412,1412,Results brought forward (assigned),equity,FALSE,lu_2011_chart_1
lu_2011_account_142,142,Result for the financial year,equity_unaffected,FALSE,lu_2011_chart_1
lu_2011_account_15,15,Interim dividends,equity,FALSE,lu_2011_chart_1
lu_2020_account_1611,1611,Development costs,equity,FALSE,lu_2011_chart_1
lu_2020_account_16121,16121,Acquired against payment (except Goodwill),equity,FALSE,lu_2011_chart_1
lu_2020_account_16122,16122,Created by the undertaking itself,equity,FALSE,lu_2011_chart_1
lu_2020_account_1613,1613,Goodwill acquired for consideration,equity,FALSE,lu_2011_chart_1
lu_2020_account_1621,1621,"Subsidies on land, fitting-outs and buildings",equity,FALSE,lu_2011_chart_1
lu_2020_account_1622,1622,Subsidies on plant and machinery,equity,FALSE,lu_2011_chart_1
lu_2020_account_1623,1623,"Subsidies on other fixtures, fittings, tools and equipment (including rolling stock)",equity,FALSE,lu_2011_chart_1
lu_2011_account_168,168,Other capital investment subsidies,equity,FALSE,lu_2011_chart_1
lu_2011_account_181,181,Provisions for pensions and similar obligations,liability_non_current,FALSE,lu_2011_chart_1
lu_2020_account_182,182,Provisions for taxation,liability_non_current,FALSE,lu_2011_chart_1
lu_2011_account_183,183,Deferred tax provisions,liability_non_current,FALSE,lu_2011_chart_1
lu_2011_account_1881,1881,Operating provisions,liability_non_current,FALSE,lu_2011_chart_1
lu_2011_account_1882,1882,Financial provisions,liability_non_current,FALSE,lu_2011_chart_1
lu_2020_account_1921,1921,Due and payable within one year,liability_current,FALSE,lu_2011_chart_1
lu_2020_account_1922,1922,Due and payable after more than one year,liability_non_current,FALSE,lu_2011_chart_1
lu_2020_account_1931,1931,Due and payable within one year,liability_current,FALSE,lu_2011_chart_1
lu_2020_account_1932,1932,Due and payable after more than one year,liability_non_current,FALSE,lu_2011_chart_1
lu_2020_account_1941,1941,Due and payable within one year,liability_current,FALSE,lu_2011_chart_1
lu_2020_account_1942,1942,Due and payable after more than one year,liability_non_current,FALSE,lu_2011_chart_1
lu_2011_account_201,201,Set-up and start-up costs,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_203,203,"Expenses for increases in capital and for various operations (merger, demerger, change of legal form)",asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_204,204,Loan issuances expenses,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_208,208,Other similar expenses,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_211,211,Development costs,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_21211,21211,Concessions,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_21212,21212,Patents,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_21213,21213,Software licences,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_21214,21214,Trademarks and franchises,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_212151,212151,Copyrights and reproduction rights,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_212152,212152,Greenhouse gas and similar emission quotas,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_212158,212158,Other similar rights and assets acquired for consideration,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_21221,21221,Concessions,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_21222,21222,Patents,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_21223,21223,Software licences,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_21224,21224,Trademarks and franchises,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_212251,212251,Copyrights and reproduction rights,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_212258,212258,Other similar rights and assets created by the undertaking itself,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_213,213,Goodwill acquired for consideration,asset_fixed,FALSE,lu_2011_chart_1
lu_2020_account_214,214,Down payments and intangible fixed assets under development,asset_fixed,FALSE,lu_2011_chart_1
lu_2020_account_221111,221111,Developed land,asset_fixed,FALSE,lu_2011_chart_1
lu_2020_account_221112,221112,Property rights and similar,asset_fixed,FALSE,lu_2011_chart_1
lu_2020_account_221118,221118,Other land,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_22112,22112,Land in foreign countries,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_22121,22121,Fixtures and fitting-outs of land in Luxembourg,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_22122,22122,Fixtures and fitting-outs of land in foreign countries,asset_fixed,FALSE,lu_2011_chart_1
lu_2020_account_221311,221311,Residential buildings,asset_fixed,FALSE,lu_2011_chart_1
lu_2020_account_221312,221312,Non-residential buildings,asset_fixed,FALSE,lu_2011_chart_1
lu_2020_account_221313,221313,Mixed-use buildings,asset_fixed,FALSE,lu_2011_chart_1
lu_2020_account_221318,221318,Other buildings,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_22132,22132,Buildings in foreign countries,asset_fixed,FALSE,lu_2011_chart_1
lu_2020_account_22141,22141,Fixtures and fitting-outs of buildings in Luxembourg,asset_fixed,FALSE,lu_2011_chart_1
lu_2020_account_22142,22142,Fixtures and fitting-outs of buildings in foreign countries,asset_fixed,FALSE,lu_2011_chart_1
lu_2020_account_22151,22151,Investment properties in Luxembourg,asset_fixed,FALSE,lu_2011_chart_1
lu_2020_account_22152,22152,Investment properties in foreign countries,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_2221,2221,Plant,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_2222,2222,Machinery,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_2231,2231,Transportation and handling equipment,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_2232,2232,Motor vehicles,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_2233,2233,Tools,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_2234,2234,Furniture,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_2235,2235,Computer equipment,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_2236,2236,Livestock,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_2237,2237,Returnable packaging,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_2238,2238,Other fixtures,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_22411,22411,"Land, fitting-outs and buildings in Luxembourg",asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_22412,22412,"Land, fitting-outs and buildings in foreign countries",asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_2242,2242,Plant and machinery,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_2243,2243,"Other fixtures and fittings, tools and equipment (including rolling stock)",asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_231,231,Shares in affiliated undertakings,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_232,232,Amounts owed by affiliated undertakings,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_233,233,Participating interests,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_234,234,Amounts owed by undertakings with which the undertaking is linked by virtue of participating interests,asset_fixed,FALSE,lu_2011_chart_1
lu_2020_account_235111,235111,Listed shares,asset_fixed,FALSE,lu_2011_chart_1
lu_2020_account_235112,235112,Unlisted shares,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_23518,23518,Other securities held as fixed assets (equity right),asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_23521,23521,Debentures,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_23528,23528,Other securities held as fixed assets (creditor's right),asset_fixed,FALSE,lu_2011_chart_1
lu_2020_account_2353,2353,Shares of collective investment funds,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_2358,2358,Other securities held as fixed assets,asset_fixed,FALSE,lu_2011_chart_1
lu_2020_account_2361,2361,Loans,asset_fixed,FALSE,lu_2011_chart_1
lu_2020_account_2362,2362,Deposits and guarantees paid,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_2363,2363,Long-term receivables,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_301,301,Inventories of raw materials,asset_current,FALSE,lu_2011_chart_1
lu_2020_account_303,303,Inventories of consumable materials and supplies,asset_current,FALSE,lu_2011_chart_1
lu_2020_account_304,304,Inventories of packaging,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_311,311,Inventories of work in progress,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_312,312,Contracts in progress - goods,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_313,313,Contracts in progress - services,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_314,314,Buildings under construction,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_321,321,Inventories of finished goods,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_322,322,Inventories of semi-finished goods,asset_current,FALSE,lu_2011_chart_1
lu_2020_account_323,323,"Inventories of residual goods (waste, rejected and recuperable material)",asset_current,FALSE,lu_2011_chart_1
lu_2020_account_361,361,Inventories of merchandise,asset_current,FALSE,lu_2011_chart_1
lu_2020_account_3621,3621,Inventories of land for resale in Luxembourg,asset_current,FALSE,lu_2011_chart_1
lu_2020_account_3622,3622,Inventories of land for resale in foreign countries,asset_current,FALSE,lu_2011_chart_1
lu_2020_account_3631,3631,Inventories of buildings for resale in Luxembourg,asset_current,FALSE,lu_2011_chart_1
lu_2020_account_3632,3632,Inventories of buildings for resale in foreign countries,asset_current,FALSE,lu_2011_chart_1
lu_2020_account_37,37,Down payments on account on inventories,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_4011,4011,Customers,asset_receivable,TRUE,lu_2011_chart_1
lu_2011_account_40111,40111,Customers (PoS),asset_receivable,TRUE,lu_2011_chart_1
lu_2011_account_4012,4012,Customers - Receivable bills of exchange,asset_current,TRUE,lu_2011_chart_1
lu_2011_account_4013,4013,Doubtful or disputed customers,asset_current,TRUE,lu_2011_chart_1
lu_2011_account_4014,4014,Customers - Unbilled sales,asset_current,TRUE,lu_2011_chart_1
lu_2011_account_4015,4015,Customers with a credit balance,liability_current,TRUE,lu_2011_chart_1
lu_2011_account_4019,4019,Value adjustments,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_4021,4021,Customers,asset_receivable,TRUE,lu_2011_chart_1
lu_2011_account_4025,4025,Customers with creditor balance,asset_current,TRUE,lu_2011_chart_1
lu_2011_account_4029,4029,Value adjustments,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_41111,41111,Trade receivables,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_41112,41112,Loans and advances,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_41118,41118,Other receivables,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_41119,41119,Value adjustments,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_41121,41121,Trade receivables,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_41122,41122,Loans and advances,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_41128,41128,Other receivables,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_41129,41129,Value adjustments,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_41211,41211,Trade receivables,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_41212,41212,Loans and advances,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_41218,41218,Other receivables,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_41219,41219,Value adjustments,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_41221,41221,Trade receivables,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_41222,41222,Loans and advances,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_41228,41228,Other receivables,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_41229,41229,Value adjustments,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_42111,42111,Advances and down payments,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_42119,42119,Value adjustments,asset_current,FALSE,lu_2011_chart_1
lu_2020_account_4212,4212,Amounts owed by partners and shareholders (others than from affiliated undertakings),asset_current,FALSE,lu_2011_chart_1
lu_2011_account_42131,42131,Investment subsidies,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_42132,42132,Operating subsidies,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_42138,42138,Other subsidies,asset_current,FALSE,lu_2011_chart_1
lu_2020_account_42141,42141,Corporate income tax,asset_current,FALSE,lu_2011_chart_1
lu_2020_account_42142,42142,Municipal business tax,asset_current,FALSE,lu_2011_chart_1
lu_2020_account_42143,42143,Net wealth tax,asset_current,FALSE,lu_2011_chart_1
lu_2020_account_42144,42144,Withholding tax on wages and salaries,asset_current,FALSE,lu_2011_chart_1
lu_2020_account_42145,42145,Withholding tax on financial investment income,asset_current,FALSE,lu_2011_chart_1
lu_2020_account_42146,42146,Withholding tax on director's fees,asset_current,FALSE,lu_2011_chart_1
lu_2020_account_42148,42148,ACD - Other amounts receivable,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_4215,4215,Customs and Excise Authority (ADA),asset_current,FALSE,lu_2011_chart_1
lu_2020_account_421611,421611,VAT paid and recoverable,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_421612,421612,VAT receivable,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_421613,421613,VAT down payments made,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_421618,421618,VAT - Other receivables,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_421621,421621,Registration duties,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_421622,421622,Subscription tax,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_421628,421628,Other indirect taxes,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_42168,42168,Other receivables,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_42171,42171,Social Security office (CCSS),asset_current,FALSE,lu_2011_chart_1
lu_2011_account_42172,42172,Foreign social security offices,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_42178,42178,Other social bodies,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_421811,421811,Foreign VAT,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_421818,421818,Other foreign taxes,asset_current,FALSE,lu_2011_chart_1
lu_2020_account_42187,42187,Derivative financial instruments,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_42188,42188,Other miscellaneous receivables,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_42189,42189,Value adjustments,asset_current,FALSE,lu_2011_chart_1
lu_2020_account_4221,4221,Staff - advances and down payments,asset_current,FALSE,lu_2011_chart_1
lu_2020_account_4222,4222,Amounts owed by partners and shareholders (others than from affiliated undertakings),asset_current,FALSE,lu_2011_chart_1
lu_2011_account_42231,42231,Investment subsidies,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_42232,42232,Operating subsidies,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_42238,42238,Other subsidies,asset_current,FALSE,lu_2011_chart_1
lu_2020_account_42287,42287,Derivative financial instruments,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_42288,42288,Other miscellaneous receivables,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_42289,42289,Value adjustments,asset_current,FALSE,lu_2011_chart_1
lu_2011_account_431,431,Down payments received within one year,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_432,432,Down payments received after more than one year,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_44111,44111,Suppliers,liability_payable,TRUE,lu_2011_chart_1
lu_2011_account_44112,44112,Suppliers - invoices not yet received,liability_current,TRUE,lu_2011_chart_1
lu_2020_account_44113,44113,Suppliers with a debit balance,liability_current,TRUE,lu_2011_chart_1
lu_2011_account_44121,44121,Suppliers,liability_current,TRUE,lu_2011_chart_1
lu_2020_account_44123,44123,Suppliers with a debit balance,liability_current,TRUE,lu_2011_chart_1
lu_2011_account_4421,4421,Bills of exchange payable within one year,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_4422,4422,Bills of exchange payable after more than one year,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_45111,45111,Purchases and services,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_45112,45112,Loans and advances,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_45118,45118,Other payables,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_45121,45121,Purchases and services,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_45122,45122,Loans and advances,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_45128,45128,Other payables,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_45211,45211,Purchases and services,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_45212,45212,Loans and advances,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_45218,45218,Other payables,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_45221,45221,Purchases and services,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_45222,45222,Loans and advances,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_45228,45228,Other payables,liability_current,FALSE,lu_2011_chart_1
lu_2020_account_4611,4611,Municipal authorities,liability_current,TRUE,lu_2011_chart_1
lu_2011_account_461211,461211,Corporate income tax - Tax accrual,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_461212,461212,CIT - Tax payable,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_461221,461221,MBT - Tax accrual,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_461222,461222,MBT - Tax payable,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_461231,461231,NWT - Tax accrual,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_461232,461232,NWT - Tax payable,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_46124,46124,Withholding tax on wages and salaries,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_46125,46125,Withholding tax on financial investment income,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_46126,46126,Withholding tax on director's fees,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_46128,46128,ACD - Other amounts payable,liability_current,FALSE,lu_2011_chart_1
lu_2020_account_4613,4613,Customs and Excise Authority (ADA),liability_current,TRUE,lu_2011_chart_1
lu_2020_account_461411,461411,VAT received,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_461412,461412,VAT payable,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_461413,461413,VAT down payments received,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_461418,461418,VAT - Other payables,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_461421,461421,Registration duties,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_461422,461422,Subscription tax,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_461428,461428,Other indirect taxes,liability_current,FALSE,lu_2011_chart_1
lu_2020_account_46148,46148,AED - Other debts,liability_current,FALSE,lu_2011_chart_1
lu_2020_account_46151,46151,Foreign VAT,liability_current,FALSE,lu_2011_chart_1
lu_2020_account_46158,46158,Other foreign taxes,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_4621,4621,Social Security office (CCSS),liability_current,FALSE,lu_2011_chart_1
lu_2011_account_4622,4622,Foreign Social Security offices,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_4628,4628,Other social bodies,liability_current,FALSE,lu_2011_chart_1
lu_2020_account_4711,4711,Received deposits and guarantees,liability_current,TRUE,lu_2011_chart_1
lu_2020_account_4712,4712,Amounts payable to partners and shareholders (others than from affiliated undertakings),liability_current,TRUE,lu_2011_chart_1
lu_2011_account_4713,4713,"Amounts payable to directors, managers, statutory auditors and similar",liability_current,FALSE,lu_2011_chart_1
lu_2020_account_4714,4714,Amounts payable to staff,liability_current,TRUE,lu_2011_chart_1
lu_2011_account_4715,4715,State - Greenhous gas and similar emission quotas to be returned or acquired,liability_current,FALSE,lu_2011_chart_1
lu_2020_account_47161,47161,Other loans,liability_current,TRUE,lu_2011_chart_1
lu_2020_account_47162,47162,Lease debts,liability_current,TRUE,lu_2011_chart_1
lu_2020_account_47163,47163,Life annuities,liability_current,TRUE,lu_2011_chart_1
lu_2020_account_47164,47164,Other similar debts,liability_current,TRUE,lu_2011_chart_1
lu_2020_account_4717,4717,Derivative financial instruments,liability_current,TRUE,lu_2011_chart_1
lu_2011_account_4718,4718,Other miscellaneous debts,liability_current,FALSE,lu_2011_chart_1
lu_2020_account_4721,4721,Received deposits and guarantees,liability_current,TRUE,lu_2011_chart_1
lu_2020_account_4722,4722,Amounts payable to partners and shareholders (others than from affiliated undertakings),liability_current,TRUE,lu_2011_chart_1
lu_2011_account_4723,4723,"Amounts payable to directors, managers, statutory auditors and similar",liability_current,FALSE,lu_2011_chart_1
lu_2020_account_4724,4724,Amounts payable to staff,liability_current,TRUE,lu_2011_chart_1
lu_2020_account_47261,47261,Other loans,liability_current,TRUE,lu_2011_chart_1
lu_2020_account_47262,47262,Lease debts,liability_current,TRUE,lu_2011_chart_1
lu_2020_account_47263,47263,Life annuities,liability_current,TRUE,lu_2011_chart_1
lu_2020_account_47264,47264,Other similar debts,liability_current,TRUE,lu_2011_chart_1
lu_2020_account_4727,4727,Derivative financial instruments,liability_current,TRUE,lu_2011_chart_1
lu_2011_account_4728,4728,Other miscellaneous debts,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_481,481,Deferred charges (on one or more financial years),asset_prepayments,FALSE,lu_2011_chart_1
lu_2011_account_482,482,Deferred income (on one or more financial years),liability_current,FALSE,lu_2011_chart_1
lu_2011_account_483,483,State - Greenhouse gas and similar emission quotas received,liability_current,FALSE,lu_2011_chart_1
lu_2011_account_484,484,Transitory or suspense accounts - Assets,asset_current,FALSE,lu_2011_chart_1
