id,name,description,type_tax_use,amount_type,amount,account_id:id,refund_account_id:id,chart_template_id:id,sequence,children_tax_ids:id,tag_ids:id,tax_group_id:id
lu_2015_tax_AP-EC-8-p,Purchase Services 8% - Extra-Community (+),AP-EC-8-p,none,percent,8,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1196,,tag_lu_437,tax_group_8
lu_2015_tax_AP-EC-8,Purchase Services 8% - Extra-Community,AP-EC-8,purchase,group,100,,,lu_2011_chart_1,194,"lu_2015_tax_AP-EC-8-n,lu_2015_tax_AP-EC-8-p",tag_lu_165,tax_group_8
lu_2011_tax_AP-IC-0,Purchase Services Exempted - Intra-Community,AP-IC-0,purchase,percent,0,,,lu_2011_chart_1,197,,tag_lu_120,tax_group_0
lu_2011_tax_AP-IC-12-n,Purchase Services 12% - Intra-Community (-),AP-IC-12-n,none,percent,-12,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1199,,tag_lu_563,tax_group_12
lu_2011_tax_AP-IC-12-p,Purchase Services 12% - Intra-Community (+),AP-IC-12-p,none,percent,12,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1200,,tag_lu_396,tax_group_12
lu_2011_tax_AP-IC-12,Purchase Services 12% - Intra-Community,AP-IC-12,purchase,group,100,,,lu_2011_chart_1,198,"lu_2011_tax_AP-IC-12-n,lu_2011_tax_AP-IC-12-p",tag_lu_116,tax_group_12
lu_2015_tax_AP-IC-14-n,Purchase Services 14% - Intra-Community (-),AP-IC-14-n,none,percent,-14,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1202,,tag_lu_564,tax_group_14
lu_2015_tax_AP-IC-14-p,Purchase Services 14% - Intra-Community (+),AP-IC-14-p,none,percent,14,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1203,,tag_lu_404,tax_group_14
lu_2015_tax_AP-IC-14,Purchase Services 14% - Intra-Community,AP-IC-14,purchase,group,100,,,lu_2011_chart_1,201,"lu_2015_tax_AP-IC-14-n,lu_2015_tax_AP-IC-14-p",tag_lu_128,tax_group_14
lu_2011_tax_AP-IC-15-n,Purchase Services 15% - Intra-Community (-),AP-IC-15-n,none,percent,-15,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1205,,tag_lu_565,tax_group_15
lu_2011_tax_AP-IC-15-p,Purchase Services 15% - Intra-Community (+),AP-IC-15-p,none,percent,15,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1206,,tag_lu_384,tax_group_15
lu_2011_tax_AP-IC-15,Purchase Services 15% - Intra-Community,AP-IC-15,purchase,group,100,,,lu_2011_chart_1,204,"lu_2011_tax_AP-IC-15-n,lu_2011_tax_AP-IC-15-p",tag_lu_104,tax_group_15
lu_2015_tax_AP-IC-17-n,Purchase Services 17% - Intra-Community (-),AP-IC-17-n,none,percent,-17,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1208,,tag_lu_566,tax_group_17
lu_2015_tax_AP-IC-17-p,Purchase Services 17% - Intra-Community (+),AP-IC-17-p,none,percent,17,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1209,,tag_lu_400,tax_group_17
lu_2015_tax_AP-IC-17,Purchase Services 17% - Intra-Community,AP-IC-17,purchase,group,100,,,lu_2011_chart_1,207,"lu_2015_tax_AP-IC-17-n,lu_2015_tax_AP-IC-17-p",tag_lu_124,tax_group_17
lu_2011_tax_AP-IC-3-n,Purchase Services 3% - Intra-Community (-),AP-IC-3-n,none,percent,-3,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1211,,tag_lu_567,tax_group_3
lu_2011_tax_AP-IC-3-p,Purchase Services 3% - Intra-Community (+),AP-IC-3-p,none,percent,3,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1212,,tag_lu_392,tax_group_3
lu_2011_tax_AP-IC-3,Purchase Services 3% - Intra-Community,AP-IC-3,purchase,group,100,,,lu_2011_chart_1,210,"lu_2011_tax_AP-IC-3-n,lu_2011_tax_AP-IC-3-p",tag_lu_112,tax_group_3
lu_2011_tax_AP-IC-6-n,Purchase Services 6% - Intra-Community (-),AP-IC-6-n,none,percent,-6,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1214,,tag_lu_568,tax_group_6
lu_2011_tax_AP-IC-6-p,Purchase Services 6% - Intra-Community (+),AP-IC-6-p,none,percent,6,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1215,,tag_lu_388,tax_group_6
lu_2011_tax_AP-IC-6,Purchase Services 6% - Intra-Community,AP-IC-6,purchase,group,100,,,lu_2011_chart_1,213,"lu_2011_tax_AP-IC-6-n,lu_2011_tax_AP-IC-6-p",tag_lu_108,tax_group_6
lu_2015_tax_AP-IC-8-n,Purchase Services 8% - Intra-Community (-),AP-IC-8-n,none,percent,-8,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1217,,tag_lu_569,tax_group_8
lu_2015_tax_AP-IC-8-p,Purchase Services 8% - Intra-Community (+),AP-IC-8-p,none,percent,8,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1218,,tag_lu_408,tax_group_8
lu_2015_tax_AP-IC-8,Purchase Services 8% - Intra-Community,AP-IC-8,purchase,group,100,,,lu_2011_chart_1,216,"lu_2015_tax_AP-IC-8-n,lu_2015_tax_AP-IC-8-p",tag_lu_132,tax_group_8
lu_2011_tax_AP-PA-0,Purchase Services 0% - Country,AP-PA-0,purchase,percent,0,,,lu_2011_chart_1,219,,tag_lu_228,tax_group_0
lu_2011_tax_AP-PA-12,Purchase Services 12% - Country,AP-PA-12,purchase,percent,12,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,220,,"tag_lu_454,tag_lu_229",tax_group_12
lu_2015_tax_AP-PA-14,Purchase Services 14% - Country,AP-PA-14,purchase,percent,14,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,221,,"tag_lu_456,tag_lu_230",tax_group_14
lu_2011_tax_AP-PA-15,Purchase Services 15% - Country,AP-PA-15,purchase,percent,15,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,222,,"tag_lu_457,tag_lu_231",tax_group_15
lu_2015_tax_AP-PA-17,Purchase Services 17% - Country,AP-PA-17,purchase,percent,17,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,223,,"tag_lu_458,tag_lu_232",tax_group_17
