"id","sequence","name","description","invoice_label","amount_type","amount","type_tax_use","price_include","active","tax_group_id","l10n_de_datev_code","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","repartition_line_ids/account_id","name@de"
"","","","","","","","","","","","","base","refund","-84","","",""
"","","","","","","","","","","","","tax","refund","-85","","account_1785",""
"tax_free_eu_skr03","20","0% Tax-free benefit EU","","0% USt EU","percent","0.0","sale","False","True","tax_group_0","","base","invoice","+21","","","0% Steuerfreie Leistung EU"
"","","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","","base","refund","-21","","",""
"","","","","","","","","","","","","tax","refund","","","",""
"tax_free_third_country_skr03","20","0% Tax-exempt service third country","","0% USt Drittland","percent","0.0","sale","False","True","tax_group_0","","base","invoice","+45_BASE","","","0% Steuerfreie Leistung Drittland"
"","","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","","base","refund","-45_BASE","","",""
"","","","","","","","","","","","","tax","refund","","","",""
"tax_free_newcar_skr03","30","0% Tax-free new vehicle delivery EU","","0% USt Neufahrzeug EU","percent","0.0","sale","False","True","tax_group_0","","base","invoice","+44","","","0% Steuerfreie Neufahrzeuglieferung EU"
"","","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","","base","refund","-44","","",""
"","","","","","","","","","","","","tax","refund","","","",""
"tax_ust_19_3eck_first_skr03","40","0% Sales tax triangular transaction first customer","","0% USt Dreiecksgeschäft erster Abnehmer","percent","0.0","sale","False","True","tax_group_0","","base","invoice","-42","","","0% Umsatzsteuer Dreiecksgeschäft erster Abnehmer"
"","","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","","base","refund","+42","","",""
"","","","","","","","","","","","","tax","refund","","","",""
"tax_ust_free_bau_skr03","50","0% Sales tax construction service (provider §13b)","","0% Umsatzsteuer Bauleistung (Erbringer §13b)","percent","0.0","sale","False","True","tax_group_0","","base","invoice","+60","","","0% Umsatzsteuer Bauleistung (Erbringer §13b)"
"","","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","","base","refund","-60","","",""
"","","","","","","","","","","","","tax","refund","","","",""
"tax_ust_free_mobil_skr03","50","0% VAT Supply of mobile telephones, etc. (§13b)","","0% USt Lieferung von Mobilfunkgeräten u.a. (§13b)","percent","0.0","sale","False","True","tax_group_0","","base","invoice","-60","","","0% USt Lieferung von Mobilfunkgeräten u.a. (§13b)"
"","","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","","base","refund","+60","","",""
"","","","","","","","","","","","","tax","refund","","","",""
"tax_eu_19_purchase_goods_skr03","20","Taxable other services EU 19%USt/19%VSt","","Leistungen EU 19%Ust/19%VSt","percent","19.0","purchase","False","True","tax_group_0","","base","invoice","+46","","","Leistungen EU 19%Ust/19%VSt"
"","","","","","","","","","","","","tax","invoice","-67","","account_1577",""
"","","","","","","","","","","","","tax","invoice","-47","-100","account_1768",""
"","","","","","","","","","","","","base","refund","-46","","",""
"","","","","","","","","","","","","tax","refund","+67","","account_1577",""
"","","","","","","","","","","","","tax","refund","+47","-100","account_1768",""
"tax_eu_7_purchase_goods_skr03","21","Taxable other services EU 7%USt/7%VSt","","Steuerpfl. sonst. Leistg. EU 7%Ust/7%VSt","percent","7.0","purchase","False","True","tax_group_0","","base","invoice","+46","","","Steuerpfl. sonst. Leistg. EU 7%Ust/7%VSt"
"","","","","","","","","","","","","tax","invoice","-67","","account_1577",""
"","","","","","","","","","","","","tax","invoice","-47","-100","account_1768",""
"","","","","","","","","","","","","base","refund","-46","","",""
"","","","","","","","","","","","","tax","refund","+67","","account_1577",""
"","","","","","","","","","","","","tax","refund","+47","-100","account_1768",""
"tax_ust_vst_19_purchase_13b_bau_skr03","22","Tax according to §13b UStG 19%USt/19%VSt (construction service recipient)","","Steuer gem. §13b UStG 19%USt/19%VSt (Bauleistung Empfänger)","percent","19.0","purchase","False","True","tax_group_0","","base","invoice","+60||+84","","","Steuer gem. §13b UStG 19%USt/19%VSt (Bauleistung Empfänger)"
"","","","","","","","","","","","","tax","invoice","-67","","account_1577",""
"","","","","","","","","","","","","tax","invoice","-85","-100","account_1787",""
"","","","","","","","","","","","","base","refund","-60||-84","","",""
"","","","","","","","","","","","","tax","refund","+67","","account_1577",""
"","","","","","","","","","","","","tax","refund","+85","-100","account_1787",""
"tax_ust_vst_7_purchase_13b_bau_skr03","23","Tax according to §13b UStG 7%USt/7%VSt (construction service recipient)","","Steuer gem. §13b UStG 7%USt/7%VSt (Bauleistung Empfänger)","percent","7.0","purchase","False","True","tax_group_0","","base","invoice","+60||+84","","","Steuer gem. §13b UStG 7%USt/7%VSt (Bauleistung Empfänger)"
"","","","","","","","","","","","","tax","invoice","-67","","account_1578",""
"","","","","","","","","","","","","tax","invoice","-85","-100","account_1785",""
"","","","","","","","","","","","","base","refund","-60||-84","","",""
"","","","","","","","","","","","","tax","refund","+67","","account_1578",""
"","","","","","","","","","","","","tax","refund","+85","-100","account_1785",""
"tax_vst_ust_19_purchase_13b_mobil_skr03","24","Tax according to §13b 19%USt/19%VSt (reception of mobile devices etc.)","","Steuer gem. §13b 19%Ust/19%VSt (Empfang von Mobilfunkgeräten u.a.)","percent","19.0","purchase","False","True","tax_group_0","","base","invoice","+60||+84","","","Steuer gem. §13b 19%USt/19%VSt (Empfang von Mobilfunkgeräten u.a.)"
"","","","","","","","","","","","","tax","invoice","-67","","account_1577",""
"","","","","","","","","","","","","tax","invoice","-85","-100","account_1787",""
"","","","","","","","","","","","","base","refund","-60||-84","","",""
"","","","","","","","","","","","","tax","refund","+67","","account_1577",""
"","","","","","","","","","","","","tax","refund","+85","-100","account_1787",""
"tax_vst_ust_19_purchase_3eck_last_skr03","105","Triangular transaction Acquisition of last customer 19%USt/19%VSt","","Dreiecksgeschäft Erwerb letzter Abnehmer 19%Ust/19%VSt","percent","19.0","purchase","False","True","tax_group_0","","base","invoice","","","","Dreiecksgeschäft Erwerb letzter Abnehmer 19%USt/19%VSt"
"","","","","","","","","","","","","tax","invoice","-66","","account_1576",""
"","","","","","","","","","","","","tax","invoice","-69","-100","account_1783",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","+66","","account_1576",""
"","","","","","","","","","","","","tax","refund","+69","-100","account_1783",""
"tax_vst_ust_19_purchase_13b_werk_ausland_skr03","25","Tax acc. to §13b 19%USt/19%VSt (foreign work deliveries etc.)","","Steuer gem. §13b 19%USt/19%VSt (ausländ. Werklieferungen u.ä.)","percent","19.0","purchase","False","True","tax_group_0","","base","invoice","+84","","","Steuer gem. §13b 19%USt/19%VSt (ausländ. Werklieferungen u.ä.)"
"","","","","","","","","","","","","tax","invoice","-66","","account_1576",""
"","","","","","","","","","","","","tax","invoice","-85","-100","account_1783",""
"","","","","","","","","","","","","base","refund","-84","","",""
"","","","","","","","","","","","","tax","refund","+66","","account_1576",""
"","","","","","","","","","","","","tax","refund","+85","-100","account_1783",""
"tax_vst_ust_7_purchase_13b_werk_ausland_skr03","26","Tax acc. to §13b 7%USt/7%VSt (foreign work deliveries etc.)","","Steuer gem. §13b 7%USt/7%VSt (ausländ. Werklieferungen u.ä.)","percent","7.0","purchase","False","True","tax_group_0","","base","invoice","+84","","","Steuer gem. §13b 7%USt/7%VSt (ausländ. Werklieferungen u.ä.)"
"","","","","","","","","","","","","tax","invoice","-66","","account_1571",""
"","","","","","","","","","","","","tax","invoice","-85","-100","account_1783",""
"","","","","","","","","","","","","base","refund","-84","","",""
"","","","","","","","","","","","","tax","refund","+66","","account_1571",""
"","","","","","","","","","","","","tax","refund","+85","-100","account_1783",""
"tax_vst_ust_19_purchase_13a_auslagerung_skr03","27","Tax acc. to §13a para. 1 no. 6 UStG 19%USt/19%VSt (outsourcing)","","Steuer gem. §13a Abs. 1 Nr. 6 UStG 19%USt/19%VSt (Auslagerung)","percent","19.0","purchase","False","True","tax_group_0","","base","invoice","","","","Steuer gem. §13a Abs. 1 Nr. 6 UStG 19%USt/19%VSt (Auslagerung)"
"","","","","","","","","","","","","tax","invoice","-66","","account_1585",""
"","","","","","","","","","","","","tax","invoice","-69","-100","account_1783",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","+66","","account_1585",""
"","","","","","","","","","","","","tax","refund","+69","-100","account_1783",""
"tax_vst_ust_7_purchase_13a_auslagerung_skr03","28","Tax acc. to §13a Abs. 1 Nr. 6 UStG 7%USt/7%VSt (outsourcing)","","Steuer gem. §13a Abs. 1 Nr. 6 UStG 7%USt/7VSt (Auslagerung)","percent","7.0","purchase","False","True","tax_group_0","","base","invoice","","","","Steuer gem. §13a Abs. 1 Nr. 6 UStG 7%USt/7%VSt (Auslagerung)"
"","","","","","","","","","","","","tax","invoice","-66","","account_1585",""
"","","","","","","","","","","","","tax","invoice","-69","-100","account_1783",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","+66","","account_1585",""
"","","","","","","","","","","","","tax","refund","+69","-100","account_1783",""
