"id","name","code","account_type","tag_ids","reconcile","name@fr","name@nl","name@de"
"a4291","Other Amounts Payable - Non Interest-Bearing or Linked to an Abnormally Low Interest Rate (> 1 Year Falling Due < 1 Year)","4291","liability_current","","False","Autres dettes - Non productives d'intérêts ou assorties d'un intérêt anormalement faible (> 1 an écheant < 1 an)","Overige schulden - Niet-rentedragend of gekoppeld aan een abnormaal lage rente (> 1 jaar vervallend < 1 jaar)","Sonstige Verbindlichkeiten - Unverzinslich oder mit einem ungewöhnlich niedrigen Zinssatz (> 1 Jahr fällig < 1 Jahr)"
"a4890","Sundry Amounts Payable - Interest-Bearing","4890","liability_current","","False","Autres dettes - Productives d'intérêts","Andere diverse schulden - Rentedragend","Sonstige Verbindlichkeiten - Verzinslich"
"a4891","Sundry Amounts Payable - Non Interest-Bearing or Linked to an Abnormally Low Interest Rate","4891","liability_current","","False","Autres dettes - Non productives d'intérêts ou assorties d'un intérêt anormalement faible","Andere diverse schulden - Niet-rentedragend of gekoppeld aan een abnormaal lage rente","Sonstige Verbindlichkeiten - Unverzinslich oder mit einem ungewöhnlich niedrigen Zinssatz"
"a500","Current Investments Other Than Shares, Fixed-Income Investments and Term Deposits - Acquisition Value","500","asset_current","","False","Placements de trésorerie autres que actions et parts, titres à revenu fixe et dépôts à terme - Valeur d'acquisition","Geldbeleggingen andere dan aandelen, vastrentende effecten en termijndeposito's - Aanschaffingswaarde","Geldanlagen außer Anteilen, festverzinslichen Wertpapieren und Terminkonten - Anschaffungswert"
"a509","Current Investments Other Than Shares, Fixed-Income Investments and Term Deposits - Amounts Written Down - Recorded (-)","509","asset_current","","False","Placements de trésorerie autres que actions et parts, titres à revenu fixe et dépôts à terme - Réductions de valeurs actées (-)","Geldbeleggingen andere dan aandelen, vastrentende effecten en termijndeposito's - Geboekte waardeverminderingen (-)","Geldanlagen außer Anteilen, festverzinslichen Wertpapieren und Terminkonten - Gebuchte Wertminderungen (-)"
"a510","Shares - Acquisition Value","510","asset_current","","False","Actions et parts - Valeur d'acquisition","Aandelen - Aanschaffingswaarde","Anteile - Anschaffungswert"
"a519","Shares - Amounts Written Down - Recorded (-)","519","asset_current","","False","Actions et parts - Réductions de valeur actées (-)","Aandelen - Geboekte waardeverminderingen (-)","Anteile - Gebuchte Wertminderungen (-)"
"a6380","Provisions for Subsidies and Legacies to Reimburse and Gifts With a Recovery Right - Appropriations","6380","expense_other","","False","Provisions pour subsides et legs à rembourser et pour dons avec droit de reprise - Dotations","Voorzieningen voor terug te betalen subsidies en legaten en voor schenkingen met terugnemingsrecht - Toevoegingen","Rückstellungen für zurückzuzahlende Subventionen und Legate und für Schenkungen mit Rücknahmerecht - Zuführungen"
"a6381","Provisions for Subsidies and Legacies to Reimburse and Gifts With a Recovery Right - Uses and Write-Backs (-)","6381","expense_other","","False","Provisions pour subsides et legs à rembourser et pour dons avec droit de reprise - Utilisations et reprises (-)","Voorzieningen voor terug te betalen subsidies en legaten en voor schenkingen met terugnemingsrecht - Bestedingen en terugnemingen (-)","Rückstellungen für zurückzuzahlende Subventionen und Legate und für Schenkungen mit Rücknahmerecht - Verbrauch und Auflösungen (-)"
"a6390","Provisions for Other Liabilities and Charges - Appropriations","6390","expense_other","","False","Provisions pour autres risques et charges - Dotations","Voorzieningen voor andere risico's en kosten - Toevoegingen","Rückstellungen für sonstige Risiken und Aufwendungen - Zuführungen"
"a6391","Provisions for Other Liabilities and Charges - Uses and Write-Backs (-)","6391","expense_other","","False","Provisions pour autres risques et charges - Utilisations et reprises (-)","Voorzieningen voor andere risico's en kosten - Bestedingen en terugnemingen (-)","Rückstellungen für sonstige Risiken und Aufwendungen - Verbrauch und Auflösungen (-)"
"a643","Gifts","643","expense","","False","Dons","Schenkingen","Schenkungen"
"a644","Miscellaneous Operating Charges","644","expense","","False","Charges d'exploitation diverses","Diverse bedrijfskosten","Sonstige betriebliche Aufwendungen"
"a691","Transfer to Allocated Funds and Other Reserves","691","expense_other","","False","Transfert aux fonds affectés et autres réserves","Overboeking naar de bestemde fondsen en andere reserves","Einstellung in das zweckgebundene Vermögen und die sonstigen Rücklagen"
"a692","Positive Result to be Carried Forward","692","expense_other","","False","Résultat positif à reporter","Over te dragen positief resultaat","Gewinnvortrag auf neue Rechnung"
"a730","Membership Fees","730","income","","False","Cotisations","Lidgelden","Beiträge"
"a731","Gifts","731","income","","False","Dons","Schenkingen","Schenkungen"
"a732","Legacies","732","income","","False","Legs","Legaten","Legate"
"a733","Subsidies","733","income","","False","Subsides","Subsidies","Subventionen"
"a77","Adjustment of Income Taxes","77","income","account.account_tag_operating","False","Régularisation d'impôts","Regularisering van belastingen","Steuererstattungen"
"a790","Positive Result From the Preceding Period Brought Forward","790","income","","False","Résultat positif de l'exercice antérieur reporté","Overgedragen positief resultaat van het vorige boekjaar","Gewinnvortrag aus dem Vorjahr"
"a791","Other Reserves","791","income","","False","Autres réserves","Andere reserves","Sonstige Rücklagen"
"a792","Negative Result to Be Carried Forward","792","income","","False","Résultat négatif à reporter","Over te dragen negatief resultaat","Verlustvortrag auf neue Rechnung"
