"id","code_prefix_start","code_prefix_end","name","name@fr","name@nl","name@de"
"be_group_762","762","","Write-Back of Provisions for Non-Recurring Liabilities and Charges","Reprises de provisions pour risques et charges non récurrents","Terugneming van voorzieningen voor niet-recurrente risico's en kosten","Auflösung von Rückstellungen für nicht wiederkehrende Risiken und Aufwendungen"
"be_group_763","763","","Capital Profits on Disposal of Fixed Assets","Plus-values sur réalisation d'actifs immobilisés","Meerwaarden bij de realisatie van vaste activa","Mehrwerte aus dem Abgang von Gegenständen des Anlagevermögens"
"be_group_764","764","768","Other Non-Recurring Operating Income","Autres produits d'exploitation non récurrents","Andere niet-recurrente bedrijfsopbrengsten","Sonstige nicht wiederkehrende betriebliche Erträge"
"be_group_769","769","","Other Non-Recurring Financial Income","Autres produits financiers non récurrents","Andere niet-recurrente financiële opbrengsten","Sonstige nicht wiederkehrende Finanzerträge"
"be_group_77","77","","Adjustment of Income Taxes","Régularisation d'impôts","Regularisering van belastingen","Steuererstattungen"
"be_group_780","780","","Transfer From Deferred Taxes","Prélèvement sur les impôts différés","Onttrekking aan de uitgestelde belastingen","Auflösung von aufgeschobenen Steuern"
"be_group_789","789","","Transfer From Untaxed Reserves","Prélèvement sur les réserves immunisées","Onttrekking aan de belastingvrije reserves","Entnahmen aus den steuerfreien Rücklagen"
"be_group_790","790","","Positive Result From the Preceding Period Brought Forward","Résultat positif de l'exercice antérieur reporté","Overgedragen positief resultaat van het vorige boekjaar","Gewinnvortrag aus dem Vorjahr"
"be_group_791","791","","Other Reserves","Autres réserves","Andere reserves","Sonstige Rücklagen"
"be_group_793","793","","Negative Result to Be Carried Forward","Résultat négatif à reporter","Over te dragen negatief resultaat","Verlustvortrag auf neue Rechnung"
