"id","name","code","account_type","tag_ids","reconcile","name@fr","name@nl","name@de","description","description@fr","description@nl","description@de","parent_id","active"
"a200","Formation or Capital Increase or Contribution Increase Expenses","200","asset_non_current","","False","Frais de constitution, d'augmentation de capital ou d'augmentation de l'apport","Kosten van oprichting, kapitaalverhoging of verhoging van de inbreng","Errichtungsaufwendungen und Kapital- und Einlagenerhöhungskosten","Costs incurred to legally establish the business entity (notary fees, registration fees on Belgian State Gazette)","Frais engagés pour constituer légalement la société (honoraires de notaire, droits d’enregistrement et frais de publication au Moniteur belge).","Kosten gemaakt om de vennootschap juridisch op te richten (notariskosten, inschrijvingskosten in het Belgisch Staatsblad, enz.).","Kosten für die rechtmäßige Gründung der Gesellschaft (Notarkosten, Eintragungsgebühren und Kosten für die Veröffentlichung im Belgischen Staatsblatt).","","True"
"a2917","Other Amounts Receivable - Doubtful Amounts Receivable (> 1 Year)","2917","asset_non_current","","False","Autres créances - Créances douteuses (> 1 an)","Overige vorderingen - Dubieuze debiteuren (> 1 jaar)","Sonstige Forderungen - Zweifelhafte Forderungen (> 1 Jahr)","","","","","","True"
"a410","Called Up Capital or Contribution, Unpaid","410","asset_current","","False","Capital ou apport appelé, non versé","Opgevraagd, niet gestort kapitaal of inbreng","Eingefordertes, noch nicht eingezahltes Kapital oder Einlagen","","","","","","True"
"a4120","Belgian Income Taxes to Be Recovered","4120","asset_current","","False","Impôts belges sur le résultat à récupérer","Terug te vorderen Belgische winstbelastingen","Zurückzuerstattende Belgische Ertragsteuern","","","","","","True"
"a4200","Subordinated Loans - Convertible Bonds (> 1 Year Falling Due < 1 Year)","4200","liability_current","","False","Emprunts subordonnés - Convertibles (> 1 an écheant < 1 an)","Achtergestelde leningen - Converteerbaar (> 1 jaar vervallend < 1 jaar)","Nachrangige Anleihen - Wandelanleihen (> 1 Jahr fällig < 1 Jahr)","","","","","","True"
"a4201","Subordinated Loans - Non-Convertible Bonds (> 1 Year Falling Due < 1 Year)","4201","liability_current","","False","Emprunts subordonnés - Non convertibles (> 1 an écheant < 1 an)","Achtergestelde leningen - Niet converteerbaar (> 1 jaar vervallend < 1 jaar)","Nachrangige Anleihen - Nicht wandelbare Anleihen (> 1 Jahr fällig < 1 Jahr)","","","","","","True"
"a4210","Unsubordinated Debentures - Convertible (> 1 Year Falling Due < 1 Year)","4210","liability_current","","False","Emprunts obligataires non subordonnés - Convertibles (> 1 an écheant < 1 an)","Niet-achtergestelde obligatieleningen - Converteerbaar (> 1 jaar vervallend < 1 jaar)","Nicht nachrangige Anleihen - Wandelanleihen (> 1 Jahr fällig < 1 Jahr)","","","","","","True"
"a4211","Unsubordinated Debentures - Non-Convertible (> 1 Year Falling Due < 1 Year)","4211","liability_current","","False","Emprunts obligataires non subordonnés - Non convertibles (> 1 an écheant < 1 an)","Niet-achtergestelde obligatieleningen - Niet converteerbaar (> 1 jaar vervallend < 1 jaar)","Nicht nachrangige Anleihen - Nicht wandelbare Anleihen (> 1 Jahr fällig < 1 Jahr)","","","","","","True"
"a429","Other Amounts Payable (> 1 Year Falling Due < 1 Year)","429","liability_current","","False","Dettes diverses (> 1 an écheant < 1 an)","Overige schulden (> 1 jaar vervallend < 1 jaar)","Sonstige Verbindlichkeiten (> 1 Jahr fällig < 1 Jahr)","","","","","","True"
"a4500","Estimated Belgian Income Taxes Payable","4500","liability_current","","False","Dettes fiscales estimées - Impôts belges sur le résultat","Geraamd bedrag der belastingschulden - Belgische winstbelastingen","Geschätzte Steuerschulden - Belgische Ertragsteuern","","","","","","True"
"a4520","Belgian Income Taxes Payable","4520","liability_current","","False","Impôts belges à payer sur le résultat","Te betalen Belgische winstbelastingen","Zu zahlende belgische Ertragsteuern","","","","","","True"
"a47","Debt From Appropriation Result","47","liability_current","","False","Dettes découlant de l'affectation du résultat","Schulden uit de bestemming van het resultaat","Verbindlichkeiten, die sich aus der Ergebnisverwendung ergeben","","","","","","False"
"a470","Dividends and Director's Fees Relating to Prior Financial Periods","470","liability_current","","False","Dividendes et tantièmes d'exercices antérieurs","Dividenden en tantièmes over vorige boekjaren","Dividenden und Tantiemen vorhergehender Geschäftsjahre","","","","","a47","True"
"a471","Dividends - Current Financial Period","471","liability_current","","False","Dividendes de l'exercice","Dividenden over het boekjaar","Dividenden des Geschäftsjahres","","","","","a47","True"
"a472","Director's Fees - Current Financial Period","472","liability_current","","False","Tantièmes de l'exercice","Tantièmes over het boekjaar","Tantiemen des Geschäftsjahres","","","","","a47","True"
"a473","Other Beneficiaries","473","liability_current","","False","Autres allocataires","Andere rechthebbenden","Sonstige Berechtigte","","","","","a47","True"
"a489","Sundry Amounts Payable","489","liability_current","","False","Autres dettes diverses","Andere diverse schulden","Sonstige Verbindlichkeiten","","","","","","True"
"a50","Own Shares","50","asset_current","","False","Actions propres","Eigen aandelen","Eigene Anteile","","","","","","True"
"a51","Shares and Current Investments Other Than Fixed Income Investments","51","asset_current","","False","Actions, parts et placements autres que placements à revenu fixe","Aandelen en geldbeleggingen andere dan vastrentende beleggingen","Anteile und Geldanlagen, andere als festverzinsliche Anlagen","","","","","","False"
"a510","Shares and Current Investments Other Than Fixed Income Investments - Acquisition Value","510","asset_current","","False","Actions, parts et placements autres que placements à revenu fixe - Valeur d'acquisition","Aandelen en geldbeleggingen andere dan vastrentende beleggingen - Aanschaffingswaarde","Anteile und Geldanlagen, andere als festverzinsliche Anlagen - Anschaffungswert","","","","","a51","False"
"a5100","Shares - Acquisition Value","5100","asset_current","","False","Actions et parts - Valeur d'acquisition","Aandelen - Aanschaffingswaarde","Aktien und Anteile - Anschaffungswert","","","","","a510","True"
"a5101","Current Investments Other Than Fixed-Income Investments - Acquisition Value","5101","asset_current","","False","Placements de trésorerie autres que placements à revenu fixe - Valeur d'acquisition","Geldbeleggingen andere dan vastrentende beleggingen - Aanschaffingswaarde","Geldanlagen außer festverzinsliche Geldanlagen - Anschaffungswert","","","","","a510","True"
"a519","Shares and Current Investments Other Than Fixed Income Investments - Amounts Written Down Recorded (-)","519","asset_current","","False","Actions, parts et placements autres que placements à revenu fixe - Réductions de valeur actées (-)","Aandelen en geldbeleggingen andere dan vastrentende beleggingen - Geboekte waardeverminderingen (-)","Anteile und Geldanlagen, andere als festverzinsliche Anlagen - Gebuchte Wertminderungen (-)","","","","","a51","False"
"a5190","Shares - Amounts Written Down - Recorded (-)","5190","asset_current","","False","Actions et parts - Réductions de valeur actées (-)","Aandelen - Geboekte waardeverminderingen (-)","Aktien und Anteile - Gebuchte Wertminderungen (-)","","","","","a519","True"
"a5191","Current Investments Other Than Fixed-Income Investments - Amounts Written Down - Recorded (-)","5191","asset_current","","False","Placements de trésorerie autres que placements à revenu fixe - Réductions de valeur actées (-)","Geldbeleggingen andere dan vastrentende beleggingen - Geboekte waardeverminderingen (-)","Geldanlagen außer festverzinsliche Geldanlagen - Gebuchte Wertminderungen (-)","","","","","a519","True"
"a638","Provisions for Other Risks and Charges","638","expense_other","","False","Provisions pour autres risques et charges","Voorzieningen voor andere risico's en kosten","Rückstellungen für sonstige Risiken und Aufwendungen","","","","","","False"
"a6380","Provisions for Liabilities and Charges - Appropriations","6380","expense_other","","False","Provisions pour autres risques et charges - Dotations","Voorzieningen voor andere risico's en kosten - Toevoegingen","Rückstellungen für sonstige Risiken und Aufwendungen - Zuführungen","","","","","a638","True"
"a6381","Provisions for Liabilities and Charges - Uses and Write-Backs (-)","6381","expense_other","","False","Provisions pour autres risques et charges - Utilisations et reprises (-)","Voorzieningen voor andere risico's en kosten - Bestedingen en terugnemingen (-)","Rückstellungen für sonstige Risiken und Aufwendungen - Verbrauch und Auflösungen (-)","","","","","a638","True"
"a643","Miscellaneous Operating Charges","643","expense","","False","Charges d'exploitation diverses","Diverse bedrijfskosten","Sonstige betriebliche Aufwendungen","","","","","","True"
"a691","Appropriations to Contribution","691","equity_unaffected","","False","Affectations à l'apport","Toevoeging aan de inbreng","Zuweisungen an die Einlagen","","","","","","True"
"a692","Appropriations to Reserves","692","equity_unaffected","","False","Dotation aux réserves","Toevoeging aan de reserves","Zuweisungen an die Rücklagen","","","","","","False"
"a6920","Appropriations to Legal Reserve","6920","equity_unaffected","","False","Dotation à la réserve légale","Toevoeging aan de wettelijke reserve","Zuweisungen an die gesetzliche Rücklage","","","","","a692","True"
"a6921","Appropriations to Other Reserves","6921","equity_unaffected","","False","Dotation aux autres réserves","Toevoeging aan de overige reserves","Zuweisungen an die sonstigen Rücklagen","","","","","a692","True"
"a693","Profits to Be Carried Forward","693","equity_unaffected","","False","Bénéfices à reporter","Over te dragen winst","Gewinnvortrag auf neue Rechnung","","","","","","True"
"a694","Compensation for Contributions","694","equity_unaffected","","False","Rémunération de l'apport","Vergoeding van de inbreng","Vergütung der Einlage","","","","","","True"
"a695","Directors' or Managers' Entitlements","695","equity_unaffected","","False","Distribution aux administrateurs ou gérants","Uitkering aan bestuurders of zaakvoerders","Verteilung zugunsten der Verwalter oder Geschäftsführer","","","","","","True"
"a696","Employees' Entitlements","696","equity_unaffected","","False","Distribution aux employés","Uitkering aan werknemers","Verteilung zugunsten der Arbeitnehmer","","","","","","True"
"a697","Other Beneficiaries' Entitlements","697","equity_unaffected","","False","Distribution aux autres allocataires","Uitkering aan andere rechthebbenden","Verteilung zugunsten andere Berechtigte","","","","","","True"
"a740","Operating Subsidies and Compensatory Notes","740","income_other","account.account_tag_operating","False","Subsides d'exploitation et montants compensatoires","Bedrijfssubsidies en compenserende bedragen","Betriebssubventionen und Ausgleichszahlungen","","","","","","True"
"a753","Capital and Interest Subsidies","753","income_other","account.account_tag_financing","False","Subsides en capital et en intérêts","Kapitaal- en interestsubsidies","Kapital- und Zinssubventionen","","","","","","True"
"a77","Adjustment of Income Taxes and Write-Back of Tax Provisions","77","income_other","","False","Régularisation d'impôts et reprise de provisions fiscales","Regularisering van belastingen en terugneming van voorzieningen voor belastingen","Steuererstattung und Auflösung von Steuerrückstellungen","","","","","","False"
"a771","Adjustment of Belgian Income Taxes","771","income_other","","False","Régularisations d'impôts belges sur le résultat","Regularisering van Belgische belastingen op het resultaat","Erstattung Belgischer Ertragsteuern","","","","","a77","False"
"a7710","Adjustment of Taxes Due or Paid","7710","income_other","account.account_tag_operating","False","Régularisations d'impôts dus ou versés","Regularisering van verschuldigde of betaalde belastingen","Erstattung geschuldeter oder gezahlter Ertragssteuern","","","","","a771","True"
"a7711","Adjustment of Estimated Taxes","7711","income_other","account.account_tag_operating","False","Régularisations d'impôts estimés","Regularisering van geraamde belastingen","Erstattung geschätzter Steuern","","","","","a771","True"
"a7712","Tax Provisions Written Back","7712","income_other","","False","Reprises de provisions fiscales","Terugneming van fiscale voorzieningen","Auflösung von Steuerrückstellungen","","","","","a771","True"
"a773","Adjustment of Foreign Income Taxes","773","income_other","","False","Régularisations d'impôts étrangers sur le résultat","Regularisering van buitenlandse belastingen op het resultaat","Ausländische Ertragssteuern","","","","","","True"
"a790","Profit From the Preceding Period Brought Forward","790","equity_unaffected","","False","Bénéfice reporté de l'exercice précédent","Overgedragen winst van het vorige boekjaar","Gewinnvortrag aus dem Vorjahr","","","","","","True"
"a791","Transfer From Contributions","791","equity_unaffected","","False","Prélèvements sur l'apport","Onttrekking aan de inbreng","Entnahmen aus der Einlage","","","","","","True"
"a792","Transfer From Reserves","792","equity_unaffected","","False","Prélèvements sur les réserves","Onttrekking aan de reserves","Entnahmen aus den Rücklagen","","","","","","True"
"a793","Losses to Be Carried Forward","793","equity_unaffected","","False","Perte à reporter","Over te dragen verlies","Verlustvortrag auf neue Rechnung","","","","","","True"
"a794","Shareholders' (or Owners') Contribution in Respect of Losses","794","equity_unaffected","","False","Intervention des associés (ou du propriétaire) dans la perte","Tussenkomst van vennoten (of van de eigenaar) in het verlies","Teilnahme der Gesellschafter (oder des Eigentümers) am Verlust","","","","","","True"
