"id","name","bic","country:id"
"bank_fr_inrefr21","'INTERFIN' SOCIETE A RESPONSABILITE LIMITEE","INREFR21","base.fr"
"bank_fr_venrfrp1","123VENTURE SA","VENRFRP1","base.fr"
"bank_fr_gstifrp1","1818 GESTION","GSTIFRP1","base.fr"
"bank_fr_patffrp1","2020 PATRIMOINE FINANCE","PATFFRP1","base.fr"
"bank_fr_soclfrp1","21 SOCIETE CENTRALE POUR L'INDUSTRIE","SOCLFRP1","base.fr"
"bank_fr_amatfrp1","2I2C ASSET MANAGEMENT","AMATFRP1","base.fr"
"bank_fr_tsigfr22","3 SUISSES INTERNATIONAL","TSIGFR22","base.fr"
"bank_fr_amdefrp1","360 AM","AMDEFRP1","base.fr"
"bank_fr_asmrfrp1","360 ASSET MANAGERS","ASMRFRP1","base.fr"
"bank_fr_ivprfr21","38X INVESTMENT PARTNERS","IVPRFR21","base.fr"
"bank_fr_plfifrp1","A PLUS FINANCE SA","PLFIFRP1","base.fr"
"bank_fr_gettfr21","A.2. GESTION SAS","GETTFR21","base.fr"
"bank_fr_aavpfr21","A.V.I.P. - ASSURANCE VIE ET PREVOYANCE SA","AAVPFR21","base.fr"
"bank_fr_mamefrp1","A3M (ASSOCIATION DE MOYENS MALAKOFF MEDERIC)","MAMEFRP1","base.fr"
"bank_fr_aarbfrp1","AAREAL BANK AG, PARIS BRANCH","AARBFRP1","base.fr"
"bank_fr_aafafrp1","AAZ FINANCES SA","AAFAFRP1","base.fr"
"bank_fr_abaxfrp1","ABAXBOURSE","ABAXFRP1","base.fr"
"bank_fr_annffrl1","ABBEY NATIONAL FRANCE","ANNFFRL1","base.fr"
"bank_fr_antsfrp1","ABBEY NATIONAL TREASURY SERVICES PLC, PARIS BRANCH","ANTSFRP1","base.fr"
"bank_fr_aaeafrp1","ABC ARBITRAGE ASSET MANAGEMENT","AAEAFRP1","base.fr"
"bank_fr_abcofrpp","ABC INTERNATIONAL BANK PARIS BRANCH","ABCOFRPP","base.fr"
"bank_fr_ebapfrpp","ABE CLEARING SAS/EBA CLEARING","EBAPFRPP","base.fr"
"bank_fr_ebapfrps","ABE CLEARING SAS/EBA CLEARING (SYSTEM OPERATOR)","EBAPFRPS","base.fr"
"bank_fr_abtmfrp1","ABERDEEN ASSET MANAGEMENT","ABTMFRP1","base.fr"
"bank_fr_abegfrp1","ABF ASSET MANAGEMENT","ABEGFRP1","base.fr"
"bank_fr_abcgfrp1","ABF CAPITAL MANAGEMENT","ABCGFRP1","base.fr"
"bank_fr_aacifrp1","ABN AMRO COMMUNICATIONS INTERNATIONALES","AACIFRP1","base.fr"
"bank_fr_aafnfrp1","ABN AMRO FIXED INCOME FRANCE","AAFNFRP1","base.fr"
"bank_fr_aafffrp1","ABN AMRO FUTURES FRANCE","AAFFFRP1","base.fr"
"bank_fr_acfnfrp1","ACCEA FINANCE SOCIETE ANONYME","ACFNFRP1","base.fr"
"bank_fr_acpnfrp1","ACCESS CAPITAL PARTNERS","ACPNFRP1","base.fr"
"bank_fr_gracfrp2","ACCOR","GRACFRP2","base.fr"
"bank_fr_acemfrp1","ACE MANAGEMENT","ACEMFRP1","base.fr"
"bank_fr_aceffrp1","ACER FINANCE SOCIETE ANONYME","ACEFFRP1","base.fr"
"bank_fr_acgefrp1","ACOFI GESTION","ACGEFRP1","base.fr"
"bank_fr_acrofrp1","ACROPOLE AM","ACROFRP1","base.fr"
"bank_fr_acaafr21","ACTE IARD","ACAAFR21","base.fr"
"bank_fr_actafrp1","ACTI-BAIL","ACTAFRP1","base.fr"
"bank_fr_actgfrp1","ACTIGEP","ACTGFRP1","base.fr"
"bank_fr_actpfrp1","ACTION CONTREPARTIE","ACTPFRP1","base.fr"
"bank_fr_acsifrp1","ACTIS","ACSIFRP1","base.fr"
"bank_fr_acptfrp1","ACTIS PATRIMOINE SARL","ACPTFRP1","base.fr"
"bank_fr_adaafrp1","ADDAX ASSET MANAGEMENT","ADAAFRP1","base.fr"
"bank_fr_adfifrp1","ADEQUATION FINANCE SA","ADFIFRP1","base.fr"
"bank_fr_adanfrp1","ADI ALTERNATIVE INVESTMENTS","ADANFRP1","base.fr"
"bank_fr_adssfr22","ADISSEO FRANCE","ADSSFR22","base.fr"
"bank_fr_adrefrp1","ADREA","ADREFRP1","base.fr"
"bank_fr_amcufr21","ADREA MUTUELLE CENTRE AUVERGNE","AMCUFR21","base.fr"
"bank_fr_aedpfrp1","AEROPORTS DE PARIS","AEDPFRP1","base.fr"
"bank_fr_aegpfr21","AESOPE GESTION DE PORTEFEUILLES SAS","AEGPFR21","base.fr"
"bank_fr_afeafr21","AFI EUROPE IARD SA","AFEAFR21","base.fr"
"bank_fr_aferfr21","AFI EUROPE SAS","AFERFR21","base.fr"
"bank_fr_afopfr21","AFONE PAIEMENT","AFOPFR21","base.fr"
"bank_fr_afgefrp1","AFORGE GESTION SAS","AFGEFRP1","base.fr"
"bank_fr_agfcfr21","AGCO FINANCE SNC","AGFCFR21","base.fr"
"bank_fr_agebfrp1","AGEBANQUE","AGEBFRP1","base.fr"
"bank_fr_agfdfrp1","AGENCE FRANCAISE DE DEVELOPPEMENT","AGFDFRP1","base.fr"
"bank_fr_agfdfrpa","AGENCE FRANCAISE DE DEVELOPPEMENT","AGFDFRPA","base.fr"
"bank_fr_agfofr21","AGENCE FRANCE LOCALE","AGFOFR21","base.fr"
"bank_fr_aftrfrpp","AGENCE FRANCE TRESOR (AFT)","AFTRFRPP","base.fr"
"bank_fr_agfmfrp1","AGF ASSET MANAGEMENT","AGFMFRP1","base.fr"
"bank_fr_agcsfrp1","AGF CASH SNC","AGCSFRP1","base.fr"
"bank_fr_agfnfrp1","AGF FINANCEMENT 2","AGFNFRP1","base.fr"
"bank_fr_agiafrp1","AGICAM SA","AGIAFRP1","base.fr"
"bank_fr_aggsfrp1","AGILIS GESTION SA","AGGSFRP1","base.fr"
"bank_fr_agenfrp1","AGIPI ENERGIES","AGENFRP1","base.fr"
"bank_fr_agrdfr21","AGIRA RETRAITE DES CADRES","AGRDFR21","base.fr"
"bank_fr_agrsfr21","AGIRA RETRAITE DES SALARIES","AGRSFR21","base.fr"
"bank_fr_agprfr21","AGPM ASSURANCES","AGPRFR21","base.fr"
"bank_fr_aggtfrp1","AGREGATOR GESTION","AGGTFRP1","base.fr"
"bank_fr_agfsfr21","AGRI FINANCE SNC","AGFSFR21","base.fr"
"bank_fr_agnefr21","AGRI NEGOCE","AGNEFR21","base.fr"
"bank_fr_agepfrp1","AGRICA EPARGNE","AGEPFRP1","base.fr"
"bank_fr_aasffrp1","AGRIFIGEST-ALMA-SOCIETE FINANCIERE ET AGRICOLE DE GESTION","AASFFRP1","base.fr"
"bank_fr_aigvfr21","AIG VIE","AIGVFR21","base.fr"
"bank_fr_airffrpp","AIR FRANCE - KLM SA","AIRFFRPP","base.fr"
"bank_fr_rliqfrpp","AIR LIQUIDE SA","RLIQFRPP","base.fr"
"bank_fr_airbfr22","AIRBUS SAS","AIRBFR22","base.fr"
"bank_fr_akkafrpp","AKKA TECHNOLOGIES","AKKAFRPP","base.fr"
"bank_fr_licofrpp","AL KHALIJI FRANCE S.A.","LICOFRPP","base.fr"
"bank_fr_alggfrp1","ALBINGIA","ALGGFRP1","base.fr"
"bank_fr_atelfrpp","ALCATEL-LUCENT","ATELFRPP","base.fr"
"bank_fr_alsnfrpp","ALCATEL-LUCENT SUBMARINE NETWORKS","ALSNFRPP","base.fr"
"bank_fr_algefrp1","ALCIS GESTION","ALGEFRP1","base.fr"
"bank_fr_alsufrp1","ALCIS SECURITIES","ALSUFRP1","base.fr"
"bank_fr_alnifrp1","ALCYONE FINANCE","ALNIFRP1","base.fr"
"bank_fr_aldefr2v","ALDES AERAULIQUE","ALDEFR2V","base.fr"
"bank_fr_aalefr22","ALE INTERNATIONAL","AALEFR22","base.fr"
"bank_fr_alncfrp1","ALEXANDRE FINANCE","ALNCFRP1","base.fr"
"bank_fr_alpbfrp1","ALFABANQUE SA","ALPBFRP1","base.fr"
"bank_fr_alfifrp1","ALFI GESTION","ALFIFRP1","base.fr"
"bank_fr_aliofr21","ALICO","ALIOFR21","base.fr"
"bank_fr_altpfr21","ALIENOR CAPITAL","ALTPFR21","base.fr"
"bank_fr_alpgfrp1","ALIS CAPITAL MANAGEMENT","ALPGFRP1","base.fr"
"bank_fr_alztfrp1","ALIZE TRADING","ALZTFRP1","base.fr"
"bank_fr_alnpfrp1","ALLIANCE ENTREPRENDRE","ALNPFRP1","base.fr"
"bank_fr_aaamfrp1","ALLIANZ ALTERNATIVE ASSET MANAGEMENT SA","AAAMFRP1","base.fr"
"bank_fr_agfbfrpp","ALLIANZ BANQUE S.A.","AGFBFRPP","base.fr"
"bank_fr_allzfrpp","ALLIANZ IARD","ALLZFRPP","base.fr"
"bank_fr_alrbfrp1","ALLIED IRISH BANKS PLC (AIB)","ALRBFRP1","base.fr"
"bank_fr_amaifrp1","ALMA CAPITAL","AMAIFRP1","base.fr"
"bank_fr_almafrp1","ALMA FINANCE SARL","ALMAFRP1","base.fr"
"bank_fr_apesfrp1","ALOE PRIVATE EQUITY SAS","APESFRP1","base.fr"
"bank_fr_apgsfr21","ALPHA GEN SAS","APGSFR21","base.fr"
"bank_fr_aacbfr21","ALSACIENNE DE CREDIT-BAIL IMMOBILIER","AACBFR21","base.fr"
"bank_fr_alsofr21","ALSOLIA","ALSOFR21","base.fr"
"bank_fr_alhofrpp","ALSTOM HOLDINGS","ALHOFRPP","base.fr"
"bank_fr_alsyfrpp","ALSYON TECHNOLOGIES","ALSYFRPP","base.fr"
"bank_fr_algmfrp1","ALTADIS CIGARS INVESTMENTS","ALGMFRP1","base.fr"
"bank_fr_atsmfrp1","ALTAROCCA ASSET MANAGEMENT","ATSMFRP1","base.fr"
"bank_fr_faltfrp1","ALTAVIA","FALTFRP1","base.fr"
"bank_fr_almufr21","ALTEIS MUTUELLES GROUPEMENT D'INTERET ECONOMIQUE","ALMUFR21","base.fr"
"bank_fr_altnfrpp","ALTEN SA","ALTNFRPP","base.fr"
"bank_fr_aliifrp1","ALTER FINANCE CAPITAL SAS","ALIIFRP1","base.fr"
"bank_fr_altzfr21","ALTERGAZ","ALTZFR21","base.fr"
"bank_fr_aldvfrp1","ALTERNATIVE AND DERIVATIVE INVESTMENTS","ALDVFRP1","base.fr"
"bank_fr_agiffrp1","ALTERNATIVE LEADERS FRANCE","AGIFFRP1","base.fr"
"bank_fr_alaufr21","ALTIMA ASSURANCE","ALAUFR21","base.fr"
"bank_fr_altmfrp1","ALTIMEO AM","ALTMFRP1","base.fr"
"bank_fr_aamrfrp1","ALTIVIE ASSET MANAGEMENT DU GROUPE ALTIVIE SA","AAMRFRP1","base.fr"
"bank_fr_alnnfrp1","ALTO INVEST SA","ALNNFRP1","base.fr"
"bank_fr_alrafr22","ALTRAD INVESTMENT AUTHORITY","ALRAFR22","base.fr"
"bank_fr_gmtsfrp1","ALTRAN TECHNOLOGIES","GMTSFRP1","base.fr"
"bank_fr_altgfrp1","ALTUS FINANCE GESTION","ALTGFRP1","base.fr"
"bank_fr_allrfrp1","ALVEN CAPITAL PARTNERS","ALLRFRP1","base.fr"
"bank_fr_alvtfrpp","ALVEST","ALVTFRPP","base.fr"
"bank_fr_frnnfrp1","AM FRANCE","FRNNFRP1","base.fr"
"bank_fr_amfcfrpp","AM FRANCE","AMFCFRPP","base.fr"
"bank_fr_amaefrp1","AMADEIS","AMAEFRP1","base.fr"
"bank_fr_amsmfrp1","AMAIKA ASSET MANAGEMENT","AMSMFRP1","base.fr"
"bank_fr_amsafrp1","AMILTON ASSET MANAGEMENT","AMSAFRP1","base.fr"
"bank_fr_amgefrp1","AMIRAL GESTION","AMGEFRP1","base.fr"
"bank_fr_amplfrp1","AMPLEGEST","AMPLFRP1","base.fr"
"bank_fr_amgsfrp1","AMPLEO GESTION","AMGSFRP1","base.fr"
"bank_fr_amaufr21","AMT ASSURANCES","AMAUFR21","base.fr"
"bank_fr_agrifrpi","AMUNDI","AGRIFRPI","base.fr"
"bank_fr_aanafrp1","AMUNDI ALTERNATIVE INVESTMENTS SAS","AANAFRP1","base.fr"
"bank_fr_apeffrp1","AMUNDI PRIVATE EQUITY FUNDS","APEFFRP1","base.fr"
"bank_fr_crllfrp1","AMUNDI TENUE DE COMPTES","CRLLFRP1","base.fr"
"bank_fr_anagfrp1","ANAXIS ASSET MANAGEMENT","ANAGFRP1","base.fr"
"bank_fr_ammufrp1","ANCIENNE MAISON MARCEL BAUCHE SA","AMMUFRP1","base.fr"
"bank_fr_antufrp1","ANTARIUS SA","ANTUFRP1","base.fr"
"bank_fr_antrfrp1","ANTEIS EPARGNE SA","ANTRFRP1","base.fr"
"bank_fr_anenfr21","ANTENOR","ANENFR21","base.fr"
"bank_fr_anthfrp1","ANTHIUM FINANCE","ANTHFRP1","base.fr"
"bank_fr_antnfrp1","ANTIN BAIL SA","ANTNFRP1","base.fr"
"bank_fr_abtpfrp1","APAS BATIMENT TRAVAUX PUBLICS","ABTPFRP1","base.fr"
"bank_fr_apeifr21","APEI","APEIFR21","base.fr"
"bank_fr_apigfr22","APICIL GESTION","APIGFR22","base.fr"
"bank_fr_apigfrp1","APICIL GESTION","APIGFRP1","base.fr"
"bank_fr_apogfrp1","APOGE","APOGFRP1","base.fr"
"bank_fr_apdifrp1","APREP DIFFUSION SAS","APDIFRP1","base.fr"
"bank_fr_aprefr21","APREVA","APREFR21","base.fr"
"bank_fr_apasfr21","APRIL ASSURANCES SA","APASFR21","base.fr"
"bank_fr_apdvfr21","APRIL DEVELOPPEMENT","APDVFR21","base.fr"
"bank_fr_aglafr21","APRIL MARKETING SOLUTIONS SA","AGLAFR21","base.fr"
"bank_fr_apsnfrp1","APRIL SOLUTIONS ENTREPRISES SA","APSNFRP1","base.fr"
"bank_fr_apaefr21","APRIONIS ASSURANCES DE PERSONNES","APAEFR21","base.fr"
"bank_fr_aptgfr22","APTARGROUP HOLDING SAS","APTGFR22","base.fr"
"bank_fr_aqobfrp1","AQOBA EP","AQOBFRP1","base.fr"
"bank_fr_ariifrp1","ARABELLE INVESTISSEMENTS","ARIIFRP1","base.fr"
"bank_fr_arctfr21","ARC INTERNATIONAL","ARCTFR21","base.fr"
"bank_fr_arpafr21","ARCA - BANQUE DU PAYS BASQUE SA","ARPAFR21","base.fr"
"bank_fr_arcefrp1","ARCALIS ACTIF GENERAL LA POSTE","ARCEFRP1","base.fr"
"bank_fr_usinfrpp","ARCELORMITTAL TREASURY SNC","USINFRPP","base.fr"
"bank_fr_ahsafr21","ARCHIMED SAS","AHSAFR21","base.fr"
"bank_fr_ardofrp1","AREAS DOMMAGES","ARDOFRP1","base.fr"
"bank_fr_arevfrpp","AREVA SA","AREVFRPP","base.fr"
"bank_fr_arfnfrp1","ARFINCO SAS","ARFNFRP1","base.fr"
"bank_fr_aroffrp1","ARGOS SODITIC FRANCE","AROFFRP1","base.fr"
"bank_fr_argofrp1","ARGOVIE SOCIETE ANONYME","ARGOFRP1","base.fr"
"bank_fr_aracfr21","ARIAL ASSURANCE","ARACFR21","base.fr"
"bank_fr_arnnfr21","ARIANESPACE S.A","ARNNFR21","base.fr"
"bank_fr_arnnfr22","ARIANESPACE S.A","ARNNFR22","base.fr"
"bank_fr_aiisfrp1","ARIS","AIISFRP1","base.fr"
"bank_fr_arjifrp1","ARJIL SOCIETE PAR ACTIONS SIMPLIFIEE","ARJIFRP1","base.fr"
"bank_fr_arpgfr21","ARKEA CAPITAL GESTION","ARPGFR21","base.fr"
"bank_fr_arkefr22","ARKEMA","ARKEFR22","base.fr"
"bank_fr_arfcfrp1","ARKEON FINANCE SOCIETE ANONYME","ARFCFRP1","base.fr"
"bank_fr_arfifrp1","ARPEGE FINANCES SOCIETE ANONYME","ARFIFRP1","base.fr"
"bank_fr_arccfrp1","ARRCO","ARCCFRP1","base.fr"
"bank_fr_arrofrp1","ARROCHE","ARROFRP1","base.fr"
"bank_fr_grsrfr22","ART ET TECHNIQUES DU PROGRES","GRSRFR22","base.fr"
"bank_fr_arfrfrp1","ARTE FRANCE","ARFRFRP1","base.fr"
"bank_fr_aralfr21","ARTESIA BAIL SA","ARALFR21","base.fr"
"bank_fr_arslfrp1","ARVALIS INSTITUT DU VEGETAL","ARSLFRP1","base.fr"
"bank_fr_asfcfr21","ASCOT FINANCE","ASFCFR21","base.fr"
"bank_fr_acpgfrp1","ASF COMPTE PIVOT GROUPE ASF","ACPGFRP1","base.fr"
"bank_fr_aaadfrp1","ASSET ALLOCATION ADVISORS SA","AAADFRP1","base.fr"
"bank_fr_asmsfr21","ASSETFI MANAGEMENT SERVICES","ASMSFR21","base.fr"
"bank_fr_aeddfrp1","ASSOC EURO D'AUTOROUTES ET D'OUVRAGES A PEAGES","AEDDFRP1","base.fr"
"bank_fr_acclfrp1","ASSOCIATES COMMERCIAL CORPO LOCAVIA SAS","ACCLFRP1","base.fr"
"bank_fr_aaagfrp1","ASSOCIATION ADMINISTRATIVE AGRR","AAAGFRP1","base.fr"
"bank_fr_gmagfrp1","ASSOCIATION DE GESTION DU GROUPE MEDERIC","GMAGFRP1","base.fr"
"bank_fr_amacfrpp","ASSOCIATION DE MOYENS ASSURANCES","AMACFRPP","base.fr"
"bank_fr_amrtfrpp","ASSOCIATION DE MOYENS RETRAITE","AMRTFRPP","base.fr"
"bank_fr_asddfr21","ASSOCIATION DIOCESAINE D'ORLEANS","ASDDFR21","base.fr"
"bank_fr_adbofr21","ASSOCIATION DIOCESAINE DE BOURGES","ADBOFR21","base.fr"
"bank_fr_asdofr21","ASSOCIATION DIOCESAINE DE SOISSONS","ASDOFR21","base.fr"
"bank_fr_adpvfr21","ASSOCIATION DIOCESAINE DU PUY EN VELAY","ADPVFR21","base.fr"
"bank_fr_andpfrp1","ASSOCIATION NATIONALE D'ENTRAIDE ET DE PREVOYANCE","ANDPFRP1","base.fr"
"bank_fr_asrcfr21","ASSOCIATION RENOUVEAU CARMF","ASRCFR21","base.fr"
"bank_fr_aspvfrp1","ASSURANCE BANQUE POPULAIRE VIE","ASPVFRP1","base.fr"
"bank_fr_asctfrp1","ASSURANCE DU CREDIT MUTUEL","ASCTFRP1","base.fr"
"bank_fr_mumofr21","ASSURANCE MUTUELLE DES MOTARDS","MUMOFR21","base.fr"
"bank_fr_asprfr21","ASSURANCES BANQUE POPULAIRE IARD","ASPRFR21","base.fr"
"bank_fr_asarfr21","ASSURANCES CARREFOUR","ASARFR21","base.fr"
"bank_fr_acunfr21","ASSURANCES CREDIT MUTUEL NORD IARD","ACUNFR21","base.fr"
"bank_fr_acmdfrp1","ASSURANCES CREDIT MUTUEL NORD VIE","ACMDFRP1","base.fr"
"bank_fr_gsarfr21","ASSURATOME","GSARFR21","base.fr"
"bank_fr_asslfrp1","ASSURBAIL SA","ASSLFRP1","base.fr"
"bank_fr_asurfr21","ASSURVAL SOCIETE A RESPONSABILITE LIMITEE","ASURFR21","base.fr"
"bank_fr_assyfrpp","ASSYSTEM","ASSYFRPP","base.fr"
"bank_fr_asgefrp1","ASTRIA GESTION","ASGEFRP1","base.fr"
"bank_fr_ansafrp1","ATALANTE SAS","ANSAFRP1","base.fr"
"bank_fr_atlnfrpp","ATALIAN","ATLNFRPP","base.fr"
"bank_fr_atgefrp1","ATHYMIS GESTION","ATGEFRP1","base.fr"
"bank_fr_awfmfrp1","ATOS WORLDLINE FINANCIAL MARKETS","AWFMFRP1","base.fr"
"bank_fr_bcmafrpp","ATTIJARIWAFA BANK EUROPE-PARIS","BCMAFRPP","base.fr"
"bank_fr_aulofrp1","AUBOYNEAU, LABOURET, OLLIVIER S.A.","AULOFRP1","base.fr"
"bank_fr_audefr21","AUDIENS","AUDEFR21","base.fr"
"bank_fr_aueffr21","AUDIOVISUEL EXTERIEUR DE LA FRANCE","AUEFFR21","base.fr"
"bank_fr_aulsfrp1","AUREL BGC","AULSFRP1","base.fr"
"bank_fr_aulsfrp2","AUREL BGC","AULSFRP2","base.fr"
"bank_fr_aummfrp1","AUREL MONEY MARKET SNC","AUMMFRP1","base.fr"
"bank_fr_aupafrp1","AURIGA PARTNERS","AUPAFRP1","base.fr"
"bank_fr_augpfrp1","AURIS GESTION","AUGPFRP1","base.fr"
"bank_fr_anzbfrpp","AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED","ANZBFRPP","base.fr"
"bank_fr_ausffrp1","AUTOROUTES DU SUD DE LA FRANCE SA","AUSFFRP1","base.fr"
"bank_fr_augefr21","AUXENSE GESTION","AUGEFR21","base.fr"
"bank_fr_auxbfrp1","AUXIA IMMOBILIER","AUXBFRP1","base.fr"
"bank_fr_auxffrp1","AUXIFIJP","AUXFFRP1","base.fr"
"bank_fr_auxpfr21","AUXIFIP","AUXPFR21","base.fr"
"bank_fr_avagfr21","AVENIR AGRO","AVAGFR21","base.fr"
"bank_fr_avfgfr21","AVENIR FINANCE GESTION SA","AVFGFR21","base.fr"
"bank_fr_afiafrp1","AVENIR FINANCE INVESTMENT MANAGERS SA","AFIAFRP1","base.fr"
"bank_fr_avlifr21","AVIP LILLE","AVLIFR21","base.fr"
"bank_fr_avcofr21","AVIVA COURTAGE","AVCOFR21","base.fr"
"bank_fr_avdifr21","AVIVA DIRECT","AVDIFR21","base.fr"
"bank_fr_avgafrp1","AVIVA GESTION D'ACTIFS SA","AVGAFRP1","base.fr"
"bank_fr_avvifr21","AVIVA VIE-SOCIETE ANONYME D'ASSURANCES VIE ET DE CAPITALISATION","AVVIFR21","base.fr"
"bank_fr_awfafrp1","AWF","AWFAFRP1","base.fr"
"bank_fr_axabfr21","AXA BANK EUROPE SCF","AXABFR21","base.fr"
"bank_fr_axfifrpp","AXA BANQUE FINANCEMENT","AXFIFRPP","base.fr"
"bank_fr_axfifr21","AXA BANQUE FINANCEMENT","AXFIFR21","base.fr"
"bank_fr_axcofrp1","AXA COURTAGE GROUPEMENT D'INTERET ECONOMIQUE","AXCOFRP1","base.fr"
"bank_fr_axcrfrp1","AXA CREDIT","AXCRFRP1","base.fr"
"bank_fr_axeefrp1","AXA EPARGNE ENTREPRISE SA","AXEEFRP1","base.fr"
"bank_fr_axfffrp1","AXA FRANCE FINANCE","AXFFFRP1","base.fr"
"bank_fr_axaffrpa","AXA FRANCE VIE","AXAFFRPA","base.fr"
"bank_fr_axfvfrp1","AXA FRANCE VIE SA","AXFVFRP1","base.fr"
"bank_fr_axiefr21","AXA INVESTMENT MANAGERS IF","AXIEFR21","base.fr"
"bank_fr_axigfrp1","AXA INVESTMENT MANAGERS PARIS SA","AXIGFRP1","base.fr"
"bank_fr_aimefrp1","AXA INVESTMENT MANAGERS PRIVATE EQUITY EUROPE","AIMEFRP1","base.fr"
"bank_fr_axpmfrp1","AXA PRIVATE MANAGEMENT","AXPMFRP1","base.fr"
"bank_fr_axarfr21","AXA REIM SGP","AXARFR21","base.fr"
"bank_fr_axltfrpp","AXELTIS SA","AXLTFRPP","base.fr"
"bank_fr_axrlfr22","AXEREAL FINANCES","AXRLFR22","base.fr"
"bank_fr_axirfr21","AXERIA IARD","AXIRFR21","base.fr"
"bank_fr_axprfr21","AXERIA PREVOYANCE","AXPRFR21","base.fr"
"bank_fr_axvifrp1","AXERIA VIE","AXVIFRP1","base.fr"
"bank_fr_scixfr21","AXIALIM","SCIXFR21","base.fr"
"bank_fr_axiofrp1","AXIOM ALTERNATIVE INVESTMENTS","AXIOFRP1","base.fr"
"bank_fr_azurfr21","AZUR - FINANCES","AZURFR21","base.fr"
"bank_fr_agmafrp1","AZUR-GMF MUTUELLES D'ASSURANCES ASSOCIEES SA","AGMAFRP1","base.fr"
"bank_fr_cpptfrp1","B SA","CPPTFRP1","base.fr"
"bank_fr_bfctfrp1","B.F.T. COURT TERME S.I.C.A.V","BFCTFRP1","base.fr"
"bank_fr_bmabfrp1","B.M.A. - BANQUE DE MARCHES ET D'ARBITRAGE SA","BMABFRP1","base.fr"
"bank_fr_btvpfrp1","B2V","BTVPFRP1","base.fr"
"bank_fr_bcfifrp1","BACHE COMMODITIES LIMITED","BCFIFRP1","base.fr"
"bank_fr_baaufr21","BADENIA BAUSPARKASSE AG","BAAUFR21","base.fr"
"bank_fr_baiifr22","BAI SA","BAIIFR22","base.fr"
"bank_fr_batlfr21","BAIL ACTEA SA","BATLFR21","base.fr"
"bank_fr_bapofr21","BAIL BANQUE POPULAIRE","BAPOFR21","base.fr"
"bank_fr_baenfrp1","BAIL ECONOMIE","BAENFRP1","base.fr"
"bank_fr_baeifrp1","BAIL ECUREUIL","BAEIFRP1","base.fr"
"bank_fr_baepfr21","BAIL ENTREPRISES SOCIETE PAR ACTIONS SIMPLIFIEE","BAEPFR21","base.fr"
