"Referentiecode";"Referentienummer";"Omschrijving";"D/C";"Niveau";"ReferentieOmslagcode";"Wijziging"
"BIvaKooVvpOvm";"0102010.07";"Overige mutaties kosten van onderzoek en ontwikkeling";"D";5;;
"BIvaKooCae";"0102020";"Cumulatieve afschrijvingen en waardeverminderingen kosten van onderzoek en ontwikkeling";"C";4;;
"BIvaKooCaeBeg";"0102020.01";"Beginbalans kosten van onderzoek en ontwikkeling";"C";5;;
"BIvaKooCaeAfs";"0102020.02";"Afschrijvingen kosten van onderzoek en ontwikkeling";"C";5;;
"BIvaKooCaeDca";"0102020.03";"Desinvestering cumulatieve afschrijvingen en waardeverminderingen kosten van onderzoek en ontwikkeling";"D";5;;
"BIvaKooCaeWvr";"0102020.04";"Waardeverminderingen kosten van onderzoek en ontwikkeling";"C";5;;
"BIvaKooCaeTvw";"0102020.05";"Terugneming van waardeverminderingen kosten van onderzoek en ontwikkeling";"D";5;;
"BIvaKooCuh";"0102030";"Cumulatieve herwaarderingen kosten van onderzoek en ontwikkeling";"D";4;;
"BIvaKooCuhBeg";"0102030.01";"Beginbalans kosten van onderzoek en ontwikkeling";"D";5;;
"BIvaKooCuhHer";"0102030.02";"Herwaarderingen kosten van onderzoek en ontwikkeling";"D";5;;
"BIvaKooCuhAfh";"0102030.03";"Afschrijving herwaarderingen kosten van onderzoek en ontwikkeling";"C";5;;
"BIvaKooCuhDeh";"0102030.04";"Desinvestering herwaarderingen kosten van onderzoek en ontwikkeling";"C";5;;
"BIvaSof";"0103000";"Software";"D";3;;
"BIvaSofVvp";"0103010";"Verkrijgings- of vervaardigingsprijs software";"D";4;;
"BIvaSofVvpBeg";"0103010.01";"Beginbalans software";"D";5;;
"BIvaSofVvpInv";"0103010.02";"Investeringen software";"D";5;;
"BIvaSofVvpAdo";"0103010.03";"Aankopen door overnames software";"D";5;;
"BIvaSofVvpDes";"0103010.04";"Desinvesteringen software";"C";5;;
"BIvaSofVvpDda";"0103010.05";"Desinvesteringen door afstotingen software";"C";5;;
"BIvaSofVvpOmv";"0103010.06";"Omrekeningsverschillen software";"D";5;;
"BIvaSofVvpOvm";"0103010.07";"Overige mutaties software";"D";5;;
"BIvaSofCae";"0103020";"Cumulatieve afschrijvingen en waardeverminderingen software";"C";4;;
"BIvaSofCaeBeg";"0103020.01";"Beginbalans software";"C";5;;
"BIvaSofCaeAfs";"0103020.02";"Afschrijvingen software";"C";5;;
"BIvaSofCaeDca";"0103020.03";"Desinvestering cumulatieve afschrijvingen en waardeverminderingen software";"D";5;;
"BIvaSofCaeWvr";"0103020.04";"Waardeverminderingen software";"C";5;;
"BIvaSofCaeTvw";"0103020.05";"Terugneming van waardeverminderingen software";"D";5;;
"BIvaSofCuh";"0103030";"Cumulatieve herwaarderingen software";"D";4;;
"BIvaSofCuhBeg";"0103030.01";"Beginbalans software";"D";5;;
"BIvaSofCuhHer";"0103030.02";"Herwaarderingen software";"D";5;;
"BIvaSofCuhAfh";"0103030.03";"Afschrijving herwaarderingen software";"C";5;;
"BIvaSofCuhDeh";"0103030.04";"Desinvestering herwaarderingen software";"C";5;;
"BIvaOie";"0104000";"Overig intellectueel eigendom";"D";3;;
"BIvaOieVvp";"0104010";"Verkrijgings- of vervaardigingsprijs overig intellectueel eigendom";"D";4;;
"BIvaOieVvpBeg";"0104010.01";"Beginbalans overig intellectueel eigendom";"D";5;;
"BIvaOieVvpInv";"0104010.02";"Investeringen overig intellectueel eigendom";"D";5;;
"BIvaOieVvpAdo";"0104010.03";"Aankopen door overnames overig intellectueel eigendom";"D";5;;
"BIvaOieVvpDes";"0104010.04";"Desinvesteringen overig intellectueel eigendom";"C";5;;
"BIvaOieVvpDda";"0104010.05";"Desinvesteringen door afstotingen overig intellectueel eigendom";"C";5;;
"BIvaOieVvpOmv";"0104010.06";"Omrekeningsverschillen overig intellectueel eigendom";"D";5;;
"BIvaOieVvpOvm";"0104010.07";"Overige mutaties overig intellectueel eigendom";"D";5;;
"BIvaOieCae";"0104020";"Cumulatieve afschrijvingen en waardeverminderingen overig intellectueel eigendom";"C";4;;
"BIvaOieCaeBeg";"0104020.01";"Beginbalans overig intellectueel eigendom";"C";5;;
"BIvaOieCaeAfs";"0104020.02";"Afschrijvingen overig intellectueel eigendom";"C";5;;
"BIvaOieCaeDca";"0104020.03";"Desinvestering cumulatieve afschrijvingen en waardeverminderingen overig intellectueel eigendom";"D";5;;
"BIvaOieCaeWvr";"0104020.04";"Waardeverminderingen overig intellectueel eigendom";"C";5;;
"BIvaOieCaeTvw";"0104020.05";"Terugneming van waardeverminderingen overig intellectueel eigendom";"D";5;;
"BIvaOieCuh";"0104030";"Cumulatieve herwaarderingen overig intellectueel eigendom";"D";4;;
"BIvaOieCuhBeg";"0104030.01";"Beginbalans overig intellectueel eigendom";"D";5;;
"BIvaOieCuhHer";"0104030.02";"Herwaarderingen overig intellectueel eigendom";"D";5;;
"BIvaOieCuhAfh";"0104030.03";"Afschrijving herwaarderingen overig intellectueel eigendom";"C";5;;
"BIvaOieCuhDeh";"0104030.04";"Desinvestering herwaarderingen overig intellectueel eigendom";"C";5;;
"BIvaBou";"0105000";"Bouwclaims";"D";3;;
"BIvaBouVvp";"0105010";"Verkrijgings- of vervaardigingsprijs bouwclaims";"D";4;;
"BIvaBouVvpBeg";"0105010.01";"Beginbalans bouwclaims";"D";5;;
"BIvaBouVvpInv";"0105010.02";"Investeringen bouwclaims";"D";5;;
"BIvaBouVvpAdo";"0105010.03";"Aankopen door overnames bouwclaims";"D";5;;
"BIvaBouVvpDes";"0105010.04";"Desinvesteringen bouwclaims";"C";5;;
"BIvaBouVvpDda";"0105010.05";"Desinvesteringen door afstotingen bouwclaims";"C";5;;
"BIvaBouVvpOmv";"0105010.06";"Omrekeningsverschillen bouwclaims";"D";5;;
"BIvaBouVvpOvm";"0105010.07";"Overige mutaties bouwclaims";"D";5;;
"BIvaBouCae";"0105020";"Cumulatieve afschrijvingen en waardeverminderingen bouwclaims";"C";4;;
"BIvaBouCaeBeg";"0105020.01";"Beginbalans bouwclaims";"C";5;;
"BIvaBouCaeAfs";"0105020.02";"Afschrijvingen bouwclaims";"C";5;;
"BIvaBouCaeDca";"0105020.03";"Desinvestering cumulatieve afschrijvingen en waardeverminderingen bouwclaims";"D";5;;
"BIvaBouCaeWvr";"0105020.04";"Waardeverminderingen bouwclaims";"C";5;;
"BIvaBouCaeTvw";"0105020.05";"Terugneming van waardeverminderingen bouwclaims";"D";5;;
"BIvaBouCuh";"0105030";"Cumulatieve herwaarderingen bouwclaims";"D";4;;
"BIvaBouCuhBeg";"0105030.01";"Beginbalans bouwclaims";"D";5;;
"BIvaBouCuhHer";"0105030.02";"Herwaarderingen bouwclaims";"D";5;;
"BIvaBouCuhAfh";"0105030.03";"Afschrijving herwaarderingen bouwclaims";"C";5;;
"BIvaBouCuhDeh";"0105030.04";"Desinvestering herwaarderingen bouwclaims";"C";5;;
"BIvaCev";"0106000";"Concessies en vergunningen";"D";3;;
"BIvaCevVvp";"0106010";"Verkrijgings- of vervaardigingsprijs concessies en vergunningen";"D";4;;
"BIvaCevVvpBeg";"0106010.01";"Beginbalans concessies en vergunningen";"D";5;;
"BIvaCevVvpInv";"0106010.02";"Investeringen concessies en vergunningen";"D";5;;
"BIvaCevVvpAdo";"0106010.03";"Aankopen door overnames concessies en vergunningen";"D";5;;
"BIvaCevVvpDes";"0106010.04";"Desinvesteringen concessies en vergunningen";"C";5;;
"BIvaCevVvpDda";"0106010.05";"Desinvesteringen door afstotingen concessies en vergunningen";"C";5;;
"BIvaCevVvpOmv";"0106010.06";"Omrekeningsverschillen concessies en vergunningen";"D";5;;
"BIvaCevVvpOvm";"0106010.07";"Overige mutaties concessies en vergunningen";"D";5;;
"BIvaCevCae";"0106020";"Cumulatieve afschrijvingen en waardeverminderingen concessies en vergunningen";"C";4;;
"BIvaCevCaeBeg";"0106020.01";"Beginbalans concessies en vergunningen";"C";5;;
"BIvaCevCaeAfs";"0106020.02";"Afschrijvingen concessies en vergunningen";"C";5;;
"BIvaCevCaeDca";"0106020.03";"Desinvestering cumulatieve afschrijvingen en waardeverminderingen concessies en vergunningen";"D";5;;
"BIvaCevCaeWvr";"0106020.04";"Waardeverminderingen concessies en vergunningen";"C";5;;
"BIvaCevCaeTvw";"0106020.05";"Terugneming van waardeverminderingen concessies en vergunningen";"D";5;;
"BIvaCevCuh";"0106030";"Cumulatieve herwaarderingen concessies en vergunningen";"D";4;;
"BIvaCevCuhBeg";"0106030.01";"Beginbalans concessies en vergunningen";"D";5;;
"BIvaCevCuhHer";"0106030.02";"Herwaarderingen concessies en vergunningen";"D";5;;
"BIvaCevCuhAfh";"0106030.03";"Afschrijving herwaarderingen concessies en vergunningen";"C";5;;
"BIvaCevCuhDeh";"0106030.04";"Desinvestering herwaarderingen concessies en vergunningen";"C";5;;
"BIvaGoo";"0107000";"Goodwill";"D";3;;
"BIvaGooVvp";"0107010";"Verkrijgings- of vervaardigingsprijs goodwill";"D";4;;
"BIvaGooVvpBeg";"0107010.01";"Beginbalans goodwill";"D";5;;
"BIvaGooVvpInv";"0107010.02";"Investeringen goodwill";"D";5;;
"BIvaGooVvpAdo";"0107010.03";"Aankopen door overnames goodwill";"D";5;;
"BIvaGooVvpDes";"0107010.04";"Desinvesteringen goodwill";"C";5;;
"BIvaGooVvpDda";"0107010.05";"Desinvesteringen door afstotingen goodwill";"C";5;;
"BIvaGooVvpOmv";"0107010.06";"Omrekeningsverschillen goodwill";"D";5;;
"BIvaGooVvpOvm";"0107010.07";"Overige mutaties goodwill";"D";5;;
"BIvaGooCae";"0107020";"Cumulatieve afschrijvingen en waardeverminderingen goodwill";"C";4;;
"BIvaGooCaeBeg";"0107020.01";"Beginbalans goodwill";"C";5;;
"BIvaGooCaeAfs";"0107020.02";"Afschrijvingen goodwill";"C";5;;
"BIvaGooCaeDca";"0107020.03";"Desinvestering cumulatieve afschrijvingen en waardeverminderingen goodwill";"D";5;;
"BIvaGooCaeWvr";"0107020.04";"Waardeverminderingen goodwill";"C";5;;
"BIvaGooCaeTvw";"0107020.05";"Terugneming van waardeverminderingen goodwill";"D";5;;
"BIvaGooCuh";"0107030";"Cumulatieve herwaarderingen goodwill";"D";4;;
"BIvaGooCuhBeg";"0107030.01";"Beginbalans goodwill";"D";5;;
"BIvaGooCuhHer";"0107030.02";"Herwaarderingen goodwill";"D";5;;
"BIvaGooCuhAfh";"0107030.03";"Afschrijving herwaarderingen goodwill";"C";5;;
"BIvaGooCuhDeh";"0107030.04";"Desinvestering herwaarderingen goodwill";"C";5;;
"BIvaGue";"0108000";"Goodwill uit eerdere overnames";"D";3;;
"BIvaGueVvp";"0108010";"Verkrijgings- of vervaardigingsprijs goodwill uit eerdere overnames";"D";4;;
"BIvaGueVvpBeg";"0108010.01";"Beginbalans goodwill uit eerdere overnames";"D";5;;
"BIvaGueVvpInv";"0108010.02";"Investeringen goodwill uit eerdere overnames";"D";5;;
"BIvaGueVvpAdo";"0108010.03";"Aankopen door overnames goodwill uit eerdere overnames";"D";5;;
"BIvaGueVvpDes";"0108010.04";"Desinvesteringen goodwill uit eerdere overnames";"C";5;;
"BIvaGueVvpDda";"0108010.05";"Desinvesteringen door afstotingen goodwill uit eerdere overnames";"C";5;;
"BIvaGueVvpOmv";"0108010.06";"Omrekeningsverschillen goodwill uit eerdere overnames";"D";5;;
"BIvaGueVvpOvm";"0108010.07";"Overige mutaties goodwill uit eerdere overnames";"D";5;;
"BIvaGueCae";"0108020";"Cumulatieve afschrijvingen en waardeverminderingen goodwill uit eerdere overnames";"C";4;;
"BIvaGueCaeBeg";"0108020.01";"Beginbalans goodwill uit eerdere overnames";"C";5;;
"BIvaGueCaeAfs";"0108020.02";"Afschrijvingen goodwill uit eerdere overnames";"C";5;;
"BIvaGueCaeDca";"0108020.03";"Desinvestering cumulatieve afschrijvingen en waardeverminderingen goodwill uit eerdere overnames";"D";5;;
"BIvaGueCaeWvr";"0108020.04";"Waardeverminderingen goodwill uit eerdere overnames";"C";5;;
"BIvaGueCaeTvw";"0108020.05";"Terugneming van waardeverminderingen goodwill uit eerdere overnames";"D";5;;
"BIvaGueCuh";"0108030";"Cumulatieve herwaarderingen goodwill uit eerdere overnames";"D";4;;
"BIvaGueCuhBeg";"0108030.01";"Beginbalans goodwill uit eerdere overnames";"D";5;;
"BIvaGueCuhHer";"0108030.02";"Herwaarderingen goodwill uit eerdere overnames";"D";5;;
"BIvaGueCuhAfh";"0108030.03";"Afschrijving herwaarderingen goodwill uit eerdere overnames";"C";5;;
"BIvaGueCuhDeh";"0108030.04";"Desinvestering herwaarderingen goodwill uit eerdere overnames";"C";5;;
"BIvaVoi";"0109000";"Vooruitbetaald op immateriële vaste activa";"D";3;;
"BIvaVoiVvp";"0109010";"Verkrijgings- of vervaardigingsprijs vooruitbetaald op immateriële vaste activa";"D";4;;
"BIvaVoiVvpBeg";"0109010.01";"Beginbalans vooruitbetaald op immateriële vaste activa";"D";5;;
"BIvaVoiVvpInv";"0109010.02";"Investeringen vooruitbetaald op immateriële vaste activa";"D";5;;
"BIvaVoiVvpAdo";"0109010.03";"Aankopen door overnames vooruitbetaald op immateriële vaste activa";"D";5;;
"BIvaVoiVvpDes";"0109010.04";"Desinvesteringen vooruitbetaald op immateriële vaste activa";"C";5;;
"BIvaVoiVvpDda";"0109010.05";"Desinvesteringen door afstotingen vooruitbetaald op immateriële vaste activa";"C";5;;
"BIvaVoiVvpOmv";"0109010.06";"Omrekeningsverschillen vooruitbetaald op immateriële vaste activa";"D";5;;
"BIvaVoiVvpOvm";"0109010.07";"Overige mutaties vooruitbetaald op immateriële vaste activa";"D";5;;
"BIvaVoiCae";"0109020";"Cumulatieve afschrijvingen en waardeverminderingen vooruitbetaald op immateriële vaste activa";"C";4;;
"BIvaVoiCaeBeg";"0109020.01";"Beginbalans vooruitbetaald op immateriële vaste activa";"C";5;;
"BIvaVoiCaeAfs";"0109020.02";"Afschrijvingen vooruitbetaald op immateriële vaste activa";"C";5;;
"BIvaVoiCaeDca";"0109020.03";"Desinvestering cumulatieve afschrijvingen en waardeverminderingen vooruitbetaald op immateriële vaste activa";"D";5;;
"BIvaVoiCaeWvr";"0109020.04";"Waardeverminderingen vooruitbetaald op immateriële vaste activa";"C";5;;
"BIvaVoiCaeTvw";"0109020.05";"Terugneming van waardeverminderingen vooruitbetaald op immateriële vaste activa";"D";5;;
"BIvaVoiCuh";"0109030";"Cumulatieve herwaarderingen vooruitbetaald op immateriële vaste activa";"D";4;;
"BIvaVoiCuhBeg";"0109030.01";"Beginbalans vooruitbetaald op immateriële vaste activa";"D";5;;
"BIvaVoiCuhHer";"0109030.02";"Herwaarderingen vooruitbetaald op immateriële vaste activa";"D";5;;
"BIvaVoiCuhAfh";"0109030.03";"Afschrijving herwaarderingen vooruitbetaald op immateriële vaste activa";"C";5;;
"BIvaVoiCuhDeh";"0109030.04";"Desinvestering herwaarderingen vooruitbetaald op immateriële vaste activa";"C";5;;
"BIvaOiv";"0110000";"Overige immateriële vaste activa";"D";3;;
"BIvaOivVvp";"0110010";"Verkrijgings- of vervaardigingsprijs overige immateriële vaste activa";"D";4;;
"BIvaOivVvpBeg";"0110010.01";"Beginbalans overige immateriële vaste activa";"D";5;;
"BIvaOivVvpInv";"0110010.02";"Investeringen overige immateriële vaste activa";"D";5;;
"BIvaOivVvpAdo";"0110010.03";"Aankopen door overnames overige immateriële vaste activa";"D";5;;
"BIvaOivVvpDes";"0110010.04";"Desinvesteringen overige immateriële vaste activa";"C";5;;
"BIvaOivVvpDda";"0110010.05";"Desinvesteringen door afstotingen overige immateriële vaste activa";"C";5;;
"BIvaOivVvpOmv";"0110010.06";"Omrekeningsverschillen overige immateriële vaste activa";"D";5;;
"BIvaOivVvpOvm";"0110010.07";"Overige mutaties overige immateriële vaste activa";"D";5;;
"BIvaOivCae";"0110020";"Cumulatieve afschrijvingen en waardeverminderingen overige immateriële vaste activa";"C";4;;
"BIvaOivCaeBeg";"0110020.01";"Beginbalans overige immateriële vaste activa";"C";5;;
"BIvaOivCaeAfs";"0110020.02";"Afschrijvingen overige immateriële vaste activa";"C";5;;
"BIvaOivCaeDca";"0110020.03";"Desinvestering cumulatieve afschrijvingen en waardeverminderingen overige immateriële vaste activa";"D";5;;
"BIvaOivCaeWvr";"0110020.04";"Waardeverminderingen overige immateriële vaste activa";"C";5;;
"BIvaOivCaeTvw";"0110020.05";"Terugneming van waardeverminderingen overige immateriële vaste activa";"D";5;;
"BIvaOivCuh";"0110030";"Cumulatieve herwaarderingen overige immateriële vaste activa";"D";4;;
"BIvaOivCuhBeg";"0110030.01";"Beginbalans overige immateriële vaste activa";"D";5;;
"BIvaOivCuhHer";"0110030.02";"Herwaarderingen overige immateriële vaste activa";"D";5;;
"BIvaOivCuhAfh";"0110030.03";"Afschrijving herwaarderingen overige immateriële vaste activa";"C";5;;
"BIvaOivCuhDeh";"0110030.04";"Desinvestering herwaarderingen overige immateriële vaste activa";"C";5;;
"BMva";;"MATERIËLE VASTE ACTIVA";"D";2;;
"BMvaTer";"0201000";"Terreinen";"D";3;;
"BMvaTerVvp";"0201010";"Verkrijgings- of vervaardigingsprijs terreinen";"D";4;;
"BMvaTerVvpBeg";"0201010.01";"Beginbalans terreinen";"D";5;;
"BMvaTerVvpIna";"0201010.02";"Investeringen nieuw aangeschaft terreinen";"D";5;;
"BMvaTerVvpIta";"0201010.03";"Investeringen tweedehands aangeschaft terreinen";"D";5;;
"BMvaTerVvpAdo";"0201010.04";"Aankopen door overnames terreinen";"D";5;;
"BMvaTerVvpDes";"0201010.05";"Desinvesteringen terreinen";"C";5;;
"BMvaTerVvpDda";"0201010.06";"Desinvesteringen door afstotingen terreinen";"C";5;;
"BMvaTerVvpOmv";"0201010.07";"Omrekeningsverschillen terreinen";"D";5;;
"BMvaTerVvpOve";"0201010.08";"Overboekingen terreinen";"D";5;;
"BMvaTerVvpOvm";"0201010.09";"Overige mutaties terreinen";"D";5;;
"BMvaTerCae";"0201020";"Cumulatieve afschrijvingen en waardeverminderingen terreinen";"C";4;;
"BMvaTerCaeBeg";"0201020.01";"Beginbalans terreinen";"C";5;;
"BMvaTerCaeAfs";"0201020.02";"Afschrijvingen terreinen";"C";5;;
"BMvaTerCaeDca";"0201020.03";"Desinvestering cumulatieve afschrijvingen en waardeverminderingen terreinen";"D";5;;
"BMvaTerCaeWvr";"0201020.04";"Waardeverminderingen terreinen";"C";5;;
"BMvaTerCaeTvw";"0201020.05";"Terugneming van waardeverminderingen terreinen";"D";5;;
"BMvaTerCuh";"0201030";"Cumulatieve herwaarderingen terreinen";"D";4;;
"BMvaTerCuhBeg";"0201030.01";"Beginbalans terreinen";"D";5;;
"BMvaTerCuhHer";"0201030.02";"Herwaarderingen terreinen";"D";5;;
"BMvaTerCuhAfh";"0201030.03";"Afschrijving herwaarderingen terreinen";"C";5;;
"BMvaTerCuhDeh";"0201030.04";"Desinvestering herwaarderingen terreinen";"C";5;;
"BMvaBeg";"0202000";"Bedrijfsgebouwen";"D";3;;
"BMvaBegVvp";"0202010";"Verkrijgings- of vervaardigingsprijs bedrijfsgebouwen";"D";4;;
"BMvaBegVvpBeg";"0202010.01";"Beginbalans bedrijfsgebouwen";"D";5;;
"BMvaBegVvpIna";"0202010.02";"Investeringen nieuw aangeschaft bedrijfsgebouwen";"D";5;;
"BMvaBegVvpIta";"0202010.03";"Investeringen tweedehands aangeschaft bedrijfsgebouwen";"D";5;;
"BMvaBegVvpIie";"0202010.04";"Investeringen in eigen beheer vervaardigd bedrijfsgebouwen";"D";5;;
"BMvaBegVvpAdo";"0202010.05";"Aankopen door overnames bedrijfsgebouwen";"D";5;;
"BMvaBegVvpDes";"0202010.06";"Desinvesteringen bedrijfsgebouwen";"C";5;;
"BMvaBegVvpDda";"0202010.07";"Desinvesteringen door afstotingen bedrijfsgebouwen";"C";5;;
"BMvaBegVvpOmv";"0202010.08";"Omrekeningsverschillen bedrijfsgebouwen";"D";5;;
"BMvaBegVvpOve";"0202010.09";"Overboekingen bedrijfsgebouwen";"D";5;;
"BMvaBegVvpOvm";"0202010.10";"Overige mutaties bedrijfsgebouwen";"D";5;;
"BMvaBegCae";"0202020";"Cumulatieve afschrijvingen en waardeverminderingen bedrijfsgebouwen";"C";4;;
"BMvaBegCaeBeg";"0202020.01";"Beginbalans bedrijfsgebouwen";"C";5;;
"BMvaBegCaeAfs";"0202020.02";"Afschrijvingen bedrijfsgebouwen";"C";5;;
"BMvaBegCaeDca";"0202020.03";"Desinvestering cumulatieve afschrijvingen en waardeverminderingen bedrijfsgebouwen";"D";5;;
"BMvaBegCaeWvr";"0202020.04";"Waardeverminderingen bedrijfsgebouwen";"C";5;;
"BMvaBegCaeTvw";"0202020.05";"Terugneming van waardeverminderingen bedrijfsgebouwen";"D";5;;
"BMvaBegCuh";"0202030";"Cumulatieve herwaarderingen bedrijfsgebouwen";"D";4;;
"BMvaBegCuhBeg";"0202030.01";"Beginbalans bedrijfsgebouwen";"D";5;;
"BMvaBegCuhHer";"0202030.02";"Herwaarderingen bedrijfsgebouwen";"D";5;;
"BMvaBegCuhAfh";"0202030.03";"Afschrijving herwaarderingen bedrijfsgebouwen";"C";5;;
"BMvaBegCuhDeh";"0202030.04";"Desinvestering herwaarderingen bedrijfsgebouwen";"C";5;;
"BMvaVer";"0203000";"Verbouwingen";"D";3;;
"BMvaVerVvp";"0203010";"Verkrijgings- of vervaardigingsprijs verbouwingen";"D";4;;
"BMvaVerVvpBeg";"0203010.01";"Beginbalans verbouwingen";"D";5;;
"BMvaVerVvpIna";"0203010.02";"Investeringen nieuw aangeschaft verbouwingen";"D";5;;
"BMvaVerVvpIta";"0203010.03";"Investeringen tweedehands aangeschaft verbouwingen";"D";5;;
"BMvaVerVvpIie";"0203010.04";"Investeringen in eigen beheer vervaardigd verbouwingen";"D";5;;
"BMvaVerVvpAdo";"0203010.05";"Aankopen door overnames verbouwingen";"D";5;;
"BMvaVerVvpDes";"0203010.06";"Desinvesteringen verbouwingen";"C";5;;
"BMvaVerVvpDda";"0203010.07";"Desinvesteringen door afstotingen verbouwingen";"C";5;;
"BMvaVerVvpOmv";"0203010.08";"Omrekeningsverschillen verbouwingen";"D";5;;
"BMvaVerVvpOve";"0203010.09";"Overboekingen verbouwingen";"D";5;;
"BMvaVerVvpOvm";"0203010.10";"Overige mutaties verbouwingen";"D";5;;
"BMvaVerCae";"0203020";"Cumulatieve afschrijvingen en waardeverminderingen verbouwingen";"C";4;;
"BMvaVerCaeBeg";"0203020.01";"Beginbalans verbouwingen";"C";5;;
"BMvaVerCaeAfs";"0203020.02";"Afschrijvingen verbouwingen";"C";5;;
"BMvaVerCaeDca";"0203020.03";"Desinvestering cumulatieve afschrijvingen en waardeverminderingen verbouwingen";"D";5;;
"BMvaVerCaeWvr";"0203020.04";"Waardeverminderingen verbouwingen";"C";5;;
"BMvaVerCaeTvw";"0203020.05";"Terugneming van waardeverminderingen verbouwingen";"D";5;;
"BMvaVerCuh";"0203030";"Cumulatieve herwaarderingen verbouwingen";"D";4;;
"BMvaVerCuhBeg";"0203030.01";"Beginbalans verbouwingen";"D";5;;
"BMvaVerCuhHer";"0203030.02";"Herwaarderingen verbouwingen";"D";5;;
"BMvaVerCuhAfh";"0203030.03";"Afschrijving herwaarderingen verbouwingen";"C";5;;
"BMvaVerCuhDeh";"0203030.04";"Desinvestering herwaarderingen verbouwingen";"C";5;;
"BMvaVio";"0204000";"Vastgoed in ontwikkeling bestemd voor eigen exploitatie";"D";3;;
"BMvaVioVvp";"0204010";"Verkrijgings- of vervaardigingsprijs vastgoed in ontwikkeling bestemd voor eigen exploitatie";"D";4;;
"BMvaVioVvpBeg";"0204010.01";"Beginbalans vastgoed in ontwikkeling bestemd voor eigen exploitatie";"D";5;;
"BMvaVioVvpIna";"0204010.02";"Investeringen nieuw aangeschaft vastgoed in ontwikkeling bestemd voor eigen exploitatie";"D";5;;
"BMvaVioVvpIta";"0204010.03";"Investeringen tweedehands aangeschaft vastgoed in ontwikkeling bestemd voor eigen exploitatie";"D";5;;
"BMvaVioVvpIie";"0204010.04";"Investeringen in eigen beheer vervaardigd vastgoed in ontwikkeling bestemd voor eigen exploitatie";"D";5;;
