"id","name","name@es","name@ca","code","account_type","reconcile","tax_ids","description","description@es","description@ca"
"account_common_600","","","","","","","account_tax_template_p_iva21_bc","","",""
"account_common_601","","","","","","","account_tax_template_p_iva21_bc","","",""
"account_common_602","","","","","","","account_tax_template_p_iva21_bc","","",""
"account_common_607","","","","","","","account_tax_template_p_iva21_sc","","",""
"account_common_620","","","","","","","account_tax_template_p_iva21_sc","","",""
"account_common_621","","","","","","","account_tax_template_p_iva21_sc","","",""
"account_common_622","","","","","","","account_tax_template_p_iva21_sc","","",""
"account_common_623","","","","","","","account_tax_template_p_iva21_sc","","",""
"account_common_6231","","","","","","","account_tax_template_p_iva21_sc","","",""
"account_common_6232","","","","","","","account_tax_template_p_iva21_sc","","",""
"account_common_6233","","","","","","","account_tax_template_p_iva21_sc","","",""
"account_common_624","","","","","","","account_tax_template_p_iva21_sc","","",""
"account_common_6241","","","","","","","account_tax_template_p_iva10_sc","","",""
"account_common_6242","","","","","","","account_tax_template_p_iva10_sc","","",""
"account_common_625","","","","","","","account_tax_template_p_iva0_s_sc","","",""
"account_common_6251","","","","","","","account_tax_template_p_iva0_s_sc","","",""
"account_common_6252","","","","","","","account_tax_template_p_iva0_s_sc","","",""
"account_common_6253","","","","","","","account_tax_template_p_iva0_s_sc","","",""
"account_common_6254","","","","","","","account_tax_template_p_iva0_s_sc","","",""
"account_common_626","","","","","","","account_tax_template_p_iva0_s_sc","","",""
"account_common_627","","","","","","","account_tax_template_p_iva21_sc","","",""
"account_common_6271","","","","","","","account_tax_template_p_iva21_sc","","",""
"account_common_628","","","","","","","account_tax_template_p_iva21_sc","","",""
"account_common_6281","","","","","","","account_tax_template_p_iva21_sc","","",""
"account_common_6282","","","","","","","account_tax_template_p_iva21_sc","","",""
"account_common_6283","","","","","","","account_tax_template_p_iva21_sc","","",""
"account_common_629","","","","","","","account_tax_template_p_iva21_sc","","",""
"account_common_6291","","","","","","","account_tax_template_p_iva21_sc","","",""
"account_common_6292","","","","","","","account_tax_template_p_iva21_sc","","",""
"account_common_6293","","","","","","","account_tax_template_p_iva21_sc","","",""
"account_common_6294","","","","","","","account_tax_template_p_iva21_sc","","",""
"account_common_6295","","","","","","","account_tax_template_p_iva10_sc","","",""
"account_common_6296","","","","","","","account_tax_template_p_iva21_sc","","",""
"account_common_mainland_6510","Profit transferred (trustee)","Beneficio transferido (gestor)","Benefici transferit (gestor)","6510","expense_other","False","","Share of losses or expenses from joint operations","Participación en pérdidas o gastos de operaciones conjuntas","Part de pèrdues o despeses de les operacions conjuntes"
"account_common_mainland_6511","Losses incurred (non-trustee venturer or associate)","Pérdida soportada (partícipe o asociado no gestor)","Pèrdua suportada (partícip o associat no gestor)","6511","expense_other","False","","","",""
"account_common_mainland_663","Losses on fair value measurement of financial instruments","Pérdidas por valoración de instrumentos financieros por su valor razonable","Pèrdues per valoració d’instruments financers pel seu valor raonable","663","expense_other","False","","","",""
"account_common_mainland_671","Losses on property, plant and equipment","Pérdidas procedentes del inmovilizado material","Pèrdues procedents de l’immobilitzat material","671","expense_other","False","","","",""
"account_common_mainland_691","Impairment losses on property, plant and equipment","Pérdidas por deterioro del inmovilizado material","Pèrdues per deteriorament de l’immobilitzat material","691","expense_other","False","","","",""
"account_common_mainland_694","Impairment losses on trade receivables","Pérdidas por deterioro de créditos por operaciones comerciales","Pèrdues per deteriorament de crèdits per operacions comercials","694","expense_other","False","","","",""
"account_common_mainland_763","Gains on fair value measurement of financial instruments","Beneficios por valoración de instrumentos financieros por su valor razonable","Beneficis per valoració d’instruments financers pel seu valor raonable","763","income","False","","","",""
"account_common_mainland_791","Reversal of impairment of property, plant and equipment","Reversión del deterioro del inmovilizado material","Reversió del deteriorament de l’immobilitzat material","791","income","False","","","",""
"account_common_mainland_794","Reversal of impairment of trade receivables","Reversión del deterioro de créditos por operaciones comerciales","Reversió del deteriorament de crèdits per operacions comercials","794","income","False","","","",""
