"id","name","name@es","name@ca","code","account_type","reconcile"
"account_coop_5298","Current Education, Training and Promotion Fund","Fondo de Educación, Formación y Promoción a corto plazo","Reserva d’Educació, Formació i Promoció a curt termini","5298","liability_current","False"
"account_coop_5427","Current loans with partners for losses to be compensated","Créditos con socios por perdidas a compensar a corto plazo","Crèdits amb socis per pèrdues a compensar a curt termini","5427","liability_current","False"
"account_coop_551","Current account with partners and administrators","Cuenta corriente con socios y administradores","Compte corrent amb socis i administradors","551","asset_current","False"
"account_coop_55850","Receivable on called-up liability-classified cooperative social capital","Desembolsos exigidos sobre capital social cooperativo considerado como pasivo financiero","Desemborsaments exigits per capital social cooperatiu considerat com passiu financer","55850","liability_current","False"
"account_coop_5935","Impairment of current investments in other related parties","Deterioro de valor de participaciones a corto plazo en otras partes vinculadas","Deteriorament de valor de participacions a curt termini en altres parts vinculades","5935","asset_current","False"
"account_coop_596","Impairment of current investments","Deterioro de valor de participaciones a corto plazo","Deteriorament de valor de participacions a curt termini","596","asset_current","False"
"account_coop_605","Purchases made from partners","Compras efectuados a socios","Compres efectuades a socis","605","expense","False"
"account_coop_617","Variations in inventories acquired from partners","Variaciones de existencias adquiridas a socios","Variacions d’existències adquirides a socis","617","expense","False"
"account_coop_647","Remuneration to working partners","Retribución a los socios trabajadores","Retribucions a socis treballadors","647","expense","False"
"account_coop_650","Losses on uncollectible trade receivables","Pérdidas de créditos comerciales incobrables","Pèrdues de crèdits comercials incobrables","650","expense","False"
"account_coop_6510","Profit transferred (trustee)","Beneficio transferido (gestor)","Benefici transferit (gestor)","6510","expense","False"
"account_coop_6511","Losses incurred (non-trustee venturer or associate)","Pérdida soportada (partícipe o asociado no gestor)","Pèrdua suportada (partícip o associat no gestor)","6511","expense","False"
"account_coop_657","Endowment to the Education, Training and Promotion Fund","Dotación al Fondo de Educación, Formación y Promoción","Dotació a la reserva d’Educació, Formació i Promoció","657","expense","False"
"account_coop_659","Other operating losses","Otras pérdidas en gestión corriente","Altres pèrdues en gestió corrent","659","expense","False"
"account_coop_663","Losses on fair value measurement of financial instruments","Pérdidas por valoración de instrumentos financieros por su valor razonable","Pèrdues per valoració d’instruments financers pel seu valor raonable","663","expense","False"
"account_coop_6647","Interest and mandatory return on liability-classified contributions to cooperative capital and other qualifying funds","Intereses y retorno obligatorio de las aportaciones al capital cooperativo y de otros fondos calificados con características de deuda","Interessos i retorn obligatori de les aportacions al capital cooperatiu i d’altres reserves qualificades amb característiques de deute","6647","expense","False"
"account_coop_671","Losses on property, plant and equipment","Pérdidas procedentes del inmovilizado material","Pèrdues procedents de l’immobilitzat material","671","expense","False"
"account_coop_691","Impairment losses on property, plant and equipment","Pérdidas por deterioro del inmovilizado material","Pèrdues per deteriorament de l’immobilitzat material","691","expense","False"
"account_coop_694","Impairment losses on trade receivables","Pérdidas por deterioro de créditos por operaciones comerciales","Pèrdues per deteriorament de crèdits per operacions comercials","694","expense","False"
"account_coop_737","Work carried out by the company for the Education, Training and Promotion Fund","Trabajos realizados para el Fondo de Educación, Formación y Promoción","Treballs realitzats per a la reserva d’Educació, Formació i Promoció","737","income","False"
"account_coop_756","Income from operations with partners","Ingresos por operaciones con socios","Ingressos per operacions amb socis","756","income","False"
"account_coop_7570","Sanctions imposed on members attributable to the Education, Training and Promotion Fund","Sanciones impuestas a socios imputables al Fondo de Educación, Formación y Promoción","Sancions imposades a socis imputables a la reserva d’Educació, Formació i Promoció","7570","income","False"
"account_coop_7571","Subsidies attributable to the Education, Training and Promotion Fund","Subvenciones imputables al Fondo de Educación, Formación y Promoción","Subvencions imputables a la reserva d’Educació, Formació i Promoció","7571","income","False"
"account_coop_7572","Donations attributable to the Education, Training and Promotion Fund","Donaciones imputables al Fondo de Educación, Formación y Promoción","Donacions imputables a la reserva d’Educació, Formació i Promoció","7572","income","False"
"account_coop_7573","Other income attributable to the Education, Training and Promotion Fund","Otros ingresos imputables al Fondo de Educación, Formación y Promoción","Altres ingressos imputables a la reserva d’Educació, Formació i Promoció","7573","income","False"
"account_coop_763","Gains on fair value measurement of financial instruments","Beneficios por valoración de instrumentos financieros por su valor razonable","Beneficis per valoració d’instruments financers pel seu valor raonable","763","income","False"
"account_coop_791","Reversal of impairment of property, plant and equipment","Reversión del deterioro del inmovilizado material","Reversió del deteriorament de l’immobilitzat material","791","income","False"
"account_coop_794","Reversal of impairment of trade receivables","Reversión del deterioro de créditos por operaciones comerciales","Reversió del deteriorament de crèdits per operacions comercials","794","income","False"
"account_coop_7962","Reversal of impairment of non-current investments, other related parties","Reversión del deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, otras partes vinculadas","Reversió del deteriorament de participacions en instruments de patrimoni net a llarg termini, altres parts vinculades","7962","income","False"
"account_coop_7963","Reversal of impairment of non-current investments, other companies","Reversión del deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, otras empresas","Reversió del deteriorament de participacions en instruments de patrimoni net a llarg termini, altres empreses","7963","income","False"
