"id","name","name@es","code","account_type","reconcile"
"account_assoc_canary_4757","Public Treasury, creditor for subsidies received as a collaborating entity (art. 12 Subsidies Law)","Hacienda Pública, acreedora por subvenciones recibidas en concepto de entidad colaboradora (art.12 Ley de Subvencioens)","4757","asset_receivable","True"
"account_assoc_canary_490","Impairment of value of credits due to activity operations","Deterioro de valor de créditos por operaciones de la actividad","490","liability_current","False"
"account_assoc_canary_551","Checking account with employers and others","Cuenta corriente con patronos y otros","551","asset_current","False"
"account_assoc_canary_5935","Impairment in value of short-term holdings in other related parties","Deterioro de valor de participaciones a corto plazo en otras partes vinculadas","5935","asset_current","False"
"account_assoc_canary_596","Short-term impairment of shares","Deterioro de valor de participaciones a corto plazo","596","asset_current","False"
"account_assoc_canary_6501","Individual monetary aid","Ayudas monetarias individuales","6501","expense","False"
"account_assoc_canary_6502","Monetary aid to entities","Ayudas monetarias a entidades","6502","expense","False"
"account_assoc_canary_6503","Monetary aid made through other entities or centers","Ayudas monetarias realizadas a través de otras entidades o centros","6503","expense","False"
"account_assoc_canary_6504","Monetary aid for international cooperation","Ayudas monetarias de cooperación internacional","6504","expense","False"
"account_assoc_canary_6510","Transferred benefit (manager)","Beneficio transferido (gestor)","6510","expense","False"
"account_assoc_canary_6511","Individual non-monetary aid","Ayudas no monetarias individuales","6511","expense","False"
"account_assoc_canary_6512","Non-monetary aid to entities","Ayudas no monetarias a entidades","6512","expense","False"
"account_assoc_canary_6513","Non-monetary aid made through other entities or centers","Ayudas no monetarias realizadas a través de otras entidades o centros","6513","expense","False"
"account_assoc_canary_6514","Non-monetary aid for international cooperation","Ayudas no monetarias de cooperación internacional","6514","expense","False"
"account_assoc_canary_653","Compensation of expenses for collaboration benefits","Compensación de gastos por prestaciones de colaboración","653","expense","False"
"account_assoc_canary_654","Reimbursement of expenses to the governing body","Reembolsos de gastos al órgano de gobierno","654","expense","False"
"account_assoc_canary_655","Credit losses derived from uncollectible activity","Pérdidas de créditos derivados de la actividad incobrables","655","expense","False"
"account_assoc_canary_6560","Transferred benefit (manager)","Beneficio transferido (gestor)","6560","expense","False"
"account_assoc_canary_6561","Loss supported (participant or non-managing associate)","Pérdida soportada(partícipe o asociado no gestor)","6561","expense","False"
"account_assoc_canary_658","Reimbursement of subsidies, donations and legacies received, related to the entity's own activity","Reintegro de subvenciones, donaciones y legados recibidos, afectos a la actividad propia de la entidad","658","expense","False"
"account_assoc_canary_663","Losses from valuation of financial instruments at their fair value","Pérdidas por valoración de instrumentos financieros por su valor razonable","663","expense","False"
"account_assoc_canary_6710","Losses from property, plant and equipment","Pérdidas procedentes del inmovilizado material","6710","expense","False"
"account_assoc_canary_6711","Losses from Historical Heritage assets","Pérdidas procedentes de bienes del Patrimonio Histórico","6711","expense","False"
"account_assoc_canary_6910","Losses due to deterioration of property, plant and equipment","Pérdidas por deterioro del inmovilizado material","6910","expense","False"
"account_assoc_canary_6911","Losses due to deterioration of Historical Heritage assets","Pérdidas por deterioro de bienes del Patrimonio Histórico","6911","expense","False"
"account_assoc_canary_694","Losses due to impairment of credits due to business operations","Pérdidas por deterioro de créditos por operaciones de la actividad","694","expense","False"
"account_assoc_canary_720","Associate and affiliate fees","Cuotas de asociados y afiliados","720","income","False"
"account_assoc_canary_721","User quotas","Cuotas de usuarios","721","income","False"
"account_assoc_canary_722","Promotions to attract resources","Promociones de captación de recursos","722","income","False"
"account_assoc_canary_7230","Sponsorship","Patrocinio","7230","income","False"
"account_assoc_canary_7231","Advertising sponsorship","Patrocinio publicitario","7231","income","False"
"account_assoc_canary_7233","Business collaborations","Colaboraciones empresariales","7233","income","False"
"account_assoc_canary_728","Income from reimbursement of aid and allowances","Ingresos por reintegro de ayudas y asignaciones","728","income","False"
"account_assoc_canary_763","Benefits from valuation of financial instruments at their fair value","Beneficios por valoración de instrumentos financieros por su valor razonable","763","income","False"
"account_assoc_canary_791","Reversal of the deterioration of tangible fixed assets and Historical Heritage assets","Reversión del deterioro del inmovilizado material y de bienes del Patrimonio Histórico","791","income","False"
"account_assoc_canary_794","Reversal of the impairment of credits due to activity operations","Reversión del deterioro de créditos por operaciones de la actividad","794","income","False"
"account_assoc_canary_7962","Reversal of impairment of interests in long-term equity instruments, other related parties","Reversión del deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, otras partes vinculadas","7962","income","False"
"account_assoc_canary_7963","Reversal of impairment of interests in long-term equity instruments, other companies","Reversión del deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, otras empresas","7963","income","False"
