"id","name","name@es","name@ca","code","account_type","reconcile","non_trade","description","description@es","description@ca","asset_model_ids"
"account_common_1604","Non-current debt with financial institutions, associates","Deudas con entidades de crédito vinculadas, empresas asociadas","Deutes a llarg termini amb entitats de crèdit, empreses associades","1604","liability_non_current","False","","","","",""
"account_common_1605","Non-current debt with other related financial institutions","Deudas con otras entidades de crédito vinculadas","Deutes a llarg termini amb altres entitats de crèdit vinculades","1605","liability_non_current","False","","","","",""
"account_common_1613","Non-current payables to suppliers of fixed assets, group companies","Proveedores de inmovilizado, empresas del grupo","Proveïdors d’immobilitzat a llarg termini, empreses del grup","1613","liability_non_current","False","","","","",""
"account_common_1614","Non-current payables to suppliers of fixed assets, associates","Proveedores de inmovilizado, empresas asociadas","Proveïdors d’immobilitzat a llarg termini, empreses associades","1614","liability_non_current","False","","","","",""
"account_common_1615","Non-current payables to suppliers of fixed assets, other related parties","Proveedores de inmovilizado, otras partes vinculadas","Proveïdors d’immobilitzat a llarg termini, altres parts vinculades","1615","liability_non_current","False","","","","",""
"account_common_1623","Non-current finance lease payables, group companies","Acreedores por arrendamiento financiero, empresas de grupo","Creditors per arrendament financer a llarg termini, empreses de grup","1623","liability_non_current","False","","","","",""
"account_common_1624","Non-current finance lease payables, associates","Acreedores por arrendamiento financiero, empresas asociadas","Creditors per arrendament financer a llarg termini, empreses associades","1624","liability_non_current","False","","","","",""
"account_common_1625","Non-current finance lease payables, other related parties","Acreedores por arrendamiento financiero, otras partes vinculadas","Creditors per arrendament financer a llarg termini, altres parts vinculades.","1625","liability_non_current","False","","","","",""
"account_common_1633","Other non-current payables, group companies","Otras deudas, empresas del grupo","Altres deutes a llarg termini, empreses del grup","1633","liability_non_current","False","","","","",""
"account_common_1634","Other non-current payables, associates","Otras deudas, empresas asociadas","Altres deutes a llarg termini, empreses associades","1634","liability_non_current","False","","","","",""
"account_common_1635","Other non-current payables, other related parties","Otras deudas, con otras partes vinculadas","Altres deutes a llarg termini, amb altres parts vinculades","1635","liability_non_current","False","","","","",""
"account_common_170","Non-current debt with financial institutions","Deudas con entidades de crédito","Deutes a llarg termini amb entitats de crèdit","170","liability_non_current","False","","","","",""
"account_common_172","Non-current payables convertible into grants, donations and bequests","Deudas transformables en subvenciones, donaciones y legados","Deutes a llarg termini transformables en subvencions, donacions i llegats","172","liability_non_current","False","","","","",""
"account_common_173","Non-current payables to suppliers of fixed assets","Proveedores de inmovilizado","Proveïdors d’immobilitzat a llarg termini","173","liability_non_current","False","","","","",""
"account_common_174","Non-current finance lease payables","Acreedores por arrendamiento financiero","Creditors per arrendament financer a llarg termini","174","liability_non_current","False","","","","",""
"account_common_175","Non-current bills payable","Efectos a pagar","Efectes a pagar a llarg termini","175","liability_non_current","False","","","","",""
"account_common_176","Non-current liabilities arising from derivative financial instruments","Pasivos por derivados financieros","Passius per derivats financers a llarg termini","176","liability_non_current","False","","","","",""
"account_common_177","Bonds and obligations","Obligaciones y bonos","Obligacions i bons","177","liability_non_current","False","","","","",""
"account_common_178","Convertible bonds and obligations","Obligaciones y bonos convertibles","Obligacions i bons convertibles","178","liability_non_current","False","","","","",""
"account_common_179","Other marketable securities","Deudas representadas en otros valores negociables","Deutes representats en altres valors negociables","179","liability_non_current","False","","","","",""
"account_common_180","Non-current guarantees received","Fianzas recibidas","Fiances rebudes a llarg termini","180","liability_non_current","False","","","","",""
"account_common_181","Advances of long-term sales","Anticipos recibidos por ventas o prestaciones de servicios","Avançaments rebuts per vendes o prestacions de serveis a llarg termini","181","liability_non_current","False","","","","",""
"account_common_185","Non-current deposits received","Depósitos recibidos","Dipòsits rebuts a llarg termini","185","liability_non_current","False","","","","",""
"account_common_189","Non-current financial guarantees","Garantías financieras","Garanties financeres a llarg termini","189","liability_non_current","False","","","","",""
"account_common_190","Shares or equity holdings issued","Acciones o participaciones emitidas","Accions o participacions emeses","190","liability_non_current","False","","","","",""
"account_common_192","Subscribed shares","Suscriptores de acciones","Subscriptors d’accions","192","liability_non_current","False","","","","",""
"account_common_194","Issued capital pending registration","Capital emitido pendiente de inscripción","Capital emès pendent d’inscripció","194","liability_non_current","False","","","","",""
"account_common_195","Liability-classified shares or equity holdings issued","Acciones o participaciones emitidas consideradas como pasivos financieros","Accions o participacions emeses considerades passius financers","195","liability_non_current","False","","","","",""
"account_common_197","Liability-classified subscribed shares","Suscriptores de acciones consideradas como pasivos financieros","Subscriptors d’accions considerades passius financers","197","liability_non_current","False","","","","",""
"account_common_199","Liability-classified shares or equity holdings issued pending registration","Acciones o participaciones emitidas consideradas como pasivos financieros pendientes de inscripción","Accions o participacions emeses considerades passius financers pendents d’inscripció","199","liability_non_current","False","","","","",""
"account_common_200","Research","Investigación","Recerca","200","asset_fixed","False","","Capitalized costs of original research","Costos capitalizados de investigación original","Costos capitalitzats de la recerca original","asset_common_research"
"account_common_201","Development","Desarrollo","Desenvolupament","201","asset_fixed","False","","Capitalized costs of developing new products/processes","Costos capitalizados de desarrollo de nuevos productos/procesos","Costos capitalitzats de desenvolupament de nous productes/processos","asset_common_development"
"account_common_202","Administrative concessions","Concesiones administrativas","Concessions administratives","202","asset_fixed","False","","Rights granted by public bodies","Derechos otorgados por organismos públicos","Drets atorgats per organismes públics","asset_common_administrative_concessions"
"account_common_203","Industrial property","Propiedad industrial","Propietat industrial","203","asset_fixed","False","","Rights like patents and trademarks","Derechos como patentes y marcas","Drets com ara patents i marques comercials","asset_common_industrial_property"
"account_common_205","Leaseholds","Derechos de traspaso","Drets de traspàs","205","asset_fixed","False","","Business transfer or lease rights","Derechos de transmisión o arrendamiento de empresas","Drets de transmissió o arrendament empresarial","asset_common_leaseholds"
"account_common_206","Computer software","Aplicaciones informáticas","Aplicacions informàtiques","206","asset_fixed","False","","Purchased or developed software for long-term use","Software adquirido o desarrollado para uso a largo plazo","Programari comprat o desenvolupat per a ús a llarg termini","asset_common_computer_software"
"account_common_209","Advances for intangible assets","Anticipos para inmovilizaciones intangibles","Avançaments per a immobilitzacions intangibles","209","asset_fixed","False","","Other intangible assets not specified","Otros activos intangibles no especificados","Altres actius intangibles no especificats","asset_common_advances_for_intangible_assets"
"account_common_210","Land and natural resources","Terrenos y bienes naturales","Terrenys i béns naturals","210","asset_fixed","False","","Value of land owned","Valor del terreno en propiedad","Valor dels terrenys en propietat",""
"account_common_211","Buildings","Construcciones","Construccions","211","asset_fixed","False","","Value of owned buildings","Valor de los edificios propios","Valor dels edificis en propietat","asset_common_buildings"
"account_common_212","Technical installations","Instalaciones técnicas","Instal·lacions tècniques","212","asset_fixed","False","","Specialized production/business installations","Instalaciones de producción/negocios especializados","Instal·lacions de producció/empresa especialitzades","asset_common_technical_installations"
"account_common_213","Machinery","Maquinaria","Maquinària","213","asset_fixed","False","","Production or operational machinery","Maquinaria de producción u operativa","Maquinària de producció o operativa","asset_common_machinery"
"account_common_214","Equipment","Utillaje","Utillatge","214","asset_fixed","False","","Small tools and molds","Pequeñas herramientas y moldes","Eines i motlles petits","asset_common_equipement"
"account_common_215","Other installations","Otras instalaciones","Altres instal·lacions","215","asset_fixed","False","","Other physical installations","Otras instalaciones físicas","Altres instal·lacions físiques","asset_common_other_installations"
"account_common_216","Furniture","Mobiliario","Mobiliari","216","asset_fixed","False","","Office furniture and fixtures","Mobiliario y accesorios de oficina","Mobles i accessoris d'oficina","asset_common_furniture"
"account_common_217","Information technology equipment","Equipos para proceso de información","Equips per a processos d’informació","217","asset_fixed","False","","Computer hardware and servers","Hardware de computadoras y servidores","Maquinari informàtic i servidors","asset_common_information_technology_equipment"
"account_common_218","Motor vehicles","Elementos de transporte","Elements de transport","218","asset_fixed","False","","Company vehicles","vehículos de empresa","Vehicles d'empresa","asset_common_motor_vehicles"
"account_common_219","Other property, plant and equipment","Otro inmovilizado material","Altre immobilitzat material","219","asset_fixed","False","","Other tangible assets not specified","Otros activos tangibles no especificados","Altres actius tangibles no especificats","asset_common_other_property_plant_equipment"
"account_common_220","Investment in land and natural resources","Inversiones en terrenos y bienes naturales","Inversions en terrenys i béns naturals","220","asset_fixed","False","","Land held for investment","Terrenos destinados a inversión","Terrenys destinats a inversió",""
"account_common_221","Investments in buildings","Inversiones en construcciones","Inversions en construccions","221","asset_fixed","False","","Buildings held for investment","Edificios destinados a inversión","Edificis mantinguts per a inversió","asset_common_investment_in_buildings"
"account_common_230","Preparation of land and natural resources","Adaptación de terrenos y bienes naturales","Adaptació de terrenys i béns naturals","230","asset_fixed","False","","Tangible assets currently under construction","Activos tangibles actualmente en construcción","Actius tangibles actualment en construcció",""
"account_common_231","Buildings under construction","Construcciones en curso","Construccions en curs","231","asset_fixed","False","","Buildings under construction","Edificios en construcción","Edificis en construcció",""
"account_common_232","Technical installations under assembly","Instalaciones técnicas en montaje","Instal·lacions tècniques en muntatge","232","asset_fixed","False","","Technical installations being developed","Instalaciones técnicas en desarrollo","Instal·lacions tècniques en desenvolupament",""
"account_common_233","Machinery under assembly","Maquinaria en montaje","Maquinària en muntatge","233","asset_fixed","False","","Machinery being built or adapted","Maquinaria en construcción o adaptación","Maquinària que s'està construint o adaptant",""
"account_common_237","Information technology equipment under assembly","Equipos para procesos de información en montaje","Equips per a processos d’informació en muntatge","237","asset_fixed","False","","Computer systems being assembled","Sistemas informáticos en proceso de ensamblaje","Sistemes informàtics que s'estan muntant",""
"account_common_239","Advances for property, plant and equipment","Anticipos para inmovilizaciones materiales","Avançaments per a immobilitzacions materials","239","asset_fixed","False","","Advance payments for fixed assets","Pagos anticipados de activos fijos","Pagaments anticipats per a actius fixos",""
"account_common_2413","Non-current debt securities of group companies","Valores representativos de deuda de empresas del grupo","Valors representatius de deute a llarg termini d’empreses del grup","2413","asset_fixed","False","","","","",""
"account_common_2414","Non-current debt securities of associates","Valores representativos de deuda de empresas asociadas","Valors representatius de deute a llarg termini d’empreses associades","2414","asset_fixed","False","","","","",""
"account_common_2415","Non-current debt securities of related parties","Valores representativos de deuda de otras partes vinculadas","Valors representatius de deute a llarg termini d’altres parts vinculades","2415","asset_fixed","False","","","","",""
"account_common_2423","Non-current loans to group companies","Créditos a empresas del grupo","Crèdits a llarg termini a empreses del grup","2423","asset_fixed","False","","","","",""
"account_common_2424","Non-current loans to associates","Créditos a empresas asociadas","Crèdits a llarg termini a empreses associades","2424","asset_fixed","False","","","","",""
"account_common_2425","Non-current loans to other related parties","Créditos a otras partes vinculadas","Crèdits a llarg termini a altres parts vinculades","2425","asset_fixed","False","","","","",""
"account_common_250","Shares in other companies","Acciones de otras empresas","Accions en altres empreses","250","asset_fixed","False","","Shares in non-group/associate companies","Acciones en empresas no pertenecientes al grupo/asociadas","Accions en empreses no del grup/associades",""
"account_common_251","Long-term bonds","Bonos a largo plazo","Bons a llarg termini","251","asset_fixed","False","","Long-term bonds or debt securities","Bonos o títulos de deuda a largo plazo","Bons o títols de deute a llarg termini",""
"account_common_252","Long-term loans","Préstamos a largo plazo","Préstecs a llarg termini","252","asset_fixed","False","","Long-term loans to third parties","Préstamos a largo plazo a terceros","Préstecs a llarg termini a tercers",""
"account_common_253","Long-term loans from fixed asset sales","Préstamos a largo plazo provenientes de ventas de activos fijos","Préstecs a llarg termini procedents de la venda d'actius fixos","253","asset_fixed","False","","Long-term loans from fixed asset sales","Préstamos a largo plazo provenientes de ventas de activos fijos","Préstecs a llarg termini procedents de la venda d'actius fixos",""
"account_common_254","Long-term loans to employees","Préstamos a largo plazo a empleados","Préstecs a llarg termini per a empleats","254","asset_fixed","False","","Long-term loans to employees","Préstamos a largo plazo a los empleados","Préstecs a llarg termini per a empleats",""
"account_common_258","Long-term fixed deposits","Depósitos fijos a largo plazoo","Dipòsits a termini fix a llarg termini","258","asset_fixed","False","","Long-term fixed deposits","Depósitos fijos a largo plazo","Dipòsits a termini fix a llarg termini",""
"account_common_259","Unpaid called-up capital","Capital exigido no pagado","Capital exigit no pagat","259","asset_fixed","False","","Unpaid called-up capital on other equity investments","Capital exigido no pagado sobre otras inversiones de capital","Capital exigit no pagat en altres inversions en renda variable",""
"account_common_260","Long-term guarantees given","Se otorgan garantías a largo plazo","Garanties a llarg termini atorgades","260","asset_fixed","False","","","","",""
"account_common_265","Long-term deposits made","Depósitos a largo plazo realizados","Dipòsits a llarg termini realitzats","265","asset_fixed","False","","","","",""
"account_common_2800","Amortisation of research","Amortización de la investigación","Amortització de la recerca","2800","asset_fixed","False","","Accumulated amortisation of research","Amortización acumulada de la investigación","Amortització acumulada de la recerca",""
"account_common_2801","Amortisation of development","Amortización del desarrollo","Amortització del desenvolupament","2801","asset_fixed","False","","Accumulated amortisation of development","Amortización acumulada del desarrollo","Amortització acumulada del desenvolupament",""
"account_common_2802","Amortisation of administrative concessions","Amortización de concesiones administrativas","Amortització de concessions administratives","2802","asset_fixed","False","","Accumulated amortisation of administrative concessions","Amortización acumulada de concesiones administrativas","Amortització acumulada de concessions administratives",""
"account_common_2803","Amortisation of industrial property","Amortización de la propiedad industrial","Amortització de la propietat industrial","2803","asset_fixed","False","","Accumulated amortisation of industrial property","Amortización acumulada de la propiedad industrial","Amortització acumulada de la propietat industrial",""
"account_common_2805","Amortisation of leaseholds","Amortización de arrendamientos","Amortització de les propietats arrendades","2805","asset_fixed","False","","Accumulated amortisation of leaseholds","Amortización acumulada de arrendamientos","Amortització acumulada dels arrendaments",""
"account_common_2806","Amortisation of computer software","Amortización de programas informáticos","Amortització de programari informàtic","2806","asset_fixed","False","","Accumulated amortisation of computer software","Amortización acumulada de programas informáticos","Amortització acumulada de programes informàtics",""
"account_common_2811","Depreciation of buildings","Depreciación de edificios","Amortització d'edificis","2811","asset_fixed","False","","Accumulated depreciation of buildings","Depreciación acumulada de edificios","Amortització acumulada d'edificis",""
"account_common_2812","Depreciation of technical installations","Depreciación de instalaciones técnicas","Amortització d'instal·lacions tècniques","2812","asset_fixed","False","","Accumulated depreciation of technical installations","Amortización acumulada de instalaciones técnicas","Amortització acumulada d'instal·lacions tècniques",""
"account_common_2813","Depreciation of machinery","Depreciación de maquinaria","Amortització de maquinària","2813","asset_fixed","False","","Accumulated depreciation of machinery","Depreciación acumulada de maquinaria","Amortització acumulada de maquinària",""
"account_common_2814","Depreciation of equipment","Depreciación de equipos","Amortització d'equips","2814","asset_fixed","False","","Accumulated depreciation of equipment","Depreciación acumulada de equipos","Amortització acumulada d'equips",""
"account_common_2815","Depreciation of other installations","Depreciación de otras instalaciones","Amortització d'altres instal·lacions","2815","asset_fixed","False","","Accumulated depreciation of other installations","Depreciación acumulada de otras instalaciones","Amortització acumulada d'altres instal·lacions",""
"account_common_2816","Depreciation of furniture","Depreciación de los muebles","Depreciació de mobles","2816","asset_fixed","False","","Accumulated depreciation of furniture","Depreciación acumulada de muebles","Amortització acumulada de mobiliari",""
"account_common_2817","Depreciation of information technology equipment","Depreciación de equipos de tecnología de la información","Amortització d'equips de tecnologia de la informació","2817","asset_fixed","False","","Accumulated depreciation of information technology equipment","Depreciación acumulada de equipos de tecnología de la información","Amortització acumulada d'equips de tecnologia de la informació",""
"account_common_2818","Depreciation of motor vehicles","Depreciación de vehículos de motor","Amortització de vehicles de motor","2818","asset_fixed","False","","Accumulated depreciation of motor vehicles","Depreciación acumulada de vehículos de motor","Amortització acumulada de vehicles de motor",""
"account_common_2819","Depreciation of other property, plant and equipment","Depreciación de otras propiedades, planta y equipo","Amortització d'altres actius immobilitzats, planta i equipament","2819","asset_fixed","False","","Accumulated depreciation of other property, plant and equipment","Depreciación acumulada de otras propiedades, planta y equipo","Amortització acumulada d'altres actius immobilitzats",""
"account_common_282","Depreciation of investment property","Depreciación de propiedades de inversión","Amortització de béns d'inversió","282","asset_fixed","False","","Accumulated depreciation of investment property","Depreciación acumulada de propiedades de inversión","Amortització acumulada de les propietats d'inversió",""
"account_common_2900","Impairment of research","Deterioro del valor de investigación","Deteriorament de valor de recerca","2900","asset_fixed","False","","","","",""
"account_common_2901","Impairment of development","Deterioro del valor de desarrollo","Deteriorament del valor de desenvolupament","2901","asset_fixed","False","","","","",""
"account_common_2902","Impairment of administrative concessions","Deterioro del valor de concesiones administrativas","Deteriorament de valor de concessions administratives","2902","asset_fixed","False","","","","",""
"account_common_2903","Impairment of industrial property","Deterioro del valor de propiedad industrial","Deteriorament de valor de propietat industrial","2903","asset_fixed","False","","","","",""
"account_common_2905","Impairment of leaseholds","Deterioro del valor de derechos de traspaso","Deteriorament de valor de drets de traspàs","2905","asset_fixed","False","","","","",""
"account_common_2906","Impairment of computer software","Deterioro del valor de aplicaciones informáticas","Deteriorament de valor d’aplicacions informàtiques","2906","asset_fixed","False","","","","",""
"account_common_2910","Impairment of land and natural resources","Deterioro de valor de terrenos y bienes naturales","Deteriorament de valor de terrenys i béns naturals","2910","asset_fixed","False","","","","",""
"account_common_2911","Impairment of buildings","Deterioro de valor de construcciones","Deteriorament de valor de construccions","2911","asset_fixed","False","","","","",""
"account_common_2912","Impairment of technical installations","Deterioro de valor de instalaciones técnicas","Deteriorament de valor d’instal·lacions tècniques","2912","asset_fixed","False","","","","",""
"account_common_2913","Impairment of machinery","Deterioro de valor de maquinaria","Deteriorament de valor de maquinària","2913","asset_fixed","False","","","","",""
"account_common_2914","Impairment of equipments","Deterioro de valor de utillaje","Deteriorament de valor d’utillatge","2914","asset_fixed","False","","","","",""
"account_common_2915","Impairment of other installations","Deterioro de valor de otras instalaciones","Deteriorament de valor d’altres instal·lacions","2915","asset_fixed","False","","","","",""
"account_common_2916","Impairment of furniture","Deterioro de valor de mobiliario","Deteriorament de valor de mobiliari","2916","asset_fixed","False","","","","",""
"account_common_2917","Impairment of information technology equipments","Deterioro de valor de equipos para proceso de información","Deteriorament de valor d’equips per a processos d’informació","2917","asset_fixed","False","","","","",""
"account_common_2918","Impairment of motor vehicles","Deterioro de valor de elementos de transporte","Deteriorament de valor d’elements de transport","2918","asset_fixed","False","","","","",""
"account_common_2919","Impairment of other property, plant and equipment","Deterioro de valor de otro inmovilizado material","Deteriorament de valor d’un altre immobilitzat material","2919","asset_fixed","False","","","","",""
"account_common_2920","Impairment of land and natural resources","Deterioro de valor de los terrenos y bienes naturales","Deteriorament de valor dels terrenys i béns naturals","2920","asset_fixed","False","","","","",""
"account_common_2921","Impairment of buildings","Deterioro de valor de construcciones","Deteriorament de valor de construccions","2921","asset_fixed","False","","","","",""
"account_common_2933","Impairment of non-current investments in group companies","Deterioro de valor de participaciones en empresas del grupo","Deteriorament de valor de participacions a llarg termini en empreses del grup","2933","asset_fixed","False","","","","",""
"account_common_2934","Impairment of non-current investments in associates","Deterioro de valor de participaciones en empresas asociadas","Deteriorament de valor de participacions a llarg termini en empreses associades","2934","asset_fixed","False","","","","",""
"account_common_2943","Impairment of non-current debt securities of group companies","Deterioro de valor de valores representativos de deuda de empresas del grupo","Deteriorament de valor de valors representatius de deute a llarg termini d’empreses del grup","2943","asset_fixed","False","","","","",""
"account_common_2944","Impairment of non-current debt securities of associates","Deterioro de valor de valores representativos de deuda de empresas asociadas","Deteriorament de valor de valors representatius de deute a llarg termini d’empreses associades","2944","asset_fixed","False","","","","",""
"account_common_2945","Impairment of non-current debt securities of other related parties","Deterioro de valor de valores representativos de deuda de otras partes vinculadas","Deteriorament de valor de valors representatius de deute a llarg termini d’altres parts vinculades","2945","asset_fixed","False","","","","",""
"account_common_2953","Impairment of non-current loans to group companies","Deterioro de valor de créditos a empresas del grupo","Deteriorament de valor de crèdits a llarg termini a empreses del grup","2953","asset_fixed","False","","","","",""
"account_common_2954","Impairment of non-current loans to associates","Deterioro de valor de créditos a empresas asociadas","Deteriorament de valor de crèdits a llarg termini a empreses associades","2954","asset_fixed","False","","","","",""
"account_common_2955","Impairment of non-current loans to other related parties","Deterioro de valor de créditos a otras partes vinculadas","Deteriorament de valor de crèdits a llarg termini a altres parts vinculades","2955","asset_fixed","False","","","","",""
"account_common_297","Impairment of non-current debt securities","Deterioro de valor de valores representativos de deuda","Deteriorament de valor de valors representatius de deute a llarg termini","297","asset_fixed","False","","","","",""
"account_common_298","Impairment of non-current loans","Deterioro de valor de créditos","Deteriorament de valor de crèdits a llarg termini","298","asset_fixed","False","","","","",""
"account_common_300","Merchandise A","Mercaderías A","Mercaderies A","300","asset_current","False","","","","",""
"account_common_301","Merchandise B","Mercaderías B","Mercaderies B","301","asset_current","False","","","","",""
"account_common_310","Raw materials A","Materias primas A","Primeres matèries A","310","asset_current","False","","","","",""
"account_common_311","Raw materials B","Materias primas B","Primeres matèries B","311","asset_current","False","","","","",""
"account_common_320","Components","Elementos y conjuntos incorporables","Elements i conjunts incorporables","320","asset_current","False","","","","",""
"account_common_321","Fuel","Combustibles","Combustibles","321","asset_current","False","","","","",""
"account_common_322","Spare parts","Repuestos","Recanvis","322","asset_current","False","","","","",""
"account_common_325","Sundry materials","Materiales diversos","Materials diversos","325","asset_current","False","","","","",""
"account_common_326","Packaging","Embalajes","Embalatges","326","asset_current","False","","","","",""
"account_common_327","Containers","Envases","Envasos","327","asset_current","False","","","","",""
"account_common_328","Office supplies","Material de oficina","Material d’oficina","328","asset_current","False","","","","",""
"account_common_330","Work in progress A","Productos en curso A","Productes en curs A","330","asset_current","False","","","","",""
"account_common_331","Work in progress B","Productos en curso B","Productes en curs B","331","asset_current","False","","","","",""
"account_common_340","Semi-finished goods A","Productos semiterminados A","Productes semiacabats A","340","asset_current","False","","","","",""
"account_common_341","Semi-finished goods B","Productos semiterminados B","Productes semiacabats B","341","asset_current","False","","","","",""
"account_common_350","Finished goods A","Productos terminados A","Productes acabats A","350","asset_current","False","","","","",""
"account_common_351","Finished goods B","Productos terminados B","Productes acabats B","351","asset_current","False","","","","",""
"account_common_360","By-products A","Subproductos A","Subproductes A","360","asset_current","False","","","","",""
"account_common_361","By-products B","Subproductos B","Subproductes B","361","asset_current","False","","","","",""
"account_common_365","Waste A","Residuos A","Residus A","365","asset_current","False","","","","",""
"account_common_366","Waste B","Residuos B","Residus B","366","asset_current","False","","","","",""
"account_common_368","Recovered materials A","Materiales recuperados A","Materials recuperats A","368","asset_current","False","","","","",""
"account_common_369","Recovered materials B","Materiales recuperados B","Materials recuperats B","369","asset_current","False","","","","",""
"account_common_390","Impairment of merchandise","Deterioro de valor de las mercaderías","Deteriorament de valor de les mercaderies","390","asset_current","False","","","","",""
"account_common_391","Impairment of raw material","Deterioro de valor de las materias primas","Deteriorament de valor de les primeres matèries","391","asset_current","False","","","","",""
"account_common_392","Impairment of other supplies","Deterioro de valor de otros aprovisionamientos","Deteriorament de valor d’altres aprovisionaments","392","asset_current","False","","","","",""
"account_common_393","Impairment of work in progress","Deterioro de valor de los productos en curso","Deteriorament de valor dels productes en curs","393","asset_current","False","","","","",""
"account_common_394","Impairment of semi-finished goods","Deterioro de valor de los productos semiterminados","Deteriorament de valor dels productes semiacabats","394","asset_current","False","","","","",""
"account_common_395","Impairment of finished goods","Deterioro de valor de los productos terminados","Deteriorament de valor dels productes acabats","395","asset_current","False","","","","",""
"account_common_396","Impairment of by-products, waste and recovered materials","Deterioro de valor de los subproductos, residuos y materiales recuperados","Deteriorament de valor dels subproductes, residus i materials recuperats","396","asset_current","False","","","","",""
"account_common_4000","Suppliers (euros)","Proveedores (euros)","Proveïdors (euros)","4000","liability_payable","True","","","","",""
"account_common_4004","Suppliers (foreign currency)","Proveedores (moneda extranjera)","Proveïdors (moneda estrangera)","4004","liability_payable","True","","","","",""
"account_common_4009","Suppliers, pending invoices","Proveedores, facturas pendientes de recibir o de formalizar","Proveïdors, factures pendents de rebre o de formalitzar","4009","liability_current","True","","","","",""
