"id","code","name","account_type","reconcile","non_trade","name@sw"
"tz_173","173","Work In Process","asset_current","False","","Fanya Kazi Katika Mchakato"
"tz_174","174","Finished Goods","asset_current","False","","Bidhaa za kumaliza"
"tz_175","175","Other Inventory","asset_current","False","","Mali nyingine"
"tz_176","176","Income tax assets","asset_current","False","","Mali ya kodi ya mapato"
"tz_180","180","Accruals And Additional Assets","asset_receivable","True","","Mapato na Mali ya Ziada"
"tz_181","181","Prepaid Expense","asset_current","False","","Gharama ya kulipia kabla"
"tz_182","182","Accrued Income","asset_current","False","","Mapato ya ziada"
"tz_183","183","Additional Assets","asset_receivable","True","","Mali ya Ziada"
"tz_184","184","Investments and financial receivables","asset_receivable","True","","Uwekezaji na mapato ya kifedha"
"tz_190","190","Receivables And Contracts","asset_receivable","True","","Mapokezi na Mikataba"
"tz_191","191","Accounts, Notes And Loans Receivable","asset_receivable","True","","Akaunti, Noti na Mikopo Inayopatikana"
"tz_192","192","Contracts","asset_current","False","","Mikataba"
"tz_193","193","Nontrade And Other Receivables","asset_receivable","True","","Nontrade na Receivables Nyingine"
"tz_210","210","Owners Equity (Attributable To Owners Of Parent)","equity","False","","Sawa ya Wamiliki (Inayohusishwa na Wamiliki wa Mzazi)"
"tz_211","211","Equity At Par (Issued Capital)","equity","False","","Equity At Par (Mtaji Uliotolewa)"
"tz_212","212","Retained Earnings","equity","False","","Mapato yaliyobaki"
"tz_213","213","Additional Paid-In Capital","equity","False","","Mtaji wa Ziada wa Kulipwa"
"tz_220","220","Treasury Stock","equity","False","","Hazina ya Hifadhi"
"tz_221","221","Treasury Stock Common","equity","False","","Hazina ya kawaida ya hisa"
"tz_222","222","Treasury Stock Preferred","equity","False","","Hazina Inapendekezwa"
"tz_230","230","Accumulated OCI","equity","False","","OCI iliyokusanywa"
"tz_231","231","Exchange Differences On Translation","equity","False","","Badilisha Tofauti kwenye Tafsiri"
"tz_232","232","Remeasurements Cash Flow Hedges","equity","False","","Vipimo vya Ua wa mtiririko wa pesa"
"tz_233","233","Remeasurements Available-For-Sale Financial Assets","equity","False","","Vipimo Vinavyopatikana-Kwa-Kuuzwa Mali ya Fedha"
"tz_234","234","Remeasurement Of Defined Benefit Plans","equity","False","","Upimaji upya wa Mipango ya Faida iliyoainishwa"
"tz_235","235","Revaluation Surplus (IFRS Only)","equity","False","","Ziada ya Uhakiki (IFRS Pekee)"
"tz_236","236","Remeasurements Investments In Equity Instruments (IFRS only)","equity","False","","Uwekezaji wa Vipimo Katika Hati za Usawa (IFRS pekee)"
"tz_240","240","Other Equity Items","equity","False","","Vitu vingine vya Usawa"
"tz_241","241","ESOP Related Items","equity","False","","Vipengee vinavyohusiana na ESOP"
"tz_242","242","Subscribed Stock Receivables","equity","False","","Mapokezi ya Hisa Unayosajiliwa"
"tz_250","250","Miscellaneous Equity","equity","False","","Usawa Mbalimbali"
"tz_260","260","Non-controlling (Minority) Interest","equity","False","","Maslahi yasiyo ya kudhibiti (Wachache)"
"tz_270","270","Share capital","equity","False","","Shiriki mtaji"
"tz_307","307","Tax received","liability_current","False","","Kodi imepokelewa"
"tz_308","308","Tax Payable","liability_payable","True","True","Kodi inayolipwa"
"tz_311","311","Trade Payables","liability_payable","True","","Malipo ya Biashara"
"tz_312","312","Dividends Payable","liability_payable","True","","Gawio linalolipwa"
"tz_313","313","Interest Payable","liability_payable","True","","Riba Inalipwa"
"tz_314","314","Other Payables","liability_payable","True","","Malipo mengine"
"tz_320","320","Provisions (Contingencies)","liability_current","False","","Masharti (ya Dharura)"
"tz_321","321","Customer Related Provisions","liability_current","False","","Masharti Yanayohusiana na Wateja"
"tz_322","322","Ligation And Regulatory Provisions","liability_current","False","","Masharti ya Kuunganisha na Udhibiti"
"tz_323","323","Additional Provisions","liability_current","False","","Masharti ya Ziada"
"tz_330","330","Financial Liabilities","liability_current","False","","Madeni ya Kifedha"
"tz_331","331","Notes Payable","liability_payable","True","","Noti Zinazolipwa"
"tz_332","332","Loans Payable","liability_payable","True","","Mikopo inayolipwa"
"tz_333","333","Bonds (Debentures)","liability_current","False","","Vifungo (Debentures)"
"tz_334","334","Other Debts And Borrowings","liability_current","False","","Madeni Mengine na Mikopo"
"tz_335","335","Lease Obligations","liability_current","False","","Majukumu ya kukodisha"
"tz_336","336","Derivative Financial Liabilities","liability_current","False","","Derivative Financial Liabilities"
"tz_340","340","Accruals And Other Liabilities","liability_current","False","","Accruals na Madeni Mengine"
"tz_341","341","Accrued Expenses","liability_current","False","","Gharama yatokanayo"
"tz_342","342","Deferred Income (Unearned Revenue)","liability_current","False","","Mapato Yaliyoahirishwa (Mapato Yasiyopatikana)"
"tz_343","343","Accrued Taxes (Other Than Payroll)","liability_current","False","","Kodi Zilizoongezwa (Zaidi ya Malipo)"
"tz_344","344","Other Liabilities","liability_current","False","","Madeni mengine"
"tz_350","350","Banks overdrafts and short-term borrowings","liability_current","False","","Overdrafts za benki na mikopo ya muda mfupi"
"tz_360","360","Interest-bearing loans and short term borrowings","liability_current","False","","Mikopo yenye riba na mikopo ya muda mfupi"
"tz_370","370","Income tax liabilities","liability_current","False","","Madeni ya kodi ya mapato"
"tz_380","380","Interest-bearing loans and short term borrowings","liability_non_current","False","","Mikopo yenye riba na mikopo ya muda mfupi"
"tz_390","390","Employee benefits liabilities","liability_non_current","False","","Madeni ya faida ya mfanyakazi"
"tz_395","395","Provisions","liability_non_current","False","","Masharti"
"tz_396","396","Deferred tax liabilities","liability_non_current","False","","Madeni ya ushuru yaliyoahirishwa"
"tz_400","400","Revenue","income","False","","Mapato"
"tz_410","410","Recognized Point Of Time","income","False","","Wakati Unaotambuliwa"
"tz_411","411","Goods","income","False","","Bidhaa"
"tz_412","412","Services","income","False","","Huduma"
"tz_420","420","Recognized Over Time","income","False","","Inatambuliwa kwa Wakati"
"tz_421","421","Products","income","False","","Bidhaa"
"tz_422","422","Services","income","False","","Huduma"
"tz_430","430","Adjustments","income","False","","Marekebisho"
"tz_431","431","Variable Consideration","income","False","","Kuzingatia Tofauti"
"tz_432","432","Consideration Paid (Payable) To Customers","income","False","","Kuzingatia Kulipwa (Kulipwa) kwa Wateja"
"tz_433","433","Other Adjustments","income","False","","Marekebisho Mengine"
"tz_510","510","Expenses Classified By Nature","expense","False","","Gharama Zilizoainishwa Kwa Asili"
"tz_511","511","Material And Merchandise","expense","False","","Nyenzo na Bidhaa"
"tz_512","512","Employee Benefits","expense","False","","Faida za Wafanyikazi"
"tz_513","513","Services","expense","False","","Huduma"
"tz_514","514","Rent, Depreciation, Amortization And Depletion","expense","False","","Kukodisha, Kushuka kwa Thamani, Malipo ya Mapato na Kupungua"
"tz_515","515","Increase (Decrease) In Inventories Of Finished Goods And Work In Progress (IFRS only)","expense","False","","Ongezeko (Kupungua) Katika Orodha ya Bidhaa Zilizomalizika na Kazi Inayoendelea (IFRS pekee)"
"tz_516","516","Other Work Performed By Entity And Capitalized (IFRS only)","expense","False","","Kazi Nyingine Zinazofanywa na Shirika na Mtaji (IFRS pekee)"
"tz_520","520","Expenses Classified By Function","expense","False","","Gharama Zimeainishwa Kulingana na Kazi"
"tz_521","521","Cost Of Sales","expense","False","","Gharama ya Mauzo"
"tz_522","522","Selling, General And Administrative","expense","False","","Kuuza, Jumla na Utawala"
"tz_611","611","Other Revenue","income","False","","Mapato mengine"
"tz_612","612","Other Expenses","expense","False","","Gharama Nyingine"
"tz_613","613","Change in inventories","income","False","","Mabadiliko katika orodha"
"tz_614","614","Change in fair value of investment property","income","False","","Mabadiliko ya thamani ya haki ya mali ya uwekezaji"
"tz_615","615","Depreciation, amortisation and impairment of non-financial assets","income","False","","Kushuka kwa thamani, punguzo na uharibifu wa mali zisizo za kifedha"
"tz_616","616","Impairment losses of financial assets","expense","False","","Hasara za uharibifu wa mali ya kifedha"
"tz_6211","6211","Foreign Currency Transaction Gain","income","False","","Faida ya Muamala wa Fedha za Kigeni"
"tz_6212","6212","Foreign Currency Transaction Loss","expense","False","","Hasara ya Muamala wa Fedha za Kigeni"
"tz_6221","6221","Gain On Investments","income","False","","Faida kwa Uwekezaji"
"tz_6222","6222","Loss On Investments","expense","False","","Hasara kwenye Uwekezaji"
"tz_6231","6231","Gain On Derivatives","income","False","","Pata kwenye Miche"
"tz_6232","6232","Loss On Derivatives","expense","False","","Hasara juu ya derivatives"
"tz_6241","6241","Gain On Disposal Of Assets","income","False","","Faida ya Utoaji wa Mali"
"tz_6242","6242","Loss On Disposal Of Assets","expense","False","","Hasara ya Uondoaji wa Mali"
"tz_6251","6251","Debt Related Gain","income","False","","Faida inayohusiana na deni"
"tz_6252","6252","Debt Related Loss","expense","False","","Hasara inayohusiana na deni"
"tz_626","626","Impairment Loss","expense","False","","Hasara ya uharibifu"
"tz_627","627","Impairment Loss (Reversal) Financial Assets (IFRS Only)","expense","False","","Hasara ya Uharibifu (Kurudishwa) Mali za Kifedha (IFRS Pekee)"
"tz_6281","6281","Other Gains","income","False","","Faida Nyingine"
"tz_6282","6282","Other Losses","expense","False","","Hasara Nyingine"
"tz_630","630","Taxes (Other Than Income And Payroll) And Fees","expense","False","","Kodi (Zaidi ya Mapato na Malipo) na Ada"
"tz_631","631","Real Estate Taxes And Insurance","expense","False","","Kodi ya Mali isiyohamishika na Bima"
"tz_632","632","Highway (Road) Taxes And Tolls","expense","False","","Ushuru na Ushuru wa Barabara kuu (Barabara)"
"tz_633","633","Direct Tax And License Fees","expense","False","","Kodi ya Moja kwa Moja na Ada za Leseni"
"tz_634","634","Excise And Sales Taxes","expense","False","","Ushuru na Ushuru wa Mauzo"
"tz_635","635","Customs Fees And Duties (Not Classified As Sales Or Excise)","expense","False","","Ada na Ushuru wa Forodha (Hazijaainishwa kama Mauzo au Ushuru)"
"tz_636","636","Non-Deductible VAT (GST)","expense","False","","VAT Isiyokatwa (GST)"
"tz_637","637","General Insurance Expense","expense","False","","Gharama za Bima ya Jumla"
"tz_638","638","Administrative Fees (Revenue Stamps)","expense","False","","Ada za Utawala (Stampu za Mapato)"
"tz_639","639","Fines And Penalties","expense","False","","Faini na Adhabu"
"tz_640","640","Income Tax Expense (Benefit)","expense","False","","Gharama ya Kodi ya Mapato (Faida)"
"tz_650","650","Miscellaneous Taxes","expense","False","","Kodi Mbalimbali"
"tz_660","660","Other Taxes And Fees","expense","False","","Kodi Nyingine na Ada"
"tz_671","671","Foreign Exchange Gain","income","False","","Faida ya Fedha za Kigeni"
"tz_672","672","Foreign Exchange Loss","expense","False","","Hasara ya Fedha za Kigeni"
"tz_680","680","Share of profit from equity accounted investments","income","False","","Mgawo wa faida kutoka kwa uwekezaji uliohesabiwa kwa hisa"
"tz_681","681","Finance costs","expense","False","","Gharama za fedha"
"tz_682","682","Finance income","income","False","","Mapato ya kifedha"
"tz_683","683","Other financial items","expense","False","","Vitu vingine vya kifedha"
"tz_690","690","Loss for the year from discontinued operations","expense","False","","Hasara kwa mwaka kutokana na shughuli zilizositishwa"
