"id","code","name","internal_type","doc_code_prefix","country_id/id","name@es_419"
"dc_e_factura_contingencia","211","Contingency e-Invoice","invoice","e-FC-C","base.uy","e-Factura Contingencia"
"dc_nota_de_crédito_de_e_factura_contingencia","212","Contingency e-Invoice Credit Note","credit_note","e-NC-C","base.uy","Nota de Crédito de e-Factura Contingencia"
"dc_nota_de_débito_de_e_factura_contingencia","213","Contingency e-Invoice Debit Note","debit_note","e-ND-C","base.uy","Nota de Débito de e-Factura Contingencia"
"dc_e_factura_exportación_contingencia","221","Contingency Export e-Invoice","invoice","e-FCE-C","base.uy","e-Factura Exportación Contingencia"
"dc_nota_de_crédito_de_e_factura_exportación_contingencia","222","Contingency Export e-Invoice Credit Note","credit_note","e-NCE-C","base.uy","Nota de Crédito de e-Factura Exportación Contingencia"
"dc_nota_de_débito_de_e_factura_exportación_contingencia","223","Contingency Export e-Invoice Debit Note","debit_note","e-NDE-C","base.uy","Nota de Débito de e-Factura Exportación Contingencia"
"dc_e_remito_de_exportación_contingencia","224","Contingency Export e-Delivery Guide","","e-REME-C","base.uy","e-Remito de Exportación Contingencia"
"dc_e_ticket_venta_por_cuenta_ajena_contingencia","231","Contingency e-Ticket Sale By Third Party","invoice","e-TK-CAC","base.uy","e-Ticket Venta por Cuenta Ajena Contingencia"
"dc_nota_de_crédito_de_e_ticket_venta_por_cuenta_ajena_contingencia","232","Contingency e-Ticket Sale By Third Party Credit Note","credit_note","e-NCTK-CAC","base.uy","Nota de Crédito de e-Ticket Venta por Cuenta Ajena Contingencia"
"dc_nota_de_débito_de_e_ticket_venta_por_cuenta_ajena_contingencia","233","Contingency e-Ticket Sale By Third Party Debit Note","debit_note","e-NDTK-CAC","base.uy","Nota de Débito de e-Ticket Venta por Cuenta Ajena Contingencia"
"dc_e_factura_venta_por_cuenta_ajena_contingencia","241","Contingency e-Invoice Sale By Third Party","invoice","e-FC-CAC","base.uy","e-Factura Venta por Cuenta Ajena Contingencia"
"dc_nota_de_crédito_de_e_factura_venta_por_cuenta_ajena_contingencia","242","Contingency e-Invoice Sale By Third Party Credit Note","credit_note","e-NC-CAC","base.uy","Nota de Crédito de e-Factura Venta por Cuenta Ajena Contingencia"
"dc_nota_de_débito_de_e_factura_venta_por_cuenta_ajena_contingencia","243","Contingency e-Invoice Sale By Third Party Debit Note","debit_note","e-ND-CAC","base.uy","Nota de Débito de e-Factura Venta por Cuenta Ajena Contingencia"
"dc_e_boleta_contingencia","251","Contingency e-Boleta","invoice","e-BO-C","base.uy","e-Boleta Contingencia"
"dc_nota_de_credito_e_boleta_contingencia","252","Contingency e-Boleta Credit Note","credit_note","e-BO-NC-C","base.uy","Nota de Crédito e-Boleta Contingencia"
"dc_nota_de_debito_e_boleta_contingencia","253","Contingency e-Boleta Debit Note","debit_note","e-BO-ND-C","base.uy","Nota de Dédito e-Boleta Contingencia"
"dc_e_remito_contingencia","281","Contingency e-Delivery Guide","","e-REM-C","base.uy","e-Remito Contingencia"
"dc_e_resguardo_contingencia","282","Contingency e-Resguardo","","e-RES-C","base.uy","e-Resguardo Contingencia"
