"id","code_prefix_start","code_prefix_end","name","name@et"
"ee_group_36","36","","Other Reserves","Muud reservid"
"ee_group_37","37","","Other Equity","Muu omakapital"
"ee_group_38","38","","Retained Profit/Loss From Previous Periods","Eelmiste perioodide jaotamata kasum (kahjum)"
"ee_group_39","39","","Profit/Loss for the Financial Year","Aruandeaasta kasum (kahjum)"
"ee_group_4","4","","Income","Tulud"
"ee_group_40","40","","Sales of Goods and Services","Kaupade ja teenuste müük"
"ee_group_400","400","","Sales of Goods and Services in Estonia","Kaupade ja teenuste müük Eestis"
"ee_group_401","401","","Sales of Goods and Services in the EU","Kaupade ja teenuste müük ELis"
"ee_group_402","402","","Export of Goods and Services","Kaupade ja teenuste eksport"
"ee_group_41","41","","Sales of Assets","Varade müük"
"ee_group_42","42","","Financial Income","Finantstulud"
"ee_group_43","43","","Other Income","Muud tulud"
"ee_group_5","5","","Cost of Goods Sold","Müüdud kaupade maksumus"
"ee_group_6","6","","Other Expenses","Muud kulud"
"ee_group_60","60","","Property Expenses","Kinnisvarakulud"
"ee_group_600","600","","Buildings Rental","Hoonete rentimine"
"ee_group_601","601","","Office Expenses","Kontorikulud"
"ee_group_602","602","","Workshop Expenses","Töötoa kulud"
"ee_group_603","603","","Property Insurance","Varakindlustus"
"ee_group_604","604","","Electricity / Gas","Elekter / gaas"
"ee_group_605","605","","Water","Vesi"
"ee_group_606","606","","Internet","Internet"
"ee_group_607","607","","Phone Costs","Telefonikulud"
"ee_group_61","61","","Equipment Expenses","Seadmete kulud"
"ee_group_62","62","","Product Expenses","Toote kulud"
"ee_group_63","63","","Service Expenses","Teenuse kulud"
"ee_group_64","64","","Car Expenses","Autokulud"
"ee_group_65","65","","Employee Expenses","Töötajate kulud"
"ee_group_657","657","","Employee Expenses - Taxes","Töötajate kulud - Maksud"
"ee_group_66","66","","Fees and Taxes","Tasud ja maksud"
"ee_group_67","67","","Financial Expenses","Financial Expenses"
"ee_group_68","68","","Other Operating Expenses","Muud ärikulud"
"ee_group_70","70","","Other Accounts","Muud arved"
