"id","name","code","account_type","tag_ids","reconcile","non_trade"
"ke2203","Withholding Tax Payable","2203","liability_current","","True",""
"ke220301","Withholding Tax Payable - Transition account","220301","liability_current","","True",""
"ke2210","P.A.Y.E. & NI","2210","liability_payable","","True",""
"ke2220","Net Wages","2220","liability_payable","","True",""
"ke2230","Pension Fund","2230","liability_payable","","True",""
"ke2240","Corporation Tax","2240","liability_payable","","True",""
"ke2300","Loans","2300","liability_non_current","","False",""
"ke2310","Hire Purchase","2310","liability_non_current","","False",""
"ke2320","Mortgages","2320","liability_non_current","","False",""
"ke3000","Called up share capital","3000","equity","","False",""
"ke3010","Share premium account","3010","equity","","False",""
"ke3020","Revaluation reserve","3020","equity","","False",""
"ke3030","Other reserves","3030","equity","","False",""
"ke3040","Capital","3040","equity","","False",""
"ke4001","Sales category 1","4001","income","","False",""
"ke4002","Sales category 2","4002","income","","False",""
"ke4003","Sales category 3","4003","income","","False",""
"ke4004","Sales category 4","4004","income","","False",""
"ke4005","Bank Interest received","4005","income","","False",""
"ke4006","Investment Interest received","4006","income","","False",""
"ke4007","Revenue Income","4007","income","","False",""
"ke400710","Cash Discount Gain","400710","income_other","","False",""
"ke4008","Profits/Losses on disposals of assets","4008","income","","False",""
"ke4010","Other Income","4010","income_other","","False",""
"ke5001","Cost of sales 1","5001","expense_direct_cost","","False",""
"ke5002","Cost of sales 2","5002","expense_direct_cost","","False",""
"ke5003","Cost of sales 3","5003","expense_direct_cost","","False",""
"ke5004","Cost of sales 4","5004","expense_direct_cost","","False",""
"ke5101","Marketing","5101","expense","","False",""
"ke5102","Exhibitions and events","5102","expense","","False",""
"ke5103","PR","5103","expense","","False",""
"ke5104","Distribution vehicles","5104","expense","","False",""
"ke5105","Distribution salaries and wages","5105","expense","","False",""
"ke5106","Shipping","5106","expense","","False",""
"ke5107","Directors pension","5107","expense","","False",""
"ke5108","Directors remuneration","5108","expense","","False",""
"ke5109","Gross Salaries","5109","expense","","False",""
"ke5110","Employers SDL & UIF","5110","expense","","False",""
"ke5111","Subcontractors payments","5111","expense","","False",""
"ke5112","Rent and rates","5112","expense","","False",""
"ke5113","Light / heat and power","5113","expense","","False",""
"ke5114","Repairs and maintenance","5114","expense","","False",""
"ke5115","Car hire","5115","expense","","False",""
"ke5116","Car fuel","5116","expense","","False",""
"ke5117","Car maintenance","5117","expense","","False",""
"ke5118","Telephone","5118","expense","","False",""
"ke5119","Internet & hosting","5119","expense","","False",""
"ke5120","Mobiles","5120","expense","","False",""
"ke5121","Stationery","5121","expense","","False",""
"ke5122","Office consumables","5122","expense","","False",""
"ke5123","Postage and Carriage","5123","expense","","False",""
"ke5124","Books","5124","expense","","False",""
"ke5125","Network costs","5125","expense","","False",""
"ke5126","Software expenses","5126","expense","","False",""
"ke5127","Other computer costs","5127","expense","","False",""
"ke5128","Recruitment fees","5128","expense","","False",""
"ke5129","Other admin expenses","5129","expense","","False",""
"ke5130","Accounting","5130","expense","","False",""
"ke5131","Auditing","5131","expense","","False",""
"ke5132","Consultancy","5132","expense","","False",""
"ke5133","Legal and professional charges","5133","expense","","False",""
"ke5134","Exchange gains/losses","5134","expense","","False",""
"ke5135","Other sundry expenses","5135","expense","","False",""
"ke5136","Bad debts","5136","expense","","False",""
"ke5137","Interest paid","5137","expense","","False",""
"ke5138","Bank Charges","5138","expense","","False",""
"ke5139","Donations","5139","expense","","False",""
"ke5140","Entertaining","5140","expense","","False",""
"ke5141","Insurance","5141","expense","","False",""
"ke5142","Travel and subsistence","5142","expense","","False",""
"ke5143","Corporation tax expense","5143","expense","","False",""
"ke5144","Foreign Exchange Gains/Losses","5144","expense","","False",""
"ke5145","Price Differences Control Account","5145","expense","","False",""
"ke5146","Cash Register Gains/Losses","5146","expense","","False",""
"ke5147","Cash Discount Loss","5147","expense","","False",""
"ke5201","Software Depreciation","5201","expense_depreciation","","False",""
"ke5202","Patents & Trademarks Depreciation","5202","expense_depreciation","","False",""
"ke5203","Fixtures and fittings Depreciation","5203","expense_depreciation","","False",""
"ke5204","Land and buildings Depreciation","5204","expense_depreciation","","False",""
"ke5205","Motor vehicles Depreciation","5205","expense_depreciation","","False",""
"ke5206","Office equipment (inc computer equipment) Depreciation","5206","expense_depreciation","","False",""
"ke5207","Plant and machinery Depreciation","5207","expense_depreciation","","False",""
