"id","name","code","account_type","reconcile","tag_ids","non_trade","name@es","description","description@es","asset_model_ids"
"cuenta201_01_02","Employee Reimbursement","201.01.02","liability_current","True","l10n_mx.tag_credit_balance_account","","Reembolso empleados","","",""
"cuenta201_02_01","Foreign Suppliers","201.02.01","liability_payable","True","l10n_mx.tag_credit_balance_account","","Proveedores Extranjeros","Debts owed to suppliers located outside of Mexico","Deudas con proveedores ubicados fuera de México",""
"cuenta205_02_01","Various Creditors","205.02.01","liability_payable","True","l10n_mx.tag_credit_balance_account","","Acreedores Diversos","Debts your company owes not related to your main business activity","Deudas que su empresa tiene y no están relacionadas con su actividad principal.",""
"cuenta205_06_01","Goods Received - No Invoices","205.06.01","liability_current","True","l10n_mx.tag_credit_balance_account","","Mercancías Recibidas - No Facturas","","",""
"cuenta205_06_02","Other Various Short-Term Credits (Fonacot)","205.06.02","liability_current","True","l10n_mx.tag_credit_balance_account","","Otros acreedores diversos a corto plazo (Fonacot)","","",""
"cuenta206_01","Domestic customer advance","206.01.01","liability_current","True","l10n_mx.tag_credit_balance_account","","Anticipo de cliente nacional","","",""
"cuenta206_02","Advance payment from foreign customer","206.02.01","liability_current","True","l10n_mx.tag_credit_balance_account","","Anticipo de cliente extranjero","","",""
"cuenta206_05_01","Other customer advances","206.05.01","liability_current","True","l10n_mx.tag_credit_balance_account","","Otros anticipos de clientes","","",""
"cuenta208_01","VAT carried forward collected","208.01.01","liability_current","False","l10n_mx.tag_credit_balance_account","","IVA trasladado cobrado","","",""
"cuenta208_02","IEPS carried forward collected","208.02.01","liability_current","False","l10n_mx.tag_credit_balance_account","","IEPS trasladado cobrado","","",""
"cuenta209_01","VAT carried forward not collected","209.01.01","liability_current","True","l10n_mx.tag_credit_balance_account","","IVA trasladado no cobrado","","",""
"cuenta209_02","IEPS carried forward not collected","209.02.01","liability_current","True","l10n_mx.tag_credit_balance_account","","IEPS trasladado no cobrado","","",""
"cuenta210_01","Provision of wages and salaries to pay","210.01.01","liability_current","True","l10n_mx.tag_credit_balance_account","","Provisión de sueldos y salarios a pagar","","",""
"cuenta210_02","Provision for vacation to pay","210.02.01","liability_current","True","l10n_mx.tag_credit_balance_account","","Provisión de vacaciones a pagar","","",""
"cuenta210_03","Provision for bonus to pay","210.03.01","liability_current","True","l10n_mx.tag_credit_balance_account","","Provisión de aguinaldo a pagar","","",""
"cuenta210_04","Provision for savings fund to pay","210.04.01","liability_current","True","l10n_mx.tag_credit_balance_account","","Provisión de fondo de ahorro a pagar","","",""
"cuenta211_01","Provision for employer IMSS to pay","211.01.01","liability_current","True","l10n_mx.tag_credit_balance_account","","Provisión de IMSS patronal a pagar","","",""
"cuenta211_02","Provision for SAR to pay","211.02.01","liability_current","True","l10n_mx.tag_credit_balance_account","","Provisión de SAR a pagar","","",""
"cuenta211_03","Provision for infonavit to pay","211.03.01","liability_current","True","l10n_mx.tag_credit_balance_account","","Provisión de infonavit a pagar","","",""
"cuenta213_01","VAT payable","213.01.01","liability_payable","True","l10n_mx.tag_credit_balance_account","True","IVA por pagar","","",""
"cuenta213_02","IEPS payable","213.02.01","liability_payable","True","l10n_mx.tag_credit_balance_account","True","IEPS por pagar","","",""
"cuenta213_03","ISR payable","213.03.01","liability_payable","True","l10n_mx.tag_credit_balance_account","True","ISR por pagar","","",""
"cuenta213_07","Other taxes payable","213.07.01","liability_current","False","l10n_mx.tag_credit_balance_account","","Otros impuestos por pagar","","",""
"cuenta216_01","Withholding or income tax for wages and salaries","216.01.01","liability_current","True","l10n_mx.tag_credit_balance_account","","Retenciones o impuesto sobre la renta para sueldos y salarios","","",""
"cuenta216_03","Withholding of income tax for leasing","216.03.01","liability_current","False","l10n_mx.tag_credit_balance_account","","Impuestos retenidos de ISR por arrendamiento","","",""
"cuenta216_04","Taxes withheld from income tax for professional services","216.04.01","liability_current","False","l10n_mx.tag_credit_balance_account","","Impuestos retenidos de ISR por servicios profesionales","","",""
"cuenta216_10","VAT withholding taxes","216.10.10","liability_current","True","l10n_mx.tag_credit_balance_account","","Impuestos retenidos de IVA","","",""
"cuenta216_10_20","VAT withholding tax effectively paid","216.10.20","liability_current","False","l10n_mx.tag_credit_balance_account","","Impuestos retenidos de iva efectivamente pagados","","",""
"cuenta216_11","IMSS withholding tax","216.11.01","liability_current","True","l10n_mx.tag_credit_balance_account","","Retención de impuestos del IMSS","","",""
"cuenta260_01_01","Deferred Revenue","260.01.01","liability_current","False","l10n_mx.tag_credit_balance_account","","Ingresos diferidos","","",""
"cuenta302_01","Heritage","302.01.01","equity","False","l10n_mx.tag_credit_balance_account","","Patrimonio","","",""
"cuenta304_01","Profit from previous years","304.01.01","equity","False","l10n_mx.tag_credit_balance_account","","Utilidad de ejercicios anteriores","","",""
"cuenta305_01","Uncut results","305.01.01","equity_unaffected","False","l10n_mx.tag_credit_balance_account","","Resutado Integral","","",""
"cuenta401_01","Sales and/or services taxed at the general rate","401.01.01","income","False","l10n_mx.tag_credit_balance_account","","Ventas y/o servicios gravados a la tasa general","","",""
"cuenta402_01","Returns, discounts or bonuses over sales and/or services at the general rate","402.01.01","income_other","False","l10n_mx.tag_debit_balance_account","","Devoluciones, descuentos o bonificaciones sobre ventas y/o servicios a tarifa general","","",""
"cuenta402_04","Re-invoicing","402.04.01","income","False","l10n_mx.tag_credit_balance_account","","Refacturaciones","","",""
"cuenta501_01","Cost of sales","501.01.01","expense_direct_cost","False","l10n_mx.tag_debit_balance_account","","Costo de venta","","",""
"cuenta501_02","Stock Variation","501.01.02","expense","False","l10n_mx.tag_debit_balance_account","","Variación de Existencias","","",""
"cuenta501_02_01","Cost of Services (Labor)","501.02.01","expense_direct_cost","False","l10n_mx.tag_debit_balance_account","","Costo de Servicios (Mano de Obra)","The cost of salaries and benefits of the people that directly execute services or manufacture goods","El costo de los salarios y beneficios del personal que ejecutan directamente servicios o fabrican bienes",""
"cuenta503_01","Returns, discounts or bonuses over purchases","503.01.01","income_other","False","l10n_mx.tag_credit_balance_account","","Devoluciones, descuentos o bonificaciones sobre compras","","",""
"cuenta505_01","Purchases of Raw Materials","505.01.01","expense","False","l10n_mx.tag_debit_balance_account","","Compras de Materia Prima","","",""
"cuenta601_01","Wages and salaries","601.01.01","expense_direct_cost","False","l10n_mx.tag_debit_balance_account","","Sueldos y salarios","","",""
"cuenta601_06","Vacation","601.06.01","expense_direct_cost","False","l10n_mx.tag_debit_balance_account","","Vacaciones","","",""
"cuenta601_07","Vacation Premium","601.07.01","expense_direct_cost","False","l10n_mx.tag_debit_balance_account","","Prima Vacacional","Vacation premium paid to employees when they take vacations","",""
"cuenta601_12","Bonus","601.12.01","expense_direct_cost","False","l10n_mx.tag_debit_balance_account","","Aguinaldo","","",""
"cuenta601_15","Pantry","601.15.01","expense_direct_cost","False","l10n_mx.tag_debit_balance_account","","Despensa","","",""
"cuenta601_16","Transport","601.16.01","expense_direct_cost","False","l10n_mx.tag_debit_balance_account","","Transporte","Rental of cars, including shared services, but excluding leasing","Alquiler de coches, incluidos los servicios compartidos, pero excluido el arrendamiento",""
"cuenta601_16_02","Transport (gasoline vouchers)","601.16.02","expense_direct_cost","False","l10n_mx.tag_debit_balance_account","","Transport (Vales de gasolina)","","",""
"cuenta601_19","Savings fund","601.19.01","expense_direct_cost","False","l10n_mx.tag_debit_balance_account","","Fondo de ahorro","","",""
"cuenta601_26","IMSS quota","601.26.01","expense_direct_cost","False","l10n_mx.tag_debit_balance_account","","Cuota IMSS","","",""
"cuenta601_27","Contributions to infonavit","601.27.01","expense_direct_cost","False","l10n_mx.tag_debit_balance_account","","Aportaciones al infonavit","","",""
"cuenta601_28","Contributions to the SAR","601.28.01","expense_direct_cost","False","l10n_mx.tag_debit_balance_account","","Aportaciones al SAR","","",""
"cuenta601_32_01","Administration Fees","601.32.01","expense","False","l10n_mx.tag_debit_balance_account","","Gastos de Administración","Services incurred for the administration of your business, REPSE services and firms handling internal processes","Servicios incurridos por la administración de su negocio, servicios REPSE y firmas que manejan procesos internos",""
"cuenta601_34_01","Fees paid to national resident individuals","601.34.01","expense","False","l10n_mx.tag_debit_balance_account","","Honorarios pagados a personas Físicas residentes nacionales","Bills from independant professionals like lawyers, accountants and professional advice services","Facturas de profesionales independientes como abogados, contadores y servicios de asesoramiento profesional",""
"cuenta601_38_01","Fees paid to national resident corporations","601.38.01","expense","False","l10n_mx.tag_debit_balance_account","","Tarifas pagadas a Personas Morales residentes nacionales","Bills from your accounting firm or lawyer firms","Facturas de su firma de contabilidad o bufete de abogados",""
"cuenta601_45_01","Office Rent paid to Individuals","601.45.01","expense","False","l10n_mx.tag_debit_balance_account","","Alquiler de Oficina Pagado a Personas Físicas","Rental fees related to your workplace if paid to individuals","Tarifas de alquiler relacionadas con su lugar de trabajo si se pagan a persona física",""
"cuenta601_46_01","Office Rent paid to Corporations","601.46.01","expense","False","l10n_mx.tag_debit_balance_account","","Alquiler de Oficina Pagada a Personas Morales","Rental fees related to your workplace if paid to a corporation","Cargos de alquiler relacionados con su lugar de trabajo si se pagan a una persona moral",""
"cuenta601_48_01","Fuel and Lubricants","601.48.01","expense","False","l10n_mx.tag_debit_balance_account","","Combustible y Lubricantes","All fuel expenses for vehicles and oil and additives","Todos los gastos de combustible para vehículos, aceite y aditivos",""
"cuenta601_49_01","Travel Expenses and Per Diems","601.49.01","expense","False","l10n_mx.tag_debit_balance_account","","Gastos de viaje y Viáticos","Expenses related to lodging, transport, meals and short-term car rentals.","Gastos relacionados con alojamiento, transporte, comidas y alquiler de coches a corto plazo",""
"cuenta601_50_01","Phone & Internet","601.50.01","expense","False","l10n_mx.tag_debit_balance_account","","Teléfono e Internet","Internet or phone bills incurred and mobile plans.","Facturas de internet o teléfono incurridas y planes móviles",""
"cuenta601_51_01","Water","601.51.01","expense","False","l10n_mx.tag_debit_balance_account","","Agua","Bills from water companies and water trucks","Facturas de compañías de agua y pipas de agua",""
"cuenta601_52_01","Electricity","601.52.01","expense","False","l10n_mx.tag_debit_balance_account","","Electricidad","Bills from CFE and other energy suppliers","Facturas de CFE y otros proveedores de energía",""
"cuenta601_54_01","Cleaning","601.54.01","expense","False","l10n_mx.tag_debit_balance_account","","Limpieza","Cleaning supplies, cleaning services and laundry","Suministros de limpieza, servicios de limpieza y lavandería",""
"cuenta601_55_01","Stationery and Office Supplies","601.55.01","expense","False","l10n_mx.tag_debit_balance_account","","Papelería y Suministros de Oficina","Stationery and Office supplies like paper, pencils, internally used billboards, staplers, etc","Artículos de papelería y suministros de oficina como papel, lápices, carteleras de uso interno, grapadoras, etc.",""
"cuenta601_56_01","Office Maintenance services","601.56.01","expense","False","l10n_mx.tag_debit_balance_account","","Servicios de Mantenimiento de Oficinas","Services related to the maintenance of your workplace, like repairs on pipes and electric wiring","Servicios relacionados con el mantenimiento de su lugar de trabajo, como reparaciones de tuberías y cableado eléctrico",""
"cuenta601_57_01","Insurance","601.57.01","expense","False","l10n_mx.tag_debit_balance_account","","Seguros","Fees related to insurance as long as they are not deferred","Cargos relacionados con seguros siempre que no sean diferidos",""
"cuenta601_58","Other Taxes & Duties","601.58.01","expense","False","l10n_mx.tag_debit_balance_account","","Otros Impuestos y Derechos","Other taxes that are not classified in other accounts","Otros impuestos que no están clasificados en otras cuentas",""
"cuenta601_60_01","Software, memberships and subscriptions","601.60.01","expense","False","l10n_mx.tag_debit_balance_account","","Software, Membresías y Suscripciones","Licenses for software like Odoo, subscription fees and membership fees","Licencias para software como Odoo, cuotas de suscripción y cuotas de membresía",""
"cuenta601_62_01","Personnel Training and Documentation","601.62.01","expense","False","l10n_mx.tag_debit_balance_account","","Capacitación y Documentación del Personal","Training fees for external courses, tuition and in-house training materials","Tarifas de capacitación para cursos externos, matrícula y materiales de capacitación internos",""
"cuenta601_64_01","Technical assistance","601.64.01","expense","False","l10n_mx.tag_debit_balance_account","","Asistencia Técnica","Software assistance, consulting, ERP implementation.","Asistencia de software, consultoría, implementación de ERP.",""
"cuenta601_73_01","Import fees","601.73.01","expense","False","l10n_mx.tag_debit_balance_account","","Gastos de Importación","Customs fees incurred while importing goods for company use","Gastos de aduana incurridas al importar bienes para uso de la empresa",""
"cuenta601_74","Commissions on sales","601.74.01","expense_direct_cost","False","l10n_mx.tag_debit_balance_account","","Comisiones sobre ventas","","",""
"cuenta601_83_01","Non-deductible Expenses","601.83.01","expense","False","l10n_mx.tag_debit_balance_account","","Gastos no Deducibles","Public transportation (metro, bus), small shops with no invoicing services and small cash payments","Transporte público (metro, autobús), tiendas pequeñas sin servicios de facturación y pequeños pagos en efectivo",""
"cuenta601_84","Other overheads","601.84.01","expense","False","l10n_mx.tag_debit_balance_account","","Otros gastos generales","","",""
"cuenta602_61_01","Advertising and Publicity","602.61.01","expense","False","l10n_mx.tag_debit_balance_account","","Publicidad y Propaganda","Publicity fees including traditional media, digital marketing, billboards and physical branded materials","Tarifas de publicidad que incluyen medios tradicionales, marketing digital, vallas publicitarias y materiales físicos de marca",""
"cuenta602_72_01","Freight and Haulage","602.72.01","expense","False","l10n_mx.tag_debit_balance_account","","Fletes y Acarreos","Couriers and parcel services, trucking and moving sales equipment.","Mensajería y paquetería, transporte por carretera y traslado de equipo de ventas.",""
"cuenta613_02_01","Depreciation Machines & equipment","613.02.01","expense_direct_cost","False","l10n_mx.tag_debit_balance_account","","Depreciación de Maquinaria y equipo","Depreciation of standard production machinery","Depreciación de maquinaria de producción estándar",""
"cuenta613_03_01","Depreciation Vehicles","613.03.01","expense_direct_cost","False","l10n_mx.tag_debit_balance_account","","Depreciación de Vehículos","Depreciation of company vehicles (cars, trucks, etc.)","Depreciación de vehículos de la empresa (coches, camiones, etc.)",""
"cuenta613_04_01","Depreciation Furniture & office equipment","613.04.01","expense_direct_cost","False","l10n_mx.tag_debit_balance_account","","Depreciación Mobiliario y Equipo de Oficina","Depreciation of office furniture and fixtures","Depreciación de mobiliario y equipo de oficina",""
"cuenta613_05_01","Depreciation Technology","613.05.01","expense_direct_cost","False","l10n_mx.tag_debit_balance_account","","Depreciación de Tecnología","Depreciation / Wear and tear of computer equipment","Depreciación / Desgaste de equipos informáticos",""
"cuenta613_16_01","Depreciation Renewable Energy Technology Installation","613.16.01","expense_direct_cost","False","l10n_mx.tag_debit_balance_account","","Depreciación de la Instalación de Tecnología de Energía Renovable","Depreciation of renewable energy generation equipment","Depreciación de equipos de generación de energía renovable",""
"cuenta613_17_01","Depreciation Upgrades and Retrofits","613.17.01","expense_direct_cost","False","l10n_mx.tag_debit_balance_account","","Depreciación de Mejoras y Adaptaciones","Depreciation of improvements or asset upgrades","Depreciación de mejoras o actualizaciones de activos",""
"cuenta613_18_01","Depreciation Other Machines & equipment","613.18.01","expense_direct_cost","False","l10n_mx.tag_debit_balance_account","","Depreciación Otra Maquinaria y Equipo","Depreciation miscellaneous machinery not classified elsewhere","Depreciación de maquinaria diversa no clasificada en otra parte",""
"cuenta614_01_01","Amortization of Deffered Expenses","614.01.01","expense_direct_cost","False","l10n_mx.tag_debit_balance_account","","Amortización de Gastos Diferidos","Deferred charges over their useful life","Cargos diferidos a lo largo de su vida útil",""
"cuenta614_07_01","Amortization Brands and Patents","614.07.01","expense_direct_cost","False","l10n_mx.tag_debit_balance_account","","Amortización Marcas y Patentes","The periodic cost allocation of brands and patents","La asignación de costos periódica de marcas y patentes",""
"cuenta701_01","Foreign exchange loss","701.01.01","expense","False","l10n_mx.tag_debit_balance_account","","Pérdida cambiaria","","",""
"cuenta701_10_01","Bank fees","701.10.01","expense","False","l10n_mx.tag_debit_balance_account","","Comisiones Bancarias","Nasty charges and interests from your bank","Cargos e intereses desagradables de su banco",""
"cuenta702_01","Exchange profit","702.01.01","income","False","l10n_mx.tag_credit_balance_account","","Utilidad cambiaria","","",""
"cuenta801_01","Tax gain or loss on sale and/or derecognition of fixed assets","811.01.01","expense","False","l10n_mx.tag_debit_balance_account","","Utilidad o pérdida fiscal en venta y/o baja de activo fijo","","",""
"cuenta801_01_99","Taxable Cash Flow Tax Basis","899.01.99","expense","False","l10n_mx.tag_debit_balance_account","","Base Imponible de Impuestos en Base a Flujo de Efectivo","","",""
