"id","name","code_prefix_start","name@es"
"account_subgroup_funcionarios_y_empleados","Officials and employees","107.01","Funcionarios y empleados"
"account_subgroup_socios_y_accionistas","Partners and shareholders","107.02","Socios y accionistas"
"account_subgroup_partes_relacionadas_nacionales","National related parties","107.03","Partes relacionadas nacionales"
"account_subgroup_partes_relacionadas_extranjeros","Foreign related parties","107.04","Partes relacionadas extranjeros"
"account_subgroup_otros_deudores_diversos","Other sundry debtors","107.05","Otros deudores diversos"
"account_subgroup_estimación_de_cuentas_incobrables","Allowance for doubtful accounts","108","Estimación de cuentas incobrables"
"account_subgroup_estimación_de_cuentas_incobrables_nacional","Allowance for doubtful accounts national","108.01","Estimación de cuentas incobrables nacional"
"account_subgroup_estimación_de_cuentas_incobrables_extranjero","Allowance for doubtful accounts foreign","108.02","Estimación de cuentas incobrables extranjero"
"account_subgroup_estimación_de_cuentas_incobrables_nacional_parte_relacionada","National allowance for doubtful accounts related party","108.03","Estimación de cuentas incobrables nacional parte relacionada"
"account_subgroup_estimación_de_cuentas_incobrables_extranjero_parte_relacionada","Allowance for uncollectible accounts foreign related party","108.04","Estimación de cuentas incobrables extranjero parte relacionada"
"account_subgroup_pagos_anticipados","Advance payments","109","Pagos anticipados"
"account_subgroup_seguros_y_fianzas_pagados_por_anticipado_nacional","Insurance and bonds paid in advance national","109.01","Seguros y fianzas pagados por anticipado nacional"
"account_subgroup_seguros_y_fianzas_pagados_por_anticipado_extranjero","Prepaid foreign insurance and bonds","109.02","Seguros y fianzas pagados por anticipado extranjero"
"account_subgroup_seguros_y_fianzas_pagados_por_anticipado_nacional_parte_relacionada","Prepaid insurance and bonds national prepaid insurance and bonds related party","109.03","Seguros y fianzas pagados por anticipado nacional parte relacionada"
"account_subgroup_seguros_y_fianzas_pagados_por_anticipado_extranjero_parte_relacionada","Foreign prepaid insurance and bonds foreign prepaid insurance and bonds related party","109.04","Seguros y fianzas pagados por anticipado extranjero parte relacionada"
"account_subgroup_rentas_pagados_por_anticipado_nacional","National prepaid rents","109.05","Rentas pagados por anticipado nacional"
"account_subgroup_rentas_pagados_por_anticipado_extranjero","Foreign prepaid rents","109.06","Rentas pagados por anticipado extranjero"
"account_subgroup_rentas_pagados_por_anticipado_nacional_parte_relacionada","Domestic prepaid rentals related party","109.07","Rentas pagados por anticipado nacional parte relacionada"
"account_subgroup_rentas_pagados_por_anticipado_extranjero_parte_relacionada","Foreign prepaid rents foreign related party","109.08","Rentas pagados por anticipado extranjero parte relacionada"
"account_subgroup_intereses_pagados_por_anticipado_nacional","Interest paid in advance national","109.09","Intereses pagados por anticipado nacional"
"account_subgroup_intereses_pagados_por_anticipado_extranjero","Foreign prepaid interest","109.10","Intereses pagados por anticipado extranjero"
"account_subgroup_intereses_pagados_por_anticipado_nacional_parte_relacionada","Interest paid in advance domestic prepaid interest related party","109.11","Intereses pagados por anticipado nacional parte relacionada"
"account_subgroup_intereses_pagados_por_anticipado_extranjero_parte_relacionada","Foreign prepaid interest foreign prepaid interest related party","109.12","Intereses pagados por anticipado extranjero parte relacionada"
"account_subgroup_factoraje_financiero_pagados_por_anticipado_nacional","Prepaid financial factoring domestic prepaid financial factoring","109.13","Factoraje financiero pagados por anticipado nacional"
"account_subgroup_factoraje_financiero_pagados_por_anticipado_extranjero","Foreign prepaid financial factoring","109.14","Factoraje financiero pagados por anticipado extranjero"
"account_subgroup_factoraje_financiero_pagados_por_anticipado_nacional_parte_relacionada","Domestic prepaid financial factoring related party","109.15","Factoraje financiero pagados por anticipado nacional parte relacionada"
"account_subgroup_factoraje_financiero_pagados_por_anticipado_extranjero_parte_relacionada","Foreign prepaid financial factoring foreign related party","109.16","Factoraje financiero pagados por anticipado extranjero parte relacionada"
"account_subgroup_arrendamiento_financiero_pagados_por_anticipado_nacional","National prepaid financial leases","109.17","Arrendamiento financiero pagados por anticipado nacional"
"account_subgroup_arrendamiento_financiero_pagados_por_anticipado_extranjero","Foreign prepaid financial leases","109.18","Arrendamiento financiero pagados por anticipado extranjero"
"account_subgroup_arrendamiento_financiero_pagados_por_anticipado_nacional_parte_relacionada","Finance lease prepaid domestic prepaid related party","109.19","Arrendamiento financiero pagados por anticipado nacional parte relacionada"
"account_subgroup_arrendamiento_financiero_pagados_por_anticipado_extranjero_parte_relacionada","Foreign prepaid finance lease foreign related party","109.20","Arrendamiento financiero pagados por anticipado extranjero parte relacionada"
"account_subgroup_pérdida_por_deterioro_de_pagos_anticipados","Impairment loss on prepayments","109.21","Pérdida por deterioro de pagos anticipados"
"account_subgroup_derechos_fiduciarios","Fiduciary rights","109.22","Derechos fiduciarios"
"account_subgroup_otros_pagos_anticipados","Other advance payments","109.23","Otros pagos anticipados"
"account_subgroup_subsidio_al_empleo_por_aplicar","Employment subsidy to be applied","110","Subsidio al empleo por aplicar"
"account_subgroup_subsidio_al_empleo_por_aplicar_1","Employment subsidy to be applied","110.01","Subsidio al empleo por aplicar"
"account_subgroup_crédito_al_diesel_por_acreditar","Diesel credit to be credited","111","Crédito al diesel por acreditar"
"account_subgroup_crédito_al_diesel_por_acreditar_1","Diesel credit to be credited","111.01","Crédito al diesel por acreditar"
"account_subgroup_otros_estímulos","Other stimuli","112","Otros estímulos"
"account_subgroup_otros_estímulos_1","Other stimuli","112.01","Otros estímulos"
"account_subgroup_impuestos_a_favor","Tax credit","113","Impuestos a favor"
"account_subgroup_iva_a_favor","VAT receivable","113.01","IVA a favor"
"account_subgroup_isr_a_favor","Income tax to recover","113.02","ISR a favor"
"account_subgroup_ietu_a_favor","Single Rate Business Tax in favour","113.03","IETU a favor"
"account_subgroup_ide_a_favor","FDI in favour","113.04","IDE a favor"
"account_subgroup_ia_a_favor","AI in favour","113.05","IA a favor"
"account_subgroup_subsidio_al_empleo","Employment subsidy","113.06","Subsidio al empleo"
"account_subgroup_pago_de_lo_indebido","Payment of the undue","113.07","Pago de lo indebido"
"account_subgroup_otros_impuestos_a_favor","Other taxes in favour","113.08","Otros impuestos a favor"
"account_subgroup_pagos_provisionales","Provisional payments","114","Pagos provisionales"
"account_subgroup_pagos_provisionales_de_isr","Provisional income tax payments","114.01","Pagos provisionales de ISR"
"account_subgroup_inventario","Inventory","115","Inventario"
"account_subgroup_inventario_1","Inventory","115.01","Inventario"
"account_subgroup_materia_prima_y_materiales","Raw materials and materials","115.02","Materia prima y materiales"
"account_subgroup_producción_en_proceso","Production in progress","115.03","Producción en proceso"
"account_subgroup_productos_terminados","Finished products","115.04","Productos terminados"
"account_subgroup_mercancías_en_tránsito","Goods in transit","115.05","Mercancías en tránsito"
"account_subgroup_mercancías_en_poder_de_terceros","Goods held by third parties","115.06","Mercancías en poder de terceros"
"account_subgroup_otros","Other","115.07","Otros"
"account_subgroup_estimación_de_inventarios_obsoletos_y_de_lento_movimiento","Estimation of obsolete and slow-moving inventories","116","Estimación de inventarios obsoletos y de lento movimiento"
"account_subgroup_estimación_de_inventarios_obsoletos_y_de_lento_movimiento_1","Estimation of obsolete and slow-moving inventories","116.01","Estimación de inventarios obsoletos y de lento movimiento"
"account_subgroup_obras_en_proceso_de_inmuebles","Real estate works in progress","117","Obras en proceso de inmuebles"
"account_subgroup_obras_en_proceso_de_inmuebles_1","Real estate works in progress","117.01","Obras en proceso de inmuebles"
"account_subgroup_impuestos_acreditables_pagados","Creditable taxes paid","118","Impuestos acreditables pagados"
"account_subgroup_iva_acreditable_pagado","Creditable VAT paid","118.01","IVA acreditable pagado"
"account_subgroup_iva_acreditable_de_importación_pagado","Creditable import VAT paid","118.02","IVA acreditable de importación pagado"
"account_subgroup_ieps_acreditable_pagado","Creditable IEPS paid","118.03","IEPS acreditable pagado"
"account_subgroup_ieps_pagado_en_importación","IEPS paid on import","118.04","IEPS pagado en importación"
"account_subgroup_impuestos_acreditables_por_pagar","Taxes payable","119","Impuestos acreditables por pagar"
"account_subgroup_iva_pendiente_de_pago","VAT due","119.01","IVA pendiente de pago"
"account_subgroup_iva_de_importación_pendiente_de_pago","Import VAT due","119.02","IVA de importación pendiente de pago"
"account_subgroup_ieps_pendiente_de_pago","IEPS pending payment","119.03","IEPS pendiente de pago"
"account_subgroup_ieps_pendiente_de_pago_en_importación","IEPS pending payment on importation","119.04","IEPS pendiente de pago en importación"
"account_subgroup_anticipo_a_proveedores","Advances to suppliers","120","Anticipo a proveedores"
"account_subgroup_anticipo_a_proveedores_nacional","Advance to national suppliers","120.01","Anticipo a proveedores nacional"
"account_subgroup_anticipo_a_proveedores_extranjero","Advance payment to foreign suppliers","120.02","Anticipo a proveedores extranjero"
"account_subgroup_anticipo_a_proveedores_nacional_parte_relacionada","Advance to suppliers national related party","120.03","Anticipo a proveedores nacional parte relacionada"
"account_subgroup_anticipo_a_proveedores_extranjero_parte_relacionada","Advance to foreign suppliers related party","120.04","Anticipo a proveedores extranjero parte relacionada"
"account_subgroup_otros_activos_a_corto_plazo","Other short-term assets","121","Otros activos a corto plazo"
"account_subgroup_otros_activos_a_corto_plazo_1","Other short-term assets","121.01","Otros activos a corto plazo"
"account_subgroup_activo_a_largo_plazo","Long-term assets","100.02","Activo a largo plazo"
"account_subgroup_terrenos","Land","151","Terrenos"
"account_subgroup_terrenos_1","Land","151.01","Terrenos"
"account_subgroup_edificios","Buildings","152","Edificios"
"account_subgroup_edificios_1","Buildings","152.01","Edificios"
"account_subgroup_maquinaria_y_equipo","Machinery and equipment","153","Maquinaria y equipo"
"account_subgroup_maquinaria_y_equipo_1","Machinery and equipment","153.01","Maquinaria y equipo"
"account_subgroup_automóviles,_autobuses,_camiones_de_carga,_tractocamiones,_montacargas_y_remolques","Automobiles, buses, cargo trucks, tractor-trailers, forklifts and trailers","154","Automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques"
"account_subgroup_automóviles,_autobuses,_camiones_de_carga,_tractocamiones,_montacargas_y_remolques_1","Automobiles, buses, cargo trucks, tractor-trailers, forklifts and trailers","154.01","Automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques"
"account_subgroup_mobiliario_y_equipo_de_oficina","Office furniture and equipment","155","Mobiliario y equipo de oficina"
"account_subgroup_mobiliario_y_equipo_de_oficina_1","Office furniture and equipment","155.01","Mobiliario y equipo de oficina"
"account_subgroup_equipo_de_cómputo","Computer equipment","156","Equipo de cómputo"
"account_subgroup_equipo_de_cómputo_1","Computer equipment","156.01","Equipo de cómputo"
"account_subgroup_equipo_de_comunicación","Communication equipment","157","Equipo de comunicación"
"account_subgroup_equipo_de_comunicación_1","Communication equipment","157.01","Equipo de comunicación"
"account_subgroup_activos_biológicos,_vegetales_y_semovientes","Biological, plant and livestock assets","158","Activos biológicos, vegetales y semovientes"
"account_subgroup_activos_biológicos,_vegetales_y_semovientes_1","Biological, plant and livestock assets","158.01","Activos biológicos, vegetales y semovientes"
"account_subgroup_obras_en_proceso_de_activos_fijos","Work in progress on fixed assets","159","Obras en proceso de activos fijos"
"account_subgroup_obras_en_proceso_de_activos_fijos_1","Work in progress on fixed assets","159.01","Obras en proceso de activos fijos"
"account_subgroup_otros_activos_fijos","Other fixed assets","160","Otros activos fijos"
"account_subgroup_otros_activos_fijos_1","Other fixed assets","160.01","Otros activos fijos"
"account_subgroup_ferrocarriles","Railways","161","Ferrocarriles"
"account_subgroup_ferrocarriles_1","Railways","161.01","Ferrocarriles"
"account_subgroup_embarcaciones","Ships","162","Embarcaciones"
"account_subgroup_embarcaciones_1","Ships","162.01","Embarcaciones"
"account_subgroup_aviones","Planes","163","Aviones"
"account_subgroup_aviones_1","Planes","163.01","Aviones"
"account_subgroup_troqueles,_moldes,_matrices_y_herramental","Tools, dies, moulds, patterns and tooling","164","Troqueles, moldes, matrices y herramental"
"account_subgroup_troqueles,_moldes,_matrices_y_herramental_1","Tools, dies, moulds, patterns and tooling","164.01","Troqueles, moldes, matrices y herramental"
"account_subgroup_equipo_de_comunicaciones_telefónicas","Telephone communications equipment","165","Equipo de comunicaciones telefónicas"
"account_subgroup_equipo_de_comunicaciones_telefónicas_1","Telephone communications equipment","165.01","Equipo de comunicaciones telefónicas"
"account_subgroup_equipo_de_comunicación_satelital","Satellite communication equipment","166","Equipo de comunicación satelital"
"account_subgroup_equipo_de_comunicación_satelital_1","Satellite communication equipment","166.01","Equipo de comunicación satelital"
"account_subgroup_equipo_de_adaptaciones_para_personas_con_capacidades_diferentes","Adaptation equipment for people with disabilities","167","Equipo de adaptaciones para personas con capacidades diferentes"
"account_subgroup_equipo_de_adaptaciones_para_personas_con_capacidades_diferentes_1","Adaptation equipment for people with disabilities","167.01","Equipo de adaptaciones para personas con capacidades diferentes"
"account_subgroup_maquinaria_y_equipo_de_generación_de_energía_de_fuentes_renovables_o_de_sistemas_de_cogeneración_de_electricidad_eficiente","Machinery and equipment for the generation of energy from renewable sources or efficient combined heat and power (CHP) systems","168","Maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente"
"account_subgroup_maquinaria_y_equipo_de_generación_de_energía_de_fuentes_renovables_o_de_sistemas_de_cogeneración_de_electricidad_eficiente_1","Machinery and equipment for the generation of energy from renewable sources or efficient combined heat and power (CHP) systems","168.01","Maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente"
"account_subgroup_otra_maquinaria_y_equipo","Other machinery and equipment","169","Otra maquinaria y equipo"
"account_subgroup_otra_maquinaria_y_equipo_1","Other machinery and equipment","169.01","Otra maquinaria y equipo"
"account_subgroup_adaptaciones_y_mejoras","Adaptations and improvements","170","Adaptaciones y mejoras"
"account_subgroup_adaptaciones_y_mejoras_1","Adaptations and improvements","170.01","Adaptaciones y mejoras"
"account_subgroup_depreciación_acumulada_de_activos_fijos","Accumulated depreciation of fixed assets","171","Depreciación acumulada de activos fijos"
"account_subgroup_depreciación_acumulada_de_edificios","Accumulated depreciation of buildings","171.01","Depreciación acumulada de edificios"
"account_subgroup_depreciación_acumulada_de_maquinaria_y_equipo","Accumulated depreciation of machinery and equipment","171.02","Depreciación acumulada de maquinaria y equipo"
"account_subgroup_depreciación_acumulada_de_automóviles,_autobuses,_camiones_de_carga,_tractocamiones,_montacargas_y_remolques","Accumulated depreciation of cars, buses, cargo trucks, tractor-trailers, forklifts and trailers","171.03","Depreciación acumulada de automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques"
"account_subgroup_depreciación_acumulada_de_mobiliario_y_equipo_de_oficina","Accumulated depreciation of office furniture and equipment","171.04","Depreciación acumulada de mobiliario y equipo de oficina"
"account_subgroup_depreciación_acumulada_de_equipo_de_cómputo","Accumulated depreciation of computer equipment","171.05","Depreciación acumulada de equipo de cómputo"
"account_subgroup_depreciación_acumulada_de_equipo_de_comunicación","Accumulated depreciation of communication equipment","171.06","Depreciación acumulada de equipo de comunicación"
"account_subgroup_depreciación_acumulada_de_activos_biológicos,_vegetales_y_semovientes","Accumulated depreciation of biological, plant and livestock assets","171.07","Depreciación acumulada de activos biológicos, vegetales y semovientes"
"account_subgroup_depreciación_acumulada_de_otros_activos_fijos","Accumulated depreciation of other fixed assets","171.08","Depreciación acumulada de otros activos fijos"
"account_subgroup_depreciación_acumulada_de_ferrocarriles","Accumulated depreciation of railways","171.09","Depreciación acumulada de ferrocarriles"
"account_subgroup_depreciación_acumulada_de_embarcaciones","Accumulated depreciation of ships","171.10","Depreciación acumulada de embarcaciones"
"account_subgroup_depreciación_acumulada_de_aviones","Accumulated aircraft depreciation","171.11","Depreciación acumulada de aviones"
"account_subgroup_depreciación_acumulada_de_troqueles,_moldes,_matrices_y_herramental","Accumulated depreciation of dies, moulds, patterns and tooling","171.12","Depreciación acumulada de troqueles, moldes, matrices y herramental"
"account_subgroup_depreciación_acumulada_de_equipo_de_comunicaciones_telefónicas","Accumulated depreciation of telephone communications equipment","171.13","Depreciación acumulada de equipo de comunicaciones telefónicas"
"account_subgroup_depreciación_acumulada_de_equipo_de_comunicación_satelital","Accumulated depreciation of satellite communication equipment","171.14","Depreciación acumulada de equipo de comunicación satelital"
"account_subgroup_depreciación_acumulada_de_equipo_de_adaptaciones_para_personas_con_capacidades_diferentes","Accumulated depreciation of adaptive equipment for people with disabilities","171.15","Depreciación acumulada de equipo de adaptaciones para personas con capacidades diferentes"
"account_subgroup_depreciación_acumulada_de_maquinaria_y_equipo_de_generación_de_energía_de_fuentes_renovables_o_de_sistemas_de_cogeneración_de_electricidad_eficiente","Accumulated depreciation of machinery and equipment for power generation from renewable sources or efficient co-generation systems","171.16","Depreciación acumulada de maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente"
"account_subgroup_depreciación_acumulada_de_adaptaciones_y_mejoras","Accumulated depreciation of adaptations and improvements","171.17","Depreciación acumulada de adaptaciones y mejoras"
"account_subgroup_depreciación_acumulada_de_otra_maquinaria_y_equipo","Accumulated depreciation of other machinery and equipment","171.18","Depreciación acumulada de otra maquinaria y equipo"
"account_subgroup_pérdida_por_deterioro_acumulado_de_activos_fijos","Accumulated impairment loss on fixed assets","172","Pérdida por deterioro acumulado de activos fijos"
"account_subgroup_pérdida_por_deterioro_acumulado_de_edificios","Accumulated impairment loss on buildings","172.01","Pérdida por deterioro acumulado de edificios"
"account_subgroup_pérdida_por_deterioro_acumulado_de_maquinaria_y_equipo","Accumulated impairment loss on machinery and equipment","172.02","Pérdida por deterioro acumulado de maquinaria y equipo"
"account_subgroup_pérdida_por_deterioro_acumulado_de_automóviles,_autobuses,_camiones_de_carga,_tractocamiones,_montacargas_y_remolques","Loss from accumulated impairment of automobiles, buses, cargo trucks, tractor-trailers, forklifts and trailers","172.03","Pérdida por deterioro acumulado de automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques"
"account_subgroup_pérdida_por_deterioro_acumulado_de_mobiliario_y_equipo_de_oficina","Accumulated impairment loss on office furniture and equipment","172.04","Pérdida por deterioro acumulado de mobiliario y equipo de oficina"
"account_subgroup_pérdida_por_deterioro_acumulado_de_equipo_de_cómputo","Accumulated impairment loss on computer equipment","172.05","Pérdida por deterioro acumulado de equipo de cómputo"
"account_subgroup_pérdida_por_deterioro_acumulado_de_equipo_de_comunicación","Accumulated impairment loss on communication equipment","172.06","Pérdida por deterioro acumulado de equipo de comunicación"
"account_subgroup_pérdida_por_deterioro_acumulado_de_activos_biológicos,_vegetales_y_semovientes","Accumulated impairment loss on biological assets, plants and livestock","172.07","Pérdida por deterioro acumulado de activos biológicos, vegetales y semovientes"
"account_subgroup_pérdida_por_deterioro_acumulado_de_otros_activos_fijos","Accumulated impairment loss on other fixed assets","172.08","Pérdida por deterioro acumulado de otros activos fijos"
"account_subgroup_pérdida_por_deterioro_acumulado_de_ferrocarriles","Accumulated impairment loss on railways","172.09","Pérdida por deterioro acumulado de ferrocarriles"
"account_subgroup_pérdida_por_deterioro_acumulado_de_embarcaciones","Accumulated impairment loss on ships","172.10","Pérdida por deterioro acumulado de embarcaciones"
"account_subgroup_pérdida_por_deterioro_acumulado_de_aviones","Accumulated impairment loss on aircraft","172.11","Pérdida por deterioro acumulado de aviones"
"account_subgroup_pérdida_por_deterioro_acumulado_de_troqueles,_moldes,_matrices_y_herramental","Accumulated impairment loss on dies, moulds, patterns and tooling","172.12","Pérdida por deterioro acumulado de troqueles, moldes, matrices y herramental"
"account_subgroup_pérdida_por_deterioro_acumulado_de_equipo_de_comunicaciones_telefónicas","Accumulated impairment loss on telephone communication equipment","172.13","Pérdida por deterioro acumulado de equipo de comunicaciones telefónicas"
"account_subgroup_pérdida_por_deterioro_acumulado_de_equipo_de_comunicación_satelital","Accumulated impairment loss of satellite communication equipment","172.14","Pérdida por deterioro acumulado de equipo de comunicación satelital"
"account_subgroup_pérdida_por_deterioro_acumulado_de_equipo_de_adaptaciones_para_personas_con_capacidades_diferentes","Loss due to accumulated impairment of adaptive equipment for people with disabilities","172.15","Pérdida por deterioro acumulado de equipo de adaptaciones para personas con capacidades diferentes"
"account_subgroup_pérdida_por_deterioro_acumulado_de_maquinaria_y_equipo_de_generación_de_energía_de_fuentes_renovables_o_de_sistemas_de_cogeneración_de_electricidad_eficiente","Accumulated impairment loss on machinery and equipment for the generation of energy from renewable sources or efficient combined heat and power systems","172.16","Pérdida por deterioro acumulado de maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente"
"account_subgroup_pérdida_por_deterioro_acumulado_de_adaptaciones_y_mejoras","Accumulated impairment loss on adaptations and improvements","172.17","Pérdida por deterioro acumulado de adaptaciones y mejoras"
"account_subgroup_pérdida_por_deterioro_acumulado_de_otra_maquinaria_y_equipo","Accumulated impairment loss on other machinery and equipment","172.18","Pérdida por deterioro acumulado de otra maquinaria y equipo"
"account_subgroup_gastos_diferidos","Deferred expenditure","173","Gastos diferidos"
"account_subgroup_gastos_diferidos_1","Deferred expenditure","173.01","Gastos diferidos"
"account_subgroup_gastos_pre_operativos","Pre-operational expenditure","174","Gastos pre operativos"
"account_subgroup_gastos_pre_operativos_1","Pre-operational expenditure","174.01","Gastos pre operativos"
"account_subgroup_regalías,_asistencia_técnica_y_otros_gastos_diferidos","Royalties, technical assistance and other deferred expenses","175","Regalías, asistencia técnica y otros gastos diferidos"
"account_subgroup_regalías,_asistencia_técnica_y_otros_gastos_diferidos_1","Royalties, technical assistance and other deferred expenses","175.01","Regalías, asistencia técnica y otros gastos diferidos"
"account_subgroup_activos_intangibles","Activos intangibles","176","Activos intangibles"
"account_subgroup_activos_intangibles_1","Activos intangibles","176.01","Activos intangibles"
"account_subgroup_gastos_de_organización","Gastos de organización","177","Gastos de organización"
"account_subgroup_gastos_de_organización_1","Gastos de organización","177.01","Gastos de organización"
"account_subgroup_investigación_y_desarrollo_de_mercado","Investigación y desarrollo de mercado","178","Investigación y desarrollo de mercado"
"account_subgroup_investigación_y_desarrollo_de_mercado_1","Investigación y desarrollo de mercado","178.01","Investigación y desarrollo de mercado"
"account_subgroup_marcas_y_patentes","Trademarks and patents","179","Marcas y patentes"
"account_subgroup_marcas_y_patentes_1","Trademarks and patents","179.01","Marcas y patentes"
"account_subgroup_crédito_mercantil","Goodwill","180","Crédito mercantil"
"account_subgroup_crédito_mercantil_1","Goodwill","180.01","Crédito mercantil"
"account_subgroup_gastos_de_instalación","Installation costs","181","Gastos de instalación"
"account_subgroup_gastos_de_instalación_1","Installation costs","181.01","Gastos de instalación"
"account_subgroup_otros_activos_diferidos","Other deferred assets","182","Otros activos diferidos"
"account_subgroup_otros_activos_diferidos_1","Other deferred assets","182.01","Otros activos diferidos"
"account_subgroup_amortización_acumulada_de_activos_diferidos","Accumulated amortisation of deferred assets","183","Amortización acumulada de activos diferidos"
"account_subgroup_amortización_acumulada_de_gastos_diferidos","Accumulated amortisation of deferred expenses","183.01","Amortización acumulada de gastos diferidos"
"account_subgroup_amortización_acumulada_de_gastos_pre_operativos","Accumulated amortisation of pre-operating expenses","183.02","Amortización acumulada de gastos pre operativos"
"account_subgroup_amortización_acumulada_de_regalías,_asistencia_técnica_y_otros_gastos_diferidos","Accrued amortisation of royalties, technical assistance and other deferred expenses","183.03","Amortización acumulada de regalías, asistencia técnica y otros gastos diferidos"
"account_subgroup_amortización_acumulada_de_activos_intangibles","Accumulated amortisation of intangible assets","183.04","Amortización acumulada de activos intangibles"
"account_subgroup_amortización_acumulada_de_gastos_de_organización","Accumulated amortisation of organisational costs","183.05","Amortización acumulada de gastos de organización"
"account_subgroup_amortización_acumulada_de_investigación_y_desarrollo_de_mercado","Accumulated amortisation of market research and development","183.06","Amortización acumulada de investigación y desarrollo de mercado"
"account_subgroup_amortización_acumulada_de_marcas_y_patentes","Accumulated amortisation of trademarks and patents","183.07","Amortización acumulada de marcas y patentes"
"account_subgroup_amortización_acumulada_de_crédito_mercantil","Accumulated amortisation of goodwill","183.08","Amortización acumulada de crédito mercantil"
"account_subgroup_amortización_acumulada_de_gastos_de_instalación","Accumulated depreciation of installation costs","183.09","Amortización acumulada de gastos de instalación"
"account_subgroup_amortización_acumulada_de_otros_activos_diferidos","Accumulated amortisation of other deferred assets","183.10","Amortización acumulada de otros activos diferidos"
"account_subgroup_depósitos_en_garantía","Guarantee deposits","184","Depósitos en garantía"
"account_subgroup_depósitos_de_fianzas","Security deposits","184.01","Depósitos de fianzas"
"account_subgroup_depósitos_de_arrendamiento_de_bienes_inmuebles","Deposits from the lease of real estate","184.02","Depósitos de arrendamiento de bienes inmuebles"
"account_subgroup_otros_depósitos_en_garantía","Other security deposits","184.03","Otros depósitos en garantía"
