"id","name","code","account_type","reconcile","non_trade","name@cs","description","description@cs","tax_ids","depreciation_model_id"
"chart_cz_027000","Valuation difference on acquired assets","027000","asset_fixed","False","","Oceňovací rozdíl k nabytému majetku","Difference between the valuation of an acquired business's assets and the actual acquisition cost.","Rozdíl mezi oceněním aktiv nabytého podniku a skutečnou pořizovací cenou.","",""
"chart_cz_029000","Other tangible fixed assets","029000","asset_fixed","False","","Jiný dlouhodobý hmotný majetek","Miscellaneous long-term physical assets that do not fall under buildings, equipment, or vehicles.","Různý dlouhodobý hmotný majetek, který nespadá pod budovy, vybavení nebo vozidla.","",""
"chart_cz_031000","Land","031000","asset_fixed","False","","Pozemky","Purchases of land without buildings on it, including escrow and real estate commissions.","Nákupy pozemků bez budov, včetně poplatků za úschovu a provizí realitním kancelářím.","","asset_no_depreciation"
"chart_cz_032000","Works of art and collections","032000","asset_fixed","False","","Umělecká díla a sbírky","Paintings, sculptures, and historical collections that do not lose value and are not depreciated.","Obrazy, sochy a historické sbírky, které neztrácejí na hodnotě a neodepisují se.","",""
"chart_cz_041000","Acquisition of intangible fixed assets","041000","asset_non_current","False","","Pořízení dlouhodobého nehmotného majetku","Clearing account to gather costs during the procurement or development of intangible assets before activation.","Kalkulační účet pro shromažďování nákladů během pořizování nebo vývoje nehmotného majetku před aktivací.","",""
"chart_cz_042000","Acquisition of tangible fixed assets","042000","asset_non_current","False","","Pořízení dlouhodobého hmotného majetku","Clearing account to aggregate construction or purchasing costs of physical assets before they are put into use.","Kalkulační účet pro agregaci nákladů na výstavbu nebo nákup fyzických aktiv před jejich uvedením do užívání.","",""
"chart_cz_043000","Acquisition of financial fixed assets","043000","asset_non_current","False","","Pořízení dlouhodobého finančního majetku","Clearing account used temporarily when purchasing shares or long-term securities before the transaction is finalized.","Kalkulační účet dočasně používaný při nákupu akcií nebo dlouhodobých cenných papírů před dokončením transakce.","",""
"chart_cz_051000","Advances made for intangible fixed assets","051000","asset_non_current","False","","Poskytnuté zálohy na dlouhodobý nehmotný majetek","Deposits and upfront payments provided to vendors for the future delivery of software or rights.","Zálohy a platby předem poskytnuté dodavatelům na budoucí dodání softwaru nebo práv.","",""
"chart_cz_052000","Advances made for tangible fixed assets","052000","asset_non_current","False","","Poskytnuté zálohy na dlouhodobý hmotný majetek","Deposits and upfront payments provided to contractors or vendors for the future delivery of physical assets.","Zálohy a platby předem poskytnuté dodavatelům na budoucí dodávky fyzického majetku.","",""
"chart_cz_053000","Advances made for fixed financial assets","053000","asset_non_current","False","","Poskytnuté zálohy na dlouhodobý finanční majetek","Deposits provided in advance for the acquisition of long-term shares or securities.","Zálohy poskytnuté předem na pořízení dlouhodobých podílů nebo cenných papírů.","",""
"chart_cz_061000","Shares - controlled and controlling person","061000","asset_non_current","False","","Podíly - ovládaná a ovládajicí osoba","Long-term equity investments in subsidiaries or parent companies where the business exercises control.","Dlouhodobé kapitálové investice do dceřiných nebo mateřských společností, kde podnik vykonává kontrolu.","",""
"chart_cz_062000","Interests in entities under significant influence","062000","asset_non_current","False","","Podíly v účetních jednotkách pod podstatným vplyvem","Long-term investments in associate companies where the business holds significant influence but not full control.","Dlouhodobé investice do přidružených společností, kde má podnik podstatný vliv, ale ne plnou kontrolu.","",""
"chart_cz_063000","Other long-term securities and shares","063000","asset_non_current","False","","Ostatní dlouhodobé cenné papíry a podíly","Minority shares and long-term securities held for investment purposes without significant influence.","Menšinové podíly a dlouhodobé cenné papíry držené za účelem investic bez podstatného vlivu.","",""
"chart_cz_065000","Debt securities held to maturity","065000","asset_non_current","False","","Dluhové cenné papíry držené do splatnosti","Corporate or government bonds and debentures intended to be held until their maturity date.","Firemní nebo státní dluhopisy, u kterých se předpokládá držení až do data jejich splatnosti.","",""
"chart_cz_066000","Borrowings and loans - controlled and non-controlling interests","066000","asset_non_current","False","","Zápůjčky a úvěry - ovládaná neno ovládajicí osoba","Long-term loans and credit lines provided to subsidiaries or the parent company.","Dlouhodobé půjčky a úvěrové linky poskytnuté dceřiným nebo mateřským společnostem.","",""
"chart_cz_067000","Other borrowings and loans","067000","asset_non_current","False","","Ostatní zápůjčky a úvěry","Long-term financial loans provided to unrelated third parties outside the corporate group.","Dlouhodobé finanční půjčky poskytnuté nespřízněným třetím stranám mimo korporátní skupinu.","",""
"chart_cz_068000","Borrowings and loans - significant influence","068000","asset_non_current","False","","Zápůjčky a úvěry - podstatný vliv","Long-term loans provided to associated entities where the company holds significant influence.","Dlouhodobé půjčky poskytnuté přidruženým účetním jednotkám, kde má společnost podstatný vliv.","",""
"chart_cz_069000","Other non-current financial assets","069000","asset_non_current","False","","Jiný dlouhodobý finanční majetek","Miscellaneous long-term financial assets, such as long-term restricted deposits or specialized financial instruments.","Různý dlouhodobý finanční majetek, jako jsou dlouhodobě vázané vklady nebo specializované finanční nástroje.","",""
"chart_cz_072000","Rights to intangible research and development results","072000","asset_non_current","False","","Oprávky k nehmotným výsledkům výzkumu a vývoje","Contra-asset account tracking the cumulative amortization of capitalized R&D results.","Účet oprávek sledující kumulované odpisy aktivovaných výsledků výzkumu a vývoje.","",""
"chart_cz_073000","Software rights","073000","asset_non_current","False","","Oprávky k softwaru","Contra-asset account tracking the cumulative amortization of capitalized software and licenses.","Účet oprávek sledující kumulované odpisy aktivovaného softwaru a licencí.","",""
"chart_cz_074000","Rights to measurable rights","074000","asset_non_current","False","","Oprávky k ocenitelným právům","Contra-asset account tracking the cumulative amortization of patents, trademarks, and valuable rights.","Účet oprávek sledující kumulované odpisy patentů, ochranných známek a ocenitelných práv.","",""
"chart_cz_075000","Goodwill rights","075000","asset_non_current","False","","Oprávky ke goodwillu","Contra-asset account tracking the systematic amortization of acquired goodwill over its useful life.","Účet oprávek sledující systematické odepisování pořízeného goodwillu po dobu jeho životnosti.","",""
"chart_cz_079000","Rights to other intangible fixed assets","079000","asset_non_current","False","","Oprávky k ostatnímu dlouhodobému nehmotnému majetku","Contra-asset account tracking the cumulative amortization of other miscellaneous intangible assets.","Účet oprávek sledující kumulované odpisy ostatního nehmotného majetku.","",""
"chart_cz_081000","Rights to buildings","081000","asset_non_current","False","","Oprávky k stavbám","Contra-asset account tracking the cumulative depreciation of corporate buildings and structures.","Účet oprávek sledující kumulované odpisy firemních budov a staveb.","",""
"chart_cz_082000","Rights to tangible movable assets and tangible assemblies","082000","asset_non_current","False","","Oprávky k hmotným movitým věcem a jejich souborům","Contra-asset account tracking the cumulative depreciation of machinery, equipment, and movable assemblies.","Účet oprávek sledující kumulované odpisy strojů, zařízení a souborů movitých věcí.","",""
"chart_cz_085000","Rights to perennial crops","085000","asset_non_current","False","","Oprávky k pěstitelským celkům trvalých porostů","Contra-asset account tracking the cumulative depreciation of orchards, vineyards, and agricultural crops.","Účet oprávek sledující kumulované odpisy sadů, vinic a zemědělských trvalých porostů.","",""
"chart_cz_086000","Rights to adult animals and groups thereof","086000","asset_non_current","False","","Oprávky k dospělým zvířatům a jejich skupinám","Contra-asset account tracking the cumulative depreciation of commercial livestock and breeding animals.","Účet oprávek sledující kumulované odpisy hospodářských a plemenných zvířat.","",""
"chart_cz_089000","Rights to other tangible fixed assets","089000","asset_non_current","False","","Oprávky k jinému dlouhodobému hmotnému majetku","Contra-asset account tracking the cumulative depreciation of miscellaneous long-term physical assets.","Účet oprávek sledující kumulované odpisy různého dlouhodobého hmotného majetku.","",""
"chart_cz_091000","Allowance for intangible fixed assets","091000","asset_non_current","False","","Opravná položka k dlouhodobému nehmotnému majetku","Provisions reflecting temporary impairment or loss of value in software, rights, or other intangible assets.","Opravné položky odrážející přechodné snížení hodnoty softwaru, práv nebo jiného nehmotného majetku.","",""
"chart_cz_092000","Allowance for tangible fixed assets","092000","asset_non_current","False","","Opravná položka k dlouhodobému hmotnému majetku","Provisions reflecting temporary impairment or damage to buildings, machinery, or tangible assets.","Opravné položky odrážející přechodné snížení hodnoty nebo poškození budov, strojů či hmotného majetku.","",""
"chart_cz_093000","Allowance for intangible fixed assets in progress","093000","asset_non_current","False","","Opravná položka k dlouhodobému nedokončenému nehmotnému majetku","Provisions for paused or impaired internal software development or R&D projects.","Opravné položky pro pozastavený nebo znehodnocený interní vývoj softwaru či výzkumné projekty.","",""
"chart_cz_094000","Allowance for intangible fixed assets","094000","asset_non_current","False","","Opravná položka k dlouhodobému nedokončenému hmotnému majetku","Provisions for halted construction projects or impaired physical assets currently being built.","Opravné položky k pozastaveným stavebním projektům nebo znehodnocenému nedokončenému hmotnému majetku.","",""
"chart_cz_095000","Allowance for advances on fixed assets","095000","asset_non_current","False","","Opravná položka k poskytnutým zálohám na dlouhodobý majetek","Provisions for risky advances paid to suppliers who may fail to deliver the fixed assets.","Opravné položky k rizikovým zálohám vyplaceným dodavatelům, u kterých hrozí nedodání majetku.","",""
"chart_cz_096000","Allowance for fixed financial assets","096000","asset_non_current","False","","Opravná položka k dlouhodobému finančnímu majetku","Provisions reflecting temporary drops in the market value of long-term investments or shares.","Opravné položky odrážející přechodný pokles tržní hodnoty dlouhodobých investic nebo podílů.","",""
"chart_cz_097000","Valuation difference on acquired assets","097000","asset_non_current","False","","Oceňovací rozdíl k nabytému majetku","Account tracking the unamortized portion of the valuation difference from an acquired business.","Účet sledující neodepsanou část oceňovacího rozdílu z nabytého podniku.","",""
"chart_cz_098000","Allowance for valuation difference on acquired assets","098000","asset_non_current","False","","Oprávky k oceňovacímu rozdílu k nabytému majetku","Contra-asset account tracking the systematic amortization of the acquired asset valuation difference.","Účet oprávek sledující systematické odepisování oceňovacího rozdílu k nabytému majetku.","",""
"chart_cz_111000","Acquisition of materials","111000","asset_current","False","","Pořízení materiálu","Clearing account for materials purchased but not yet fully received into the warehouse inventory.","Kalkulační účet pro materiál nakoupený, ale ještě plně nepřijatý do skladových zásob.","",""
"chart_cz_112000","Material in stock","112000","asset_current","False","","Materiál na skladě","Current value of raw materials, components, and packaging currently held in the warehouse.","Aktuální hodnota surovin, komponent a obalů aktuálně držených na skladě.","",""
"chart_cz_119000","Material in transit","119000","asset_current","False","","Materiál na cestě","Materials that have been invoiced by the supplier but are physically still in transit to the company.","Materiál, který byl dodavatelem vyfakturován, ale fyzicky je stále na cestě do společnosti.","",""
"chart_cz_121000","Work in progress","121000","asset_current","False","","Nedokončená výroba","Value of partially finished goods currently on the production floor awaiting completion.","Hodnota částečně hotových výrobků, které se aktuálně nacházejí ve výrobě a čekají na dokončení.","",""
"chart_cz_122000","Semi-finished goods","122000","asset_current","False","","Polotovary","Internally produced parts stored to be used later in the final assembly of finished products.","Interně vyrobené díly uskladněné pro pozdější použití při finální montáži hotových výrobků.","",""
"chart_cz_123000","Products","123000","asset_current","False","","Výrobky","Fully completed goods manufactured by the company, ready for sale and dispatch to customers.","Zcela dokončené výrobky vyrobené společností, připravené k prodeji a odeslání zákazníkům.","",""
"chart_cz_124000","Young and other animals and groups thereof","124000","asset_current","False","","Mladá a ostatní zvířata ajejich skupiny","Livestock inventory being raised for future sale or future transfer to long-term adult animal assets.","Zásoby hospodářských zvířat chovaných pro budoucí prodej nebo budoucí převod do dlouhodobého majetku.","",""
"chart_cz_131000","Acquisition of goods","131000","asset_current","False","","Pořízení zboží","Clearing account for commercial merchandise purchased for resale but not yet received in stores.","Kalkulační účet pro komerční zboží nakoupené za účelem dalšího prodeje, ale ještě nepřijaté na prodejny.","",""
"chart_cz_132000","Goods in stock and in stores","132000","asset_current","False","","Zboží na skladě a v prodejnách","Current value of standard merchandise sitting on store shelves or in retail warehouses ready for resale.","Aktuální hodnota standardního zboží v regálech prodejen nebo v maloobchodních skladech připraveného k prodeji.","",""
"chart_cz_139000","Goods on the way","139000","asset_current","False","","Zboží na cestě","Merchandise for resale that has been invoiced but is currently in physical transit from the vendor.","Zboží určené k dalšímu prodeji, které bylo vyfakturováno, ale aktuálně je na cestě od dodavatele.","",""
"chart_cz_151000","Advances made for materials","151000","asset_current","False","","Poskytnuté zálohy na materiál","Upfront payments sent to vendors to secure raw materials and components for production.","Zálohy zaslané dodavatelům na zajištění surovin a komponent pro výrobu.","",""
"chart_cz_152000","Advances made for animals","152000","asset_current","False","","Poskytnuté zálohy na zvířata","Upfront payments sent to agricultural vendors to secure the purchase of livestock.","Zálohy zaslané zemědělským dodavatelům na zajištění nákupu hospodářských zvířat.","",""
"chart_cz_153000","Advances made for goods","153000","asset_current","False","","Poskytnuté zálohy na zboží","Upfront payments sent to suppliers to secure batches of commercial merchandise for retail.","Zálohy zaslané dodavatelům k zajištění dodávek komerčního zboží pro maloobchod.","",""
"chart_cz_191000","Allowance for materials","191000","asset_current","False","","Opravná položka k materiálu","Provisions covering obsolete, damaged, or slow-moving raw materials in the warehouse.","Opravné položky kryjící zastaralé, poškozené nebo pomalu obrátkové suroviny na skladě.","",""
"chart_cz_192000","Allowance for work in progress","192000","asset_current","False","","Opravná položka k nedokončené výrobě","Provisions reflecting a drop in value or unrecoverable costs for stalled production lines.","Opravné položky odrážející pokles hodnoty nebo nedobytné náklady u pozastavených výrobních linek.","",""
"chart_cz_193000","Allowance for semi-finished goods","193000","asset_current","False","","Opravná položka k polotovarům","Provisions for manufactured components that have become obsolete before final assembly.","Opravné položky k vyrobeným komponentám, které zastaraly před konečnou montáží.","",""
"chart_cz_194000","Allowance for products","194000","asset_current","False","","Opravná položka k výrobkům","Provisions for finished goods that are damaged, expired, or unsellable at their original cost.","Opravné položky na hotové výrobky, které jsou poškozené, prošlé nebo neprodejné za původní cenu.","",""
"chart_cz_195000","Allowance for young and other animals and groups thereof","195000","asset_current","False","","Opravná položka k mladým a ostatním zvířatům a jejich skupinám","Provisions for disease or loss in value within the short-term livestock inventory.","Opravné položky na nemoci nebo ztrátu hodnoty v rámci krátkodobých zásob zvířat.","",""
"chart_cz_196000","Allowance for goods","196000","asset_current","False","","Opravná položka ke zboží","Provisions for retail merchandise that is out of season, damaged, or requires a heavy discount.","Opravné položky na maloobchodní zboží, které je mimo sezónu, poškozené nebo vyžaduje velkou slevu.","",""
"chart_cz_197000","Allowance for advances on materials","197000","asset_current","False","","Opravná položka k zálohám na materiál","Provisions for risky advances given to raw material suppliers who are failing to deliver.","Opravné položky k rizikovým zálohám poskytnutým dodavatelům surovin, kteří neplní dodávky.","",""
"chart_cz_198000","Allowance for advances on goods","198000","asset_current","False","","Opravná položka k zálohám na zboží","Provisions for risky advances given to merchandise suppliers who may face bankruptcy.","Opravné položky k rizikovým zálohám poskytnutým dodavatelům zboží, kterým hrozí úpadek.","",""
"chart_cz_199000","Allowance for advances on young animals","199000","asset_current","False","","Opravná položka k zálohám na mladá zvířata","Provisions for risky advances given to livestock suppliers failing to fulfill contracts.","Opravné položky k rizikovým zálohám poskytnutým dodavatelům zvířat, kteří neplní smlouvy.","",""
"chart_cz_211000","Treasury","211000","asset_cash","False","","Pokladna","Physical cash kept on the company premises (petty cash) for minor day-to-day expenses.","Fyzická hotovost držená v prostorách společnosti (pokladna) pro drobné každodenní výdaje.","",""
"chart_cz_213000","Valuables","213000","asset_cash","False","","Ceniny","Postage stamps, meal vouchers, transit tickets, and other prepaid physical equivalents of cash.","Poštovní známky, stravenky, jízdenky a další předplacené fyzické ekvivalenty hotovosti.","",""
"chart_cz_221000","Bank accounts","221000","asset_cash","False","","Bankovní účty","Liquid funds held in corporate checking or savings accounts available for immediate wire transfers.","Likvidní prostředky na firemních běžných nebo spořicích účtech dostupné pro okamžité převody.","",""
"chart_cz_231000","Short-term loans","231000","asset_current","False","","Krátkodobé úvěry","Bank loans and credit facilities with a strict maturity period of less than one year.","Bankovní úvěry a úvěrové linky se striktní dobou splatnosti kratší než jeden rok.","",""
"chart_cz_232000","Overdraft facilities","232000","asset_current","False","","Eskontní úvěry","Short-term overdrafts on the main bank account allowing the company to draw beyond its current balance.","Krátkodobé kontokorenty na hlavním bankovním účtu umožňující čerpat prostředky do mínusu.","",""
"chart_cz_241000","Short-term bonds issued","241000","asset_current","False","","Emitované krátkodobé dluhopisy","Bonds or commercial paper issued by the company to investors, maturing within 12 months.","Dluhopisy nebo směnky vydané společností investorům, splatné do 12 měsíců.","",""
"chart_cz_249000","Other short-term financial assistance","249000","asset_current","False","","Ostatní krátkodobé finanční výpomoci","Loans from partners or bridging loans from third parties intended to be paid back quickly.","Půjčky od společníků nebo překlenovací úvěry od třetích stran určené k rychlému splacení.","",""
"chart_cz_251000","Equity securities held for trading","251000","asset_current","False","","Majetkové cenné papíry k obchodování","Shares in other companies purchased purely for short-term speculation and rapid resale.","Akcie jiných společností nakoupené čistě za účelem krátkodobé spekulace a rychlého prodeje.","",""
"chart_cz_252000","Treasury shares and treasury shares","252000","asset_current","False","","Vlastní akcie a vlastní obchodní podíly","The company's own shares that have been bought back and are held temporarily in the treasury.","Vlastní akcie společnosti, které byly odkoupeny a jsou dočasně drženy v trezoru.","",""
"chart_cz_253000","Debt securities held for trading","253000","asset_current","False","","Dluhové cenné papíry k obchodování","Government or corporate bonds purchased with the explicit intent of trading them in the short term.","Státní nebo firemní dluhopisy nakoupené s výslovným záměrem krátkodobého obchodování s nimi.","",""
"chart_cz_254000","Bills of exchange for collection","254000","asset_current","False","","Směnky k inkasu","Received promissory notes or bills of exchange waiting to be cashed or discounted by the bank.","Přijaté směnky nebo směnky k inkasu čekající na proplacení nebo eskontování bankou.","",""
"chart_cz_255000","Own bonds","255000","liability_current","False","","Vlastní dluhopisy","The company's own issued bonds that have been repurchased before their official maturity.","Vlastní vydané dluhopisy společnosti, které byly odkoupeny před jejich oficiální splatností.","",""
"chart_cz_256000","Debt securities with maturity up to one year held to maturity","256000","asset_current","False","","Dluhové cenné papíry se splatností do jednoho roku držené do splatnosti","Bonds bought as a safe short-term investment that the company plans to hold until they mature.","Dluhopisy nakoupené jako bezpečná krátkodobá investice, které společnost plánuje držet do splatnosti.","",""
"chart_cz_257000","Other securities","257000","asset_current","False","","Ostatní cenné papíry","Miscellaneous short-term financial instruments like certificates of deposit or options.","Různé krátkodobé finanční nástroje, jako jsou depozitní certifikáty nebo opce.","",""
"chart_cz_258000","Shares - controlled or controlling person","258000","asset_current","False","","Podíly - ovládaná nebo ovládající osoba","Short-term ownership stakes in a parent or subsidiary company meant to be sold shortly.","Krátkodobé vlastnické podíly v mateřské nebo dceřiné společnosti určené k brzkému prodeji.","",""
"chart_cz_259000","Acquisition of short-term financial assets","259000","asset_current","False","","Pořízování krátkodobého finančního majetku","Clearing account for recording costs while the purchase of short-term securities is being processed.","Kalkulační účet pro evidenci nákladů při zpracování nákupu krátkodobých cenných papírů.","",""
"chart_cz_261000","Cash in transit","261000","asset_current","False","","Peníze na cestě","Clearing account used to bridge the delay between withdrawing cash and depositing it in the bank.","Spojovací účet sloužící k překlenutí prodlevy mezi výběrem hotovosti a jejím vložením do banky.","",""
"chart_cz_291000","Allowance for short-term financial assets","291000","asset_current","False","","Opravná položka ke krátkodobému finančnímu majetku","Provisions reflecting temporary drops in the stock market value of trading securities.","Opravné položky odrážející přechodné poklesy burzovní hodnoty obchodovatelných cenných papírů.","",""
"chart_cz_311000","Customers","311000","asset_receivable","True","","Odběratelé","Outstanding amounts owed by customers for goods and services delivered (Trade Receivables).","Neuhrazené částky, které zákazníci dluží za dodané zboží a služby (Pohledávky z obchodního styku).","",""
"chart_cz_311001","Customers (POS)","311001","asset_receivable","True","","Odběratelé (POS)","Reconciliation account for credit card or cash payments processed immediately at the Point of Sale.","Párovací účet pro platby kreditní kartou nebo v hotovosti zpracované okamžitě na pokladním místě (POS).","",""
"chart_cz_312000","Bills of exchange for collection","312000","asset_receivable","True","","Směnky k inkasu","Amounts owed by customers structured as formal bills of exchange rather than standard invoices.","Částky dlužné zákazníky strukturované jako formální směnky spíše než standardní faktury.","",""
"chart_cz_313000","Receivables for discounted securities","313000","asset_receivable","True","","Pohledávky za eskontované cenné papíry","Claims against banks for bills of exchange that have been sold (discounted) before their maturity.","Pohledávky za bankami ze směnek, které byly prodány (eskontovány) před jejich splatností.","",""
"chart_cz_314000","Operating advances provided","314000","asset_receivable","True","","Poskytnuté provozní zálohy","Prepayments sent to suppliers for ongoing operational services like rent, electricity, or internet.","Zálohy zaslané dodavatelům na průběžné provozní služby, jako je nájem, elektřina nebo internet.","",""
"chart_cz_315000","Other receivables","315000","asset_receivable","True","","Ostatní pohledávky","Miscellaneous claims against third parties that are not standard trade customers or employees.","Různé pohledávky vůči třetím stranám, které nejsou standardními obchodními zákazníky nebo zaměstnanci.","",""
"chart_cz_321000","Suppliers","321000","liability_payable","True","","Dodavatelé","Unpaid vendor bills for goods, services, and operational supplies received (Trade Payables).","Nezaplacené přijaté faktury za zboží, služby a provozní materiál (Závazky z obchodního styku).","",""
"chart_cz_322000","Notes receivable","322000","liability_current","False","","Směnky k úhradě","The company's formal written promises (bills of exchange) to pay vendors at a specific future date.","Formální písemné přísliby společnosti (směnky) zaplatit dodavatelům k určitému budoucímu datu.","",""
"chart_cz_324000","Operating advances received","324000","liability_current","False","","Přijaté provozní zálohy","Down payments deposited by customers before the company has provided the corresponding service/goods.","Zálohy složené zákazníky předtím, než společnost poskytla odpovídající služby/zboží.","",""
"chart_cz_325000","Other payables","325000","liability_current","False","","Ostatní závazky","Miscellaneous short-term debts to external parties that don't fit into standard vendor payables.","Různé krátkodobé dluhy vůči externím stranám, které nezapadají do standardních závazků vůči dodavatelům.","",""
"chart_cz_331000","Employees","331000","liability_current","False","","Zaměstnanci","Net wages, salaries, and approved bonuses owed directly to employees for the current payroll period.","Čisté mzdy, platy a schválené prémie dlužné přímo zaměstnancům za aktuální mzdové období.","",""
"chart_cz_333000","Other payables to employees","333000","liability_current","False","","Ostatní závazky vůči zaměstnancům","Amounts owed to employees outside of standard payroll, such as un-reimbursed travel expense reports.","Částky dlužné zaměstnancům mimo standardní mzdy, jako je například neproplacené cestovné.","",""
"chart_cz_335000","Due from employees","335000","asset_current","False","","Pohledávky za zaměstnanci","Money owed to the company by employees, such as unreturned travel advances or damages caused.","Peníze, které zaměstnanci dluží společnosti, např. nevrácené cestovní zálohy nebo způsobené škody.","",""
"chart_cz_336000","Settlements with social security and health insurance institutions","336000","liability_current","False","","Zúčtování s institucemi sociálního zabezpečení a zdravotního pojištění","Mandatory employer and employee contributions currently owed to state health and social security funds.","Povinné odvody zaměstnavatele a zaměstnance aktuálně dlužné státním fondům zdravotního a sociálního pojištění.","",""
"chart_cz_341000","Income tax","341000","liability_current","False","","Daň z příjmů","Corporate income tax calculated on profits, representing the debt owed to the financial administration.","Daň z příjmů právnických osob vypočtená ze zisku, představující dluh vůči finanční správě.","",""
"chart_cz_342000","Other direct taxes","342000","liability_current","False","","Ostatní přímé daně","Withholding taxes applied to employee salaries or partner dividends waiting to be paid to the state.","Srážkové daně uplatněné na platy zaměstnanců nebo dividendy společníků čekající na odvod státu.","",""
"chart_cz_343000","Value added tax","343000","liability_current","False","","Daň z přidané hodnoty","Central VAT clearing account used to consolidate input and output VAT before filing the final tax return.","Centrální zúčtovací účet DPH sloužící ke konsolidaci daně na vstupu a výstupu před podáním přiznání.","",""
"chart_cz_343001","Tax receivable","343001","asset_receivable","True","True","Daňové pohledávky","VAT excess amounts or tax overpayments that the state tax authority explicitly owes back to the company.","Nadměrné odpočty DPH nebo daňové přeplatky, které státní finanční správa dluží zpět společnosti.","",""
"chart_cz_343002","Tax Payable","343002","liability_payable","True","True","Splatná daň","Final calculated VAT burden or consolidated tax liability currently due to be paid to the government.","Konečná vypočtená daňová povinnost DPH nebo konsolidovaná daň aktuálně splatná státu.","",""
"chart_cz_343112","VAT reduced rate input","343112","asset_current","False","","DPH snížená sazba vstup","VAT amounts paid on incoming vendor invoices (purchases) utilizing the 12% reduced tax rate.","Částky DPH zaplacené na došlých dodavatelských fakturách (nákupech) s využitím 12% snížené sazby daně.","",""
"chart_cz_343115","VAT reduced input rate (15%)","343115","asset_current","False","","DPH snížená sazba vstup (15 %)","VAT amounts paid on incoming vendor invoices utilizing the historical/alternate 15% reduced tax rate.","Částky DPH zaplacené na došlých dodavatelských fakturách s využitím historické/alternativní 15% sazby.","",""
"chart_cz_343121","VAT basic rate input","343121","asset_current","False","","DPH základní sazba vstup","VAT amounts paid on incoming vendor invoices (purchases) utilizing the standard 21% basic tax rate.","Částky DPH zaplacené na došlých dodavatelských fakturách (nákupech) s využitím základní 21% sazby daně.","",""
"chart_cz_343212","VAT reduced rate output","343212","liability_current","False","","DPH snížená sazba výstup","VAT amounts collected from customers on outgoing sales invoices utilizing the 12% reduced tax rate.","Částky DPH vybrané od zákazníků na vydaných prodejních fakturách s využitím 12% snížené sazby daně.","",""
"chart_cz_343215","VAT reduced rate output (15%)","343215","liability_current","False","","DPH snížená sazba výstup (15 %)","VAT amounts collected from customers on outgoing sales utilizing the historical/alternate 15% tax rate.","Částky DPH vybrané od zákazníků na vydaných prodejích s využitím historické/alternativní 15% sazby daně.","",""
