"id","name","description","invoice_label","tax_scope","type_tax_use","amount","amount_type","tax_group_id","fiscal_position_ids","original_tax_ids","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/factor","repartition_line_ids/account_id","repartition_line_ids/tag_ids","name@cs","description@cs","invoice_label@cs","invoice_legal_notes"
"","","","","","","","","","","","100","tax","invoice","1","chart_cz_343121","VAT 12 Tax","","","",""
"","","","","","","","","","","","-100","tax","invoice","-1","chart_cz_343221","","","","",""
"","","","","","","","","","","","100","base","refund","1","","VAT 12 Base","","","",""
"","","","","","","","","","","","100","tax","refund","1","chart_cz_343121","VAT 12 Tax","","","",""
"","","","","","","","","","","","-100","tax","refund","-1","chart_cz_343221","","","","",""
"l10n_cz_12_receipt_service_person_non_eu","12% EX S","12% - Purchase of Services Outside EU","12% VAT","service","purchase","12","percent","tax_group_vat_12","fiscal_position_extra_community","l10n_cz_12_receipt_domestic_supplies","100","base","invoice","1","","VAT 13 Base","12% EX S","12% - Přijetí služby od osoby mimo EU","12% DPH",""
"","","","","","","","","","","","100","tax","invoice","1","chart_cz_343112","VAT 13 Tax","","","",""
"","","","","","","","","","","","-100","tax","invoice","-1","chart_cz_343212","","","","",""
"","","","","","","","","","","","100","base","refund","1","","VAT 13 Base","","","",""
"","","","","","","","","","","","100","tax","refund","1","chart_cz_343112","VAT 13 Tax","","","",""
"","","","","","","","","","","","-100","tax","refund","-1","chart_cz_343212","","","","",""
"l10n_cz_acquisition_transport","21% Vehicle","Acquisition of a New Vehicle","21% VAT","consu","purchase","21","percent","tax_group_vat_21","fiscal_position_domestic_cz,fiscal_position_eu_private_cz","","100","base","invoice","1","","VAT 9 Base","21% Vozidlo","Pořízení nového dopravního prostředku","21% DPH",""
"","","","","","","","","","","","100","tax","invoice","1","chart_cz_343121","VAT 9 Tax","","","",""
"","","","","","","","","","","","100","base","refund","1","","VAT 9 Base","","","",""
"","","","","","","","","","","","100","tax","refund","1","chart_cz_343121","VAT 9 Tax","","","",""
"l10n_cz_export_goods","0% EX G","Sale of Goods Outside EU","Tax exemption according to § 66 of VAT Law no. 235/2004","consu","sale","0","percent","tax_group_vat_0","fiscal_position_extra_community","","100","base","invoice","1","","VAT 22","0% EX G","Prodej zboží mimo EU","Osvobozeno od daně podle § 66 zákona o DPH č. 235/2004",""
"","","","","","","","","","","","100","tax","invoice","1","","","","","",""
"","","","","","","","","","","","100","base","refund","1","","VAT 22","","","",""
"","","","","","","","","","","","100","tax","refund","1","","","","","",""
"l10n_cz_export_services","0% EX S","Sale of Services Outside EU","Tax exemption according to § 66 of VAT Law no. 235/2004","service","sale","0","percent","tax_group_vat_0","fiscal_position_extra_community","","100","base","invoice","1","","VAT 22","0% EX G","Prodej služeb mimo EU","Osvobozeno od daně podle § 66 zákona o DPH č. 235/2004",""
"","","","","","","","","","","","100","tax","invoice","1","","","","","",""
"","","","","","","","","","","","100","base","refund","1","","VAT 22","","","",""
"","","","","","","","","","","","100","tax","refund","1","","","","","",""
"l10n_cz_12_domestic_supplies","12% G","12% - Local Sales (Goods)","12% VAT","consu","sale","12","percent","tax_group_vat_12","fiscal_position_domestic_cz,fiscal_position_eu_private_cz","","100","base","invoice","1","","VAT 2 Base","12% G","12 % – Místní prodej (zboží)","12% DPH",""
"","","","","","","","","","","","100","tax","invoice","1","chart_cz_343212","VAT 2 Tax","","","",""
"","","","","","","","","","","","100","base","refund","1","","VAT 2 Base","","","",""
"","","","","","","","","","","","100","tax","refund","1","chart_cz_343212","VAT 2 Tax","","","",""
"l10n_cz_12_domestic_service","12% S","12% - Local Sales (Services)","12% VAT","service","sale","12","percent","tax_group_vat_12","fiscal_position_domestic_cz,fiscal_position_eu_private_cz","","100","base","invoice","1","","VAT 2 Base","12% S","12 % – Místní prodej (služby)","12% DPH",""
"","","","","","","","","","","","100","tax","invoice","1","chart_cz_343212","VAT 2 Tax","","","",""
"","","","","","","","","","","","100","base","refund","1","","VAT 2 Base","","","",""
"","","","","","","","","","","","100","tax","refund","1","chart_cz_343212","VAT 2 Tax","","","",""
"l10n_cz_12_receipt_domestic_supplies","12% G","12% - Local Purchase","12% VAT","","purchase","12","percent","tax_group_vat_12","fiscal_position_domestic_cz,fiscal_position_eu_private_cz","","100","base","invoice","1","","VAT 41 Base","12% G","12 % – Místní prodej (zboží)","12% DPH",""
"","","","","","","","","","","","100","tax","invoice","1","chart_cz_343112","VAT 41 Total","","","",""
"","","","","","","","","","","","100","base","refund","1","","VAT 41 Base","","","",""
"","","","","","","","","","","","100","tax","refund","1","chart_cz_343112","VAT 41 Total","","","",""
"l10n_cz_12_receipt_domestic_service","12% S","12% - Local Purchase","12% VAT","","purchase","12","percent","tax_group_vat_12","fiscal_position_domestic_cz,fiscal_position_eu_private_cz","","100","base","invoice","1","","VAT 41 Base","12% S","12 % – Místní prodej (služby)","12% DPH",""
"","","","","","","","","","","","100","tax","invoice","1","chart_cz_343112","VAT 41 Total","","","",""
"","","","","","","","","","","","100","base","refund","1","","VAT 41 Base","","","",""
"","","","","","","","","","","","100","tax","refund","1","chart_cz_343112","VAT 41 Total","","","",""
"l10n_cz_tax_reverse_charge_mode","0% RC","Reverse Charge","The buyer is obligated to fill in the VAT amounts and pay the tax.","","sale","0","percent","tax_group_vat_21","fiscal_position_domestic_cz,fiscal_position_eu_private_cz","","100","base","invoice","1","","VAT 25","0% RC","Režim přenesení daňové povinnosti","Daň odvede zákazník",""
"","","","","","","","","","","","100","tax","invoice","1","","","","","",""
"","","","","","","","","","","","100","base","refund","1","","VAT 25","","","",""
"","","","","","","","","","","","100","tax","refund","1","","","","","",""
"l10n_cz_21_tax_reverse_charge_scheme","21% RC","21% - Reverse Charge","The buyer is obligated to fill in the VAT amounts and pay the tax.","","purchase","21","percent","tax_group_vat_21","fiscal_position_domestic_cz,fiscal_position_eu_private_cz","","100","base","invoice","1","","VAT 10 Base","21% RC","21% - Režim přenesení daňové povinnosti","Vystaveno zákazníkem",""
"","","","","","","","","","","","100","tax","invoice","1","chart_cz_343121","VAT 10 Tax","","","",""
"","","","","","","","","","","","-100","tax","invoice","-1","chart_cz_343221","","","","",""
"","","","","","","","","","","","100","base","refund","1","","VAT 10 Base","","","",""
"","","","","","","","","","","","100","tax","refund","1","chart_cz_343121","VAT 10 Tax","","","",""
"","","","","","","","","","","","-100","tax","refund","-1","chart_cz_343221","","","","",""
"l10n_cz_21_other_supplies_chargeable","21% ND","21% - Other taxable fulfillment, where the tax is nondeductible","21% VAT","","purchase","21","percent","tax_group_vat_21","fiscal_position_eu_private_cz","l10n_cz_12_receipt_service_person_eu,l10n_cz_12_purchase_goods_eu,l10n_cz_21_acquisition_goods_eu,l10n_cz_21_receipt_service_person_eu","100","base","invoice","1","","VAT 12 Base","21% ND","21% - Ostatní zdanitelná plnění, u kterých je povinnost přiznat daň","21% DPH",""
"","","","","","","","","","","","100","tax","invoice","1","chart_cz_343121","VAT 12 Tax","","","",""
"","","","","","","","","","","","-100","tax","invoice","-1","chart_cz_343221","","","","",""
"","","","","","","","","","","","100","base","refund","1","","VAT 12 Base","","","",""
"","","","","","","","","","","","100","tax","refund","1","chart_cz_343121","VAT 12 Tax","","","",""
"","","","","","","","","","","","-100","tax","refund","-1","chart_cz_343221","","","","",""
"l10n_cz_12_other_supplies_obligation","12% ND","12% - Other taxable fulfillment, where the tax is nondeductible","12% VAT","","purchase","12","percent","tax_group_vat_12","fiscal_position_domestic_cz,fiscal_position_eu_private_cz","","100","base","invoice","1","","VAT 13 Base","12% ND","12% - Ostatní zdanitelná plnění, u kterých je povinnost přiznat daň","12% DPH",""
"","","","","","","","","","","","100","tax","invoice","1","chart_cz_343112","VAT 13 Tax","","","",""
"","","","","","","","","","","","-100","tax","invoice","-1","chart_cz_343212","","","","",""
"","","","","","","","","","","","100","base","refund","1","","VAT 13 Base","","","",""
"","","","","","","","","","","","100","tax","refund","1","chart_cz_343112","VAT 13 Tax","","","",""
"","","","","","","","","","","","-100","tax","refund","-1","chart_cz_343212","","","","",""
"l10n_cz_12_tax_reverse_charge_scheme","12% RC","12% - Reverse Charge","The buyer is obligated to fill in the VAT amounts and pay the tax.","","purchase","12","percent","tax_group_vat_12","fiscal_position_domestic_cz,fiscal_position_eu_private_cz","","100","base","invoice","1","","VAT 11 Base","12% RC","12% - Režim přenesení daňové povinnosti","Vystaveno zákazníkem",""
"","","","","","","","","","","","100","tax","invoice","1","chart_cz_343112","VAT 11 Tax","","","",""
"","","","","","","","","","","","-100","tax","invoice","-1","chart_cz_343212","","","","",""
"","","","","","","","","","","","100","base","refund","1","","VAT 11 Base","","","",""
"","","","","","","","","","","","100","tax","refund","1","chart_cz_343112","VAT 11 Tax","","","",""
"","","","","","","","","","","","-100","tax","refund","-1","chart_cz_343212","","","","",""
"l10n_cz_21_domestic_supplies","21% G ","21% - Local Sales (Goods)","21% VAT","consu","sale","21","percent","tax_group_vat_21","fiscal_position_domestic_cz,fiscal_position_eu_private_cz","","100","base","invoice","1","","VAT 1 Base","21% G","21% - Místní prodej (zboží)","21% DPH",""
"","","","","","","","","","","","100","tax","invoice","1","chart_cz_343221","VAT 1 Tax","","","",""
"","","","","","","","","","","","100","base","refund","1","","VAT 1 Base","","","",""
"","","","","","","","","","","","100","tax","refund","1","chart_cz_343221","VAT 1 Tax","","","",""
"l10n_cz_21_domestic_services","21% S ","21% - Local Sales (Services)","21% VAT","service","sale","21","percent","tax_group_vat_21","fiscal_position_domestic_cz,fiscal_position_eu_private_cz","","100","base","invoice","1","","VAT 1 Base","21% S","21% - Místní prodej (služby)","21% DPH",""
"","","","","","","","","","","","100","tax","invoice","1","chart_cz_343221","VAT 1 Tax","","","",""
"","","","","","","","","","","","100","base","refund","1","","VAT 1 Base","","","",""
"","","","","","","","","","","","100","tax","refund","1","chart_cz_343221","VAT 1 Tax","","","",""
"l10n_cz_21_receipt_domestic_supplies","21% G","21% - Local Purchase (Goods)","21% VAT","consu","purchase","21","percent","tax_group_vat_21","fiscal_position_domestic_cz,fiscal_position_eu_private_cz","","100","base","invoice","1","","VAT 40 Base","21%","21% - místní nákup (zboží)","21% DPH",""
"","","","","","","","","","","","100","tax","invoice","1","chart_cz_343121","VAT 40 Total","","","",""
"","","","","","","","","","","","100","base","refund","1","","VAT 40 Base","","","",""
"","","","","","","","","","","","100","tax","refund","1","chart_cz_343121","VAT 40 Total","","","",""
"l10n_cz_21_receipt_domestic_services","21% S","21% - Local Purchase (Services)","21% VAT","service","purchase","21","percent","tax_group_vat_21","fiscal_position_domestic_cz,fiscal_position_eu_private_cz","","100","base","invoice","1","","VAT 40 Base","21%","21 % - místní nákupy (služby)","21% DPH",""
"","","","","","","","","","","","100","tax","invoice","1","chart_cz_343121","VAT 40 Total","","","",""
"","","","","","","","","","","","100","base","refund","1","","VAT 40 Base","","","",""
"","","","","","","","","","","","100","tax","refund","1","chart_cz_343121","VAT 40 Total","","","",""
"l10n_cz_special_mode","0% Regime","Special Tax Regime","Special Tax Regime - Tax exemption according to VAT Law no. 235/2004","","sale","0","percent","tax_group_vat_0","fiscal_position_domestic_cz,fiscal_position_eu_private_cz","","100","base","invoice","1","","VAT 26","0% Režim","Zvláštní režim","Zvláštní režim - Osvobozeno od daně podle zákona o DPH č. 235/2004",""
"","","","","","","","","","","","100","tax","invoice","1","","","","","",""
"","","","","","","","","","","","100","base","refund","1","","VAT 26","","","",""
"","","","","","","","","","","","100","tax","refund","1","","","","","",""
"l10n_cz_not_subject_vat","0% NA","VAT not applicable","","","purchase","0","percent","","fiscal_position_domestic_cz,fiscal_position_eu_private_cz","","100","base","invoice","1","","","0% NA","Nevstupuje do DPH","",""
"","","","","","","","","","","","100","tax","invoice","1","","","","","",""
"","","","","","","","","","","","100","base","refund","1","","","","","",""
"","","","","","","","","","","","100","tax","refund","1","","","","","",""
"l10n_cz_import_goods_tax_authority","0% EX G.Custom","Import of goods, where the tax administrator is the custom office","","","purchase","0","percent","tax_group_vat_0","fiscal_position_extra_community","l10n_cz_12_purchase_goods_eu,l10n_cz_21_acquisition_goods_eu,l10n_cz_12_receipt_service_person_eu,l10n_cz_21_receipt_service_person_eu,l10n_cz_acquisition_transport,l10n_cz_12_receipt_domestic_supplies,l10n_cz_21_tax_reverse_charge_scheme,l10n_cz_21_other_supplies_chargeable,l10n_cz_12_other_supplies_obligation,l10n_cz_12_tax_reverse_charge_scheme,l10n_cz_21_receipt_domestic_supplies,l10n_cz_not_subject_vat","100","base","invoice","1","","VAT 42 Base||VAT 42 Total","0% EX G.Zvyk","Dovoz zboží, kdy je správcem daně celní úřad","",""
"","","","","","","","","","","","100","tax","invoice","1","","","","","",""
"","","","","","","","","","","","100","base","refund","1","","VAT 42 Base||VAT 42 Total","","","",""
"","","","","","","","","","","","100","tax","refund","1","","","","","",""
