id,code,name,note,account_type,reconcile,chart_template_id:id
account_template_101010570,1.01.01.05.70,"Subconta - Ajuste a Valor Justo - Valores Mobiliários – Não Hedge -No País","Contas que registram os ajustes a valor justo positivos ou negativos efetuados sobre os ativos financeiros no país, inclusive decorrentes apenas de sua mensuração inicial ou efetuados nos objetos de hedge de valor justo. Os títulos para negociação e disponíveis para venda devem seguir a mensuração pelo valor justo até sua baixa. Referidos valores deverão ser computados na apuração Lucro Real quando da alienação ou baixa do ativo(arts. 49/50, Instrução Normativa SRF nº 1.515/2014, cujos detalhes sobre a contabilização estão descritos em seu Anexo I, exemplos 5/6). Apenas no caso da conta contábil que registra o ativo consolidar vários itens de mesma natureza, pode-se utilizar uma mesma subconta coletiva, desde que demonstre-os em razão auxiliar vinculado à ECD(art. 33, §3º, Instrução Normativa SRF nº 1.515/2014)",asset_current,,l10n_br_account_chart_template
account_template_101010590,1.01.01.05.90,"Subconta – Adoção Inicial - Valores Mobiliários – Não Hedge - No País","Contas que registram as diferenças positivas ou negativas, na data da adoção dos efeitos da Lei nº 12.973/2014, entre o valor do ativo mensurado de acordo as disposições da Lei nº 6.404/1976 e o valor mensurado pelos métodos e critérios vigentes em 31/12/2007(arts. 66/67, Lei nº 12.973/2014). Conforme disciplinado art. 169, § 9ª, Instrução Normativa SRF nº 1.515/2014, cada subconta de adoção inicial deve registrar individualmente a diferença de valor identificada em cada ativo. Apenas no caso da conta contábil que registra o ativo consolidar vários itens de mesma natureza, pode-se utilizar uma mesma subconta coletiva, desde que demonstre-os em razão auxiliar vinculado à ECD(art. 169, §6º, Instrução Normativa SRF nº 1.515/2014)",asset_current,,l10n_br_account_chart_template
account_template_101010601,1.01.01.06.01,"Derivativos - Hedge Valor Justo - No País","Contas que registram os instrumentos destinados a hedge de valor justo operados em ambiente negocial no país. Toda documentação exigida para operar em “Hedge Accounting” deve constar em Nota Explicativa encaminhada pela ECD.",asset_current,,l10n_br_account_chart_template
account_template_101010602,1.01.01.06.02,"Derivativos - Hedge Fluxo de Caixa - No País","Contas que registram os instrumentos destinados a hedge de fluxo de caixa operados em ambiente negocial no país. Toda documentação exigida para operar em “Hedge Accounting” deve constar em Nota Explicativa encaminhada pela ECD.",asset_current,,l10n_br_account_chart_template
account_template_101010603,1.01.01.06.03,"Derivativos - Hedge Investimento no Exterior - No País","Contas que registram os instrumentos destinados a hedge de fluxo de investimento no exterior operados em ambiente negocial no país. Toda documentação exigida para operar em “Hedge Accounting” deve constar em Nota Explicativa encaminhada pela ECD.",asset_current,,l10n_br_account_chart_template
account_template_101010670,1.01.01.06.70,"Subconta - Ajuste a Valor Justo - Valores Mobiliários – Hedge - No País","Contas que registram os ajustes a valor justo positivos ou negativos efetuados sobre os ativos financeiros no país, destinados a hedge, inclusive decorrentes apenas de sua mensuração inicial. Referidos valores deverão ser computados na apuração Lucro Real quando da alienação ou baixa do ativo(arts. 51/52, Instrução Normativa SRF nº 1.515/2014, cujos detalhes sobre a contabilização estão descritos em seu Anexo I, exemplos 5/6). Apenas no caso da conta contábil que registra o ativo consolidar vários itens de mesma natureza, pode-se utilizar uma mesma subconta coletiva, desde que demonstre-os em razão auxiliar vinculado à ECD(art. 33, §3º, Instrução Normativa SRF nº 1.515/2014)",asset_current,,l10n_br_account_chart_template
account_template_101010690,1.01.01.06.90,"Subconta – Adoção Inicial - Valores Mobiliários – Hedge - No País","Contas que registram as diferenças positivas ou negativas, na data da adoção dos efeitos da Lei nº 12.973/2014, entre o valor do ativo mensurado de acordo as disposições da Lei nº 6.404/1976 e o valor mensurado pelos métodos e critérios vigentes em 31/12/2007(arts. 66/67, Lei nº 12.973/2014). Conforme disciplinado art. 169, § 9ª, Instrução Normativa SRF nº 1.515/2014, cada subconta de adoção inicial deve registrar individualmente a diferença de valor identificada em cada ativo. Apenas no caso da conta contábil que registra o ativo consolidar vários itens de mesma natureza, pode-se utilizar uma mesma subconta coletiva, desde que demonstre-os em razão auxiliar vinculado à ECD(art. 169, §6º, Instrução Normativa SRF nº 1.515/2014)",asset_current,,l10n_br_account_chart_template
account_template_101010901,1.01.01.09.01,"Títulos para Negociação - Mensurados a Valor Justo por Meio de Resultado (VJPR) - No Exterior","Contas que registram ativos financeiros, cuja contraparte ou ambiente negocial tenham sede ou domicílio no exterior, sobre os quais há a intenção de negociação no curto prazo ou se a mensuração pelo valor justo diminuir ou eliminar alguma inconsistência de mensuração de acordo com a gestão financeira da empresa (fair value option) e ainda não estejam melhor classificados em outras contas mais específica, mesmo que extrapolem o conceito da Lei nº 6.385/76. Os derivativos utilizados como hedge devem ser registrados no grupo 1.01.01.10.",asset_current,,l10n_br_account_chart_template
account_template_101010902,1.01.01.09.02,"Títulos Disponíveis para Venda - No Exterior","Contas que registram ativos financeiros, cuja contraparte ou ambiente negocial tenham sede ou domicílio no exterior, sobre os quais não há definição de quando nem quais condições vai negociá-los e ainda não estejam melhor classificados em outras contas mais específica, mesmo que extrapolem o conceito da Lei nº 6.385/76. Contrapartida das alterações no seu valor justo, bem como custos de transação, devem ser reconhecidos no Patrimônio Líquido até a realização do ativo.",asset_current,,l10n_br_account_chart_template
account_template_101010903,1.01.01.09.03,"Títulos Mantidos até o Vencimento - No Exterior","Contas que registram ativos financeiros, cuja contraparte ou ambiente negocial tenham sede ou domicílio no exterior, não derivativos, com pagamentos fixos ou determináveis e com vencimento fixo, para os quais há a intenção e a capacidade de se manter até o vencimento e ainda não estejam melhor classificados em outras contas mais específica, mesmo que extrapolem o conceito da Lei nº 6.385/76. Esses títulos são avaliados pelo método de custo amortizado, com os custos de transação capitalizados ao valor do ativo. Ações e outros títulos patrimoniais não devem receber esta classificação. Títulos públicos e de renda fixa constumam receber esta classificação.",asset_current,,l10n_br_account_chart_template
account_template_101010910,1.01.01.09.10,"Debêntures emitidas por Partes Relacionadas - No Exterior","Contas que registram as debêntures emitidas por empresas com sede no exterior, relacionadas com a declarante conforme conceito definido no CPC 05(R1), itens 09 a 12, independente da base de mensuração utilizada ou se tais Valores Mobiliários poderiam ser classificáveis em outras contas mais genéricas de ativos financeiros.",asset_current,,l10n_br_account_chart_template
account_template_101010911,1.01.01.09.11,"Debêntures emitidas por Partes Não Relacionadas - No Exterior","Contas que registram as debêntures emitidas por empresas com sede no exterior, não relacionadas com a declarante conforme conceito definido no CPC 05(R1), itens 09 a 12, independente da base de mensuração utilizada ou se tais Valores Mobiliários poderiam ser classificáveis em outras contas mais genéricas de ativos financeiros.",asset_current,,l10n_br_account_chart_template
account_template_101010915,1.01.01.09.15,"Outros Empréstimos e Recebíveis - No Exterior","Contas que registram outros empréstimos e recebíveis cuja contraparte tenha sede ou domicílio no exterior e que não estejam melhor classificados em outras contas mais específica, mesmo que extrapolem o conceito da Lei nº 6.385/76. Registram-se neste grupo ativos financeiros com pagamentos fixos ou determináveis não cotados em um mercado ativo. Esses títulos são avaliados pelo método de custo amortizado, com os custos de transação capitalizados ao valor do ativo.",asset_current,,l10n_br_account_chart_template
account_template_101010950,1.01.01.09.50,"(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP) - Valores Mobiliários - No Exterior","Contas que registram os ajustes a valor presente efetuados sobre os ativos financeiros no exterior. Referidos valores serão apropriados ao resultado pelo regime de competência e excluídos do Lucro Real. Não devem ser controlados em subcontas, mas na Parte B do Lalur, sendo seu montante adicionado ao Lucro Real no mesmo período em a receita ou resultado da operação deva ser tributada (art.4º, Lei nº 12.973/2014), sem prejuízo observância aos arts. 9º a 12 da Instrução Normativa SRF nº 213/2002.",asset_current,,l10n_br_account_chart_template
account_template_101010955,1.01.01.09.55,"(-) Perdas por Redução ao Valor Recuperável (Impairment)- Valores Mobiliários - No Exterior","Contas que registram as perdas incorridas com base em evidências objetivas passadas, mas posteriores ao reconhecimento inicial, impactantes no fluxo de caixa futuros estimados desses ativos financeiros. Os títulos para negociação não estão sujeitos a teste de “impairment”. Esta conta também registra as eventuais reversões, não se admitindo para títulos patrimoniais. Referidos valores deverão ser adicionados ao Lucro Real, mantidos na Parte B do Lalur até ocorrência da alienação ou baixa do ativo, quando poderão ser excluídos do Lucro Real (art. 32, Lei nº 12.973/2014), sem prejuízo observância aos arts. 9º a 12 da Instrução Normativa SRF nº 213/2002.",asset_current,,l10n_br_account_chart_template
account_template_101010970,1.01.01.09.70,"Subconta - Ajuste a Valor Justo - Não Hedge - No Exterior","Contas que registram os ajustes a valor justo positivos ou negativos efetuados sobre os ativos financeiros no exterior, inclusive decorrentes apenas de sua mensuração inicial ou efetuados nos objetos de hedge de valor justo. Os títulos para negociação e disponíveis para venda devem seguir a mensuração pelo valor justo até sua baixa. Referidos valores deverão ser computados na apuração Lucro Real quando da alienação ou baixa do ativo(arts. 49/50, Instrução Normativa SRF nº 1.515/2014, cujos detalhes sobre a contabilização estão descritos em seu Anexo I, exemplos 5/6), sem prejuízo observância aos arts. 9º a 12 da Instrução Normativa SRF nº 213/2002. Apenas no caso da conta contábil que registra o ativo consolidar vários itens de mesma natureza, pode-se utilizar uma mesma subconta coletiva, desde que demonstre-os em razão auxiliar vinculado à ECD(art. 33, §3º, Instrução Normativa SRF nº 1.515/2014)",asset_current,,l10n_br_account_chart_template
account_template_101010990,1.01.01.09.90,"Subconta – Adoção Inicial - Valores Mobiliários – Não Hedge - No Exterior","Contas que registram as diferenças positivas ou negativas, na data da adoção dos efeitos da Lei nº 12.973/2014, entre o valor do ativo mensurado de acordo as disposições da Lei nº 6.404/1976 e o valor mensurado pelos métodos e critérios vigentes em 31/12/2007(arts. 66/67, Lei nº 12.973/2014). Referidos valores deverão ser computados na apuração Lucro Real à medida da realização do bem, (arts. 164 e 167, Instrução Normativa SRF nº 1.515/2014, cujos detalhes sobre a contabilização estão descritos em seu Anexo I, exemplos 1/2), sem prejuízo observância aos arts. 9º a 12 da Instrução Normativa SRF nº 213/2002. Conforme disciplinado art. 169, § 9ª, Instrução Normativa SRF nº 1.515/2014, cada subconta de adoção inicial deve registrar individualmente a diferença de valor identificada em cada ativo. Apenas no caso da conta contábil que registra o ativo consolidar vários itens de mesma natureza, pode-se utilizar uma mesma subconta coletiva, desde que demonstre-os em razão auxiliar vinculado à ECD(art. 169, §6º, Instrução Normativa SRF nº 1.515/2014)",asset_current,,l10n_br_account_chart_template
account_template_101011001,1.01.01.10.01,"Derivativos - Hedge Valor Justo - No Exterior","Contas que registram os instrumentos destinados a hedge de valor justo operados em ambiente negocial no exterior. Toda documentação exigida para operar em “Hedge Accounting” deve constar em Nota Explicativa encaminhada pela ECD.",asset_current,,l10n_br_account_chart_template
account_template_101011002,1.01.01.10.02,"Derivativos - Hedge Fluxo de Caixa - No Exterior","Contas que registram os instrumentos destinados a hedge de fluxo de caixa operados em ambiente negocial no exterior. Toda documentação exigida para operar em “Hedge Accounting” deve constar em Nota Explicativa encaminhada pela ECD.",asset_current,,l10n_br_account_chart_template
account_template_101011003,1.01.01.10.03,"Derivativos - Hedge Investimento no Exterior - No Exterior","Contas que registram os instrumentos destinados a hedge de fluxo de investimento no exterior operados em ambiente negocial no exterior. Toda documentação exigida para operar em “Hedge Accounting” deve constar em Nota Explicativa encaminhada pela ECD",asset_current,,l10n_br_account_chart_template
account_template_101011070,1.01.01.10.70,"Subconta - Ajuste a Valor Justo - Valores Mobiliários – Hedge - No Exterior","Contas que registram os ajustes a valor justo positivos ou negativos efetuados sobre os ativos financeiros no exterior, destinados a Hedge, inclusive decorrentes apenas de sua mensuração inicial. Referidos valores deverão ser computados na apuração Lucro Real quando da alienação ou baixa do ativo(arts. 49/53, Instrução Normativa SRF nº 1.515/2014, cujos detalhes sobre a contabilização estão descritos em seu Anexo I, exemplos 5/6) sem prejuízo observância aos arts. 9º a 12 da Instrução Normativa SRF nº 213/2002. Apenas no caso da conta contábil que registra o ativo consolidar vários itens de mesma natureza, pode-se utilizar uma mesma subconta coletiva, desde que demonstre-os em razão auxiliar vinculado à ECD(art. 33, §3º, Instrução Normativa SRF nº 1.515/2014). Excepcionalmente, as subcontas de adoção inicial deste grupo também devem receber esta classificação no plano referencial.",asset_current,,l10n_br_account_chart_template
account_template_101011090,1.01.01.10.90,"Subconta – Adoção Inicial - Valores Mobiliários – Hedge - No Exterior","Contas que registram as diferenças positivas ou negativas, na data da adoção dos efeitos da Lei nº 12.973/2014, entre o valor do ativo mensurado de acordo as disposições da Lei nº 6.404/1976 e o valor mensurado pelos métodos e critérios vigentes em 31/12/2007(arts. 66/67, Lei nº 12.973/2014). Conforme disciplinado art. 169, § 9ª, Instrução Normativa SRF nº 1.515/2014, cada subconta de adoção inicial deve registrar individualmente a diferença de valor identificada em cada ativo. Apenas no caso da conta contábil que registra o ativo consolidar vários itens de mesma natureza, pode-se utilizar uma mesma subconta coletiva, desde que demonstre-os em razão auxiliar vinculado à ECD(art. 169, §6º, Instrução Normativa SRF nº 1.515/2014)",asset_current,,l10n_br_account_chart_template
account_template_101014001,1.01.01.40.01,"Recursos no Exterior Decorrentes de Exportação","Contas que registram movimentação de recursos em instituições financeiras no exterior oriundas de recebimentos de exportações brasileiras de mercadorias e de serviços.",asset_current,,l10n_br_account_chart_template
account_template_101019901,1.01.01.99.01,"Outras Disponibilidades","Contas que registram outras disponibilidades não classificáveis em contas específicas deste plano de contas.",asset_current,,l10n_br_account_chart_template
account_template_101020101,1.01.02.01.01,"Adiantamentos a Fornecedores - no País – Circulante","Contas que registram os adiantamentos feitos a fornecedores, no país.",asset_current,,l10n_br_account_chart_template
account_template_101020102,1.01.02.01.02,"Adiantamentos a Fornecedores - no Exterior – Circulante","Contas que registram os adiantamentos feitos a fornecedores, no exterior.",asset_current,,l10n_br_account_chart_template
account_template_101020103,1.01.02.01.03,"Adiantamentos a Funcionários – Circulante","Contas que registram os adiantamentos feitos a funcionários.",asset_current,,l10n_br_account_chart_template
account_template_101020104,1.01.02.01.04,"Adiantamentos a Terceiros – Circulante","Contas que registram os adiantamentos feitos a terceiros.",asset_current,,l10n_br_account_chart_template
account_template_101020198,1.01.02.01.98,"Outros Adiantamentos – Circulante","Contas que registram os adiantamentos não classificáveis em contas específicas neste plano de contas.",asset_current,,l10n_br_account_chart_template
account_template_101020201,1.01.02.02.01,"Duplicatas a Receber – Operações com Partes Não Relacionadas - no País","Contas que registram os valores a receber de clientes no país, não relacionados com a declarante conforme conceito definido no CPC 05(R1), itens 09 a 12, mesmo que haja imediata intenção de venda os títulos. Os recebíveis que foram negociados em processos de securitização, ou assemelhando, devem ser registrados na conta Direitos Creditórios Cedidos(1.01.02.09.20), enquanto não baixados. Já a securitizadora deve registrar os recebíveis em Direitos Creditórios a Receber(1.01.02.09.25)",asset_current,,l10n_br_account_chart_template
account_template_101020202,1.01.02.02.02,"Duplicatas a Receber - Operações com Partes Não Relacionadas - no Exterior","Contas que registram os valores a receber de clientes no exterior, não relacionados com a declarante conforme conceito definido no CPC 05(R1), itens 09 a 12, mesmo que haja imediata intenção de venda os títulos. Os recebíveis que foram negociados em processos de securitização, ou assemelhando, devem ser registrados na conta Direitos Creditórios Cedidos(1.01.02.09.20), enquanto não baixados. Já a securitizadora deve registrar os recebíveis em Direitos Creditórios a Receber(1.01.02.09.25)",asset_current,,l10n_br_account_chart_template
account_template_101020203,1.01.02.02.03,"Duplicatas a Receber - Operações com Partes Relacionadas - no País","Contas que registram os valores a receber de clientes no país, relacionados com a declarante conforme conceito definido no CPC 05(R1), itens 09 a 12, mesmo que haja imediata intenção de venda os títulos. Os recebíveis que foram negociados em processos de securitização, ou assemelhando, devem ser registrados na conta Direitos Creditórios Cedidos(1.01.02.09.20), enquanto não baixados. Já a securitizadora deve registrar os recebíveis em Direitos Creditórios a Receber(1.01.02.09.25)",asset_current,,l10n_br_account_chart_template
account_template_101020204,1.01.02.02.04,"Duplicatas a Receber - Operações com Partes Relacionadas - no Exterior","Contas que registram os valores a receber de clientes no exterior, relacionados com a declarante conforme conceito definido no CPC 05(R1), itens 09 a 12, mesmo que haja imediata intenção de venda os títulos. Os recebíveis que foram negociados em processos de securitização, ou assemelhando, devem ser registrados na conta Direitos Creditórios Cedidos(1.01.02.09.20), enquanto não baixados. Já a securitizadora deve registrar os recebíveis em Direitos Creditórios a Receber(1.01.02.09.25)",asset_current,,l10n_br_account_chart_template
account_template_101020250,1.01.02.02.50,"(-) Juros a Apropriar Decorrentes de Ajuste da Valor Presente (AVP) – Duplicatas a Receber","Contas que registram os ajustes a valor presente efetuados sobre os ativos financeiros representativos das operações de venda à prazo, sua contrapartida não deve ser excluída da Receita Bruta do período, mas compor uma dedução, art. 12, Decreto-Lei nº 1.598/1977(conta referencial 3.01.01.01.02.10). Referidos valores serão apropriados ao resultado pelo regime de competência e excluídos do Lucro Real. Não devem ser controlados em subcontas, mas na Parte B do e-Lalur, sendo seu montante adicionado ao Lucro Real no mesmo período em a receita ou resultado da operação deva ser tributada (art.4º, Lei nº 12.973/2014).",asset_current,,l10n_br_account_chart_template
account_template_101020252,1.01.02.02.52,"(-) Perdas Estimadas em Créditos de Liquidação Duvidosa - Duplicatas a Receber","Contas que registram parcelas a serem subtraídas, correspondentes a valores das perdas estimadas para os créditos de liquidação duvidosa, que retificam este grupo.",asset_current,,l10n_br_account_chart_template
account_template_101020255,1.01.02.02.55,"(-) Perdas por Redução ao Valor Recuperável (Impairment) - Duplicatas a Receber","Contas que registram as perdas incorridas com base em evidências objetivas passadas, mas posteriores ao reconhecimento inicial, impactantes no fluxo de caixa futuros estimados desses ativos financeiros. O registro e dedutibilidade no Lucro Real deve observar os regramentos dispostos nos arts. 24/25, Instrução Normativa SRF nº 1.515/2014",asset_current,,l10n_br_account_chart_template
account_template_101020290,1.01.02.02.90,"Subconta – Adoção Inicial - Duplicatas a Receber","Contas que registram as diferenças positivas ou negativas, na data da adoção dos efeitos da Lei nº 12.973/2014, entre o valor do ativo mensurado de acordo as disposições da Lei nº 6.404/1976 e o valor mensurado pelos métodos e critérios vigentes em 31/12/2007(arts. 66/67, Lei nº 12.973/2014). Conforme disciplinado art. 169, § 9ª, Instrução Normativa SRF nº 1.515/2014, cada subconta de adoção inicial deve registrar individualmente a diferença de valor identificada em cada ativo. Apenas no caso da conta contábil que registra o ativo consolidar vários itens de mesma natureza, pode-se utilizar uma mesma subconta coletiva, desde que demonstre-os em razão auxiliar vinculado à ECD(art. 169, §6º, Instrução Normativa SRF nº 1.515/2014)",asset_current,,l10n_br_account_chart_template
account_template_101020301,1.01.02.03.01,"IPI a Recuperar","Contas que registram o IPI a recuperar.",asset_current,,l10n_br_account_chart_template
account_template_101020302,1.01.02.03.02,"ICMS a Recuperar","Contas que registram o ICMS a recuperar.",asset_current,,l10n_br_account_chart_template
account_template_101020303,1.01.02.03.03,"PIS a Recuperar - Crédito Básico","Contas que registram o PIS a recuperar.",asset_current,,l10n_br_account_chart_template
account_template_101020304,1.01.02.03.04,"PIS a Recuperar - Crédito Presumido","Contas que registram o PIS a recuperar, decorrente de crédito presumido.",asset_current,,l10n_br_account_chart_template
account_template_101020305,1.01.02.03.05,"COFINS a Recuperar - Crédito Básico","Contas que registram a COFINS a recuperar.",asset_current,,l10n_br_account_chart_template
account_template_101020306,1.01.02.03.06,"COFINS a Recuperar - Crédito Presumido","Contas que registram a COFINS a recuperar, decorrente de crédito presumido.",asset_current,,l10n_br_account_chart_template
account_template_101020307,1.01.02.03.07,"CIDE a Recuperar","Contas que registram a CIDE a recuperar.",asset_current,,l10n_br_account_chart_template
account_template_101020340,1.01.02.03.40,"Outros Impostos e Contribuições a Recuperar","Contas que registrem outros impostos e contribuições a recuperar no final do período de apuração. Valores referentes ao ISSQN devem receber esta classificação.",asset_current,,l10n_br_account_chart_template
account_template_101020350,1.01.02.03.50,"(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP) - Tributos a Recuperar","Contas que registram os ajustes a valor presente efetuados sobre os tributos a recuperar. Referidos valores serão apropriados ao resultado pelo regime de competência e excluídos do Lucro Real. Não devem ser controlados em subcontas, mas na Parte B do Lalur, sendo seu montante adicionado ao Lucro Real no mesmo período em a receita ou resultado da operação deva ser tributada (art.4º, Lei nº 12.973/2014).",asset_current,,l10n_br_account_chart_template
account_template_101020355,1.01.02.03.55,"(-) Perdas por Redução ao Valor Recuperável (Impairment) - Tributos a Recuperar","Contas que registram as perdas estimadas com base em evidências objetivas impactantes no fluxo de caixa futuros estimados desses tributos a recuperar. Esta conta também registra as eventuais reversões. Referidos valores deverão ser adicionados ao Lucro Real, mantidos na Parte B do Lalur até ocorrência da alienação ou baixa do ativo, quando poderão ser excluídos do Lucro Real (art. 32, Lei nº 12.973/2014).",asset_current,,l10n_br_account_chart_template
account_template_101020401,1.01.02.04.01,"Imposto de Renda Retido na Fonte (IRRF)","Contas correspondentes ao Imposto de Renda Retido na Fonte sobre receitas da Pessoa Jurídica declarante.",asset_current,,l10n_br_account_chart_template
account_template_101020402,1.01.02.04.02,"IRPJ Recolhido por Estimativa","Contas que registrem o valor do IRPJ recolhido por estimativa.",asset_current,,l10n_br_account_chart_template
account_template_101020403,1.01.02.04.03,"IRPJ Saldo Negativo","Contas que registram o saldo negativo do IRPJ.",asset_current,,l10n_br_account_chart_template
account_template_101020404,1.01.02.04.04,"CSLL Retida na Fonte","Contas correspondentes à Contribuição Social sobre o Lucro Líquido Retida na Fonte sobre receitas da Pessoa Jurídica declarante.",asset_current,,l10n_br_account_chart_template
account_template_101020405,1.01.02.04.05,"CSLL Recolhida por Estimativa","Contas que registram o valor da CSLL recolhida por estimativa.",asset_current,,l10n_br_account_chart_template
account_template_101020406,1.01.02.04.06,"CSLL Saldo Negativo","Contas que registram o saldo negativo da CSLL.",asset_current,,l10n_br_account_chart_template
account_template_101020407,1.01.02.04.07,"PIS/PASEP Retido na Fonte","Contas que registram o PIS/PASEP Retido na Fonte sobre receitas da Pessoa Jurídica declarante.",asset_current,,l10n_br_account_chart_template
