id,city_id:id,start,end
zip_range_0198,city_br_510,44910-000,44914-999
zip_range_0199,city_br_124,13465-001,13479-999
zip_range_0200,city_br_511,76165-000,76169-999
zip_range_0201,city_br_512,14820-000,14824-999
zip_range_0202,city_br_513,15550-000,15559-999
zip_range_0203,city_br_514,98465-000,98469-999
zip_range_0204,city_br_515,62540-000,62549-999
zip_range_0205,city_br_516,76140-000,76144-999
zip_range_0206,city_br_517,58548-000,58549-999
zip_range_0207,city_br_518,13900-001,13909-999
zip_range_0208,city_br_519,49920-000,49929-999
zip_range_0209,city_br_520,35444-000,35446-999
zip_range_0210,city_br_521,85640-000,85649-999
zip_range_0211,city_br_522,57660-000,57669-999
zip_range_0212,city_br_523,45180-000,45189-999
zip_range_0213,city_br_524,85425-000,85429-999
zip_range_0214,city_br_525,68810-000,68814-999
zip_range_0215,city_br_526,65490-000,65494-999
zip_range_0216,city_br_527,13550-000,13559-999
zip_range_0217,city_br_528,69445-000,69449-999
zip_range_0218,city_br_529,77890-000,77892-999
zip_range_0219,city_br_046,67000-001,67199-999
zip_range_0220,city_br_062,75000-001,75159-999
zip_range_0221,city_br_530,68365-000,68369-999
zip_range_0222,city_br_531,65525-000,65529-999
zip_range_0223,city_br_532,79210-000,79214-999
zip_range_0224,city_br_533,79770-000,79779-999
zip_range_0225,city_br_534,29230-000,29239-999
zip_range_0226,city_br_535,89970-000,89979-999
zip_range_0227,city_br_536,46830-000,46834-999
zip_range_0228,city_br_537,86380-000,86384-999
zip_range_0229,city_br_538,48990-000,48999-999
zip_range_0230,city_br_539,37795-000,37799-999
zip_range_0231,city_br_540,16900-001,16919-999
zip_range_0232,city_br_541,95310-000,95314-999
zip_range_0233,city_br_542,37300-000,37304-999
zip_range_0234,city_br_543,18240-000,18244-999
zip_range_0235,city_br_544,39685-000,39687-999
zip_range_0236,city_br_545,79785-000,79789-999
zip_range_0237,city_br_546,55430-000,55434-999
zip_range_0238,city_br_547,88460-000,88469-999
zip_range_0239,city_br_548,47960-000,47969-999
zip_range_0240,city_br_549,64410-000,64414-999
zip_range_0241,city_br_550,77905-000,77907-999
zip_range_0242,city_br_551,59515-000,59516-999
zip_range_0243,city_br_175,23900-001,23969-999
zip_range_0244,city_br_552,44670-000,44679-999
zip_range_0245,city_br_553,86755-000,86759-999
zip_range_0246,city_br_554,75770-000,75779-999
zip_range_0247,city_br_555,18620-000,18639-999
zip_range_0248,city_br_556,19580-000,19589-999
zip_range_0249,city_br_557,76170-000,76179-999
zip_range_0250,city_br_558,64780-000,64781-999
zip_range_0251,city_br_559,88590-000,88597-999
zip_range_0252,city_br_560,88475-000,88484-999
zip_range_0253,city_br_561,69440-000,69444-999
zip_range_0254,city_br_562,95980-000,95984-999
zip_range_0255,city_br_563,48420-000,48429-999
zip_range_0256,city_br_564,83370-000,83389-999
zip_range_0257,city_br_565,63570-000,63574-999
zip_range_0258,city_br_566,64855-000,64857-999
zip_range_0259,city_br_567,44180-000,44189-999
zip_range_0260,city_br_568,36220-000,36224-999
zip_range_0261,city_br_569,88180-000,88189-999
zip_range_0262,city_br_570,35177-000,35178-999
zip_range_0263,city_br_571,44780-000,44789-999
zip_range_0264,city_br_572,79910-000,79919-999
zip_range_0265,city_br_573,59870-000,59879-999
zip_range_0266,city_br_574,83980-000,83999-999
zip_range_0267,city_br_575,95250-000,95254-999
zip_range_0268,city_br_576,36850-000,36854-999
zip_range_0269,city_br_577,58823-000,58823-999
zip_range_0270,city_br_578,12570-000,12579-999
zip_range_0271,city_br_579,15735-000,15739-999
zip_range_0272,city_br_040,74900-001,74999-999
zip_range_0273,city_br_580,75827-000,75827-999
zip_range_0274,city_br_581,77620-000,77629-999
zip_range_0275,city_br_582,79570-000,79579-999
zip_range_0276,city_br_583,28495-000,28499-999
zip_range_0277,city_br_584,29450-000,29459-999
zip_range_0278,city_br_585,78595-000,78599-999
zip_range_0279,city_br_586,18320-000,18324-999
zip_range_0280,city_br_587,65275-000,65275-999
zip_range_0281,city_br_588,89135-000,89135-999
zip_range_0282,city_br_589,59700-000,59729-999
zip_range_0283,city_br_590,48350-000,48359-999
zip_range_0284,city_br_591,75825-000,75826-999
zip_range_0285,city_br_592,45355-000,45359-999
zip_range_0286,city_br_231,86800-001,86819-999
zip_range_0287,city_br_593,69265-000,69279-999
zip_range_0288,city_br_594,62630-000,62639-999
zip_range_0289,city_br_595,49790-000,49799-999
zip_range_0290,city_br_596,79200-000,79209-999
zip_range_0291,city_br_597,61700-000,61759-999
zip_range_0292,city_br_598,89740-000,89744-999
zip_range_0293,city_br_599,58270-000,58272-999
zip_range_0294,city_br_600,35777-000,35779-999
zip_range_0295,city_br_036,49000-001,49099-999
zip_range_0296,city_br_601,18147-000,18149-999
zip_range_0297,city_br_602,48108-000,48109-999
zip_range_0298,city_br_603,62800-000,62809-999
zip_range_0299,city_br_604,46130-000,46139-999
zip_range_0300,city_br_152,16000-001,16129-999
zip_range_0301,city_br_605,48760-000,48769-999
zip_range_0302,city_br_606,36255-000,36259-999
zip_range_0303,city_br_607,62750-000,62754-999
zip_range_0304,city_br_608,53690-000,53699-999
zip_range_0305,city_br_609,18190-000,18194-999
zip_range_0306,city_br_610,29190-001,29199-999
zip_range_0307,city_br_611,75410-000,75419-999
zip_range_0308,city_br_612,39600-000,39609-999
zip_range_0309,city_br_613,76240-000,76244-999
zip_range_0310,city_br_614,75360-000,75369-999
zip_range_0311,city_br_615,77845-000,77847-999
zip_range_0312,city_br_616,77690-000,77692-999
zip_range_0313,city_br_617,77475-000,77477-999
zip_range_0314,city_br_618,78685-000,78689-999
zip_range_0315,city_br_170,77800-001,77839-999
zip_range_0316,city_br_619,78615-000,78619-999
zip_range_0317,city_br_620,65368-000,65369-999
zip_range_0318,city_br_621,77855-000,77859-999
zip_range_0319,city_br_622,76720-000,76729-999
zip_range_0320,city_br_261,38440-001,38459-999
zip_range_0321,city_br_623,77950-000,77957-999
zip_range_0322,city_br_624,65570-000,65577-999
zip_range_0323,city_br_625,79930-000,79934-999
zip_range_0324,city_br_626,48130-000,48139-999
zip_range_0325,city_br_627,96178-000,96179-999
zip_range_0326,city_br_628,65945-000,65947-999
zip_range_0327,city_br_629,14550-000,14569-999
zip_range_0328,city_br_630,18710-000,18719-999
zip_range_0329,city_br_631,37360-000,37369-999
zip_range_0330,city_br_632,12870-000,12899-999
zip_range_0331,city_br_127,57300-001,57319-999
zip_range_0332,city_br_633,77780-000,77782-999
zip_range_0333,city_br_634,36594-000,36599-999
zip_range_0334,city_br_254,86700-001,86719-999
zip_range_0335,city_br_635,38465-000,38469-999
zip_range_0336,city_br_636,84990-000,84999-999
zip_range_0337,city_br_637,38860-000,38869-999
zip_range_0338,city_br_638,86884-000,86889-999
zip_range_0339,city_br_639,78260-000,78264-999
zip_range_0340,city_br_640,89245-000,89246-999
zip_range_0341,city_br_641,58396-000,58396-999
zip_range_0342,city_br_642,88900-001,88913-999
zip_range_0343,city_br_121,14800-001,14812-999
zip_range_0344,city_br_230,13600-001,13609-999
zip_range_0345,city_br_643,62210-000,62214-999
zip_range_0346,city_br_644,65480-000,65484-999
zip_range_0347,city_br_645,93880-000,93889-999
zip_range_0348,city_br_646,63170-000,63179-999
zip_range_0349,city_br_647,56280-000,56299-999
zip_range_0350,city_br_232,28970-000,28989-999
zip_range_0351,city_br_648,58233-000,58234-999
zip_range_0352,city_br_649,87260-000,87264-999
zip_range_0353,city_br_650,45695-000,45699-999
zip_range_0354,city_br_651,99770-000,99789-999
zip_range_0355,city_br_652,62762-000,62763-999
zip_range_0356,city_br_653,44490-000,44499-999
zip_range_0357,city_br_654,49220-000,49229-999
zip_range_0358,city_br_198,83700-001,83729-999
zip_range_0359,city_br_655,35603-000,35603-999
zip_range_0360,city_br_281,38180-001,38184-999
zip_range_0361,city_br_656,37820-000,37854-999
zip_range_0362,city_br_657,17630-000,17649-999
zip_range_0363,city_br_658,35588-000,35589-999
zip_range_0364,city_br_659,56500-001,56519-999
zip_range_0365,city_br_660,37140-000,37141-999
zip_range_0366,city_br_661,25845-000,25849-999
zip_range_0367,city_br_662,17160-000,17179-999
zip_range_0368,city_br_663,58397-000,58397-999
zip_range_0369,city_br_664,59655-000,59659-999
zip_range_0370,city_br_665,49580-000,49599-999
zip_range_0371,city_br_666,58732-000,58732-999
zip_range_0372,city_br_667,58140-000,58144-999
zip_range_0373,city_br_668,12820-000,12829-999
zip_range_0374,city_br_669,18670-000,18674-999
zip_range_0375,city_br_670,78420-000,78424-999
zip_range_0376,city_br_671,76235-000,76239-999
zip_range_0377,city_br_672,59170-000,59172-999
zip_range_0378,city_br_673,36710-000,36719-999
zip_range_0379,city_br_674,39678-000,39679-999
zip_range_0380,city_br_675,38680-000,38689-999
zip_range_0381,city_br_676,78325-000,78329-999
zip_range_0382,city_br_677,76870-001,76879-999
zip_range_0383,city_br_678,15960-000,15969-999
zip_range_0384,city_br_679,86880-000,86883-999
zip_range_0385,city_br_680,28950-000,28959-999
zip_range_0386,city_br_681,88740-000,88744-999
zip_range_0387,city_br_682,63670-000,63679-999
zip_range_0388,city_br_683,64310-000,64314-999
zip_range_0389,city_br_684,58489-000,58491-999
zip_range_0390,city_br_685,64612-000,64612-999
zip_range_0391,city_br_686,64480-000,64489-999
zip_range_0392,city_br_687,28930-000,28939-999
zip_range_0393,city_br_688,77330-000,77349-999
zip_range_0394,city_br_689,95940-000,95944-999
zip_range_0395,city_br_690,96155-000,96159-999
zip_range_0396,city_br_691,95585-000,95587-999
zip_range_0397,city_br_692,96950-000,96989-999
zip_range_0398,city_br_693,96740-000,96744-999
zip_range_0399,city_br_694,96330-000,96359-999
zip_range_0400,city_br_695,89590-000,89594-999
zip_range_0401,city_br_696,13160-000,13164-999
zip_range_0402,city_br_697,76710-000,76719-999
zip_range_0403,city_br_698,07400-001,07499-999
zip_range_0404,city_br_699,89778-000,89779-999
zip_range_0405,city_br_700,95995-000,95996-999
zip_range_0406,city_br_701,89138-000,89139-999
zip_range_0407,city_br_702,15763-000,15764-999
zip_range_0408,city_br_703,86220-000,86224-999
zip_range_0409,city_br_704,63140-000,63144-999
zip_range_0410,city_br_318,19800-001,19819-999
zip_range_0411,city_br_705,69935-000,69939-999
zip_range_0412,city_br_706,85935-000,85939-999
zip_range_0413,city_br_707,58685-000,58689-999
zip_range_0414,city_br_708,64333-000,64334-999
zip_range_0415,city_br_709,36780-000,36783-999
zip_range_0416,city_br_710,86730-000,86749-999
zip_range_0417,city_br_711,57690-000,57699-999
zip_range_0418,city_br_712,87630-000,87639-999
zip_range_0419,city_br_713,69650-000,69659-999
zip_range_0420,city_br_714,88410-000,88419-999
zip_range_0421,city_br_715,39850-000,39854-999
zip_range_0422,city_br_188,12940-001,12954-999
zip_range_0423,city_br_716,29490-000,29499-999
zip_range_0424,city_br_717,77960-000,77969-999
zip_range_0425,city_br_718,68610-000,68616-999
zip_range_0426,city_br_719,39219-000,39219-999
zip_range_0427,city_br_720,98740-000,98749-999
zip_range_0428,city_br_721,99835-000,99837-999
zip_range_0429,city_br_722,45675-000,45679-999
zip_range_0430,city_br_723,15350-000,15354-999
zip_range_0431,city_br_724,76120-000,76124-999
zip_range_0432,city_br_725,63360-000,63379-999
zip_range_0433,city_br_726,89186-000,89187-999
zip_range_0434,city_br_727,68658-000,68659-999
zip_range_0435,city_br_728,77325-000,77327-999
zip_range_0436,city_br_729,69240-000,69249-999
zip_range_0437,city_br_730,16680-000,16699-999
zip_range_0438,city_br_731,16360-000,16369-999
zip_range_0439,city_br_732,18700-001,18709-999
zip_range_0440,city_br_733,68150-000,68164-999
zip_range_0441,city_br_734,64965-000,64967-999
zip_range_0442,city_br_735,75395-000,75395-999
zip_range_0443,city_br_736,65148-000,65149-999
zip_range_0444,city_br_737,77930-000,77939-999
zip_range_0445,city_br_738,77870-000,77879-999
zip_range_0446,city_br_307,65700-000,65703-999
zip_range_0447,city_br_739,65143-000,65144-999
zip_range_0448,city_br_740,65270-000,65271-999
zip_range_0449,city_br_741,65233-000,65234-999
zip_range_0450,city_br_742,15115-000,15119-999
zip_range_0451,city_br_743,37443-000,37444-999
zip_range_0452,city_br_260,96400-001,96444-999
zip_range_0453,city_br_744,68475-000,68479-999
zip_range_0454,city_br_745,58295-000,58296-999
zip_range_0455,city_br_746,59194-000,59195-999
zip_range_0456,city_br_747,47830-000,47844-999
zip_range_0457,city_br_748,68465-000,68469-999
zip_range_0458,city_br_749,44620-000,44629-999
zip_range_0459,city_br_750,64868-000,64869-999
zip_range_0460,city_br_751,63320-000,63339-999
zip_range_0461,city_br_752,29730-000,29744-999
zip_range_0462,city_br_753,16640-000,16649-999
zip_range_0463,city_br_754,35732-000,35735-999
zip_range_0464,city_br_755,76250-000,76254-999
zip_range_0465,city_br_756,88914-000,88914-999
zip_range_0466,city_br_757,89247-000,89247-999
zip_range_0467,city_br_214,88330-001,88339-999
zip_range_0468,city_br_758,88955-000,88959-999
zip_range_0469,city_br_759,88380-000,88384-999
zip_range_0470,city_br_760,95599-000,95599-999
zip_range_0471,city_br_761,88828-000,88829-999
zip_range_0472,city_br_762,83650-000,83699-999
zip_range_0473,city_br_763,15140-000,15144-999
zip_range_0474,city_br_316,65800-000,65804-999
zip_range_0475,city_br_764,38900-000,38909-999
zip_range_0476,city_br_765,63960-000,63969-999
zip_range_0477,city_br_766,12850-000,12869-999
zip_range_0478,city_br_767,58220-000,58224-999
zip_range_0479,city_br_768,39917-000,39919-999
zip_range_0480,city_br_769,37740-000,37749-999
zip_range_0481,city_br_770,89905-000,89905-999
zip_range_0482,city_br_771,79430-000,79439-999
zip_range_0483,city_br_772,86360-000,86369-999
zip_range_0484,city_br_773,77783-000,77784-999
zip_range_0485,city_br_774,68388-000,68389-999
zip_range_0486,city_br_775,48405-000,48409-999
zip_range_0487,city_br_776,95730-000,95734-999
zip_range_0488,city_br_777,18490-000,18499-999
zip_range_0489,city_br_778,35970-000,35983-999
zip_range_0490,city_br_779,99740-000,99749-999
zip_range_0491,city_br_780,65660-000,65664-999
zip_range_0492,city_br_781,78190-000,78194-999
zip_range_0493,city_br_782,36870-000,36877-999
zip_range_0494,city_br_783,96735-000,96739-999
zip_range_0495,city_br_784,58188-000,58194-999
zip_range_0496,city_br_785,59695-000,59699-999
zip_range_0497,city_br_242,36200-001,36209-999
zip_range_0498,city_br_786,63180-000,63184-999
zip_range_0499,city_br_787,16350-000,16359-999
zip_range_0500,city_br_788,86960-000,86969-999
zip_range_0501,city_br_239,68445-000,68449-999
zip_range_0502,city_br_789,59410-000,59419-999
zip_range_0503,city_br_790,69700-000,69729-999
zip_range_0504,city_br_791,17250-000,17259-999
zip_range_0505,city_br_792,47100-000,47114-999
zip_range_0506,city_br_793,89909-000,89909-999
zip_range_0507,city_br_794,17340-000,17349-999
zip_range_0508,city_br_795,64528-000,64529-999
zip_range_0509,city_br_796,46650-000,46669-999
zip_range_0510,city_br_797,55690-000,55694-999
zip_range_0511,city_br_798,58170-000,58172-999
zip_range_0512,city_br_799,58458-000,58459-999
zip_range_0513,city_br_800,57925-000,57929-999
zip_range_0514,city_br_801,29800-000,29819-999
zip_range_0515,city_br_802,57180-000,57199-999
zip_range_0516,city_br_803,58483-000,58484-999
zip_range_0517,city_br_804,78390-000,78397-999
zip_range_0518,city_br_805,18325-000,18329-999
zip_range_0519,city_br_806,45120-000,45129-999
zip_range_0520,city_br_807,65950-000,65961-999
zip_range_0521,city_br_808,78600-000,78609-999
zip_range_0522,city_br_809,98530-000,98534-999
zip_range_0523,city_br_810,86385-000,86389-999
zip_range_0524,city_br_811,44990-000,44999-999
zip_range_0525,city_br_812,77765-000,77769-999
zip_range_0526,city_br_813,27000-001,27174-999
zip_range_0527,city_br_814,97538-000,97539-999
zip_range_0528,city_br_815,96790-000,96799-999
zip_range_0529,city_br_816,99795-000,99799-999
zip_range_0530,city_br_817,45560-000,45569-999
zip_range_0531,city_br_818,11955-000,11959-999
zip_range_0532,city_br_819,49140-000,49149-999
zip_range_0533,city_br_820,99585-000,99589-999
zip_range_0534,city_br_821,35447-000,35449-999
zip_range_0535,city_br_172,27300-001,27399-999
zip_range_0536,city_br_822,88390-000,88394-999
zip_range_0537,city_br_823,85700-000,85707-999
zip_range_0538,city_br_824,95370-000,95379-999
zip_range_0539,city_br_825,64100-000,64104-999
zip_range_0540,city_br_826,62795-000,62799-999
zip_range_0541,city_br_185,47800-001,47819-999
zip_range_0542,city_br_827,64990-000,64992-999
zip_range_0543,city_br_828,69160-000,69179-999
zip_range_0544,city_br_829,65590-000,65599-999
zip_range_0545,city_br_830,55560-000,55564-999
zip_range_0546,city_br_250,14780-001,14789-999
zip_range_0547,city_br_831,14860-000,14869-999
zip_range_0548,city_br_832,63380-000,63399-999
zip_range_0549,city_br_833,44895-000,44899-999
zip_range_0550,city_br_834,76390-000,76392-999
zip_range_0551,city_br_835,64455-000,64459-999
zip_range_0552,city_br_836,45625-000,45629-999
zip_range_0553,city_br_837,48705-000,48709-999
zip_range_0554,city_br_838,77665-000,77669-999
zip_range_0555,city_br_839,62410-000,62419-999
zip_range_0556,city_br_840,99360-000,99369-999
zip_range_0557,city_br_841,36212-000,36212-999
zip_range_0558,city_br_088,06400-001,06499-999
zip_range_0559,city_br_842,17690-000,17699-999
zip_range_0560,city_br_843,79780-000,79784-999
zip_range_0561,city_br_844,57420-000,57424-999
zip_range_0562,city_br_845,64190-000,64199-999
zip_range_0563,city_br_846,14300-000,14339-999
zip_range_0564,city_br_847,79760-000,79764-999
zip_range_0565,city_br_848,62760-000,62761-999
zip_range_0566,city_br_066,17000-001,17119-999
zip_range_0567,city_br_849,58305-001,58309-999
zip_range_0568,city_br_850,14700-001,14719-999
zip_range_0569,city_br_851,62840-000,62849-999
zip_range_0570,city_br_852,62570-000,62579-999
zip_range_0571,city_br_853,79260-000,79269-999
zip_range_0572,city_br_854,85745-000,85749-999
zip_range_0573,city_br_855,75240-000,75244-999
zip_range_0574,city_br_856,35938-000,35939-999
zip_range_0575,city_br_857,65335-000,65339-999
zip_range_0576,city_br_858,86130-000,86139-999
zip_range_0577,city_br_859,64705-000,64709-999
zip_range_0578,city_br_860,89478-000,89479-999
zip_range_0579,city_br_861,65535-000,65539-999
zip_range_0580,city_br_862,57630-000,57634-999
zip_range_0581,city_br_012,66000-001,66999-999
zip_range_0582,city_br_863,58255-000,58259-999
