id,code,type,description,supplementary_unit,start_date,expiry_date
"commodity_code_2018_1061490","01061490","commodity","Live rabbits and hares (excl. domestic rabbits)","","",""
"commodity_code_2018_1061900","01061900","commodity","Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, sea lions and walruses, camels and other camelids, rabbits and hares, horses, asses, mules, hinnies, bovines, pigs, sheep and goats)","","",""
"commodity_code_2018_1062000","01062000","commodity","Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""","p/st","",""
"commodity_code_2018_1063100","01063100","commodity","Live birds of prey","p/st","",""
"commodity_code_2018_1063200","01063200","commodity","Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos""","p/st","",""
"commodity_code_2018_1063300","01063300","commodity","Live ostriches, and emus [Dromaius novaehollandiae]","p/st","",""
"commodity_code_2018_1063910","01063910","commodity","Live pigeons","p/st","",""
"commodity_code_2018_1063980","01063980","commodity","Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches, emus and pigeons)","","",""
"commodity_code_2018_1064100","01064100","commodity","Live bees","","",""
"commodity_code_2018_1064900","01064900","commodity","Live insects (excl. bees)","","",""
"commodity_code_2018_1069000","01069000","commodity","Live animals (excl. mammals, reptiles, birds, insects, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.)","","",""
"commodity_code_2018_2011000","02011000","commodity","Carcases or half-carcases of bovine animals, fresh or chilled","","",""
"commodity_code_2018_2012020","02012020","commodity","""Compensated"" quarters of bovine animals with bone in, fresh or chilled","","",""
"commodity_code_2018_2012030","02012030","commodity","Unseparated or separated forequarters of bovine animals, with bone in, fresh or chilled","","",""
"commodity_code_2018_2012050","02012050","commodity","Unseparated or separated hindquarters of bovine animals, with bone in, fresh or chilled","","",""
"commodity_code_2018_2012090","02012090","commodity","Fresh or chilled bovine cuts, with bone in (excl. carcases and half-carcases, ""compensated quarters"", forequarters and hindquarters)","","",""
"commodity_code_2018_2013000","02013000","commodity","Fresh or chilled bovine meat, boneless","","",""
"commodity_code_2018_2021000","02021000","commodity","Frozen bovine carcases and half-carcases","","",""
"commodity_code_2018_2022010","02022010","commodity","Frozen ""compensated"" bovine quarters, with bone in","","",""
"commodity_code_2018_2022030","02022030","commodity","Frozen unseparated or separated bovine forequarters, with bone in","","",""
"commodity_code_2018_2022050","02022050","commodity","Frozen unseparated or separated bovine hindquarters, with bone in","","",""
"commodity_code_2018_2022090","02022090","commodity","Frozen bovine cuts, with bone in (excl. carcases and half-carcases, ""compensated"" quarters, forequarters and hindquarters)","","",""
"commodity_code_2018_2023010","02023010","commodity","Frozen bovine boneless forequarters, whole or cut in max. 5 pieces, each quarter in 1 block; ""compensated"" quarters in 2 blocks, one containing the forequarter, whole or cut in max. 5 pieces, and the other the whole hindquarter, excl. the tenderloin, in one piece","","",""
"commodity_code_2018_2023050","02023050","commodity","Frozen bovine boneless crop, chuck and blade and brisket cuts","","",""
"commodity_code_2018_2023090","02023090","commodity","Frozen bovine boneless meat (excl. forequarters, whole or cut into a maximum of five pieces, each quarter being in a single block ""compensated"" quarters in two blocks, one of which contains the forequarter, whole or cut into a maximum of five pieces, and the other, the hindquarter, excl. the tenderloin, in one piece, crop, chuck and blade and brisket cuts)","","",""
"commodity_code_2018_2031110","02031110","commodity","Fresh or chilled domestic swine carcases and half-carcases","","",""
"commodity_code_2018_2031190","02031190","commodity","Fresh or chilled non-domestic swine carcases and half-carcases","","",""
"commodity_code_2018_2031211","02031211","commodity","Fresh or chilled with bone in, domestic swine hams and cuts thereof","","",""
"commodity_code_2018_2031219","02031219","commodity","Fresh or chilled with bone in, domestic swine shoulders and cuts thereof","","",""
"commodity_code_2018_2031290","02031290","commodity","Fresh or chilled hams, shoulders and cuts thereof with bone in of non-domestic swine","","",""
"commodity_code_2018_2031911","02031911","commodity","Fresh or chilled fore-ends and cuts thereof of domestic swine","","",""
"commodity_code_2018_2031913","02031913","commodity","Fresh or chilled loins and cuts thereof of domestic swine","","",""
"commodity_code_2018_2031915","02031915","commodity","Fresh or chilled bellies ""streaky"" and cuts thereof of domestic swine","","",""
"commodity_code_2018_2031955","02031955","commodity","Fresh or chilled boneless meat of domestic swine (excl. bellies and cuts thereof)","","",""
"commodity_code_2018_2031959","02031959","commodity","Fresh or chilled meat of domestic swine, with bone in (excl. carcases and half-carcases, hams, shoulders and cuts thereof, and fore-ends, loins, bellies and cuts thereof)","","",""
"commodity_code_2018_2031990","02031990","commodity","Fresh or chilled meat of non-domestic swine (excl. carcases and half-carcases, hams, shoulders and cuts thereof, with bone in)","","",""
"commodity_code_2018_2032110","02032110","commodity","Frozen domestic swine carcases and half-carcases","","",""
"commodity_code_2018_2032190","02032190","commodity","Frozen non-domestic swine carcases and half-carcases","","",""
"commodity_code_2018_2032211","02032211","commodity","Frozen hams and cuts thereof of domestic swine, with bone in","","",""
"commodity_code_2018_2032219","02032219","commodity","Frozen shoulders and cuts thereof of domestic swine, with bone in","","",""
"commodity_code_2018_2032290","02032290","commodity","Frozen hams, shoulders and cuts thereof of non-domestic swine, with bone in","","",""
"commodity_code_2018_2032911","02032911","commodity","Frozen fore-ends and cuts thereof of domestic swine","","",""
"commodity_code_2018_2032913","02032913","commodity","Frozen loins and cuts thereof of domestic swine, with bone in","","",""
"commodity_code_2018_2032915","02032915","commodity","Frozen bellies ""streaky"" and cuts thereof of domestic swine","","",""
"commodity_code_2018_2032955","02032955","commodity","Frozen boneless meat of domestic swine (excl. bellies and cuts thereof)","","",""
"commodity_code_2018_2032959","02032959","commodity","Frozen meat of domestic swine, with bone in (excl. carcases and half-carcases, hams, shoulders and cuts thereof, and fore-ends, loins, bellies and cuts thereof)","","",""
"commodity_code_2018_2032990","02032990","commodity","Frozen meat of non-domestic swine (excl. carcases and half-carcases and hams, shoulders and cuts thereof, with bone in)","","",""
"commodity_code_2018_2041000","02041000","commodity","Fresh or chilled lamb carcases and half-carcases","","",""
"commodity_code_2018_2042100","02042100","commodity","Fresh or chilled sheep carcases and half-carcases (excl. lambs)","","",""
"commodity_code_2018_2042210","02042210","commodity","Fresh or chilled sheep short forequarters","","",""
"commodity_code_2018_2042230","02042230","commodity","Fresh or chilled sheep chines and/or best ends","","",""
"commodity_code_2018_2042250","02042250","commodity","Fresh or chilled sheep legs","","",""
"commodity_code_2018_2042290","02042290","commodity","Fresh or chilled boneless cuts of sheep, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)","","",""
"commodity_code_2018_2042300","02042300","commodity","Fresh or chilled boneless cuts of sheep","","",""
"commodity_code_2018_2043000","02043000","commodity","Frozen lamb carcases and half-carcases","","",""
"commodity_code_2018_2044100","02044100","commodity","Frozen sheep carcases and half-carcases (excl. lambs)","","",""
"commodity_code_2018_2044210","02044210","commodity","Frozen sheep short forequarters","","",""
"commodity_code_2018_2044230","02044230","commodity","Frozen sheep chines and/or best ends","","",""
"commodity_code_2018_2044250","02044250","commodity","Frozen sheep legs","","",""
"commodity_code_2018_2044290","02044290","commodity","Frozen cuts of sheep, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)","","",""
"commodity_code_2018_2044310","02044310","commodity","Frozen meat of lambs, boneless, frozen","","",""
"commodity_code_2018_2044390","02044390","commodity","Frozen meat of sheep, boneless (excl. lamb)","","",""
"commodity_code_2018_2045011","02045011","commodity","Fresh or chilled goat carcases and half-carcases","","",""
"commodity_code_2018_2045013","02045013","commodity","Fresh or chilled goat short forequarters","","",""
"commodity_code_2018_2045015","02045015","commodity","Fresh or chilled goat chines and/or best ends","","",""
"commodity_code_2018_2045019","02045019","commodity","Fresh or chilled legs of goat","","",""
"commodity_code_2018_2045031","02045031","commodity","Fresh or chilled cuts of goat, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)","","",""
"commodity_code_2018_2045039","02045039","commodity","Fresh or chilled boneless cuts of goat","","",""
"commodity_code_2018_2045051","02045051","commodity","Frozen goat carcases and half-carcases","","",""
"commodity_code_2018_2045053","02045053","commodity","Frozen goat short forequarters","","",""
"commodity_code_2018_2045055","02045055","commodity","Frozen goat chines and/or best ends","","",""
"commodity_code_2018_2045059","02045059","commodity","Frozen goat legs","","",""
"commodity_code_2018_2045071","02045071","commodity","Frozen cuts of goat, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)","","",""
"commodity_code_2018_2045079","02045079","commodity","Frozen boneless cuts of goat","","",""
"commodity_code_2018_2050020","02050020","commodity","Fresh or chilled meat of horses, asses, mules or hinnies","","",""
"commodity_code_2018_2050080","02050080","commodity","Frozen meat of horses, asses, mules or hinnies","","",""
"commodity_code_2018_2061010","02061010","commodity","Fresh or chilled edible bovine offal for manufacture of pharmaceutical products","","",""
"commodity_code_2018_2061095","02061095","commodity","Fresh or chilled edible bovine thick and thin skirt (excl. for manufacture of pharmaceutical products)","","",""
"commodity_code_2018_2061098","02061098","commodity","Fresh or chilled edible bovine offal (excl. for manufacture of pharmaceutical products, thick and thin skirt)","","",""
"commodity_code_2018_2062100","02062100","commodity","Frozen edible bovine tongues","","",""
"commodity_code_2018_2062200","02062200","commodity","Frozen edible bovine livers","","",""
"commodity_code_2018_2062910","02062910","commodity","Frozen edible bovine offal for manufacture of pharmaceutical products (excl. tongues and livers)","","",""
"commodity_code_2018_2062991","02062991","commodity","Frozen edible bovine thick and thin skirt (excl. for manufacture of pharmaceutical products)","","",""
"commodity_code_2018_2062999","02062999","commodity","Frozen edible bovine offal (excl. for manufacture of pharmaceutical products, tongues, livers and thick and thin skirt)","","",""
"commodity_code_2018_2063000","02063000","commodity","Fresh or chilled edible offal of swine","","",""
"commodity_code_2018_2064100","02064100","commodity","Frozen edible livers of swine","","",""
"commodity_code_2018_2064900","02064900","commodity","Edible offal of swine, frozen (excl. livers)","","",""
"commodity_code_2018_2068010","02068010","commodity","Fresh or chilled edible offal of sheep, goats, horses, asses, mules and hinnies, for manufacture of pharmaceutical products","","",""
"commodity_code_2018_2068091","02068091","commodity","Fresh or chilled edible offal of horses, asses, mules and hinnies (excl. for manufacture of pharmaceutical products)","","",""
"commodity_code_2018_2068099","02068099","commodity","Fresh or chilled edible offal of sheep and goats (excl. for manufacture of pharmaceutical products)","","",""
"commodity_code_2018_2069010","02069010","commodity","Frozen edible offal of sheep, goats, horses, mules and hinnies, for manufacture of pharmaceutical products","","",""
"commodity_code_2018_2069091","02069091","commodity","Frozen edible offal of horses, asses, mules and hinnies (excl. for manufacture of pharmaceutical products)","","",""
"commodity_code_2018_2069099","02069099","commodity","Frozen edible offal of sheep and goats (excl. for manufacture of pharmaceutical products)","","",""
"commodity_code_2018_2071110","02071110","commodity","Fresh or chilled, plucked and gutted fowls of species Gallus domesticus, with heads and feet, known as ""83% chickens""","","",""
"commodity_code_2018_2071130","02071130","commodity","Fresh or chilled, plucked and drawn fowls of species Gallus domesticus, without heads and feet but with necks, hearts, livers and gizzards, known as ""70% chickens""","","",""
"commodity_code_2018_2071190","02071190","commodity","Fresh or chilled, plucked and drawn fowls of species Gallus domesticus, without heads, feet, necks, hearts, livers and gizzards, known as ""65% chickens"", and other forms of fresh or chilled fowl, not cut in pieces (excl. ""83% and 70% chickens"")","","",""
"commodity_code_2018_2071210","02071210","commodity","Frozen fowls of species Gallus domesticus, plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as ""70% chickens""","","",""
"commodity_code_2018_2071290","02071290","commodity","Frozen fowls of species Gallus domesticus, plucked and drawn, without heads, feet, necks, hearts, livers and gizzards, known as ""65% chickens"", and other forms of fowl, not cut in pieces (excl. ""70% chickens"")","","",""
"commodity_code_2018_2071310","02071310","commodity","Fresh or chilled boneless cuts of fowls of the species Gallus domesticus","","",""
"commodity_code_2018_2071320","02071320","commodity","Fresh or chilled halves or quarters of fowls of the species Gallus domesticus","","",""
"commodity_code_2018_2071330","02071330","commodity","Fresh or chilled whole wings, with or without tips, of fowls of the species Gallus domesticus","","",""
"commodity_code_2018_2071340","02071340","commodity","Fresh or chilled backs, necks, backs with necks attached, rumps and wing-tips of fowls of the species Gallus domesticus","","",""
"commodity_code_2018_2071350","02071350","commodity","Fresh or chilled breasts and cuts thereof of fowls of the species Gallus domesticus, with bone in","","",""
"commodity_code_2018_2071360","02071360","commodity","Fresh or chilled legs and cuts thereof of fowls of the species Gallus domesticus, with bone in","","",""
"commodity_code_2018_2071370","02071370","commodity","Fresh or chilled cuts of fowls of the species Gallus domesticus, with bone in (excl. halves and quarters, whole wings, with or without tips, backs, necks, backs with necks attached, rumps and wing-tips, breasts, legs and parts thereof)","","",""
"commodity_code_2018_2071391","02071391","commodity","Fresh or chilled edible livers of fowls of the species Gallus domesticus","","",""
"commodity_code_2018_2071399","02071399","commodity","Fresh or chilled edible offal of fowls of the species Gallus domesticus (excl. livers)","","",""
"commodity_code_2018_2071410","02071410","commodity","Frozen boneless cuts of fowls of the species Gallus domesticus","","",""
"commodity_code_2018_2071420","02071420","commodity","Frozen halves or quarters of fowls of the species Gallus domesticus","","",""
"commodity_code_2018_2071430","02071430","commodity","Frozen whole wings, with or without tips, of fowls of the species Gallus domesticus","","",""
"commodity_code_2018_2071440","02071440","commodity","Frozen backs, necks, backs with necks attached, rumps and wing-tips of fowls of the species Gallus domesticus","","",""
"commodity_code_2018_2071450","02071450","commodity","Frozen breasts and cuts thereof of fowls of the species Gallus domesticus, with bone in","","",""
"commodity_code_2018_2071460","02071460","commodity","Frozen legs and cuts thereof of fowls of the species Gallus domesticus, with bone in","","",""
"commodity_code_2018_2071470","02071470","commodity","Frozen cuts of fowls of the species Gallus domesticus, with bone in (excl. halves or quarters, whole wings, with or without tips, backs, necks, backs with necks attached, rumps and wing-tips, breasts, legs and cuts thereof)","","",""
"commodity_code_2018_2071491","02071491","commodity","Frozen edible livers of fowls of the species Gallus domesticus","","",""
"commodity_code_2018_2071499","02071499","commodity","Frozen edible offal of fowls of the species Gallus domesticus (excl. livers)","","",""
"commodity_code_2018_2072410","02072410","commodity","Fresh or chilled, plucked and drawn turkeys of the species domesticus, without heads and feet but with necks, hearts, livers and gizzards, known as ""80% turkeys""","","",""
"commodity_code_2018_2072490","02072490","commodity","Fresh or chilled, plucked and drawn turkeys of the species domesticus, without heads, feet, necks, hearts, livers and gizzards, known as ""73% turkeys"", and other forms of fresh or chilled turkeys, not cut in pieces (excl. ""80% turkeys"")","","",""
"commodity_code_2018_2072510","02072510","commodity","Frozen turkeys of the species domesticus, plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as ""80% turkeys""","","",""
"commodity_code_2018_2072590","02072590","commodity","Frozen turkeys of the species domesticus, plucked and drawn, without heads, feet, necks, hearts, livers and gizzards, known as ""73% turkeys"", and other forms of turkeys, not cut in pieces (excl. ""80% turkeys"")","","",""
"commodity_code_2018_2072610","02072610","commodity","Fresh or chilled boneless cuts of turkeys of the species domesticus","","",""
"commodity_code_2018_2072620","02072620","commodity","Fresh or chilled halves or quarters of turkeys of the species domesticus","","",""
"commodity_code_2018_2072630","02072630","commodity","Fresh or chilled whole wings, with or without tips, of turkeys of the species domesticus","","",""
"commodity_code_2018_2072640","02072640","commodity","Fresh or chilled backs, necks, backs with necks attached, rumps and wing-tips of turkeys of the species domesticus","","",""
"commodity_code_2018_2072650","02072650","commodity","Fresh or chilled breasts and cuts thereof of turkeys of the species domesticus, with bone in","","",""
"commodity_code_2018_2072660","02072660","commodity","Fresh or chilled drumsticks and cuts thereof of turkeys of the species domesticus, with bone in","","",""
"commodity_code_2018_2072670","02072670","commodity","Fresh or chilled legs and cuts thereof of turkeys of the species domesticus, with bone in (excl. drumsticks)","","",""
"commodity_code_2018_2072680","02072680","commodity","Fresh or chilled cuts of turkeys of the species domesticus, with bone in (excl. halves or quarters, whole wings, with or without tips, backs, necks, backs with necks attached, rumps and wing-tips, breasts, legs and cuts thereof)","","",""
"commodity_code_2018_2072691","02072691","commodity","Fresh or chilled edible livers of turkeys of the species domesticus","","",""
"commodity_code_2018_2072699","02072699","commodity","Fresh or chilled edible offal of turkeys of the species domesticus (excl. livers)","","",""
"commodity_code_2018_2072710","02072710","commodity","Frozen boneless cuts of turkeys of the species domesticus","","",""
"commodity_code_2018_2072720","02072720","commodity","Frozen halves and quarters of turkeys of the species domesticus","","",""
"commodity_code_2018_2072730","02072730","commodity","Frozen whole wings, with or without tips, of turkeys of the species domesticus","","",""
"commodity_code_2018_2072740","02072740","commodity","Frozen backs, necks, backs with necks attached, rumps and wing-tips of turkeys of the species domesticus","","",""
"commodity_code_2018_2072750","02072750","commodity","Frozen breasts and cuts thereof of turkeys of the species domesticus, with bone in","","",""
"commodity_code_2018_2072760","02072760","commodity","Frozen drumsticks and cuts thereof of turkeys of the species domesticus, with bone in","","",""
"commodity_code_2018_2072770","02072770","commodity","Frozen legs and cuts thereof of turkeys of the species domesticus, with bone in (excl. drumsticks)","","",""
"commodity_code_2018_2072780","02072780","commodity","Frozen cuts of turkeys of the species domesticus, with bone in (excl. halves or quarters, whole wings, with or without tips, backs, necks, backs with necks attached, rumps and wing-tips, breasts, legs and cuts thereof)","","",""
"commodity_code_2018_2072791","02072791","commodity","Frozen edible livers of turkeys of the species domesticus","","",""
"commodity_code_2018_2072799","02072799","commodity","Frozen edible offal of turkeys of the species domesticus (excl. livers)","","",""
"commodity_code_2018_2074120","02074120","commodity","Fresh or chilled domestic ducks, not cut in pieces, plucked, bled, gutted but not drawn, with heads and feet ""85 % ducks""","","",""
"commodity_code_2018_2074130","02074130","commodity","Fresh or chilled domestic ducks, not cut in pieces, plucked and drawn, without heads and feet but with necks, hearts, livers and gizzard ""70 % ducks""","","",""
"commodity_code_2018_2074180","02074180","commodity","Fresh or chilled domestic ducks, not cut in pieces, plucked and drawn, without heads and feet and without necks, hearts, livers and gizzards, ""63 % ducks"" or otherwise presented","","",""
"commodity_code_2018_2074230","02074230","commodity","Frozen domestic ducks, not cut in pieces, plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards ""70 % ducks""","","",""
"commodity_code_2018_2074280","02074280","commodity","Frozen domestic ducks, not cut in pieces, plucked and drawn, without heads and feet and without necks, hearts, livers and gizzards, ""63 % ducks"" or otherwise presented","","",""
"commodity_code_2018_2074300","02074300","commodity","Fatty livers of domestic ducks, fresh or chilled","","",""
"commodity_code_2018_2074410","02074410","commodity","Fresh or chilled cuts of domestic ducks, boneless","","",""
"commodity_code_2018_2074421","02074421","commodity","Fresh or chilled halves or quarters of domestic ducks","","",""
"commodity_code_2018_2074431","02074431","commodity","Fresh or chilled whole wings of domestic ducks","","",""
"commodity_code_2018_2074441","02074441","commodity","Fresh or chilled backs, necks, backs with necks attached, rumps and wing-tips of domestic ducks","","",""
"commodity_code_2018_2074451","02074451","commodity","Fresh or chilled breasts and cuts thereof, of domestic ducks, with bone in","","",""
"commodity_code_2018_2074461","02074461","commodity","Fresh or chilled legs and cuts thereof, of domestic ducks, with bone in","","",""
"commodity_code_2018_2074471","02074471","commodity","Fresh or chilled paletots of domestic ducks, with bone in","","",""
"commodity_code_2018_2074481","02074481","commodity","Fresh or chilled cuts of domestic ducks, with bone in, n.e.s.","","",""
"commodity_code_2018_2074491","02074491","commodity","Fresh or chilled livers of domestic ducks (excl. fatty)","","",""
"commodity_code_2018_2074499","02074499","commodity","Fresh or chilled edible offal of domestic ducks (excl. livers)","","",""
"commodity_code_2018_2074510","02074510","commodity","Frozen cuts of domestic ducks, boneless","","",""
"commodity_code_2018_2074521","02074521","commodity","Frozen halves or quarters of domestic ducks","","",""
"commodity_code_2018_2074531","02074531","commodity","Frozen whole wings of domestic ducks","","",""
"commodity_code_2018_2074541","02074541","commodity","Frozen  backs, necks, backs with necks attached, rumps and wing-tips of domestic ducks","","",""
"commodity_code_2018_2074551","02074551","commodity","Frozen breasts and cuts thereof, of domestic ducks, with bone in","","",""
"commodity_code_2018_2074561","02074561","commodity","Frozen legs and cuts thereof, of domestic ducks, with bone in","","",""
"commodity_code_2018_2074571","02074571","commodity","Frozen paletots of domestic ducks, with bone in","","",""
"commodity_code_2018_2074581","02074581","commodity","Frozen cuts of domestic ducks, with bone in, n.e.s.","","",""
"commodity_code_2018_2074593","02074593","commodity","Frozen fatty livers of domestic ducks","","",""
"commodity_code_2018_2074595","02074595","commodity","Frozen livers of domestic ducks (excl. fatty)","","",""
"commodity_code_2018_2074599","02074599","commodity","Frozen edible offal of domestic ducks (excl. livers)","","",""
"commodity_code_2018_2075110","02075110","commodity","Fresh or chilled domestic geese, not cut in pieces, plucked, bled, not drawn, with heads and feet ""82 % geese""","","",""
"commodity_code_2018_2075190","02075190","commodity","Fresh or chilled domestic geese, not cut in pieces, plucked and drawn, without heads and feet, with or without hearts and gizzards, ""75 % geese"" or otherwise presented","","",""
"commodity_code_2018_2075210","02075210","commodity","Frozen domestic geese, not cut in pieces, plucked, bled, not drawn, with heads and feet ""82 % geese""","","",""
"commodity_code_2018_2075290","02075290","commodity","Frozen domestic geese, not cut in pieces, plucked and drawn, without heads and feet, with or without hearts and gizzards, ""75 % geese"" or otherwise presented","","",""
"commodity_code_2018_2075300","02075300","commodity","Fatty livers of domestic geese, fresh or chilled","","",""
"commodity_code_2018_2075410","02075410","commodity","Fresh or chilled cuts of domestic geese, boneless","","",""
"commodity_code_2018_2075421","02075421","commodity","Fresh or chilled halves or quarters of domestic geese","","",""
"commodity_code_2018_2075431","02075431","commodity","Fresh or chilled whole wings of domestic geese","","",""
"commodity_code_2018_2075441","02075441","commodity","Fresh or chilled backs, necks, backs with necks attached, rumps and wing-tips of domestic geese","","",""
