"id","name","description","invoice_label","sequence","amount_type","amount","type_tax_use","tax_group_id","active","l10n_ar_withholding_payment_type","l10n_ar_tax_type","l10n_ar_state_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","name@es","description@es","invoice_label@es","fiscal_position_ids","original_tax_ids"
"","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_er_sufrida","","","","",""
"","","","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","","","tax","refund","base_retencion_iibb_er_sufrida","","","","",""
"base_tax_withholding_iibb_j_incurred","IIBB WTH J","IIBB withholding Jujuy","","4","percent","1","none","tax_group_withholding_iibb_j","True","customer","iibb_untaxed","base.state_ar_y","","","","Ret IIBB J","Retención IIBB Jujuy","","",""
"","","","","","","","","","","","","","base","invoice","","","","","",""
"","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_ju_sufrida","","","","",""
"","","","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","","","tax","refund","base_retencion_iibb_ju_sufrida","","","","",""
"base_tax_withholding_iibb_mza_incurred","IIBB WTH MZA","IIBB withholding Mendoza","","4","percent","1","none","tax_group_withholding_iibb_mza","True","customer","iibb_untaxed","base.state_ar_m","","","","Ret IIBB MZA","Retención IIBB Mendoza","","",""
"","","","","","","","","","","","","","base","invoice","","","","","",""
"","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_za_sufrida","","","","",""
"","","","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","","","tax","refund","base_retencion_iibb_za_sufrida","","","","",""
"base_tax_withholding_iibb_lr_incurred","IIBB WTH LR","IIBB withholding La Rioja","","4","percent","1","none","tax_group_withholding_iibb_lr","True","customer","iibb_untaxed","base.state_ar_f","","","","Ret IIBB LR","Retención IIBB La Rioja","","",""
"","","","","","","","","","","","","","base","invoice","","","","","",""
"","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_lr_sufrida","","","","",""
"","","","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","","","tax","refund","base_retencion_iibb_lr_sufrida","","","","",""
"base_tax_withholding_iibb_s_incurred","IIBB WTH S","IIBB withholding Salta","","4","percent","1","none","tax_group_withholding_iibb_s","True","customer","iibb_untaxed","base.state_ar_a","","","","Ret IIBB S","Retención IIBB Salta","","",""
"","","","","","","","","","","","","","base","invoice","","","","","",""
"","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_sa_sufrida","","","","",""
"","","","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","","","tax","refund","base_retencion_iibb_sa_sufrida","","","","",""
"base_tax_withholding_iibb_sj_incurred","IIBB WTH SJ","IIBB withholding San Juan","","4","percent","1","none","tax_group_withholding_iibb_sj","True","customer","iibb_untaxed","base.state_ar_j","","","","Ret IIBB SJ","Retención IIBB San Juan","","",""
"","","","","","","","","","","","","","base","invoice","","","","","",""
"","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_nn_sufrida","","","","",""
"","","","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","","","tax","refund","base_retencion_iibb_nn_sufrida","","","","",""
"base_tax_withholding_iibb_sl_incurred","IIBB WTH SL","IIBB withholding San Luis","","4","percent","1","none","tax_group_withholding_iibb_sl","True","customer","iibb_untaxed","base.state_ar_d","","","","Ret IIBB SL","Retención IIBB San Luis","","",""
"","","","","","","","","","","","","","base","invoice","","","","","",""
"","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_sl_sufrida","","","","",""
"","","","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","","","tax","refund","base_retencion_iibb_sl_sufrida","","","","",""
"base_tax_withholding_iibb_sf_incurred","IIBB WTH SF","IIBB withholding Santa Fe","","4","percent","1","none","tax_group_withholding_iibb_sf","True","customer","iibb_untaxed","base.state_ar_s","","","","Ret IIBB SF","Retención IIBB Santa Fe","","",""
"","","","","","","","","","","","","","base","invoice","","","","","",""
"","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_sf_sufrida","","","","",""
"","","","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","","","tax","refund","base_retencion_iibb_sf_sufrida","","","","",""
"base_tax_withholding_iibb_se_incurred","IIBB WTH SE","IIBB withholding Santiago del Estero","","4","percent","1","none","tax_group_withholding_iibb_se","True","customer","iibb_untaxed","base.state_ar_g","","","","Ret IIBB SE","Retención IIBB Santiago del Estero","","",""
"","","","","","","","","","","","","","base","invoice","","","","","",""
"","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_sf_sufrida","","","","",""
"","","","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","","","tax","refund","base_retencion_iibb_se_sufrida","","","","",""
"base_tax_withholding_iibb_t_incurred","IIBB WTH T","IIBB withholding Tucumán","","4","percent","1","none","tax_group_withholding_iibb_t","True","customer","iibb_untaxed","base.state_ar_t","","","","Ret IIBB T","Retención IIBB Tucumán","","",""
"","","","","","","","","","","","","","base","invoice","","","","","",""
"","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_tn_sufrida","","","","",""
"","","","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","","","tax","refund","base_retencion_iibb_tn_sufrida","","","","",""
"base_tax_withholding_iibb_cho_incurred","IIBB WTH CHO","IIBB withholding Chaco","","4","percent","1","none","tax_group_withholding_iibb_cho","True","customer","iibb_untaxed","base.state_ar_h","","","","Ret IIBB CHO","Retención IIBB Chaco","","",""
"","","","","","","","","","","","","","base","invoice","","","","","",""
"","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_ha_sufrida","","","","",""
"","","","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","","","tax","refund","base_retencion_iibb_ha_sufrida","","","","",""
"base_tax_withholding_iibb_cht_incurred","IIBB WTH CHT","IIBB withholding Chubut","","4","percent","1","none","tax_group_withholding_iibb_cht","True","customer","iibb_untaxed","base.state_ar_u","","","","Ret IIBB CHT","Retención IIBB Chubut","","",""
"","","","","","","","","","","","","","base","invoice","","","","","",""
"","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_ct_sufrida","","","","",""
"","","","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","","","tax","refund","base_retencion_iibb_ct_sufrida","","","","",""
"base_tax_withholding_iibb_f_incurred","IIBB WTH F","IIBB withholding Formosa","","4","percent","1","none","tax_group_withholding_iibb_f","True","customer","iibb_untaxed","base.state_ar_p","","","","Ret IIBB F","Retención IIBB Formosa","","",""
"","","","","","","","","","","","","","base","invoice","","","","","",""
"","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_fo_sufrida","","","","",""
"","","","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","","","tax","refund","base_retencion_iibb_fo_sufrida","","","","",""
"base_tax_withholding_iibb_ms_incurred","IIBB WTH MS","IIBB withholding Misiones","","4","percent","1","none","tax_group_withholding_iibb_ms","True","customer","iibb_untaxed","base.state_ar_n","","","","Ret IIBB MS","Retención IIBB Misiones","","",""
"","","","","","","","","","","","","","base","invoice","","","","","",""
"","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_mi_sufrida","","","","",""
"","","","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","","","tax","refund","base_retencion_iibb_mi_sufrida","","","","",""
"base_tax_withholding_iibb_n_incurred","IIBB WTH N","IIBB withholding Neuquén","","4","percent","1","none","tax_group_withholding_iibb_n","True","customer","iibb_untaxed","base.state_ar_q","","","","Ret IIBB N","Retención IIBB Neuquén","","",""
"","","","","","","","","","","","","","base","invoice","","","","","",""
"","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_ne_sufrida","","","","",""
"","","","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","","","tax","refund","base_retencion_iibb_ne_sufrida","","","","",""
"base_tax_withholding_iibb_lp_incurred","IIBB WTH LP","IIBB withholding La Pampa","","4","percent","1","none","tax_group_withholding_iibb_lp","True","customer","iibb_untaxed","base.state_ar_l","","","","Ret IIBB LP","Retención IIBB La Pampa","","",""
"","","","","","","","","","","","","","base","invoice","","","","","",""
"","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_lp_sufrida","","","","",""
"","","","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","","","tax","refund","base_retencion_iibb_lp_sufrida","","","","",""
"base_tax_withholding_iibb_rn_incurred","IIBB WTH RN","IIBB withholding Río Negro","","4","percent","1","none","tax_group_withholding_iibb_rn","True","customer","iibb_untaxed","base.state_ar_r","","","","Ret IIBB RN","Retención IIBB Río Negro","","",""
"","","","","","","","","","","","","","base","invoice","","","","","",""
"","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_rn_sufrida","","","","",""
"","","","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","","","tax","refund","base_retencion_iibb_rn_sufrida","","","","",""
"base_tax_withholding_iibb_sc_incurred","IIBB WTH SC","IIBB withholding Santa Cruz","","4","percent","1","none","tax_group_withholding_iibb_sc","True","customer","iibb_untaxed","base.state_ar_z","","","","Ret IIBB SC","Retención IIBB Santa Cruz","","",""
"","","","","","","","","","","","","","base","invoice","","","","","",""
"","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_az_sufrida","","","","",""
"","","","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","","","tax","refund","base_retencion_iibb_az_sufrida","","","","",""
"base_tax_withholding_iibb_tais_incurred","IIBB WTH TAIS","IIBB withholding Tierra del Fuego","","4","percent","1","none","tax_group_withholding_iibb_tais","True","customer","iibb_untaxed","base.state_ar_v","","","","Ret IIBB TAIS","Retención IIBB Tierra del Fuego","","",""
"","","","","","","","","","","","","","base","invoice","","","","","",""
"","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_tf_sufrida","","","","",""
"","","","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","","","tax","refund","base_retencion_iibb_tf_sufrida","","","","",""
