"id","name","description","active","sequence","amount_type","amount","tax_group_id","type_tax_use","l10n_ar_withholding_payment_type","l10n_ar_scale_id","l10n_ar_tax_type","l10n_ar_code","l10n_ar_state_id","l10n_ar_non_taxable_amount","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","name@es","description@es"
"ex_tax_withholding_iibb_cts_applied","IIBB WTH CTS 0%","IIBB withholding Corrientes","True","4","percent","0","tax_group_withholding","none","supplier","","iibb_untaxed","","base.state_ar_w","","","","","","Ret IIBB CTS 0%","Retención IIBB Corrientes"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_rr_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_rr_aplicada","",""
"ex_tax_withholding_iibb_er_applied","IIBB WTH ER 0%","IIBB withholding Entre Ríos","True","4","percent","0","tax_group_withholding","none","supplier","","iibb_untaxed","","base.state_ar_e","","","","","","Ret IIBB ER 0%","Retención IIBB Entre Ríos"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_er_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_er_aplicada","",""
"ex_tax_withholding_iibb_j_applied","IIBB WTH J 0%","IIBB withholding Jujuy","True","4","percent","0","tax_group_withholding","none","supplier","","iibb_untaxed","","base.state_ar_y","","","","","","Ret IIBB J 0%","Retención IIBB Jujuy"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_ju_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_ju_aplicada","",""
"ex_tax_withholding_iibb_mza_applied","IIBB WTH MZA 0%","IIBB withholding Mendoza","True","4","percent","0","tax_group_withholding","none","supplier","","iibb_untaxed","","base.state_ar_m","","","","","","Ret IIBB MZA 0%","Retención IIBB Mendoza"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_za_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_za_aplicada","",""
"ex_tax_withholding_iibb_lr_applied","IIBB WTH LR 0%","IIBB withholding La Rioja","True","4","percent","0","tax_group_withholding","none","supplier","","iibb_untaxed","","base.state_ar_f","","","","","","Ret IIBB LR 0%","Retención IIBB La Rioja"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_lr_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_lr_aplicada","",""
"ex_tax_withholding_iibb_s_applied","IIBB WTH S 0%","IIBB withholding Salta","True","4","percent","0","tax_group_withholding","none","supplier","","iibb_untaxed","","base.state_ar_a","","","","","","Ret IIBB S 0%","Retención IIBB Salta"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_sa_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_sa_aplicada","",""
"ex_tax_withholding_iibb_sj_applied","IIBB WTH SJ 0%","IIBB withholding San Juan","True","4","percent","0","tax_group_withholding","none","supplier","","iibb_untaxed","","base.state_ar_j","","","","","","Ret IIBB SJ 0%","Retención IIBB San Juan"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_nn_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_nn_aplicada","",""
"ex_tax_withholding_iibb_sl_applied","IIBB WTH SL 0%","IIBB withholding San Luis","True","4","percent","0","tax_group_withholding","none","supplier","","iibb_untaxed","","base.state_ar_d","","","","","","Ret IIBB SL 0%","Retención IIBB San Luis"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_sl_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_sl_aplicada","",""
"ex_tax_withholding_iibb_sf_applied","IIBB WTH SF 0%","IIBB withholding Santa Fe","True","4","percent","0","tax_group_withholding","none","supplier","","iibb_untaxed","","base.state_ar_s","","","","","","Ret IIBB SF 0%","Retención IIBB Santa Fe"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_sf_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_sf_aplicada","",""
"ex_tax_withholding_iibb_se_applied","IIBB WTH SE 0%","IIBB withholding Santiago del Estero","True","4","percent","0","tax_group_withholding","none","supplier","","iibb_untaxed","","base.state_ar_g","","","","","","Ret IIBB SE 0%","Retención IIBB Santiago del Estero"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_se_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_se_aplicada","",""
"ex_tax_withholding_iibb_t_applied","IIBB WTH T 0%","IIBB withholding Tucumán","True","4","percent","0","tax_group_withholding","none","supplier","","iibb_untaxed","","base.state_ar_t","","","","","","Ret IIBB T 0%","Retención IIBB Tucumán"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_tn_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_tn_aplicada","",""
"ex_tax_withholding_iibb_cho_applied","IIBB WTH CHO 0%","IIBB withholding Chaco","True","4","percent","0","tax_group_withholding","none","supplier","","iibb_untaxed","","base.state_ar_h","","","","","","Ret IIBB CHO 0%","Retención IIBB Chaco"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_ha_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_ha_aplicada","",""
"ex_tax_withholding_iibb_cht_applied","IIBB WTH CHT 0%","IIBB withholding Chubut","True","4","percent","0","tax_group_withholding","none","supplier","","iibb_untaxed","","base.state_ar_u","","","","","","Ret IIBB CHT 0%","Retención IIBB Chubut"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_ct_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_ct_aplicada","",""
"ex_tax_withholding_iibb_f_applied","IIBB WTH F 0%","IIBB withholding Formosa","True","4","percent","0","tax_group_withholding","none","supplier","","iibb_untaxed","","base.state_ar_p","","","","","","Ret IIBB F 0%","Retención IIBB Formosa"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_fo_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_fo_aplicada","",""
"ex_tax_withholding_iibb_ms_applied","IIBB WTH MS 0%","IIBB withholding Misiones","True","4","percent","0","tax_group_withholding","none","supplier","","iibb_untaxed","","base.state_ar_n","","","","","","Ret IIBB MS 0%","Retención IIBB Misiones"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_mi_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_mi_aplicada","",""
"ex_tax_withholding_iibb_n_applied","IIBB WTH N 0%","IIBB withholding Neuquén","True","4","percent","0","tax_group_withholding","none","supplier","","iibb_untaxed","","base.state_ar_q","","","","","","Ret IIBB N 0%","Retención IIBB Neuquén"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_ne_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_ne_aplicada","",""
"ex_tax_withholding_iibb_lp_applied","IIBB WTH LP 0%","IIBB withholding La Pampa","True","4","percent","0","tax_group_withholding","none","supplier","","iibb_untaxed","","base.state_ar_l","","","","","","Ret IIBB LP 0%","Retención IIBB La Pampa"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_lp_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_lp_aplicada","",""
"ex_tax_withholding_iibb_rn_applied","IIBB WTH RN 0%","IIBB withholding Río Negro","True","4","percent","0","tax_group_withholding","none","supplier","","iibb_untaxed","","base.state_ar_r","","","","","","Ret IIBB RN 0%","Retención IIBB Río Negro"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_rn_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_rn_aplicada","",""
"ex_tax_withholding_iibb_sc_applied","IIBB WTH SC 0%","IIBB withholding Santa Cruz","True","4","percent","0","tax_group_withholding","none","supplier","","iibb_untaxed","","base.state_ar_z","","","","","","Ret IIBB SC 0%","Retención IIBB Santa Cruz"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_az_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_az_aplicada","",""
"ex_tax_withholding_iibb_tais_applied","IIBB WTH TAIS 0%","IIBB withholding Tierra del Fuego","True","4","percent","0","tax_group_withholding","none","supplier","","iibb_untaxed","","base.state_ar_v","","","","","","Ret IIBB TAIS 0%","Retención IIBB Tierra del Fuego"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_tf_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_tf_aplicada","",""
"ex_tax_withholding_vat_applied","VAT WTH","VAT withholding","True","4","percent","0","tax_group_withholding","none","supplier","","","","","","","","","","Ret IVA","Retención IVA"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iva_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iva_aplicada","",""
"ex_tax_withholding_profits_regimen_19_insc","Profits WTH regimen 19 inscripto","Intereses por operaciones realizadas en entidades financieras. Ley N° 21.526, y sus modificaciones o agentes de bolsa o mercado abierto.","True","4","percent","3","tax_group_withholding","none","supplier","","earnings","19","","0","","","","","Retenciones de ganancias regimen 19 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ex_tax_withholding_profits_regimen_21_insc","Profits WTH regimen 21 inscripto","Intereses originados en operaciones no comprendidas en el punto 1.","True","4","percent","6","tax_group_withholding","none","supplier","","earnings","21","","7870","","","","","Retenciones de ganancias regimen 21 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ex_tax_withholding_profits_regimen_30_insc","Profits WTH regimen 30 inscripto","Alquileres o arrendamientos de bienes muebles.","True","4","percent","6","tax_group_withholding","none","supplier","","earnings","30","","11200","","","","","Retenciones de ganancias regimen 30 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ex_tax_withholding_profits_regimen_31_insc","Profits WTH regimen 31 inscripto","Bienes Inmuebles Urbanos, incluidos los efectuados bajo la modalidad de leasing - incluye suburbanos-","True","4","percent","6","tax_group_withholding","none","supplier","","earnings","31","","11200","","","","","Retenciones de ganancias regimen 31 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ex_tax_withholding_profits_regimen_32_insc","Profits WTH regimen 32 inscripto","Bienes Inmuebles Rurales, incluidos los efectuados bajo la modalidad de leasing - incluye subrurales-","True","4","percent","6","tax_group_withholding","none","supplier","","earnings","32","","11200","","","","","Retenciones de ganancias regimen 32 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ex_tax_withholding_profits_regimen_35_insc","Profits WTH regimen 35 inscripto","Regalías","True","4","percent","6","tax_group_withholding","none","supplier","","earnings","35","","7870","","","","","Retenciones de ganancias regimen 35 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ex_tax_withholding_profits_regimen_43_insc","Profits WTH regimen 43 inscripto","Interés accionario, excedentes y retornos distribuidos entre asociados, cooperativas, -excepto consumo-.","True","4","percent","6","tax_group_withholding","none","supplier","","earnings","43","","7870","","","","","Retenciones de ganancias regimen 43 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ex_tax_withholding_profits_regimen_51_insc","Profits WTH regimen 51 inscripto","Obligaciones de no hacer, o por abandono o no ejercicio de una actividad.","True","4","percent","6","tax_group_withholding","none","supplier","","earnings","51","","7870","","","","","Retenciones de ganancias regimen 51 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ex_tax_withholding_profits_regimen_78_insc","Profits WTH regimen 78 inscripto","Enajenación de bienes muebles y bienes de cambio.","True","4","percent","2","tax_group_withholding","none","supplier","","earnings","78","","224000","","","","","Retenciones de ganancias regimen 78 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ex_tax_withholding_profits_regimen_86_insc","Profits WTH regimen 86 inscripto","Transferencia temporaria o definitiva de derechos de llave, marcas, patentes de invención, regalías, concesiones y similares.","True","4","percent","2","tax_group_withholding","none","supplier","","earnings","86","","224000","","","","","Retenciones de ganancias regimen 86 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ex_tax_withholding_profits_regimen_110_insc","Profits WTH regimen 110 inscripto","Explotación de derechos de autor (Ley N° 11.723).","True","4","percent","-1","tax_group_withholding","none","supplier","l10n_ar_withholding.normal_scale","earnings_scale","110","","10000","","","","","Retenciones de ganancias regimen 110 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ex_tax_withholding_profits_regimen_94_insc","Profits WTH regimen 94 inscripto","Locaciones de obra y/o servicios no ejecutados en relación de dependencia no mencionados expresamente en otros incisos.","True","4","percent","2","tax_group_withholding","none","supplier","","earnings","94","","67170","","","","","Retenciones de ganancias regimen 94 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ex_tax_withholding_profits_regimen_25_insc","Profits WTH regimen 25 inscripto","Comisiones u otras retribuciones derivadas de la actividad de comisionista, rematador, consignatario y demás auxiliares de comercio a que se refiere el inciso c) del artículo 49 de la Ley de Impuesto a las Ganancias, texto ordenado en 1997 y sus modificaciones.","True","4","percent","-1","tax_group_withholding","none","supplier","l10n_ar_withholding.normal_scale","earnings_scale","25","","16830","","","","","Retenciones de ganancias regimen 25 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ex_tax_withholding_profits_regimen_116I_insc","Profits WTH regimen 116I inscripto","Honorarios de director de sociedades anónimas, síndico fiduciario, consejero de sociedades cooperativas integrante de consejos de vigilancia y socios administradores de las sociedades de responsabilidad limitada, en comandita simple y en comandita por acciones.","True","4","percent","-1","tax_group_withholding","none","supplier","l10n_ar_withholding.normal_scale","earnings_scale","116 I","","67170","","","","","Retenciones de ganancias regimen 116I inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ex_tax_withholding_profits_regimen_116II_insc","Profits WTH regimen 116II inscripto","Albacea, mandatario, gestor de negocio.","True","4","percent","-1","tax_group_withholding","none","supplier","l10n_ar_withholding.normal_scale","earnings_scale","116 II","","16830","","","","","Retenciones de ganancias regimen 116II inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ex_tax_withholding_profits_regimen_119_insc","Profits WTH regimen 119 inscripto","Profesionales liberales, oficios","True","4","percent","-1","tax_group_withholding","none","supplier","l10n_ar_withholding.scale_119","earnings_scale","119","","160000","","","","","Retenciones de ganancias regimen 119 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ex_tax_withholding_profits_regimen_124_insc","Profits WTH regimen 124 inscripto","Corredor, viajante de comercio y despachante de aduana.","True","4","percent","-1","tax_group_withholding","none","supplier","l10n_ar_withholding.normal_scale","earnings_scale","124","","16830","","","","","Retenciones de ganancias regimen 124 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ex_tax_withholding_profits_regimen_95_insc","Profits WTH regimen 95 inscripto","Operaciones de transporte de carga nacional e internacional.","True","4","percent","0.25","tax_group_withholding","none","supplier","","earnings","95","","67170","","","","","Retenciones de ganancias regimen 95 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ex_tax_withholding_profits_regimen_53_insc","Profits WTH regimen 53 inscripto","Operaciones realizadas por intermedio de mercados de cereales a término que se resuelvan en el curso del término (arbitrajes) y de mercados de futuros y opciones.","True","4","percent","0.5","tax_group_withholding","none","supplier","","earnings","53","","0","","","","","Retenciones de ganancias regimen 53 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ex_tax_withholding_profits_regimen_55_insc","Profits WTH regimen 55 inscripto","Distribución de películas . Transmisión de programación. Televisión vía satelital.","True","4","percent","0.5","tax_group_withholding","none","supplier","","earnings","55","","0","","","","","Retenciones de ganancias regimen 55 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ex_tax_withholding_profits_regimen_60_insc","Profits WTH regimen 60 inscripto","Dividendos y utilidades asimilables. Art. 90.3 de la ley. Alícuota 7%.","True","4","percent","7","tax_group_withholding","none","supplier","","earnings","60","","0","","","","","Retenciones de ganancias regimen 60 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ex_tax_withholding_profits_regimen_61_insc","Profits WTH regimen 61 inscripto","Dividendos y utilidades asimilables. Art. 90.3 de la ley. Alícuota 13%.","True","4","percent","13","tax_group_withholding","none","supplier","","earnings","61","","0","","","","","Retenciones de ganancias regimen 61 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ex_tax_withholding_profits_regimen_111_insc","Profits WTH regimen 111 inscripto","Cualquier otra cesión o locación de derechos, excepto las que correspondan a operaciones realizadas por intermedio de mercados de cereales a término que se resuelvan en el curso del término (arbitrajes) y de mercados de futuros y opciones.","True","4","percent","0.5","tax_group_withholding","none","supplier","","earnings","111","","0","","","","","Retenciones de ganancias regimen 111 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
