"id","name","type_tax_use","amount_type","description","active","sequence","tax_group_id","l10n_ar_withholding_payment_type","l10n_ar_scale_id","l10n_ar_tax_type","l10n_ar_code","l10n_ar_state_id","amount","l10n_ar_non_taxable_amount","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","name@es","description@es"
"ri_tax_withholding_iibb_rr_applied","IIBB WTH CTS 0%","none","percent","IIBB withholding Corrientes","True","4","tax_group_withholding","supplier","","iibb_untaxed","","base.state_ar_w","1","","","","","","Ret IIBB CTS 0%","Retención IIBB Corrientes"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_rr_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_rr_aplicada","",""
"ri_tax_withholding_iibb_er_applied","IIBB WTH ER 0%","none","percent","IIBB withholding Entre Ríos","True","4","tax_group_withholding","supplier","","iibb_untaxed","","base.state_ar_e","1","","","","","","Ret IIBB ER 0%","Retención IIBB Entre Ríos"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_er_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_er_aplicada","",""
"ri_tax_withholding_iibb_ju_applied","IIBB WTH J 0%","none","percent","IIBB withholding Jujuy","True","4","tax_group_withholding","supplier","","iibb_untaxed","","base.state_ar_y","1","","","","","","Ret IIBB J 0%","Retención IIBB Jujuy"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_ju_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_ju_aplicada","",""
"ri_tax_withholding_iibb_za_applied","IIBB WTH MZA 0%","none","percent","IIBB withholding Mendoza","True","4","tax_group_withholding","supplier","","iibb_untaxed","","base.state_ar_m","1","","","","","","Ret IIBB MZA 0%","Retención IIBB Mendoza"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_za_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_za_aplicada","",""
"ri_tax_withholding_iibb_lr_applied","IIBB WTH LR 0%","none","percent","IIBB withholding La Rioja","True","4","tax_group_withholding","supplier","","iibb_untaxed","","base.state_ar_f","1","","","","","","Ret IIBB LR 0%","Retención IIBB La Rioja"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_lr_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_lr_aplicada","",""
"ri_tax_withholding_iibb_sa_applied","IIBB WTH S 0%","none","percent","IIBB withholding Salta","True","4","tax_group_withholding","supplier","","iibb_untaxed","","base.state_ar_a","1","","","","","","Ret IIBB S 0%","Retención IIBB Salta"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_sa_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_sa_aplicada","",""
"ri_tax_withholding_iibb_nn_applied","IIBB WTH SJ 0%","none","percent","IIBB withholding San Juan","True","4","tax_group_withholding","supplier","","iibb_untaxed","","base.state_ar_j","1","","","","","","Ret IIBB SJ 0%","Retención IIBB San Juan"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_nn_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_nn_aplicada","",""
"ri_tax_withholding_iibb_sl_applied","IIBB WTH SL 0%","none","percent","IIBB withholding San Luis","True","4","tax_group_withholding","supplier","","iibb_untaxed","","base.state_ar_d","1","","","","","","Ret IIBB SL 0%","Retención IIBB San Luis"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_sl_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_sl_aplicada","",""
"ri_tax_withholding_iibb_sf_applied","IIBB WTH SF 0%","none","percent","IIBB withholding Santa Fe","True","4","tax_group_withholding","supplier","","iibb_untaxed","","base.state_ar_s","1","","","","","","Ret IIBB SF 0%","Retención IIBB Santa Fe"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_sf_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_sf_aplicada","",""
"ri_tax_withholding_iibb_se_applied","IIBB WTH SE 0%","none","percent","IIBB withholding Santiago del Estero","True","4","tax_group_withholding","supplier","","iibb_untaxed","","base.state_ar_g","1","","","","","","Ret IIBB SE 0%","Retención IIBB Santiago del Estero"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_se_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_se_aplicada","",""
"ri_tax_withholding_iibb_tn_applied","IIBB WTH T 0%","none","percent","IIBB withholding Tucumán","True","4","tax_group_withholding","supplier","","iibb_untaxed","","base.state_ar_t","1","","","","","","Ret IIBB T 0%","Retención IIBB Tucumán"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_tn_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_tn_aplicada","",""
"ri_tax_withholding_iibb_ha_applied","IIBB WTH CHO 0%","none","percent","IIBB withholding Chaco","True","4","tax_group_withholding","supplier","","iibb_untaxed","","base.state_ar_h","1","","","","","","Ret IIBB CHO 0%","Retención IIBB Chaco"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_ha_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_ha_aplicada","",""
"ri_tax_withholding_iibb_ct_applied","IIBB WTH CHT 0%","none","percent","IIBB withholding Chubut","True","4","tax_group_withholding","supplier","","iibb_untaxed","","base.state_ar_u","1","","","","","","Ret IIBB CHT 0%","Retención IIBB Chubut"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_ct_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_ct_aplicada","",""
"ri_tax_withholding_iibb_fo_applied","IIBB WTH F 0%","none","percent","IIBB withholding Formosa","True","4","tax_group_withholding","supplier","","iibb_untaxed","","base.state_ar_p","1","","","","","","Ret IIBB F 0%","Retención IIBB Formosa"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_fo_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_fo_aplicada","",""
"ri_tax_withholding_iibb_mi_applied","IIBB WTH MS 0%","none","percent","IIBB withholding Misiones","True","4","tax_group_withholding","supplier","","iibb_untaxed","","base.state_ar_n","1","","","","","","Ret IIBB MS 0%","Retención IIBB Misiones"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_mi_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_mi_aplicada","",""
"ri_tax_withholding_iibb_ne_applied","IIBB WTH N 0%","none","percent","IIBB withholding Neuquén","True","4","tax_group_withholding","supplier","","iibb_untaxed","","base.state_ar_q","1","","","","","","Ret IIBB N 0%","Retención IIBB Neuquén"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_ne_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_ne_aplicada","",""
"ri_tax_withholding_iibb_lp_applied","IIBB WTH LP 0%","none","percent","IIBB withholding La Pampa","True","4","tax_group_withholding","supplier","","iibb_untaxed","","base.state_ar_l","1","","","","","","Ret IIBB LP 0%","Retención IIBB La Pampa"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_lp_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_lp_aplicada","",""
"ri_tax_withholding_iibb_rn_applied","IIBB WTH RN 0%","none","percent","IIBB withholding Río Negro","True","4","tax_group_withholding","supplier","","iibb_untaxed","","base.state_ar_r","1","","","","","","Ret IIBB RN 0%","Retención IIBB Río Negro"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_rn_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_rn_aplicada","",""
"ri_tax_withholding_iibb_az_applied","IIBB WTH SC 0%","none","percent","IIBB withholding Santa Cruz","True","4","tax_group_withholding","supplier","","iibb_untaxed","","base.state_ar_z","1","","","","","","Ret IIBB SC 0%","Retención IIBB Santa Cruz"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_az_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_az_aplicada","",""
"ri_tax_withholding_iibb_tf_applied","IIBB WTH TAIS 0%","none","percent","IIBB withholding Tierra del Fuego","True","4","tax_group_withholding","supplier","","iibb_untaxed","","base.state_ar_v","1","","","","","","Ret IIBB TAIS 0%","Retención IIBB Tierra del Fuego"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_tf_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_tf_aplicada","",""
"ri_tax_withholding_vat_applied","VAT WTH","none","percent","IVA withholding","True","4","tax_group_withholding","supplier","","","","","4.1","","","","","","Ret IVA","Retención IVA"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iva_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iva_aplicada","",""
