"id","name","description","amount","type_tax_use","tax_scope","tax_group_id","repartition_line_ids/document_type","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","active","fiscal_position_ids","original_tax_ids"
"","","","","","","","refund","","tax","352804","D21_i_tax","","",""
"sale_import_deferred_vat_18","18% Import Deferred","VAT deferred at importation","18","sale","","consumption_taxes","invoice","","base","","C9_ii_base","False","fiscal_position_template_non_ugandian",""
"","","","","","","","invoice","","tax","411722","C9_ii_tax","","",""
"","","","","","","","refund","","base","","C9_ii_base","","",""
"","","","","","","","refund","","tax","411722","C9_ii_tax","","",""
"purchase_import_deferred_vat_18","18% Import Deferred","VAT deferred on imported goods.","18","purchase","consu","consumption_taxes","invoice","","base","","D16_base","False","fiscal_position_template_non_ugandian",""
"","","","","","","","invoice","","tax","352804","D16_tax","","",""
"","","","","","","","refund","","base","","D16_base","","",""
"","","","","","","","refund","","tax","352804","D16_tax","","",""
"purchase_import_vat_18","18% Import","Tax on imported goods.","18","purchase","consu","consumption_taxes","invoice","","base","","D15_base","True","fiscal_position_template_non_ugandian","purchase_capital_goods_18,purchase_vat_18,purchase_zero_rated,purchase_deemed_capital_goods_18,purchase_deemed_vat_18,purchase_admin_exp_18"
"","","","","","","","invoice","","tax","352804","D15_tax","","",""
"","","","","","","","refund","","base","","D15_base","","",""
"","","","","","","","refund","","tax","352804","D15_tax","","",""
"purchase_admin_exp_18","18% AE","Administrative Expenses.","18","purchase","","consumption_taxes","invoice","","base","","D17_base","True","fiscal_position_template_national",""
"","","","","","","","invoice","","tax","352804","D17_tax","","",""
"","","","","","","","refund","","base","","D17_base","","",""
"","","","","","","","refund","","tax","352804","D17_tax","","",""
