id,employee_id:id,skill_id:id,skill_type_id:id,skill_level_id:id,valid_from,valid_to
employee_skill_fpi_public_l3,hr.employee_fpi,hr_skill_public,hr_skill_type_marketing,hr_skill_level_ml3,2023-07-01,
employee_skill_fpi_en_c1,hr.employee_fpi,hr_skill_english,hr_skill_type_lang,hr_skill_level_c1,2023-01-01,
employee_skill_jep_persuasion_int,hr.employee_jep,hr_skill_persuasion,hr_skill_type_softskill,hr_skill_level_intermediate_softskill,2023-01-01,
employee_skill_jep_problem_elem,hr.employee_jep,hr_skill_problem_solving,hr_skill_type_softskill,hr_skill_level_elementary_softskill,2023-01-01,2023-06-30
employee_skill_jep_problem_int,hr.employee_jep,hr_skill_problem_solving,hr_skill_type_softskill,hr_skill_level_intermediate_softskill,2023-07-01,2023-12-31
employee_skill_jep_problem_adv,hr.employee_jep,hr_skill_problem_solving,hr_skill_type_softskill,hr_skill_level_advanced_softskill,2024-01-01,
employee_skill_jep_public_l2,hr.employee_jep,hr_skill_public,hr_skill_type_marketing,hr_skill_level_ml2,2023-01-01,
employee_skill_jep_en_b2,hr.employee_jep,hr_skill_english,hr_skill_type_lang,hr_skill_level_b2,2023-01-01,2023-06-30
employee_skill_jep_en_c1,hr.employee_jep,hr_skill_english,hr_skill_type_lang,hr_skill_level_c1,2023-07-01,
employee_skill_jgo_persuasion_elem,hr.employee_jgo,hr_skill_persuasion,hr_skill_type_softskill,hr_skill_level_elementary_softskill,2023-01-01,
employee_skill_jgo_problem_elem,hr.employee_jgo,hr_skill_problem_solving,hr_skill_type_softskill,hr_skill_level_elementary_softskill,2024-01-01,
employee_skill_jgo_public_l2,hr.employee_jgo,hr_skill_public,hr_skill_type_marketing,hr_skill_level_ml2,2023-01-01,
employee_skill_jgo_en_c2,hr.employee_jgo,hr_skill_english,hr_skill_type_lang,hr_skill_level_c2,2023-01-01,
employee_skill_jth_persuasion_int,hr.employee_jth,hr_skill_persuasion,hr_skill_type_softskill,hr_skill_level_elementary_softskill,2023-01-01,2023-06-30
employee_skill_jth_persuasion_adv,hr.employee_jth,hr_skill_persuasion,hr_skill_type_softskill,hr_skill_level_intermediate_softskill,2023-07-01,
employee_skill_jth_problem_adv,hr.employee_jth,hr_skill_problem_solving,hr_skill_type_softskill,hr_skill_level_advanced_softskill,2023-01-01,2023-06-30
employee_skill_jth_problem_exp,hr.employee_jth,hr_skill_problem_solving,hr_skill_type_softskill,hr_skill_level_expert_softskill,2023-07-01,
employee_skill_jth_public_l3,hr.employee_jth,hr_skill_public,hr_skill_type_marketing,hr_skill_level_ml3,2023-01-01,
employee_skill_jth_en_c1,hr.employee_jth,hr_skill_english,hr_skill_type_lang,hr_skill_level_c1,2023-01-01,
employee_skill_mit_py_int,hr.employee_mit,hr_skill_python,hr_skill_type_dev,hr_skill_level_intermediate,2023-01-01,
employee_skill_mit_html_int,hr.employee_mit,hr_skill_html,hr_skill_type_dev,hr_skill_level_intermediate,2023-01-01,2023-06-30
employee_skill_mit_html_adv,hr.employee_mit,hr_skill_html,hr_skill_type_dev,hr_skill_level_advanced,2023-07-01,
employee_skill_mit_js_adv,hr.employee_mit,hr_skill_js,hr_skill_type_dev,hr_skill_level_advanced,2023-01-01,2023-06-30
employee_skill_mit_js_exp,hr.employee_mit,hr_skill_js,hr_skill_type_dev,hr_skill_level_expert,2023-07-01,
employee_skill_mit_css_adv,hr.employee_mit,hr_skill_css,hr_skill_type_dev,hr_skill_level_advanced,2023-01-01,
employee_skill_jog_py_adv,hr.employee_jog,hr_skill_python,hr_skill_type_dev,hr_skill_level_advanced,2023-01-01,
employee_skill_jog_js_elem,hr.employee_jog,hr_skill_js,hr_skill_type_dev,hr_skill_level_elementary,2023-01-01,2023-06-30
employee_skill_jog_js_int,hr.employee_jog,hr_skill_js,hr_skill_type_dev,hr_skill_level_intermediate,2023-07-01,
employee_skill_chs_py_adv,hr.employee_chs,hr_skill_python,hr_skill_type_dev,hr_skill_level_advanced,2023-01-01,
employee_skill_chs_html_beg,hr.employee_chs,hr_skill_html,hr_skill_type_dev,hr_skill_level_beginner,2023-01-01,
employee_skill_chs_js_elem,hr.employee_chs,hr_skill_js,hr_skill_type_dev,hr_skill_level_elementary,2023-01-01,2023-12-31
employee_skill_chs_js_int,hr.employee_chs,hr_skill_js,hr_skill_type_dev,hr_skill_level_intermediate,2024-01-01,
employee_skill_fme_py_int,hr.employee_fme,hr_skill_python,hr_skill_type_dev,hr_skill_level_intermediate,2023-01-01,2023-06-30
employee_skill_fme_py_adv,hr.employee_fme,hr_skill_python,hr_skill_type_dev,hr_skill_level_advanced,2023-07-01,
employee_skill_fme_html_beg,hr.employee_fme,hr_skill_html,hr_skill_type_dev,hr_skill_level_beginner,2023-01-01,
employee_skill_fme_js_int,hr.employee_fme,hr_skill_js,hr_skill_type_dev,hr_skill_level_intermediate,2023-01-01,2023-06-30
employee_skill_fme_js_adv,hr.employee_fme,hr_skill_js,hr_skill_type_dev,hr_skill_level_advanced,2023-07-01,
employee_skill_qdp_py_adv,hr.employee_qdp,hr_skill_python,hr_skill_type_dev,hr_skill_level_advanced,2023-01-01,
employee_skill_qdp_html_elem,hr.employee_qdp,hr_skill_html,hr_skill_type_dev,hr_skill_level_elementary,2023-01-01,2023-06-30
employee_skill_qdp_html_int,hr.employee_qdp,hr_skill_html,hr_skill_type_dev,hr_skill_level_intermediate,2023-07-01,
employee_skill_qdp_js_int,hr.employee_qdp,hr_skill_js,hr_skill_type_dev,hr_skill_level_intermediate,2023-01-01,
employee_skill_qdp_css_beg,hr.employee_qdp,hr_skill_css,hr_skill_type_dev,hr_skill_level_beginner,2023-01-01,2023-06-30
employee_skill_qdp_css_elem,hr.employee_qdp,hr_skill_css,hr_skill_type_dev,hr_skill_level_elementary,2023-07-01,2023-12-31
employee_skill_qdp_css_int,hr.employee_qdp,hr_skill_css,hr_skill_type_dev,hr_skill_level_intermediate,2024-01-01,
employee_skill_jve_py_exp,hr.employee_jve,hr_skill_python,hr_skill_type_dev,hr_skill_level_expert,2023-01-01,
employee_skill_jve_js_beg,hr.employee_jve,hr_skill_js,hr_skill_type_dev,hr_skill_level_beginner,2023-07-01,
employee_skill_stw_py_int,hr.employee_stw,hr_skill_python,hr_skill_type_dev,hr_skill_level_intermediate,2023-01-01,
employee_skill_stw_html_beg,hr.employee_stw,hr_skill_html,hr_skill_type_dev,hr_skill_level_beginner,2023-01-01,2023-12-31
employee_skill_stw_html_elem,hr.employee_stw,hr_skill_html,hr_skill_type_dev,hr_skill_level_elementary,2024-01-01,
employee_skill_stw_js_int,hr.employee_stw,hr_skill_js,hr_skill_type_dev,hr_skill_level_intermediate,2023-01-01,
employee_skill_stw_css_beg,hr.employee_stw,hr_skill_css,hr_skill_type_dev,hr_skill_level_beginner,2024-01-01,
employee_skill_niv_py_adv,hr.employee_niv,hr_skill_python,hr_skill_type_dev,hr_skill_level_advanced,2023-01-01,
employee_skill_niv_js_elem,hr.employee_niv,hr_skill_js,hr_skill_type_dev,hr_skill_level_elementary,2023-01-01,2023-06-30
employee_skill_niv_js_int,hr.employee_niv,hr_skill_js,hr_skill_type_dev,hr_skill_level_intermediate,2023-07-01,
employee_skill_niv_css_beg,hr.employee_niv,hr_skill_css,hr_skill_type_dev,hr_skill_level_beginner,2023-07-01,
employee_skill_han_py_elem,hr.employee_han,hr_skill_python,hr_skill_type_dev,hr_skill_level_elementary,2023-01-01,
employee_skill_han_html_elem,hr.employee_han,hr_skill_html,hr_skill_type_dev,hr_skill_level_elementary,2023-01-01,2023-06-30
employee_skill_han_html_int,hr.employee_han,hr_skill_html,hr_skill_type_dev,hr_skill_level_intermediate,2023-07-01,
employee_skill_han_js_adv,hr.employee_han,hr_skill_js,hr_skill_type_dev,hr_skill_level_advanced,2023-01-01,2023-06-30
employee_skill_han_js_exp,hr.employee_han,hr_skill_js,hr_skill_type_dev,hr_skill_level_expert,2023-07-01,
employee_skill_han_css_beg,hr.employee_han,hr_skill_css,hr_skill_type_dev,hr_skill_level_beginner,2023-01-01,
employee_skill_vad_odoo_1,hr.employee_vad,hr_skill_type_certifications_odoo,hr_skill_type_certifications,hr_skill_level_certifications,2023-07-01,2023-12-31
employee_skill_vad_odoo_2,hr.employee_vad,hr_skill_type_certifications_odoo,hr_skill_type_certifications,hr_skill_level_certifications,2024-01-01,
employee_skill_vad_conflict_elem,hr.employee_vad,hr_skill_conflict_management,hr_skill_type_softskill,hr_skill_level_elementary_softskill,2023-01-01,2023-12-31
employee_skill_vad_conflict_int,hr.employee_vad,hr_skill_conflict_management,hr_skill_type_softskill,hr_skill_level_intermediate_softskill,2024-01-01,
employee_skill_vad_problem_elem,hr.employee_vad,hr_skill_problem_solving,hr_skill_type_softskill,hr_skill_level_elementary_softskill,2023-01-01,2023-06-30
employee_skill_vad_problem_int,hr.employee_vad,hr_skill_problem_solving,hr_skill_type_softskill,hr_skill_level_intermediate_softskill,2023-07-01,
employee_skill_vad_en_c1,hr.employee_vad,hr_skill_english,hr_skill_type_lang,hr_skill_level_c1,2023-01-01,
employee_skill_vad_fr_z2,hr.employee_vad,hr_skill_french,hr_skill_type_lang,hr_skill_level_a2,2023-01-01,
employee_skill_lur_teamwork_beg,hr.employee_lur,hr_skill_teamwork,hr_skill_type_softskill,hr_skill_level_beginner_softskill,2023-01-01,2023-06-30
employee_skill_lur_teamwork_elem,hr.employee_lur,hr_skill_teamwork,hr_skill_type_softskill,hr_skill_level_elementary_softskill,2023-07-01,
employee_skill_lur_email_l2,hr.employee_lur,hr_skill_email,hr_skill_type_marketing,hr_skill_level_ml2,2023-01-01,2023-06-30
employee_skill_lur_email_l3,hr.employee_lur,hr_skill_email,hr_skill_type_marketing,hr_skill_level_ml3,2023-07-01,
employee_skill_lur_ad_l3,hr.employee_lur,hr_skill_digital_ad,hr_skill_type_marketing,hr_skill_level_ml3,2023-01-01,
employee_skill_ngh_teamwork_elem,hr.employee_ngh,hr_skill_teamwork,hr_skill_type_softskill,hr_skill_level_elementary_softskill,2023-01-01,2023-12-31
employee_skill_ngh_teamwork_int,hr.employee_ngh,hr_skill_teamwork,hr_skill_type_softskill,hr_skill_level_intermediate_softskill,2024-01-01,
employee_skill_ngh_email_l3,hr.employee_ngh,hr_skill_email,hr_skill_type_marketing,hr_skill_level_ml3,2023-01-01,
employee_skill_ngh_ad_l1,hr.employee_ngh,hr_skill_digital_ad,hr_skill_type_marketing,hr_skill_level_ml1,2024-01-01,
employee_skill_jod_teamwork_int,hr.employee_jod,hr_skill_teamwork,hr_skill_type_softskill,hr_skill_level_intermediate_softskill,2023-01-01,2023-12-31
employee_skill_jod_teamwork_adv,hr.employee_jod,hr_skill_teamwork,hr_skill_type_softskill,hr_skill_level_advanced_softskill,2024-01-01,
employee_skill_jod_email_l1,hr.employee_jod,hr_skill_email,hr_skill_type_marketing,hr_skill_level_ml1,2023-01-01,2023-06-30
employee_skill_jod_email_l2,hr.employee_jod,hr_skill_email,hr_skill_type_marketing,hr_skill_level_ml2,2023-07-01,2023-12-31
employee_skill_jod_email_l3,hr.employee_jod,hr_skill_email,hr_skill_type_marketing,hr_skill_level_ml3,2024-01-01,
