"id","name","description","active","invoice_label","amount","amount_type","type_tax_use","tax_group_id","children_tax_ids","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","name@fr","description@fr"
"","","","","","","","","","","tax","invoice","syscebnl_443","+GA_css_tax","","",""
"","","","","","","","","","","base","refund","","-GA_css","","",""
"","","","","","","","","","","tax","refund","syscebnl_443","-GA_css_tax","","",""
"syscebnl_tva_lasm_18","18% SD","18% (self-delivery)","False","","18.0","percent","sale","syscebnl_tax_group_18","","base","invoice","","+GA_base_5b_18","","18% LASM","18% (livraison à soi-même)"
"","","","","","","","","","","tax","invoice","syscebnl_443","-GA_tax_5b_18","-100","",""
"","","","","","","","","","","tax","invoice","syscebnl_445","+GA_7a_18","","",""
"","","","","","","","","","","base","refund","","-GA_base_5b_18||-GA_css_other","","",""
"","","","","","","","","","","tax","refund","syscebnl_443","+GA_tax_5b_18","-100","",""
"","","","","","","","","","","tax","refund","syscebnl_445","-GA_7a_18","","",""
"syscebnl_tva_lasm_10","10% SD","10% (self-delivery)","False","","10.0","percent","sale","syscebnl_tax_group_10","","base","invoice","","+GA_base_5b_10","","10% LASM","10% (livraison à soi-même)"
"","","","","","","","","","","tax","invoice","syscebnl_443","-GA_tax_5b_10","-100","",""
"","","","","","","","","","","tax","invoice","syscebnl_445","+GA_7a_10","","",""
"","","","","","","","","","","base","refund","","-GA_base_5b_10","","",""
"","","","","","","","","","","tax","refund","syscebnl_443","+GA_tax_5b_10","-100","",""
"","","","","","","","","","","tax","refund","syscebnl_445","-GA_7a_10","","",""
"syscebnl_tva_lasm_5","5% SD","5% (self-delivery)","False","","5.0","percent","sale","syscebnl_tax_group_5","","base","invoice","","+GA_base_5b_5","","5% LASM","5% (livraison à soi-même)"
"","","","","","","","","","","tax","invoice","syscebnl_443","-GA_tax_5b_5","-100","",""
"","","","","","","","","","","tax","invoice","syscebnl_445","+GA_7a_5","","",""
"","","","","","","","","","","base","refund","","-GA_base_5b_5","","",""
"","","","","","","","","","","tax","refund","syscebnl_443","+GA_tax_5b_5","-100","",""
"","","","","","","","","","","tax","refund","syscebnl_445","-GA_7a_5","","",""
"css_lasm_1","1% CSS SD","1% Special solidarity contribution, self-delivery","False","","1.0","percent","sale","syscebnl_tax_group_1","","base","invoice","","+GA_css_other","","1% CSS LASM","1% Contribution spéciale de solidarité, livraison à soi-même"
"","","","","","","","","","","tax","invoice","syscebnl_443","+GA_css_tax","","",""
"","","","","","","","","","","base","refund","","-GA_css_other","","",""
"","","","","","","","","","","tax","refund","syscebnl_443","-GA_css_tax","","",""
"syscebnl_tva_purchase_18","18%","","False","","18.0","percent","purchase","syscebnl_tax_group_18","","base","invoice","","","","",""
"","","","","","","","","","","tax","invoice","syscebnl_445","+GA_7b_18","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","syscebnl_445","-GA_7b_18","","",""
"syscebnl_tva_purchase_10","10%","","False","","10.0","percent","purchase","syscebnl_tax_group_10","","base","invoice","","","","",""
"","","","","","","","","","","tax","invoice","syscebnl_445","+GA_7b_10","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","syscebnl_445","-GA_7b_10","","",""
"syscebnl_tva_purchase_5","5%","","False","","5.0","percent","purchase","syscebnl_tax_group_5","","base","invoice","","","","",""
"","","","","","","","","","","tax","invoice","syscebnl_445","+GA_7b_5","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","syscebnl_445","-GA_7b_5","","",""
"css_purchase_1","1%","","False","","1.0","percent","purchase","syscebnl_tax_group_1","","base","invoice","","","","",""
"","","","","","","","","","","tax","invoice","syscebnl_445","","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","syscebnl_445","","","",""
"syscebnl_tva_export_0","0% EX","0% (export)","","","0.0","","sale","syscebnl_tax_group_0","","base","invoice","","+GA_export","","","0% (exportation)"
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","","-GA_export","","",""
"","","","","","","","","","","tax","refund","","","","",""
"syscebnl_tva_import_0","0% EX","0% (import)","","","0.0","","purchase","syscebnl_tax_group_0","","base","invoice","","","","","0% (importation)"
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","","","","",""
"syscebnl_tva_exempt_0","0%","0% (exempt)","","","0.0","","sale","syscebnl_tax_group_0","","base","invoice","","+GA_non_impo","","","0% (exonéré)"
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","","-GA_non_impo","","",""
"","","","","","","","","","","tax","refund","","","","",""
"syscebnl_tva_purchase_exempt_0","0%","0% (exempt)","","","0.0","","purchase","syscebnl_tax_group_0","","base","invoice","","","","","0% (exonéré)"
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","","","","",""
