"id","code","name","account_type","reconcile","name@zh_CN"
"l10n_cn_large_bis_account_1406","1406","Goods Shipped In Transit","asset_current","False","发出商品"
"l10n_cn_large_bis_account_140601","140601","Stock Interim (Received)","asset_current","False","暂收存货"
"l10n_cn_large_bis_account_140602","140602","Stock Interim (Delivered)","asset_current","False","暂付存货"
"l10n_cn_large_bis_account_1431","1431","Precious Metal","asset_current","False","贵金属"
"l10n_cn_large_bis_account_1441","1441","Foreclosed Assets","asset_current","False","抵债资产"
"l10n_cn_large_bis_account_1451","1451","Surplus Materials","asset_current","False","损余物资"
"l10n_cn_large_bis_account_1461","1461","Finance Lease Assets","asset_current","False","融资租赁资产"
"l10n_cn_large_bis_account_1471","1471","Provision For Stock Impairment","asset_current","False","存货跌价准备"
"l10n_cn_large_bis_account_1481","1481","Contract Assets","asset_current","False","合同资产"
"l10n_cn_large_bis_account_1491","1491","Assets Held For Sale","asset_current","False","持有待售资产"
"l10n_cn_large_bis_account_1492","1492","Impairment Provision For Assets Held For Sale","asset_current","False","持有待售资产减值准备"
"l10n_cn_large_bis_account_1493","1493","Non-Current Assets Due Within One Year","asset_current","False","一年内到期的非流动资产"
"l10n_cn_large_bis_account_1501","1501","Investments Held To Maturity","asset_non_current","False","持有至到期投资"
"l10n_cn_large_bis_account_1502","1502","Provision For Impairment Of Investments Held To Maturity","asset_non_current","False","持有至到期投资减值准备"
"l10n_cn_large_bis_account_1503","1503","Financial Assets Available For Sale","asset_non_current","False","可供出售金融资产"
"l10n_cn_large_bis_account_1504","1504","Debt Investment","asset_non_current","False","债权投资"
"l10n_cn_large_bis_account_1505","1505","Other Debt Investments","asset_non_current","False","其他债权投资"
"l10n_cn_large_bis_account_1512","1512","Impairment Provision For Long-Term Equity Investments","asset_non_current","False","长期股权投资减值准备"
"l10n_cn_large_bis_account_1513","1513","Other Equity Instrument Investments","asset_non_current","False","其他权益工具投资"
"l10n_cn_large_bis_account_1521","1521","Investmental Real Estate","asset_non_current","False","投资性房地产"
"l10n_cn_large_bis_account_1531","1531","Long-Term Receivables","asset_non_current","False","长期应收款"
"l10n_cn_large_bis_account_1532","1532","Unrealised Financial Income","asset_non_current","False","未实现融资收益"
"l10n_cn_large_bis_account_1541","1541","Deposited Capital Guarantee","asset_non_current","False","存出资本保证金"
"l10n_cn_large_bis_account_1602","1602","Tangible Assets Depreciation","asset_fixed","False","累计折旧"
"l10n_cn_large_bis_account_1603","1603","Provision For Fixed Assets Impairment","asset_non_current","False","固定资产减值准备"
"l10n_cn_large_bis_account_1604","1604","Construction In Progress","asset_non_current","False","在建工程"
"l10n_cn_large_bis_account_1605","1605","Construction Materials","asset_non_current","False","工程物资"
"l10n_cn_large_bis_account_1606","1606","Liquidation Of Fixed Assets","asset_non_current","False","固定资产清理"
"l10n_cn_large_bis_account_1611","1611","Unguaranteed Residual Value","asset_non_current","False","未担保余值"
"l10n_cn_large_bis_account_1621","1621","Productive Biological Assets","asset_non_current","False","生产性生物资产"
"l10n_cn_large_bis_account_1622","1622","Accumulated Depreciation Of Productive Biological Assets","asset_non_current","False","生产性生物资产累计折旧"
"l10n_cn_large_bis_account_1623","1623","Public Welfare Biological Assets","asset_non_current","False","公益性生物资产"
"l10n_cn_large_bis_account_1631","1631","Oil And Gas Assets","asset_non_current","False","油气资产"
"l10n_cn_large_bis_account_1632","1632","Cumulative Depreciation","asset_non_current","False","累计折耗"
"l10n_cn_large_bis_account_1703","1703","Intangible Assets Depreciation Reserves","asset_non_current","False","无形资产减值准备"
"l10n_cn_large_bis_account_1711","1711","Goodwill","asset_non_current","False","商誉"
"l10n_cn_large_bis_account_1721","1721","Right-Of-Use Assets","asset_non_current","False","使用权资产"
"l10n_cn_large_bis_account_1731","1731","Development Expenditure","asset_non_current","False","开发支出"
"l10n_cn_large_bis_account_1811","1811","Deferred Tax Assets","asset_non_current","False","递延所得税资产"
"l10n_cn_large_bis_account_1821","1821","Separate Account Assets","asset_non_current","False","独立账户资产"
"l10n_cn_large_bis_account_2002","2002","Deposit Margin","liability_current","False","存入保证金"
"l10n_cn_large_bis_account_2003","2003","Borrowing Funds","liability_current","False","拆入资金"
"l10n_cn_large_bis_account_2004","2004","Borrowing From Central Bank","liability_current","False","向中央银行借款"
"l10n_cn_large_bis_account_2011","2011","Take Deposit","liability_current","False","吸收存款"
"l10n_cn_large_bis_account_2012","2012","Interbank Deposit","liability_current","False","同业存放"
"l10n_cn_large_bis_account_2021","2021","Discounted Liabilities","liability_current","False","贴现负债"
"l10n_cn_large_bis_account_2101","2101","Financial Trading Liabilities","liability_current","False","交易性金融负债"
"l10n_cn_large_bis_account_2111","2111","Financial Assets Sold And Repurchased","liability_current","False","卖出回购金融资产款"
"l10n_cn_large_bis_account_2112","2112","Derivative Financial Liabilities","liability_current","False","衍生金融负债"
"l10n_cn_large_bis_account_2204","2204","Contract Liabilities","liability_current","False","合同负债"
"l10n_cn_large_bis_account_2232","2232","Dividend Payable","liability_current","False","应付股利"
"l10n_cn_large_bis_account_2245","2245","Liabilities Held For Sale","liability_current","False","持有待售负债"
"l10n_cn_large_bis_account_2251","2251","Policy Dividends Payable","liability_current","False","应付保单红利"
"l10n_cn_large_bis_account_2261","2261","Reinsurance Accounts Payable","liability_current","False","应付分保账款"
"l10n_cn_large_bis_account_2311","2311","Brokerage For Buying And Selling Securities","liability_current","False","代理买卖证券款"
"l10n_cn_large_bis_account_2312","2312","Agency Underwriting Securities Payment","liability_current","False","代理承销证券款"
"l10n_cn_large_bis_account_2313","2313","Agent Acting For Redemption Of Security Payment Redemption","liability_current","False","代理兑付证券款"
"l10n_cn_large_bis_account_2314","2314","Agency Business Liabilities","liability_current","False","代理业务负债"
"l10n_cn_large_bis_account_2402","2402","Non-Current Liabilities Due Within One Year","liability_current","False","一年内到期的非流动负债"
"l10n_cn_large_bis_account_2502","2502","Bonds Payable","liability_non_current","False","应付债券"
"l10n_cn_large_bis_account_2510","2510","Lease Liability","liability_non_current","False","租赁负债"
"l10n_cn_large_bis_account_2601","2601","Reserve For Unearned Liabilities","liability_non_current","False","未到期责任准备金"
"l10n_cn_large_bis_account_2602","2602","Insurance Liability Reserve","liability_non_current","False","保险责任准备金"
"l10n_cn_large_bis_account_2611","2611","Policyholder Savings","liability_non_current","False","保户储金"
"l10n_cn_large_bis_account_2621","2621","Separate Account Liabilities","liability_non_current","False","独立账户负债"
"l10n_cn_large_bis_account_2702","2702","Unrecognized Financing Charges","liability_non_current","False","未确认融资费用"
"l10n_cn_large_bis_account_2711","2711","Special Payables","liability_non_current","False","专项应付款"
"l10n_cn_large_bis_account_2801","2801","Estimated Liabilities","liability_non_current","False","预计负债"
"l10n_cn_large_bis_account_2901","2901","Deferred Tax Liabilities","liability_non_current","False","递延所得税负债"
"l10n_cn_large_bis_account_3001","3001","Liquidation Of Funds","equity","False","清算资金往来"
"l10n_cn_large_bis_account_3002","3002","Currency Exchange","equity","False","货币兑换"
"l10n_cn_large_bis_account_3101","3101","Derivatives","equity","False","衍生工具"
"l10n_cn_large_bis_account_3201","3201","Hedging Instrument","equity","False","套期工具"
"l10n_cn_large_bis_account_3202","3202","Hedged Item","equity","False","被套期项目"
"l10n_cn_large_bis_account_4001","4001","Paid-In Capital","equity","False","实收资本"
"l10n_cn_large_bis_account_4002","4002","Capital Reserve","equity","False","资本公积"
"l10n_cn_large_bis_account_4003","4003","Special Reserve","equity","False","专项储备"
"l10n_cn_large_bis_account_4101","4101","Surplus Reserve","equity","False","盈余公积"
"l10n_cn_large_bis_account_4102","4102","General Risk Provision","equity","False","一般风险准备"
"l10n_cn_large_bis_account_4103","4103","Profit For The Year","equity_unaffected","False","本年利润"
"l10n_cn_large_bis_account_4104","4104","Profit Distribution","equity","False","利润分配"
"l10n_cn_large_bis_account_4201","4201","Treasury Stock","equity","False","库存股"
"l10n_cn_large_bis_account_5001","5001","Production Costs","expense_direct_cost","False","生产成本"
"l10n_cn_large_bis_account_5101","5101","Depreciation","expense_direct_cost","False","制造费用"
"l10n_cn_large_bis_account_5201","5201","Service Cost","expense_direct_cost","False","劳务成本"
"l10n_cn_large_bis_account_5301","5301","R&D Expenditure","expense_direct_cost","False","研发支出"
"l10n_cn_large_bis_account_5401","5401","Construction Cost","expense_direct_cost","False","工程施工"
"l10n_cn_large_bis_account_5402","5402","Project Settlement Cost","expense_direct_cost","False","工程结算"
"l10n_cn_large_bis_account_5403","5403","Cost Of Repair","expense_direct_cost","False","机械作业"
"l10n_cn_large_bis_account_6001","6001","Income","income","False","主营业务收入"
"l10n_cn_large_bis_account_6011","6011","Interest Income","income","False","利息收入"
"l10n_cn_large_bis_account_6021","6021","Fee And Commission Income","income","False","手续费及佣金收入"
"l10n_cn_large_bis_account_6031","6031","Premium Income","income","False","保费收入"
"l10n_cn_large_bis_account_6041","6041","Rental Income","income","False","租赁收入"
"l10n_cn_large_bis_account_6051","6051","Other Operating Income","income","False","其他业务收入"
"l10n_cn_large_bis_account_6061","6061","Exchange Gains / Losses","income","False","汇兑损益"
"l10n_cn_large_bis_account_6071","6071","Hedging Income","income","False","套期保值收益"
"l10n_cn_large_bis_account_6101","6101","Gains And Losses Of Fair Value Change","income","False","公允价值变动损益"
"l10n_cn_large_bis_account_6111","6111","Income From Investments","income","False","投资收益"
"l10n_cn_large_bis_account_6115","6115","Gains And Losses On Disposal Of Assets","income","False","资产处置损益"
"l10n_cn_large_bis_account_6201","6201","Amortization Of Insurance Liability Reserves","income","False","摊回保险责任准备金"
"l10n_cn_large_bis_account_6202","6202","Amortization Of Compensation Expenses","income","False","摊回赔付支出"
"l10n_cn_large_bis_account_6203","6203","Amortization Of Reinsurance Expenses","income","False","摊回分保费用"
"l10n_cn_large_bis_account_6301","6301","Non-Operating Income","income","False","营业外收入"
"l10n_cn_large_bis_account_630101","630101","Cash Difference Gain","income","False","现金溢余收益"
"l10n_cn_large_bis_account_630102","630102","Cash Discount Gain","income","False","现金折扣收益"
"l10n_cn_large_bis_account_6401","6401","Main Business Costs","expense_direct_cost","False","主营业务成本"
"l10n_cn_large_bis_account_6402","6402","Other Business Costs","expense_direct_cost","False","其他业务成本"
"l10n_cn_large_bis_account_6403","6403","Operating Taxes And Surcharges","expense","False","营业税金及附加"
"l10n_cn_large_bis_account_6411","6411","Interest Expense","expense","False","利息支出"
"l10n_cn_large_bis_account_6421","6421","Handling Fees And Commission Expenses","expense","False","手续费及佣金支出"
"l10n_cn_large_bis_account_6501","6501","Withdrawal Of Unexpired Liability Reserves","expense","False","提取未到期责任准备金"
"l10n_cn_large_bis_account_6502","6502","Withdrawal Of Insurance Liability Reserves","expense","False","提取保险责任准备金"
"l10n_cn_large_bis_account_6511","6511","Compensation Expenses","expense","False","赔付支出"
"l10n_cn_large_bis_account_6521","6521","Policy Dividend Payout","expense","False","保单红利支出"
"l10n_cn_large_bis_account_6531","6531","Surrender Benefit","expense","False","退保金"
"l10n_cn_large_bis_account_6541","6541","Ceded Premiums","expense","False","分出保费"
"l10n_cn_large_bis_account_6542","6542","Reinsurance Expenses","expense","False","分保费用"
"l10n_cn_large_bis_account_6601","6601","Sales Expenses","expense","False","销售费用"
"l10n_cn_large_bis_account_6602","6602","Administrative Expenses","expense","False","管理费用"
"l10n_cn_large_bis_account_6603","6603","Financial Expenses","expense","False","财务费用"
"l10n_cn_large_bis_account_6604","6604","Exploration Costs","expense","False","勘探费用"
"l10n_cn_large_bis_account_6701","6701","Asset Impairment Loss","expense","False","资产减值损失"
"l10n_cn_large_bis_account_6711","6711","Non-Operating Expenses","expense","False","营业外支出"
"l10n_cn_large_bis_account_671101","671101","Cash Difference Loss","expense","False","现金短缺损失"
"l10n_cn_large_bis_account_671102","671102","Cash Discount Loss","expense","False","现金折扣损失"
"l10n_cn_large_bis_account_6721","6721","Credit Impairment Loss","expense","False","信用减值损失"
"l10n_cn_large_bis_account_6801","6801","Income Tax Expense","expense","False","所得税费用"
"l10n_cn_large_bis_account_6901","6901","Prior Year Income Adjustment","expense","False","以前年度损益调整"
