"id","code","name","account_type","reconcile","name@zh_CN"
"l10n_cn_account_5602","5602","Administrative Expenses","expense","False","管理费用"
"l10n_cn_account_560201","560201","Start-Up Expense","expense","False","开办费"
"l10n_cn_account_560202","560202","Entertainment Expenses","expense","False","业务招待费"
"l10n_cn_account_560203","560203","Research Expense","expense","False","研究费用"
"l10n_cn_account_5603","5603","Financial Expenses","expense","False","财务费用"
"l10n_cn_account_560301","560301","Interest Expenses","expense","False","利息费用"
"l10n_cn_account_560302","560302","Foreign Exchange Loss","expense","False","汇兑损失"
"l10n_cn_account_560303","560303","Cash Difference Loss","expense","False","现金短缺损失"
"l10n_cn_account_560304","560304","Cash Discount Loss","expense","False","现金折扣损失"
"l10n_cn_account_5711","5711","Non-Operating Expenses","expense","False","营业外支出"
"l10n_cn_account_571101","571101","Bad Debt Expenses","expense","False","坏账损失"
"l10n_cn_account_571102","571102","Unrecoverable Losses On Long-Term Bond Investments","expense","False","无法收回的长期债券投资损失"
"l10n_cn_account_571103","571103","Unrecoverable Losses On Long-Term Equity Investments","expense","False","无法收回的长期股权投资损失"
"l10n_cn_account_571104","571104","Losses Caused By Force Majeure Factors Such As Natural Disasters","expense","False","自然灾害等不可抗力因素造成的损失"
"l10n_cn_account_571105","571105","Late Tax Payment Expenses","expense","False","税收滞纳金"
"l10n_cn_account_5801","5801","Income Tax Expenses","expense","False","所得税费用"
