id,code,date_start,date_stop,name
273107,273107,2007-12-18,9999-12-31,UD VARESE-MALPENSA SOT MALPENSA 
274100,274100,2007-06-14,9999-12-31,UD BRESCIA SEZIONE OPERATIVA CENTRALE 
274101,274101,2007-06-14,9999-12-31,UD BRESCIA SOT CREMONA  
275100,275100,2007-10-18,9999-12-31,UD COMO SEZIONE OPERATIVA CENTRALE 
275102,275102,2007-10-18,9999-12-31,UD COMO SOT LECCO 
275103,275103,2007-10-18,9999-12-31,UD COMO SOT MONTANO LUCINO 
275104,275104,2007-10-18,9999-12-31,UD COMO SOT ORIA VALSOLDA 
275105,275105,2007-10-18,9999-12-31,UD COMO SOT PONTE CHIASSO 
276100,276100,2007-11-15,9999-12-31,UD BERGAMO SEZIONE OPERATIVA CENTRALE 
277100,277100,2007-12-20,9999-12-31,UD MILANO 1 SEZIONE OPERATIVA CENTRALE 
277101,277101,2007-12-20,9999-12-31,UD MILANO 1 SOT LINATE (SOPPRESSA IL 01.01.2013)  
277102,277102,2007-12-20,9999-12-31,UD MILANO 1 SOT O.N.T. 
278100,278100,2007-12-20,9999-12-31,UD MILANO 2 SEZIONE OPERATIVA CENTRALE 
278101,278101,2007-12-20,9999-12-31,UD MILANO 2 SOT CONCOREZZO 
278103,278103,2007-12-20,2010-09-30,UD MILANO 2 SOT LAINATE 
278104,278104,2007-12-20,9999-12-31,UD MILANO 2 SOT PIOLTELLO (SOPPRESSA IL 01.01.2013) 
278105,278105,2007-12-20,9999-12-31,UD MILANO 2 SOT RHO 
278106,278106,2007-12-20,9999-12-31,UD MILANO 2 SOT TURBIGO 
278107,278107,2007-12-20,9999-12-31,UD MILANO 2 SOT VITTUONE 
279100,279100,2010-01-01,9999-12-31,UD MALPENSA SEZIONE OPERATIVA CENTRALE 
281100,281100,2006-12-29,9999-12-31,UD NAPOLI 1 SEZIONE OPERATIVA CENTRALE 
281102,281102,2006-12-29,9999-12-31,UD NAPOLI 1 SOT STAZIONE MARITTIMA 
281103,281103,2008-07-01,9999-12-31,UD NAPOLI 1 SOT AEROPORTO DI CAPODICHINO 
282100,282100,2006-12-29,9999-12-31,UD NAPOLI 2 SEZIONE OPERATIVA CENTRALE 
282102,282102,2006-12-29,9999-12-31,UD NAPOLI 2 SOT CAPRI 
282103,282103,2006-12-29,9999-12-31,UD NAPOLI 2 SOT NOLA 
282104,282104,2006-12-29,9999-12-31,UD NAPOLI 2 SOT POZZUOLI 
282105,282105,2006-12-29,9999-12-31,UD NAPOLI 2 SOT TORRE ANNUNZIATA-CASTELLAMMARE DI STABIA 
291100,291100,2005-12-15,9999-12-31,UD CATANIA SEZIONE OPERATIVA CENTRALE 
291101,291101,2005-12-15,9999-12-31,UD CATANIA SOT AEROPORTO DI FONTANAROSSA 
291102,291102,2005-12-15,9999-12-31,UD CATANIA SOT RIPOSTO 
292100,292100,2006-11-30,9999-12-31,UD PALERMO SEZIONE OPERATIVA CENTRALE 
292102,292102,2006-11-30,9999-12-31,UD PALERMO SOT TERMINI IMERESE 
301100,301100,2005-12-01,9999-12-31,UD CIVITAVECCHIA SEZIONE OPERATIVA CENTRALE 
301101,301101,2005-12-01,9999-12-31,UD CIVITAVECCHIA SOT VITERBO 
302100,302100,2005-12-02,9999-12-31,UD FROSINONE SEZIONE OPERATIVA CENTRALE 
303100,303100,2006-12-28,9999-12-31,UD CAMPOBASSO SEZIONE OPERATIVA CENTRALE 
303101,303101,2006-12-28,9999-12-31,UD CAMPOBASSO SOT TERMOLI 
304100,304100,2007-05-24,9999-12-31,UD PESCARA SEZIONE OPERATIVA CENTRALE 
304102,304102,2007-05-24,9999-12-31,UD PESCARA SOT GIULIANOVA 
304103,304103,2007-05-24,9999-12-31,UD PESCARA SOT ORTONA 
304104,304104,2007-05-24,9999-12-31,UD PESCARA SOT VASTO 
305100,305100,2007-06-28,9999-12-31,UD ANCONA SEZIONE OPERATIVA CENTRALE 
305101,305101,2007-06-28,9999-12-31,UD ANCONA SOT FALCONARA AEROPORTO 
305102,305102,2007-06-28,9999-12-31,UD ANCONA SOT CIVITANOVA MARCHE 
305103,305103,2007-06-28,9999-12-31,UD ANCONA SOT FABRIANO 
305104,305104,2007-06-28,9999-12-31,UD ANCONA SOT FANO 
305105,305105,2007-06-28,9999-12-31,UD ANCONA SOT PESARO 
306100,306100,2007-12-13,9999-12-31,UD ROMA 1 SEZIONE OPERATIVA CENTRALE 
306101,306101,2007-12-13,9999-12-31,UD ROMA 1 SOT CIAMPINO 
306102,306102,2007-12-13,9999-12-31,UD ROMA 1 SOT POMEZIA 
306103,306103,2010-10-01,9999-12-31,UD ROMA 1 SOT ROMA EST 
306104,306104,2011-01-01,9999-12-31,UD ROMA 1 SOT RIETI 
307100,307100,2007-12-13,9999-12-31,UD ROMA 2 SEZIONE OPERATIVA CENTRALE 
308100,308100,2010-06-01,9999-12-31,UD CIVITANOVA MARCHE SEZIONE OPERATIVA CENTRALE 
308101,308101,2010-06-01,9999-12-31,UD CIVITANOVA MARCHE SOT SAN BENEDETTO DEL TRONTO 
309100,309100,2012-05-01,9999-12-31,UD L'AQUILA SEZIONE OPERATIVA CENTRALE 
309101,309101,2012-05-01,9999-12-31,UD L'AQUILA SOT AVEZZANO 
311100,311100,2005-09-01,9999-12-31,UD CUNEO SEZIONE OPERATIVA CENTRALE 
311101,311101,2005-09-01,9999-12-31,UD CUNEO SOT ALBA 
312100,312100,2005-10-20,9999-12-31,UD NOVARA SEZIONE OPERATIVA CENTRALE 
312101,312101,2005-10-20,9999-12-31,UD NOVARA SOT ARONA 
312102,312102,2005-10-20,9999-12-31,UD NOVARA SOT NOVARA BOSCHETTO 
313100,313100,2005-12-22,9999-12-31,UD ALESSANDRIA SEZIONE OPERATIVA CENTRALE 
313101,313101,2005-12-22,9999-12-31,UD ALESSANDRIA SOT ASTI 
313102,313102,2005-12-22,9999-12-31,UD ALESSANDRIA SOT POZZOLO FORMIGARO 
314100,314100,2006-12-14,9999-12-31,UD TORINO SEZIONE OPERATIVA CENTRALE 
314101,314101,2006-12-14,9999-12-31,UD TORINO SOT CASELLE TORINESE 
371100,371100,2013-01-01,9999-12-31,UD MILANO 3 SEZIONE OPERATIVA CENTRALE 
371102,371102,2013-01-01,9999-12-31,UD MILANO 3 SOT PIOLTELLO 
