"id","name","description","invoice_label","amount","amount_type","type_tax_use","l10n_cl_sii_code","tax_group_id","active","sequence","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","description@es","name@es","invoice_label@es"
"","","","","","","","","","","","tax","invoice","+Compras Activo Fijo Uso Común","account_110730","","","",""
"","","","","","","","","","","","base","refund","-Compras de Activo Fijo Uso Común","","","","",""
"","","","","","","","","","","","tax","refund","-Compras Activo Fijo Uso Común","account_110730","","","",""
"iva_activo_fijo_uso_no_recup","19% F A NR","VAT Purchase 19% Fixed Assets Not Recoverable","VAT 19% fixed assets non-recoverable use","19.0","percent","purchase","14","tax_group_iva_19","","6","base","invoice","+Compras de Activo Fijo No Recuperable","","","IVA Compra 19% Activo Fijo No Recup","19% IVA Act. FNR","IVA 19% ActFNR"
"","","","","","","","","","","","tax","invoice","+Compras Activo Fijo No Recuperables","account_420220","","","",""
"","","","","","","","","","","","base","refund","-Compras de Activo Fijo No Recuperable","","","","",""
"","","","","","","","","","","","tax","refund","-Compras Activo Fijo No Recuperables","account_420220","","","",""
"ila_a_100_p","10% ILA","Beb. Analc. 10% (Purchases)","ILA P 10%","10.0","percent","purchase","27","tax_group_ila","","7","base","invoice","+Base Retenciones ILA (compras)","","","Beb. Analc. 10% (Compras)","10% ILA","ILA C 10%"
"","","","","","","","","","","","tax","invoice","+Retenciones ILA (compras)","account_420220","","","",""
"","","","","","","","","","","","base","refund","-Base Retenciones ILA (compras)","","","","",""
"","","","","","","","","","","","tax","refund","-Retenciones ILA (compras)","account_420220","","","",""
"ila_a_180_p","18% ILA","Beb. Analc 18% (Purchases)","ILA P 18%","18.0","percent","purchase","26","tax_group_ila","","7","base","invoice","+Base Retenciones ILA (compras)","","","Beb. Analc 18% (Compras)","18% ILA","ILA C 18%"
"","","","","","","","","","","","tax","invoice","+Retenciones ILA (compras)","account_420220","","","",""
"","","","","","","","","","","","base","refund","-Base Retenciones ILA (compras)","","","","",""
"","","","","","","","","","","","tax","refund","-Retenciones ILA (compras)","account_420220","","","",""
"ila_v_205_p","20.5% ILA","Wines (Purchases)","ILA P 20.5%","20.5","percent","purchase","25","tax_group_ila","","7","base","invoice","+Base Retenciones ILA (compras)","","","Vinos (Compras)","20.5% ILA","ILA C 20.5%"
"","","","","","","","","","","","tax","invoice","+Retenciones ILA (compras)","account_420220","","","",""
"","","","","","","","","","","","base","refund","-Base Retenciones ILA (compras)","","","","",""
"","","","","","","","","","","","tax","refund","-Retenciones ILA (compras)","account_420220","","","",""
"ila_l_315_p","31.5% ILA","Liquors 31.5% (Purchases)","ILA P 31.5%","31.5","percent","purchase","24","tax_group_ila","","7","base","invoice","+Base Retenciones ILA (compras)","","","Licores 31.5% (Compras)","31.5% ILA","ILA C 31.5%"
"","","","","","","","","","","","tax","invoice","+Retenciones ILA (compras)","account_420220","","","",""
"","","","","","","","","","","","base","refund","-Base Retenciones ILA (compras)","","","","",""
"","","","","","","","","","","","tax","refund","-Retenciones ILA (compras)","account_420220","","","",""
"ila_a_100_s","10% ILA","Beb. Analc. 10% (Sales)","ILA S 10%","10.0","percent","sale","27","tax_group_ila","","7","base","invoice","+Base Retenciones ILA (ventas)","","","Beb. Analc. 10% (Ventas)","10% ILA","ILA V 10%"
"","","","","","","","","","","","tax","invoice","+Retenciones ILA (ventas)","account_210760","","","",""
"","","","","","","","","","","","base","refund","-Base Retenciones ILA (ventas)","","","","",""
"","","","","","","","","","","","tax","refund","-Retenciones ILA (ventas)","account_210760","","","",""
"ila_a_180_s","18% ILA","Beb. Analc 18% (Sales)","ILA S 18%","18.0","percent","sale","26","tax_group_ila","","7","base","invoice","+Base Retenciones ILA (ventas)","","","Beb. Analc 18% (Ventas)","18% ILA","ILA V 18%"
"","","","","","","","","","","","tax","invoice","+Retenciones ILA (ventas)","account_210760","","","",""
"","","","","","","","","","","","base","refund","-Base Retenciones ILA (ventas)","","","","",""
"","","","","","","","","","","","tax","refund","-Retenciones ILA (ventas)","account_210760","","","",""
"ila_v_205_s","20.5% ILA","Wines (Sales)","ILA S 20.5%","20.5","percent","sale","25","tax_group_ila","","7","base","invoice","+Base Retenciones ILA (ventas)","","","Vinos (Ventas)","20.5% ILA","ILA V 20.5%"
"","","","","","","","","","","","tax","invoice","+Retenciones ILA (ventas)","account_210760","","","",""
"","","","","","","","","","","","base","refund","-Base Retenciones ILA (ventas)","","","","",""
"","","","","","","","","","","","tax","refund","-Retenciones ILA (ventas)","account_210760","","","",""
"ila_l_315_s","31.5% ILA","Liquors 31.5% (Sales)","ILA S 31.5%","31.5","percent","sale","24","tax_group_ila","","7","base","invoice","+Base Retenciones ILA (ventas)","","","Licores 31.5% (Ventas)","31.5% ILA","ILA V 31.5%"
"","","","","","","","","","","","tax","invoice","+Retenciones ILA (ventas)","account_210760","","","",""
"","","","","","","","","","","","base","refund","-Base Retenciones ILA (ventas)","","","","",""
"","","","","","","","","","","","tax","refund","-Retenciones ILA (ventas)","account_210760","","","",""
"iva_compra_no_recup","19% NR","VAT Purchase 19% Non-recoverable","VAT 19% non-recoverable purchase","19.0","percent","purchase","14","tax_group_iva_19","","6","base","invoice","+Compras IVA No Recuperable","","","IVA Compra 19% No Recup.","19% IVA NR","IVA 19% NoR"
"","","","","","","","","","","","tax","invoice","+IVA Pagado No Recuperable","account_420220","","","",""
"","","","","","","","","","","","base","refund","-Compras IVA No Recuperable","","","","",""
"","","","","","","","","","","","tax","refund","-IVA Pagado No Recuperable","account_420220","","","",""
"iva_compra_uso_comun","19% C","VAT Purchase 19% Common Use","VAT 19% purchase for public use","19.0","percent","purchase","14","tax_group_iva_19","","6","base","invoice","+Compra Netas Gravadas Con IVA Uso Comun","","","IVA Compra 19% Uso Común","19% IVA UC","IVA 19% CUC"
"","","","","","","","","","","","tax","invoice","+IVA Pagado Compras Uso Común","account_110730","","","",""
"","","","","","","","","","","","base","refund","-Compra Netas Gravadas Con IVA Uso Comun","","","","",""
"","","","","","","","","","","","tax","refund","-IVA Pagado Compras Uso Común","account_110730","","","",""
"iva_supermercado_recup","19% SM","VAT Purchase 19% Supermarket","VAT 19% supermarket recup","19.0","percent","purchase","14","tax_group_iva_19","","6","base","invoice","+Compras De Supermercado","","","IVA Compra 19% Supermercado Recup","19% IVA SupMRec","IVA 19% SupMRec"
"","","","","","","","","","","","tax","invoice","+IVA Pagado Compras Supermercado","account_110710","","","",""
"","","","","","","","","","","","base","refund","-Compras De Supermercado","","","","",""
"","","","","","","","","","","","tax","refund","-IVA Pagado Compras Supermercado","account_110710","","","",""
"iec_gasoline","IEC Gas","Specific Tax Gasoline","IEC Gasolina","1.0","fixed","purchase","35","tax_group_impuestos_especificos","","5","base","invoice","+Compras Des Combustibles","","","Impuesto Específico Gasolina","IEC Gasolina","IEC Gas"
"","","","","","","","","","","","tax","invoice","+IEC Compras Des Combustibles","account_110760","","","",""
"","","","","","","","","","","","base","refund","-Compras Des Combustibles","","","","",""
"","","","","","","","","","","","tax","refund","-IEC Compras Des Combustibles","account_110760","","","",""
"iec_diesel","IEC Die","Specific Tax Diesel","IEC Diesel","1.0","fixed","purchase","28","tax_group_impuestos_especificos","","5","base","invoice","+Compras Des Combustibles","","","Impuesto Específico Diesel","IEC Diesel","IEC Die"
"","","","","","","","","","","","tax","invoice","+IEC Compras Des Combustibles","account_110760","","","",""
"","","","","","","","","","","","base","refund","-Compras Des Combustibles","","","","",""
"","","","","","","","","","","","tax","refund","-IEC Compras Des Combustibles","account_110760","","","",""
