id,l10n_ar_afip_code,l10n_ar_natural_vat,l10n_ar_legal_entity_vat,l10n_ar_other_vat
base.gn,118,50000001187,55000001189,51600001187
base.gw,156,50000001845,55000001847,51600001845
base.gq,119,50000001195,55000001197,51600001195
base.ht,215,50000002159,55000002150,51600002159
base.nl,423,50000004232,55000004234,51600004232
base.hn,216,50000002167,55000002169,51600002167
base.hk,341,50000006685,55000006687,51600006685
base.hu,414,50000004143,55000004145,51600004143
base.in,315,50000003155,55000003157,51600003155
base.id,316,50000003163,55000003165,51600003163
base.iq,317,50000003171,55000003173,51600003171
base.ir,318,50000002930,55000002932,51600002930
base.ie,415,50000004151,55000004153,51600004151
base.im,676,50000006766,55000006768,51600006766
base.cx,672,50000006723,55000006725,51600006723
base.is,416,50000003813,55000003815,51600003813
base.nf,677,50000006774,55000006776,51600006774
base.cc,673,50000006731,55000006733,51600006731
base.ck,654,50000006545,55000006547,51600006545
base.fk,254,,,
base.mp,521,50000005212,55000005214,51600005212
base.mh,520,50000005204,55000005206,51600005204
base.pn,690,50000006901,55000006903,51600006901
base.sb,518,50000005182,55000005184,51600005182
base.tc,678,50000006782,55000006784,51600006782
base.vg,682,50000006820,55000006822,51600006820
base.vi,683,50000006839,55000006830,51600006839
base.il,319,50000002876,55000002878,51600002876
base.it,417,50000003546,55000003548,51600003546
base.jm,217,50000002175,55000002177,51600002175
base.jp,320,50000003201,55000003203,51600003201
base.je,670,50000006707,55000006709,51600006707
base.jo,321,50000003007,55000003009,51600003007
base.kz,352,50000003929,55000003920,51600003929
base.ke,120,50000001209,55000001200,51600001209
base.kg,353,50000003937,55000003939,51600003937
base.ki,514,50000005166,55000005168,51600005166
base.kw,323,50000003236,55000003238,51600003236
base.la,324,50000003244,55000003246,51600003244
base.ls,121,50000001217,55000001219,51600001217
base.lv,441,50000004410,55000004412,51600004410
base.lb,325,50000003252,55000003254,51600003252
base.lr,122,50000001225,55000001227,51600001225
base.ly,123,50000001233,55000001235,51600001233
base.li,418,50000004186,55000004188,51600004186
base.lt,442,50000004429,55000004420,51600004429
base.lu,419,50000004194,55000004196,51600004194
base.mo,344,50000003449,55000003440,51600003449
base.mk,450,50000004909,55000004900,51600004909
base.mg,124,50000001241,55000001243,51600001241
base.my,326,50000003260,55000003262,51600003260
base.mw,125,50000001543,55000001545,51600001543
base.mv,327,50000003279,55000003270,51600003279
base.ml,126,50000001632,55000001634,51600001632
base.mt,420,50000004364,55000004366,51600004364
base.ma,127,50000001276,55000001278,51600001276
base.mu,128,50000001284,55000001286,51600001284
base.mr,129,50000001292,55000001294,51600001292
base.mx,218,50000002183,55000002185,51600002183
base.fm,515,50000005905,55000005907,51600005905
base.md,443,50000004437,55000004439,51600004437
base.mc,421,50000004216,55000004218,51600004216
base.mn,329,50000003295,55000003297,51600003295
base.me,453,,,
base.ms,686,50000006863,55000006865,51600006863
base.mz,151,50000001519,55000001510,51600001519
base.na,158,50000001837,55000001839,51600001837
base.nr,503,50000005034,55000005036,51600005034
base.np,330,50000003309,55000003300,51600003309
base.ni,219,50000002191,55000002193,51600002191
base.ne,130,50000001306,55000001308,51600001306
base.ng,131,50000001314,55000001316,51600001314
base.nu,687,50000006871,55000006873,51600006871
base.no,422,50000004224,55000004226,51600004224
base.nz,504,50000005042,55000005044,51600005042
base.om,328,50000003287,55000003289,51600003287
base.pk,332,50000003325,55000003327,51600003325
base.pw,516,50000005913,55000005915,51600005913
base.pa,220,50000002205,55000002207,51600002205
base.pg,513,50000005131,55000005133,51600005131
base.py,221,50000000024,55000000026,51600000024
base.pe,222,50000002221,55000002223,51600002221
base.pf,656,50000006561,55000006563,51600006561
base.pl,424,50000004240,55000004242,51600004240
base.pt,425,50000004259,55000004250,51600004259
base.pr,223,50000002213,55000002215,51600002213
base.qa,322,50000002981,55000002983,51600002981
base.uk,426,50000004267,55000004269,51600004267
base.cz,451,50000006057,55000006059,51600006057
base.cd,109,50000001527,55000001529,55000001529
base.do,209,50000002094,55000002096,51600002094
base.rw,133,50000001330,55000001332,51600001330
base.ro,427,50000004275,55000004277,51600004275
base.ws,506,50000005069,55000005069,51600005069
base.kn,238,50000002892,55000002894,51600002892
base.sm,428,50000004283,55000004285,51600004283
base.pm,680,50000006804,55000006806,51600006804
base.sh,662,50000006979,55000006970,51600006979
base.lc,234,50000002345,55000002347,51600002345
base.va,431,50000004313,55000004315,51600004313
base.st,157,50000001829,55000001820,51600001829
base.vc,235,50000002353,55000002355,51600002353
base.sn,134,50000001349,55000001340,51600001349
base.rs,454,,,
base.sc,152,50000001810,55000001812,51600001810
base.sl,135,50000001357,55000001359,51600001357
base.sg,333,50000003333,55000003335,51600003333
base.sy,334,50000003341,55000003343,51600003341
base.so,136,50000001365,55000001367,51600001365
base.lk,307,50000003074,55000003076,51600003074
base.sz,137,50000001373,55000001375,51600001373
base.za,159,50000001713,55000001715,51600001713
base.sd,138,50000001381,55000001383,51600001381
base.se,429,50000004291,55000004293,51600004291
base.ch,430,50000004305,55000004307,51600004305
base.sr,232,50000002329,55000002320,51600002329
base.sj,696,50000006960,55000006962,51600006960
base.th,335,50000002914,55000002916,51600002914
base.tw,313,50000003139,55000003130,51600003139
base.tj,354,50000003899,55000003890,51600003899
base.tz,139,50000001551,55000001553,51600001551
base.tl,358,,,
base.tg,140,50000001403,55000001405,51600001403
base.tk,699,50000006995,55000006997,51600006995
base.to,519,50000005190,55000005192,51600005190
base.tt,224,50000002434,55000002436,51600002434
base.tn,141,50000001411,55000001413,51600001411
base.tm,355,50000003554,55000003556,51600003554
base.tr,336,50000003503,55000003505,51600003503
base.tv,517,50000005174,55000005176,51600005174
base.ua,445,50000006049,55000006040,51600006049
base.ug,142,50000001705,55000001707,51600001705
base.uy,225,50000000016,55000000018,51600000016
base.uz,356,50000003562,55000003564,51600003562
base.vu,505,50000005050,55000005052,51600005050
base.ve,226,50000002264,55000002266,51600002264
base.vn,337,50000003376,55000003378,51600003376
base.ye,348,50000003392,55000003394,51600003392
base.dj,153,50000001861,55000001863,51600001861
base.zm,144,50000001446,55000001448,51600001446
base.zw,132,50000001322,55000001324,51600001322
