"id","name","code","account_type","reconcile","non_trade","name@sk","description","description@sk","tax_ids","depreciation_model_id"
"chart_sk_032000","Works of art and collections","032000","asset_non_current","False","False","Umelecké diela a zbierky","Acquisition value of works of art, collections, and other non-depreciable cultural assets.","Obstarávacia hodnota umeleckých diel, zbierok a iných neodpisovaných kultúrnych aktív.","",""
"chart_sk_041000","Acquisition of intangible fixed assets","041000","asset_non_current","False","False","Obstaranie dlhodobého nehmotného majetku","Costs accumulated while intangible fixed assets are being acquired but not yet ready for use.","Náklady akumulované počas obstarávania dlhodobého nehmotného majetku, ktorý ešte nie je pripravený na použitie.","",""
"chart_sk_042000","Acquisition of tangible fixed assets","042000","asset_non_current","False","False","Obstaranie dlhodobého hmotného majetku","Costs accumulated while tangible fixed assets are under construction or acquisition and not yet in use.","Náklady akumulované počas výstavby alebo obstarávania dlhodobého hmotného majetku, ktorý ešte nie je uvedený do užívania.","",""
"chart_sk_043000","Acquisition of non-current financial assets","043000","asset_non_current","False","False","Obstaranie dlhodobého finančného majetku","Costs accumulated while non-current financial assets are being acquired but not yet finalized.","Náklady akumulované počas obstarávania dlhodobého finančného majetku, ktoré ešte neboli dokončené.","",""
"chart_sk_051000","Advances made for intangible fixed assets","051000","asset_non_current","False","False","Poskytnuté preddavky na dlhodobý nehmotný majetok","Advance payments made to suppliers for future delivery of intangible fixed assets.","Preddavky poskytnuté dodávateľom na budúce dodanie dlhodobého nehmotného majetku.","",""
"chart_sk_052000","Advances made for tangible fixed assets","052000","asset_non_current","False","False","Poskytnuté preddavky na dlhodobý hmotný majetok","Advance payments made to suppliers for future delivery of tangible fixed assets.","Preddavky poskytnuté dodávateľom na budúce dodanie dlhodobého hmotného majetku.","",""
"chart_sk_053000","Advances provided for financial assets","053000","asset_non_current","False","False","Zálohy poskytnuté na finančné aktíva","Advance payments made for the future acquisition of financial assets.","Zálohy poskytnuté na budúce obstaranie finančného majetku.","",""
"chart_sk_055000","Advances made on non-current financial assets","055000","asset_non_current","False","False","Poskytnuté preddavky na dlhodobý finančný majetok","Advance payments made for the future acquisition of non-current financial assets not covered under account 053000.","Preddavky poskytnuté na budúce obstaranie dlhodobého finančného majetku nezahrnuté v účte 053000.","",""
"chart_sk_061000","Equity securities and interests in a subsidiary","061000","asset_non_current","False","False","Podielové cenné papiere a podiely v dcérskej účtovnej jednotke","Equity investments and ownership interests held in a subsidiary under the company's control.","Podielové cenné papiere a podiely držané v dcérskej účtovnej jednotke pod kontrolou spoločnosti.","",""
"chart_sk_062000","Participating securities and shares in a participating company or cooperative","062000","asset_non_current","False","False","Podielové cenné papiere a podiely v spoločnosti alebo družstve s podielovou účasťou","Equity investments held in companies or cooperatives where the company exercises significant influence.","Podielové cenné papiere a podiely v spoločnosti alebo družstve, kde má spoločnosť podstatný vplyv.","",""
"chart_sk_063000","Available-for-sale securities and shares","063000","asset_non_current","False","False","Realizovateľné cenné papiere a podiely","Long-term securities and equity interests intended to be available for sale rather than held to maturity.","Dlhodobé cenné papiere a podiely určené na predaj, nie na držanie do splatnosti.","",""
"chart_sk_065000","Debt securities held to maturity","065000","asset_non_current","False","False","Dlhové cenné papiere držané do splatnosti","Debt securities that the company intends and is able to hold until their maturity date.","Dlhové cenné papiere, ktoré spoločnosť zamýšľa a je schopná držať do dátumu splatnosti.","",""
"chart_sk_066000","Loans to related entities and participating entities","066000","asset_non_current","False","False","Pôžičky prepojeným účtovným jednotkám a účtovným jednotkám v rámci podielovej účasti","Loans and borrowings granted to related entities and entities under participating interest.","Pôžičky poskytnuté prepojeným účtovným jednotkám a jednotkám v rámci podielovej účasti.","",""
"chart_sk_066100","Loans to related entities (Subsidiaries)","066100","asset_non_current","False","False","Úvery pre pridružené subjekty (dcérske spoločnosti)","Loans granted specifically to subsidiary companies within the group.","Úvery poskytnuté konkrétne dcérskym spoločnostiam v rámci skupiny.","",""
"chart_sk_066200","Loans to participating entities","066200","asset_non_current","False","False","Úvery zúčastneným subjektom","Loans granted to entities in which the company holds a participating interest.","Úvery poskytnuté subjektom, v ktorých má spoločnosť podielovú účasť.","",""
"chart_sk_067000","Other loans","067000","asset_non_current","False","False","Ostatné pôžičky","Long-term loans granted that are not to related or participating entities.","Dlhodobé pôžičky poskytnuté subjektom, ktoré nie sú prepojené ani účastinné.","",""
"chart_sk_068000","Long-term loans maturing within 1 year","068000","asset_non_current","False","False","Dlhodobé úvery so splatnosťou do 1 roka","Portion of long-term loans granted that will mature within the next twelve months.","Časť dlhodobých úverov, ktorá je splatná v priebehu nasledujúcich dvanástich mesiacov.","",""
"chart_sk_069000","Other non-current financial assets","069000","asset_non_current","False","False","Ostatný dlhodobý finančný majetok","Other long-term financial assets not classified under securities, shares, or loans above.","Ostatný dlhodobý finančný majetok nezaradený medzi cenné papiere, podiely alebo úvery vyššie.","",""
"chart_sk_072000","Accumulated amortization of capitalized development costs","072000","asset_non_current","False","False","Oprávky k aktivovaným nákladom na vývoj","Contra-asset account tracking cumulative amortization of capitalized development costs.","Účet oprávok sledujúci kumulovanú amortizáciu aktivovaných nákladov na vývoj.","",""
"chart_sk_073000","Accumulated amortization of software","073000","asset_non_current","False","False","Oprávky k softvéru","Contra-asset account tracking cumulative amortization of software assets.","Účet oprávok sledujúci kumulovanú amortizáciu softvérových aktív.","",""
"chart_sk_074000","Accumulated amortization of valuable rights","074000","asset_non_current","False","False","Oprávky k oceniteľným právam","Contra-asset account tracking cumulative amortization of appreciable/valuable rights.","Účet oprávok sledujúci kumulovanú amortizáciu oceniteľných práv.","",""
"chart_sk_075000","Accumulated amortization of goodwill","075000","asset_non_current","False","False","Oprávky ku goodwilu","Contra-asset account tracking cumulative amortization of goodwill.","Účet oprávok sledujúci kumulovanú amortizáciu goodwillu.","",""
"chart_sk_079000","Accumulated amortization of other intangible fixed assets","079000","asset_non_current","False","False","Opravky k ostatnému dlhodobému nehmotnému majetku","Contra-asset account tracking cumulative amortization of other intangible fixed assets.","Účet oprávok sledujúci kumulovanú amortizáciu ostatného dlhodobého nehmotného majetku.","",""
"chart_sk_081000","Accumulated depreciation of buildings","081000","asset_non_current","False","False","Oprávky k stavbám","Contra-asset account tracking cumulative depreciation of buildings.","Účet oprávok sledujúci kumulované odpisy stavieb.","",""
"chart_sk_082000","Accumulated depreciation of separate movables","082000","asset_non_current","False","False","Oprávky k samostatným hnuteľným veciam a k súboru hnuteľných vecí","Contra-asset account tracking cumulative depreciation of separate movable assets and sets thereof.","Účet oprávok sledujúci kumulované odpisy samostatných hnuteľných vecí a ich súborov.","",""
"chart_sk_085000","Accumulated depreciation of permanent crops","085000","asset_non_current","False","False","Oprávky k pestovateľským celkom trvalých porastov","Contra-asset account tracking cumulative depreciation of permanent crop plantations.","Účet oprávok sledujúci kumulované odpisy pestovateľských celkov trvalých porastov.","",""
"chart_sk_086000","Accumulated depreciation of animals","086000","asset_non_current","False","False","Oprávky k základnému stádu a ťažným zvieratám","Contra-asset account tracking cumulative depreciation of the basic herd and draft animals.","Účet oprávok sledujúci kumulované odpisy základného stáda a ťažných zvierat.","",""
"chart_sk_089000","Allowances for other tangible fixed assets","089000","asset_non_current","False","False","Oprávky k ostatnému dlhodobému hmotnému majetku","Contra-asset account tracking cumulative depreciation of other tangible fixed assets.","Účet oprávok sledujúci kumulované odpisy ostatného dlhodobého hmotného majetku.","",""
"chart_sk_091000","Allowance for intangible fixed assets","091000","asset_non_current","False","False","Opravné položky k dlhodobému nehmotnému majetku","Impairment allowance recognized against long-term intangible fixed assets.","Opravná položka vytvorená k dlhodobému nehmotnému majetku.","",""
"chart_sk_091100","Allowances for capitalised development costs","091100","asset_non_current","False","False","Opravné položky k kapitalizovaným nákladom na vývoj","Impairment allowance recognized against capitalized development costs.","Opravná položka vytvorená k aktivovaným nákladom na vývoj.","",""
"chart_sk_091200","Allowance for software","091200","asset_non_current","False","False","Príspevok na softvér","Impairment allowance recognized against software assets.","Opravná položka vytvorená k softvérovým aktívam.","",""
"chart_sk_091300","Allowance for valuable rights","091300","asset_non_current","False","False","Príspevok na cenné práva","Impairment allowance recognized against valuable/appreciable rights.","Opravná položka vytvorená k oceniteľným právam.","",""
"chart_sk_091400","Allowance for goodwill","091400","asset_non_current","False","False","Opravná položka na goodwill","Impairment allowance recognized against goodwill.","Opravná položka vytvorená ku goodwillu.","",""
"chart_sk_091500","Allowance for other intangibles","091500","asset_non_current","False","False","Opravná položka na ostatný nehmotný majetok","Impairment allowance recognized against other intangible fixed assets.","Opravná položka vytvorená k ostatnému nehmotnému majetku.","",""
"chart_sk_092000","Allowances for property, plant and equipment","092000","asset_non_current","False","False","Príspevok na budovy","Impairment allowance recognized against property, plant and equipment in general.","Opravná položka vytvorená k dlhodobému hmotnému majetku všeobecne.","",""
"chart_sk_092100","Allowance for buildings","092100","asset_non_current","False","False","Opravné položky k dlhodobému hmotnému majetku","Impairment allowance recognized against buildings.","Opravná položka vytvorená k budovám.","",""
"chart_sk_092200","Allowance for separate movables","092200","asset_non_current","False","False","Príspevok na samostatný hnuteľný majetok","Impairment allowance recognized against separate movable assets.","Opravná položka vytvorená k samostatným hnuteľným veciam.","",""
"chart_sk_092300","Allowance for land","092300","asset_non_current","False","False","Príspevok na pozemok","Impairment allowance recognized against land.","Opravná položka vytvorená k pozemkom.","",""
"chart_sk_092320","Allowance for works of art","092320","asset_non_current","False","False","Príspevok na umelecké diela","Impairment allowance recognized against works of art and collections.","Opravná položka vytvorená k umeleckým dielam a zbierkam.","",""
"chart_sk_092500","Allowance for permanent crops","092500","asset_non_current","False","False","Príspevok na trvalé plodiny","Impairment allowance recognized against permanent crop plantations.","Opravná položka vytvorená k trvalým porastom.","",""
"chart_sk_092600","Allowance for animals","092600","asset_non_current","False","False","Príspevok na zvieratá","Impairment allowance recognized against animals.","Opravná položka vytvorená k zvieratám.","",""
"chart_sk_092900","Allowance for other tangible fixed assets","092900","asset_non_current","False","False","Opravná položka k ostatným hmotným dlhodobým majetkom","Impairment allowance recognized against other tangible fixed assets.","Opravná položka vytvorená k ostatnému hmotnému majetku.","",""
"chart_sk_093000","Allowance for intangible fixed assets in progress","093000","asset_non_current","False","False","Opravné položky k nedokončenému dlhodobému nehmotnému majetku","Impairment allowance recognized against intangible fixed assets still under construction/acquisition.","Opravná položka vytvorená k nedokončenému dlhodobému nehmotnému majetku.","",""
"chart_sk_094000","Allowances for tangible fixed assets in progress","094000","asset_non_current","False","False","Opravné položky k nedokončenému dlhodobému hmotnému majetku","Impairment allowance recognized against tangible fixed assets still under construction/acquisition.","Opravná položka vytvorená k nedokončenému dlhodobému hmotnému majetku.","",""
"chart_sk_095000","Allowances for advances on fixed assets","095000","asset_non_current","False","False","Opravné položky k poskytnutým preddavkom na dlhodobý majetok","Impairment allowance recognized against advances paid for fixed assets in general.","Opravná položka vytvorená k poskytnutým preddavkom na dlhodobý majetok.","",""
"chart_sk_095100","Allowance for advances on intangible","095100","asset_non_current","False","False","Opravná položka na zálohy na nehmotný majetok","Impairment allowance recognized against advances paid for intangible fixed assets.","Opravná položka vytvorená k zálohám na nehmotný majetok.","",""
"chart_sk_095200","Allowance for advances on tangible assets","095200","asset_non_current","False","False","Opravná položka na zálohy na hmotný majetok","Impairment allowance recognized against advances paid for tangible fixed assets.","Opravná položka vytvorená k zálohám na hmotný majetok.","",""
"chart_sk_095300","Allowance for advances on financial assets","095300","asset_non_current","False","False","Opravná položka k zálohám na finančné aktíva","Impairment allowance recognized against advances paid for financial assets.","Opravná položka vytvorená k zálohám na finančné aktíva.","",""
"chart_sk_096000","Valuation allowances on non-current financial assets","096000","asset_non_current","False","False","Opravné položky k dlhodobému finančnému majetku","Impairment allowance recognized against non-current financial assets in general.","Opravná položka vytvorená k dlhodobému finančnému majetku všeobecne.","",""
"chart_sk_096043","Allowance for acquisition of financial assets","096043","asset_non_current","False","False","Opravná položka na nadobudnutie finančných aktív","Impairment allowance recognized against financial assets still being acquired.","Opravná položka vytvorená k obstarávanému finančnému majetku.","",""
"chart_sk_096100","Allowance for equity in subsidiaries","096100","asset_non_current","False","False","Opravná položka na vlastný kapitál v dcérskych spoločnostiach","Impairment allowance recognized against equity interests in subsidiaries.","Opravná položka vytvorená k podielom v dcérskych spoločnostiach.","",""
"chart_sk_096200","Allowance for participating securities","096200","asset_non_current","False","False","Príspevok na účastnícke cenné papiere","Impairment allowance recognized against participating securities and shares.","Opravná položka vytvorená k účastinným cenným papierom a podielom.","",""
"chart_sk_096300","Allowance for available-for-sale securities","096300","asset_non_current","False","False","Opravná položka k cenným papierom k dispozícii na predaj","Impairment allowance recognized against available-for-sale securities.","Opravná položka vytvorená k realizovateľným cenným papierom.","",""
"chart_sk_096500","Allowance for debt securities","096500","asset_non_current","False","False","Opravná položka k dlhopisom","Impairment allowance recognized against debt securities held to maturity.","Opravná položka vytvorená k dlhovým cenným papierom držaným do splatnosti.","",""
"chart_sk_096610","Allowance for loans to related entities","096610","asset_non_current","False","False","Opravná položka k úverom poskytnutým prepojeným subjektom","Impairment allowance recognized against loans granted to related entities.","Opravná položka vytvorená k úverom poskytnutým prepojeným subjektom.","",""
"chart_sk_096620","Allowance for loans to participating entities","096620","asset_non_current","False","False","Príspevok na úvery pre zúčastnené subjekty","Impairment allowance recognized against loans granted to participating entities.","Opravná položka vytvorená k úverom poskytnutým účastinným subjektom.","",""
"chart_sk_096700","Allowance for other loans","096700","asset_non_current","False","False","Opravná položka na ostatné úvery","Impairment allowance recognized against other loans granted.","Opravná položka vytvorená k ostatným poskytnutým úverom.","",""
"chart_sk_096800","Allowance for LT loans maturing < 1 year","096800","asset_non_current","False","False","Príspevok na dlhodobé úvery so splatnosťou < 1 rok","Impairment allowance recognized against long-term loans maturing within one year.","Opravná položka vytvorená k dlhodobým úverom so splatnosťou do jedného roka.","",""
"chart_sk_096900","Allowance for other non-current financial assets","096900","asset_non_current","False","False","Opravná položka k ostatným dlhodobým finančným aktívam","Impairment allowance recognized against other non-current financial assets.","Opravná položka vytvorená k ostatnému dlhodobému finančnému majetku.","",""
"chart_sk_097000","Adjustments to acquired assets","097000","asset_non_current","False","False","Opravné položky k nadobudnutému majetku","Valuation difference between the purchase price and fair value of net assets acquired.","Oceňovací rozdiel medzi kúpnou cenou a reálnou hodnotou nadobudnutých čistých aktív.","",""
"chart_sk_098000","Correction of adjustment to acquired assets","098000","asset_non_current","False","False","Oprávky k opravnej položke k nadobudnutému majetku","Cumulative amortization of the valuation difference recognized on acquired assets.","Kumulovaná amortizácia oceňovacieho rozdielu k nadobudnutému majetku.","",""
"chart_sk_111000","Procurement of material","111000","asset_current","True","False","Obstaranie materiálu","Costs accumulated while raw materials and supplies are being procured but not yet received into stock.","Náklady akumulované počas obstarávania materiálu, ktorý ešte nebol prijatý na sklad.","",""
"chart_sk_112000","Material in stock","112000","asset_current","False","False","Materiál na sklade","Value of raw materials and supplies held in the company's warehouse.","Hodnota materiálu evidovaného na sklade spoločnosti.","",""
"chart_sk_119000","Material on the way","119000","asset_current","False","False","Materiál na ceste","Value of materials purchased but still in transit and not yet received into the warehouse.","Hodnota nakúpeného materiálu, ktorý je ešte na ceste a nebol prijatý na sklad.","",""
"chart_sk_121000","Unfinished production","121000","asset_current","False","False","Nedokončená výroba","Value of work in progress: partially completed production not yet ready for sale.","Hodnota nedokončenej výroby, ktorá ešte nie je pripravená na predaj.","",""
"chart_sk_122000","Semi-finished products of own production","122000","asset_current","False","False","Polotovary vlastnej výroby","Value of semi-finished goods manufactured internally, requiring further processing before sale.","Hodnota polotovarov vlastnej výroby, ktoré si vyžadujú ďalšie spracovanie pred predajom.","",""
"chart_sk_123000","Finished products","123000","asset_current","False","False","Výrobky","Value of finished goods manufactured by the company and ready for sale.","Hodnota hotových výrobkov vyrobených spoločnosťou, pripravených na predaj.","",""
"chart_sk_124000","Animals","124000","asset_current","False","False","Zvieratá","Value of young and other animals held as current (non-breeding) assets.","Hodnota mladých a ostatných zvierat evidovaných ako obežný majetok.","",""
"chart_sk_131000","Procurement of goods","131000","asset_current","True","False","Obstaranie tovaru","Costs accumulated while goods for resale are being procured but not yet received into stock.","Náklady akumulované počas obstarávania tovaru, ktorý ešte nebol prijatý na sklad.","",""
"chart_sk_132000","Goods in stock and in stores","132000","asset_current","False","False","Tovar na sklade a v predajniach","Value of goods for resale held in the warehouse or in stores.","Hodnota tovaru na sklade a v predajniach určeného na ďalší predaj.","",""
"chart_sk_133000","Property for sale","133000","asset_current","False","False","Nehnuteľnosť na predaj","Value of real estate property held for resale.","Hodnota nehnuteľností držaných na účely predaja.","",""
"chart_sk_139000","Goods in transit","139000","asset_current","False","False","Tovar na ceste","Value of goods purchased for resale that are still in transit.","Hodnota nakúpeného tovaru na ďalší predaj, ktorý je ešte na ceste.","",""
"chart_sk_191000","Allowances for material","191000","asset_current","False","False","Opravné položky k materiálu","Impairment allowance recognized against raw materials and supplies in stock.","Opravná položka vytvorená k materiálu na sklade.","",""
"chart_sk_192000","Provisions for work in progress","192000","asset_current","False","False","Opravné položky k nedokončenej výrobe","Impairment allowance recognized against work in progress.","Opravná položka vytvorená k nedokončenej výrobe.","",""
"chart_sk_193000","Provisions for own-produced semi-finished goods","193000","asset_current","False","False","Opravné položky k polotovarom vlastnej výroby","Impairment allowance recognized against own-produced semi-finished goods.","Opravná položka vytvorená k polotovarom vlastnej výroby.","",""
"chart_sk_194000","Allowances for finished products","194000","asset_current","False","False","Opravné položky k výrobkom","Impairment allowance recognized against finished products.","Opravná položka vytvorená k výrobkom.","",""
"chart_sk_195000","Allowances for animals","195000","asset_current","False","False","Opravné položky k zvieratám","Impairment allowance recognized against animals held in current assets.","Opravná položka vytvorená k zvieratám evidovaným v obežnom majetku.","",""
"chart_sk_196000","Allowances for goods","196000","asset_current","False","False","Opravné položky k tovaru","Impairment allowance recognized against goods held for resale.","Opravná položka vytvorená k tovaru na sklade.","",""
"chart_sk_211000","Treasury","211000","asset_cash","False","False","Pokladnica","Cash held in the company's physical cash register.","Hotovosť evidovaná v pokladnici spoločnosti.","",""
"chart_sk_213000","Valuables (Vouchers/Stamps)","213000","asset_cash","False","False","Ceniny","Value of stamps, vouchers, and other tradable value documents held by the company.","Hodnota ceninových poukazov, kolkov a iných hodnotových dokladov v držbe spoločnosti.","",""
"chart_sk_221000","Bank accounts","221000","asset_cash","False","False","Bankové účty","Funds held in the company's operating bank accounts.","Prostriedky vedené na bežných bankových účtoch spoločnosti.","",""
"chart_sk_221100","Blocked bank accounts (> 1 year)","221100","asset_cash","False","False","Zablokované bankové účty (> 1 rok)","Funds held in bank accounts that are contractually blocked for more than one year.","Prostriedky na bankových účtoch, ktoré sú zmluvne blokované na obdobie dlhšie ako jeden rok.","",""
"chart_sk_221900","Bank Overdraft (Liabilities)","221900","liability_current","True","False","Bankový prečerpanie (záväzky)","Negative bank balance representing short-term borrowing drawn through an overdraft facility.","Záporný zostatok na bankovom účte predstavujúci krátkodobé čerpanie kontokorentného úveru.","",""
"chart_sk_231000","Short-term bank loans","231000","asset_cash","False","False","Krátkodobé bankové úvery","Short-term loans drawn from banks to finance operating needs.","Krátkodobé úvery čerpané od bánk na financovanie prevádzkových potrieb.","",""
"chart_sk_232000","Discount loans","232000","asset_cash","False","False","Eskontné úvery","Short-term financing obtained through discounting of bills of exchange.","Krátkodobé financovanie získané eskontovaním zmeniek.","",""
"chart_sk_241000","Short-term bonds issued","241000","asset_cash","False","False","Vydané krátkodobé dlhopisy","Short-term bonds issued by the company to raise financing.","Krátkodobé dlhopisy vydané spoločnosťou na získanie financovania.","",""
"chart_sk_249000","Other short-term financial assistance","249000","asset_cash","False","False","Ostatné krátkodobé finančné výpomoci","Other short-term financial assistance received that is not a standard bank loan.","Ostatná krátkodobá finančná výpomoc, ktorá nie je štandardným bankovým úverom.","",""
"chart_sk_251000","ST Equity Securities (Trading)","251000","asset_cash","False","False","Majetkové cenné papiere na obchodovanie","Equity securities acquired with the intent of short-term trading.","Majetkové cenné papiere nadobudnuté s úmyslom krátkodobého obchodovania.","",""
"chart_sk_251100","Short Term Equity Securities - Related Parties","251100","asset_current","False","False","Krátkodobé majetkové cenné papiere - prepojené osoby","Short-term equity securities held in relation to related parties.","Krátkodobé majetkové cenné papiere držané vo vzťahu k prepojeným osobám.","",""
"chart_sk_252000","Own shares and treasury shares","252000","asset_cash","False","False","Vlastné akcie a vlastné obchodné podiely","Company's own shares and ownership interests reacquired and held in treasury.","Vlastné akcie a obchodné podiely spoločnosti spätne nadobudnuté a držané vo vlastníctve.","",""
"chart_sk_253000","Debt securities for trading","253000","asset_cash","False","False","Dlhové cenné papiere na obchodovanie","Debt securities acquired with the intent of short-term trading.","Dlhové cenné papiere nadobudnuté s úmyslom krátkodobého obchodovania.","",""
"chart_sk_253100","Short Term Debt Securities - Related Parties","253100","asset_cash","False","False","Krátkodobé dlhové cenné papiere - prepojené osoby","Short-term debt securities held in relation to related parties.","Krátkodobé dlhové cenné papiere držané vo vzťahu k prepojeným osobám.","",""
"chart_sk_255000","Own bonds","255000","asset_cash","False","False","Vlastné dlhopisy","Company's own bonds reacquired and held.","Vlastné dlhopisy spoločnosti spätne nadobudnuté a držané.","",""
"chart_sk_255100","Own bonds held (Contra)","255100","liability_current","True","False","Vlastné držané dlhopisy (kontra)","Contra account offsetting the company's own bonds held in the liability account.","Kontraúčet znižujúci hodnotu vlastných dlhopisov evidovaných v účte záväzkov.","",""
"chart_sk_256000","Debt securities with a maturity of one year or less held to maturity","256000","asset_cash","False","False","Dlhové cenné papiere so splatnosťou do jedného roka držané do splatnosti","Debt securities with remaining maturity of one year or less, held to maturity.","Dlhové cenné papiere so zostatkovou splatnosťou do jedného roka, držané do splatnosti.","",""
"chart_sk_257000","Other available-for-sale securities","257000","asset_cash","False","False","Ostatné realizovateľné cenné papiere","Other short-term available-for-sale securities not classified elsewhere.","Ostatné krátkodobé realizovateľné cenné papiere nezaradené inde.","",""
"chart_sk_259000","Acquisition of short-term financial assets","259000","asset_cash","False","False","Obstaranie krátkodobého finančného majetku","Costs accumulated while short-term financial assets are being acquired but not yet settled.","Náklady akumulované počas obstarávania krátkodobého finančného majetku, ktoré ešte neboli vysporiadané.","",""
"chart_sk_261000","Money in transit","261000","asset_current","False","False","Peniaze na ceste","Cash transferred between the cash register and bank accounts that is still in transit.","Hotovosť prevádzaná medzi pokladnicou a bankovými účtami, ktorá je ešte na ceste.","",""
"chart_sk_291100","Allowance for current financial assets","291000","asset_current","False","False","Opravné položky ku krátkodobému finančnému majetku","Impairment allowance recognized against short-term financial assets in general.","Opravná položka vytvorená ku krátkodobému finančnému majetku všeobecne.","",""
"chart_sk_291200","Allowance for short term Financial Assets (Related)","291100","asset_current","False","False","Opravná položka k krátkodobým finančným aktívam (súvisiace)","Impairment allowance recognized against short-term financial assets related to affiliated parties.","Opravná položka vytvorená ku krátkodobému finančnému majetku voči prepojeným osobám.","",""
"chart_sk_291000","Allowance for acquisition of fin. assets","291200","asset_cash","False","False","Príspevok na nadobudnutie finančných aktív","Impairment allowance recognized against financial assets still being acquired short-term.","Opravná položka vytvorená ku krátkodobo obstarávanému finančnému majetku.","",""
"chart_sk_311000","Receivables","311000","asset_receivable","True","False","Odberatelia","Amounts owed to the company by customers for goods or services delivered on credit.","Sumy, ktoré dlžia odberatelia spoločnosti za dodaný tovar alebo služby na úver.","",""
"chart_sk_311100","LT Trade Receivables (Third Party)","311100","asset_non_current","False","False","Dlhodobé pohľadávky z obchodného styku (tretie strany)","Long-term trade receivables owed by third-party customers.","Dlhodobé pohľadávky z obchodného styku voči tretím stranám.","",""
"chart_sk_311110","LT receivables - Related parties","311110","asset_non_current","False","False","Dlhodobé pohľadávky - Prepojené osoby","Long-term trade receivables owed by related parties.","Dlhodobé pohľadávky z obchodného styku voči prepojeným osobám.","",""
"chart_sk_311120","LT Receivables - Participating Interests","311120","asset_non_current","False","False","Dlhodobé pohľadávky - Podielové účasti","Long-term trade receivables owed by entities under participating interest.","Dlhodobé pohľadávky z obchodného styku voči účtovným jednotkám s podielovou účasťou.","",""
"chart_sk_311200","Short term Receivables - Related Parties","311200","asset_current","False","False","Krátkodobé pohľadávky - Prepojené osoby","Short-term trade receivables owed by related parties.","Krátkodobé pohľadávky z obchodného styku voči prepojeným osobám.","",""
"chart_sk_311300","ST Trade Rec. - Participating Interests","311300","asset_current","False","False","Krátkodobé obchodné odporúčanie - Podielové záujmy","Short-term trade receivables owed by entities under participating interest.","Krátkodobé pohľadávky z obchodného styku voči účtovným jednotkám s podielovou účasťou.","",""
