code,description,long_description,type,category,fs_mapping,parent_code,normal_balance,tags,default_vendors,regulatory_mapping,start_date,end_date,notes,subcategory,cash_flow_classification,cost_center,GAAP_classification,detailed_description
10276,Tax exempt investments,"This account represents tax exempt investments classified as Long-term Asset - Investments. Tax exempt investments - This account is used to record Investments in tax-exempt securities, like local and municipal bonds.

Purpose: This account tracks asset items specifically related to tax exempt investments. It is classified under Long-term Asset - Investments in accordance with US-GAAP standards.

Transaction Examples:
- Recording of tax exempt investments transactions
- Adjustments related to tax exempt investments
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Long-term Asset - Investments classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 4 legacy account(s) across 4 company/companies, indicating high standardization importance. The account is measured and reported in accordance with applicable IFRS and US-GAAP standards, ensuring accurate presentation of the entity's financial position.",Detail,Asset,Balance Sheet,10000,Debit,"asset, investing-activities, debit, investments",,IAS 1 - Presentation of Financial Statements; ASC 210 - Balance Sheet,,,,Long-term Asset - Investments,Investing Activities,CC-0000,US-GAAP Asset,"Tax exempt investments - This account is used to record Investments in tax-exempt securities, like local and municipal bonds.

Purpose: This account tracks asset items specifically related to tax exempt investments. It is classified under Long-term Asset - Investments in accordance with US-GAAP standards.

Transaction Examples:
- Recording of tax exempt investments transactions
- Adjustments related to tax exempt investments
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Long-term Asset - Investments classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 4 legacy account(s) across 4 company/companies, indicating high standardization importance."
10345,Uncategorized Asset,"This account represents uncategorized asset classified as Asset - General. Uncategorized Asset - This account is used to record transactions related to Uncategorized Asset.

Purpose: This account tracks asset items specifically related to uncategorized asset. It is classified under Asset - General in accordance with US-GAAP standards.

Transaction Examples:
- Recording of uncategorized asset transactions
- Adjustments related to uncategorized asset
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Asset - General classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 8 legacy account(s) across 8 company/companies, indicating high standardization importance. The account is measured and reported in accordance with applicable IFRS and US-GAAP standards, ensuring accurate presentation of the entity's financial position.",Detail,Asset,Balance Sheet,10000,Debit,"general, asset, operating-activities, debit",,IAS 1 - Presentation of Financial Statements; ASC 210 - Balance Sheet,,,,Asset - General,Operating Activities,CC-0000,US-GAAP Asset,"Uncategorized Asset - This account is used to record transactions related to Uncategorized Asset.

Purpose: This account tracks asset items specifically related to uncategorized asset. It is classified under Asset - General in accordance with US-GAAP standards.

Transaction Examples:
- Recording of uncategorized asset transactions
- Adjustments related to uncategorized asset
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Asset - General classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 8 legacy account(s) across 8 company/companies, indicating high standardization importance."
10414,U.S. savings bonds and investments,"This account represents u.s. savings bonds and investments classified as Current Asset - Cash and Cash Equivalents. U.S. savings bonds and investments - This account is used to record Investments in U.S. government bonds, treasury notes, and other securities.

Purpose: This account tracks asset items specifically related to u.s. savings bonds and investments. It is classified under Current Asset - Cash and Cash Equivalents in accordance with US-GAAP standards.

Transaction Examples:
- Recording of u.s. savings bonds and investments transactions
- Adjustments related to u.s. savings bonds and investments
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Current Asset - Cash and Cash Equivalents classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 4 legacy account(s) across 4 company/companies, indicating high standardization importance. The account is measured and reported in accordance with applicable IFRS and US-GAAP standards, ensuring accurate presentation of the entity's financial position.",Detail,Asset,Balance Sheet,10000,Debit,"debit, equivalents, asset, operating-activities, cash, and",,IAS 7 - Statement of Cash Flows; ASC 305 - Cash and Cash Equivalents,,,,Current Asset - Cash and Cash Equivalents,Operating Activities,CC-0000,US-GAAP Asset,"U.S. savings bonds and investments - This account is used to record Investments in U.S. government bonds, treasury notes, and other securities.

Purpose: This account tracks asset items specifically related to u.s. savings bonds and investments. It is classified under Current Asset - Cash and Cash Equivalents in accordance with US-GAAP standards.

Transaction Examples:
- Recording of u.s. savings bonds and investments transactions
- Adjustments related to u.s. savings bonds and investments
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Current Asset - Cash and Cash Equivalents classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 4 legacy account(s) across 4 company/companies, indicating high standardization importance."
10483,Amortization expenses,"This account represents amortization expenses classified as Asset - General. Amortization expenses - This account is used to record Current period cost of amortizable assets.

Purpose: This account tracks asset items specifically related to amortization expenses. It is classified under Asset - General in accordance with US-GAAP standards.

Transaction Examples:
- Recording of amortization expenses transactions
- Adjustments related to amortization expenses
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Asset - General classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 4 legacy account(s) across 4 company/companies, indicating high standardization importance. The account is measured and reported in accordance with applicable IFRS and US-GAAP standards, ensuring accurate presentation of the entity's financial position.",Detail,Asset,Balance Sheet,10000,Debit,"general, asset, operating-activities, debit",,IAS 1 - Presentation of Financial Statements; ASC 210 - Balance Sheet,,,,Asset - General,Operating Activities,CC-0000,US-GAAP Asset,"Amortization expenses - This account is used to record Current period cost of amortizable assets.

Purpose: This account tracks asset items specifically related to amortization expenses. It is classified under Asset - General in accordance with US-GAAP standards.

Transaction Examples:
- Recording of amortization expenses transactions
- Adjustments related to amortization expenses
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Asset - General classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 4 legacy account(s) across 4 company/companies, indicating high standardization importance."
10552,Penalties & settlements,"This account represents penalties & settlements classified as Fixed Asset - Vehicles. Penalties & settlements - This account is used to record Costs of settlements and fines other than vehicle fines.

Purpose: This account tracks asset items specifically related to penalties & settlements. It is classified under Fixed Asset - Vehicles in accordance with US-GAAP standards.

Transaction Examples:
- Recording of penalties & settlements transactions
- Adjustments related to penalties & settlements
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Fixed Asset - Vehicles classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 5 legacy account(s) across 4 company/companies, indicating high standardization importance. The account is measured and reported in accordance with applicable IFRS and US-GAAP standards, ensuring accurate presentation of the entity's financial position.",Detail,Asset,Balance Sheet,10000,Debit,"asset, investing-activities, vehicles, debit",,IAS 1 - Presentation of Financial Statements; ASC 210 - Balance Sheet,,,,Fixed Asset - Vehicles,Investing Activities,CC-0000,US-GAAP Asset,"Penalties & settlements - This account is used to record Costs of settlements and fines other than vehicle fines.

Purpose: This account tracks asset items specifically related to penalties & settlements. It is classified under Fixed Asset - Vehicles in accordance with US-GAAP standards.

Transaction Examples:
- Recording of penalties & settlements transactions
- Adjustments related to penalties & settlements
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Fixed Asset - Vehicles classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 5 legacy account(s) across 4 company/companies, indicating high standardization importance."
10621,Vehicle expenses,"This account records the cost of vehicle expenses used in the entity's operations. These tangible assets are capitalized and depreciated over their useful economic lives in accordance with IAS 16 and ASC 360. The entity must regularly assess these assets for impairment and maintain detailed records of acquisition cost, accumulated depreciation, and any subsequent expenditures that qualify for capitalization.",Detail,Asset,Balance Sheet,10000,Debit,"vehicles, auto, debit, transportation, fleet, asset, investing-activities, mobile",,IAS 1 - Presentation of Financial Statements; ASC 210 - Balance Sheet,,,,Fixed Asset - Vehicles,Investing Activities,CC-0000,US-GAAP Asset,"Vehicle expenses - This account is used to record Costs for the use of vehicles.

Purpose: This account tracks asset items specifically related to vehicle expenses. It is classified under Fixed Asset - Vehicles in accordance with US-GAAP standards.

Transaction Examples:
- Recording of vehicle expenses transactions
- Adjustments related to vehicle expenses
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Fixed Asset - Vehicles classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 13 legacy account(s) across 4 company/companies, indicating high standardization importance."
10690,Vehicle expenses:Vehicle gas & fuel,"This account records the cost of vehicle expenses:vehicle gas & fuel used in the entity's operations. These tangible assets are capitalized and depreciated over their useful economic lives in accordance with IAS 16 and ASC 360. The entity must regularly assess these assets for impairment and maintain detailed records of acquisition cost, accumulated depreciation, and any subsequent expenditures that qualify for capitalization.",Detail,Asset,Balance Sheet,10000,Debit,"vehicles, auto, debit, transportation, fleet, asset, investing-activities, mobile","Shell, Chevron, BP, ExxonMobil, Speedway",IAS 1 - Presentation of Financial Statements; ASC 210 - Balance Sheet,,,,Fixed Asset - Vehicles,Investing Activities,CC-0000,US-GAAP Asset,"Vehicle expenses:Vehicle gas & fuel - This account is used to record Costs to fuel vehicles.

Purpose: This account tracks asset items specifically related to vehicle expenses:vehicle gas & fuel. It is classified under Fixed Asset - Vehicles in accordance with US-GAAP standards.

Transaction Examples:
- Recording of vehicle expenses:vehicle gas & fuel transactions
- Adjustments related to vehicle expenses:vehicle gas & fuel
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Fixed Asset - Vehicles classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 4 legacy account(s) across 4 company/companies, indicating high standardization importance."
10759,Vehicle insurance,"This account records the cost of vehicle insurance used in the entity's operations. These tangible assets are capitalized and depreciated over their useful economic lives in accordance with IAS 16 and ASC 360. The entity must regularly assess these assets for impairment and maintain detailed records of acquisition cost, accumulated depreciation, and any subsequent expenditures that qualify for capitalization.",Detail,Asset,Balance Sheet,10000,Debit,"vehicles, auto, premium, debit, transportation, fleet, risk, asset, investing-activities, coverage, mobile","State Farm, Geico, Progressive, Allstate",IAS 1 - Presentation of Financial Statements; ASC 210 - Balance Sheet,,,,Fixed Asset - Vehicles,Investing Activities,CC-0000,US-GAAP Asset,"Vehicle insurance - This account is used to record Costs to insure vehicles.

Purpose: This account tracks asset items specifically related to vehicle insurance. It is classified under Fixed Asset - Vehicles in accordance with US-GAAP standards.

Transaction Examples:
- Recording of vehicle insurance transactions
- Adjustments related to vehicle insurance
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Fixed Asset - Vehicles classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance."
10828,Vehicle registration,"This account records the cost of vehicle registration used in the entity's operations. These tangible assets are capitalized and depreciated over their useful economic lives in accordance with IAS 16 and ASC 360. The entity must regularly assess these assets for impairment and maintain detailed records of acquisition cost, accumulated depreciation, and any subsequent expenditures that qualify for capitalization.",Detail,Asset,Balance Sheet,10000,Debit,"vehicles, auto, debit, transportation, fleet, asset, investing-activities, mobile",,IAS 1 - Presentation of Financial Statements; ASC 210 - Balance Sheet,,,,Fixed Asset - Vehicles,Investing Activities,CC-0000,US-GAAP Asset,"Vehicle registration - This account is used to record Costs to register vehicles with a local authority.

Purpose: This account tracks asset items specifically related to vehicle registration. It is classified under Fixed Asset - Vehicles in accordance with US-GAAP standards.

Transaction Examples:
- Recording of vehicle registration transactions
- Adjustments related to vehicle registration
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Fixed Asset - Vehicles classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance."
10897,Vehicle repairs,"This account records the cost of vehicle repairs used in the entity's operations. These tangible assets are capitalized and depreciated over their useful economic lives in accordance with IAS 16 and ASC 360. The entity must regularly assess these assets for impairment and maintain detailed records of acquisition cost, accumulated depreciation, and any subsequent expenditures that qualify for capitalization.",Detail,Asset,Balance Sheet,10000,Debit,"vehicles, auto, debit, transportation, fleet, asset, investing-activities, mobile",,IAS 1 - Presentation of Financial Statements; ASC 210 - Balance Sheet,,,,Fixed Asset - Vehicles,Investing Activities,CC-0000,US-GAAP Asset,"Vehicle repairs - This account is used to record Costs to repair vehicles.

Purpose: This account tracks asset items specifically related to vehicle repairs. It is classified under Fixed Asset - Vehicles in accordance with US-GAAP standards.

Transaction Examples:
- Recording of vehicle repairs transactions
- Adjustments related to vehicle repairs
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Fixed Asset - Vehicles classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance."
