"id","parent_id","active","name","code","account_type","reconcile","non_trade","name@ar"
"bh_group_30","","False","Other gains & losses - Expenses","5009","expense","","","الأرباح والخسائر الأخرى - المصروفات"
"bh_group_31","","False","Misc. Office Expenses","5011","expense","","","متفرقات. نفقات مكتبية"
"bh_account_100102","bh_group_02","True","Bank Suspense Account","100102","asset_current","False","","حساب التعليق البنكي"
"bh_account_100103","bh_group_02","True","Outstanding Receipts","100103","asset_current","False","","الإيصالات المستحقة"
"bh_account_100104","bh_group_02","True","Outstanding Payments","100104","asset_current","False","","المدفوعات المستحقة"
"bh_account_100106","bh_group_02","True","Credit cards","100106","asset_current","False","","البطاقات الائتمانية"
"bh_account_100107","bh_group_02","True","Post Dated Cheques Received","100107","asset_current","False","","الشيكات مؤجلة الصرف المستلمة"
"bh_account_100201","bh_group_04","True","Accounts Receivable","100201","asset_receivable","True","","الحسابات المدينة"
"bh_account_100202","bh_group_04","True","Accounts Receivable (PoS)","100202","asset_receivable","True","","الحسابات المدينة (نقطة البيع)"
"bh_account_100203","bh_group_04","True","Other Receivable","100203","asset_current","False","","المستحقات الأخرى"
"bh_account_100301","bh_group_05","True","Deposit - Office Rent","100301","asset_current","False","","إيداع - إيجار المكتب"
"bh_account_100302","bh_group_05","True","Deposits - Customs","100302","asset_current","False","","الإيداعات - الجمارك"
"bh_account_100303","bh_group_05","True","Deposit to Immigration (Visa)","100303","asset_current","False","","إيداع للهجرة (فيزا)"
"bh_account_100304","bh_group_05","True","Deposit Others","100304","asset_current","False","","إيداع آخر"
"bh_account_100401","bh_group_06","True","Prepaid Medical Insurance","100401","asset_current","False","","التأمين الصحي مسبق الدفع"
"bh_account_100402","bh_group_06","True","Prepaid Life Insurance","100402","asset_current","False","","التأمين على الحياة مسبق الدفع"
"bh_account_100403","bh_group_06","True","Prepaid Office Rent","100403","asset_current","False","","إيجار المكتب مسبق الدفع"
"bh_account_100404","bh_group_06","True","Prepaid Other Insurance","100404","asset_current","False","","التأمينات الأخرى مسبقة الدفع"
"bh_account_100405","bh_group_06","True","Prepaid License Fees","100405","asset_current","False","","رسوم الرخصة مسبقة الدفع"
"bh_account_100406","bh_group_06","True","Prepaid Maintenance","100406","asset_current","False","","الصيانة مسبقة الدفع"
"bh_account_100407","bh_group_06","True","Prepaid Employees Housing","100407","asset_current","False","","سكن الموظفين مسبق الدفع"
"bh_account_100408","bh_group_06","True","Prepaid Schooling Fees","100408","asset_current","False","","الرسوم الدراسية مسبقة الدفع"
"bh_account_100409","bh_group_06","True","Prepaid Consultancy Fees","100409","asset_current","False","","الرسوم الاستشارية مسبقة الدفع"
"bh_account_100410","bh_group_06","True","Prepaid Legal Fees","100410","asset_current","False","","الرسوم القانونية مسبقة الدفع"
"bh_account_100411","bh_group_06","True","Prepaid Sponsorship Fees","100411","asset_current","False","","رسوم الكفالة مسبقة الدفع"
"bh_account_100412","bh_group_06","True","Prepaid Advertisement Expenses","100412","asset_current","False","","نفقات الإعلان مسبقة الدفع"
"bh_account_100413","bh_group_06","True","Prepaid Bank Guarantee","100413","asset_current","False","","ضمان البنك مسبق الدفع"
"bh_account_100414","bh_group_06","True","Prepaid Finance charge for Loans","100414","asset_current","False","","رسوم التمويل مسبقة الدفع للقروض"
"bh_account_100415","bh_group_06","True","Other Prepayments","100415","asset_current","False","","المدفوعات المسبقة الأخرى"
"bh_account_100416","bh_group_06","True","Prepaid Expenses","100416","asset_current","False","","المصروفات المدفوعة مقدما"
"bh_account_100501","bh_group_07","True","Handling Difference in Inventory","100501","asset_current","False","","التعامل مع الفرق في المخزون"
"bh_account_100502","bh_group_07","True","Inventory Valuation","100502","asset_current","False","","تقييم المخزون"
"bh_account_100503","bh_group_07","True","Stock Incoming","100503","asset_current","False","","المخزون الوارد"
"bh_account_100504","bh_group_07","True","Stock Outgoing","100504","asset_current","False","","المخزون الصادر"
"bh_account_100505","bh_group_07","True","Work in Progress (Inventory)","100505","asset_current","False","","العمل قيد التنفيذ (المخزون)"
"bh_account_100601","bh_group_08","True","Accumulated Depreciation of Motor Vehicles","100601","asset_fixed","False","","حساب الإهلاك للمركبات"
"bh_account_100602","bh_group_08","True","Amortisation on Leasehold Improvement","100602","asset_fixed","False","","الاستهلاك عند تحسين العقارات المستأجرة"
"bh_account_100603","bh_group_08","True","Leasehold Improvement","100603","asset_fixed","False","","تحسين العقارات المستأجرة"
"bh_account_100604","bh_group_08","True","Furniture and Equipment","100604","asset_fixed","False","","الأثاث والمعدات"
"bh_account_100605","bh_group_08","True","Computer Hardware & Software","100605","asset_fixed","False","","أجهزة وبرامج الحاسوب"
"bh_account_100606","bh_group_08","True","Accumulated Depreciation of Furniture & Office Equipment","100606","asset_fixed","False","","حساب الإهلاك للأثاث والأدوات المكتبية"
"bh_account_100607","bh_group_08","True","Accumulated Depreciation of Computer Hardware & Software","100607","asset_fixed","False","","حساب الإهلاك لبرامج وأجهزة الحاسوب"
"bh_account_100701","bh_group_09","True","Registration of Trademarks","100701","asset_current","False","","تسجيل العلامات التجارية"
"bh_account_100801","bh_group_10","True","Right of use Asset (IFRS 16)","100801","asset_fixed","False","","حق استخدام الأصل (IFRS 16)"
"bh_account_100802","bh_group_10","True","Accumulated Depreciation Right of use Asset (IFRS 16)","100802","asset_fixed","False","","حق استخدام الأصل للإهلاك المتراكم (IFRS 16)"
"bh_account_200101","bh_group_11","True","Payables","200101","liability_payable","True","","المبالغ مستحقة الدفع"
"bh_account_200102","bh_group_11","True","Trade Payables","200102","liability_payable","True","","الذمم التجارية الدائنة"
"bh_account_200103","bh_group_11","True","Employees Payables","200103","liability_payable","True","","المبالغ المستحقة للموظفين"
"bh_account_200104","bh_group_11","True","Credit Notes to Customers","200104","liability_current","False","","الإشعارات الدائنة للعملاء"
"bh_account_200201","bh_group_12","True","Accrued - Salaries","200201","liability_current","False","","مستحق - المرتبات"
"bh_account_200202","bh_group_12","True","Accrued - Commissions","200202","liability_current","False","","مستحق - العمولات"
"bh_account_200203","bh_group_12","True","Accrued - Staff Bonus","200203","liability_current","False","","مكافآت الموظفين المستحقة"
"bh_account_200204","bh_group_12","True","Accrued Other Personnel Cost","200204","liability_current","False","","تكاليف الموظفين الآخرين المستحقة"
"bh_account_200205","bh_group_12","True","Accrued - Sponsorship","200205","liability_current","False","","مستحق - الكفالة"
"bh_account_200301","bh_group_13","True","Accrued - Utilities","200301","liability_current","False","","مستحق - المرافق"
"bh_account_200302","bh_group_13","True","Accrued - Telephone","200302","liability_current","False","","مستحق - الهاتف"
"bh_account_200303","bh_group_13","True","Accrued - Audit Fees","200303","liability_current","False","","مستحق - رسوم التدقيق"
"bh_account_200304","bh_group_13","True","Accrued - Office Rent","200304","liability_current","False","","مستحق - إيجار المكتب"
"bh_account_200305","bh_group_13","True","Accrued Others","200305","liability_current","False","","المستحقات الأخرى"
"bh_account_200306","bh_group_13","True","Accrued Bahrain Customs","200306","liability_current","False","","جمارك البحرين المستحقة"
"bh_account_200401","bh_group_14","True","Deferred income","200401","liability_current","False","","الدخل المؤجل"
"bh_account_200501","bh_group_15","True","Leave Tickets Provision","200501","liability_non_current","False","","حكم تذاكر الطيران"
"bh_account_200502","bh_group_15","True","Leave Days Provision","200502","liability_non_current","False","","حكم أيام الإجازة"
"bh_account_200503","bh_group_15","True","End of Service Provision","200503","liability_non_current","False","","حكم نهاية الخدمة"
"bh_account_200504","bh_group_15","True","Income Tax Provision","200504","liability_non_current","False","","حكم ضريبة الدخل"
"bh_account_200901","bh_group_16","True","VAT Input","200901","asset_current","False","","مدخلات ضريبة القيمة المضافة"
"bh_account_200902","bh_group_16","True","VAT Output","200902","liability_current","False","","مخرجات ضريبة القيمة المضافة"
"bh_account_200903","bh_group_16","True","VAT Receivable","200903","asset_receivable","True","True","ضريبة القيمة المضافة مستحقة الدفع"
"bh_account_200904","bh_group_16","True","VAT Payable","200904","liability_payable","True","True","ضريبة القيمة المضافة المستحقة"
"bh_account_200905","bh_group_16","True","Tax Payable","200905","liability_current","False","","الضريبة المستحقة"
"bh_account_200906","bh_group_16","True","Tax Receivable","200906","asset_current","False","","ضريبة مستحقة القبض"
"bh_account_200907","bh_group_16","True","Recoverable VAT Input - Reverse Charge","200907","asset_current","False","","مدخلات ضريبة القيمة المضافة القابلة للاسترداد - الرسوم العكسية"
"bh_account_300100","","True","Retained Earnings","300100","equity","False","","الأرباح المستبقاة"
"bh_account_300101","","True","Undistributed Profits/Losses","300101","equity_unaffected","False","","الأرباح/الخسائر غير الموزعة"
"bh_account_400100","bh_group_17","True","Income Clearing Account","400100","income","False","","حساب مقاصة الدخل"
"bh_account_400101","bh_group_17","True","Sales Account","400101","income","False","","حساب المبيعات"
"bh_account_400102","bh_group_17","True","Sales of I/C","400102","income","False","","المبيعات بين الشركات التابعة"
"bh_account_400103","bh_group_17","True","Sales from Other Region","400103","income","False","","المبيعات من منطقة أخرى"
"bh_account_400104","bh_group_17","True","Management Consultancy Fees","400104","income","False","","رسوم الاستشارة الإدارية"
"bh_account_400105","bh_group_17","True","Advertising Income","400105","income","False","","دخل الإعلان"
"bh_account_400201","bh_group_18","True","Other Income","400201","income_other","False","","دخل آخر"
"bh_account_400301","bh_group_19","True","Gain on Difference on Exchange","400301","income_other","False","","أرباح فرق صرف العملة"
"bh_account_400302","bh_group_19","True","Cash Difference Gain","400302","income_other","False","","أرباح فرق النقد"
"bh_account_400303","bh_group_19","True","Excess In Till","400303","income_other","False","","الفائض في صندوق النقود"
"bh_account_400304","bh_group_19","True","Cash Discount Gain","400304","income_other","False","","مكاسب الخصم النقدي"
"bh_account_500101","bh_group_20","True","Cost of Goods Sold in Trading","500101","expense_direct_cost","False","","تكاليف البضائع المباعة في التجارة"
"bh_account_500102","bh_group_20","True","Cost Of Goods Sold I/C Sales","500102","expense_direct_cost","False","","تكاليف البضائع المباعة - المبيعات بين الشركات التابعة"
"bh_account_500200","bh_group_21","True","Expense Clearing Account","500200","expense","False","","حساب مقاصة النفقات"
"bh_account_500201","bh_group_21","True","Medical Insurance","500201","expense","False","","التأمين الصحي"
"bh_account_500202","bh_group_21","True","End of Service Indemnity","500202","expense","False","","تعويض نهاية الخدمة"
"bh_account_500203","bh_group_21","True","Sponsorship Fees","500203","expense","False","","رسوم الكفالة"
"bh_account_500301","bh_group_22","True","Basic Salary","500301","expense","False","","الراتب الأساسي"
"bh_account_500302","bh_group_22","True","Housing Allowance","500302","expense","False","","بدل السكن"
"bh_account_500303","bh_group_22","True","Transportation Allowance","500303","expense","False","","بدل المواصلات"
"bh_account_500304","bh_group_22","True","Leave Ticket","500304","expense","False","","تذكرة الطيران"
"bh_account_500305","bh_group_22","True","Leave Salary","500305","expense","False","","راتب الإجازة"
"bh_account_500306","bh_group_22","True","Sales Commission","500306","expense","False","","عمولة المبيعات"
"bh_account_500307","bh_group_22","True","Visa Expenses","500307","expense","False","","نفقات الفيزا"
"bh_account_500308","bh_group_22","True","Staff Other Allowances","500308","expense","False","","نفقات الموظفين الأخرى"
"bh_account_500309","bh_group_22","True","Air tickets","500309","expense","False","","تذاكر الطيران"
"bh_account_500401","bh_group_23","True","Office Rent","500401","expense","False","","إيجار المكتب"
"bh_account_500402","bh_group_23","True","Warehouse Rent","500402","expense","False","","إيجار المستودع"
"bh_account_500403","bh_group_23","True","Water & Electricity","500403","expense","False","","الماء والكهرباء"
"bh_account_500404","bh_group_23","True","Other Utility Charges","500404","expense","False","","رسوم المرافق الأخرى"
"bh_account_500501","bh_group_24","True","Audit Fees","500501","expense","False","","رسوم التدقيق"
"bh_account_500502","bh_group_24","True","Legal fees","500502","expense","False","","الرسوم القانونية"
"bh_account_500503","bh_group_24","True","Trade License Fees","500503","expense","False","","رسوم الرخصة التجارية"
"bh_account_500504","bh_group_24","True","Others - Professional Fees","500504","expense","False","","غير ذلك - الرسوم المهنية"
"bh_account_500505","bh_group_24","True","Insurance","500505","expense","False","","التأمين"
"bh_account_500506","bh_group_24","True","Previous Year Adjustments Account","500506","expense","False","","حساب تعديلات العام الماضي"
"bh_account_500601","bh_group_25","True","Credit Card Charges","500601","expense","False","","رسوم البطاقة الائتمانية"
"bh_account_500602","bh_group_25","True","Other Bank Charges","500602","expense","False","","الرسوم البنكية الأخرى"
"bh_account_500603","bh_group_25","True","Bank Finance & Loan Charges","500603","expense","False","","رسوم القروض والتمويل البنكي"
"bh_account_500651","bh_group_26","True","Income Tax Expense","500651","expense","False","","نفقات ضريبة الدخل"
"bh_account_500701","bh_group_27","True","Other - Advertising Expenses","500701","expense","False","","غير ذلك - نفقات الإعلان"
"bh_account_500702","bh_group_27","True","Training","500702","expense","False","","التدريب"
"bh_account_500703","bh_group_27","True","Consultancy Fees","500703","expense","False","","الرسوم الاستشارية"
"bh_account_500801","bh_group_28","True","Amortisation on Leasehold Improvement","500801","expense_depreciation","False","","الاستهلاك عند تحسين العقارات المستأجرة"
"bh_account_500802","bh_group_28","True","Vehicle Expenses","500802","expense_depreciation","False","","نفقات المركبات"
"bh_account_500803","bh_group_28","True","Depreciation of Motor Vehicles","500803","expense_depreciation","False","","إهلاك المركبات"
"bh_account_500804","bh_group_28","True","Depreciation of Furniture & Office Equipment","500804","expense_depreciation","False","","إهلاك الأثاث والمعدات المكتبية"
"bh_account_500805","bh_group_28","True","Depreciation of Computer Hard & Soft","500805","expense_depreciation","False","","إهلاك أجهزة وبرامج الحاسوب"
"bh_account_500851","bh_group_29","True","Depreciation on Right of use Asset (IFRS 16)","500851","expense_depreciation","False","","إهلاك حق استخدام الأصل (IFRS 16)"
"bh_account_500901","bh_group_30","True","Loss on Fixed Assets Disposal","500901","expense","False","","خسائر التصرف في الأصول الثابتة"
"bh_account_500902","bh_group_30","True","Cash Shortage","500902","expense","False","","القصور النقدي"
"bh_account_500903","bh_group_30","True","Loss on Difference on Exchange","500903","expense","False","","حسائر فرق صرف العملة"
"bh_account_500904","bh_group_30","True","Write Off Receivables & Payables","500904","expense","False","","شطب الحسابات المدينة والدائنة"
"bh_account_500905","bh_group_30","True","Write Off Inventory","500905","expense","False","","شطب المخزون"
"bh_account_500906","bh_group_30","True","Others - Provision & Write Off","500906","expense","False","","غير ذلك - المَحافظ والتعديلات"
"bh_account_500907","bh_group_30","True","Others","500907","expense","False","","غير ذلك"
"bh_account_500908","bh_group_30","True","Other Non-Operating Expenses","500908","expense","False","","النفقات الأخرى غير التشغيلية"
"bh_account_500909","bh_group_30","True","Cash Difference Loss","500909","expense","False","","خسائر فريق النقد"
"bh_account_501101","bh_group_31","True","Telephone","501101","expense","False","","الهاتف"
"bh_account_501102","bh_group_31","True","Others - Communication","501102","expense","False","","غير ذلك - التواصل"
"bh_account_501103","bh_group_31","True","Maintenance","501103","expense","False","","الصيانة"
"bh_account_501104","bh_group_31","True","Security & Guard","501104","expense","False","","الأمن والحراسة"
"bh_account_501105","bh_group_31","True","Cleaning","501105","expense","False","","التنظيف"
"bh_account_501106","bh_group_31","True","Others - Office Various Expenses","501106","expense","False","","غير ذلك - نفقات المكتب المختلفة"
"bh_account_501107","bh_group_31","True","Cash Discount Loss","501107","expense","False","","خسارة الخصم النقدي"
