id,name,sector,description
"KPD011316","01.13.16","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Špinat"
"KPD011317","01.13.17","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Artičoke"
"KPD011318","01.13.18","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Ostalo lisnato i stabljičasto povrće"
"KPD011321","01.13.21","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Lubenice"
"KPD011329","01.13.29","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Dinje, d. n."
"KPD011331","01.13.31","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Čili i feferoni (vrsta Capsicum)"
"KPD011332","01.13.32","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Krastavci i kornišoni"
"KPD011333","01.13.33","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Patlidžani"
"KPD011334","01.13.34","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Rajčice"
"KPD011339","01.13.39","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Ostalo plodovito povrće, d. n."
"KPD011341","01.13.41","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Mrkva i bijela repa"
"KPD011342","01.13.42","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Češnjak"
"KPD011343","01.13.43","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Luk"
"KPD011344","01.13.44","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Poriluk i ostale vrste luka"
"KPD011349","01.13.49","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Korjenasto, lukovičasto i gomoljasto povrće, d. n."
"KPD011351","01.13.51","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Krumpir"
"KPD011352","01.13.52","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Slatki krumpir"
"KPD011353","01.13.53","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Manioka"
"KPD011354","01.13.54","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Taro"
"KPD011359","01.13.59","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Jestivo korjenasto i gomoljasto povrće s visokom koncentracijom škroba ili inulina, d. n."
"KPD011360","01.13.60","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Sjemenje povrća, osim sjemenja šećerne repe"
"KPD011371","01.13.71","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Šećerna repa"
"KPD011372","01.13.72","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Sjemenje šećerne repe"
"KPD011380","01.13.80","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Gljive i tartufi"
"KPD011390","01.13.90","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Povrće, svježe, d. n."
"KPD011400","01.14.00","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Šećerna trska"
"KPD011500","01.15.00","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Neprerađeni duhan"
"KPD011601","01.16.01","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Pamuk, očišćen od sjemena ili neočišćen"
"KPD011602","01.16.02","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Juta, kenaf i ostala tekstilna likova vlakna, sirova ili močena"
"KPD011609","01.16.09","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Predivo bilje, d. n."
"KPD011910","01.19.10","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Krmni usjevi"
"KPD011921","01.19.21","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Rezano cvijeće i cvjetni pupovi"
"KPD011922","01.19.22","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Sjemenje cvijeća"
"KPD011931","01.19.31","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Sjemenje repe i sjemenje krmnog bilja"
"KPD011932","01.19.32","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Ostali sirovi biljni materijali"
"KPD012101","01.21.01","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Svježe stolno grožđe"
"KPD012102","01.21.02","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Ostalo grožđe, svježe"
"KPD012201","01.22.01","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Svježi avokado"
"KPD012202","01.22.02","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Svježe banane, svježe banane plantana i slično"
"KPD012203","01.22.03","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Svježe datulje"
"KPD012204","01.22.04","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Svježe smokve"
"KPD012209","01.22.09","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Svježe tropsko i suptropsko voće, d. n."
"KPD012301","01.23.01","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Svježi pomelo i svježi grejp"
"KPD012302","01.23.02","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Svježi limuni i svježe limete"
"KPD012303","01.23.03","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Svježe naranče"
"KPD012304","01.23.04","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Svježe tangerine, svježe mandarine, svježe klementine"
"KPD012309","01.23.09","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Svježi agrumi, d. n."
"KPD012410","01.24.10","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Svježe jabuke"
"KPD012421","01.24.21","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Svježe kruške"
"KPD012422","01.24.22","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Svježe dunje"
"KPD012423","01.24.23","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Svježe marelice"
"KPD012424","01.24.24","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Svježe trešnje"
"KPD012425","01.24.25","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Svježe breskve"
"KPD012426","01.24.26","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Svježe nektarine"
"KPD012427","01.24.27","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Svježe šljive"
"KPD012428","01.24.28","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Svježe divlje šljive"
"KPD012429","01.24.29","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Ostalo svježe jezgričasto i koštuničavo voće, d. n."
"KPD012511","01.25.11","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Kivi"
"KPD012512","01.25.12","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Maline"
"KPD012513","01.25.13","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Jagode"
"KPD012519","01.25.19","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Bobičasto i drugo voće roda Vaccinium, d. n."
"KPD012520","01.25.20","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Sjemenje voća"
"KPD012531","01.25.31","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Bademi"
"KPD012532","01.25.32","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Kesteni"
"KPD012533","01.25.33","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Lješnjaci"
"KPD012534","01.25.34","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Pistacije"
"KPD012535","01.25.35","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Orasi"
"KPD012539","01.25.39","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Orašasti plodovi, d. n."
"KPD012590","01.25.90","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Ostalo bobičasto i orašasto voće i ostalo voće, d. n."
"KPD012611","01.26.11","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Stolne masline"
"KPD012612","01.26.12","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Masline za proizvodnju maslinova ulja"
"KPD012620","01.26.20","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Kokosovi orasi"
"KPD012630","01.26.30","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Ostali uljani plodovi"
"KPD012701","01.27.01","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Kava u zrnu, nepržena"
"KPD012702","01.27.02","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Čaj, u listovima"
"KPD012703","01.27.03","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Mate-čaj, u listovima"
"KPD012704","01.27.04","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Kakao u zrnu"
"KPD012709","01.27.09","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Usjevi za pripremanje napitaka, d. n."
"KPD012811","01.28.11","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Papar (vrsta Piper), sirovi"
"KPD012812","01.28.12","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Muškatni oraščić, macis i kardamon, sirovi"
"KPD012813","01.28.13","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Anis, badijan, korijandar, kumin, kim, komorač i bobice kleke, sirovi"
"KPD012814","01.28.14","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Cimet, sirovi"
"KPD012815","01.28.15","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Klinčići (cijele peteljke), sirovi"
"KPD012816","01.28.16","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Đumbir, suhi, sirovi"
"KPD012817","01.28.17","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Vanilija, sirova"
"KPD012819","01.28.19","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Začini, neprerađeni, d. n."
"KPD012820","01.28.20","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Hmelj"
"KPD012830","01.28.30","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Bilje prvenstveno za uporabu u parfumeriji i farmaciji, za insekticide i fungicide i u slične svrhe"
"KPD012910","01.29.10","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Prirodni kaučuk"
"KPD012920","01.29.20","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Božićna drvca, rezana"
"KPD012930","01.29.30","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Biljni materijali prvenstveno za uporabu u pletarstvu ili za punjenje i postavljanje ili u bojanju i štavljenju"
"KPD013000","01.30.00","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Sadni materijal: živo bilje, lukovice, gomolji i korijenje, reznice i cijepovi; micelij gljiva"
"KPD014110","01.41.10","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Mliječna goveda, živa"
"KPD014120","01.41.20","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Sirovo kravlje mlijeko"
"KPD014130","01.41.30","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Sperma mliječnih pasmina goveda"
"KPD014211","01.42.11","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Ostala goveda i bivoli, osim teladi, živi"
"KPD014212","01.42.12","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Telad goveda i bivola, živa"
"KPD014220","01.42.20","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Sperma mesnih pasmina goveda"
"KPD014301","01.43.01","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Konji, živi"
"KPD014302","01.43.02","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Magarci, mule i mazge, živi"
"KPD014400","01.44.00","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Deve i ljame, žive"
"KPD014511","01.45.11","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Ovce, žive"
"KPD014512","01.45.12","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Koze, žive"
"KPD014521","01.45.21","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Sirovo ovčje mlijeko"
"KPD014522","01.45.22","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Sirovo kozje mlijeko"
"KPD014530","01.45.30","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Šišana ovčja i kozja vuna, masna"
"KPD014600","01.46.00","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Svinje, žive"
"KPD014711","01.47.11","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Kokoši, žive"
"KPD014712","01.47.12","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Purani, živi"
"KPD014713","01.47.13","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Guske, žive"
"KPD014714","01.47.14","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Patke i biserke, žive"
"KPD014715","01.47.15","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Ostala perad, živa"
"KPD014721","01.47.21","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Kokošja jaja u ljusci, svježa"
"KPD014722","01.47.22","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Jaja ostale peradi, u ljusci, svježa"
"KPD014723","01.47.23","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Kokošja jaja za rasplod"
"KPD014724","01.47.24","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Jaja ostale peradi za rasplod"
"KPD014811","01.48.11","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Zečevi, živi"
"KPD014812","01.48.12","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Ostale ptice, žive"
"KPD014813","01.48.13","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Gmazovi, živi"
"KPD014814","01.48.14","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Pčele, žive"
"KPD014819","01.48.19","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Ostale životinje, žive, d. n."
"KPD014821","01.48.21","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Prirodni med"
"KPD014822","01.48.22","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Ostalo sirovo mlijeko"
"KPD014823","01.48.23","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Puževi, svježi, hlađeni, zamrznuti, sušeni, soljeni ili u salamuri, osim morskih puževa"
"KPD014824","01.48.24","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Ostali jestivi proizvodi od uzgojenih životinja"
"KPD014825","01.48.25","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Čahure dudova svilca prikladne za odmotavanje"
"KPD014826","01.48.26","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Voskovi od insekata i spermaceti, rafinirani ili nerafinirani, obojeni ili neobojeni"
"KPD014827","01.48.27","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Životinjski embriji za razmnožavanje"
"KPD014828","01.48.28","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Ostali nejestivi proizvodi od uzgojenih životinja"
"KPD014831","01.48.31","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Sirove kože s dlakom ili s vunom, osim janjeće kože"
"KPD014832","01.48.32","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Sirove janjeće kože s dlakom ili s vunom"
"KPD014833","01.48.33","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Ostale sirove kože"
"KPD016100","01.61.00","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Pomoćne usluge za uzgoj usjeva"
"KPD016201","01.62.01","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Pomoćne usluge za uzgoj životinja"
"KPD016202","01.62.02","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Usluge pripreme stajskoga gnoja i gnojnica za proizvodnju energije"
"KPD016301","01.63.01","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Usluge koje se pružaju nakon žetve usjeva i dorada sjemena za sjemenski materijal"
"KPD016302","01.63.02","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Usluge pripreme silažnog bilja za proizvodnju energije"
"KPD017000","01.70.00","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Lov, stupičarenje i usluge povezane s njima"
"KPD021011","02.10.11","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Sadnice šumskog drveća"
"KPD021012","02.10.12","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Sjemenje šumskog drveća"
"KPD021020","02.10.20","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Usluge rasadnika šumskog drveća"
"KPD021030","02.10.30","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Šumsko drveće"
"KPD022001","02.20.01","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Trupci četinjača"
"KPD022002","02.20.02","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Trupci tropskog drveća"
"KPD022003","02.20.03","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Trupci ostalih listača"
"KPD022004","02.20.04","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Ogrjevno drvo četinjača"
"KPD022005","02.20.05","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Ogrjevno drvo listača"
"KPD023011","02.30.11","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Balata, gutaperka, gvajala, čikl i slične prirodne gume"
"KPD023012","02.30.12","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Šelak, balzami i ostale prirodne gume i smole"
"KPD023020","02.30.20","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Prirodno pluto, sirovo ili jednostavno obrađeno"
"KPD023030","02.30.30","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Dijelovi bilja, trave, mahovine i lišaji prikladni za ukrašavanje"
"KPD023040","02.30.40","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Jestivi samonikli plodovi i proizvodi"
"KPD024000","02.40.00","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Pomoćne usluge u šumarstvu"
"KPD030011","03.00.11","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Ukrasne ribe, neuzgojene"
"KPD030012","03.00.12","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Ukrasne ribe, uzgojene"
"KPD030013","03.00.13","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Ostale neuzgojene žive ribe koji nisu prikladne za ljudsku prehranu"
"KPD030014","03.00.14","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Ostale uzgojene žive ribe koji nisu prikladne za ljudsku prehranu"
"KPD030021","03.00.21","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Žive ribe, svježe ili hlađene, za ljudsku prehranu, morske, neuzgojene"
"KPD030022","03.00.22","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Žive ribe, svježe ili hlađene, za ljudsku prehranu, slatkovodne, neuzgojene"
"KPD030023","03.00.23","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Žive ribe, svježe ili hlađene, za ljudsku prehranu, morske, uzgojene"
