"id","code","name","account_type","reconcile"
"l10n_et6121","6121","Allowances to permanent staff","expense",""
"l10n_et6123","6123","Allowances to contract staff","expense",""
"l10n_et6124","6124","Allowances to external contract staff","expense",""
"l10n_et6131","6131","Contribution to permanent staff pensions","expense",""
"l10n_et6211","6211","Uniforms, bedding","expense",""
"l10n_et6212","6212","Office supplies","expense",""
"l10n_et6213","6213","Printing","expense",""
"l10n_et6214","6214","Medical supplies","expense",""
"l10n_et6215","6215","Educational supplies","expense",""
"l10n_et6216","6216","Food","expense",""
"l10n_et6217","6217","Fuel and lubricants","expense",""
"l10n_et6218","6218","Other material and supplies","expense",""
"l10n_et6219","6219","Miscellaneous equipment","expense",""
"l10n_et6221","6221","Agriculture, forestry and marine inputs","expense",""
"l10n_et6222","6222","Veterinary supplies and drugs","expense",""
"l10n_et6223","6223","Research and development supplies","expense",""
"l10n_et6231","6231","Per diem","expense",""
"l10n_et6232","6232","Transport fees","expense",""
"l10n_et6233","6233","Official entertainment","expense",""
"l10n_et6241","6241","Maintenance and repair of vehicles and other transport","expense",""
"l10n_et6243","6243","Maintenance and repair of plant, and equipment","expense",""
"l10n_et6244","6244","Maintenance and repair of buildings, furnishings and fixtures","expense",""
"l10n_et6245","6245","Maintenance and repair of infrastructure","expense",""
"l10n_et6251","6251","Contracted professional services","expense",""
"l10n_et6252","6252","Rent","expense",""
"l10n_et6253","6253","Advertising","expense",""
"l10n_et6254","6254","Insurance","expense",""
"l10n_et6255","6255","Freight","expense",""
"l10n_et6256","6256","Fees and charges","expense",""
"l10n_et6257","6257","Electricity charges","expense",""
"l10n_et6258","6258","Telecommunication charges","expense",""
"l10n_et6259","6259","Water and other utilities","expense",""
"l10n_et6271","6271","Local training","expense",""
"l10n_et6272","6272","External training","expense",""
"l10n_et6311","6311","Depreciation of vehicles and other vehicular transport","expense",""
"l10n_et6313","6313","Depreciation of plant, machinery and equipment","expense",""
"l10n_et6314","6314","Depreciation of buildings, furnishings and fixtures","expense",""
"l10n_et6315","6315","Depreciation of livestock and transport animals","expense",""
"l10n_et6321","6321","Pre-construction activities","expense",""
"l10n_et6322","6322","Construction of buildings","expense",""
"l10n_et6324","6324","Construction of infrastructure","expense",""
"l10n_et6431","6431","Payments on the principal of foreign debt","expense",""
"l10n_et6432","6432","Payments of interest and bank charges on foreign debt","expense",""
"l10n_et6433","6433","Payments on the principal of local debt","expense",""
"l10n_et6434","6434","Payments of interest and bank charges on local debt","expense",""
"l10n_et6435","1200","Foreign Exchange Currency Gain Account","income_other",""
"l10n_et6436","6260","Foreign Exchange Currency Loss Account","expense",""
"l10n_et626001","626001","Cash Discount Loss","expense",""
