"id","name","description","invoice_label","l10n_pe_edi_tax_code","l10n_pe_edi_unece_category","amount","amount_type","children_tax_ids","type_tax_use","sequence","include_base_amount","tax_group_id","price_include","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent","description@es"
"purchase_tax_igv_18_included","18% TTC","","IGV 18%","1000","S","18.0","percent","","purchase","1","1","tax_group_igv","True","base","invoice","","","18% (Incluido en precio)"
"","","","","","","","","","","","","","","tax","invoice","chart40111","",""
"","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","tax","refund","chart40111","",""
"purchase_tax_igv_18g_ng","18% Levied and Not Taxed","","IGV 18%","1000","S","18.0","percent","","purchase","1","1","tax_group_igv_g_ng","True","base","invoice","","","18% Gravadas y No Gravada"
"","","","","","","","","","","","","","","tax","invoice","chart40117","",""
"","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","tax","refund","chart40117","",""
"purchase_tax_igv_18_ng","18% Not Levied","","IGV NG 18%","1000","S","18.0","percent","","purchase","1","1","tax_group_igv_ng","True","base","invoice","","","18% No Gravadas"
"","","","","","","","","","","","","","","tax","invoice","chart40116","",""
"","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","tax","refund","chart40116","",""
"purchase_tax_exp_0","0% EXP","","EXP 0%","9995","S","0.0","percent","","purchase","1","1","tax_group_exp","True","base","invoice","","","0% EXP"
"","","","","","","","","","","","","","","tax","invoice","chart40115","",""
"","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","tax","refund","chart40115","",""
"purchase_tax_exo","0% Exo","","EXO 0%","9997","E","0.0","percent","","purchase","1","","tax_group_exo","","base","invoice","","","0% Exonerado"
"","","","","","","","","","","","","","","tax","invoice","chart40111","",""
"","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","tax","refund","chart40111","",""
"purchase_tax_ina","0% Una","","INA 0%","9998","Z","0.0","percent","","purchase","1","","tax_group_ina","","base","invoice","","","0% Inafectado"
"","","","","","","","","","","","","","","tax","invoice","chart40111","",""
"","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","tax","refund","chart40111","",""
"purchase_tax_gra","0%","","GRA 0%","9996","E","0.0","percent","","purchase","1","","tax_group_gra","","base","invoice","","","0% Gratis"
"","","","","","","","","","","","","","","tax","invoice","chart40111","",""
"","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","tax","refund","chart40111","",""
"sale_tax_exp","0% EXP","","EXP 0%","9995","S","0.0","percent","","sale","1","1","tax_group_exp","","base","invoice","","0","0% EXP"
"","","","","","","","","","","","","","","tax","invoice","chart40111","0",""
"","","","","","","","","","","","","","","base","refund","","0",""
"","","","","","","","","","","","","","","tax","refund","chart40111","0",""
"tax_free_subtract_base","Subtract Base","","","","","-100","percent","","none","1","","tax_group_free_invoice","","base","invoice","","","Substraer base"
"","","","","","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","tax","refund","","",""
"tax_free_igv_18","18% Free","","","9996","E","18","percent","","none","1","","tax_group_gra","","base","invoice","","","18% Libre de Impuestos"
"","","","","","","","","","","","","","","tax","invoice","chart40111","",""
"","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","tax","refund","chart40111","",""
"tax_free_igv_18_expense","-18% Free Expense Tax","","","","","-18","percent","","none","1","","tax_group_free_invoice","","base","invoice","","","-18% Libre de Impuestos Gasto"
"","","","","","","","","","","","","","","tax","invoice","chart6411","",""
"","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","tax","refund","chart6411","",""
"tax_free_group","18% Free Final","","","9996","","","group","tax_free_igv_18,tax_free_subtract_base,tax_free_igv_18_expense","sale","1","","tax_group_igv","","","","","","18% Libre Final"
