"id","parent_id","active","name","account_type","description","reconcile","non_trade","depreciation_model_id"
"account_account_us_depreciation_buildings","","True","Accumulated Amortization - Buildings","asset_fixed","Cumulative amortization recorded for building assets.","False","False",""
"account_account_us_depreciation_improvements","","True","Accumulated Amortization - Improvements","asset_fixed","Cumulative amortization recorded for leasehold or property improvements.","False","False",""
"account_account_us_depreciation_machines","","True","Accumulated Amortization - Machines & Tools","asset_fixed","Cumulative amortization recorded for machinery and tool assets.","False","False",""
"account_account_us_depreciation_other_property","","True","Accumulated Amortization - Other Property","asset_fixed","Cumulative amortization recorded for other depreciable property assets.","False","False",""
"account_account_us_depreciation_furniture","","True","Accumulated Amortization - Furniture & Fixtures","asset_fixed","Cumulative amortization recorded for furniture and fixture assets.","False","False",""
"account_account_us_depreciation_vehicles","","True","Accumulated Amortization - Vehicles","asset_fixed","Cumulative amortization recorded for vehicle assets.","False","False",""
"account_account_us_misc_fixed_assets","","True","Miscellaneous Fixed Assets","asset_fixed","","False","False",""
"account_account_us_non_current_assets","","True","Non-current assets","asset_non_current","","False","False",""
"account_account_us_current_liabilities","","True","Current Liabilities","liability_current","","False","False",""
"account_account_us_credit_card","","True","Credit Card","liability_credit_card","","False","False",""
"account_account_us_payable","","True","Accounts Payable","liability_payable","","True","False",""
"account_account_us_to_receive_pay","","True","Bills to receive","liability_current","","True","False",""
"account_account_us_deferred_revenue","","True","Deferred Revenue","liability_current","","False","False",""
"account_account_us_salary_payable","","True","Salary Payable","liability_current","","True","False",""
"account_account_us_employee_payroll_taxes","","True","Employee Payroll Taxes","liability_current","","True","False",""
"account_account_us_employer_payroll_taxes","","True","Employer Payroll Taxes","liability_current","","True","False",""
"account_account_us_tax_received","","True","Tax Received","liability_current","","False","False",""
"account_account_us_tax_payable","","True","Tax Payable","liability_payable","","True","True",""
"account_account_us_non_current_liabilities","","True","Non-current Liabilities","liability_non_current","","False","False",""
"account_account_us_undistributed_profits","","True","Undistributed Profits/Losses","equity_unaffected","","False","False",""
"account_account_us_capital","","True","Capital","equity","","False","False",""
"account_account_us_dividends","","True","Dividends","equity","","False","False",""
"account_account_us_common_stock","","True","Common Stock","equity","","False","False",""
"account_account_us_distributions","","True","Distributions","equity","","False","False",""
"account_account_us_income","","True","Product Sales","income","","False","False",""
"account_account_us_income_currency_exchange","","True","Foreign Exchange Gain","income","","False","False",""
"account_account_us_cash_diff_income","","True","Cash Difference Gain","income","","False","False",""
"account_account_us_cash_discount_gain","","True","Cash Discount Gain","income","","False","False",""
"account_account_us_other_income","","True","Other Income","income_other","","False","False",""
"account_account_us_cost_of_goods_sold","","True","Cost of Goods Sold","expense_direct_cost","","False","False",""
"account_account_us_raw_materials","","True","Raw Materials","expense","All goods purchased as raw materials used by your activity","False","False",""
"account_account_us_salaries","us_group_61","True","Salaries & Wages","expense","Compensation paid to employees and workers employed by the company","False","False",""
"account_account_us_commissions","us_group_61","True","Employees Commissions","expense","Employees commissions and bonuses","False","False",""
"account_account_us_pension","us_group_61","True","Pension","expense","Retirement plans costs (401K match)","False","False",""
"account_account_us_healthcare","us_group_61","True","Healthcare Benefits","expense","Employees medical, dental, and vision benefits","False","False",""
"account_account_us_compensation_insurance","us_group_61","True","Workers Compensation Insurance","expense","Insurance premiums that cover medical costs and wage replacement for employees injured on the job","False","False",""
"account_account_us_payroll_tax","us_group_61","True","Payroll Tax","expense","Employer's portion of payroll-related taxes (eg. Social Security, Medicare, FUTA/SUTA)","False","False",""
"account_account_us_other_employees_benefits","us_group_61","True","Other Employees Benefits","expense","Company's personnel costs excluding compensations, contributions and vouchers","False","False",""
"account_account_us_social_security","us_group_61","True","Social Security","expense","All fees related to social security contributions","False","False",""
"account_account_us_accounting","us_group_62","True","Accounting","expense","Bills from your bookkeeper or accounting firm","False","False",""
"account_account_us_legal","us_group_62","True","Legal","expense","Bills from lawyers, fees paid to the justice system","False","False",""
"account_account_us_general_subcontracting","us_group_62","True","General Subcontracting","expense","Compensation to external workers and consultants for services","False","False",""
"account_account_us_administration_fees","us_group_62","True","Administration Fees","expense","Services incurred for the administration of your business (excluding supplies)","False","False",""
"account_account_us_subscriptions","us_group_62","True","Dues & Subscriptions","expense","Membership fees for industry groups, professional associations, etc","False","False",""
"account_account_us_office_rent","","True","Office Rent","expense","Rent or lease of buildings","False","False",""
"account_account_us_internet","us_group_64","True","Telephone & Internet","expense","Phone and internet bills from your telco provider for business operations","False","False",""
"account_account_us_utilities","us_group_64","True","Utilities","expense","Utility bills for water, gas, electricity, heating, etc","False","False",""
"account_account_us_disposal_fees","us_group_64","True","Disposal Fees","expense","Costs incurred for removal, disposal, or recycling of waste and obsolete materials","False","False",""
"account_account_us_bank_fees","us_group_650","True","Bank Fees","expense","Nasty charges and interests from your bank","False","False",""
"account_account_us_office_maintenance","us_group_651","True","Office Maintenance","expense","Services related to the maintenance of your worplace, like repair or janitorial","False","False",""
"account_account_us_office_supplies","us_group_651","True","Office Supplies","expense","Various supplies bought for your workplace or office, like pencils, paper, consumables, etc","False","False",""
"account_account_us_postage","us_group_651","True","Postage and Delivery","expense","Costs for shipping products or materials to customers or receiving inventory.","False","False",""
"account_account_us_printing_and_reproduction","us_group_651","True","Printing and Reproduction","expense","Production of printed or digital materials, such as photocopies, brochures, flyers, manuals.","False","False",""
"account_account_us_equipment","us_group_651","True","Equipment and Furniture","expense","Cost of office furniture, fixtures, and business equipment","False","False",""
"account_account_us_computers","us_group_651","True","Computers","expense","Expenses made for the repair and maintenance of laptops, peripherals, and computing equipment","False","False",""
"account_account_us_office_services","us_group_651","True","Office Services","expense","All expenses made for your office or workplace that are not material goods","False","False",""
"account_account_us_software","","True","Software","expense","Licenses or computer services (like repairs or upgrades)","False","False",""
"account_account_us_professional_liability_insurance","us_group_655","True","Professional Liability Insurance","expense","Insurance for damage caused to third parties","False","False",""
"account_account_us_unemployment_insurance","us_group_655","True","Unemployment Insurance","expense","Employer contributions to state (SUI) or federal unemployment insurance programs","False","False",""
"account_account_us_disability_insurance","us_group_655","True","Disability Insurance","expense","Premiums for short-term or long-term disability coverage provided to employees","False","False",""
"account_account_us_professional_insurance","us_group_655","True","Professional Insurance","expense","All fees related to insurance taken in the context of your business","False","False",""
"account_account_us_licenses","","True","Licenses and Permits","expense","Business licenses and permits that your company must pay to operate","False","False",""
"account_account_us_ground_transportation","us_group_661","True","Ground Transportation","expense","Mileage, taxi and parking","False","False",""
"account_account_us_public_transportation","us_group_661","True","Public Transportation","expense","Travel expenses done using public transit (metro, bus, tramways, ...)","False","False",""
"account_account_us_airfare","us_group_661","True","Airfare","expense","Flights or expenses related to air travel by plane","False","False",""
"account_account_us_hotels","us_group_661","True","Hotels","expense","Hotel or accommodation expenses incurred during business trips","False","False",""
"account_account_us_vehicles_expense","us_group_665","True","Vehicles","expense","Expenses made for the repair and maintenance of company cars and trucks","False","False",""
"account_account_us_vehicle_rent","us_group_665","True","Vehicle Rent","expense","Rental of cars or trucks, including shared services, but excluding leasing","False","False",""
"account_account_us_fuel","us_group_665","True","Fuel","expense","All fuel and gas expenses for a car/auto","False","False",""
"account_account_us_auto_insurance","us_group_665","True","Auto Insurance","expense","Premiums paid for insurance coverage on company-owned or leased vehicles","False","False",""
"account_account_us_meals","us_group_67","True","Meals & Entertainment","expense","Expenses incurred when eating or drinking at bars or restaurants","False","False",""
"account_account_us_food","us_group_67","True","Food: Catering & Delivery","expense","Food or drinks incurred outside of bars or restaurants, like receptions, canteen and food delivery, etc","False","False",""
"account_account_us_marketing","us_group_67","True","Advertising & Marketing","expense","Costs related to promoting the business, such as ads, campaigns, etc","False","False",""
"account_account_us_expense_technology","","True","Depreciation Expense - Technology","expense","Periodic depreciation expense for capitalized technology assets.","False","False",""
"account_account_us_expense_buildings","","True","Depreciation Expense - Buildings","expense","Periodic depreciation expense for building assets.","False","False",""
"account_account_us_expense_improvements","","True","Depreciation Expense - Improvements","expense","Periodic depreciation expense for leasehold or property improvements.","False","False",""
"account_account_us_expense_machines","","True","Depreciation Expense - Machines & Tools","expense","Periodic depreciation expense for machinery and tool assets.","False","False",""
"account_account_us_expense_other_property","","True","Depreciation Expense - Other Property","expense","Periodic depreciation expense for other depreciable property assets.","False","False",""
"account_account_us_expense_furniture","","True","Depreciation Expense - Furniture & Fixtures","expense","Periodic depreciation expense for furniture and fixture assets.","False","False",""
"account_account_us_expense_vehicles","","True","Depreciation Expense - Vehicles","expense","Periodic depreciation expense for vehicle assets.","False","False",""
"account_account_us_training","","True","Training and Documentation","expense","Education and training fees not including food and drinks","False","False",""
"account_account_us_expense","","True","Miscellaneous Expenses","expense","All other uncategorized expenses","False","False",""
"account_account_us_cash_discount_loss","","True","Cash Discount Loss","expense_other","","False","False",""
"account_account_us_cash_diff_expense","","True","Cash Difference Loss","expense_other","","False","False",""
"account_account_us_expense_currency_exchange","","True","Foreign Exchange Loss","expense_other","","False","False",""
"account_account_us_loan_interest_expense","","True","Loan Interest Expense","expense_other","Interest paid on loans or lines of credit","False","False",""
"account_account_us_import_fees","","True","Import Fees","expense_other","Customs fees incurred while importing goods from outside of the US","False","False",""
"account_account_us_federal_income_tax","us_group_8","True","Federal Income Tax","expense_other","Income taxes owed to the U.S. federal government","False","False",""
"account_account_us_state_income_tax","us_group_8","True","State Income Tax","expense_other","Income taxes owed to state taxing authorities","False","False",""
"account_account_us_local_tax","us_group_8","True","Local/City Tax","expense_other","Business or income taxes owed to local or municipal governments","False","False",""
"account_account_us_property_tax","us_group_8","True","Property Tax","expense_other","Local taxes that have to be paid due to the ownership of property","False","False",""
"account_account_us_sales_tax","us_group_8","True","Sales Tax","expense_other","Sales and use tax paid on purchases where not otherwise recoverable","False","False",""
